sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
TIJOLZS,X,X,X,X,O,X,X
TIJOSLZ,O,O,O,O,O,X,X
TIJOSZL,O,O,O,O,X,X,X
TIJOZLS,O,O,O,X,O,X,O
TIJOZSL,O,O,O,O,X,X,O
TISLJZO,O,O,O,O,X,X,X
TISLJOZ,O,O,O,O,O,X,X
TISLZJO,O,O,O,O,X,O,X
TISLZOJ,O,O,O,O,X,O,X
TISLOJZ,O,O,O,O,O,X,X
TISLOZJ,O,O,X,O,X,X,X
TISJLZO,O,O,O,O,X,X,X
TISJLOZ,O,O,O,O,O,X,X
TISJZLO,O,O,O,O,X,X,X
TISJZOL,O,O,O,O,X,X,X
TISJOLZ,O,O,O,O,O,X,X
TISJOZL,O,O,O,O,X,X,X
TISZLJO,O,O,O,O,X,O,X
TISZLOJ,O,O,O,O,X,O,X
TISZJLO,O,O,O,O,X,O,X
TISZJOL,O,O,O,O,X,O,X
TISZOLJ,O,O,O,O,X,O,X
TISZOJL,O,O,O,O,X,O,X
TISOLJZ,O,O,O,O,O,X,X
TISOLZJ,O,O,X,O,X,X,X
TISOJLZ,O,O,O,O,O,X,X
TISOJZL,O,O,O,O,X,X,X
TISOZLJ,O,O,X,O,X,X,X
TISOZJL,O,O,X,O,X,X,X
TIZLJSO,O,O,X,X,X,X,X
TIZLJOS,O,O,X,X,O,X,O
TIZLSJO,O,O,O,X,X,O,X
TIZLSOJ,O,O,O,X,X,O,X
TIZLOJS,O,O,X,X,O,X,O
TIZLOSJ,O,O,O,X,X,O,X
TIZJLSO,O,O,O,X,X,X,X
TIZJLOS,O,O,O,X,O,X,O
TIZJSLO,O,O,O,O,X,X,X
TIZJSOL,O,O,O,O,X,X,O
TIZJOLS,O,O,O,X,O,X,O
TIZJOSL,O,O,O,O,X,X,O
TIZSLJO,O,O,O,O,X,O,X
TIZSLOJ,O,O,O,O,X,O,X
TIZSJLO,O,O,O,O,X,O,X
TIZSJOL,O,O,O,O,X,O,O
TIZSOLJ,O,O,O,O,X,O,X
TIZSOJL,O,O,O,O,X,O,O
TIZOLJS,O,O,X,X,O,X,O
TIZOLSJ,O,O,O,X,X,O,X
TIZOJLS,O,O,O,X,O,X,O
TIZOJSL,O,O,O,O,X,X,O
TIZOSLJ,O,O,O,O,X,O,X
TIZOSJL,O,O,O,O,X,O,O
TIOLJSZ,X,X,X,O,O,X,X
TIOLJZS,X,X,X,X,O,X,X
TIOLSJZ,O,O,X,O,O,X,X
TIOLSZJ,O,O,X,O,X,X,X
TIOLZJS,O,O,X,X,O,X,X
TIOLZSJ,O,O,X,X,X,X,X
TIOJLSZ,X,X,O,O,O,X,X
TIOJLZS,X,X,X,X,O,X,X
TIOJSLZ,O,O,O,O,O,X,X
TIOJSZL,O,O,O,O,X,X,X
TIOJZLS,O,O,X,X,O,X,O
TIOJZSL,O,O,O,O,X,X,O
TIOSLJZ,O,O,O,O,O,X,X
TIOSLZJ,O,O,X,O,X,X,X
TIOSJLZ,O,O,O,O,O,X,X
TIOSJZL,O,O,O,O,X,X,X
TIOSZLJ,O,O,X,O,X,X,X
TIOSZJL,O,O,X,O,X,X,X
TIOZLJS,O,O,X,X,O,X,O
TIOZLSJ,O,O,X,X,X,X,X
TIOZJLS,O,O,X,X,O,X,O
TIOZJSL,O,O,X,O,X,X,O
TIOZSLJ,O,O,X,O,X,X,X
TIOZSJL,O,O,X,O,X,X,O
TLIJSZO,X,X,X,O,X,X,X
TLIJSOZ,X,X,X,O,O,X,X
TLIJZSO,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X
TLIJOSZ,X,X,X,O,O,X,X
TLIJOZS,X,X,X,X,O,X,X
TLISJZO,O,O,X,O,X,X,X
TLISJOZ,O,O,X,O,O,X,X
TLISZJO,O,O,X,O,X,O,X
TLISZOJ,O,O,X,O,X,O,X
TLISOJZ,O,O,X,O,O,X,X
TLISOZJ,O,O,X,O,X,X,X
TLIZJSO,O,O,X,X,X,X,X
TLIZJOS,O,O,X,X,O,X,X
TLIZSJO,O,O,X,X,X,O,X
TLIZSOJ,O,O,X,X,X,O,X
TLIZOJS,O,O,X,X,O,X,X
TLIZOSJ,O,O,X,X,X,O,X
TLIOJSZ,X,X,X,O,O,X,X
TLIOJZS,X,X,X,X,O,X,X
TLIOSJZ,O,O,X,O,O,X,X
TLIOSZJ,O,O,X,O,X,X,X
TLIOZJS,O,O,X,X,O,X,X
TLIOZSJ,O,O,X,X,X,X,X
TLJISZO,X,X,O,O,X,X,X
TLJISOZ,X,X,O,O,O,X,X
TLJIZSO,X,X,O,X,X,X,X
TLJIZOS,X,X,O,X,O,X,X
TLJIOSZ,X,X,O,O,O,X,X
TLJIOZS,X,X,X,X,O,X,X
TLJSIZO,X,X,O,O,X,X,X
TLJSIOZ,X,X,O,O,O,X,X
TLJSZIO,X,X,O,O,X,X,X
TLJSZOI,X,X,O,O,X,X,X
TLJSOIZ,X,X,O,O,O,X,X
TLJSOZI,X,X,O,O,X,X,X
TLJZISO,X,X,O,X,X,X,X
TLJZIOS,X,X,O,X,O,X,X
TLJZSIO,X,X,O,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X
TLJZOIS,X,X,O,X,O,X,X
TLJZOSI,X,X,O,X,X,X,X
TLJOISZ,X,X,O,O,O,X,X
TLJOIZS,X,X,X,X,O,X,X
TLJOSIZ,X,X,O,O,O,X,X
TLJOSZI,X,X,O,O,X,X,X
TLJOZIS,X,X,X,X,O,X,X
TLJOZSI,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X
TLSIJOZ,O,O,O,O,O,X,X
TLSIZJO,O,O,O,O,X,O,X
TLSIZOJ,O,O,O,O,X,O,X
TLSIOJZ,O,O,O,O,O,X,X
TLSIOZJ,O,O,X,O,X,X,X
TLSJIZO,O,O,O,O,X,X,X
TLSJIOZ,O,O,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X,X
TLSJZOI,O,O,O,O,X,X,X
TLSJOIZ,O,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X,X
TLSZIJO,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,X,O,X
TLSZJIO,O,O,O,O,X,X,X
TLSZJOI,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,X,O,X
TLSZOJI,O,O,O,O,X,X,X
TLSOIJZ,O,O,O,O,O,X,X
TLSOIZJ,O,O,X,O,X,X,X
TLSOJIZ,O,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,X
TLSOZJI,O,O,O,O,X,X,X
TLZIJSO,O,O,X,X,X,X,X
TLZIJOS,O,O,X,X,O,X,X
TLZISJO,O,O,O,X,X,O,X
TLZISOJ,O,O,O,X,X,O,X
TLZIOJS,O,O,X,X,O,X,X
TLZIOSJ,O,O,O,X,X,O,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,O,O,O,X,O,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X
TLZJOIS,O,O,O,X,O,X,X
TLZJOSI,O,O,O,X,X,X,X
TLZSIJO,O,O,O,X,X,O,X
TLZSIOJ,O,O,O,X,X,O,X
TLZSJIO,O,O,O,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X
TLZSOJI,O,O,O,X,X,X,X
TLZOIJS,O,O,X,X,O,X,X
TLZOISJ,O,O,O,X,X,O,X
TLZOJIS,O,O,O,X,O,X,X
TLZOJSI,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,O,X
TLZOSJI,O,O,O,X,X,X,X
TLOIJSZ,X,X,X,O,O,X,X
TLOIJZS,X,X,X,X,O,X,X
TLOISJZ,O,O,X,O,O,X,X
TLOISZJ,O,O,X,O,X,X,X
TLOIZJS,O,O,X,X,O,X,X
TLOIZSJ,O,O,X,X,X,X,X
TLOJISZ,X,X,O,O,O,X,X
TLOJIZS,X,X,X,X,O,X,X
TLOJSIZ,X,X,O,O,O,X,X
TLOJSZI,X,X,O,O,X,X,X
TLOJZIS,X,X,X,X,O,X,X
TLOJZSI,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,O,O,X,X
TLOSIZJ,O,O,X,O,X,X,X
TLOSJIZ,O,O,O,O,O,X,X
TLOSJZI,O,O,O,O,X,X,X
TLOSZIJ,O,O,X,O,X,X,X
TLOSZJI,O,O,O,O,X,X,X
TLOZIJS,O,O,X,X,O,X,X
TLOZISJ,O,O,X,X,X,X,X
TLOZJIS,O,O,X,X,O,X,X
TLOZJSI,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X
TJILSZO,X,X,O,O,X,X,X
TJILSOZ,X,X,O,O,O,X,X
TJILZSO,X,X,O,X,X,X,X
TJILZOS,X,X,O,X,O,X,X
TJILOSZ,X,X,O,O,O,X,X
TJILOZS,X,X,X,X,O,X,X
TJISLZO,O,O,O,O,X,X,X
TJISLOZ,O,O,O,O,O,X,X
TJISZLO,O,O,O,O,X,X,X
TJISZOL,O,O,O,O,X,X,X
TJISOLZ,O,O,O,O,O,X,X
TJISOZL,O,O,O,O,X,X,X
TJIZLSO,O,O,O,X,X,X,X
TJIZLOS,O,O,O,X,O,X,O
TJIZSLO,O,O,O,O,X,X,X
TJIZSOL,O,O,O,O,X,X,O
TJIZOLS,O,O,O,X,O,X,O
TJIZOSL,O,O,O,O,X,X,O
TJIOLSZ,X,X,O,O,O,X,X
TJIOLZS,X,X,X,X,O,X,X
TJIOSLZ,O,O,O,O,O,X,X
TJIOSZL,O,O,O,O,X,X,X
TJIOZLS,O,O,O,X,O,X,O
TJIOZSL,O,O,O,O,X,X,O
TJLISZO,X,X,O,O,X,X,X
TJLISOZ,X,X,O,O,O,X,X
TJLIZSO,X,X,O,X,X,X,X
TJLIZOS,X,X,O,X,O,X,X
TJLIOSZ,X,X,O,O,O,X,X
TJLIOZS,X,X,X,X,O,X,X
TJLSIZO,X,X,O,O,X,X,X
TJLSIOZ,X,X,O,O,O,X,X
TJLSZIO,X,X,O,O,X,X,X
TJLSZOI,X,X,O,O,X,X,X
TJLSOIZ,X,X,O,O,O,X,X
TJLSOZI,X,X,O,O,X,X,X
TJLZISO,X,X,O,X,X,X,X
TJLZIOS,X,X,O,X,O,X,X
TJLZSIO,X,X,O,X,X,X,X
TJLZSOI,X,X,O,X,X,X,X
TJLZOIS,X,X,O,X,O,X,X
TJLZOSI,X,X,O,X,X,X,X
TJLOISZ,X,X,O,O,O,X,X
TJLOIZS,X,X,X,X,O,X,X
TJLOSIZ,X,X,O,O,O,X,X
TJLOSZI,X,X,O,O,X,X,X
TJLOZIS,X,X,X,X,O,X,X
TJLOZSI,X,X,X,X,X,X,X
TJSILZO,O,O,O,O,X,X,X
TJSILOZ,O,O,O,O,O,X,X
TJSIZLO,O,O,O,O,X,X,X
TJSIZOL,O,O,O,O,X,X,X
TJSIOLZ,O,O,O,O,O,X,X
TJSIOZL,O,O,O,O,X,X,X
TJSLIZO,O,O,O,O,X,X,X
TJSLIOZ,O,O,O,O,O,X,X
TJSLZIO,O,O,O,O,X,X,X
TJSLZOI,O,O,O,O,X,X,X
TJSLOIZ,O,O,O,O,O,X,X
TJSLOZI,O,O,O,O,X,X,X
TJSZILO,O,O,O,O,X,X,X
TJSZIOL,O,O,O,O,X,X,X
TJSZLIO,O,O,O,O,X,X,X
TJSZLOI,O,O,O,O,X,X,X
TJSZOIL,O,O,O,O,X,X,X
TJSZOLI,O,O,O,O,X,X,X
TJSOILZ,O,O,O,O,O,X,X
TJSOIZL,O,O,O,O,X,X,X
TJSOLIZ,O,O,O,O,O,X,X
TJSOLZI,O,O,O,O,X,X,X
TJSOZIL,O,O,O,O,X,X,X
TJSOZLI,O,O,O,O,X,X,X
TJZILSO,O,O,O,X,X,X,X
TJZILOS,O,O,O,X,O,X,O
TJZISLO,O,O,O,O,X,X,X
TJZISOL,O,O,O,O,X,X,O
TJZIOLS,O,O,O,X,O,X,O
TJZIOSL,O,O,O,O,X,X,O
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,O,O,O,X,O,X,O
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,O,O,O,X,O,X,O
TJZLOSI,O,O,O,X,X,X,X
TJZSILO,O,O,O,O,X,X,X
TJZSIOL,O,O,O,O,X,X,O
TJZSLIO,O,O,O,O,X,X,X
TJZSLOI,O,O,O,O,X,X,X
TJZSOIL,O,O,O,O,X,X,O
TJZSOLI,O,O,O,O,X,X,X
TJZOILS,O,O,O,X,O,X,O
TJZOISL,O,O,O,O,X,X,O
TJZOLIS,O,O,O,X,O,X,O
TJZOLSI,O,O,O,X,X,X,X
TJZOSIL,O,O,O,O,X,X,O
TJZOSLI,O,O,O,O,X,X,X
TJOILSZ,X,X,O,O,O,X,X
TJOILZS,X,X,X,X,O,X,X
TJOISLZ,O,O,O,O,O,X,X
TJOISZL,O,O,O,O,X,X,X
TJOIZLS,O,O,O,X,O,X,O
TJOIZSL,O,O,O,O,X,X,O
TJOLISZ,X,X,O,O,O,X,X
TJOLIZS,X,X,X,X,O,X,X
TJOLSIZ,X,X,O,O,O,X,X
TJOLSZI,X,X,O,O,X,X,X
TJOLZIS,X,X,X,X,O,X,X
TJOLZSI,X,X,X,X,X,X,X
TJOSILZ,O,O,O,O,O,X,X
TJOSIZL,O,O,O,O,X,X,X
TJOSLIZ,O,O,O,O,O,X,X
TJOSLZI,O,O,O,O,X,X,X
TJOSZIL,O,O,O,O,X,X,X
TJOSZLI,O,O,O,O,X,X,X
TJOZILS,O,O,O,X,O,X,O
TJOZISL,O,O,O,O,X,X,O
TJOZLIS,O,O,O,X,O,X,O
TJOZLSI,O,O,O,X,X,X,X
TJOZSIL,O,O,O,O,X,X,O
TJOZSLI,O,O,O,O,X,X,X
TSILJZO,O,O,O,O,X,X,X
TSILJOZ,O,O,O,O,O,X,X
TSILZJO,O,O,O,O,X,O,X
TSILZOJ,O,O,O,O,X,O,X
TSILOJZ,O,O,O,O,O,X,X
TSILOZJ,O,O,X,O,X,X,X
TSIJLZO,O,O,O,O,X,X,X
TSIJLOZ,O,O,O,O,O,X,X
TSIJZLO,O,O,O,O,X,X,X
TSIJZOL,O,O,O,O,X,X,X
TSIJOLZ,O,O,O,O,O,X,X
TSIJOZL,O,O,O,O,X,X,X
TSIZLJO,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,O,X
TSIZJLO,O,O,O,O,X,O,X
TSIZJOL,O,O,O,O,X,O,X
TSIZOLJ,O,O,O,O,X,O,X
TSIZOJL,O,O,O,O,X,O,X
TSIOLJZ,O,O,O,O,O,X,X
TSIOLZJ,O,O,X,O,X,X,X
TSIOJLZ,O,O,O,O,O,X,X
TSIOJZL,O,O,O,O,X,X,X
TSIOZLJ,O,O,X,O,X,X,X
TSIOZJL,O,O,X,O,X,X,X
TSLIJZO,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,O,X,X
TSLIZJO,O,O,O,O,X,O,X
TSLIZOJ,O,O,O,O,X,O,X
TSLIOJZ,O,O,O,O,O,X,X
TSLIOZJ,O,O,X,O,X,X,X
TSLJIZO,O,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,O,X,X
TSLJZIO,O,O,O,O,X,X,X
TSLJZOI,O,O,O,O,X,X,X
TSLJOIZ,O,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X,X
TSLZIJO,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,X,O,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,X,O,X
TSLZOJI,O,O,O,O,X,X,X
TSLOIJZ,O,O,O,O,O,X,X
TSLOIZJ,O,O,X,O,X,X,X
TSLOJIZ,O,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X,X
TSLOZIJ,O,O,O,O,X,X,X
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,O,O,O,O,X,X,X
TSJILOZ,O,O,O,O,O,X,X
TSJIZLO,O,O,O,O,X,X,X
TSJIZOL,O,O,O,O,X,X,X
TSJIOLZ,O,O,O,O,O,X,X
TSJIOZL,O,O,O,O,X,X,X
TSJLIZO,O,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,O,X,X
TSJLZIO,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X,X
TSJLOIZ,O,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X,X
TSJZILO,O,O,O,O,X,X,X
TSJZIOL,O,O,O,O,X,X,X
TSJZLIO,O,O,O,O,X,X,X
TSJZLOI,O,O,O,O,X,X,X
TSJZOIL,O,O,O,O,X,X,X
TSJZOLI,O,O,O,O,X,X,X
TSJOILZ,O,O,O,O,O,X,X
TSJOIZL,O,O,O,O,X,X,X
TSJOLIZ,O,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X,X
TSJOZIL,O,O,O,O,X,X,X
TSJOZLI,O,O,O,O,X,X,X
TSZILJO,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,X,O,X
TSZIJLO,O,O,O,O,X,O,X
TSZIJOL,O,O,O,O,X,O,X
TSZIOLJ,O,O,O,O,X,O,X
TSZIOJL,O,O,O,O,X,O,X
TSZLIJO,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,X,X
TSZJOLI,O,O,O,O,X,X,X
TSZOILJ,O,O,O,O,X,O,X
TSZOIJL,O,O,O,O,X,O,X
TSZOLIJ,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,O,O,O,O,O,X,X
TSOILZJ,O,O,X,O,X,X,X
TSOIJLZ,O,O,O,O,O,X,X
TSOIJZL,O,O,O,O,X,X,X
TSOIZLJ,O,O,X,O,X,X,X
TSOIZJL,O,O,X,O,X,X,X
TSOLIJZ,O,O,O,O,O,X,X
TSOLIZJ,O,O,X,O,X,X,X
TSOLJIZ,O,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,O,O,O,O,O,X,X
TSOJIZL,O,O,O,O,X,X,X
TSOJLIZ,O,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X,X
TSOJZIL,O,O,O,O,X,X,X
TSOJZLI,O,O,O,O,X,X,X
TSOZILJ,O,O,O,O,X,X,X
TSOZIJL,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,O,X,X,X
TSOZLJI,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,X,X
TSOZJLI,O,O,O,O,X,X,X
TZILJSO,O,O,X,X,X,X,X
TZILJOS,O,O,X,X,O,X,O
TZILSJO,O,O,O,X,X,O,X
TZILSOJ,O,O,O,X,X,O,X
TZILOJS,O,O,X,X,O,X,O
TZILOSJ,O,O,O,X,X,O,X
TZIJLSO,O,O,O,X,X,X,X
TZIJLOS,O,O,O,X,O,X,O
TZIJSLO,O,O,O,O,X,X,X
TZIJSOL,O,O,O,O,X,X,O
TZIJOLS,O,O,O,X,O,X,O
TZIJOSL,O,O,O,O,X,X,O
TZISLJO,O,O,O,O,X,O,X
TZISLOJ,O,O,O,O,X,O,X
TZISJLO,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,X,O,O
TZISOLJ,O,O,O,O,X,O,X
TZISOJL,O,O,O,O,X,O,O
TZIOLJS,O,O,X,X,O,X,O
TZIOLSJ,O,O,O,X,X,O,X
TZIOJLS,O,O,O,X,O,X,O
TZIOJSL,O,O,O,O,X,X,O
TZIOSLJ,O,O,O,O,X,O,X
TZIOSJL,O,O,O,O,X,O,O
TZLIJSO,O,O,X,X,X,X,X
TZLIJOS,O,O,X,X,O,X,O
TZLISJO,O,O,O,X,X,O,X
TZLISOJ,O,O,O,X,X,O,X
TZLIOJS,O,O,X,X,O,X,O
TZLIOSJ,O,O,O,X,X,O,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,O,O,O,X,O,X,O
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X
TZLJOIS,O,O,O,X,O,X,O
TZLJOSI,O,O,O,X,X,X,X
TZLSIJO,O,O,O,X,X,O,X
TZLSIOJ,O,O,O,X,X,O,X
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,O,X
TZLSOJI,O,O,O,X,X,X,X
TZLOIJS,O,O,X,X,O,X,O
TZLOISJ,O,O,O,X,X,O,X
TZLOJIS,O,O,O,X,O,X,O
TZLOJSI,O,O,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,O,X
TZLOSJI,O,O,O,X,X,X,X
TZJILSO,O,O,O,X,X,X,X
TZJILOS,O,O,O,X,O,X,O
TZJISLO,O,O,O,O,X,X,X
TZJISOL,O,O,O,O,X,X,O
TZJIOLS,O,O,O,X,O,X,O
TZJIOSL,O,O,O,O,X,X,O
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,O,O,O,X,O,X,O
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,O,O,O,X,O,X,O
TZJLOSI,O,O,O,X,X,X,X
TZJSILO,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,X,X,O
TZJSLIO,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,X,X,X
TZJSOIL,O,O,O,O,X,X,O
TZJSOLI,O,O,O,O,X,X,X
TZJOILS,O,O,O,X,O,X,O
TZJOISL,O,O,O,O,X,X,O
TZJOLIS,O,O,O,X,O,X,O
TZJOLSI,O,O,O,X,X,X,X
TZJOSIL,O,O,O,O,X,X,O
TZJOSLI,O,O,O,O,X,X,X
TZSILJO,O,O,O,O,X,O,X
TZSILOJ,O,O,O,O,X,O,X
TZSIJLO,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,X,O,O
TZSIOLJ,O,O,O,O,X,O,X
TZSIOJL,O,O,O,O,X,O,O
TZSLIJO,O,O,O,O,X,O,X
TZSLIOJ,O,O,O,O,X,O,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,X,X,X
TZSLOIJ,O,O,O,O,X,O,X
TZSLOJI,O,O,O,O,X,X,X
TZSJILO,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,X,X,O
TZSJLIO,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,X,X,X
TZSJOIL,O,O,O,O,X,X,O
TZSJOLI,O,O,O,O,X,X,X
TZSOILJ,O,O,O,O,X,O,X
TZSOIJL,O,O,O,O,X,O,O
TZSOLIJ,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,X,O
TZSOJLI,O,O,O,O,X,X,X
TZOILJS,O,O,X,X,O,X,O
TZOILSJ,O,O,O,X,X,O,X
TZOIJLS,O,O,O,X,O,X,O
TZOIJSL,O,O,O,O,X,X,O
TZOISLJ,O,O,O,O,X,O,X
TZOISJL,O,O,O,O,X,O,O
TZOLIJS,O,O,X,X,O,X,O
TZOLISJ,O,O,O,X,X,O,X
TZOLJIS,O,O,O,X,O,X,O
TZOLJSI,O,O,O,X,X,X,X
TZOLSIJ,O,O,O,X,X,O,X
TZOLSJI,O,O,O,X,X,X,X
TZOJILS,O,O,O,X,O,X,O
TZOJISL,O,O,O,O,X,X,O
TZOJLIS,O,O,O,X,O,X,O
