sequence,v115@7gA8GeA8AeA8AeA8DeD8AeA8DeD8AeB8AeG8Jei6Iv?hFUcBGdB5jBzfBfmBFqB,v115@7gA8GeA8AeA8AeA8DeD8AeA8DeD8AeB8AeG8Jei6Iv?hFUcBGdB5jBFgBfqBzqB,v115@7gA8GeA8AeA8AeA8DeD8AeA8DeD8AeB8AeG8JeT6Iv?hFibBGdB5jBFhBfqB0qB,v115@7gA8GeA8AeA8AeA8DeD8AeA8DeD8AeB8AeG8JeT6Iv?hFlbBGdB5jB8kBXhBiqB,v115@7gA8GeA8AeA8AeA8DeD8AeA8DeD8AeB8AeG8JeT6Iv?hFGdB5jB8kB3lBFmBiqB
JTZLIOS,X,X,X,X,X
JTZLSIO,X,X,X,X,X
JTZLSOI,X,X,X,X,X
JTZLOIS,X,X,X,X,X
JTZLOSI,X,X,X,X,X
JTZSILO,X,X,O,X,X
JTZSIOL,X,X,O,X,X
JTZSLIO,X,X,O,X,X
JTZSLOI,X,X,O,X,X
JTZSOIL,X,X,O,X,X
JTZSOLI,X,X,O,X,X
JTZOILS,X,X,X,X,X
JTZOISL,X,X,X,X,X
JTZOLIS,X,X,X,X,X
JTZOLSI,X,X,X,X,X
JTZOSIL,X,X,X,X,X
JTZOSLI,X,X,X,X,X
JTOILSZ,O,X,O,X,X
JTOILZS,X,X,X,X,X
JTOISLZ,O,X,X,X,X
JTOISZL,O,X,X,X,X
JTOIZLS,X,X,X,X,X
JTOIZSL,X,X,X,X,X
JTOLISZ,O,X,O,X,X
JTOLIZS,X,X,X,X,X
JTOLSIZ,O,X,X,X,X
JTOLSZI,O,X,X,X,X
JTOLZIS,X,X,X,X,X
JTOLZSI,X,X,X,X,X
JTOSILZ,O,X,X,X,X
JTOSIZL,O,X,X,X,X
JTOSLIZ,O,X,X,X,X
JTOSLZI,O,X,X,X,X
JTOSZIL,O,X,X,X,X
JTOSZLI,O,X,X,X,X
JTOZILS,X,X,X,X,X
JTOZISL,X,X,X,X,X
JTOZLIS,X,X,X,X,X
JTOZLSI,X,X,X,X,X
JTOZSIL,X,X,X,X,X
JTOZSLI,X,X,X,X,X
JITLSZO,O,X,X,X,X
JITLSOZ,X,X,X,X,X
JITLZSO,X,X,X,X,X
JITLZOS,X,X,X,X,X
JITLOSZ,O,X,O,X,X
JITLOZS,X,X,X,X,X
JITSLZO,O,X,X,X,X
JITSLOZ,X,X,O,X,X
JITSZLO,O,X,X,X,X
JITSZOL,O,X,X,X,X
JITSOLZ,O,X,O,X,X
JITSOZL,O,X,X,X,X
JITZLSO,X,X,X,X,X
JITZLOS,X,X,X,X,X
JITZSLO,X,X,O,X,X
JITZSOL,X,X,O,X,X
JITZOLS,X,X,X,X,X
JITZOSL,X,X,X,X,X
JITOLSZ,O,X,O,X,X
JITOLZS,X,X,X,X,X
JITOSLZ,O,X,X,X,X
JITOSZL,O,X,X,X,X
JITOZLS,X,X,X,X,X
JITOZSL,X,X,X,X,X
JILTSZO,O,X,X,X,X
JILTSOZ,X,X,X,X,X
JILTZSO,X,X,X,X,X
JILTZOS,X,X,X,X,X
JILTOSZ,O,X,X,X,X
JILTOZS,X,X,X,X,X
JILSTZO,X,O,X,O,X
JILSTOZ,X,X,X,X,X
JILSZTO,O,O,X,O,X
JILSZOT,X,X,X,O,X
JILSOTZ,X,O,X,X,X
JILSOZT,X,O,X,X,X
JILZTSO,X,X,X,X,X
JILZTOS,X,X,X,O,X
JILZSTO,O,O,X,O,X
JILZSOT,X,X,X,O,X
JILZOTS,X,X,X,O,X
JILZOST,X,O,X,O,X
JILOTSZ,X,X,X,X,X
JILOTZS,X,X,X,X,X
JILOSTZ,X,X,X,X,X
JILOSZT,X,X,X,X,X
JILOZTS,X,X,X,X,X
JILOZST,X,O,X,X,X
JISTLZO,O,O,X,O,X
JISTLOZ,X,X,O,X,X
JISTZLO,O,O,X,X,X
JISTZOL,O,X,X,O,X
JISTOLZ,O,X,O,X,X
JISTOZL,O,X,X,X,X
JISLTZO,X,O,X,O,X
JISLTOZ,X,X,X,X,X
JISLZTO,O,O,X,O,X
JISLZOT,X,X,X,O,X
JISLOTZ,X,O,X,X,X
JISLOZT,X,O,X,X,X
JISZTLO,O,O,O,X,X
JISZTOL,O,X,O,O,O
JISZLTO,O,O,X,X,X
JISZLOT,X,X,O,X,X
JISZOTL,X,X,O,O,O
JISZOLT,X,X,O,X,X
JISOTLZ,X,O,O,X,X
JISOTZL,X,O,X,X,X
JISOLTZ,X,O,X,X,X
JISOLZT,X,O,X,X,X
JISOZTL,X,O,O,O,X
JISOZLT,X,O,O,X,X
JIZTLSO,X,X,X,X,X
JIZTLOS,X,X,X,X,X
JIZTSLO,X,X,O,X,X
JIZTSOL,X,X,O,X,X
JIZTOLS,X,X,X,X,X
JIZTOSL,X,X,X,O,X
JIZLTSO,X,X,X,X,X
JIZLTOS,X,X,X,O,X
JIZLSTO,O,O,X,O,X
JIZLSOT,X,X,X,O,X
JIZLOTS,X,X,X,O,X
JIZLOST,X,O,X,O,X
JIZSTLO,O,O,X,X,X
JIZSTOL,O,X,X,O,O
JIZSLTO,O,O,X,X,X
JIZSLOT,X,X,X,X,X
JIZSOTL,X,X,X,O,O
JIZSOLT,X,X,X,X,X
JIZOTLS,X,X,X,X,X
JIZOTSL,X,X,X,O,X
JIZOLTS,X,X,X,O,X
JIZOLST,X,O,X,O,X
JIZOSTL,X,O,X,O,O
JIZOSLT,X,O,X,X,X
JIOTLSZ,X,X,O,X,X
JIOTLZS,X,X,X,X,X
JIOTSLZ,X,X,X,X,X
JIOTSZL,X,X,X,X,X
JIOTZLS,X,X,X,X,X
JIOTZSL,X,X,X,X,X
JIOLTSZ,X,X,X,X,X
JIOLTZS,X,X,X,X,X
JIOLSTZ,X,X,X,X,X
JIOLSZT,X,X,X,X,X
JIOLZTS,X,X,X,X,X
JIOLZST,X,O,X,X,X
JIOSTLZ,X,O,O,X,X
JIOSTZL,X,O,X,X,X
JIOSLTZ,X,O,X,X,X
JIOSLZT,X,O,X,X,X
JIOSZTL,X,O,O,O,X
JIOSZLT,X,O,O,X,X
JIOZTLS,X,X,X,X,X
JIOZTSL,X,X,X,O,X
JIOZLTS,X,X,X,O,X
JIOZLST,X,O,X,O,X
JIOZSTL,X,O,X,O,O
JIOZSLT,X,O,X,X,X
JLTISZO,O,X,X,X,X
JLTISOZ,X,X,X,X,X
JLTIZSO,X,X,X,X,X
JLTIZOS,X,X,X,X,X
JLTIOSZ,O,X,X,X,X
JLTIOZS,X,X,X,X,X
JLTSIZO,O,X,X,X,X
JLTSIOZ,X,X,X,X,X
JLTSZIO,O,X,X,X,X
JLTSZOI,X,X,X,X,X
JLTSOIZ,X,X,X,X,X
JLTSOZI,X,X,X,X,X
JLTZISO,X,X,X,X,X
JLTZIOS,X,X,X,X,X
JLTZSIO,X,X,X,X,X
JLTZSOI,X,X,X,X,X
JLTZOIS,X,X,X,X,X
JLTZOSI,X,X,X,X,X
JLTOISZ,O,X,X,X,X
JLTOIZS,X,X,X,X,X
JLTOSIZ,O,X,X,X,X
JLTOSZI,O,X,X,X,X
JLTOZIS,X,X,X,X,X
JLTOZSI,X,X,X,X,X
JLITSZO,O,X,X,X,X
JLITSOZ,X,X,X,X,X
JLITZSO,X,X,X,X,X
JLITZOS,X,X,X,X,X
JLITOSZ,O,X,X,X,X
JLITOZS,X,X,X,X,X
JLISTZO,X,O,X,O,X
JLISTOZ,X,X,X,X,X
JLISZTO,O,O,X,O,X
JLISZOT,X,X,X,O,X
JLISOTZ,X,O,X,X,X
JLISOZT,X,O,X,X,X
JLIZTSO,X,X,X,X,X
JLIZTOS,X,X,X,O,X
JLIZSTO,O,O,X,O,X
JLIZSOT,X,X,X,O,X
JLIZOTS,X,X,X,O,X
JLIZOST,X,O,X,O,X
JLIOTSZ,X,X,X,X,X
JLIOTZS,X,X,X,X,X
JLIOSTZ,X,X,X,X,X
JLIOSZT,X,X,X,X,X
JLIOZTS,X,X,X,X,X
JLIOZST,X,O,X,X,X
JLSTIZO,X,O,X,O,X
JLSTIOZ,X,X,X,X,X
JLSTZIO,X,O,X,O,X
JLSTZOI,X,X,X,O,X
JLSTOIZ,X,X,X,X,X
JLSTOZI,X,X,X,X,X
JLSITZO,X,O,X,O,X
JLSITOZ,X,X,X,X,X
JLSIZTO,O,O,X,O,X
JLSIZOT,X,X,X,O,X
JLSIOTZ,X,O,X,X,X
JLSIOZT,X,O,X,X,X
JLSZTIO,X,X,X,O,X
JLSZTOI,X,X,X,O,X
JLSZITO,O,O,X,O,X
JLSZIOT,X,X,X,O,X
JLSZOTI,X,X,X,O,X
JLSZOIT,X,X,X,O,X
JLSOTIZ,X,O,X,X,X
JLSOTZI,X,O,X,X,X
JLSOITZ,X,O,X,X,X
JLSOIZT,X,O,X,X,X
JLSOZTI,X,X,X,X,X
JLSOZIT,X,O,X,X,X
JLZTISO,X,X,X,X,X
JLZTIOS,X,X,X,O,X
JLZTSIO,X,X,X,X,X
JLZTSOI,X,X,X,X,X
JLZTOIS,X,X,X,O,X
JLZTOSI,X,X,X,X,X
JLZITSO,X,X,X,X,X
JLZITOS,X,X,X,O,X
JLZISTO,O,O,X,O,X
JLZISOT,X,X,X,O,X
JLZIOTS,X,X,X,O,X
JLZIOST,X,O,X,O,X
JLZSTIO,X,X,X,O,X
JLZSTOI,X,X,X,O,X
JLZSITO,X,X,X,O,X
JLZSIOT,X,X,X,O,X
JLZSOTI,X,X,X,O,X
JLZSOIT,X,X,X,O,X
JLZOTIS,X,X,X,O,X
JLZOTSI,X,X,X,X,X
JLZOITS,X,X,X,O,X
JLZOIST,X,X,X,O,X
JLZOSTI,X,X,X,O,X
JLZOSIT,X,X,X,O,X
JLOTISZ,X,X,X,X,X
JLOTIZS,X,X,X,X,X
JLOTSIZ,X,X,X,X,X
JLOTSZI,X,X,X,X,X
JLOTZIS,X,X,X,X,X
JLOTZSI,X,X,X,X,X
JLOITSZ,X,X,X,X,X
JLOITZS,X,X,X,X,X
JLOISTZ,X,X,X,X,X
JLOISZT,X,X,X,X,X
JLOIZTS,X,X,X,X,X
JLOIZST,X,O,X,X,X
JLOSTIZ,X,X,X,X,X
JLOSTZI,X,X,X,X,X
JLOSITZ,X,X,X,X,X
JLOSIZT,X,X,X,X,X
JLOSZTI,X,X,X,X,X
JLOSZIT,X,X,X,X,X
JLOZTIS,X,X,X,X,X
JLOZTSI,X,X,X,X,X
JLOZITS,X,X,X,X,X
JLOZIST,X,O,X,X,X
JLOZSTI,X,X,X,X,X
JLOZSIT,X,X,X,X,X
JSTILZO,O,O,X,O,X
JSTILOZ,X,X,O,X,X
JSTIZLO,O,O,X,X,X
JSTIZOL,O,X,X,O,X
JSTIOLZ,O,X,O,X,X
JSTIOZL,O,X,X,X,X
JSTLIZO,O,O,X,O,X
JSTLIOZ,X,X,O,X,X
JSTLZIO,O,O,X,O,X
JSTLZOI,X,X,X,O,X
JSTLOIZ,X,X,O,X,X
JSTLOZI,X,X,X,X,X
JSTZILO,O,O,X,X,X
JSTZIOL,O,X,X,O,X
JSTZLIO,O,O,X,X,X
JSTZLOI,X,X,X,X,X
JSTZOIL,O,X,X,O,X
JSTZOLI,O,X,X,X,X
JSTOILZ,O,X,O,X,X
JSTOIZL,O,X,X,X,X
JSTOLIZ,O,X,O,X,X
JSTOLZI,O,X,X,X,X
JSTOZIL,O,X,X,X,X
JSTOZLI,O,X,X,X,X
JSITLZO,O,O,X,O,X
JSITLOZ,X,X,O,X,X
JSITZLO,O,O,X,X,X
JSITZOL,O,X,X,O,X
JSITOLZ,O,X,O,X,X
JSITOZL,O,X,X,X,X
JSILTZO,X,O,X,O,X
JSILTOZ,X,X,X,X,X
JSILZTO,O,O,X,O,X
JSILZOT,X,X,X,O,X
JSILOTZ,X,O,X,X,X
JSILOZT,X,O,X,X,X
JSIZTLO,O,O,O,X,X
JSIZTOL,O,X,O,O,O
JSIZLTO,O,O,X,X,X
JSIZLOT,X,X,O,X,X
JSIZOTL,X,X,O,O,O
JSIZOLT,X,X,O,X,X
JSIOTLZ,X,O,O,X,X
JSIOTZL,X,O,X,X,X
JSIOLTZ,X,O,X,X,X
JSIOLZT,X,O,X,X,X
JSIOZTL,X,O,O,O,X
JSIOZLT,X,O,O,X,X
JSLTIZO,X,O,X,O,X
JSLTIOZ,X,X,X,X,X
JSLTZIO,X,O,X,O,X
JSLTZOI,X,X,X,O,X
JSLTOIZ,X,X,X,X,X
JSLTOZI,X,X,X,X,X
JSLITZO,X,O,X,O,X
JSLITOZ,X,X,X,X,X
JSLIZTO,O,O,X,O,X
JSLIZOT,X,X,X,O,X
JSLIOTZ,X,O,X,X,X
JSLIOZT,X,O,X,X,X
JSLZTIO,X,X,X,O,X
JSLZTOI,X,X,X,O,X
JSLZITO,O,O,X,O,X
JSLZIOT,X,X,X,O,X
JSLZOTI,X,X,X,O,X
JSLZOIT,X,X,X,O,X
JSLOTIZ,X,O,X,X,X
JSLOTZI,X,O,X,X,X
JSLOITZ,X,O,X,X,X
JSLOIZT,X,O,X,X,X
JSLOZTI,X,X,X,X,X
JSLOZIT,X,O,X,X,X
JSZTILO,O,O,O,X,X
JSZTIOL,O,X,O,O,X
JSZTLIO,O,O,O,X,X
JSZTLOI,X,X,O,X,X
JSZTOIL,O,X,O,O,X
JSZTOLI,O,X,O,X,X
JSZITLO,O,O,O,X,X
JSZITOL,O,X,O,O,O
JSZILTO,O,O,X,X,X
JSZILOT,X,X,O,X,X
JSZIOTL,X,X,O,O,O
JSZIOLT,X,X,O,X,X
JSZLTIO,X,X,X,X,X
JSZLTOI,X,X,X,X,X
JSZLITO,O,O,X,X,X
JSZLIOT,X,X,O,X,X
JSZLOTI,X,X,X,X,X
JSZLOIT,X,X,O,X,X
JSZOTIL,X,X,O,O,X
JSZOTLI,X,X,O,X,X
JSZOITL,X,X,O,O,O
JSZOILT,X,X,O,X,X
JSZOLTI,X,X,X,X,X
JSZOLIT,X,X,O,X,X
JSOTILZ,X,O,O,X,X
JSOTIZL,X,O,X,X,X
JSOTLIZ,X,O,O,X,X
JSOTLZI,X,O,X,X,X
JSOTZIL,X,O,X,X,X
JSOTZLI,X,O,X,X,X
JSOITLZ,X,O,O,X,X
JSOITZL,X,O,X,X,X
JSOILTZ,X,O,X,X,X
JSOILZT,X,O,X,X,X
JSOIZTL,X,O,O,O,X
JSOIZLT,X,O,O,X,X
JSOLTIZ,X,O,X,X,X
JSOLTZI,X,O,X,X,X
JSOLITZ,X,O,X,X,X
JSOLIZT,X,O,X,X,X
JSOLZTI,X,X,X,X,X
JSOLZIT,X,O,X,X,X
JSOZTIL,X,O,O,O,X
JSOZTLI,X,O,O,X,X
JSOZITL,X,O,O,O,X
JSOZILT,X,O,O,X,X
JSOZLTI,X,X,X,X,X
JSOZLIT,X,O,O,X,X
JZTILSO,X,X,X,X,X
JZTILOS,X,X,X,X,X
JZTISLO,X,X,O,X,X
JZTISOL,X,X,O,X,X
JZTIOLS,X,X,X,X,X
JZTIOSL,X,X,X,O,X
JZTLISO,X,X,X,X,X
JZTLIOS,X,X,X,X,X
JZTLSIO,X,X,X,X,X
JZTLSOI,X,X,X,X,X
JZTLOIS,X,X,X,X,X
JZTLOSI,X,X,X,X,X
JZTSILO,X,X,O,X,X
JZTSIOL,X,X,O,X,X
JZTSLIO,X,X,O,X,X
JZTSLOI,X,X,O,X,X
JZTSOIL,X,X,O,X,X
JZTSOLI,X,X,O,X,X
JZTOILS,X,X,X,X,X
JZTOISL,X,X,X,O,X
JZTOLIS,X,X,X,X,X
JZTOLSI,X,X,X,X,X
JZTOSIL,X,X,X,X,X
JZTOSLI,X,X,X,X,X
JZITLSO,X,X,X,X,X
JZITLOS,X,X,X,X,X
JZITSLO,X,X,O,X,X
JZITSOL,X,X,O,X,X
JZITOLS,X,X,X,X,X
JZITOSL,X,X,X,O,X
JZILTSO,X,X,X,X,X
JZILTOS,X,X,X,O,X
JZILSTO,O,O,X,O,X
JZILSOT,X,X,X,O,X
JZILOTS,X,X,X,O,X
JZILOST,X,O,X,O,X
JZISTLO,O,O,X,X,X
JZISTOL,O,X,X,O,O
JZISLTO,O,O,X,X,X
JZISLOT,X,X,X,X,X
JZISOTL,X,X,X,O,O
JZISOLT,X,X,X,X,X
JZIOTLS,X,X,X,X,X
JZIOTSL,X,X,X,O,X
JZIOLTS,X,X,X,O,X
JZIOLST,X,O,X,O,X
JZIOSTL,X,O,X,O,O
JZIOSLT,X,O,X,X,X
JZLTISO,X,X,X,X,X
JZLTIOS,X,X,X,O,X
JZLTSIO,X,X,X,X,X
JZLTSOI,X,X,X,X,X
JZLTOIS,X,X,X,O,X
JZLTOSI,X,X,X,X,X
JZLITSO,X,X,X,X,X
JZLITOS,X,X,X,O,X
JZLISTO,O,O,X,O,X
JZLISOT,X,X,X,O,X
JZLIOTS,X,X,X,O,X
JZLIOST,X,O,X,O,X
JZLSTIO,X,X,X,O,X
JZLSTOI,X,X,X,O,X
JZLSITO,X,X,X,O,X
JZLSIOT,X,X,X,O,X
JZLSOTI,X,X,X,O,X
JZLSOIT,X,X,X,O,X
JZLOTIS,X,X,X,O,X
JZLOTSI,X,X,X,X,X
JZLOITS,X,X,X,O,X
JZLOIST,X,X,X,O,X
JZLOSTI,X,X,X,O,X
JZLOSIT,X,X,X,O,X
JZSTILO,O,O,X,X,X
JZSTIOL,O,X,X,O,X
JZSTLIO,O,O,X,X,X
JZSTLOI,X,X,X,X,X
JZSTOIL,O,X,X,O,X
JZSTOLI,O,X,X,X,X
JZSITLO,O,O,X,X,X
JZSITOL,O,X,X,O,O
JZSILTO,O,O,X,X,X
JZSILOT,X,X,X,X,X
JZSIOTL,X,X,X,O,O
JZSIOLT,X,X,X,X,X
JZSLTIO,X,X,X,X,X
JZSLTOI,X,X,X,X,X
JZSLITO,O,O,X,X,X
JZSLIOT,X,X,X,X,X
JZSLOTI,X,X,X,X,X
JZSLOIT,X,X,X,X,X
JZSOTIL,X,X,X,O,X
JZSOTLI,X,X,X,X,X
JZSOITL,X,X,X,O,O
JZSOILT,X,X,X,X,X
JZSOLTI,X,X,X,X,X
JZSOLIT,X,X,X,X,X
JZOTILS,X,X,X,X,X
JZOTISL,X,X,X,O,X
JZOTLIS,X,X,X,X,X
JZOTLSI,X,X,X,X,X
JZOTSIL,X,X,X,X,X
JZOTSLI,X,X,X,X,X
JZOITLS,X,X,X,X,X
JZOITSL,X,X,X,O,X
JZOILTS,X,X,X,O,X
JZOILST,X,O,X,O,X
JZOISTL,X,O,X,O,O
JZOISLT,X,O,X,X,X
JZOLTIS,X,X,X,O,X
JZOLTSI,X,X,X,X,X
JZOLITS,X,X,X,O,X
JZOLIST,X,O,X,O,X
JZOLSTI,X,X,X,O,X
JZOLSIT,X,X,X,O,X
JZOSTIL,X,O,X,O,X
JZOSTLI,X,O,X,X,X
JZOSITL,X,O,X,O,O
JZOSILT,X,O,X,X,X
JZOSLTI,X,X,X,X,X
JZOSLIT,X,O,X,X,X
JOTILSZ,X,X,O,X,X
JOTILZS,X,X,X,X,X
JOTISLZ,X,X,X,X,X
JOTISZL,X,X,X,X,X
JOTIZLS,X,X,X,X,X
JOTIZSL,X,X,X,X,X
JOTLISZ,X,X,O,X,X
JOTLIZS,X,X,X,X,X
JOTLSIZ,X,X,X,X,X
JOTLSZI,X,X,X,X,X
JOTLZIS,X,X,X,X,X
JOTLZSI,X,X,X,X,X
JOTSILZ,X,X,X,X,X
JOTSIZL,X,X,X,X,X
JOTSLIZ,X,X,X,X,X
JOTSLZI,X,X,X,X,X
JOTSZIL,X,X,X,X,X
JOTSZLI,X,X,X,X,X
JOTZILS,X,X,X,X,X
JOTZISL,X,X,X,X,X
JOTZLIS,X,X,X,X,X
JOTZLSI,X,X,X,X,X
JOTZSIL,X,X,X,X,X
JOTZSLI,X,X,X,X,X
JOITLSZ,X,X,O,X,X
JOITLZS,X,X,X,X,X
JOITSLZ,X,X,X,X,X
JOITSZL,X,X,X,X,X
JOITZLS,X,X,X,X,X
JOITZSL,X,X,X,X,X
JOILTSZ,X,X,X,X,X
JOILTZS,X,X,X,X,X
JOILSTZ,X,X,X,X,X
JOILSZT,X,X,X,X,X
JOILZTS,X,X,X,X,X
JOILZST,X,O,X,X,X
JOISTLZ,X,O,O,X,X
JOISTZL,X,O,X,X,X
JOISLTZ,X,O,X,X,X
JOISLZT,X,O,X,X,X
JOISZTL,X,O,O,O,X
JOISZLT,X,O,O,X,X
JOIZTLS,X,X,X,X,X
JOIZTSL,X,X,X,O,X
JOIZLTS,X,X,X,O,X
JOIZLST,X,O,X,O,X
JOIZSTL,X,O,X,O,O
JOIZSLT,X,O,X,X,X
JOLTISZ,X,X,X,X,X
JOLTIZS,X,X,X,X,X
JOLTSIZ,X,X,X,X,X
JOLTSZI,X,X,X,X,X
JOLTZIS,X,X,X,X,X
JOLTZSI,X,X,X,X,X
JOLITSZ,X,X,X,X,X
JOLITZS,X,X,X,X,X
JOLISTZ,X,X,X,X,X
JOLISZT,X,X,X,X,X
JOLIZTS,X,X,X,X,X
JOLIZST,X,O,X,X,X
JOLSTIZ,X,X,X,X,X
JOLSTZI,X,X,X,X,X
JOLSITZ,X,X,X,X,X
JOLSIZT,X,X,X,X,X
JOLSZTI,X,X,X,X,X
JOLSZIT,X,X,X,X,X
JOLZTIS,X,X,X,X,X
JOLZTSI,X,X,X,X,X
JOLZITS,X,X,X,X,X
JOLZIST,X,O,X,X,X
JOLZSTI,X,X,X,X,X
JOLZSIT,X,X,X,X,X
JOSTILZ,X,O,O,X,X
JOSTIZL,X,O,X,X,X
JOSTLIZ,X,O,O,X,X
JOSTLZI,X,O,X,X,X
JOSTZIL,X,O,X,X,X
JOSTZLI,X,O,X,X,X
JOSITLZ,X,O,O,X,X
JOSITZL,X,O,X,X,X
JOSILTZ,X,O,X,X,X
JOSILZT,X,O,X,X,X
JOSIZTL,X,O,O,O,X
JOSIZLT,X,O,O,X,X
JOSLTIZ,X,O,X,X,X
JOSLTZI,X,O,X,X,X
JOSLITZ,X,O,X,X,X
JOSLIZT,X,O,X,X,X
JOSLZTI,X,X,X,X,X
JOSLZIT,X,O,X,X,X
JOSZTIL,X,O,O,O,X
JOSZTLI,X,O,O,X,X
JOSZITL,X,O,O,O,X
JOSZILT,X,O,O,X,X
JOSZLTI,X,X,X,X,X
JOSZLIT,X,O,O,X,X
JOZTILS,X,X,X,X,X
JOZTISL,X,X,X,O,X
JOZTLIS,X,X,X,X,X
JOZTLSI,X,X,X,X,X
JOZTSIL,X,X,X,X,X
JOZTSLI,X,X,X,X,X
JOZITLS,X,X,X,X,X
JOZITSL,X,X,X,O,X
JOZILTS,X,X,X,O,X
JOZILST,X,O,X,O,X
JOZISTL,X,O,X,O,O
JOZISLT,X,O,X,X,X
JOZLTIS,X,X,X,O,X
JOZLTSI,X,X,X,X,X
JOZLITS,X,X,X,O,X
JOZLIST,X,O,X,O,X
JOZLSTI,X,X,X,O,X
JOZLSIT,X,X,X,O,X
JOZSTIL,X,O,X,O,X
JOZSTLI,X,O,X,X,X
JOZSITL,X,O,X,O,O
JOZSILT,X,O,X,X,X
JOZSLTI,X,X,X,X,X
JOZSLIT,X,O,X,X,X
STILJZO,O,O,X,O,X
STILJOZ,X,X,O,X,X
STILZJO,O,O,X,O,X
STILZOJ,X,X,X,O,X
STILOJZ,X,X,O,X,X
STILOZJ,X,X,X,X,X
STIJLZO,O,O,X,O,X
STIJLOZ,X,X,O,X,X
STIJZLO,O,O,X,X,X
STIJZOL,O,X,X,O,X
STIJOLZ,O,X,O,X,X
STIJOZL,O,X,X,X,X
STIZLJO,O,O,X,X,X
STIZLOJ,X,X,X,X,X
STIZJLO,O,O,X,X,X
STIZJOL,O,X,X,O,X
STIZOLJ,O,X,X,X,X
STIZOJL,O,X,X,O,X
STIOLJZ,O,X,O,X,X
STIOLZJ,O,X,X,X,X
STIOJLZ,O,X,O,X,X
STIOJZL,O,X,X,X,X
STIOZLJ,O,X,X,X,X
STIOZJL,O,X,X,X,X
STLIJZO,O,O,X,O,X
STLIJOZ,X,X,O,X,X
STLIZJO,O,O,X,O,X
STLIZOJ,X,X,X,O,X
STLIOJZ,X,X,O,X,X
STLIOZJ,X,X,X,X,X
STLJIZO,O,O,X,O,X
STLJIOZ,X,X,O,X,X
STLJZIO,O,O,X,O,X
STLJZOI,X,X,X,O,X
STLJOIZ,X,X,O,X,X
STLJOZI,X,X,X,X,X
STLZIJO,O,O,X,O,X
STLZIOJ,X,X,X,O,X
STLZJIO,O,O,X,O,X
STLZJOI,X,X,X,O,X
STLZOIJ,X,X,X,O,X
STLZOJI,X,X,X,O,X
STLOIJZ,X,X,O,X,X
STLOIZJ,X,X,X,X,X
STLOJIZ,X,X,O,X,X
STLOJZI,X,X,X,X,X
STLOZIJ,X,X,X,X,X
STLOZJI,X,X,X,X,X
STJILZO,O,O,X,O,X
STJILOZ,X,X,O,X,X
STJIZLO,O,O,X,X,X
STJIZOL,O,X,X,O,X
STJIOLZ,O,X,O,X,X
STJIOZL,O,X,X,X,X
STJLIZO,O,O,X,O,X
STJLIOZ,X,X,O,X,X
STJLZIO,O,O,X,O,X
STJLZOI,X,X,X,O,X
STJLOIZ,X,X,O,X,X
STJLOZI,X,X,X,X,X
STJZILO,O,O,X,X,X
STJZIOL,O,X,X,O,X
STJZLIO,O,O,X,X,X
STJZLOI,X,X,X,X,X
STJZOIL,O,X,X,O,X
STJZOLI,O,X,X,X,X
STJOILZ,O,X,O,X,X
STJOIZL,O,X,X,X,X
STJOLIZ,O,X,O,X,X
STJOLZI,O,X,X,X,X
STJOZIL,O,X,X,X,X
STJOZLI,O,X,X,X,X
STZILJO,O,O,X,X,X
STZILOJ,X,X,X,X,X
STZIJLO,O,O,X,X,X
STZIJOL,O,X,X,O,X
STZIOLJ,O,X,X,X,X
STZIOJL,O,X,X,O,X
STZLIJO,O,O,X,X,X
STZLIOJ,X,X,X,X,X
STZLJIO,O,O,X,X,X
STZLJOI,X,X,X,X,X
STZLOIJ,X,X,X,X,X
STZLOJI,X,X,X,X,X
STZJILO,O,O,X,X,X
STZJIOL,O,X,X,O,X
STZJLIO,O,O,X,X,X
STZJLOI,X,X,X,X,X
STZJOIL,O,X,X,O,X
STZJOLI,O,X,X,X,X
STZOILJ,O,X,X,X,X
STZOIJL,O,X,X,O,X
STZOLIJ,O,X,X,X,X
STZOLJI,O,X,X,X,X
STZOJIL,O,X,X,O,X
STZOJLI,O,X,X,X,X
STOILJZ,O,X,O,X,X
STOILZJ,O,X,X,X,X
STOIJLZ,O,X,O,X,X
STOIJZL,O,X,X,X,X
STOIZLJ,O,X,X,X,X
STOIZJL,O,X,X,X,X
STOLIJZ,O,X,O,X,X
STOLIZJ,O,X,X,X,X
STOLJIZ,O,X,O,X,X
STOLJZI,O,X,X,X,X
STOLZIJ,O,X,X,X,X
STOLZJI,O,X,X,X,X
STOJILZ,O,X,O,X,X
STOJIZL,O,X,X,X,X
STOJLIZ,O,X,O,X,X
STOJLZI,O,X,X,X,X
STOJZIL,O,X,X,X,X
STOJZLI,O,X,X,X,X
STOZILJ,O,X,X,X,X
STOZIJL,O,X,X,X,X
STOZLIJ,O,X,X,X,X
STOZLJI,O,X,X,X,X
STOZJIL,O,X,X,X,X
STOZJLI,O,X,X,X,X
SITLJZO,O,O,X,O,X
SITLJOZ,X,X,O,X,X
SITLZJO,O,O,X,O,X
SITLZOJ,X,X,X,O,X
SITLOJZ,X,X,O,X,X
SITLOZJ,X,X,X,X,X
SITJLZO,O,O,X,O,X
SITJLOZ,X,X,O,X,X
SITJZLO,O,O,X,X,X
SITJZOL,O,X,X,O,X
SITJOLZ,O,X,O,X,X
SITJOZL,O,X,X,X,X
SITZLJO,O,O,X,X,X
