sequence,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBGeBUhBFiBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBUdBGeBFhBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFUdBGeBxgBimBll?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFUdBGeBRgB1mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiB0mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiBXmBzm?BUrB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFRcBGeBFiB0mB/l?BKrB
TLZJSOI,O,O,X,O,X,X,X
TLZJOIS,O,O,X,X,O,X,X
TLZJOSI,O,O,X,X,X,X,X
TLZSIJO,X,X,X,O,O,X,X
TLZSIOJ,X,X,X,O,X,X,X
TLZSJIO,X,X,X,O,O,X,X
TLZSJOI,O,O,X,O,X,X,X
TLZSOIJ,X,X,X,O,X,X,X
TLZSOJI,O,O,X,O,X,X,X
TLZOIJS,O,O,X,X,O,X,X
TLZOISJ,O,O,X,X,X,X,X
TLZOJIS,O,O,X,X,O,X,X
TLZOJSI,O,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,O,X
TLOIJZS,O,O,X,X,O,X,X
TLOISJZ,X,O,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X
TLOJISZ,X,O,X,X,X,O,X
TLOJIZS,O,O,X,X,O,X,X
TLOJSIZ,X,O,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X
TLOJZIS,O,O,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X
TLOSZJI,X,O,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X
TJILSZO,X,O,X,X,O,O,X
TJILSOZ,X,O,X,X,X,O,X
TJILZSO,O,O,X,X,O,O,X
TJILZOS,O,O,X,X,O,X,X
TJILOSZ,X,O,X,X,X,O,X
TJILOZS,O,O,X,X,O,X,X
TJISLZO,X,O,X,X,O,O,X
TJISLOZ,X,O,X,X,X,O,X
TJISZLO,O,O,X,X,X,O,X
TJISZOL,O,O,X,X,X,X,X
TJISOLZ,X,O,X,X,X,O,X
TJISOZL,O,O,X,X,X,X,X
TJIZLSO,O,O,X,X,O,O,X
TJIZLOS,O,O,X,X,O,X,X
TJIZSLO,O,O,X,X,O,X,X
TJIZSOL,O,O,X,X,X,X,X
TJIZOLS,O,O,X,X,O,X,X
TJIZOSL,O,O,O,X,X,X,X
TJIOLSZ,X,O,X,X,X,O,X
TJIOLZS,O,O,X,X,O,X,X
TJIOSLZ,X,O,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X
TJLISZO,X,O,X,X,O,O,X
TJLISOZ,X,O,X,X,X,O,X
TJLIZSO,O,O,X,X,O,O,X
TJLIZOS,O,O,X,X,O,X,X
TJLIOSZ,X,O,X,X,X,O,X
TJLIOZS,O,O,X,X,O,X,X
TJLSIZO,X,O,X,O,O,O,X
TJLSIOZ,X,O,X,O,X,O,X
TJLSZIO,X,X,X,O,X,X,X
TJLSZOI,X,O,X,O,X,X,X
TJLSOIZ,X,O,X,O,X,X,X
TJLSOZI,X,O,X,O,X,X,X
TJLZISO,O,O,X,X,O,O,X
TJLZIOS,O,O,X,X,O,X,X
TJLZSIO,X,X,X,O,O,X,X
TJLZSOI,O,O,X,O,X,X,X
TJLZOIS,O,O,X,X,O,X,X
TJLZOSI,O,O,X,X,X,X,X
TJLOISZ,X,O,X,X,X,O,X
TJLOIZS,O,O,X,X,O,X,X
TJLOSIZ,X,O,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X
TJSILZO,X,O,O,O,O,O,X
TJSILOZ,X,O,O,O,X,O,X
TJSIZLO,O,O,X,O,X,O,X
TJSIZOL,O,O,O,O,X,X,X
TJSIOLZ,X,O,O,O,X,O,X
TJSIOZL,O,O,O,O,X,X,X
TJSLIZO,X,O,O,O,O,O,X
TJSLIOZ,X,O,O,O,X,O,X
TJSLZIO,X,X,O,O,X,X,X
TJSLZOI,X,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,X,X
TJSLOZI,X,O,O,O,X,X,X
TJSZILO,X,X,X,O,X,O,X
TJSZIOL,X,X,O,O,X,X,X
TJSZLIO,X,X,O,O,X,X,X
TJSZLOI,O,O,O,O,X,X,X
TJSZOIL,X,X,O,O,X,X,X
TJSZOLI,O,O,O,O,X,X,X
TJSOILZ,X,O,O,O,X,O,X
TJSOIZL,O,O,O,O,X,X,X
TJSOLIZ,X,O,O,O,X,X,X
TJSOLZI,X,O,O,O,X,X,X
TJSOZIL,X,X,O,O,X,X,X
TJSOZLI,O,O,O,O,X,X,X
TJZILSO,O,O,X,X,O,O,O
TJZILOS,O,O,X,X,O,X,O
TJZISLO,O,O,X,X,O,X,X
TJZISOL,O,O,X,X,X,X,X
TJZIOLS,O,O,X,X,O,X,O
TJZIOSL,O,O,O,X,X,X,X
TJZLISO,O,O,X,X,O,O,O
TJZLIOS,O,O,X,X,O,X,O
TJZLSIO,X,X,X,O,O,X,O
TJZLSOI,O,O,X,O,X,X,O
TJZLOIS,O,O,X,X,O,X,O
TJZLOSI,O,O,X,X,X,X,O
TJZSILO,X,X,X,O,O,O,X
TJZSIOL,X,X,O,O,X,X,X
TJZSLIO,X,X,O,O,O,X,O
TJZSLOI,O,O,O,O,X,X,O
TJZSOIL,X,X,O,O,X,X,X
TJZSOLI,O,O,O,O,X,X,O
TJZOILS,O,O,X,X,O,X,O
TJZOISL,O,O,O,X,X,X,X
TJZOLIS,O,O,X,X,O,X,O
TJZOLSI,O,O,X,X,X,X,O
TJZOSIL,X,X,O,X,X,X,X
TJZOSLI,O,O,O,X,X,X,O
TJOILSZ,X,O,X,X,X,O,X
TJOILZS,O,O,X,X,O,X,X
TJOISLZ,X,O,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X
TJOIZSL,O,O,O,X,X,X,X
TJOLISZ,X,O,X,X,X,O,X
TJOLIZS,O,O,X,X,O,X,X
TJOLSIZ,X,O,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X
TJOSILZ,X,O,O,X,X,O,X
TJOSIZL,O,O,O,X,X,X,X
TJOSLIZ,X,O,O,X,X,X,X
TJOSLZI,X,O,O,X,X,X,X
TJOSZIL,X,X,O,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X
TJOZILS,O,O,X,X,X,X,O
TJOZISL,O,O,O,X,X,X,X
TJOZLIS,O,O,X,X,X,X,O
TJOZLSI,O,O,X,X,X,X,O
TJOZSIL,X,X,O,X,X,X,X
TJOZSLI,O,O,O,X,X,X,O
TSILJZO,X,O,O,O,O,O,X
TSILJOZ,X,O,O,O,X,O,X
TSILZJO,X,O,O,O,X,O,X
TSILZOJ,X,O,O,O,X,X,X
TSILOJZ,X,O,O,O,X,O,X
TSILOZJ,X,O,O,O,X,X,X
TSIJLZO,X,O,O,O,O,O,X
TSIJLOZ,X,O,O,O,X,O,X
TSIJZLO,O,O,X,O,X,O,X
TSIJZOL,O,O,O,O,X,X,X
TSIJOLZ,X,O,O,O,X,O,X
TSIJOZL,O,O,O,O,X,X,X
TSIZLJO,O,O,X,O,X,O,X
TSIZLOJ,O,O,X,O,X,X,X
TSIZJLO,O,O,X,O,X,O,X
TSIZJOL,O,O,O,O,X,X,X
TSIZOLJ,O,O,X,O,X,X,X
TSIZOJL,O,O,O,O,X,X,X
TSIOLJZ,X,O,O,O,X,O,X
TSIOLZJ,X,O,O,O,X,X,X
TSIOJLZ,X,O,O,O,X,O,X
TSIOJZL,O,O,O,O,X,X,X
TSIOZLJ,O,O,X,O,X,X,X
TSIOZJL,O,O,O,O,X,X,X
TSLIJZO,X,O,O,O,O,O,X
TSLIJOZ,X,O,O,O,X,O,X
TSLIZJO,X,O,O,O,X,O,X
TSLIZOJ,X,O,O,O,X,X,X
TSLIOJZ,X,O,O,O,X,O,X
TSLIOZJ,X,O,O,O,X,X,X
TSLJIZO,X,O,O,O,O,O,X
TSLJIOZ,X,O,O,O,X,O,X
TSLJZIO,X,X,O,O,X,X,X
TSLJZOI,X,O,O,O,X,X,X
TSLJOIZ,X,O,O,O,X,X,X
TSLJOZI,X,O,O,O,X,X,X
TSLZIJO,X,X,O,O,X,X,X
TSLZIOJ,X,X,O,O,X,X,X
TSLZJIO,X,X,O,O,X,X,X
TSLZJOI,X,O,O,O,X,X,X
TSLZOIJ,X,X,O,O,X,X,X
TSLZOJI,X,O,O,O,X,X,X
TSLOIJZ,X,O,O,O,X,X,X
TSLOIZJ,X,O,O,O,X,X,X
TSLOJIZ,X,O,O,O,X,X,X
TSLOJZI,X,O,O,O,X,X,X
TSLOZIJ,X,X,O,O,X,X,X
TSLOZJI,X,O,O,O,X,X,X
TSJILZO,X,O,O,O,O,O,X
TSJILOZ,X,O,O,O,X,O,X
TSJIZLO,O,O,X,O,X,O,X
TSJIZOL,O,O,O,O,X,X,X
TSJIOLZ,X,O,O,O,X,O,X
TSJIOZL,O,O,O,O,X,X,X
TSJLIZO,X,O,O,O,O,O,X
TSJLIOZ,X,O,O,O,X,O,X
TSJLZIO,X,X,O,O,X,X,X
TSJLZOI,X,O,O,O,X,X,X
TSJLOIZ,X,O,O,O,X,X,X
TSJLOZI,X,O,O,O,X,X,X
TSJZILO,X,X,X,O,X,O,X
TSJZIOL,X,X,O,O,X,X,X
TSJZLIO,X,X,O,O,X,X,X
TSJZLOI,O,O,O,O,X,X,X
TSJZOIL,X,X,O,O,X,X,X
TSJZOLI,O,O,O,O,X,X,X
TSJOILZ,X,O,O,O,X,O,X
TSJOIZL,O,O,O,O,X,X,X
TSJOLIZ,X,O,O,O,X,X,X
TSJOLZI,X,O,O,O,X,X,X
TSJOZIL,X,X,O,O,X,X,X
TSJOZLI,O,O,O,O,X,X,X
TSZILJO,X,X,X,O,X,O,X
TSZILOJ,X,X,X,O,X,X,X
TSZIJLO,X,X,X,O,X,O,X
TSZIJOL,X,X,O,O,X,X,X
TSZIOLJ,X,X,X,O,X,X,X
TSZIOJL,X,X,O,O,X,X,X
TSZLIJO,X,X,O,O,X,X,X
TSZLIOJ,X,X,O,O,X,X,X
TSZLJIO,X,X,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,X,X,O,O,X,X,X
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,X,X,X,O,X,O,X
TSZJIOL,X,X,O,O,X,X,X
TSZJLIO,X,X,O,O,X,X,X
TSZJLOI,O,O,O,O,X,X,X
TSZJOIL,X,X,O,O,X,X,X
TSZJOLI,O,O,O,O,X,X,X
TSZOILJ,X,X,X,O,X,X,X
TSZOIJL,X,X,O,O,X,X,X
TSZOLIJ,X,X,O,O,X,X,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,X,X,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,X,O,O,O,X,O,X
TSOILZJ,X,O,O,O,X,X,X
TSOIJLZ,X,O,O,O,X,O,X
TSOIJZL,O,O,O,O,X,X,X
TSOIZLJ,O,O,X,O,X,X,X
TSOIZJL,O,O,O,O,X,X,X
TSOLIJZ,X,O,O,O,X,X,X
TSOLIZJ,X,O,O,O,X,X,X
TSOLJIZ,X,O,O,O,X,X,X
TSOLJZI,X,O,O,O,X,X,X
TSOLZIJ,X,X,O,O,X,X,X
TSOLZJI,X,O,O,O,X,X,X
TSOJILZ,X,O,O,O,X,O,X
TSOJIZL,O,O,O,O,X,X,X
TSOJLIZ,X,O,O,O,X,X,X
TSOJLZI,X,O,O,O,X,X,X
TSOJZIL,X,X,O,O,X,X,X
TSOJZLI,O,O,O,O,X,X,X
TSOZILJ,X,X,X,O,X,X,X
TSOZIJL,X,X,O,O,X,X,X
TSOZLIJ,X,X,O,O,X,X,X
TSOZLJI,O,O,O,O,X,X,X
TSOZJIL,X,X,O,O,X,X,X
TSOZJLI,O,O,O,O,X,X,X
TZILJSO,O,O,X,X,O,O,O
TZILJOS,O,O,X,X,O,X,O
TZILSJO,O,O,X,X,O,X,O
TZILSOJ,O,O,X,X,X,X,O
TZILOJS,O,O,X,X,O,X,O
TZILOSJ,O,O,X,X,X,X,O
TZIJLSO,O,O,X,X,O,O,O
TZIJLOS,O,O,X,X,O,X,O
TZIJSLO,O,O,X,X,O,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,O,X,X,O,X,O
TZIJOSL,O,O,O,X,X,X,X
TZISLJO,O,O,X,X,O,X,X
TZISLOJ,O,O,X,X,X,X,X
TZISJLO,O,O,X,X,O,X,X
TZISJOL,O,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X
TZIOLJS,O,O,X,X,O,X,O
TZIOLSJ,O,O,X,X,X,X,O
TZIOJLS,O,O,X,X,O,X,O
TZIOJSL,O,O,O,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X
TZLIJSO,O,O,X,X,O,O,O
TZLIJOS,O,O,X,X,O,X,O
TZLISJO,O,O,X,X,O,X,O
TZLISOJ,O,O,X,X,X,X,O
TZLIOJS,O,O,X,X,O,X,O
TZLIOSJ,O,O,X,X,X,X,O
TZLJISO,O,O,X,X,O,O,O
TZLJIOS,O,O,X,X,O,X,O
TZLJSIO,X,X,X,O,O,X,O
TZLJSOI,O,O,X,O,X,X,O
TZLJOIS,O,O,X,X,O,X,O
TZLJOSI,O,O,X,X,X,X,O
TZLSIJO,X,X,X,O,O,X,O
TZLSIOJ,X,X,X,O,X,X,O
TZLSJIO,X,X,X,O,O,X,O
TZLSJOI,O,O,X,O,X,X,O
TZLSOIJ,X,X,X,O,X,X,O
TZLSOJI,O,O,X,O,X,X,O
TZLOIJS,O,O,X,X,O,X,O
TZLOISJ,O,O,X,X,X,X,O
TZLOJIS,O,O,X,X,O,X,O
TZLOJSI,O,O,X,X,X,X,O
TZLOSIJ,X,X,X,X,X,X,O
TZLOSJI,O,O,X,X,X,X,O
TZJILSO,O,O,X,X,O,O,O
TZJILOS,O,O,X,X,O,X,O
TZJISLO,O,O,X,X,O,X,X
TZJISOL,O,O,X,X,X,X,X
TZJIOLS,O,O,X,X,O,X,O
TZJIOSL,O,O,O,X,X,X,X
TZJLISO,O,O,X,X,O,O,O
TZJLIOS,O,O,X,X,O,X,O
TZJLSIO,X,X,X,O,O,X,O
TZJLSOI,O,O,X,O,X,X,O
TZJLOIS,O,O,X,X,O,X,O
TZJLOSI,O,O,X,X,X,X,O
TZJSILO,X,X,X,O,O,O,X
TZJSIOL,X,X,O,O,X,X,X
TZJSLIO,X,X,O,O,O,X,O
TZJSLOI,O,O,O,O,X,X,O
TZJSOIL,X,X,O,O,X,X,X
TZJSOLI,O,O,O,O,X,X,O
TZJOILS,O,O,X,X,O,X,O
TZJOISL,O,O,O,X,X,X,X
TZJOLIS,O,O,X,X,O,X,O
TZJOLSI,O,O,X,X,X,X,O
TZJOSIL,X,X,O,X,X,X,X
TZJOSLI,O,O,O,X,X,X,O
TZSILJO,X,X,X,O,O,O,X
TZSILOJ,X,X,X,O,X,X,X
TZSIJLO,X,X,X,O,O,O,X
TZSIJOL,X,X,O,O,X,X,X
TZSIOLJ,X,X,X,O,X,X,X
TZSIOJL,X,X,O,O,X,X,X
TZSLIJO,X,X,O,O,O,X,O
TZSLIOJ,X,X,O,O,X,X,O
TZSLJIO,X,X,O,O,O,X,O
TZSLJOI,O,O,O,O,X,X,O
TZSLOIJ,X,X,O,O,X,X,O
TZSLOJI,O,O,O,O,X,X,O
TZSJILO,X,X,X,O,O,O,X
TZSJIOL,X,X,O,O,X,X,X
TZSJLIO,X,X,O,O,O,X,O
TZSJLOI,O,O,O,O,X,X,O
TZSJOIL,X,X,O,O,X,X,X
TZSJOLI,O,O,O,O,X,X,O
TZSOILJ,X,X,X,O,X,X,X
TZSOIJL,X,X,O,O,X,X,X
TZSOLIJ,X,X,O,O,X,X,O
TZSOLJI,O,O,O,O,X,X,O
TZSOJIL,X,X,O,O,X,X,X
TZSOJLI,O,O,O,O,X,X,O
TZOILJS,O,O,X,X,O,X,O
TZOILSJ,O,O,X,X,X,X,O
TZOIJLS,O,O,X,X,O,X,O
TZOIJSL,O,O,O,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X
TZOLIJS,O,O,X,X,O,X,O
TZOLISJ,O,O,X,X,X,X,O
TZOLJIS,O,O,X,X,O,X,O
TZOLJSI,O,O,X,X,X,X,O
TZOLSIJ,X,X,X,X,X,X,O
TZOLSJI,O,O,X,X,X,X,O
TZOJILS,O,O,X,X,O,X,O
TZOJISL,O,O,O,X,X,X,X
TZOJLIS,O,O,X,X,O,X,O
TZOJLSI,O,O,X,X,X,X,O
TZOJSIL,X,X,O,X,X,X,X
TZOJSLI,O,O,O,X,X,X,O
TZOSILJ,X,X,X,X,X,X,X
TZOSIJL,X,X,O,X,X,X,X
TZOSLIJ,X,X,O,X,X,X,O
TZOSLJI,O,O,O,X,X,X,O
TZOSJIL,X,X,O,X,X,X,X
TZOSJLI,O,O,O,X,X,X,O
TOILJSZ,X,O,X,X,X,O,X
TOILJZS,O,O,X,X,O,X,X
