sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
TIOSZJL,O,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X
TIOZLSJ,O,X,X,O,X,X
TIOZJLS,O,X,X,O,X,X
TIOZJSL,O,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X
TIOZSJL,O,X,X,X,X,O
TLIJSZO,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,X,X
TLIJZSO,O,O,X,O,X,X
TLIJZOS,O,O,X,O,X,X
TLIJOSZ,X,O,X,X,X,X
TLIJOZS,O,O,X,O,X,X
TLISJZO,O,O,X,X,X,X
TLISJOZ,O,O,X,X,X,X
TLISZJO,O,X,X,O,X,X
TLISZOJ,O,X,X,O,X,X
TLISOJZ,O,O,X,X,X,X
TLISOZJ,O,X,X,O,X,X
TLIZJSO,O,O,X,O,X,X
TLIZJOS,O,O,X,O,X,X
TLIZSJO,X,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X
TLIZOJS,O,O,X,O,X,X
TLIZOSJ,O,X,X,O,X,X
TLIOJSZ,X,O,X,X,X,X
TLIOJZS,O,O,X,O,X,X
TLIOSJZ,O,O,X,X,X,X
TLIOSZJ,O,X,X,O,X,X
TLIOZJS,O,O,X,O,X,X
TLIOZSJ,O,X,X,O,X,X
TLJISZO,X,O,X,X,X,X
TLJISOZ,X,O,X,X,X,X
TLJIZSO,O,O,X,X,X,X
TLJIZOS,O,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,X
TLJIOZS,O,O,X,X,X,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,X
TLJSZIO,O,X,O,X,X,X
TLJSZOI,O,X,O,X,X,X
TLJSOIZ,O,O,O,X,X,X
TLJSOZI,O,X,O,X,X,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,O,X,X,X,X
TLJZSIO,O,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X
TLJZOIS,O,O,X,X,X,X
TLJZOSI,O,X,O,X,X,X
TLJOISZ,X,O,X,X,X,X
TLJOIZS,O,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,X
TLJOSZI,O,X,O,X,X,X
TLJOZIS,O,O,X,X,X,X
TLJOZSI,O,X,O,X,X,X
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,X
TLSJOZI,O,X,X,X,X,X
TLSZIJO,O,X,O,X,X,X
TLSZIOJ,O,X,O,X,X,X
TLSZJIO,O,X,O,X,X,X
TLSZJOI,O,X,O,X,X,X
TLSZOIJ,O,X,O,X,X,X
TLSZOJI,O,X,O,X,X,X
TLSOIJZ,O,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X
TLSOJIZ,O,O,X,X,X,X
TLSOJZI,O,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X
TLZIJSO,O,O,X,O,X,X
TLZIJOS,O,O,X,O,X,X
TLZISJO,X,X,X,O,X,X
TLZISOJ,O,X,X,O,X,X
TLZIOJS,O,O,X,O,X,X
TLZIOSJ,O,X,X,O,X,X
TLZJISO,O,O,X,X,X,X
TLZJIOS,O,O,X,X,X,X
TLZJSIO,O,X,O,X,X,X
TLZJSOI,O,X,O,X,X,X
TLZJOIS,O,O,X,X,X,X
TLZJOSI,O,X,O,X,X,X
TLZSIJO,O,X,O,X,X,X
TLZSIOJ,O,X,O,X,X,X
TLZSJIO,O,X,O,X,X,X
TLZSJOI,O,X,O,X,X,X
TLZSOIJ,O,X,O,X,X,X
TLZSOJI,O,X,O,X,X,X
TLZOIJS,O,O,X,O,X,X
TLZOISJ,O,X,X,O,X,X
TLZOJIS,O,O,X,X,X,X
TLZOJSI,O,X,O,X,X,X
TLZOSIJ,O,X,O,X,X,X
TLZOSJI,O,X,O,X,X,X
TLOIJSZ,X,O,X,X,X,X
TLOIJZS,O,O,X,O,X,X
TLOISJZ,O,O,X,X,X,X
TLOISZJ,O,X,X,O,X,X
TLOIZJS,O,O,X,O,X,X
TLOIZSJ,O,X,X,O,X,X
TLOJISZ,X,O,X,X,X,X
TLOJIZS,O,O,X,X,X,X
TLOJSIZ,O,O,O,X,X,X
TLOJSZI,O,X,O,X,X,X
TLOJZIS,O,O,X,X,X,X
TLOJZSI,O,X,O,X,X,X
TLOSIJZ,O,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X
TLOSJIZ,O,O,X,X,X,X
TLOSJZI,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X
TLOSZJI,O,X,O,X,X,X
TLOZIJS,O,O,X,O,X,X
TLOZISJ,O,X,X,O,X,X
TLOZJIS,O,O,X,X,X,X
TLOZJSI,O,X,O,X,X,X
TLOZSIJ,O,X,O,X,X,X
TLOZSJI,O,X,O,X,X,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,O,O,X,O,X,X
TJILZOS,O,O,X,O,X,X
TJILOSZ,X,O,X,X,X,X
TJILOZS,O,O,X,O,X,X
TJISLZO,X,X,X,X,O,X
TJISLOZ,X,X,X,X,O,X
TJISZLO,X,X,X,X,O,X
TJISZOL,X,X,X,X,O,X
TJISOLZ,X,X,X,X,O,X
TJISOZL,X,X,X,X,O,X
TJIZLSO,O,X,X,O,X,X
TJIZLOS,O,X,X,O,X,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X
TJIZOSL,O,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X
TJIOLZS,O,O,X,O,X,X
TJIOSLZ,X,X,X,X,O,X
TJIOSZL,X,X,X,X,O,X
TJIOZLS,O,X,X,O,X,X
TJIOZSL,O,X,X,X,X,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,O,O,X,X,X,X
TJLIZOS,O,O,X,X,X,X
TJLIOSZ,X,O,X,X,X,X
TJLIOZS,O,O,X,X,X,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,O,X,X,X
TJLSZIO,O,X,O,X,X,X
TJLSZOI,O,X,O,X,X,X
TJLSOIZ,O,O,O,X,X,X
TJLSOZI,O,X,O,X,X,X
TJLZISO,O,O,X,X,X,X
TJLZIOS,O,O,X,X,X,X
TJLZSIO,O,X,O,X,X,X
TJLZSOI,O,X,O,X,X,X
TJLZOIS,O,O,X,X,X,X
TJLZOSI,O,X,O,X,X,X
TJLOISZ,X,O,X,X,X,X
TJLOIZS,O,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,X
TJLOSZI,O,X,O,X,X,X
TJLOZIS,O,O,X,X,X,X
TJLOZSI,O,X,O,X,X,X
TJSILZO,O,X,X,X,O,X
TJSILOZ,O,X,O,X,O,X
TJSIZLO,O,X,X,X,O,X
TJSIZOL,O,X,X,X,O,X
TJSIOLZ,O,X,O,X,O,X
TJSIOZL,O,X,X,X,O,X
TJSLIZO,O,X,X,X,O,X
TJSLIOZ,O,X,O,X,O,X
TJSLZIO,O,X,O,X,O,X
TJSLZOI,O,X,O,X,O,X
TJSLOIZ,O,X,O,X,O,X
TJSLOZI,O,X,O,X,O,X
TJSZILO,O,X,O,X,O,O
TJSZIOL,O,X,O,X,O,O
TJSZLIO,O,X,O,X,O,O
TJSZLOI,O,X,O,X,O,O
TJSZOIL,O,X,O,X,O,O
TJSZOLI,O,X,O,X,O,O
TJSOILZ,O,X,O,X,O,X
TJSOIZL,O,X,X,X,O,X
TJSOLIZ,O,X,O,X,O,X
TJSOLZI,O,X,O,X,O,X
TJSOZIL,O,X,O,X,O,O
TJSOZLI,O,X,O,X,O,O
TJZILSO,O,X,X,O,X,X
TJZILOS,O,X,X,O,X,X
TJZISLO,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,O,X,X,O,X,X
TJZIOSL,O,X,X,X,X,X
TJZLISO,O,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X
TJZLSIO,O,X,O,X,X,X
TJZLSOI,O,X,O,X,X,X
TJZLOIS,O,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X
TJZSILO,O,X,O,X,X,O
TJZSIOL,O,X,O,X,X,O
TJZSLIO,O,X,O,X,X,O
TJZSLOI,O,X,O,X,X,O
TJZSOIL,O,X,O,X,X,O
TJZSOLI,O,X,O,X,X,O
TJZOILS,O,X,X,O,X,X
TJZOISL,O,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X
TJZOSIL,O,X,O,X,X,O
TJZOSLI,O,X,O,X,X,O
TJOILSZ,X,O,X,X,X,X
TJOILZS,O,O,X,O,X,X
TJOISLZ,X,X,X,X,O,X
TJOISZL,X,X,X,X,O,X
TJOIZLS,O,X,X,O,X,X
TJOIZSL,O,X,X,X,X,X
TJOLISZ,X,O,X,X,X,X
TJOLIZS,O,O,X,X,X,X
TJOLSIZ,O,O,O,X,X,X
TJOLSZI,O,X,O,X,X,X
TJOLZIS,O,O,X,X,X,X
TJOLZSI,O,X,O,X,X,X
TJOSILZ,O,X,O,X,O,X
TJOSIZL,O,X,X,X,O,X
TJOSLIZ,O,X,O,X,O,X
TJOSLZI,O,X,O,X,O,X
TJOSZIL,O,X,O,X,O,O
TJOSZLI,O,X,O,X,O,O
TJOZILS,O,X,X,O,X,X
TJOZISL,O,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X
TJOZSIL,O,X,O,X,X,O
TJOZSLI,O,X,O,X,X,O
TSILJZO,O,O,X,X,O,X
TSILJOZ,O,O,X,X,O,X
TSILZJO,O,X,X,O,X,X
TSILZOJ,O,X,X,O,O,X
TSILOJZ,O,O,X,X,O,X
TSILOZJ,O,X,O,O,O,X
TSIJLZO,O,X,X,X,O,X
TSIJLOZ,O,X,X,X,O,X
TSIJZLO,O,X,X,X,O,X
TSIJZOL,O,X,X,X,O,X
TSIJOLZ,O,X,X,X,O,X
TSIJOZL,O,X,X,X,O,X
TSIZLJO,O,X,X,O,X,X
TSIZLOJ,O,X,X,O,O,X
TSIZJLO,O,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X
TSIZOLJ,O,X,X,O,O,X
TSIZOJL,O,X,X,X,X,X
TSIOLJZ,O,O,X,X,O,X
TSIOLZJ,O,X,O,O,O,X
TSIOJLZ,O,X,X,X,O,X
TSIOJZL,O,X,X,X,O,X
TSIOZLJ,O,X,X,O,O,X
TSIOZJL,O,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X
TSLIJOZ,O,O,X,X,O,X
TSLIZJO,O,X,X,X,X,X
TSLIZOJ,O,X,X,X,O,X
TSLIOJZ,O,O,X,X,O,X
TSLIOZJ,O,X,O,X,O,X
TSLJIZO,O,O,X,X,O,X
TSLJIOZ,O,O,X,X,O,X
TSLJZIO,O,X,X,X,O,X
TSLJZOI,O,X,X,X,O,X
TSLJOIZ,O,O,X,X,O,X
TSLJOZI,O,X,X,X,O,X
TSLZIJO,O,X,O,X,X,X
TSLZIOJ,O,X,O,X,O,X
TSLZJIO,O,X,O,X,X,X
TSLZJOI,O,X,O,X,X,X
TSLZOIJ,O,X,O,X,O,X
TSLZOJI,O,X,O,X,X,X
TSLOIJZ,O,O,X,X,O,X
TSLOIZJ,O,X,O,X,O,X
TSLOJIZ,O,O,X,X,O,X
TSLOJZI,O,X,X,X,O,X
TSLOZIJ,O,X,O,X,O,X
TSLOZJI,O,X,O,X,X,X
TSJILZO,O,X,X,X,O,X
TSJILOZ,O,X,X,X,O,X
TSJIZLO,O,X,X,X,O,X
TSJIZOL,O,X,X,X,O,X
TSJIOLZ,O,X,X,X,O,X
TSJIOZL,O,X,X,X,O,X
TSJLIZO,O,X,X,X,O,X
TSJLIOZ,O,X,X,X,O,X
TSJLZIO,O,X,X,X,O,X
TSJLZOI,O,X,X,X,O,X
TSJLOIZ,O,X,X,X,O,X
TSJLOZI,O,X,X,X,O,X
TSJZILO,O,X,X,X,O,O
TSJZIOL,O,X,X,X,O,O
TSJZLIO,O,X,X,X,O,O
TSJZLOI,O,X,X,X,O,O
TSJZOIL,O,X,X,X,O,O
TSJZOLI,O,X,X,X,O,O
TSJOILZ,O,X,X,X,O,X
TSJOIZL,O,X,X,X,O,X
TSJOLIZ,O,X,X,X,O,X
TSJOLZI,O,X,X,X,O,X
TSJOZIL,O,X,X,X,O,O
TSJOZLI,O,X,X,X,O,O
TSZILJO,O,X,O,O,X,X
TSZILOJ,O,X,O,O,O,X
TSZIJLO,O,X,O,X,X,O
TSZIJOL,O,X,O,X,X,O
TSZIOLJ,O,X,O,O,O,X
TSZIOJL,O,X,O,X,X,O
TSZLIJO,O,X,O,X,X,X
TSZLIOJ,O,X,O,X,O,X
TSZLJIO,O,X,O,X,X,X
TSZLJOI,O,X,O,X,X,X
TSZLOIJ,O,X,O,X,O,X
TSZLOJI,O,X,O,X,X,X
TSZJILO,O,X,O,X,X,O
TSZJIOL,O,X,O,X,X,O
TSZJLIO,O,X,O,X,X,O
TSZJLOI,O,X,O,X,X,O
TSZJOIL,O,X,O,X,X,O
TSZJOLI,O,X,O,X,X,O
TSZOILJ,O,X,O,O,O,X
TSZOIJL,O,X,O,X,X,O
TSZOLIJ,O,X,O,X,O,X
TSZOLJI,O,X,O,X,X,X
TSZOJIL,O,X,O,X,X,O
TSZOJLI,O,X,O,X,X,O
TSOILJZ,O,O,X,X,O,X
TSOILZJ,O,X,O,O,O,X
TSOIJLZ,O,X,X,X,O,X
TSOIJZL,O,X,X,X,O,X
TSOIZLJ,O,X,X,O,O,X
TSOIZJL,O,X,X,X,X,X
TSOLIJZ,O,O,X,X,O,X
TSOLIZJ,O,X,O,X,O,X
TSOLJIZ,O,O,X,X,O,X
TSOLJZI,O,X,X,X,O,X
TSOLZIJ,O,X,O,X,O,X
TSOLZJI,O,X,O,X,X,X
TSOJILZ,O,X,X,X,O,X
TSOJIZL,O,X,X,X,O,X
TSOJLIZ,O,X,X,X,O,X
TSOJLZI,O,X,X,X,O,X
TSOJZIL,O,X,X,X,O,O
TSOJZLI,O,X,X,X,O,O
TSOZILJ,O,X,O,O,O,X
TSOZIJL,O,X,O,X,X,O
TSOZLIJ,O,X,O,X,O,X
TSOZLJI,O,X,O,X,X,X
TSOZJIL,O,X,O,X,X,O
TSOZJLI,O,X,O,X,X,O
TZILJSO,O,O,X,O,X,X
TZILJOS,O,O,X,O,X,X
TZILSJO,X,X,O,O,X,X
TZILSOJ,O,X,O,O,X,X
TZILOJS,O,O,X,O,X,X
TZILOSJ,O,X,O,O,X,X
TZIJLSO,O,X,X,O,X,X
TZIJLOS,O,X,X,O,X,X
TZIJSLO,O,X,O,X,X,X
TZIJSOL,O,X,O,X,X,X
TZIJOLS,O,X,X,O,X,X
TZIJOSL,O,X,O,X,X,X
TZISLJO,O,X,O,O,X,X
TZISLOJ,O,X,O,O,X,X
TZISJLO,O,X,O,X,X,O
TZISJOL,O,X,O,X,X,O
TZISOLJ,O,X,O,O,X,X
TZISOJL,O,X,O,X,X,O
TZIOLJS,O,O,X,O,X,X
TZIOLSJ,O,X,O,O,X,X
TZIOJLS,O,X,X,O,X,X
TZIOJSL,O,X,O,X,X,X
TZIOSLJ,O,X,O,O,X,X
TZIOSJL,O,X,O,X,X,O
TZLIJSO,O,O,X,O,X,X
TZLIJOS,O,O,X,O,X,X
TZLISJO,X,X,O,O,X,X
TZLISOJ,O,X,O,O,X,X
TZLIOJS,O,O,X,O,X,X
TZLIOSJ,O,X,O,O,X,X
TZLJISO,O,O,X,X,X,X
TZLJIOS,O,O,X,X,X,X
TZLJSIO,O,X,O,X,X,X
TZLJSOI,O,X,O,X,X,X
TZLJOIS,O,O,X,X,X,X
TZLJOSI,O,X,O,X,X,X
TZLSIJO,O,X,O,X,X,X
TZLSIOJ,O,X,O,X,X,X
TZLSJIO,O,X,O,X,X,X
TZLSJOI,O,X,O,X,X,X
TZLSOIJ,O,X,O,X,X,X
TZLSOJI,O,X,O,X,X,X
TZLOIJS,O,O,X,O,X,X
TZLOISJ,O,X,O,O,X,X
TZLOJIS,O,O,X,X,X,X
TZLOJSI,O,X,O,X,X,X
TZLOSIJ,O,X,O,X,X,X
TZLOSJI,O,X,O,X,X,X
TZJILSO,O,X,X,O,X,X
TZJILOS,O,X,X,O,X,X
TZJISLO,O,X,O,X,X,X
TZJISOL,O,X,O,X,X,X
TZJIOLS,O,X,X,O,X,X
TZJIOSL,O,X,O,X,X,X
TZJLISO,O,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X
TZJLSIO,O,X,O,X,X,X
TZJLSOI,O,X,O,X,X,X
TZJLOIS,O,X,X,X,X,X
TZJLOSI,O,X,O,X,X,X
TZJSILO,O,X,O,X,X,O
TZJSIOL,O,X,O,X,X,O
TZJSLIO,O,X,O,X,X,O
TZJSLOI,O,X,O,X,X,O
TZJSOIL,O,X,O,X,X,O
TZJSOLI,O,X,O,X,X,O
TZJOILS,O,X,X,O,X,X
TZJOISL,O,X,O,X,X,X
TZJOLIS,O,X,X,X,X,X
TZJOLSI,O,X,O,X,X,X
TZJOSIL,O,X,O,X,X,O
TZJOSLI,O,X,O,X,X,O
TZSILJO,O,X,O,O,X,X
TZSILOJ,O,X,O,O,X,X
TZSIJLO,O,X,O,X,X,O
TZSIJOL,O,X,O,X,X,O
TZSIOLJ,O,X,O,O,X,X
TZSIOJL,O,X,O,X,X,O
TZSLIJO,O,X,O,X,X,X
TZSLIOJ,O,X,O,X,X,X
TZSLJIO,O,X,O,X,X,X
TZSLJOI,O,X,O,X,X,X
TZSLOIJ,O,X,O,X,X,X
TZSLOJI,O,X,O,X,X,X
TZSJILO,O,X,O,X,X,O
TZSJIOL,O,X,O,X,X,O
TZSJLIO,O,X,O,X,X,O
TZSJLOI,O,X,O,X,X,O
TZSJOIL,O,X,O,X,X,O
TZSJOLI,O,X,O,X,X,O
TZSOILJ,O,X,O,O,X,X
TZSOIJL,O,X,O,X,X,O
TZSOLIJ,O,X,O,X,X,X
TZSOLJI,O,X,O,X,X,X
TZSOJIL,O,X,O,X,X,O
TZSOJLI,O,X,O,X,X,O
TZOILJS,O,O,X,O,X,X
TZOILSJ,O,X,O,O,X,X
TZOIJLS,O,X,X,O,X,X
TZOIJSL,O,X,O,X,X,X
TZOISLJ,O,X,O,O,X,X
TZOISJL,O,X,O,X,X,O
TZOLIJS,O,O,X,O,X,X
TZOLISJ,O,X,O,O,X,X
TZOLJIS,O,O,X,X,X,X
TZOLJSI,O,X,O,X,X,X
TZOLSIJ,O,X,O,X,X,X
TZOLSJI,O,X,O,X,X,X
TZOJILS,O,X,X,O,X,X
TZOJISL,O,X,O,X,X,X
TZOJLIS,O,X,X,X,X,X
TZOJLSI,O,X,O,X,X,X
TZOJSIL,O,X,O,X,X,O
TZOJSLI,O,X,O,X,X,O
TZOSILJ,O,X,O,O,X,X
TZOSIJL,O,X,O,X,X,O
TZOSLIJ,O,X,O,X,X,X
TZOSLJI,O,X,O,X,X,X
TZOSJIL,O,X,O,X,X,O
TZOSJLI,O,X,O,X,X,O
TOILJSZ,X,O,X,X,X,X
TOILJZS,O,O,X,O,X,X
TOILSJZ,O,O,X,X,X,X
TOILSZJ,O,X,X,O,X,X
TOILZJS,O,O,X,O,X,X
TOILZSJ,O,X,X,O,X,X
TOIJLSZ,X,O,X,X,X,X
TOIJLZS,O,O,X,O,X,X
TOIJSLZ,X,X,X,X,O,X
TOIJSZL,X,X,X,X,O,X
TOIJZLS,O,X,X,O,X,X
TOIJZSL,O,X,X,X,X,X
TOISLJZ,O,O,X,X,O,X
TOISLZJ,O,X,X,O,O,X
TOISJLZ,O,X,X,X,O,X
TOISJZL,O,X,X,X,O,X
TOISZLJ,O,X,X,O,O,X
TOISZJL,O,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X
TOIZLSJ,O,X,X,O,X,X
TOIZJLS,O,X,X,O,X,X
TOIZJSL,O,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X
TOIZSJL,O,X,X,X,X,O
TOLIJSZ,X,O,X,X,X,X
TOLIJZS,O,O,X,O,X,X
TOLISJZ,O,O,X,X,X,X
TOLISZJ,O,X,X,O,X,X
TOLIZJS,O,O,X,O,X,X
TOLIZSJ,O,X,X,O,X,X
TOLJISZ,X,O,X,X,X,X
TOLJIZS,O,O,X,X,X,X
TOLJSIZ,O,O,O,X,X,X
TOLJSZI,O,X,O,X,X,X
TOLJZIS,O,O,X,X,X,X
TOLJZSI,O,X,O,X,X,X
TOLSIJZ,O,O,X,X,X,X
TOLSIZJ,O,X,O,X,X,X
TOLSJIZ,O,O,X,X,X,X
TOLSJZI,O,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,X
TOLSZJI,O,X,O,X,X,X
TOLZIJS,O,O,X,O,X,X
TOLZISJ,O,X,X,O,X,X
TOLZJIS,O,O,X,X,X,X
TOLZJSI,O,X,O,X,X,X
TOLZSIJ,O,X,O,X,X,X
TOLZSJI,O,X,O,X,X,X
TOJILSZ,X,O,X,X,X,X
TOJILZS,O,O,X,O,X,X
TOJISLZ,X,X,X,X,O,X
TOJISZL,X,X,X,X,O,X
TOJIZLS,O,X,X,O,X,X
TOJIZSL,O,X,X,X,X,X
TOJLISZ,X,O,X,X,X,X
TOJLIZS,O,O,X,X,X,X
TOJLSIZ,O,O,O,X,X,X
TOJLSZI,O,X,O,X,X,X
TOJLZIS,O,O,X,X,X,X
TOJLZSI,O,X,O,X,X,X
TOJSILZ,O,X,O,X,O,X
TOJSIZL,O,X,X,X,O,X
TOJSLIZ,O,X,O,X,O,X
TOJSLZI,O,X,O,X,O,X
TOJSZIL,O,X,O,X,O,O
