sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TLJSZOI,X,X,O,X,O,O,X,X
TLJSOIZ,X,X,O,O,X,O,X,X
TLJSOZI,X,X,O,X,O,X,X,X
TLJZISO,X,X,X,X,O,X,X,X
TLJZIOS,X,X,X,O,O,O,X,X
TLJZSIO,X,X,X,X,O,O,X,X
TLJZSOI,X,X,X,X,O,O,X,X
TLJZOIS,X,X,X,O,O,O,X,X
TLJZOSI,X,X,X,X,O,O,X,X
TLJOISZ,X,X,O,O,X,O,O,X
TLJOIZS,X,X,X,O,O,O,O,X
TLJOSIZ,X,X,O,O,X,O,X,X
TLJOSZI,X,X,O,X,O,X,X,X
TLJOZIS,X,X,X,O,O,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,O,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,O,O,O,O,X,X,X,X
TLSIOZJ,O,O,O,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,O,O,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X
TLSJZOI,O,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,X,O,X,X,X
TLSZJOI,O,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,X,O,X,X,X
TLSOIJZ,O,O,O,O,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,X
