sequence,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBfiB?xdBCjBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jBaoB3iBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jB3iBaoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBfiB?xdBGjBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFGeB3gB?RiBUiBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFRdBSjB?UiB3gBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFzcBGeB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFfiBxdB?TgBSoBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhFyhBTgB?3iBcoBGoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBFdB?5jBmnB8nBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dBTgB?OsBXtB6tBlrB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFRdBcjB?TgBXnBStBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jez8IvhFGeBigB?/oBRsBcsBlqB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFzcBSjB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhF5jB3gB?mnB8nBzmBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFUdB5jB?TgBlnBaoBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dB6jB?TgBXnBVtBmrB
TIJOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TIJOSZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJOZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
TIJOZSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISLJZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TISLJOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X
TISLZJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TISLZOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TISLOJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TISLOZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TISJLZO,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TISJLOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X
TISJZLO,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TISJZOL,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TISJOLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TISJOZL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TISZLJO,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TISZLOJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZJLO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TISZJOL,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZOJL,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TISOLJZ,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O
TISOLZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O
TISOJLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TISOJZL,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TISOZLJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
TISOZJL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIZLJSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
TIZLOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJLSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZJSLO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZJOSL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIZOLSJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TIZOJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIZOJSL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TIZOSLJ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
TIZOSJL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOLJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOLSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOLSZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOLZJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOLZSJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TIOJLSZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOJLZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOJSLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X
TIOJSZL,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TIOJZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOJZSL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIOSLJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOSLZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOSJLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O
TIOSJZL,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O
TIOSZLJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O
TIOSZJL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O
TIOZLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOZLSJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O
TIOZJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
TIOZJSL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIOZSLJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TIOZSJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLISJZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TLISJOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TLISZJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TLISZOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TLISOJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TLISOZJ,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
TLIZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIZSJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TLIZOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X
TLIOJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
TLIOSJZ,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,O
TLIOSZJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
TLIOZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
TLIOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLJISZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSOIZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJSOZI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJZISO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJZIOS,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJZSIO,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJZSOI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJZOSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TLJOIZS,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TLJOSIZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLJOSZI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJOZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJOZSI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TLSIJOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TLSIZOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TLSIOJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSIOZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSJIZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TLSJIOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSJOIZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSJOZI,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLSZIJO,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O
TLSZJIO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSZOIJ,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O
TLSZOJI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TLSOIJZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSOIZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSOJIZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLSOJZI,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TLSOZIJ,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O
TLSOZJI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TLZIJSO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIJOS,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZISJO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZIOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZJISO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZJIOS,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZJSIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZJSOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJOSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O
TLZSJIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZSOIJ,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O
TLZSOJI,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O
TLZOIJS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZOISJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZOJIS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZOJSI,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O
TLZOSJI,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O
TLOIJSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,X
TLOIJZS,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O
TLOISJZ,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O
TLOISZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O
TLOIZJS,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O
TLOIZSJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O
TLOJISZ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
TLOJIZS,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O
TLOJSIZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLOJSZI,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOJZIS,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOJZSI,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLOSIZJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLOSJIZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
TLOSJZI,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOSZIJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
TLOSZJI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOZIJS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOZISJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O
TLOZJIS,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOZJSI,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O
TLOZSJI,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O
TJILSZO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TJILZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJISLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJISLOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TJISZLO,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJISZOL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TJISOLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TJISOZL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TJIZLSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJIZSLO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJIZOSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TJIOLZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
TJIOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TJIOSZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TJIOZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
TJIOZSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLISZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJLSOIZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TJLSOZI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TJLZISO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLZIOS,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLZSIO,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TJLZSOI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TJLZOSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJLOIZS,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TJLOSIZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
