sequence,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je08IvhFxdBflBlgBO?rB6qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhF0cBxdBWlB/?mBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je07IvhFxdBzfBumBX?hBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBu?qBirB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Jex9IvhFflB0gBlhB6?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBq?qB2rB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhF+gBxdBlhBy?qBzrBXrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBmrBTrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFOhBxdBSlB1?rB0qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFxdBUhBFlBa?sBTmBWwB
TIJLZSO,X,O,X,O,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,X,O,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X,X,O
TIJSZOL,O,O,X,O,O,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,X,X,X,X
TIJSOZL,O,O,O,O,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,X,X,X,X,X,X,X,O
TIJZSLO,O,O,X,X,X,X,X,X,O,X,O
TIJZSOL,O,O,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X,O,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,X,X,X,X
TIJOSZL,X,O,O,O,O,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,O,X,X,X,X
TISLJOZ,X,O,X,O,X,X,O,X,X,X,X
TISLZJO,X,O,X,X,O,X,X,X,X,X,O
TISLZOJ,X,X,X,X,O,X,O,X,X,X,O
TISLOJZ,X,X,X,O,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,X,X,O,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X
TISJLOZ,X,O,X,O,X,X,O,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X,O
TISJZOL,O,O,X,O,O,X,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X
TISJOZL,O,O,X,O,X,X,X,X,X,X,X
TISZLJO,X,O,X,X,O,X,X,X,X,X,O
TISZLOJ,X,X,X,X,O,X,O,X,X,X,O
TISZJLO,O,O,X,X,O,X,X,X,X,X,O
TISZJOL,O,O,X,X,O,X,X,X,X,X,X
TISZOLJ,X,X,X,X,O,X,X,X,X,X,O
TISZOJL,X,O,X,O,O,X,X,X,X,X,X
TISOLJZ,X,X,X,O,X,X,O,X,X,X,X
TISOLZJ,X,X,X,X,O,X,O,O,X,X,X
TISOJLZ,O,O,X,O,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,O,X,X,X,X,X,X
TISOZLJ,X,X,X,X,O,X,X,X,X,X,O
TISOZJL,O,O,X,O,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,O,O
TIZLJOS,X,X,X,X,X,X,X,X,X,O,X
TIZLSJO,X,O,X,X,X,X,X,X,X,O,O
TIZLSOJ,X,O,X,X,X,X,O,X,X,O,O
TIZLOJS,X,X,X,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,O,O
TIZJLSO,X,X,X,X,X,X,X,X,X,O,O
TIZJLOS,X,X,X,X,X,X,X,X,X,O,O
TIZJSLO,O,O,X,X,X,X,X,X,O,O,O
TIZJSOL,O,O,X,O,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,O,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,X,O,O,X,X,O,O,O
TIZSLOJ,X,X,X,X,O,O,O,X,O,O,O
TIZSJLO,O,O,X,X,O,X,X,X,O,O,O
TIZSJOL,O,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,X,O
TIZSOJL,X,O,X,O,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,O,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,O,X,O,O
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,O,X,X,X,X,O
TIZOSJL,O,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,O,O,X,X,X
TIOLZJS,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,O,X,X,X
TIOJLSZ,X,O,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,O,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X,X,X,X
TIOJSZL,O,O,O,O,O,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,X,O,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,O,O,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,X,O
TIOSZJL,O,O,X,O,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,O,X,X,O
TIOZJLS,X,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X,O
TIOZSJL,O,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,O,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,O,O,O,X,X,O,X,X,X,X
TLIJZSO,X,O,X,O,X,X,O,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,O,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,O,X,X,O,X,X,X,X
TLISJOZ,X,O,X,O,X,X,O,X,X,X,X
TLISZJO,X,O,X,X,O,X,X,X,X,O,O
TLISZOJ,X,O,X,X,O,X,O,X,X,O,O
TLISOJZ,X,O,X,O,X,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,O,O
TLIZJOS,X,O,X,X,X,X,X,O,X,O,X
TLIZSJO,X,O,X,X,X,X,X,X,X,O,O
TLIZSOJ,X,O,X,X,X,X,O,X,X,O,O
TLIZOJS,X,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,O,O
TLIOJSZ,X,O,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,O,X,O,O,X,X,X
TLIOZJS,X,X,O,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,X,O,X,O,X,X,O,X,X,X,X
TLJISOZ,X,O,O,O,X,X,O,X,X,X,X
TLJIZSO,X,O,X,O,X,X,O,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,O,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,O,X,X,O,X,X,X,X
TLJSIOZ,X,O,O,O,X,X,O,X,X,X,X
TLJSZIO,X,O,X,O,X,X,O,X,X,X,O
TLJSZOI,X,O,X,O,X,X,O,X,X,X,O
TLJSOIZ,X,O,O,O,X,X,O,X,X,X,X
TLJSOZI,X,O,O,O,X,X,O,X,X,X,X
TLJZISO,X,O,X,O,X,X,O,X,X,X,O
TLJZIOS,X,O,O,X,X,X,X,O,X,X,O
TLJZSIO,X,O,X,O,X,X,O,X,X,X,O
TLJZSOI,X,O,X,O,X,X,O,O,X,X,O
TLJZOIS,X,O,O,X,X,X,X,O,X,X,O
TLJZOSI,X,O,O,X,X,X,X,O,X,X,O
TLJOISZ,X,O,O,O,X,X,O,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,X,X,O,X,X,X,X
TLJOSZI,X,O,O,O,X,X,O,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,O,X,X,O,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,O,X,X,X,X
TLSIZJO,X,O,X,X,O,X,X,X,X,O,O
TLSIZOJ,X,O,X,X,O,X,O,X,X,O,O
TLSIOJZ,X,O,X,O,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,O,X,X,X,X
TLSJIZO,X,O,X,O,X,X,O,X,X,X,X
TLSJIOZ,X,O,O,O,X,X,O,X,X,X,X
TLSJZIO,X,O,X,O,X,X,O,X,X,X,O
TLSJZOI,X,O,X,O,X,X,O,X,X,X,O
TLSJOIZ,X,O,O,O,X,X,O,X,X,X,X
TLSJOZI,X,O,O,O,X,X,O,X,X,X,X
TLSZIJO,X,O,X,X,O,X,X,X,X,O,O
TLSZIOJ,X,O,X,X,O,X,O,X,X,O,O
TLSZJIO,X,O,X,X,O,X,X,X,X,O,O
TLSZJOI,X,O,X,X,O,X,X,O,X,O,O
TLSZOIJ,X,O,X,X,O,X,O,X,X,O,O
TLSZOJI,X,O,X,X,O,X,O,X,X,O,O
TLSOIJZ,X,O,X,O,X,X,O,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,O,X,X,X,X
TLSOJIZ,X,O,O,O,X,X,O,X,X,X,X
TLSOJZI,X,O,O,O,X,X,O,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,O,X,X,X,X
TLSOZJI,X,O,O,X,X,X,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,O,O
TLZIJOS,X,O,X,X,X,X,X,O,X,O,X
TLZISJO,X,O,X,X,X,X,X,X,X,O,O
TLZISOJ,X,O,X,X,X,X,O,X,X,O,O
TLZIOJS,X,X,X,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,O,O
TLZJISO,X,O,X,X,X,X,X,X,X,O,O
TLZJIOS,X,O,O,X,X,X,X,O,X,O,O
TLZJSIO,X,O,X,X,X,X,X,X,X,O,O
TLZJSOI,X,O,X,X,X,X,X,O,X,O,O
TLZJOIS,X,O,O,X,X,X,X,O,X,O,O
TLZJOSI,X,O,O,X,X,X,X,O,X,O,O
TLZSIJO,X,O,X,X,X,X,X,X,X,O,O
TLZSIOJ,X,O,X,X,X,X,O,X,X,O,O
TLZSJIO,X,O,X,X,X,X,X,X,X,O,O
TLZSJOI,X,O,X,X,X,X,X,O,X,O,O
TLZSOIJ,X,O,X,X,X,X,O,X,X,O,O
TLZSOJI,X,O,X,X,X,X,O,X,X,O,O
TLZOIJS,X,X,O,X,X,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,X,X,X,X,O,O
TLZOJIS,X,X,O,X,X,X,X,O,X,O,X
TLZOJSI,X,X,O,X,X,X,X,O,X,O,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,O,O
TLZOSJI,X,X,O,X,X,X,X,X,X,O,O
TLOIJSZ,X,O,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,X,X,O,X,X,X
TLOISJZ,X,O,X,X,X,X,O,X,X,X,X
TLOISZJ,X,O,X,X,O,X,O,O,X,X,X
TLOIZJS,X,X,O,X,X,X,X,O,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,O,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,O,X,X,X
TLOJZSI,X,O,O,X,X,X,X,O,X,X,X
TLOSIJZ,X,O,X,X,X,X,O,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,O,O,X,X,X
TLOSJIZ,X,O,O,X,X,X,O,X,X,X,X
TLOSJZI,X,O,O,X,X,X,O,X,X,X,X
TLOSZIJ,X,O,X,X,O,X,O,O,X,X,X
TLOSZJI,X,O,O,X,O,X,O,O,X,X,X
TLOZIJS,X,X,O,X,X,X,X,O,X,X,X
TLOZISJ,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,X,X,O,X,X,X,X,O,X,X,X
TLOZJSI,X,X,O,X,X,X,X,O,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,O,X,X,X
TLOZSJI,X,X,O,X,X,X,X,O,X,X,X
TJILSZO,X,O,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,O,O,X,X,O,X,X,X,X
TJILZSO,X,O,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X,X,X
TJISLOZ,X,O,X,O,X,X,O,X,X,X,X
TJISZLO,O,O,X,X,O,X,X,X,X,X,O
TJISZOL,O,O,X,O,O,X,X,X,X,X,X
TJISOLZ,X,O,X,O,X,X,X,X,X,X,X
TJISOZL,O,O,O,O,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,O
TJIZLOS,X,X,X,X,X,X,X,X,X,X,O
TJIZSLO,O,O,X,X,X,X,X,X,O,X,O
TJIZSOL,O,O,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X,O,X,X,X
TJIOSLZ,X,O,X,O,X,X,X,X,X,X,X
TJIOSZL,X,O,O,O,O,X,X,X,X,X,X
TJIOZLS,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X,X,X,X
TJLISZO,X,O,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,O,O,X,X,O,X,X,X,X
TJLIZSO,X,O,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X,X
TJLSIZO,X,O,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,O,X,X,O,X,X,X,X
TJLSZIO,X,O,X,O,X,X,X,X,X,X,O
TJLSZOI,X,O,X,O,X,X,X,X,X,X,O
TJLSOIZ,X,O,O,O,X,X,O,X,X,X,X
TJLSOZI,X,O,O,O,X,X,O,X,X,X,X
TJLZISO,X,O,X,O,X,X,X,X,X,X,O
TJLZIOS,X,O,O,X,X,X,X,O,X,X,O
TJLZSIO,X,O,X,O,X,X,X,X,X,X,O
TJLZSOI,X,O,X,O,X,X,X,O,X,X,O
TJLZOIS,X,O,O,X,X,X,X,O,X,X,O
TJLZOSI,X,O,O,X,X,X,X,O,X,X,O
TJLOISZ,X,O,O,O,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,O,O,X,X,X,X,X,X,X
TJLOSZI,X,O,O,O,X,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X,X
TJSILOZ,X,O,X,O,X,X,O,X,X,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X,O
TJSIZOL,O,O,X,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,X,X,X,X,X
TJSIOZL,O,O,O,O,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,O,X,O,X,X,O,X,X,X,X
TJSLZIO,O,O,X,O,X,X,X,X,X,X,O
TJSLZOI,O,O,X,O,X,X,X,X,X,X,O
TJSLOIZ,O,O,X,O,X,X,O,X,X,X,X
TJSLOZI,O,O,X,O,X,X,O,X,X,X,X
TJSZILO,O,O,X,X,O,X,X,X,X,X,O
TJSZIOL,O,O,X,O,O,X,X,X,X,X,X
TJSZLIO,O,O,X,X,O,X,X,X,X,X,O
TJSZLOI,O,O,X,X,O,X,X,X,X,X,O
TJSZOIL,O,O,X,O,O,X,X,X,X,X,X
TJSZOLI,O,O,X,O,O,X,X,X,X,X,O
TJSOILZ,O,O,X,O,X,X,X,X,X,X,X
TJSOIZL,O,O,O,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,O,O,O,X,X,X,X,X,X,X
TJSOZLI,O,O,O,O,X,X,X,X,X,X,O
TJZILSO,X,X,X,X,X,X,X,X,X,X,O
TJZILOS,X,X,X,X,X,X,X,X,X,X,O
TJZISLO,O,O,X,X,X,X,X,X,O,X,O
TJZISOL,O,O,X,O,X,X,X,X,X,X,X
TJZIOLS,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,X,O,O,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,X,O
TJZLIOS,X,X,X,X,X,X,X,X,X,X,O
TJZLSIO,X,X,X,X,X,X,X,X,X,X,O
TJZLSOI,X,X,X,X,X,X,X,X,X,X,O
TJZLOIS,X,X,X,X,X,X,X,X,X,X,O
TJZLOSI,X,X,X,X,X,X,X,X,X,X,O
TJZSILO,O,O,X,X,X,X,X,X,O,X,O
TJZSIOL,O,O,X,O,X,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X,O,X,O
TJZSLOI,O,O,X,X,X,X,X,X,O,X,O
TJZSOIL,O,O,X,O,X,X,X,X,X,X,X
TJZSOLI,O,O,X,O,X,X,X,X,X,X,O
TJZOILS,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,X,O,O,X,X,X,X,X,X,X,X
TJZOLIS,X,X,O,X,X,X,X,X,X,X,O
TJZOLSI,X,X,O,X,X,X,X,X,X,X,O
TJZOSIL,X,O,O,X,X,X,X,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X,X,X,X,O
TJOILSZ,X,O,O,X,X,X,X,X,X,X,X
TJOILZS,X,O,O,X,X,X,X,O,X,X,X
TJOISLZ,X,O,X,O,X,X,X,X,X,X,X
TJOISZL,X,O,O,O,O,X,X,X,X,X,X
TJOIZLS,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,O,X,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,O,X,X,X
TJOLSIZ,X,O,O,X,X,X,X,X,X,X,X
TJOLSZI,X,O,O,X,X,X,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,O,X,X,X
TJOLZSI,X,O,O,X,X,X,X,O,X,X,X
TJOSILZ,X,O,X,O,X,X,X,X,X,X,X
TJOSIZL,X,O,O,O,O,X,X,X,X,X,X
TJOSLIZ,X,O,X,O,X,X,X,X,X,X,X
TJOSLZI,X,O,X,O,X,X,X,X,X,X,X
TJOSZIL,X,O,O,O,O,X,X,X,X,X,X
TJOSZLI,X,O,O,O,O,X,X,X,X,X,O
TJOZILS,X,X,O,X,X,X,X,X,X,X,X
TJOZISL,X,O,O,X,X,X,X,X,X,X,X
TJOZLIS,X,X,O,X,X,X,X,X,X,X,O
TJOZLSI,X,X,O,X,X,X,X,X,X,X,O
TJOZSIL,X,O,O,X,X,X,X,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X,X,X,X,O
TSILJZO,X,O,X,O,X,X,O,X,X,X,X
TSILJOZ,X,O,X,O,X,X,O,X,X,X,X
TSILZJO,X,O,X,X,O,X,X,X,X,X,O
TSILZOJ,X,X,X,X,O,X,O,X,X,X,O
TSILOJZ,X,X,X,O,X,X,O,X,X,X,X
TSILOZJ,X,X,X,X,X,X,O,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X,X,X
TSIJLOZ,X,O,X,O,X,X,O,X,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X,O
TSIJZOL,O,O,X,O,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,O,X,X,X,X,X,X,X
TSIJOZL,O,O,X,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,O,X,X,X,X,X,O
TSIZLOJ,X,X,X,X,O,X,O,X,X,X,O
TSIZJLO,O,O,X,X,O,X,X,X,X,X,O
TSIZJOL,O,O,X,X,O,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,O,X,X,X,X,X,O
TSIZOJL,X,O,X,O,O,X,X,X,X,X,X
TSIOLJZ,X,X,X,O,X,X,O,X,X,X,X
TSIOLZJ,X,X,X,X,O,X,O,O,X,X,X
TSIOJLZ,O,O,X,O,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,O,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,O,X,X,X,X,X,O
TSIOZJL,O,O,X,O,O,X,X,X,X,X,X
TSLIJZO,X,O,X,O,X,X,O,X,X,X,X
TSLIJOZ,X,O,X,O,X,X,O,X,X,X,X
TSLIZJO,X,O,X,X,O,X,X,X,X,X,O
TSLIZOJ,X,X,X,X,O,X,O,X,X,X,O
TSLIOJZ,X,X,X,O,X,X,O,X,X,X,X
TSLIOZJ,X,X,X,X,X,X,O,X,X,X,X
TSLJIZO,O,O,X,O,X,X,O,X,X,X,X
TSLJIOZ,X,O,X,O,X,X,O,X,X,X,X
TSLJZIO,O,O,X,O,X,X,O,X,X,X,O
TSLJZOI,O,O,X,O,X,X,O,X,X,X,O
TSLJOIZ,O,O,X,O,X,X,O,X,X,X,X
TSLJOZI,O,O,X,O,X,X,O,X,X,X,X
TSLZIJO,X,O,X,X,O,X,X,X,X,X,O
TSLZIOJ,X,X,X,X,O,X,O,X,X,X,O
TSLZJIO,X,O,X,X,O,X,X,X,X,X,O
TSLZJOI,X,O,X,X,O,X,X,O,X,X,O
TSLZOIJ,X,X,X,X,O,X,O,X,X,X,O
TSLZOJI,X,X,X,X,O,X,O,X,X,X,O
TSLOIJZ,X,X,X,O,X,X,O,X,X,X,X
TSLOIZJ,X,X,X,X,X,X,O,X,X,X,X
TSLOJIZ,X,X,X,O,X,X,O,X,X,X,X
TSLOJZI,X,X,X,O,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,O,X,X,X,X
TSLOZJI,X,X,X,X,X,X,O,X,X,X,X
TSJILZO,O,O,X,O,X,X,X,X,X,X,X
TSJILOZ,X,O,X,O,X,X,O,X,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X,O
TSJIZOL,O,O,X,O,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,O,X,X,X,X,X,X,X
TSJIOZL,O,O,O,O,X,X,X,X,X,X,X
TSJLIZO,O,O,X,O,X,X,X,X,X,X,X
TSJLIOZ,X,O,X,O,X,X,O,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X,X,X,O
TSJLZOI,O,O,X,O,X,X,X,X,X,X,O
TSJLOIZ,O,O,X,O,X,X,O,X,X,X,X
TSJLOZI,O,O,X,O,X,X,O,X,X,X,X
TSJZILO,O,O,X,X,O,X,X,X,X,X,O
TSJZIOL,O,O,X,O,O,X,X,X,X,X,X
TSJZLIO,O,O,X,X,O,X,X,X,X,X,O
TSJZLOI,O,O,X,X,O,X,X,X,X,X,O
TSJZOIL,O,O,X,O,O,X,X,X,X,X,X
