sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
TISOLJZ,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TISOLZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIZLJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TIZLSJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TIZLSOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TIZLOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TIZJSLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZJOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZSJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIZOJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOLJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOLSJZ,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOLSZJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOLZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLIJZOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLIJOSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TLIJOZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TLISJZO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TLISJOZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TLISZJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TLISZOJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TLISOJZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X
TLISOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIZJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLIZSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLIZSOJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TLIZOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIOJSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TLIOJZS,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
TLIOSJZ,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TLIOSZJ,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TLIOZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TLIOZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJISZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJISOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJIZSO,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJIZOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
TLJIOZS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TLJSIZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJSIOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJSZIO,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJSZOI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJSOIZ,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLJSOZI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJZISO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJZIOS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TLJZSIO,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TLJZSOI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TLJZOSI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJOISZ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
TLJOIZS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
TLJOSIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TLJOSZI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
TLJOZSI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLSIJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLSIJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TLSIZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSIOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,O,X
TLSIOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSJIZO,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLSJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLSJZIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
TLSJZOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TLSJOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TLSJOZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TLSZIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TLSZIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TLSZJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TLSZOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLSZOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TLSOIJZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,O,X
TLSOIZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X
TLSOJIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TLSOJZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TLSOZIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLSOZJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TLZIJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLZIJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TLZISJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TLZISOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TLZIOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLZJISO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLZJIOS,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TLZJSIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TLZJSOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TLZJOSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TLZSIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLZSJIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TLZSJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLZSOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZSOJI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TLZOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X
TLZOJSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLZOSIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZOSJI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLOIJSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TLOIJZS,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
TLOISJZ,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TLOISZJ,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TLOIZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TLOIZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOJISZ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
TLOJIZS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
TLOJSIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TLOJSZI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
TLOJZSI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLOSIJZ,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X
TLOSIZJ,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TLOSJZI,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOSZJI,O,O,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X
TLOZJSI,O,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLOZSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOZSJI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TJILSZO,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TJILSOZ,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TJILZSO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TJISLZO,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TJISLOZ,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TJISZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLSO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TJIZLOS,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TJIZSLO,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJIZOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TJIOLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TJIOSLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJIOSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIOZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLISZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLISOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLIZSO,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLIZOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
TJLIOZS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TJLSIZO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLSIOZ,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLSZIO,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLSZOI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLSOIZ,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJLSOZI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLZISO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLZIOS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TJLZSIO,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TJLZSOI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLZOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
