sequence,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhFTfB0gBlhB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBKrBWxB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhFxbBCgBXhBl?iBUnBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBlhB3?iBxrBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgBu?nBimB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBTcBl?iBxrB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jem6IvhFCcBTfBlhB3?iBxrBUrB
IJSTLZO,X,X,X,O,O,O,X,O
IJSTLOZ,X,X,X,O,X,X,X,O
IJSTZLO,X,X,X,O,X,O,X,O
IJSTZOL,X,X,X,O,X,O,X,O
IJSTOLZ,X,X,X,O,X,O,X,O
IJSTOZL,X,X,X,X,X,O,X,O
IJSLTZO,X,X,X,O,O,O,X,O
IJSLTOZ,X,X,X,O,X,O,X,O
IJSLZTO,X,X,X,O,O,O,O,O
IJSLZOT,X,X,X,O,O,O,O,O
IJSLOTZ,X,X,X,O,X,O,X,X
IJSLOZT,X,X,X,O,X,O,O,X
IJSZTLO,X,X,X,O,O,X,O,O
IJSZTOL,X,X,X,O,X,X,X,O
IJSZLTO,X,X,X,O,O,X,O,O
IJSZLOT,X,X,X,O,O,X,O,O
IJSZOTL,X,X,X,O,X,X,X,O
IJSZOLT,X,X,X,O,O,X,O,O
IJSOTLZ,X,X,X,O,X,O,X,O
IJSOTZL,X,X,X,X,X,O,X,O
IJSOLTZ,X,X,X,O,X,O,X,O
IJSOLZT,X,X,X,O,X,O,O,O
IJSOZTL,X,X,X,O,X,O,X,O
IJSOZLT,X,X,X,O,X,O,X,O
IJZTLSO,O,X,X,X,O,X,O,O
IJZTLOS,O,X,X,X,X,X,O,O
IJZTSLO,O,X,X,X,O,X,O,O
IJZTSOL,O,X,X,X,X,X,O,O
IJZTOLS,O,X,X,X,X,X,O,O
IJZTOSL,O,X,X,X,X,X,O,O
IJZLTSO,X,X,X,O,O,X,O,O
IJZLTOS,X,X,X,O,X,X,O,O
IJZLSTO,X,X,X,O,O,X,O,O
IJZLSOT,X,X,X,O,O,X,O,O
IJZLOTS,X,X,X,O,X,X,O,O
IJZLOST,X,X,X,O,O,X,O,O
IJZSTLO,X,X,X,O,O,X,O,O
IJZSTOL,X,X,X,O,X,X,O,O
IJZSLTO,X,X,X,O,O,X,O,O
IJZSLOT,X,X,X,O,O,X,O,O
IJZSOTL,X,X,X,O,X,X,X,O
IJZSOLT,X,X,X,O,O,X,O,O
IJZOTLS,O,X,O,X,X,X,O,O
IJZOTSL,O,X,O,X,X,X,O,O
IJZOLTS,O,X,O,X,X,X,O,O
IJZOLST,O,X,O,X,O,X,O,O
IJZOSTL,O,X,O,X,X,X,X,O
IJZOSLT,O,X,O,X,O,X,O,O
IJOTLSZ,X,X,O,O,X,O,X,X
IJOTLZS,O,X,O,O,X,O,X,X
IJOTSLZ,X,X,X,O,X,O,X,O
IJOTSZL,O,X,X,O,X,O,X,O
IJOTZLS,O,X,O,X,X,O,X,O
IJOTZSL,O,X,O,X,X,O,X,O
IJOLTSZ,X,X,O,O,X,O,X,X
IJOLTZS,O,X,O,O,X,O,X,X
IJOLSTZ,X,X,O,O,X,O,X,O
IJOLSZT,X,X,O,O,X,O,X,O
IJOLZTS,O,X,O,O,X,X,X,O
IJOLZST,O,X,O,O,X,X,X,O
IJOSTLZ,X,X,X,O,X,O,X,O
IJOSTZL,O,X,X,O,X,O,X,O
IJOSLTZ,X,X,O,O,X,O,X,O
IJOSLZT,X,X,O,O,X,O,X,O
IJOSZTL,O,X,O,O,X,O,X,O
IJOSZLT,O,X,O,O,X,O,X,O
IJOZTLS,O,X,O,X,X,O,X,O
IJOZTSL,O,X,O,X,X,O,X,O
IJOZLTS,O,X,O,O,X,X,X,O
IJOZLST,O,X,O,O,X,X,X,O
IJOZSTL,O,X,O,O,X,O,X,O
IJOZSLT,O,X,O,O,X,O,X,O
ISTLJZO,X,X,X,O,O,O,O,O
ISTLJOZ,X,X,X,O,X,X,O,O
ISTLZJO,X,X,X,X,O,O,O,O
ISTLZOJ,O,X,O,X,O,O,O,O
ISTLOJZ,X,X,X,X,X,O,O,O
ISTLOZJ,X,X,X,X,O,O,O,O
ISTJLZO,X,X,X,O,O,O,O,O
ISTJLOZ,X,X,X,O,X,X,O,O
ISTJZLO,X,X,X,O,X,O,O,O
ISTJZOL,O,X,O,O,X,O,O,O
ISTJOLZ,X,X,X,O,X,X,O,O
ISTJOZL,X,X,X,X,X,X,X,O
ISTZLJO,X,X,X,X,O,O,O,O
ISTZLOJ,O,X,O,X,O,O,O,O
ISTZJLO,X,X,X,X,O,O,O,O
ISTZJOL,O,X,O,X,X,O,O,O
ISTZOLJ,O,O,O,X,X,O,O,O
ISTZOJL,O,O,O,X,X,O,O,O
ISTOLJZ,X,X,X,X,X,O,O,O
ISTOLZJ,O,X,O,X,O,O,O,O
ISTOJLZ,X,X,X,X,X,O,O,O
ISTOJZL,O,X,O,X,X,O,X,O
ISTOZLJ,O,O,O,X,X,O,O,O
ISTOZJL,O,O,O,X,X,O,O,O
ISLTJZO,O,X,O,O,O,O,O,O
ISLTJOZ,X,X,X,O,X,X,O,O
ISLTZJO,O,X,O,X,O,O,O,O
ISLTZOJ,O,O,O,X,O,O,O,O
ISLTOJZ,O,X,O,X,X,O,O,O
ISLTOZJ,O,O,O,X,O,O,O,O
ISLJTZO,O,X,X,O,O,X,X,O
ISLJTOZ,O,X,X,O,X,X,X,O
ISLJZTO,O,X,X,O,O,X,O,O
ISLJZOT,O,X,X,O,O,X,O,O
ISLJOTZ,O,X,X,O,X,X,X,X
ISLJOZT,O,X,X,O,X,X,O,X
ISLZTJO,O,X,O,X,O,O,O,O
ISLZTOJ,O,O,O,X,O,O,O,O
ISLZJTO,X,X,X,O,O,X,O,O
ISLZJOT,X,X,X,O,O,X,O,O
ISLZOTJ,O,O,O,X,O,O,O,O
ISLZOJT,O,O,O,X,O,O,O,O
ISLOTJZ,O,X,O,X,X,O,X,O
ISLOTZJ,O,O,O,X,O,O,O,O
ISLOJTZ,O,X,X,O,X,O,X,O
ISLOJZT,O,O,O,O,X,O,O,O
ISLOZTJ,O,O,O,X,O,O,O,O
ISLOZJT,O,O,O,X,O,O,O,O
ISJTLZO,O,X,X,O,O,X,X,O
ISJTLOZ,X,X,X,O,X,X,X,O
ISJTZLO,O,X,X,O,X,X,X,O
ISJTZOL,O,X,X,O,X,X,X,O
ISJTOLZ,O,X,X,O,X,X,X,O
ISJTOZL,O,X,X,X,X,X,X,O
ISJLTZO,X,X,O,O,O,X,X,O
ISJLTOZ,X,X,O,O,X,X,X,O
ISJLZTO,X,X,O,O,O,X,O,O
ISJLZOT,X,X,O,O,O,X,O,O
ISJLOTZ,X,X,O,O,X,X,X,X
ISJLOZT,X,X,O,O,X,X,O,X
ISJZTLO,O,X,X,O,O,X,O,O
ISJZTOL,O,X,X,O,X,X,X,O
ISJZLTO,X,X,X,O,O,X,O,O
ISJZLOT,X,X,X,O,O,X,O,O
ISJZOTL,O,X,O,O,X,X,X,O
ISJZOLT,O,X,O,O,O,X,O,O
ISJOTLZ,O,X,O,O,X,X,X,O
ISJOTZL,O,X,O,X,X,X,X,O
ISJOLTZ,O,X,O,O,X,X,X,O
ISJOLZT,O,X,O,O,X,X,O,O
ISJOZTL,O,X,O,O,X,X,X,O
ISJOZLT,O,X,O,O,X,X,X,O
ISZTLJO,X,X,X,X,O,X,O,O
ISZTLOJ,O,X,O,X,O,X,O,O
ISZTJLO,X,X,X,X,O,X,O,O
ISZTJOL,O,X,O,X,X,X,O,O
ISZTOLJ,O,O,O,X,X,X,O,O
ISZTOJL,O,O,O,X,X,X,O,O
ISZLTJO,X,X,X,X,O,X,O,O
ISZLTOJ,X,O,X,X,O,X,O,O
ISZLJTO,X,X,X,O,O,X,O,O
ISZLJOT,X,X,X,O,O,X,O,O
ISZLOTJ,X,O,X,X,O,X,O,O
ISZLOJT,X,O,X,X,O,X,O,O
ISZJTLO,X,X,X,O,O,X,O,O
ISZJTOL,X,X,X,O,X,X,O,O
ISZJLTO,X,X,X,O,O,X,O,O
ISZJLOT,X,X,X,O,O,X,O,O
ISZJOTL,X,X,X,O,X,X,X,O
ISZJOLT,X,X,X,O,O,X,O,O
ISZOTLJ,O,O,O,X,X,X,X,O
ISZOTJL,O,O,O,X,X,X,X,O
ISZOLTJ,O,O,O,X,O,X,O,O
ISZOLJT,O,O,O,X,O,X,O,O
ISZOJTL,O,O,O,X,X,X,X,O
ISZOJLT,O,O,O,X,O,X,O,O
ISOTLJZ,O,X,X,X,X,O,X,O
ISOTLZJ,O,O,O,X,O,O,O,O
ISOTJLZ,O,X,O,X,X,O,X,O
ISOTJZL,O,X,O,X,X,O,X,O
ISOTZLJ,O,O,O,X,X,O,X,O
ISOTZJL,O,O,O,X,X,O,X,O
ISOLTJZ,O,X,O,X,X,O,X,O
ISOLTZJ,O,O,O,X,O,O,O,O
ISOLJTZ,O,X,O,O,X,O,X,O
ISOLJZT,O,O,O,O,X,O,O,O
ISOLZTJ,O,O,O,X,O,O,O,O
ISOLZJT,O,O,O,X,O,O,O,O
ISOJTLZ,O,X,O,O,X,O,X,O
ISOJTZL,O,X,O,X,X,O,X,O
ISOJLTZ,O,X,O,O,X,O,X,O
ISOJLZT,O,O,O,O,X,O,O,O
ISOJZTL,O,O,O,O,X,X,X,O
ISOJZLT,O,O,O,O,X,X,X,O
ISOZTLJ,O,O,O,X,X,O,X,O
ISOZTJL,O,O,O,X,X,O,X,O
ISOZLTJ,O,O,O,X,O,O,O,O
ISOZLJT,O,O,O,X,O,O,O,O
ISOZJTL,O,O,O,X,X,X,X,O
ISOZJLT,O,O,O,X,O,X,O,O
IZTLJSO,X,X,X,X,O,X,O,O
IZTLJOS,X,X,X,X,X,X,O,O
IZTLSJO,X,X,X,X,O,X,O,O
IZTLSOJ,X,X,X,X,O,X,O,O
IZTLOJS,X,X,X,X,X,X,O,O
IZTLOSJ,X,X,X,X,X,X,O,O
IZTJLSO,X,X,X,X,O,X,O,O
IZTJLOS,X,X,X,X,X,X,O,O
IZTJSLO,X,X,X,X,O,X,O,O
IZTJSOL,X,X,X,X,X,X,O,O
IZTJOLS,X,X,X,X,X,X,O,O
IZTJOSL,X,X,X,X,X,X,O,O
IZTSLJO,X,X,X,X,O,X,O,O
IZTSLOJ,X,X,X,X,O,X,O,O
IZTSJLO,X,X,X,X,O,X,O,O
IZTSJOL,X,X,X,X,X,X,O,O
IZTSOLJ,X,X,X,X,X,X,O,O
IZTSOJL,X,X,X,X,X,X,O,O
IZTOLJS,X,X,X,X,X,X,O,O
IZTOLSJ,X,X,X,X,X,X,O,O
IZTOJLS,X,X,X,X,X,X,O,O
IZTOJSL,X,X,X,X,X,X,O,O
IZTOSLJ,X,X,X,X,X,X,O,O
IZTOSJL,X,X,X,X,X,X,O,O
IZLTJSO,X,X,X,O,O,X,O,O
IZLTJOS,X,X,X,O,X,X,O,O
IZLTSJO,X,X,X,X,O,X,O,O
IZLTSOJ,X,X,X,X,O,X,O,O
IZLTOJS,X,X,X,X,X,X,O,O
IZLTOSJ,X,X,X,X,X,X,O,O
IZLJTSO,X,X,X,O,O,X,O,O
IZLJTOS,X,X,X,O,X,X,O,O
IZLJSTO,X,X,X,O,O,X,O,O
IZLJSOT,X,X,X,O,O,X,O,O
IZLJOTS,X,X,X,O,X,X,O,O
IZLJOST,X,X,X,O,O,X,O,O
IZLSTJO,X,X,X,O,O,X,O,O
IZLSTOJ,X,O,X,X,O,X,O,O
IZLSJTO,X,X,X,O,O,X,O,O
IZLSJOT,X,X,X,O,O,X,O,O
IZLSOTJ,X,O,X,X,O,X,O,O
IZLSOJT,X,O,X,O,O,X,O,O
IZLOTJS,X,X,X,X,X,X,O,O
IZLOTSJ,X,O,X,X,X,X,O,O
IZLOJTS,X,X,X,O,X,X,O,O
IZLOJST,X,O,X,O,O,X,O,O
IZLOSTJ,X,O,X,X,O,X,O,O
IZLOSJT,X,O,X,X,O,X,O,O
IZJTLSO,X,X,X,X,O,X,O,O
IZJTLOS,X,X,X,X,X,X,O,O
IZJTSLO,X,X,X,X,O,X,O,O
IZJTSOL,X,X,X,X,X,X,O,O
IZJTOLS,X,X,X,X,X,X,O,O
IZJTOSL,X,X,X,X,X,X,O,O
IZJLTSO,X,X,X,O,O,X,O,O
IZJLTOS,X,X,X,O,X,X,O,O
IZJLSTO,X,X,X,O,O,X,O,O
IZJLSOT,X,X,X,O,O,X,O,O
IZJLOTS,X,X,X,O,X,X,O,O
IZJLOST,X,X,X,O,O,X,O,O
IZJSTLO,X,X,X,O,O,X,O,O
IZJSTOL,X,X,X,O,X,X,O,O
IZJSLTO,X,X,X,O,O,X,O,O
IZJSLOT,X,X,X,O,O,X,O,O
IZJSOTL,X,X,X,O,X,X,X,O
IZJSOLT,X,X,X,O,O,X,O,O
IZJOTLS,X,X,X,X,X,X,O,O
IZJOTSL,X,X,X,X,X,X,O,O
IZJOLTS,X,X,X,X,X,X,O,O
IZJOLST,X,X,X,X,O,X,O,O
IZJOSTL,X,X,X,X,X,X,X,O
IZJOSLT,X,X,X,X,O,X,O,O
IZSTLJO,X,X,X,O,O,X,O,O
IZSTLOJ,X,X,X,X,O,X,O,O
IZSTJLO,X,X,X,O,O,X,O,O
IZSTJOL,X,X,X,O,X,X,O,O
IZSTOLJ,X,O,X,X,X,X,O,O
IZSTOJL,X,O,X,X,X,X,O,O
IZSLTJO,X,X,X,O,O,X,O,O
IZSLTOJ,X,O,X,X,O,X,O,O
IZSLJTO,X,X,X,O,O,X,O,O
IZSLJOT,X,X,X,O,O,X,O,O
IZSLOTJ,X,O,X,X,O,X,O,O
IZSLOJT,X,O,X,O,O,X,O,O
IZSJTLO,X,X,X,O,O,X,O,O
IZSJTOL,X,X,X,O,X,X,O,O
IZSJLTO,X,X,X,O,O,X,O,O
IZSJLOT,X,X,X,O,O,X,O,O
IZSJOTL,X,X,X,O,X,X,X,O
IZSJOLT,X,X,X,O,O,X,O,O
IZSOTLJ,X,O,X,X,X,X,X,O
IZSOTJL,X,O,X,X,X,X,X,O
IZSOLTJ,X,O,X,X,O,X,O,O
IZSOLJT,X,O,X,O,O,X,O,O
IZSOJTL,X,O,X,O,X,X,X,O
IZSOJLT,X,O,X,O,O,X,O,O
IZOTLJS,X,X,X,X,X,X,O,O
IZOTLSJ,X,O,X,X,X,X,O,O
IZOTJLS,X,X,X,X,X,X,O,O
IZOTJSL,X,X,X,X,X,X,O,O
IZOTSLJ,X,O,X,X,X,X,O,O
IZOTSJL,X,O,X,X,X,X,O,O
IZOLTJS,X,X,X,X,X,X,O,O
IZOLTSJ,X,O,X,X,X,X,O,O
IZOLJTS,X,X,X,X,X,X,O,O
IZOLJST,X,O,X,X,O,X,O,O
IZOLSTJ,X,O,X,X,O,X,O,O
IZOLSJT,X,O,X,X,O,X,O,O
IZOJTLS,X,X,X,X,X,X,O,O
IZOJTSL,X,X,X,X,X,X,O,O
IZOJLTS,X,X,X,X,X,X,O,O
IZOJLST,X,O,X,X,O,X,O,O
IZOJSTL,X,O,X,X,X,X,X,O
IZOJSLT,X,O,X,X,O,X,O,O
IZOSTLJ,X,O,X,X,X,X,X,O
IZOSTJL,X,O,X,X,X,X,X,O
IZOSLTJ,X,O,X,X,O,X,O,O
IZOSLJT,X,O,X,X,O,X,O,O
IZOSJTL,X,O,X,X,X,X,X,O
IZOSJLT,X,O,X,X,O,X,O,O
IOTLJSZ,O,X,O,O,X,O,X,X
IOTLJZS,O,X,O,O,X,O,O,X
IOTLSJZ,O,X,O,O,X,O,O,X
IOTLSZJ,O,O,O,O,X,O,O,X
IOTLZJS,O,X,O,O,X,O,O,X
IOTLZSJ,O,O,O,X,X,X,O,X
IOTJLSZ,O,X,O,O,X,O,X,X
IOTJLZS,O,X,O,O,X,O,X,X
IOTJSLZ,X,X,X,O,X,O,X,O
IOTJSZL,O,X,O,O,X,O,X,O
IOTJZLS,O,X,O,X,X,O,X,O
IOTJZSL,O,X,O,X,X,O,X,O
IOTSLJZ,O,X,O,O,X,O,O,O
IOTSLZJ,O,O,O,O,X,O,O,O
IOTSJLZ,O,X,O,O,X,O,O,O
IOTSJZL,O,X,O,O,X,O,X,O
IOTSZLJ,O,O,O,O,X,O,O,O
IOTSZJL,O,O,O,O,X,O,O,O
IOTZLJS,O,X,O,X,X,O,O,O
IOTZLSJ,O,O,O,X,X,X,O,O
IOTZJLS,O,X,O,X,X,O,O,O
IOTZJSL,O,X,O,X,X,O,O,O
IOTZSLJ,O,O,O,X,X,O,O,O
IOTZSJL,O,O,O,X,X,O,O,O
IOLTJSZ,O,X,O,O,X,O,X,X
IOLTJZS,O,X,O,O,X,O,O,X
IOLTSJZ,O,X,O,O,X,O,O,X
IOLTSZJ,O,O,O,O,X,O,O,X
IOLTZJS,O,X,O,O,X,O,O,X
IOLTZSJ,O,O,O,X,X,X,O,X
IOLJTSZ,O,X,O,O,X,O,X,X
IOLJTZS,O,X,O,O,X,O,X,X
IOLJSTZ,O,X,O,O,X,O,X,O
IOLJSZT,O,O,O,O,X,O,X,O
IOLJZTS,O,X,O,O,X,X,O,O
IOLJZST,O,O,O,O,X,X,O,O
IOLSTJZ,O,X,O,O,X,O,X,O
IOLSTZJ,O,O,O,X,O,O,O,O
IOLSJTZ,O,X,O,O,X,O,X,O
IOLSJZT,O,O,O,O,X,O,O,O
IOLSZTJ,O,O,O,X,O,O,O,O
IOLSZJT,O,O,O,O,O,O,O,O
IOLZTJS,O,X,X,O,X,X,O,O
IOLZTSJ,O,O,X,X,X,X,O,O
IOLZJTS,O,X,O,O,X,X,O,O
IOLZJST,O,O,O,O,O,X,O,O
IOLZSTJ,O,O,O,O,O,X,O,O
IOLZSJT,O,O,O,O,O,X,O,O
IOJTLSZ,O,X,O,O,X,O,X,X
IOJTLZS,O,X,O,O,X,O,X,X
IOJTSLZ,X,X,X,O,X,O,X,O
IOJTSZL,O,X,O,O,X,O,X,O
IOJTZLS,O,X,O,X,X,O,X,O
IOJTZSL,O,X,O,X,X,O,X,O
IOJLTSZ,O,X,O,O,X,O,X,X
IOJLTZS,O,X,O,O,X,O,X,X
IOJLSTZ,O,X,O,O,X,O,X,O
IOJLSZT,O,O,O,O,X,O,X,O
IOJLZTS,O,X,O,O,X,X,X,O
IOJLZST,O,O,O,O,X,X,X,O
IOJSTLZ,O,X,O,O,X,O,X,O
IOJSTZL,O,X,O,O,X,O,X,O
IOJSLTZ,O,X,O,O,X,O,X,O
IOJSLZT,O,O,O,O,X,O,X,O
IOJSZTL,O,O,O,O,X,O,X,O
IOJSZLT,O,O,O,O,X,O,X,O
IOJZTLS,O,X,O,X,X,O,X,O
IOJZTSL,O,X,O,X,X,O,X,O
IOJZLTS,O,X,O,O,X,X,X,O
IOJZLST,O,O,O,O,X,X,X,O
IOJZSTL,O,O,O,O,X,O,X,O
IOJZSLT,O,O,O,O,X,O,X,O
IOSTLJZ,O,X,O,O,X,O,X,O
IOSTLZJ,O,O,O,X,O,O,O,O
IOSTJLZ,O,X,O,O,X,O,X,O
IOSTJZL,O,X,O,O,X,O,X,O
IOSTZLJ,O,O,O,X,X,O,X,O
IOSTZJL,O,O,O,X,X,O,X,O
IOSLTJZ,O,X,O,O,X,O,X,O
IOSLTZJ,O,O,O,X,O,O,O,O
IOSLJTZ,O,X,O,O,X,O,X,O
IOSLJZT,O,O,O,O,X,O,O,O
IOSLZTJ,O,O,O,X,O,O,O,O
IOSLZJT,O,O,O,O,O,O,O,O
IOSJTLZ,O,X,O,O,X,O,X,O
IOSJTZL,O,X,O,O,X,O,X,O
IOSJLTZ,O,X,O,O,X,O,X,O
IOSJLZT,O,O,O,O,X,O,O,O
IOSJZTL,O,O,O,O,X,O,X,O
IOSJZLT,O,O,O,O,X,O,X,O
IOSZTLJ,O,O,O,X,X,O,X,O
IOSZTJL,O,O,O,X,X,O,X,O
IOSZLTJ,O,O,O,X,O,O,O,O
IOSZLJT,O,O,O,O,O,O,O,O
IOSZJTL,O,O,O,O,X,X,X,O
IOSZJLT,O,O,O,O,O,X,O,O
IOZTLJS,O,X,O,X,X,O,O,O
IOZTLSJ,O,O,O,X,X,X,O,O
IOZTJLS,O,X,O,X,X,O,O,O
IOZTJSL,O,X,O,X,X,O,O,O
IOZTSLJ,O,O,O,X,X,O,O,O
IOZTSJL,O,O,O,X,X,O,O,O
IOZLTJS,O,X,X,O,X,X,O,O
IOZLTSJ,O,O,X,X,X,X,O,O
IOZLJTS,O,X,O,O,X,X,O,O
IOZLJST,O,O,O,O,O,X,O,O
IOZLSTJ,O,O,O,O,O,X,O,O
IOZLSJT,O,O,O,O,O,X,O,O
IOZJTLS,O,X,O,X,X,O,O,O
IOZJTSL,O,X,O,X,X,O,O,O
IOZJLTS,O,X,O,O,X,X,O,O
IOZJLST,O,O,O,O,O,X,O,O
IOZJSTL,O,O,O,O,X,O,X,O
IOZJSLT,O,O,O,O,O,O,O,O
IOZSTLJ,O,O,O,O,X,O,X,O
IOZSTJL,O,O,O,O,X,O,X,O
IOZSLTJ,O,O,O,O,O,O,O,O
IOZSLJT,O,O,O,O,O,O,O,O
IOZSJTL,O,O,O,O,X,X,X,O
IOZSJLT,O,O,O,O,O,X,O,O
LTIJSZO,O,X,O,O,X,O,O,X
LTIJSOZ,X,X,X,O,X,X,O,X
LTIJZSO,O,X,O,O,X,X,O,X
LTIJZOS,O,X,O,O,X,O,O,X
LTIJOSZ,X,X,O,O,X,X,X,X
LTIJOZS,X,X,O,O,X,X,O,X
LTISJZO,O,X,O,O,O,O,O,X
LTISJOZ,X,X,X,O,X,X,O,X
LTISZJO,O,X,O,O,O,O,O,X
LTISZOJ,O,X,O,X,O,O,O,X
LTISOJZ,O,X,X,O,X,X,O,X
LTISOZJ,O,X,X,X,O,O,O,X
LTIZJSO,O,X,O,O,O,X,O,X
LTIZJOS,O,X,O,O,X,O,O,X
LTIZSJO,O,X,O,O,O,X,O,X
LTIZSOJ,O,X,O,O,O,X,O,X
LTIZOJS,O,X,O,O,X,O,O,X
LTIZOSJ,O,X,O,X,X,X,O,X
LTIOJSZ,O,X,O,O,X,X,X,X
LTIOJZS,O,X,O,O,X,X,O,X
LTIOSJZ,O,X,O,O,X,X,O,X
LTIOSZJ,O,X,O,O,X,X,O,X
LTIOZJS,O,X,O,O,X,X,O,X
LTIOZSJ,O,X,O,X,X,X,O,X
LTJISZO,O,X,O,O,X,O,O,X
LTJISOZ,X,X,X,O,X,X,O,X
LTJIZSO,O,X,O,O,X,X,O,X
LTJIZOS,O,X,O,O,X,O,O,X
LTJIOSZ,O,X,O,O,X,X,X,X
LTJIOZS,O,X,O,O,X,X,O,X
LTJSIZO,O,X,O,O,X,O,X,X
LTJSIOZ,X,X,X,O,X,X,X,X
LTJSZIO,O,X,O,O,X,O,X,X
LTJSZOI,O,X,O,O,X,O,X,X
LTJSOIZ,O,X,O,O,X,O,X,X
LTJSOZI,O,X,O,O,X,O,X,X
LTJZISO,O,X,O,O,X,X,O,X
LTJZIOS,O,X,O,O,X,O,O,X
LTJZSIO,O,X,O,O,X,X,O,X
LTJZSOI,O,X,O,O,X,X,O,X
LTJZOIS,O,X,O,O,X,O,O,X
LTJZOSI,O,X,O,O,X,X,O,X
LTJOISZ,O,X,O,O,X,O,X,X
LTJOIZS,O,X,O,O,X,O,X,X
LTJOSIZ,O,X,O,O,X,O,X,X
LTJOSZI,O,X,O,O,X,O,X,X
LTJOZIS,O,X,O,O,X,O,O,X
LTJOZSI,O,X,O,O,X,X,O,X
LTSIJZO,O,X,O,O,O,O,O,X
LTSIJOZ,X,X,X,O,X,X,O,X
LTSIZJO,O,X,O,O,O,O,O,X
LTSIZOJ,O,O,O,X,O,O,O,X
LTSIOJZ,O,X,O,O,X,O,O,X
LTSIOZJ,O,O,O,X,O,O,O,X
LTSJIZO,O,X,O,O,X,O,X,X
LTSJIOZ,O,X,X,O,X,X,X,X
LTSJZIO,O,X,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,O,X,X
LTSJOIZ,O,X,O,O,X,O,X,X
LTSJOZI,O,O,O,O,X,O,X,X
LTSZIJO,O,X,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,O,O,O,X
LTSZJIO,O,X,O,O,O,O,O,X
LTSZJOI,O,O,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,X,O,X,X
LTSZOJI,O,O,O,O,O,O,O,X
LTSOIJZ,O,X,O,O,X,O,X,X
LTSOIZJ,O,O,O,O,X,O,X,X
LTSOJIZ,O,X,O,O,X,O,X,X
LTSOJZI,O,O,O,O,X,O,X,X
LTSOZIJ,O,O,O,O,X,O,X,X
LTSOZJI,O,O,O,O,O,O,O,X
LTZIJSO,O,X,O,O,O,X,O,X
LTZIJOS,O,X,O,O,X,O,O,X
LTZISJO,O,X,O,O,O,X,O,X
LTZISOJ,O,X,O,O,O,X,O,X
LTZIOJS,O,X,O,O,X,O,O,X
LTZIOSJ,O,X,O,X,X,X,O,X
LTZJISO,O,X,O,O,O,X,O,X
LTZJIOS,O,X,O,O,X,X,O,X
LTZJSIO,X,X,O,O,O,X,O,X
LTZJSOI,X,X,O,O,O,X,O,X
LTZJOIS,O,X,O,O,X,X,O,X
LTZJOSI,X,X,O,O,X,X,O,X
LTZSIJO,O,X,O,O,O,X,O,X
LTZSIOJ,O,O,O,O,O,X,O,X
LTZSJIO,O,X,X,O,O,X,O,X
LTZSJOI,O,O,X,O,O,X,O,X
LTZSOIJ,O,O,O,O,X,X,X,X
LTZSOJI,O,O,X,O,O,X,O,X
LTZOIJS,O,X,O,O,X,O,O,X
LTZOISJ,O,O,O,X,X,X,O,X
LTZOJIS,O,X,O,O,X,X,O,X
LTZOJSI,X,X,O,O,X,X,O,X
LTZOSIJ,O,O,O,O,X,X,X,X
LTZOSJI,O,O,X,O,X,X,O,X
LTOIJSZ,O,X,O,O,X,O,X,X
LTOIJZS,O,X,O,O,X,O,O,X
LTOISJZ,O,X,O,O,X,O,O,X
LTOISZJ,O,O,O,O,X,O,O,X
LTOIZJS,O,X,O,O,X,O,O,X
LTOIZSJ,O,O,O,X,X,X,O,X
LTOJISZ,O,X,O,O,X,O,X,X
LTOJIZS,O,X,O,O,X,O,X,X
LTOJSIZ,O,X,O,O,X,O,X,X
LTOJSZI,O,X,O,O,X,O,X,X
LTOJZIS,O,X,O,O,X,O,O,X
LTOJZSI,O,X,O,O,X,X,O,X
LTOSIJZ,O,X,O,O,X,O,X,X
LTOSIZJ,O,O,O,O,X,O,X,X
LTOSJIZ,O,X,O,O,X,O,X,X
LTOSJZI,O,O,O,O,X,O,X,X
LTOSZIJ,O,O,O,O,X,O,X,X
LTOSZJI,O,O,O,O,X,O,O,X
LTOZIJS,O,X,O,O,X,O,O,X
LTOZISJ,O,O,O,X,X,X,O,X
LTOZJIS,O,X,O,O,X,X,O,X
LTOZJSI,X,X,O,O,X,X,O,X
LTOZSIJ,O,O,O,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X,O,X
LITJSZO,O,X,O,O,X,X,O,X
LITJSOZ,X,X,X,O,X,X,O,X
LITJZSO,O,X,O,O,X,X,O,X
LITJZOS,O,X,O,O,X,X,O,X
LITJOSZ,X,X,O,O,X,X,X,X
LITJOZS,X,X,O,O,X,X,O,X
LITSJZO,O,X,O,O,O,X,O,X
