sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
ITLZSJO,X,X,O,X,O,O,X,X,X,X,X,X
ITLZSOJ,X,X,O,X,O,O,X,X,X,X,X,X
ITLZOJS,X,X,O,X,X,O,X,X,O,X,X,X
ITLZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,O,O,O,X,X,X
ITLOJZS,X,X,X,X,X,O,O,X,O,X,X,X
ITLOSJZ,X,X,O,O,X,X,O,O,O,X,X,X
ITLOSZJ,X,X,O,X,X,O,X,O,X,X,X,X
ITLOZJS,X,X,O,X,X,O,O,X,O,X,X,X
ITLOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,O,O,X,X,X
ITJLZSO,X,X,X,X,X,O,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,O,X,X,O,X,X,X
ITJLOSZ,X,X,X,X,X,X,O,O,O,X,X,X
ITJLOZS,X,X,X,X,X,O,O,X,O,X,X,X
ITJSLZO,O,O,X,O,X,X,X,O,X,O,X,X
ITJSLOZ,O,X,X,O,X,X,X,O,O,X,X,X
ITJSZLO,O,O,X,O,X,X,X,O,X,O,X,X
ITJSZOL,O,O,X,X,X,X,X,O,X,O,X,X
ITJSOLZ,O,X,X,O,X,X,O,O,O,X,X,X
ITJSOZL,O,X,X,X,X,X,X,O,X,X,X,X
ITJZLSO,O,O,X,X,X,O,X,X,X,O,X,X
ITJZLOS,X,O,X,X,X,O,X,X,O,X,X,O
ITJZSLO,O,O,X,X,X,O,X,O,X,O,X,X
ITJZSOL,O,O,X,X,X,O,X,O,X,O,X,O
ITJZOLS,O,O,X,X,X,O,O,X,O,X,X,O
ITJZOSL,O,X,X,X,X,O,X,O,X,O,X,O
ITJOLSZ,O,X,X,X,X,X,O,O,O,X,X,X
ITJOLZS,X,X,X,X,X,O,O,X,O,X,X,X
ITJOSLZ,O,X,X,X,X,X,O,O,O,X,X,X
ITJOSZL,O,X,X,X,X,X,X,O,X,X,X,X
ITJOZLS,X,X,X,X,X,O,O,X,O,X,X,O
ITJOZSL,O,X,X,X,X,O,X,O,X,X,X,O
ITSLJZO,O,O,O,O,O,X,X,O,X,O,O,X
ITSLJOZ,O,X,X,O,O,X,O,O,O,X,X,X
ITSLZJO,O,O,O,X,O,O,X,O,X,O,O,X
ITSLZOJ,O,O,O,X,O,O,X,O,X,O,O,X
ITSLOJZ,O,X,O,O,O,X,O,O,O,X,X,X
ITSLOZJ,O,X,O,X,O,O,O,O,X,X,X,X
ITSJLZO,O,O,X,O,O,X,X,O,X,O,O,X
ITSJLOZ,O,X,X,O,O,X,O,O,O,X,X,X
ITSJZLO,O,O,O,O,X,X,X,O,X,O,O,X
ITSJZOL,O,O,O,X,X,X,O,O,X,O,O,X
ITSJOLZ,O,X,X,O,O,X,O,O,O,X,X,X
ITSJOZL,O,X,X,X,X,X,O,O,X,X,X,X
ITSZLJO,O,O,O,X,O,O,X,O,X,O,O,X
ITSZLOJ,O,O,O,X,O,O,X,O,X,O,O,X
ITSZJLO,O,O,O,X,O,O,X,O,X,O,O,X
ITSZJOL,O,O,O,X,O,O,O,O,X,O,O,X
ITSZOLJ,O,O,X,X,O,O,O,O,X,O,O,X
ITSZOJL,O,O,O,X,O,O,O,O,X,O,O,X
ITSOLJZ,O,X,X,O,O,X,O,O,O,X,X,X
ITSOLZJ,O,X,X,X,O,O,O,O,X,X,X,X
ITSOJLZ,O,X,X,O,O,X,O,O,O,X,X,X
ITSOJZL,O,X,X,O,X,X,O,O,X,X,X,X
ITSOZLJ,O,X,X,X,O,O,O,O,X,X,X,X
ITSOZJL,O,X,O,X,O,O,O,O,X,X,X,X
ITZLJSO,X,O,O,X,O,O,X,X,X,O,X,X
ITZLJOS,X,O,O,X,X,O,X,X,O,X,X,O
ITZLSJO,X,O,O,X,O,O,X,X,X,O,X,X
ITZLSOJ,X,X,O,X,O,O,X,X,X,O,X,X
ITZLOJS,X,O,O,X,X,O,X,X,O,X,X,O
ITZLOSJ,X,X,O,X,X,O,X,X,X,X,X,X
ITZJLSO,O,O,O,X,O,O,X,X,X,O,X,X
ITZJLOS,X,O,O,X,X,O,X,X,O,X,X,O
ITZJSLO,O,O,O,X,O,O,X,O,X,O,X,X
ITZJSOL,O,O,O,X,O,O,X,O,X,O,X,O
ITZJOLS,O,O,O,X,O,O,O,X,O,X,X,O
ITZJOSL,O,X,X,X,O,O,X,O,X,O,X,O
ITZSLJO,O,O,O,X,O,O,X,O,X,O,X,X
ITZSLOJ,O,O,O,X,O,O,X,O,X,O,X,X
ITZSJLO,O,O,O,X,O,O,X,O,X,O,X,X
ITZSJOL,O,O,O,X,O,O,X,O,X,O,X,O
ITZSOLJ,O,O,X,X,O,O,X,O,X,O,X,X
ITZSOJL,O,O,O,X,O,O,X,O,X,O,X,O
ITZOLJS,O,O,O,X,O,O,O,X,O,X,X,O
ITZOLSJ,O,X,O,X,O,O,X,X,X,X,X,X
ITZOJLS,O,O,O,X,O,O,O,X,O,X,X,O
ITZOJSL,O,X,X,X,O,O,X,O,X,O,X,O
ITZOSLJ,O,X,X,X,O,O,X,O,X,O,X,X
ITZOSJL,O,X,X,X,O,O,X,O,X,O,X,O
ITOLJSZ,O,X,X,O,X,X,O,O,O,X,X,X
ITOLJZS,X,X,X,X,X,O,O,X,O,X,X,X
ITOLSJZ,O,X,O,O,O,X,O,O,O,X,X,X
ITOLSZJ,O,X,O,X,O,O,O,O,X,X,X,X
ITOLZJS,X,X,O,X,O,O,O,X,O,X,X,X
ITOLZSJ,X,X,O,X,O,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,O,O,O,X,X,X
ITOJLZS,X,X,X,X,X,O,O,X,O,X,X,X
ITOJSLZ,O,X,X,O,X,X,O,O,O,X,X,X
ITOJSZL,O,X,X,O,X,X,X,O,X,X,X,X
ITOJZLS,X,X,X,X,X,O,O,X,O,X,X,O
ITOJZSL,O,X,X,X,X,O,X,O,X,X,X,O
ITOSLJZ,O,X,X,O,O,X,O,O,O,X,X,X
ITOSLZJ,O,X,X,X,O,O,O,O,X,X,X,X
ITOSJLZ,O,X,X,O,O,X,O,O,O,X,X,X
ITOSJZL,O,X,X,O,X,X,O,O,X,X,X,X
ITOSZLJ,O,X,X,X,O,O,O,O,X,X,X,X
ITOSZJL,O,X,X,X,O,O,O,O,X,X,X,X
ITOZLJS,X,X,O,X,O,O,O,X,O,X,X,O
ITOZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
ITOZJLS,X,X,O,X,O,O,O,X,O,X,X,O
ITOZJSL,O,X,X,X,O,O,X,O,X,X,X,O
ITOZSLJ,O,X,X,X,O,O,X,O,X,X,X,X
ITOZSJL,O,X,X,X,O,O,X,O,X,X,X,O
ILTJSZO,X,X,X,X,X,X,X,O,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,O,O,X,X,X
ILTJZSO,X,X,X,X,X,O,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,O,X,X,O,X,X,X
ILTJOSZ,X,X,X,X,X,X,O,O,O,X,X,X
ILTJOZS,X,X,X,X,X,O,O,X,O,X,X,X
ILTSJZO,X,X,O,X,X,X,X,O,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,X,O,O,X,X,X
ILTSZJO,X,X,O,X,X,O,X,O,X,X,O,X
ILTSZOJ,X,X,O,X,X,O,X,O,X,X,O,X
ILTSOJZ,X,X,O,X,X,X,X,O,O,X,X,X
ILTSOZJ,X,X,O,X,X,O,X,O,X,X,X,X
ILTZJSO,X,X,O,X,X,O,X,X,X,X,X,X
ILTZJOS,X,X,O,X,X,O,X,X,O,X,X,X
ILTZSJO,X,X,O,X,X,O,X,X,X,X,X,X
ILTZSOJ,X,X,O,X,X,O,X,X,X,X,X,X
ILTZOJS,X,X,O,X,X,O,X,X,O,X,X,X
ILTZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,X,O,O,O,X,X,X
ILTOJZS,X,X,X,X,X,O,O,X,O,X,X,X
ILTOSJZ,X,X,O,X,X,X,O,O,O,X,X,X
ILTOSZJ,X,X,O,X,X,O,X,O,X,X,X,X
ILTOZJS,X,X,O,X,X,O,O,X,O,X,X,X
ILTOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,O,O,X,X,X
ILJTZSO,X,X,X,X,X,O,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,O,X,X,O,X,X,X
ILJTOSZ,X,X,X,X,X,X,O,O,O,X,X,X
ILJTOZS,X,X,X,X,X,O,O,X,O,X,X,X
ILJSTZO,X,X,X,O,X,X,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,X,X,X,X,O,X
ILJSZOT,X,X,X,O,X,X,X,O,X,X,O,X
ILJSOTZ,X,X,X,O,X,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,X,X,O,O,X,O,X
ILJZTSO,X,X,X,X,X,X,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,X,X,X,X,O
ILJZSTO,X,X,X,X,X,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,O,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,O,X,X,O,X,X,O
ILJZOST,X,X,X,X,X,O,X,X,O,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,O,X,X,X
ILJOTZS,X,X,X,X,X,O,X,X,O,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,O,O,X,X,X
ILJOZTS,X,X,X,X,X,O,X,X,O,X,X,O
ILJOZST,X,X,X,X,X,O,X,X,O,X,X,X
ILSTJZO,X,X,O,X,O,X,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,O,X,X,O,X,X,X,X
ILSTZJO,X,X,O,X,O,O,X,X,X,X,O,X
ILSTZOJ,X,X,O,X,O,O,X,X,X,X,O,X
ILSTOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILSTOZJ,X,X,O,X,O,O,X,X,X,X,X,X
ILSJTZO,X,X,O,O,O,X,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,O,X,X,O,X,X,X,X
ILSJZTO,X,X,O,O,O,X,X,X,X,X,O,X
ILSJZOT,X,X,O,O,O,X,X,O,X,X,O,X
ILSJOTZ,X,X,X,O,X,X,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,O,O,X,O,X
ILSZTJO,X,X,O,X,O,X,X,X,X,X,O,X
ILSZTOJ,X,X,O,X,O,X,X,X,X,X,O,X
ILSZJTO,X,X,O,X,O,X,X,X,X,X,O,X
ILSZJOT,X,X,O,X,O,O,X,O,X,X,O,X
ILSZOTJ,X,X,O,X,O,X,X,X,X,X,O,X
ILSZOJT,X,X,O,X,O,O,X,O,X,X,O,X
ILSOTJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILSOTZJ,X,X,O,X,O,O,X,X,X,X,X,X
ILSOJTZ,X,X,O,O,X,X,X,O,X,X,X,X
ILSOJZT,X,X,O,O,X,X,X,O,O,X,O,X
ILSOZTJ,X,X,O,X,O,X,X,X,X,X,O,X
ILSOZJT,X,X,O,X,O,O,X,O,X,X,O,X
ILZTJSO,X,X,X,X,X,O,X,X,X,X,X,X
ILZTJOS,X,X,X,X,X,O,X,X,X,X,X,O
ILZTSJO,X,X,X,X,X,O,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,X,O,X,X,X,X,X,O
ILZTOSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILZJTSO,X,X,X,X,X,X,X,X,X,X,X,X
ILZJTOS,X,X,X,X,X,O,X,X,X,X,X,O
ILZJSTO,X,X,O,X,O,O,X,X,X,X,X,X
ILZJSOT,X,X,O,X,O,O,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,O,X,X,O,X,X,O
ILZJOST,X,X,O,X,X,O,X,X,O,X,X,X
ILZSTJO,X,X,O,X,O,O,X,X,X,X,O,X
ILZSTOJ,X,X,X,X,O,O,X,X,X,X,O,X
ILZSJTO,X,X,O,X,O,O,X,X,X,X,O,X
ILZSJOT,X,X,O,X,O,O,X,X,X,X,O,X
ILZSOTJ,X,X,O,X,O,O,X,X,X,X,O,X
ILZSOJT,X,X,O,X,O,O,X,X,X,X,O,X
ILZOTJS,X,X,X,X,X,O,X,X,X,X,X,O
ILZOTSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,O,X,X,O,X,X,O
ILZOJST,X,X,O,X,X,O,X,X,O,X,X,X
ILZOSTJ,X,X,O,X,X,O,X,X,X,X,X,X
ILZOSJT,X,X,O,X,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,O,X,X,X
ILOTJZS,X,X,X,X,X,O,X,X,O,X,X,X
ILOTSJZ,X,X,O,X,X,X,X,O,O,X,X,X
ILOTSZJ,X,X,O,X,X,O,X,O,X,X,X,X
ILOTZJS,X,X,O,X,X,O,X,X,O,X,X,X
ILOTZSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,O,X,X,X
ILOJTZS,X,X,X,X,X,O,X,X,O,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,O,O,X,X,X
ILOJZTS,X,X,X,X,X,O,X,X,O,X,X,O
ILOJZST,X,X,X,X,X,O,X,X,O,X,X,X
ILOSTJZ,X,X,O,X,X,X,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,X,O,O,X,X,X,O,X,X,X,X
ILOSJZT,X,X,O,O,X,X,X,O,O,X,O,X
ILOSZTJ,X,X,O,X,X,X,X,X,X,X,O,X
ILOSZJT,X,X,O,X,X,O,X,O,X,X,O,X
ILOZTJS,X,X,X,X,X,O,X,X,X,X,X,O
ILOZTSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,O,X,X,O,X,X,O
ILOZJST,X,X,O,X,X,O,X,X,O,X,X,X
ILOZSTJ,X,X,O,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,O,X,X,O,X,X,X,X,X,X
IJTLSZO,O,X,X,O,X,X,X,O,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,O,O,X,X,X
IJTLZSO,X,X,X,X,X,O,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,O,X,X,O,X,X,X
IJTLOSZ,X,X,X,X,X,X,O,O,O,X,X,X
IJTLOZS,X,X,X,X,X,O,O,X,O,X,X,X
IJTSLZO,O,X,X,O,X,X,X,O,X,O,X,X
IJTSLOZ,O,X,X,O,X,X,X,O,O,X,X,X
IJTSZLO,O,X,X,O,X,X,X,O,X,O,X,X
IJTSZOL,O,X,X,X,X,X,X,O,X,O,X,X
IJTSOLZ,O,X,X,O,X,X,O,O,O,X,X,X
IJTSOZL,O,X,X,X,X,X,X,O,X,X,X,X
IJTZLSO,O,X,X,X,X,O,X,X,X,O,X,X
IJTZLOS,X,X,X,X,X,O,X,X,O,X,X,O
IJTZSLO,O,X,X,X,X,O,X,O,X,O,X,X
IJTZSOL,O,X,X,X,X,O,X,O,X,O,X,O
IJTZOLS,O,X,X,X,X,O,O,X,O,X,X,O
IJTZOSL,O,X,X,X,X,O,X,O,X,O,X,O
IJTOLSZ,O,X,X,X,X,X,O,O,O,X,X,X
IJTOLZS,X,X,X,X,X,O,O,X,O,X,X,X
IJTOSLZ,O,X,X,X,X,X,O,O,O,X,X,X
IJTOSZL,O,X,X,X,X,X,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,O,O,X,O,X,X,O
IJTOZSL,O,X,X,X,X,O,X,O,X,X,X,O
IJLTSZO,O,X,X,X,X,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,O,O,X,X,X
IJLTZSO,X,X,X,X,X,O,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,O,X,X,O,X,X,X
IJLTOSZ,X,X,X,X,X,X,O,O,O,X,X,X
IJLTOZS,X,X,X,X,X,O,O,X,O,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X,X,X,O,X
IJLSTOZ,O,X,X,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X,O,X
IJLSZOT,O,X,X,O,X,X,X,O,X,X,O,X
IJLSOTZ,O,X,X,O,X,X,X,O,X,X,X,X
IJLSOZT,O,X,X,O,X,X,X,O,O,X,O,X
IJLZTSO,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTOS,X,X,X,X,X,O,X,X,X,X,X,O
IJLZSTO,X,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,O,X,X,O,X,X,O
IJLZOST,X,X,X,X,X,O,X,X,O,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,O,O,X,X,X
IJLOTZS,X,X,X,X,X,O,X,X,O,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,O,O,X,X,X
IJLOZTS,X,X,X,X,X,O,X,X,O,X,X,O
IJLOZST,X,X,X,X,X,O,X,X,O,X,X,X
IJSTLZO,O,X,X,O,X,X,X,O,X,X,O,X
IJSTLOZ,O,X,X,O,X,X,X,O,O,X,X,X
IJSTZLO,O,X,X,O,X,X,X,O,X,X,O,X
IJSTZOL,X,X,X,X,X,X,X,O,X,X,O,X
IJSTOLZ,O,X,X,O,X,X,O,O,O,X,X,X
IJSTOZL,X,X,X,X,X,X,X,O,X,X,X,X
IJSLTZO,O,X,X,O,X,X,X,X,X,X,O,X
IJSLTOZ,O,X,X,O,X,X,X,O,X,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X,O,O,X
IJSLZOT,O,O,X,O,X,X,X,O,X,O,O,X
IJSLOTZ,O,X,X,O,X,X,X,O,X,X,X,X
IJSLOZT,O,X,X,O,X,X,X,O,O,X,O,X
IJSZTLO,O,O,X,O,X,X,X,X,X,O,O,X
IJSZTOL,X,X,X,X,X,X,X,X,X,X,O,O
IJSZLTO,O,O,X,O,X,X,X,X,X,O,O,X
IJSZLOT,O,O,X,O,X,X,X,O,X,O,O,X
IJSZOTL,O,X,X,X,X,X,X,X,X,X,O,O
IJSZOLT,O,O,X,X,X,X,X,O,X,O,O,X
IJSOTLZ,O,X,X,O,X,X,X,O,O,X,X,X
IJSOTZL,X,X,X,X,X,X,X,O,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,O,X,X,X,X
IJSOLZT,O,X,X,O,X,X,X,O,O,X,O,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,O,O
IJSOZLT,O,X,X,X,X,X,X,O,X,X,O,X
IJZTLSO,O,O,X,X,X,X,X,X,X,O,X,X
IJZTLOS,X,O,X,X,X,X,X,X,O,X,X,O
IJZTSLO,O,X,X,X,X,O,X,O,X,O,X,X
IJZTSOL,O,X,X,X,X,O,X,O,X,O,X,O
IJZTOLS,O,X,X,X,X,X,O,X,O,X,X,O
IJZTOSL,O,X,X,X,X,O,X,O,X,O,X,O
IJZLTSO,O,O,X,X,X,X,X,X,X,O,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X,X,X,O
IJZLSTO,O,O,X,X,X,O,X,X,X,O,X,X
IJZLSOT,O,O,X,X,X,O,X,X,X,O,X,X
IJZLOTS,X,O,X,X,X,X,X,X,O,X,X,O
IJZLOST,X,X,X,X,X,O,X,X,O,X,X,X
IJZSTLO,O,O,X,X,X,O,X,X,X,O,X,X
IJZSTOL,O,X,X,X,X,O,X,X,X,O,X,O
IJZSLTO,O,O,X,X,X,O,X,X,X,O,X,X
IJZSLOT,O,O,X,X,X,O,X,O,X,O,X,X
IJZSOTL,O,X,X,X,X,O,X,X,X,X,X,O
IJZSOLT,O,O,X,X,X,O,X,O,X,O,X,X
IJZOTLS,O,X,X,X,X,X,X,X,O,X,X,O
IJZOTSL,O,X,X,X,X,O,X,O,X,O,X,O
IJZOLTS,O,O,X,X,X,X,X,X,O,X,X,O
IJZOLST,O,X,X,X,X,O,X,X,O,X,X,X
IJZOSTL,O,X,X,X,X,O,X,X,X,X,X,O
IJZOSLT,O,X,X,X,X,O,X,O,X,O,X,X
IJOTLSZ,O,X,X,X,X,X,O,O,O,X,X,X
IJOTLZS,X,X,X,X,X,O,O,X,O,X,X,X
IJOTSLZ,O,X,X,X,X,X,O,O,O,X,X,X
IJOTSZL,O,X,X,X,X,X,X,O,X,X,X,X
IJOTZLS,X,X,X,X,X,O,O,X,O,X,X,O
IJOTZSL,O,X,X,X,X,O,X,O,X,X,X,O
IJOLTSZ,O,X,X,X,X,X,X,O,O,X,X,X
IJOLTZS,X,X,X,X,X,O,X,X,O,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,X,X,X,X,X,O,O,X,X,X
IJOLZTS,X,X,X,X,X,O,X,X,O,X,X,O
IJOLZST,X,X,X,X,X,O,X,X,O,X,X,X
IJOSTLZ,O,X,X,X,X,X,X,O,O,X,X,X
IJOSTZL,O,X,X,X,X,X,X,O,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,O,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,O,O,X,X,X
IJOSZTL,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZLT,O,X,X,X,X,X,X,O,X,X,X,X
IJOZTLS,X,X,X,X,X,X,X,X,O,X,X,O
IJOZTSL,O,X,X,X,X,O,X,O,X,X,X,O
IJOZLTS,X,X,X,X,X,X,X,X,O,X,X,O
IJOZLST,X,X,X,X,X,O,X,X,O,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X,X,X,X,O
IJOZSLT,O,X,X,X,X,O,X,O,X,X,X,X
ISTLJZO,X,O,O,O,O,X,X,O,X,X,O,X
ISTLJOZ,X,X,X,O,O,X,O,O,O,X,X,X
ISTLZJO,X,O,O,X,O,O,X,O,X,X,O,X
ISTLZOJ,X,O,O,X,O,O,X,O,X,X,O,X
ISTLOJZ,X,X,O,O,O,X,O,O,O,X,X,X
ISTLOZJ,X,X,O,X,O,O,O,O,X,X,X,X
ISTJLZO,X,O,X,O,O,X,X,O,X,X,O,X
ISTJLOZ,X,X,X,O,O,X,O,O,O,X,X,X
ISTJZLO,X,O,O,O,X,X,X,O,X,X,O,X
ISTJZOL,X,O,O,X,X,X,O,O,X,X,O,X
ISTJOLZ,X,X,X,O,O,X,O,O,O,X,X,X
ISTJOZL,X,X,X,X,X,X,O,O,X,X,X,X
ISTZLJO,X,O,O,X,O,O,X,O,X,X,O,X
ISTZLOJ,X,O,O,X,O,O,X,O,X,X,O,X
ISTZJLO,X,O,O,X,O,O,X,O,X,X,O,X
ISTZJOL,X,O,O,X,O,O,O,O,X,X,O,X
ISTZOLJ,X,O,X,X,O,O,O,O,X,X,O,X
ISTZOJL,X,O,O,X,O,O,O,O,X,X,O,X
ISTOLJZ,X,X,X,O,O,X,O,O,O,X,X,X
ISTOLZJ,X,X,X,X,O,O,O,O,X,X,X,X
ISTOJLZ,X,X,X,O,O,X,O,O,O,X,X,X
ISTOJZL,X,X,X,O,X,X,O,O,X,X,X,X
ISTOZLJ,X,X,X,X,O,O,O,O,X,X,X,X
ISTOZJL,X,X,O,X,O,O,O,O,X,X,X,X
ISLTJZO,X,O,O,X,O,X,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,O,X,O,O,X,X,X,X
ISLTZJO,X,O,O,X,O,O,X,X,X,X,O,X
ISLTZOJ,X,O,O,X,O,O,X,X,X,X,O,X
ISLTOJZ,X,X,O,X,O,X,O,O,X,X,X,X
ISLTOZJ,X,X,O,X,O,O,O,X,X,X,X,X
ISLJTZO,O,X,O,O,O,X,X,X,X,X,O,X
ISLJTOZ,O,X,X,X,O,X,O,O,X,X,X,X
ISLJZTO,O,O,O,O,O,X,X,X,X,O,O,X
ISLJZOT,O,O,O,O,O,X,X,O,X,O,O,X
ISLJOTZ,O,X,X,O,X,X,X,O,X,X,X,X
ISLJOZT,O,X,X,O,X,X,X,O,O,X,O,X
ISLZTJO,X,O,O,X,O,X,X,X,X,O,O,X
ISLZTOJ,X,O,O,X,O,X,X,X,X,X,O,X
ISLZJTO,O,O,O,X,O,X,X,X,X,O,O,X
ISLZJOT,O,O,O,X,O,O,X,O,X,O,O,X
ISLZOTJ,O,O,O,X,O,X,X,X,X,X,O,X
ISLZOJT,O,O,O,X,O,O,X,O,X,O,O,X
ISLOTJZ,O,X,O,X,O,X,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,O,O,X,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,O,X,X,X,X
ISLOJZT,O,X,O,O,X,X,X,O,O,X,O,X
ISLOZTJ,X,X,O,X,O,X,X,X,X,X,O,X
ISLOZJT,O,X,O,X,O,O,X,O,X,X,O,X
ISJTLZO,O,X,X,O,O,X,X,O,X,X,O,X
ISJTLOZ,O,X,X,O,O,X,O,O,O,X,X,X
ISJTZLO,X,X,O,O,X,X,X,O,X,X,O,X
ISJTZOL,X,X,O,X,X,X,O,O,X,X,O,X
ISJTOLZ,X,X,X,O,O,X,O,O,O,X,X,X
ISJTOZL,X,X,X,X,X,X,O,O,X,X,X,X
ISJLTZO,O,X,X,O,O,X,X,X,X,X,O,X
ISJLTOZ,O,X,X,O,O,X,O,O,X,X,X,X
ISJLZTO,O,O,X,O,O,X,X,X,X,O,O,X
ISJLZOT,O,O,X,O,O,X,X,O,X,O,O,X
ISJLOTZ,O,X,X,O,X,X,X,O,X,X,X,X
ISJLOZT,O,X,X,O,X,X,X,O,O,X,O,X
ISJZTLO,O,O,O,O,X,X,X,X,X,O,O,X
ISJZTOL,X,X,X,X,X,X,O,X,X,X,O,O
