sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
TLIJZSO,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,O,O,O,X,X,X
TLIJOZS,X,X,X,X,X,O,O,X,O,X,X,X
TLISJZO,X,X,O,O,O,X,X,O,X,X,O,X
TLISJOZ,X,X,X,O,O,X,X,O,O,X,X,X
TLISZJO,X,X,O,X,O,O,X,O,X,X,O,X
TLISZOJ,X,X,O,X,O,O,X,O,X,X,O,X
TLISOJZ,X,X,O,O,O,X,X,O,O,X,X,X
TLISOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLIZJSO,X,X,O,X,O,O,X,X,X,X,X,X
TLIZJOS,X,X,O,X,X,O,X,X,O,X,X,X
TLIZSJO,X,X,O,X,O,O,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,O,O,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,O,X,X,O,X,X,X
TLIZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X,O,O,O,X,X,X
TLIOJZS,X,X,X,X,X,O,O,X,O,X,X,X
TLIOSJZ,X,X,O,O,X,X,O,O,O,X,X,X
TLIOSZJ,X,X,O,X,X,O,X,O,X,X,X,X
TLIOZJS,X,X,O,X,X,O,O,X,O,X,X,X
TLIOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,X,O,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,O,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIZO,O,O,O,O,O,X,X,O,X,O,X,X
TLJSIOZ,O,X,X,O,O,X,X,O,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,O,X,O,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X,O,X,X
TLJSOIZ,O,X,O,O,X,X,X,O,X,X,X,X
TLJSOZI,O,O,O,O,X,X,X,X,X,O,X,X
TLJZISO,O,O,O,X,O,X,X,X,X,O,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,X,X,O,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X,O,X,X
TLJZOIS,O,O,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,X,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,O,X,X,O,X,O,O,X
TLSIJOZ,O,X,X,O,O,X,O,O,O,X,X,X
TLSIZJO,O,O,O,X,O,X,X,O,X,O,O,X
TLSIZOJ,O,O,O,X,O,X,X,O,X,O,O,X
TLSIOJZ,O,X,O,O,O,X,O,O,O,X,X,X
TLSIOZJ,O,X,O,X,O,X,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,X,X,O,X,O,X,X
TLSJIOZ,O,X,X,O,O,X,O,O,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O,X,O,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,O,X,X
TLSJOIZ,O,X,O,O,X,X,O,O,X,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,O,X,X
TLSZIJO,O,O,O,X,O,X,X,O,X,O,X,X
TLSZIOJ,O,O,O,X,O,X,X,O,X,O,X,X
TLSZJIO,O,O,O,O,O,X,X,O,X,O,X,X
TLSZJOI,O,O,O,O,O,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TLSZOJI,O,O,O,O,O,X,X,X,X,O,X,X
TLSOIJZ,O,X,O,O,O,X,O,O,O,X,X,X
TLSOIZJ,O,X,O,X,O,X,O,O,X,X,X,X
TLSOJIZ,O,X,O,O,O,X,O,O,X,X,X,X
TLSOJZI,O,O,O,O,O,X,O,X,X,O,X,X
TLSOZIJ,O,O,O,X,O,X,O,X,X,O,X,X
TLSOZJI,O,O,O,O,O,X,O,X,X,O,X,X
TLZIJSO,X,O,O,X,O,O,X,X,X,O,X,X
TLZIJOS,X,O,O,X,X,O,X,X,O,X,X,X
TLZISJO,X,O,O,X,O,O,X,X,X,O,X,X
TLZISOJ,X,X,O,X,O,O,X,X,X,O,X,X
TLZIOJS,X,O,O,X,X,O,X,X,O,X,X,X
TLZIOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,X,O,X,X
TLZJIOS,X,O,O,X,X,O,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,X,X,O,X,X
TLZJSOI,O,O,O,O,O,X,X,X,X,O,X,X
TLZJOIS,O,O,O,X,O,O,X,X,X,X,X,X
TLZJOSI,O,O,O,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X,O,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
TLZSJIO,O,O,O,O,O,X,X,X,X,O,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,O,X,X
TLZSOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TLZSOJI,O,O,O,O,O,X,X,X,X,O,X,X
TLZOIJS,O,O,O,X,O,O,X,X,O,X,X,X
TLZOISJ,O,X,O,X,O,O,X,X,X,X,X,X
TLZOJIS,O,O,O,X,O,O,X,X,X,X,X,X
TLZOJSI,O,O,O,O,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,O,X,O,O,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,O,X,X,O,X,O,X,X,X
TLOIJZS,X,X,X,X,X,O,O,X,O,X,X,X
TLOISJZ,O,X,O,O,O,X,O,X,O,X,X,X
TLOISZJ,O,X,O,X,O,O,O,X,X,X,X,X
TLOIZJS,X,X,O,X,O,O,O,X,O,X,X,X
TLOIZSJ,X,X,O,X,O,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,X,X,O,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSIZ,O,X,O,O,O,X,O,X,X,X,X,X
TLOJSZI,O,X,O,O,O,X,O,X,X,X,X,X
TLOJZIS,X,X,O,X,O,X,X,X,X,X,X,X
TLOJZSI,X,X,O,O,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,O,X,O,X,O,X,X,X
TLOSIZJ,O,X,O,X,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,O,O,X,O,X,X,X,X,X
TLOSJZI,O,X,O,O,O,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,O,X,X,X,X,X
TLOSZJI,O,X,O,O,O,X,O,X,X,X,X,X
TLOZIJS,X,X,O,X,O,O,O,X,O,X,X,X
TLOZISJ,X,X,O,X,O,O,X,X,X,X,X,X
TLOZJIS,X,X,O,X,O,O,X,X,X,X,X,X
TLOZJSI,X,X,O,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,O,X,O,X,X,X,X,X
TLOZSJI,X,X,O,O,O,X,O,X,X,X,X,X
TJILSZO,O,X,X,O,X,X,X,O,X,X,X,X
TJILSOZ,O,X,X,O,X,X,X,O,O,X,X,X
TJILZSO,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,O,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,O,O,O,X,X,X
TJILOZS,X,X,X,X,X,O,O,X,O,X,X,X
TJISLZO,O,O,X,O,X,X,X,O,X,O,X,X
TJISLOZ,O,X,X,O,X,X,X,O,O,X,X,X
TJISZLO,O,O,X,O,X,X,X,O,X,O,X,X
TJISZOL,O,O,X,X,X,X,X,O,X,O,X,X
TJISOLZ,O,X,X,O,X,X,O,O,O,X,X,X
TJISOZL,O,X,X,X,X,X,X,O,X,X,X,X
TJIZLSO,O,O,X,X,X,O,X,X,X,O,X,X
TJIZLOS,X,O,X,X,X,O,X,X,O,X,X,X
TJIZSLO,O,O,X,X,X,O,X,O,X,O,X,X
TJIZSOL,O,O,X,X,X,O,X,O,X,O,X,X
TJIZOLS,O,O,X,X,X,O,O,X,O,X,X,X
TJIZOSL,O,X,X,X,X,O,X,O,X,O,X,X
TJIOLSZ,O,X,X,X,X,X,O,O,O,X,X,X
TJIOLZS,X,X,X,X,X,O,O,X,O,X,X,X
TJIOSLZ,O,X,X,X,X,X,O,O,O,X,X,X
TJIOSZL,O,X,X,X,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,X,X,O,O,X,O,X,X,X
TJIOZSL,O,X,X,X,X,O,X,O,X,X,X,X
TJLISZO,O,X,X,O,X,X,X,O,X,X,X,X
TJLISOZ,O,X,X,O,X,X,X,O,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,O,O,X,X,X
