sequence,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFzgBfnBxiBGoBFr?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFFhB8mBziB5oBfr?BmsB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFRhBGjBfrB0mBln?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFXhBxiBzmBStBmq?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeRAJvhF3hBTlBlnBctBir?BGtB,v115@9gA8IeB8HeB8HeD8AeC8LeUAJvhFRhBSoBlmB3nBmq?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFxhB3lBcrBTnBOt?B6tB
TIOSZLJ,O,X,X,X,X,O,O
TIOSZJL,O,X,X,X,X,X,O
TIOZLJS,O,X,X,X,O,O,X
TIOZLSJ,O,X,X,X,O,O,X
TIOZJLS,O,X,X,X,X,O,X
TIOZJSL,O,X,X,O,X,X,X
TIOZSLJ,O,X,X,X,X,O,X
TIOZSJL,O,X,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,X,X,X
TLIJZSO,X,O,O,O,X,X,X
TLIJZOS,X,O,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X
TLIJOZS,X,O,X,O,X,X,X
TLISJZO,X,O,O,X,X,X,X
TLISJOZ,O,O,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X
TLISOZJ,O,O,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X
TLIZOJS,O,X,X,O,X,O,X
TLIZOSJ,O,X,X,X,X,O,X
TLIOJSZ,X,X,O,O,X,X,X
TLIOJZS,X,X,X,O,X,O,X
TLIOSJZ,O,X,X,O,X,X,X
TLIOSZJ,O,X,X,X,X,O,X
TLIOZJS,O,X,X,O,X,O,X
TLIOZSJ,O,X,X,X,X,O,X
TLJISZO,X,O,O,O,X,X,X
TLJISOZ,X,O,O,O,X,X,X
TLJIZSO,X,O,O,O,X,X,X
TLJIZOS,X,O,X,X,X,O,X
TLJIOSZ,X,O,O,O,X,O,X
TLJIOZS,X,O,X,O,X,O,X
TLJSIZO,X,O,O,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,X,X,X
TLJSZOI,O,O,O,X,X,X,O
TLJSOIZ,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,X,X,O
TLJZISO,O,O,O,O,X,X,X
TLJZIOS,O,O,X,X,X,O,X
TLJZSIO,O,O,O,O,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,O,O,X,O,X,O,X
TLJZOSI,O,O,X,O,X,O,X
TLJOISZ,X,O,O,O,X,O,X
TLJOIZS,X,O,X,O,X,O,X
TLJOSIZ,O,O,O,O,X,O,X
TLJOSZI,O,O,O,O,X,O,O
TLJOZIS,O,O,X,O,X,O,X
TLJOZSI,O,O,X,O,X,O,X
TLSIJZO,X,O,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X
TLSIOZJ,O,O,O,X,X,X,X
TLSJIZO,X,O,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,O
TLSJOIZ,O,O,O,X,X,X,X
TLSJOZI,O,O,O,X,X,X,O
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,O,X,O
TLSZJIO,O,O,O,X,X,X,X
TLSZJOI,O,O,O,X,O,X,O
TLSZOIJ,O,O,O,X,O,X,O
TLSZOJI,O,O,O,X,O,X,O
TLSOIJZ,O,X,O,O,X,X,X
TLSOIZJ,O,O,O,X,O,X,X
TLSOJIZ,O,X,O,O,X,X,X
TLSOJZI,O,X,O,O,X,X,O
TLSOZIJ,O,O,O,X,O,X,O
TLSOZJI,O,O,O,X,O,X,O
TLZIJSO,O,O,O,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,X
TLZIOJS,O,X,X,O,O,O,X
TLZIOSJ,O,X,X,X,O,O,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X
TLZJOIS,O,O,X,X,O,X,X
TLZJOSI,O,O,X,X,O,X,X
TLZSIJO,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X
TLZSJIO,O,O,O,X,X,X,X
TLZSJOI,O,O,O,X,O,X,X
TLZSOIJ,O,O,O,X,O,X,X
TLZSOJI,O,O,O,X,O,X,X
TLZOIJS,O,X,X,O,O,O,X
TLZOISJ,O,X,X,X,O,O,X
TLZOJIS,O,X,X,O,O,O,X
TLZOJSI,O,X,X,O,O,O,X
TLZOSIJ,O,X,X,X,O,O,X
TLZOSJI,O,X,X,X,O,O,X
TLOIJSZ,X,X,O,O,X,O,X
TLOIJZS,X,X,O,O,X,O,X
TLOISJZ,O,X,O,O,X,X,X
TLOISZJ,O,X,O,X,O,O,X
TLOIZJS,O,X,O,O,O,O,X
TLOIZSJ,O,X,X,X,O,O,X
TLOJISZ,X,X,O,O,X,O,X
TLOJIZS,X,X,O,O,X,O,X
TLOJSIZ,O,X,O,O,X,O,X
TLOJSZI,O,X,O,O,X,O,O
TLOJZIS,O,X,O,O,X,O,X
TLOJZSI,O,X,O,O,X,O,X
TLOSIJZ,O,X,O,O,X,X,X
TLOSIZJ,O,X,O,X,O,O,X
TLOSJIZ,O,X,O,O,X,O,X
TLOSJZI,O,X,O,O,X,O,O
TLOSZIJ,O,X,O,X,O,O,O
TLOSZJI,O,X,O,X,O,O,O
TLOZIJS,O,X,O,O,O,O,X
TLOZISJ,O,X,X,X,O,O,X
TLOZJIS,O,X,O,O,O,O,X
TLOZJSI,O,X,O,O,O,O,X
TLOZSIJ,O,X,O,X,O,O,X
TLOZSJI,O,X,O,X,O,O,X
TJILSZO,X,O,O,O,X,X,X
TJILSOZ,X,O,O,O,X,X,X
TJILZSO,X,O,O,O,X,X,X
TJILZOS,X,O,X,X,X,O,X
TJILOSZ,X,O,O,O,X,O,X
TJILOZS,X,O,X,O,X,O,X
TJISLZO,X,O,O,O,X,X,X
TJISLOZ,X,O,O,O,X,X,X
TJISZLO,X,O,O,X,X,X,X
TJISZOL,X,O,O,X,X,O,O
TJISOLZ,X,O,O,O,X,O,X
TJISOZL,X,O,X,O,X,O,O
TJIZLSO,X,O,O,X,X,X,X
TJIZLOS,X,O,X,X,X,O,X
TJIZSLO,X,O,X,X,X,X,X
TJIZSOL,X,O,X,X,X,O,X
TJIZOLS,X,O,X,X,X,O,X
TJIZOSL,X,O,X,X,X,O,X
TJIOLSZ,X,O,O,O,X,O,X
TJIOLZS,X,O,X,O,X,O,X
TJIOSLZ,X,O,X,O,X,O,X
TJIOSZL,X,O,X,O,X,O,O
TJIOZLS,X,O,X,X,X,O,X
TJIOZSL,X,O,X,O,X,O,X
TJLISZO,X,O,O,O,X,X,X
TJLISOZ,X,O,O,O,X,X,X
TJLIZSO,X,O,O,O,X,X,X
TJLIZOS,X,O,X,X,X,O,X
TJLIOSZ,X,O,O,O,X,O,X
TJLIOZS,X,O,X,O,X,O,X
TJLSIZO,X,O,O,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,X
TJLSZIO,O,O,O,O,X,X,X
TJLSZOI,O,O,O,X,X,X,O
TJLSOIZ,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,X,X,O
TJLZISO,O,O,O,O,X,X,X
TJLZIOS,O,O,X,X,X,O,X
TJLZSIO,O,O,O,O,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,O,O,X,O,X,O,X
TJLZOSI,O,O,X,O,X,O,X
TJLOISZ,X,O,O,O,X,O,X
TJLOIZS,X,O,X,O,X,O,X
TJLOSIZ,O,O,O,O,X,O,X
TJLOSZI,O,O,O,O,X,O,O
TJLOZIS,O,O,X,O,X,O,X
TJLOZSI,O,O,X,O,X,O,X
TJSILZO,X,O,O,O,X,X,X
TJSILOZ,O,O,O,O,X,X,X
TJSIZLO,X,O,O,X,X,X,X
TJSIZOL,X,O,O,X,X,O,O
TJSIOLZ,O,O,O,O,X,O,X
TJSIOZL,X,O,X,O,X,O,O
TJSLIZO,X,O,O,O,X,X,X
TJSLIOZ,O,O,O,O,X,X,X
TJSLZIO,O,O,O,O,X,X,X
TJSLZOI,O,O,O,X,X,X,O
TJSLOIZ,O,O,O,O,X,X,X
TJSLOZI,O,O,O,O,X,X,O
TJSZILO,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,X,O,O
TJSZLIO,O,O,O,O,X,X,X
TJSZLOI,O,O,O,X,X,X,O
TJSZOIL,O,O,O,O,X,O,O
TJSZOLI,O,O,O,O,X,O,O
TJSOILZ,O,O,O,O,X,O,X
TJSOIZL,X,O,X,O,X,O,O
TJSOLIZ,O,O,O,O,X,O,X
TJSOLZI,O,O,O,O,X,O,O
TJSOZIL,O,O,O,O,X,O,O
TJSOZLI,O,O,O,O,X,O,O
TJZILSO,O,O,O,X,X,X,X
TJZILOS,O,O,X,X,X,O,X
TJZISLO,O,O,X,X,X,X,X
TJZISOL,O,O,X,X,X,O,X
TJZIOLS,O,O,X,X,X,O,X
TJZIOSL,O,O,X,X,X,O,X
TJZLISO,O,O,O,O,X,X,X
TJZLIOS,O,O,X,X,X,O,X
TJZLSIO,O,O,O,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,O,O,X,O,X,O,X
TJZLOSI,O,O,X,O,X,O,X
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,O,O
TJZSLIO,O,O,O,O,X,X,X
TJZSLOI,O,O,O,X,X,X,O
TJZSOIL,O,O,O,O,X,O,O
TJZSOLI,O,O,O,O,X,O,O
TJZOILS,O,O,X,X,X,O,X
TJZOISL,O,O,X,O,X,O,O
TJZOLIS,O,O,X,O,X,O,X
TJZOLSI,O,O,X,O,X,O,X
TJZOSIL,O,O,X,O,X,O,O
TJZOSLI,O,O,X,O,X,O,O
TJOILSZ,X,O,O,O,X,O,X
TJOILZS,X,O,X,O,X,O,X
TJOISLZ,X,O,X,O,X,O,X
TJOISZL,X,O,X,O,X,O,O
TJOIZLS,X,O,X,X,X,O,X
TJOIZSL,X,O,X,O,X,O,O
TJOLISZ,X,O,O,O,X,O,X
TJOLIZS,X,O,X,O,X,O,X
TJOLSIZ,O,O,O,O,X,O,X
TJOLSZI,O,O,O,O,X,O,O
TJOLZIS,O,O,X,O,X,O,X
TJOLZSI,O,O,X,O,X,O,X
TJOSILZ,O,O,O,O,X,O,X
TJOSIZL,X,O,X,O,X,O,O
TJOSLIZ,O,O,O,O,X,O,X
TJOSLZI,O,O,O,O,X,O,O
TJOSZIL,O,O,O,O,X,O,O
TJOSZLI,O,O,O,O,X,O,O
TJOZILS,O,O,X,X,X,O,X
TJOZISL,O,O,X,O,X,O,O
TJOZLIS,O,O,X,O,X,O,X
TJOZLSI,O,O,X,O,X,O,X
TJOZSIL,O,O,X,O,X,O,O
TJOZSLI,O,O,X,O,X,O,O
TSILJZO,X,O,O,X,X,X,X
TSILJOZ,O,O,O,X,X,X,X
TSILZJO,O,O,O,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X
TSILOJZ,O,X,O,X,X,X,X
TSILOZJ,O,O,O,X,X,X,X
TSIJLZO,X,O,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,X
TSIJZLO,X,O,O,X,X,X,X
TSIJZOL,X,O,O,X,X,X,O
TSIJOLZ,O,O,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X,O
TSIZLJO,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,O
TSIZJLO,O,O,O,X,X,X,X
TSIZJOL,O,O,O,X,X,X,O
TSIZOLJ,O,O,O,X,X,O,O
TSIZOJL,O,O,O,X,X,X,O
TSIOLJZ,O,X,O,X,X,X,X
TSIOLZJ,O,O,O,X,X,O,X
TSIOJLZ,O,X,O,X,X,X,X
TSIOJZL,X,X,O,X,X,X,O
TSIOZLJ,O,O,O,X,X,O,O
TSIOZJL,O,O,O,X,X,X,O
TSLIJZO,X,O,O,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X
TSLIOJZ,O,X,O,O,X,X,X
TSLIOZJ,O,O,O,X,X,X,X
TSLJIZO,X,O,O,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,O
TSLJOIZ,O,O,O,X,X,X,X
TSLJOZI,O,O,O,X,X,X,O
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,O
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,O,X,X,X,O
TSLZOIJ,O,O,O,X,X,X,O
TSLZOJI,O,O,O,X,X,X,O
TSLOIJZ,O,X,O,O,X,X,X
TSLOIZJ,O,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,X,X,X
TSLOJZI,O,X,O,O,X,X,O
TSLOZIJ,O,O,O,X,X,X,O
TSLOZJI,O,O,O,X,X,X,O
TSJILZO,X,O,O,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X
TSJIZLO,X,O,O,X,X,X,X
TSJIZOL,X,O,O,X,X,O,O
TSJIOLZ,O,O,O,X,X,O,X
TSJIOZL,X,O,X,X,X,O,O
TSJLIZO,X,O,O,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,O
TSJLOIZ,O,O,O,X,X,X,X
TSJLOZI,O,O,O,X,X,X,O
TSJZILO,O,O,O,X,X,X,X
TSJZIOL,O,O,O,X,X,O,O
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,O
TSJZOIL,O,O,O,X,X,O,O
TSJZOLI,O,O,O,X,X,O,O
TSJOILZ,O,O,O,X,X,O,X
TSJOIZL,X,O,X,X,X,O,O
TSJOLIZ,O,O,O,X,X,O,X
TSJOLZI,O,O,O,X,X,O,O
TSJOZIL,O,O,O,X,X,O,O
TSJOZLI,O,O,O,X,X,O,O
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,O
TSZIJLO,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X,O
TSZIOLJ,O,O,O,X,X,O,O
TSZIOJL,O,O,O,X,X,X,O
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,O
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,X,X,X,O
TSZLOIJ,O,O,O,X,X,X,O
TSZLOJI,O,O,O,X,X,X,O
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X,O
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,O
TSZJOIL,O,O,O,X,X,X,O
TSZJOLI,O,O,O,X,X,X,O
TSZOILJ,O,O,O,X,X,O,O
TSZOIJL,O,O,O,X,X,X,O
TSZOLIJ,O,O,O,X,X,O,O
TSZOLJI,O,O,O,X,X,O,O
TSZOJIL,O,O,O,X,X,X,O
TSZOJLI,O,O,O,X,X,X,O
TSOILJZ,O,X,O,X,X,X,X
TSOILZJ,O,O,O,X,X,O,X
TSOIJLZ,O,X,O,O,X,X,X
TSOIJZL,X,X,O,O,X,X,O
TSOIZLJ,O,O,O,X,X,O,O
TSOIZJL,O,O,O,X,X,X,O
TSOLIJZ,O,X,O,O,X,X,X
TSOLIZJ,O,O,O,X,X,O,X
TSOLJIZ,O,X,O,O,X,O,X
TSOLJZI,O,X,O,O,X,O,O
TSOLZIJ,O,O,O,X,X,O,O
TSOLZJI,O,O,O,X,X,O,O
TSOJILZ,O,X,O,O,X,O,X
TSOJIZL,X,X,O,O,X,O,O
TSOJLIZ,O,X,O,O,X,O,X
TSOJLZI,O,X,O,O,X,O,O
TSOJZIL,O,X,O,O,X,O,O
TSOJZLI,O,X,O,O,X,O,O
TSOZILJ,O,O,O,X,X,O,O
TSOZIJL,O,O,O,X,X,X,O
TSOZLIJ,O,O,O,X,X,O,O
TSOZLJI,O,O,O,X,X,O,O
TSOZJIL,O,O,O,X,X,X,O
TSOZJLI,O,O,O,X,X,X,O
TZILJSO,O,O,O,X,X,X,X
TZILJOS,O,O,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X
TZILOJS,O,X,X,X,X,O,X
TZILOSJ,O,X,X,X,X,O,X
TZIJLSO,O,O,O,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,O,X,X,X,O,X
TZIJOSL,O,O,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,O
TZISJLO,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,O
TZISOLJ,O,O,X,X,O,O,O
TZISOJL,O,O,X,X,X,X,O
TZIOLJS,O,X,X,X,O,O,X
TZIOLSJ,O,X,X,X,O,O,X
TZIOJLS,O,X,X,X,X,O,X
TZIOJSL,O,X,X,X,X,X,O
TZIOSLJ,O,X,X,X,O,O,O
TZIOSJL,O,X,X,X,X,X,O
TZLIJSO,O,O,O,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X
TZLISJO,O,O,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,X
TZLIOJS,O,X,X,O,O,O,X
TZLIOSJ,O,X,X,X,O,O,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,O,O,X,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,O,X,X
TZLJOIS,O,O,X,X,O,X,X
TZLJOSI,O,O,X,X,O,X,X
TZLSIJO,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,X,O,X,X
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,O,X,O,X,X
TZLSOIJ,O,O,O,X,O,X,X
TZLSOJI,O,O,O,X,O,X,X
TZLOIJS,O,X,X,O,O,O,X
TZLOISJ,O,X,X,X,O,O,X
TZLOJIS,O,X,X,O,O,O,X
TZLOJSI,O,X,X,O,O,O,X
TZLOSIJ,O,X,X,X,O,O,X
TZLOSJI,O,X,X,X,O,O,X
TZJILSO,O,O,O,X,X,X,X
TZJILOS,O,O,X,X,X,O,X
TZJISLO,O,O,X,X,X,X,X
TZJISOL,O,O,X,X,X,O,X
TZJIOLS,O,O,X,X,X,O,X
TZJIOSL,O,O,X,X,X,O,X
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,O,O,X,X,X,O,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,O,O,X,X,X,O,X
TZJLOSI,O,O,X,X,X,O,X
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,O,O
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,O
TZJSOIL,O,O,O,X,X,O,O
TZJSOLI,O,O,O,X,O,O,O
TZJOILS,O,O,X,X,X,O,X
TZJOISL,O,O,X,X,X,O,O
TZJOLIS,O,O,X,X,O,O,X
TZJOLSI,O,O,X,X,O,O,X
TZJOSIL,O,O,X,X,X,O,O
TZJOSLI,O,O,X,X,O,O,O
TZSILJO,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,O
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,O
TZSIOLJ,O,O,O,X,O,O,O
TZSIOJL,O,O,O,X,X,X,O
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,O
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,O
TZSLOIJ,O,O,O,X,O,X,O
TZSLOJI,O,O,O,X,O,X,O
TZSJILO,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,X,O
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,O
TZSJOIL,O,O,O,X,X,X,O
TZSJOLI,O,O,O,X,O,X,O
TZSOILJ,O,O,O,X,O,O,O
TZSOIJL,O,O,O,X,X,X,O
TZSOLIJ,O,O,O,X,O,O,O
TZSOLJI,O,O,O,X,O,O,O
TZSOJIL,O,O,O,X,X,X,O
TZSOJLI,O,O,O,X,O,X,O
TZOILJS,O,X,X,X,O,O,X
TZOILSJ,O,X,X,X,O,O,X
TZOIJLS,O,X,X,X,X,O,X
TZOIJSL,O,X,X,O,X,X,O
TZOISLJ,O,X,X,X,O,O,O
TZOISJL,O,X,X,X,X,X,O
TZOLIJS,O,X,X,O,O,O,X
TZOLISJ,O,X,X,X,O,O,X
TZOLJIS,O,X,X,O,O,O,X
TZOLJSI,O,X,X,O,O,O,X
TZOLSIJ,O,X,X,X,O,O,X
TZOLSJI,O,X,X,X,O,O,X
TZOJILS,O,X,X,X,X,O,X
TZOJISL,O,X,X,O,X,O,O
TZOJLIS,O,X,X,O,O,O,X
TZOJLSI,O,X,X,O,O,O,X
TZOJSIL,O,X,X,O,X,O,O
TZOJSLI,O,X,X,O,O,O,O
TZOSILJ,O,X,X,X,O,O,O
TZOSIJL,O,X,X,X,X,X,O
TZOSLIJ,O,X,X,X,O,O,O
TZOSLJI,O,X,X,X,O,O,O
TZOSJIL,O,X,X,X,X,X,O
TZOSJLI,O,X,X,X,O,X,O
TOILJSZ,X,X,O,O,X,O,X
TOILJZS,X,X,O,O,X,O,X
