sequence,v115@6gB8HeB8FeD8EeE8AeB8AeG8Jei6IvhFzcB5jBckBm?gB3gBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JecAJvhFmcB5jBTfBX?hBikBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8Je/AJvhFahBzcB5jBO?kB0fBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeaBJvhFzcB5jBOkBX?gBcqBlpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeK/IvhFfgBlbBzcB5?jB8lBmpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeO/IvhFzcB5jB8lB3?kBFlBiqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeeBJvhFzcB5jB/kBF?gBikBcqB
TZOSJLI,O,O,O,O,X,X,X
TOILJSZ,X,O,O,X,X,X,X
TOILJZS,O,X,O,O,X,X,X
TOILSJZ,X,O,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X
TOILZJS,O,X,O,O,X,X,X
TOILZSJ,O,X,O,O,X,X,X
TOIJLSZ,X,O,O,X,O,X,X
TOIJLZS,O,X,O,O,O,X,X
TOIJSLZ,X,O,O,X,X,X,O
TOIJSZL,O,O,O,X,X,X,O
TOIJZLS,O,X,O,O,O,X,X
TOIJZSL,O,O,O,O,X,X,X
TOISLJZ,X,O,O,X,X,X,X
TOISLZJ,X,O,O,X,X,X,X
TOISJLZ,X,O,O,X,X,X,O
TOISJZL,O,O,O,X,X,O,O
TOISZLJ,O,O,O,X,X,X,X
TOISZJL,O,O,O,X,X,O,X
TOIZLJS,O,X,O,O,X,X,X
TOIZLSJ,O,X,O,O,X,X,X
TOIZJLS,O,X,O,O,O,X,X
TOIZJSL,O,O,O,O,X,X,X
TOIZSLJ,O,O,O,O,X,X,X
TOIZSJL,O,O,O,O,X,O,X
TOLIJSZ,X,O,O,X,X,X,X
TOLIJZS,O,X,O,O,X,X,X
TOLISJZ,X,O,O,X,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,O,X,O,O,X,X,X
TOLIZSJ,O,X,O,O,X,X,X
TOLJISZ,X,O,O,X,X,X,X
TOLJIZS,O,X,O,O,X,X,X
TOLJSIZ,X,O,O,X,X,X,X
TOLJSZI,X,O,O,X,X,X,X
TOLJZIS,O,X,O,O,X,X,X
TOLJZSI,O,X,O,O,X,X,X
TOLSIJZ,X,O,O,X,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,O,O,X,X,X,X
TOLSJZI,X,O,O,X,X,X,X
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,X,X,X,X
TOLZIJS,O,X,O,O,X,X,X
TOLZISJ,O,X,O,O,X,X,X
TOLZJIS,O,X,O,O,X,X,X
TOLZJSI,O,X,O,O,X,X,X
TOLZSIJ,O,X,O,O,X,X,X
TOLZSJI,O,X,O,O,X,X,X
TOJILSZ,X,O,O,X,O,X,X
TOJILZS,O,X,O,O,O,X,X
TOJISLZ,X,O,O,X,X,X,O
TOJISZL,O,O,O,X,X,X,O
TOJIZLS,O,X,O,O,O,X,X
TOJIZSL,O,O,O,O,X,X,X
TOJLISZ,X,O,O,X,O,X,X
TOJLIZS,O,X,O,O,O,X,X
TOJLSIZ,X,O,O,X,O,X,X
TOJLSZI,X,O,O,X,O,X,X
TOJLZIS,O,X,O,O,O,X,X
TOJLZSI,O,X,O,O,O,X,X
TOJSILZ,X,O,O,X,X,X,O
TOJSIZL,O,O,O,X,X,X,O
TOJSLIZ,X,O,O,X,X,X,O
TOJSLZI,X,O,O,X,X,X,X
TOJSZIL,O,O,O,X,X,X,O
TOJSZLI,O,O,O,X,X,X,X
TOJZILS,O,X,O,O,O,X,X
TOJZISL,O,O,O,O,X,X,X
TOJZLIS,O,X,O,O,O,X,X
TOJZLSI,O,X,O,O,O,X,X
TOJZSIL,O,O,O,O,X,X,X
TOJZSLI,O,O,O,O,X,X,X
TOSILJZ,X,O,O,X,X,X,X
TOSILZJ,X,O,O,X,X,X,X
TOSIJLZ,X,O,O,X,X,X,O
TOSIJZL,O,O,O,X,X,O,O
TOSIZLJ,O,O,O,X,X,X,X
TOSIZJL,O,O,O,X,X,O,X
TOSLIJZ,X,O,O,X,X,X,X
TOSLIZJ,X,O,O,X,X,X,X
TOSLJIZ,X,O,O,X,X,X,X
TOSLJZI,X,O,O,X,X,X,X
TOSLZIJ,X,O,O,X,X,X,X
TOSLZJI,X,O,O,X,X,X,X
TOSJILZ,X,O,O,X,X,X,O
TOSJIZL,O,O,O,X,X,O,O
TOSJLIZ,X,O,O,X,X,X,O
TOSJLZI,X,O,O,X,X,X,X
TOSJZIL,O,O,O,X,X,O,O
TOSJZLI,O,O,O,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X
TOSZIJL,O,O,O,X,X,O,X
TOSZLIJ,O,O,O,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X
TOSZJIL,O,O,O,X,X,O,X
TOSZJLI,O,O,O,X,X,X,X
TOZILJS,O,X,O,O,X,X,X
TOZILSJ,O,X,O,O,X,X,X
TOZIJLS,O,X,O,O,O,X,X
TOZIJSL,O,O,O,O,X,X,X
TOZISLJ,O,O,O,O,X,X,X
TOZISJL,O,O,O,O,X,O,X
TOZLIJS,O,X,O,O,X,X,X
TOZLISJ,O,X,O,O,X,X,X
TOZLJIS,O,X,O,O,X,X,X
TOZLJSI,O,X,O,O,X,X,X
TOZLSIJ,O,X,O,O,X,X,X
TOZLSJI,O,X,O,O,X,X,X
TOZJILS,O,X,O,O,O,X,X
TOZJISL,O,O,O,O,X,X,X
TOZJLIS,O,X,O,O,O,X,X
TOZJLSI,O,X,O,O,O,X,X
TOZJSIL,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,X,O,X
TOZSLIJ,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,X,X,X
TOZSJIL,O,O,O,O,X,O,X
TOZSJLI,O,O,O,O,X,X,X
ITLJSZO,X,O,O,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X
ITLJZSO,O,X,O,O,X,X,X
ITLJZOS,O,X,O,O,X,X,X
ITLJOSZ,X,O,O,X,X,X,X
ITLJOZS,O,X,O,O,X,X,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X
ITLSZJO,X,O,O,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,X
ITLZJSO,O,X,O,O,X,X,X
ITLZJOS,O,X,O,O,X,X,X
ITLZSJO,O,X,O,O,X,X,X
ITLZSOJ,O,X,O,O,X,X,X
ITLZOJS,O,X,O,O,X,X,X
ITLZOSJ,O,X,O,O,X,X,X
ITLOJSZ,X,O,O,X,X,X,X
ITLOJZS,O,X,O,O,X,X,X
ITLOSJZ,X,O,O,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X
ITLOZJS,O,X,O,O,X,X,X
ITLOZSJ,O,X,O,O,X,X,X
ITJLSZO,X,O,O,X,O,X,X
ITJLSOZ,X,O,O,X,O,X,X
ITJLZSO,O,X,O,O,O,X,X
ITJLZOS,O,X,O,O,O,X,X
ITJLOSZ,X,O,O,X,O,X,X
ITJLOZS,O,X,O,O,O,X,X
ITJSLZO,X,O,O,X,X,X,X
ITJSLOZ,X,O,O,X,X,X,O
ITJSZLO,O,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X,O
ITJSOLZ,X,O,O,X,X,X,O
ITJSOZL,O,O,O,X,X,X,O
ITJZLSO,O,X,O,O,O,X,X
ITJZLOS,O,X,O,O,O,X,X
ITJZSLO,O,O,O,O,X,X,X
ITJZSOL,O,O,O,O,X,X,X
ITJZOLS,O,X,O,O,O,X,X
ITJZOSL,O,O,O,O,X,X,X
ITJOLSZ,X,O,O,X,O,X,X
ITJOLZS,O,X,O,O,O,X,X
ITJOSLZ,X,O,O,X,X,X,O
ITJOSZL,O,O,O,X,X,X,O
ITJOZLS,O,X,O,O,O,X,X
ITJOZSL,O,O,O,O,X,X,X
ITSLJZO,X,O,O,X,X,X,X
ITSLJOZ,X,O,O,X,X,X,O
ITSLZJO,X,O,O,X,X,X,X
ITSLZOJ,X,O,O,X,X,X,X
ITSLOJZ,X,O,O,X,X,X,X
ITSLOZJ,X,O,O,X,X,X,X
ITSJLZO,X,O,O,X,X,X,X
ITSJLOZ,X,O,O,X,X,X,O
ITSJZLO,O,O,O,X,X,O,X
ITSJZOL,O,O,O,X,X,O,O
ITSJOLZ,X,O,O,X,X,X,O
ITSJOZL,O,O,O,X,X,O,O
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X
ITSZJLO,O,O,O,X,X,O,X
ITSZJOL,O,O,O,X,X,O,O
ITSZOLJ,O,O,O,X,X,X,X
ITSZOJL,O,O,O,X,X,O,X
ITSOLJZ,X,O,O,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,X
ITSOJLZ,X,O,O,X,X,X,O
ITSOJZL,O,O,O,X,X,O,O
ITSOZLJ,O,O,O,X,X,X,X
ITSOZJL,O,O,O,X,X,O,X
ITZLJSO,O,X,O,O,X,X,X
ITZLJOS,O,X,O,O,X,X,X
ITZLSJO,O,X,O,O,X,X,X
ITZLSOJ,O,X,O,O,X,X,X
ITZLOJS,O,X,O,O,X,X,X
ITZLOSJ,O,X,O,O,X,X,X
ITZJLSO,O,X,O,O,O,X,X
ITZJLOS,O,X,O,O,O,X,X
ITZJSLO,O,O,O,O,X,X,X
ITZJSOL,O,O,O,O,X,X,X
ITZJOLS,O,X,O,O,O,X,X
ITZJOSL,O,O,O,O,X,X,X
ITZSLJO,O,O,O,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,X
ITZSJLO,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,X,O,X
ITZSOLJ,O,O,O,O,X,X,X
ITZSOJL,O,O,O,O,X,O,X
ITZOLJS,O,X,O,O,X,X,X
ITZOLSJ,O,X,O,O,X,X,X
ITZOJLS,O,X,O,O,O,X,X
ITZOJSL,O,O,O,O,X,X,X
ITZOSLJ,O,O,O,O,X,X,X
ITZOSJL,O,O,O,O,X,O,X
ITOLJSZ,X,O,O,X,X,X,X
ITOLJZS,O,X,O,O,X,X,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,O,X,O,O,X,X,X
ITOLZSJ,O,X,O,O,X,X,X
ITOJLSZ,X,O,O,X,O,X,X
ITOJLZS,O,X,O,O,O,X,X
ITOJSLZ,X,O,O,X,X,X,O
ITOJSZL,O,O,O,X,X,X,O
ITOJZLS,O,X,O,O,O,X,X
ITOJZSL,O,O,O,O,X,X,X
ITOSLJZ,X,O,O,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X
ITOSJLZ,X,O,O,X,X,X,O
ITOSJZL,O,O,O,X,X,O,O
ITOSZLJ,O,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,O,X
ITOZLJS,O,X,O,O,X,X,X
ITOZLSJ,O,X,O,O,X,X,X
ITOZJLS,O,X,O,O,O,X,X
ITOZJSL,O,O,O,O,X,X,X
ITOZSLJ,O,O,O,O,X,X,X
ITOZSJL,O,O,O,O,X,O,X
ILTJSZO,X,O,O,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X
ILTJZSO,O,X,O,O,X,X,X
ILTJZOS,O,X,O,O,X,X,X
ILTJOSZ,X,O,O,X,X,X,X
ILTJOZS,O,X,O,O,X,X,X
ILTSJZO,X,O,O,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X
ILTZJSO,O,X,O,O,X,X,X
ILTZJOS,O,X,O,O,X,X,X
ILTZSJO,O,X,O,O,X,X,X
ILTZSOJ,O,X,O,O,X,X,X
ILTZOJS,O,X,O,O,X,X,X
ILTZOSJ,O,X,O,O,X,X,X
ILTOJSZ,X,O,O,X,X,X,X
ILTOJZS,O,X,O,O,X,X,X
ILTOSJZ,X,O,O,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,O,X,O,O,X,X,X
ILTOZSJ,O,X,O,O,X,X,X
ILJTSZO,X,O,O,X,O,X,X
ILJTSOZ,X,O,O,X,O,X,X
ILJTZSO,O,X,O,O,O,X,X
ILJTZOS,O,X,O,O,O,X,X
ILJTOSZ,X,O,O,X,O,X,X
ILJTOZS,O,X,O,O,O,X,X
ILJSTZO,X,O,X,X,O,X,X
ILJSTOZ,X,O,X,X,O,X,O
ILJSZTO,X,O,X,O,O,X,X
ILJSZOT,X,X,X,O,O,X,X
ILJSOTZ,X,X,X,X,O,X,O
ILJSOZT,X,X,X,O,O,X,X
ILJZTSO,X,X,X,O,O,X,X
ILJZTOS,O,X,X,O,O,X,X
ILJZSTO,X,X,X,O,O,X,X
ILJZSOT,O,X,X,O,O,X,X
ILJZOTS,O,X,X,O,O,X,X
ILJZOST,O,X,X,O,O,X,X
ILJOTSZ,X,X,O,X,O,X,X
ILJOTZS,O,X,O,O,O,X,X
ILJOSTZ,X,X,X,X,O,X,O
ILJOSZT,X,X,X,O,O,X,X
ILJOZTS,O,X,X,O,O,X,X
ILJOZST,O,X,X,O,O,X,X
ILSTJZO,X,O,O,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,O
ILSTZJO,X,O,O,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,X
ILSTOJZ,X,O,O,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,O
ILSJZTO,X,O,X,O,X,O,X
ILSJZOT,X,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,X,X,O
ILSJOZT,X,X,X,O,X,O,X
ILSZTJO,X,O,X,O,X,X,X
ILSZTOJ,X,O,X,O,X,X,X
ILSZJTO,X,O,X,O,X,O,X
ILSZJOT,X,X,X,O,X,O,X
ILSZOTJ,X,X,X,O,X,X,X
ILSZOJT,X,X,X,O,X,O,X
ILSOTJZ,X,X,O,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,O
ILSOJZT,X,X,X,O,X,O,X
ILSOZTJ,X,X,X,O,X,X,X
ILSOZJT,X,X,X,O,X,O,X
ILZTJSO,O,X,O,O,X,X,X
ILZTJOS,O,X,O,O,X,X,X
ILZTSJO,O,X,O,O,X,X,X
ILZTSOJ,O,X,O,O,X,X,X
ILZTOJS,O,X,O,O,X,X,X
ILZTOSJ,O,X,O,O,X,X,X
ILZJTSO,O,X,X,O,O,X,X
ILZJTOS,O,X,X,O,O,X,X
ILZJSTO,X,X,X,O,O,X,X
ILZJSOT,O,X,X,O,O,X,X
ILZJOTS,O,X,X,O,O,X,X
ILZJOST,O,X,X,O,O,X,X
ILZSTJO,O,X,X,O,X,X,X
ILZSTOJ,O,X,X,O,X,X,X
ILZSJTO,X,X,X,O,X,O,X
ILZSJOT,O,X,X,O,X,O,X
ILZSOTJ,O,X,X,O,X,X,X
ILZSOJT,O,X,X,O,X,O,X
ILZOTJS,O,X,O,O,X,X,X
ILZOTSJ,O,X,O,O,X,X,X
ILZOJTS,O,X,X,O,O,X,X
ILZOJST,O,X,X,O,O,X,X
ILZOSTJ,O,X,X,O,X,X,X
ILZOSJT,O,X,X,O,X,O,X
ILOTJSZ,X,X,O,X,X,X,X
ILOTJZS,O,X,O,O,X,X,X
ILOTSJZ,X,X,O,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,X
ILOTZJS,O,X,O,O,X,X,X
ILOTZSJ,O,X,O,O,X,X,X
ILOJTSZ,X,X,O,X,O,X,X
ILOJTZS,O,X,O,O,O,X,X
ILOJSTZ,X,X,X,X,O,X,O
ILOJSZT,X,X,X,O,O,X,X
ILOJZTS,O,X,X,O,O,X,X
ILOJZST,O,X,X,O,O,X,X
ILOSTJZ,X,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,O
ILOSJZT,X,X,X,O,X,O,X
ILOSZTJ,X,X,X,O,X,X,X
ILOSZJT,X,X,X,O,X,O,X
ILOZTJS,O,X,O,O,X,X,X
ILOZTSJ,O,X,O,O,X,X,X
ILOZJTS,O,X,X,O,O,X,X
ILOZJST,O,X,X,O,O,X,X
ILOZSTJ,O,X,X,O,X,X,X
ILOZSJT,O,X,X,O,X,O,X
IJTLSZO,X,O,O,X,O,X,X
IJTLSOZ,X,O,O,X,O,X,X
IJTLZSO,O,X,O,O,O,X,X
IJTLZOS,O,X,O,O,O,X,X
IJTLOSZ,X,O,O,X,O,X,X
IJTLOZS,O,X,O,O,O,X,X
IJTSLZO,X,O,O,X,X,X,X
IJTSLOZ,X,O,O,X,X,X,O
IJTSZLO,O,O,O,X,X,X,X
IJTSZOL,O,O,O,X,X,X,O
IJTSOLZ,X,O,O,X,X,X,O
IJTSOZL,O,O,O,X,X,X,O
IJTZLSO,O,X,O,O,O,X,X
IJTZLOS,O,X,O,O,O,X,X
IJTZSLO,O,O,O,O,X,X,X
IJTZSOL,O,O,O,O,X,X,X
IJTZOLS,O,X,O,O,O,X,X
IJTZOSL,O,O,O,O,X,X,X
IJTOLSZ,X,O,O,X,O,X,X
IJTOLZS,O,X,O,O,O,X,X
IJTOSLZ,X,O,O,X,X,X,O
IJTOSZL,O,O,O,X,X,X,O
IJTOZLS,O,X,O,O,O,X,X
IJTOZSL,O,O,O,O,X,X,X
IJLTSZO,X,O,O,X,O,X,X
IJLTSOZ,X,O,O,X,O,X,X
IJLTZSO,O,X,O,O,O,X,X
IJLTZOS,O,X,O,O,O,X,X
IJLTOSZ,X,O,O,X,O,X,X
IJLTOZS,O,X,O,O,O,X,X
IJLSTZO,X,O,X,X,O,X,X
IJLSTOZ,X,O,X,X,O,X,O
IJLSZTO,X,O,X,O,O,X,X
IJLSZOT,X,X,X,O,O,X,X
IJLSOTZ,X,X,X,X,O,X,O
IJLSOZT,X,X,X,O,O,X,X
IJLZTSO,X,X,X,O,O,X,X
IJLZTOS,O,X,X,O,O,X,X
IJLZSTO,X,X,X,O,O,X,X
IJLZSOT,O,X,X,O,O,X,X
IJLZOTS,O,X,X,O,O,X,X
IJLZOST,O,X,X,O,O,X,X
IJLOTSZ,X,X,O,X,O,X,X
IJLOTZS,O,X,O,O,O,X,X
IJLOSTZ,X,X,X,X,O,X,O
IJLOSZT,X,X,X,O,O,X,X
IJLOZTS,O,X,X,O,O,X,X
IJLOZST,O,X,X,O,O,X,X
IJSTLZO,X,O,O,X,X,X,X
IJSTLOZ,X,O,O,X,X,X,O
IJSTZLO,O,O,O,X,X,O,X
IJSTZOL,O,O,O,X,X,O,O
IJSTOLZ,X,O,O,X,X,X,O
IJSTOZL,O,O,O,X,X,O,O
IJSLTZO,X,O,X,X,O,X,X
IJSLTOZ,X,O,X,X,O,X,O
IJSLZTO,X,O,X,O,O,O,X
IJSLZOT,X,X,X,O,O,O,X
IJSLOTZ,X,X,X,X,O,X,O
IJSLOZT,X,X,X,O,O,O,X
IJSZTLO,X,O,X,O,X,O,X
IJSZTOL,X,O,X,O,X,O,O
IJSZLTO,X,O,X,O,O,O,X
IJSZLOT,O,X,X,O,O,O,X
IJSZOTL,X,O,X,O,X,O,O
IJSZOLT,O,X,X,O,O,O,X
IJSOTLZ,X,O,O,X,X,X,O
IJSOTZL,O,O,O,X,X,O,O
IJSOLTZ,X,X,X,X,O,X,O
IJSOLZT,X,X,X,O,O,O,X
IJSOZTL,X,O,X,O,X,O,O
IJSOZLT,O,X,X,O,O,O,X
IJZTLSO,O,X,O,O,O,X,X
IJZTLOS,O,X,O,O,O,X,X
IJZTSLO,O,O,O,O,X,X,X
IJZTSOL,O,O,O,O,X,X,X
IJZTOLS,O,X,O,O,O,X,X
IJZTOSL,O,O,O,O,X,X,X
IJZLTSO,O,X,X,O,O,X,X
IJZLTOS,O,X,X,O,O,X,X
IJZLSTO,X,X,X,O,O,X,X
IJZLSOT,O,X,X,O,O,X,X
IJZLOTS,O,X,X,O,O,X,X
IJZLOST,O,X,X,O,O,X,X
IJZSTLO,X,O,X,O,X,O,X
IJZSTOL,X,O,X,O,X,O,O
IJZSLTO,X,O,X,O,O,O,X
IJZSLOT,O,X,X,O,O,O,X
IJZSOTL,X,O,X,O,X,O,O
IJZSOLT,O,X,X,O,O,O,X
IJZOTLS,O,X,O,O,O,X,X
IJZOTSL,O,X,O,O,X,X,X
IJZOLTS,O,X,X,O,O,X,X
IJZOLST,O,X,X,O,O,X,X
IJZOSTL,X,X,X,O,X,O,O
IJZOSLT,O,X,X,O,O,O,X
IJOTLSZ,X,O,O,X,O,X,X
IJOTLZS,O,X,O,O,O,X,X
IJOTSLZ,X,O,O,X,X,X,O
IJOTSZL,O,O,O,X,X,X,O
IJOTZLS,O,X,O,O,O,X,X
IJOTZSL,O,O,O,O,X,X,X
IJOLTSZ,X,X,O,X,O,X,X
IJOLTZS,O,X,O,O,O,X,X
IJOLSTZ,X,X,X,X,O,X,O
IJOLSZT,X,X,X,O,O,X,X
IJOLZTS,O,X,X,O,O,X,X
IJOLZST,O,X,X,O,O,X,X
IJOSTLZ,X,O,O,X,X,X,O
IJOSTZL,O,O,O,X,X,O,O
IJOSLTZ,X,X,X,X,O,X,O
IJOSLZT,X,X,X,O,O,O,X
IJOSZTL,X,O,X,O,X,O,O
IJOSZLT,O,X,X,O,O,O,X
IJOZTLS,O,X,O,O,O,X,X
IJOZTSL,O,X,O,O,X,X,X
IJOZLTS,O,X,X,O,O,X,X
IJOZLST,O,X,X,O,O,X,X
IJOZSTL,X,X,X,O,X,O,O
IJOZSLT,O,X,X,O,O,O,X
ISTLJZO,X,O,O,X,X,X,X
ISTLJOZ,X,O,O,X,X,X,O
ISTLZJO,X,O,O,X,X,X,X
ISTLZOJ,X,O,O,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X
ISTJLOZ,X,O,O,X,X,X,O
ISTJZLO,O,O,O,X,X,O,X
ISTJZOL,O,O,O,X,X,O,O
ISTJOLZ,X,O,O,X,X,X,O
ISTJOZL,O,O,O,X,X,O,O
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X
ISTZJLO,O,O,O,X,X,O,X
ISTZJOL,O,O,O,X,X,O,O
ISTZOLJ,O,O,O,X,X,X,X
ISTZOJL,O,O,O,X,X,O,X
ISTOLJZ,X,O,O,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X
ISTOJLZ,X,O,O,X,X,X,O
ISTOJZL,O,O,O,X,X,O,O
ISTOZLJ,O,O,O,X,X,X,X
ISTOZJL,O,O,O,X,X,O,X
ISLTJZO,X,O,O,X,X,X,X
ISLTJOZ,X,O,O,X,X,X,O
ISLTZJO,X,O,O,X,X,X,X
ISLTZOJ,X,O,O,X,X,X,X
ISLTOJZ,X,O,O,X,X,X,X
ISLTOZJ,X,O,O,X,X,X,X
ISLJTZO,X,O,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,O
ISLJZTO,X,O,X,O,X,O,X
ISLJZOT,X,X,X,O,X,O,X
ISLJOTZ,X,X,X,X,X,X,O
ISLJOZT,X,X,X,O,X,O,X
ISLZTJO,X,O,X,O,X,X,X
ISLZTOJ,X,O,X,O,X,X,X
ISLZJTO,X,O,X,O,X,O,X
ISLZJOT,X,X,X,O,X,O,X
ISLZOTJ,X,X,X,O,X,X,X
ISLZOJT,X,X,X,O,X,O,X
ISLOTJZ,X,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,O
ISLOJZT,X,X,X,O,X,O,X
ISLOZTJ,X,X,X,O,X,X,X
ISLOZJT,X,X,X,O,X,O,X
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,X,O,O,X,X,X,O
ISJTZLO,O,O,O,X,X,O,X
ISJTZOL,O,O,O,X,X,O,O
ISJTOLZ,X,O,O,X,X,X,O
ISJTOZL,O,O,O,X,X,O,O
ISJLTZO,X,O,X,X,O,X,X
ISJLTOZ,X,O,X,X,O,X,O
ISJLZTO,X,O,X,O,O,O,X
ISJLZOT,X,X,X,O,O,O,X
ISJLOTZ,X,X,X,X,O,X,O
ISJLOZT,X,X,X,O,O,O,X
ISJZTLO,X,O,X,O,X,O,X
ISJZTOL,X,O,X,O,X,O,O
ISJZLTO,X,O,X,O,O,O,X
ISJZLOT,O,X,X,O,O,O,X
ISJZOTL,X,O,X,O,X,O,O
ISJZOLT,O,X,X,O,O,O,X
ISJOTLZ,X,O,O,X,X,X,O
ISJOTZL,O,O,O,X,X,O,O
ISJOLTZ,X,X,X,X,O,X,O
ISJOLZT,X,X,X,O,O,O,X
ISJOZTL,X,O,X,O,X,O,O
ISJOZLT,O,X,X,O,O,O,X
ISZTLJO,O,O,X,O,X,X,X
ISZTLOJ,O,O,X,O,X,X,X
ISZTJLO,O,O,X,O,X,O,X
ISZTJOL,O,O,X,O,X,O,O
ISZTOLJ,O,O,X,O,X,X,X
ISZTOJL,O,O,X,O,X,O,X
ISZLTJO,O,O,X,O,X,X,X
ISZLTOJ,O,O,X,O,X,X,X
ISZLJTO,X,O,X,O,X,O,X
ISZLJOT,O,X,X,O,X,O,X
ISZLOTJ,O,X,X,O,X,X,X
ISZLOJT,O,X,X,O,X,O,X
ISZJTLO,X,O,X,O,X,O,X
ISZJTOL,X,O,X,O,X,O,O
ISZJLTO,X,O,X,O,O,O,X
ISZJLOT,O,X,X,O,O,O,X
ISZJOTL,X,O,X,O,X,O,O
ISZJOLT,O,X,X,O,O,O,X
ISZOTLJ,O,O,X,O,X,X,X
ISZOTJL,O,O,X,O,X,O,X
ISZOLTJ,O,X,X,O,X,X,X
ISZOLJT,O,X,X,O,X,O,X
ISZOJTL,X,O,X,O,X,O,O
ISZOJLT,O,X,X,O,O,O,X
ISOTLJZ,X,O,O,X,X,X,X
ISOTLZJ,X,O,O,X,X,X,X
ISOTJLZ,X,O,O,X,X,X,O
ISOTJZL,O,O,O,X,X,O,O
ISOTZLJ,O,O,O,X,X,X,X
ISOTZJL,O,O,O,X,X,O,X
ISOLTJZ,X,X,O,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,O
ISOLJZT,X,X,X,O,X,O,X
ISOLZTJ,X,X,X,O,X,X,X
ISOLZJT,X,X,X,O,X,O,X
ISOJTLZ,X,O,O,X,X,X,O
ISOJTZL,O,O,O,X,X,O,O
ISOJLTZ,X,X,X,X,O,X,O
ISOJLZT,X,X,X,O,O,O,X
ISOJZTL,X,O,X,O,X,O,O
ISOJZLT,O,X,X,O,O,O,X
ISOZTLJ,O,O,X,O,X,X,X
ISOZTJL,O,O,X,O,X,O,X
ISOZLTJ,O,X,X,O,X,X,X
ISOZLJT,O,X,X,O,X,O,X
ISOZJTL,X,O,X,O,X,O,O
ISOZJLT,O,X,X,O,O,O,X
IZTLJSO,O,X,O,O,X,X,X
IZTLJOS,O,X,O,O,X,X,X
IZTLSJO,O,X,O,O,X,X,X
IZTLSOJ,O,X,O,O,X,X,X
IZTLOJS,O,X,O,O,X,X,X
IZTLOSJ,O,X,O,O,X,X,X
IZTJLSO,O,X,O,O,O,X,X
IZTJLOS,O,X,O,O,O,X,X
IZTJSLO,O,O,O,O,X,X,X
IZTJSOL,O,O,O,O,X,X,X
