sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
ILTZOSJ,O,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,O,O,X,X,X
ILTOJZS,O,O,X,X,X,O,X,X,X,X
ILTOSJZ,O,X,X,X,O,X,O,X,X,X
ILTOSZJ,O,O,X,X,X,X,O,X,X,X
ILTOZJS,O,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,X,X,X,X
ILJTZSO,O,X,X,X,X,O,X,X,X,X
ILJTZOS,O,X,X,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X
ILJTOZS,O,X,X,X,X,O,X,X,X,X
ILJSTZO,X,X,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,X,X,X
ILJSZTO,X,X,X,X,X,O,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,X
ILJSOTZ,X,X,X,X,X,O,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X,X,X,X
ILJZTSO,O,X,X,X,X,O,X,X,X,X
ILJZTOS,O,X,X,X,X,O,X,X,X,X
ILJZSTO,O,X,X,X,X,O,X,X,X,X
ILJZSOT,O,X,X,X,X,O,X,X,X,X
ILJZOTS,O,X,X,X,X,O,X,X,X,X
ILJZOST,O,X,X,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,O,X,X,X,X
ILJOTZS,O,X,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,X,O,X,X,O,X
ILJOSZT,X,X,X,X,X,O,X,X,O,X
ILJOZTS,O,X,X,X,X,O,X,X,X,X
ILJOZST,O,X,X,X,X,O,X,X,O,X
ILSTJZO,O,X,O,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,X,O,O,X,X,X
ILSTZJO,O,X,O,X,X,X,X,X,X,O
ILSTZOJ,O,X,O,X,X,X,O,X,X,O
ILSTOJZ,O,X,X,X,X,X,O,X,X,X
ILSTOZJ,O,X,O,X,X,X,O,X,X,O
ILSJTZO,O,X,O,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,X,X,O,O,X,X,X
ILSJZTO,O,X,O,X,X,O,X,X,X,O
ILSJZOT,O,X,O,X,X,O,X,X,X,O
ILSJOTZ,O,X,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,X,O,X,X,X,O
ILSZTJO,O,X,O,X,X,X,X,X,X,O
ILSZTOJ,O,X,O,X,X,X,O,X,X,O
ILSZJTO,O,X,O,X,X,X,X,X,X,O
ILSZJOT,O,X,O,X,X,X,X,X,X,O
ILSZOTJ,O,X,X,X,X,X,X,X,X,O
ILSZOJT,O,X,O,X,X,X,X,X,X,O
ILSOTJZ,O,X,X,X,X,X,O,X,X,X
ILSOTZJ,O,X,O,X,X,X,O,X,X,O
ILSOJTZ,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,O
ILSOZTJ,O,X,X,X,X,X,X,X,X,O
ILSOZJT,O,X,O,X,X,X,X,X,X,O
ILZTJSO,O,O,X,X,X,O,X,X,X,X
ILZTJOS,O,O,X,X,X,O,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,O,X,X,X,X
ILZJTOS,O,O,X,X,X,O,X,X,X,X
ILZJSTO,O,X,O,X,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,O,X,X,X,X
ILZJOTS,O,X,X,X,X,O,X,X,X,X
ILZJOST,O,X,X,X,X,O,X,X,X,X
ILZSTJO,O,X,O,X,X,X,X,X,X,O
ILZSTOJ,X,X,X,X,X,X,X,X,X,O
ILZSJTO,O,X,O,X,X,X,X,X,X,O
ILZSJOT,O,X,O,X,X,X,X,X,X,O
ILZSOTJ,X,X,X,X,X,X,X,X,X,O
ILZSOJT,O,X,O,X,X,X,X,X,X,O
ILZOTJS,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,O
ILZOSJT,O,X,X,X,X,X,X,X,X,O
ILOTJSZ,X,X,X,X,O,O,X,X,X,X
ILOTJZS,O,O,X,X,X,O,X,X,X,X
ILOTSJZ,O,X,X,X,O,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X,X,X
ILOJTZS,O,X,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,X,X,X,O,X,X,O,X
ILOJSZT,X,X,X,X,X,O,X,X,O,X
ILOJZTS,O,X,X,X,X,O,X,X,X,X
ILOJZST,O,X,X,X,X,O,X,X,O,X
ILOSTJZ,O,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,O
ILOSZTJ,O,X,X,X,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,X,X,X,X,O
ILOZTJS,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,X,X,X,O
IJTLSZO,X,X,X,X,X,O,X,X,X,X
IJTLSOZ,X,X,X,X,X,O,X,X,X,X
IJTLZSO,O,O,X,X,X,O,X,X,X,X
IJTLZOS,O,O,X,X,X,O,X,X,X,X
IJTLOSZ,X,X,X,O,X,O,X,X,X,X
IJTLOZS,O,O,X,X,X,O,X,X,X,X
IJTSLZO,X,X,X,X,X,O,X,X,X,X
IJTSLOZ,X,X,X,O,X,O,O,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,O,X,X,X
IJTSOLZ,X,X,X,O,X,X,O,X,X,X
IJTSOZL,X,X,X,O,X,X,O,X,X,X
IJTZLSO,O,O,X,X,X,O,X,X,X,X
IJTZLOS,O,O,X,X,X,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X,X,X,X
IJTZOSL,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,O,O,X,X,X
IJTOLZS,O,O,X,X,X,O,X,X,X,X
IJTOSLZ,X,X,X,O,X,X,O,X,O,X
IJTOSZL,X,X,X,O,X,X,O,X,O,X
IJTOZLS,O,O,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,O,X,X,X,X,O,X
IJLTSZO,X,X,X,X,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,X,X
IJLTZSO,O,X,X,X,X,O,X,X,X,X
IJLTZOS,O,X,X,X,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,O,X,X,X,X
IJLTOZS,O,X,X,X,X,O,X,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,X
IJLSZTO,X,X,X,X,X,O,X,X,X,X
IJLSZOT,X,X,X,X,X,O,X,X,X,X
IJLSOTZ,X,X,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,X,X,O,X,X,X,X
IJLZTSO,O,X,X,X,X,O,X,X,X,X
IJLZTOS,O,X,X,X,X,O,X,X,X,X
IJLZSTO,O,X,X,X,X,O,X,X,X,X
IJLZSOT,O,X,X,X,X,O,X,X,X,X
IJLZOTS,O,X,X,X,X,O,X,X,X,X
IJLZOST,O,X,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,O,X,O,X,X,X,X
IJLOTZS,O,X,X,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,O,X,X,O,X
IJLOSZT,X,X,X,O,X,O,X,X,O,X
IJLOZTS,O,X,X,X,X,O,X,X,X,X
IJLOZST,O,X,X,X,X,O,X,X,O,X
IJSTLZO,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,O,X,X,X
IJSTZLO,X,X,X,X,X,X,X,O,X,X
IJSTZOL,X,X,X,X,X,X,O,O,X,X
IJSTOLZ,X,X,X,O,X,X,O,X,O,X
IJSTOZL,X,X,X,O,X,X,O,X,O,X
IJSLTZO,X,X,X,X,X,O,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,O,X,X,X
IJSLZTO,X,X,X,X,X,O,X,O,X,X
IJSLZOT,X,X,X,X,X,O,X,O,X,X
IJSLOTZ,X,X,X,O,X,O,X,X,O,X
IJSLOZT,X,X,X,O,X,O,X,X,O,X
IJSZTLO,X,X,X,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,X,X,O,O,X,X
IJSZLTO,X,X,X,X,X,X,X,O,X,X
IJSZLOT,X,X,X,X,X,X,X,O,X,X
IJSZOTL,X,X,X,X,X,X,X,O,O,X
IJSZOLT,X,X,X,X,X,X,X,O,O,X
IJSOTLZ,X,X,X,O,X,X,O,X,O,X
IJSOTZL,X,X,X,O,X,X,O,X,O,X
IJSOLTZ,X,X,X,O,X,X,X,X,O,X
IJSOLZT,X,X,X,O,X,X,X,X,O,X
IJSOZTL,X,X,X,X,X,X,X,O,O,X
IJSOZLT,X,X,X,O,X,X,X,O,O,X
IJZTLSO,O,O,X,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,O,X,X,X,X
IJZLTOS,O,O,X,X,X,O,X,X,X,X
IJZLSTO,O,X,X,X,X,O,X,O,X,X
IJZLSOT,O,X,X,X,X,O,X,O,X,X
IJZLOTS,O,X,X,X,X,O,X,X,X,X
IJZLOST,O,X,X,X,X,O,X,O,X,X
IJZSTLO,X,O,X,X,X,X,X,O,X,X
IJZSTOL,X,X,X,X,X,X,X,O,X,X
IJZSLTO,O,X,X,X,X,X,X,O,X,X
IJZSLOT,O,X,X,X,X,X,X,O,X,X
IJZSOTL,X,X,X,X,X,X,X,O,X,X
IJZSOLT,O,X,X,X,X,X,X,O,X,X
IJZOTLS,O,O,X,X,X,X,X,X,X,X
IJZOTSL,X,X,X,O,X,X,X,X,O,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,O,O,X
IJZOSTL,X,X,X,X,X,X,X,O,O,X
IJZOSLT,O,X,X,O,X,X,X,O,O,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,O,X
IJOTSZL,X,X,X,O,X,X,X,X,O,X
IJOTZLS,O,O,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,O,X,X,X,X,O,X
IJOLTSZ,X,X,X,O,X,O,X,X,X,X
IJOLTZS,O,X,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,O,X,X,O,X
IJOLSZT,X,X,X,O,X,O,X,X,O,X
IJOLZTS,O,X,X,X,X,O,X,X,X,X
IJOLZST,O,X,X,X,X,O,X,X,O,X
IJOSTLZ,X,X,X,O,X,X,X,X,O,X
IJOSTZL,X,X,X,O,X,X,X,X,O,X
IJOSLTZ,X,X,X,O,X,X,X,X,O,X
IJOSLZT,X,X,X,O,X,X,X,X,O,X
IJOSZTL,X,X,X,X,X,X,X,X,O,X
IJOSZLT,X,X,X,O,X,X,X,X,O,X
IJOZTLS,O,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,O,X,X,X,X,O,X
IJOZLTS,O,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,O,X
IJOZSTL,X,X,X,X,X,X,X,X,O,X
IJOZSLT,O,X,X,O,X,X,X,X,O,X
ISTLJZO,O,O,O,X,O,O,X,X,X,X
ISTLJOZ,O,O,X,X,O,O,O,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X,X,O
ISTLZOJ,O,O,O,X,X,X,O,X,X,O
ISTLOJZ,O,O,X,X,O,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,X,O,X,X,O
ISTJLZO,O,O,O,X,O,O,X,X,X,X
ISTJLOZ,O,O,X,X,O,O,O,X,X,X
ISTJZLO,O,O,O,X,O,X,X,O,X,X
ISTJZOL,O,O,O,X,O,X,O,O,X,X
ISTJOLZ,O,O,X,X,O,X,O,X,O,X
ISTJOZL,O,O,X,X,O,X,O,X,O,X
ISTZLJO,O,O,O,X,X,X,X,O,X,O
ISTZLOJ,O,O,O,X,X,X,O,O,X,O
ISTZJLO,O,O,O,X,X,X,X,O,X,X
ISTZJOL,O,O,O,X,X,X,O,O,X,X
ISTZOLJ,O,O,O,X,X,X,O,O,X,O
ISTZOJL,O,O,O,X,X,X,O,O,X,X
ISTOLJZ,O,O,X,X,O,X,O,X,X,X
ISTOLZJ,O,O,O,X,X,X,O,X,X,O
ISTOJLZ,O,O,X,X,O,X,O,X,O,X
ISTOJZL,O,O,X,X,O,X,O,X,O,X
ISTOZLJ,O,O,O,X,X,X,O,O,X,O
ISTOZJL,O,O,O,X,X,X,O,O,X,X
ISLTJZO,O,O,O,X,X,O,X,X,X,X
ISLTJOZ,O,O,X,X,X,O,O,X,X,X
ISLTZJO,O,O,O,X,X,X,X,X,X,O
ISLTZOJ,O,O,O,X,X,X,O,X,X,O
ISLTOJZ,O,O,X,X,X,X,O,X,X,X
ISLTOZJ,O,O,O,X,X,X,O,X,X,O
ISLJTZO,O,X,O,X,X,O,X,X,X,X
ISLJTOZ,O,X,X,X,X,O,O,X,X,X
ISLJZTO,O,X,O,X,X,O,X,O,X,O
ISLJZOT,O,X,O,X,X,O,X,O,X,O
ISLJOTZ,O,X,X,O,X,O,X,X,O,X
ISLJOZT,O,X,X,O,X,O,X,X,O,O
ISLZTJO,O,O,O,X,X,X,X,O,X,O
ISLZTOJ,O,O,O,X,X,X,O,O,X,O
ISLZJTO,O,O,O,X,X,X,X,O,X,O
ISLZJOT,O,X,O,X,X,X,X,O,X,O
ISLZOTJ,O,X,X,X,X,X,X,O,X,O
ISLZOJT,O,X,O,X,X,X,X,O,X,O
ISLOTJZ,O,O,X,O,X,X,O,X,X,X
ISLOTZJ,O,O,O,X,X,X,O,X,X,O
ISLOJTZ,O,X,X,O,X,X,X,X,O,X
ISLOJZT,O,X,X,O,X,X,X,X,O,O
ISLOZTJ,O,X,X,X,X,X,X,O,X,O
ISLOZJT,O,X,O,O,X,X,X,O,X,O
ISJTLZO,O,O,O,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,O,X,X,X
ISJTZLO,O,O,O,X,X,X,X,O,X,X
ISJTZOL,O,O,O,X,X,X,O,O,X,X
ISJTOLZ,O,O,X,X,X,X,O,X,O,X
ISJTOZL,O,O,X,X,X,X,O,X,O,X
ISJLTZO,O,X,O,X,X,O,X,X,X,X
ISJLTOZ,O,X,X,X,X,O,O,X,X,X
ISJLZTO,O,X,O,X,X,O,X,O,X,O
ISJLZOT,O,X,O,X,X,O,X,O,X,O
ISJLOTZ,O,X,X,O,X,O,X,X,O,X
ISJLOZT,O,X,X,O,X,O,X,X,O,O
ISJZTLO,O,O,O,X,X,X,X,O,X,X
ISJZTOL,O,O,O,X,X,X,O,O,X,X
ISJZLTO,O,O,O,X,X,X,X,O,X,O
ISJZLOT,O,X,O,X,X,X,X,O,X,O
ISJZOTL,O,O,O,X,X,X,X,O,O,X
ISJZOLT,O,X,O,X,X,X,X,O,O,O
ISJOTLZ,O,O,X,O,X,X,O,X,O,X
ISJOTZL,O,O,X,X,X,X,O,X,O,X
ISJOLTZ,O,X,X,O,X,X,X,X,O,X
ISJOLZT,O,X,X,O,X,X,X,X,O,O
ISJOZTL,O,X,X,X,X,X,X,O,O,X
ISJOZLT,O,X,X,O,X,X,X,O,O,O
ISZTLJO,O,O,O,X,X,X,X,O,X,O
ISZTLOJ,O,O,O,X,X,X,O,O,X,O
ISZTJLO,O,O,O,X,X,X,X,O,X,X
ISZTJOL,O,O,O,X,X,X,O,O,X,X
ISZTOLJ,O,O,O,X,X,X,O,O,X,O
ISZTOJL,O,O,O,X,X,X,O,O,X,X
ISZLTJO,O,O,O,X,X,X,X,O,X,O
ISZLTOJ,O,O,O,X,X,X,O,O,X,O
ISZLJTO,O,O,O,X,X,X,X,O,X,O
ISZLJOT,O,X,O,X,X,X,X,O,X,O
ISZLOTJ,O,X,X,X,X,X,X,O,X,O
ISZLOJT,O,X,O,X,X,X,X,O,X,O
ISZJTLO,O,O,O,X,X,X,X,O,X,X
ISZJTOL,O,O,O,X,X,X,O,O,X,X
ISZJLTO,O,O,O,X,X,X,X,O,X,O
ISZJLOT,O,X,O,X,X,X,X,O,X,O
ISZJOTL,O,O,O,X,X,X,X,O,O,X
ISZJOLT,O,X,O,X,X,X,X,O,O,O
ISZOTLJ,O,O,O,X,X,X,X,O,X,O
ISZOTJL,O,O,O,X,X,X,X,O,X,X
ISZOLTJ,O,X,X,X,X,X,X,O,X,O
ISZOLJT,O,X,O,X,X,X,X,O,X,O
ISZOJTL,O,O,O,X,X,X,X,O,O,X
ISZOJLT,O,X,O,X,X,X,X,O,O,O
ISOTLJZ,O,O,X,O,O,X,O,X,X,X
ISOTLZJ,O,O,O,X,X,X,O,X,X,O
ISOTJLZ,O,O,X,O,O,X,O,X,O,X
ISOTJZL,O,O,X,X,O,X,O,X,O,X
ISOTZLJ,O,O,O,X,X,X,O,O,X,O
ISOTZJL,O,O,O,X,X,X,O,O,X,X
ISOLTJZ,O,O,X,O,X,X,O,X,X,X
ISOLTZJ,O,O,O,X,X,X,O,X,X,O
ISOLJTZ,O,X,X,O,X,X,X,X,O,X
ISOLJZT,O,X,X,O,X,X,X,X,O,O
ISOLZTJ,O,X,X,X,X,X,X,O,X,O
ISOLZJT,O,X,O,O,X,X,X,O,X,O
ISOJTLZ,O,O,X,O,X,X,O,X,O,X
ISOJTZL,O,O,X,X,X,X,O,X,O,X
ISOJLTZ,O,X,X,O,X,X,X,X,O,X
ISOJLZT,O,X,X,O,X,X,X,X,O,O
ISOJZTL,O,X,X,X,X,X,X,O,O,X
ISOJZLT,O,X,X,O,X,X,X,O,O,O
ISOZTLJ,O,O,O,X,X,X,X,O,X,O
ISOZTJL,O,O,O,X,X,X,X,O,X,X
ISOZLTJ,O,X,X,X,X,X,X,O,X,O
ISOZLJT,O,X,O,O,X,X,X,O,X,O
ISOZJTL,O,O,O,X,X,X,X,O,O,X
ISOZJLT,O,X,O,O,X,X,X,O,O,O
IZTLJSO,O,O,O,X,X,O,X,X,X,X
IZTLJOS,O,O,X,X,X,O,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,X
IZTJLSO,O,O,O,X,X,O,X,X,X,X
IZTJLOS,O,O,X,X,X,O,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,X,X,O,X,X,X,X
IZLTJOS,O,O,X,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,O,X,X,X,X
IZLJTOS,O,O,X,X,X,O,X,X,X,X
IZLJSTO,O,X,O,X,X,O,X,O,X,X
IZLJSOT,O,X,O,X,X,O,X,O,X,X
IZLJOTS,O,X,X,X,X,O,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,O,X,X
IZLSTJO,O,X,O,X,X,X,X,O,X,O
IZLSTOJ,X,X,X,X,X,X,X,O,X,O
IZLSJTO,O,X,O,X,X,X,X,O,X,O
IZLSJOT,O,X,O,X,X,X,X,O,X,O
IZLSOTJ,X,X,X,X,X,X,X,O,X,O
IZLSOJT,O,X,O,X,X,X,X,O,X,O
IZLOTJS,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,O,X,X
IZLOSTJ,X,X,X,X,X,X,X,O,X,O
IZLOSJT,O,X,X,X,X,X,X,O,X,O
IZJTLSO,O,O,O,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,O,X,X,X,X
IZJLTOS,O,O,X,X,X,O,X,X,X,X
IZJLSTO,O,X,O,X,X,O,X,O,X,X
IZJLSOT,O,X,O,X,X,O,X,O,X,X
IZJLOTS,O,X,X,X,X,O,X,X,X,X
IZJLOST,O,X,X,X,X,O,X,O,X,X
IZJSTLO,O,O,O,X,X,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,X,O,X,X
IZJSLTO,O,O,O,X,X,X,X,O,X,X
IZJSLOT,O,X,O,X,X,X,X,O,X,X
IZJSOTL,O,O,O,X,X,X,X,O,X,X
IZJSOLT,O,X,O,X,X,X,X,O,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,O,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,O,O,X
IZJOSTL,O,X,X,X,X,X,X,O,O,X
IZJOSLT,O,X,X,X,X,X,X,O,O,X
IZSTLJO,O,O,O,X,X,X,X,O,X,O
IZSTLOJ,O,O,O,X,X,X,X,O,X,O
IZSTJLO,O,O,O,X,X,X,X,O,X,X
IZSTJOL,O,O,O,X,X,X,X,O,X,X
IZSTOLJ,O,O,O,X,X,X,X,O,X,O
IZSTOJL,O,O,O,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,X,X,X,O,X,O
IZSLTOJ,O,O,O,X,X,X,X,O,X,O
IZSLJTO,O,O,O,X,X,X,X,O,X,O
IZSLJOT,O,X,O,X,X,X,X,O,X,O
IZSLOTJ,O,X,X,X,X,X,X,O,X,O
IZSLOJT,O,X,O,X,X,X,X,O,X,O
IZSJTLO,O,O,O,X,X,X,X,O,X,X
IZSJTOL,O,O,O,X,X,X,X,O,X,X
IZSJLTO,O,O,O,X,X,X,X,O,X,O
IZSJLOT,O,X,O,X,X,X,X,O,X,O
IZSJOTL,O,O,O,X,X,X,X,O,X,X
IZSJOLT,O,X,O,X,X,X,X,O,X,O
IZSOTLJ,O,O,O,X,X,X,X,O,X,O
IZSOTJL,O,O,O,X,X,X,X,O,X,X
IZSOLTJ,O,X,X,X,X,X,X,O,X,O
IZSOLJT,O,X,O,X,X,X,X,O,X,O
IZSOJTL,O,O,O,X,X,X,X,O,X,X
IZSOJLT,O,X,O,X,X,X,X,O,X,O
IZOTLJS,O,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,O,X,X
IZOLSTJ,O,X,X,X,X,X,X,O,X,O
IZOLSJT,O,X,X,X,X,X,X,O,X,O
IZOJTLS,O,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,O,X
IZOJLTS,O,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,O,O,X
IZOJSTL,O,X,X,X,X,X,X,O,O,X
IZOJSLT,O,X,X,X,X,X,X,O,O,X
IZOSTLJ,O,X,X,X,X,X,X,O,X,O
IZOSTJL,O,X,X,X,X,X,X,O,X,X
IZOSLTJ,O,X,X,X,X,X,X,O,X,O
IZOSLJT,O,X,X,X,X,X,X,O,X,O
IZOSJTL,O,X,X,X,X,X,X,O,X,X
IZOSJLT,O,X,X,X,X,X,X,O,X,O
IOTLJSZ,X,X,X,O,O,O,X,X,X,X
IOTLJZS,O,O,X,X,X,O,X,X,X,X
IOTLSJZ,O,O,X,O,O,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,O,O,X,X,X,X
IOTJLZS,O,O,X,X,X,O,X,X,X,X
IOTJSLZ,X,X,X,O,O,X,X,X,O,X
IOTJSZL,X,X,X,O,O,X,X,X,O,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,O,X,X,X,X,O,X
