sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TLSJIOZ,O,O,X,O,O,X,O,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X
TLSJOIZ,O,O,X,O,O,X,O,X,X,X
TLSJOZI,O,O,X,O,O,X,O,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,O
TLSZIOJ,O,O,O,X,X,X,O,X,X,O
TLSZJIO,O,O,O,X,O,X,X,X,X,O
TLSZJOI,O,O,O,O,O,X,X,X,X,O
TLSZOIJ,O,O,O,O,X,X,O,X,X,O
TLSZOJI,O,O,O,O,O,X,O,X,X,O
TLSOIJZ,O,O,X,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,O,X,X,O,X,X,O
TLSOJIZ,O,O,X,O,O,X,O,X,X,X
TLSOJZI,O,O,X,O,O,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,O,X,X,O
TLSOZJI,O,O,O,O,O,X,O,X,X,O
TLZIJSO,O,O,O,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,O,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,X,O,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,O
TLZSIOJ,O,O,O,X,X,X,O,X,X,O
TLZSJIO,O,O,O,X,O,X,X,X,X,O
TLZSJOI,O,O,O,X,O,X,X,X,X,O
TLZSOIJ,O,O,O,X,X,X,O,X,X,O
TLZSOJI,O,O,O,X,O,X,O,X,X,O
TLZOIJS,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,X,O,X,O,X,X,X
TLZOSIJ,O,O,O,X,X,X,O,X,X,O
TLZOSJI,O,O,O,X,O,X,O,X,X,O
