sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
TIZJOLS,O,X,O,X,X,O,X
TIZJOSL,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,X,X
TIZSLOJ,X,X,X,O,O,X,X
TIZSJLO,X,X,X,X,O,X,X
TIZSJOL,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,X,X
TIZSOJL,X,X,X,O,X,X,X
TIZOLJS,X,X,O,O,X,O,X
TIZOLSJ,X,X,X,O,O,X,X
TIZOJLS,X,X,O,O,X,X,X
TIZOJSL,X,X,O,O,X,X,X
TIZOSLJ,X,X,X,O,O,X,X
TIZOSJL,X,X,X,O,X,X,X
TIOLJSZ,X,X,O,X,X,O,X
TIOLJZS,X,X,O,X,X,O,X
TIOLSJZ,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,O,X,X
TIOLZJS,X,X,O,X,X,O,X
TIOLZSJ,X,X,X,X,O,X,X
TIOJLSZ,X,X,O,X,X,O,X
TIOJLZS,X,X,O,X,X,O,X
TIOJSLZ,X,X,O,X,X,O,X
TIOJSZL,X,X,O,X,X,X,X
TIOJZLS,X,X,O,X,X,O,X
TIOJZSL,X,X,O,X,X,X,X
TIOSLJZ,X,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,O,X
TIOZLSJ,X,X,X,X,O,X,X
TIOZJLS,X,X,O,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X
TIOZSLJ,X,X,X,X,O,X,X
TIOZSJL,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,O,X,O
TLIJSOZ,X,X,X,X,X,X,O
TLIJZSO,X,X,O,X,O,X,O
TLIJZOS,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,O
TLIJOZS,X,X,O,X,X,O,X
TLISJZO,X,X,X,X,O,X,O
TLISJOZ,X,X,X,X,X,X,O
TLISZJO,X,X,X,X,O,X,O
TLISZOJ,X,X,X,X,O,X,X
TLISOJZ,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,O,X,X
TLIZJSO,X,X,O,X,O,X,X
TLIZJOS,X,X,O,X,X,X,X
TLIZSJO,X,X,X,X,O,X,X
TLIZSOJ,X,X,X,X,O,X,X
TLIZOJS,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X
TLIOJSZ,X,X,O,X,X,O,X
TLIOJZS,X,X,O,X,X,O,X
TLIOSJZ,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,O,X,X
TLIOZJS,X,X,O,X,X,O,X
TLIOZSJ,X,X,X,X,O,X,X
TLJISZO,O,X,O,X,X,X,O
TLJISOZ,X,X,X,X,X,X,O
TLJIZSO,O,X,O,X,X,X,O
TLJIZOS,O,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,O
TLJIOZS,X,X,O,X,X,O,X
TLJSIZO,O,X,O,X,X,X,O
TLJSIOZ,X,X,X,X,X,X,O
TLJSZIO,O,X,O,X,X,X,O
TLJSZOI,O,X,X,X,X,X,X
TLJSOIZ,X,O,X,X,X,X,O
TLJSOZI,X,O,X,X,X,X,X
TLJZISO,O,X,O,X,X,X,O
TLJZIOS,O,X,O,X,X,X,X
TLJZSIO,O,X,O,X,X,X,O
TLJZSOI,O,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X
TLJOISZ,X,O,O,X,X,O,O
TLJOIZS,X,O,O,X,X,O,X
TLJOSIZ,X,O,O,X,X,O,O
TLJOSZI,X,O,O,X,X,X,X
TLJOZIS,X,O,O,X,X,O,X
TLJOZSI,X,O,O,X,X,X,X
TLSIJZO,X,X,X,X,O,X,O
TLSIJOZ,X,X,X,X,X,X,O
TLSIZJO,X,X,X,X,O,X,O
TLSIZOJ,X,X,X,X,O,X,X
TLSIOJZ,X,O,X,X,X,X,O
TLSIOZJ,X,O,X,X,O,X,X
TLSJIZO,X,X,O,X,X,X,O
TLSJIOZ,X,X,X,X,X,X,O
TLSJZIO,O,X,O,X,X,X,O
TLSJZOI,O,X,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,O
TLSJOZI,X,O,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,O
TLSZIOJ,X,X,X,O,X,X,X
TLSZJIO,O,X,O,X,X,X,O
TLSZJOI,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,O,X,X,X
TLSZOJI,X,O,O,X,X,X,X
TLSOIJZ,X,O,X,X,O,O,O
TLSOIZJ,X,O,X,X,O,X,X
TLSOJIZ,X,O,O,X,X,O,O
TLSOJZI,X,O,O,X,X,X,X
TLSOZIJ,X,O,X,O,X,X,X
TLSOZJI,X,O,O,X,X,X,X
TLZIJSO,O,X,O,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X
TLZISJO,X,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X
TLZIOJS,X,X,O,O,X,X,X
TLZIOSJ,X,X,X,O,X,X,X
TLZJISO,O,X,O,X,X,X,O
TLZJIOS,O,X,O,X,X,X,X
TLZJSIO,O,X,O,X,X,X,O
TLZJSOI,O,X,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X
TLZJOSI,O,X,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O
TLZSIOJ,X,X,X,O,X,X,X
TLZSJIO,O,X,O,X,X,X,O
TLZSJOI,O,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X
TLZSOJI,X,X,O,X,X,X,X
TLZOIJS,X,X,O,O,X,O,X
TLZOISJ,X,X,X,O,X,X,X
TLZOJIS,O,X,O,X,X,O,X
TLZOJSI,O,X,O,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X
TLZOSJI,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,O,X
TLOIJZS,X,O,O,X,O,O,X
TLOISJZ,X,O,X,X,O,O,X
TLOISZJ,X,O,X,X,O,X,X
TLOIZJS,X,X,O,X,O,O,X
TLOIZSJ,X,O,X,X,O,X,X
TLOJISZ,X,O,O,X,X,O,O
TLOJIZS,X,O,O,X,X,O,X
TLOJSIZ,X,O,O,X,X,O,O
TLOJSZI,X,O,O,X,X,X,X
TLOJZIS,X,O,O,X,X,O,X
TLOJZSI,X,O,O,X,X,X,X
TLOSIJZ,X,O,X,X,O,O,O
TLOSIZJ,X,O,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,O,O
TLOSJZI,X,O,O,X,X,X,X
TLOSZIJ,X,O,X,O,X,X,X
TLOSZJI,X,O,O,X,X,X,X
TLOZIJS,X,X,O,O,X,O,X
TLOZISJ,X,O,X,O,X,X,X
TLOZJIS,X,O,O,X,X,O,X
TLOZJSI,X,O,O,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X
TLOZSJI,X,O,O,X,X,X,X
TJILSZO,O,X,O,X,X,X,O
TJILSOZ,X,X,X,X,X,X,O
TJILZSO,O,X,O,X,X,X,O
TJILZOS,O,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,O,O
TJILOZS,X,X,O,X,X,O,X
TJISLZO,O,X,O,X,X,X,O
TJISLOZ,X,X,X,X,X,X,O
TJISZLO,O,X,O,X,X,X,O
TJISZOL,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,O,O
TJISOZL,O,X,X,X,X,X,X
TJIZLSO,O,X,O,X,X,X,O
TJIZLOS,O,X,O,X,X,X,X
TJIZSLO,O,X,O,X,X,X,O
TJIZSOL,O,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,O,X
TJIZOSL,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,O
TJIOLZS,X,X,O,X,X,O,X
TJIOSLZ,X,X,X,X,X,O,O
TJIOSZL,O,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,O,X
TJIOZSL,O,X,X,X,X,X,X
TJLISZO,O,X,O,X,X,X,O
TJLISOZ,X,X,X,X,X,X,O
TJLIZSO,O,X,O,X,X,X,O
TJLIZOS,O,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,O,O
TJLIOZS,X,X,O,X,X,O,X
TJLSIZO,O,X,O,X,X,X,O
TJLSIOZ,X,X,X,X,X,X,O
TJLSZIO,O,X,O,X,X,X,O
TJLSZOI,O,X,X,X,X,X,X
TJLSOIZ,X,O,X,X,X,X,O
TJLSOZI,X,O,X,X,X,X,X
TJLZISO,O,X,O,X,X,X,O
TJLZIOS,O,X,O,X,X,X,X
TJLZSIO,O,X,O,X,X,X,O
TJLZSOI,O,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X
TJLOISZ,X,O,O,X,X,O,O
TJLOIZS,X,O,O,X,X,O,X
TJLOSIZ,X,O,O,X,X,O,O
TJLOSZI,X,O,O,X,X,X,X
TJLOZIS,X,O,O,X,X,O,X
TJLOZSI,X,O,O,X,X,X,X
TJSILZO,O,X,O,X,X,X,O
TJSILOZ,X,X,X,X,X,X,O
TJSIZLO,O,X,O,X,X,X,O
TJSIZOL,O,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,O,O
TJSIOZL,O,X,X,X,X,X,X
TJSLIZO,O,X,O,X,X,X,O
TJSLIOZ,X,X,X,X,X,X,O
TJSLZIO,O,X,O,X,X,X,O
TJSLZOI,O,X,X,X,X,X,X
TJSLOIZ,X,O,X,X,X,X,O
TJSLOZI,X,O,X,X,X,X,X
TJSZILO,O,X,O,X,X,X,O
TJSZIOL,O,X,X,X,X,X,X
TJSZLIO,O,X,O,X,X,X,O
TJSZLOI,O,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X
TJSOILZ,X,O,X,X,X,O,O
TJSOIZL,O,O,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,O,O
TJSOLZI,X,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X
TJZILSO,O,X,O,X,X,X,O
TJZILOS,O,X,O,X,X,X,X
TJZISLO,O,X,O,X,X,X,O
TJZISOL,O,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X
TJZIOSL,O,X,X,X,X,X,X
TJZLISO,O,X,O,X,X,X,O
TJZLIOS,O,X,O,X,X,X,X
TJZLSIO,O,X,O,X,X,X,O
TJZLSOI,O,X,X,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X
TJZSILO,O,X,O,X,X,X,O
TJZSIOL,O,X,X,X,X,X,X
TJZSLIO,O,X,O,X,X,X,O
TJZSLOI,O,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,O,X
TJZOISL,O,X,O,X,X,X,X
TJZOLIS,O,X,O,X,X,O,X
TJZOLSI,O,X,O,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X
TJOILSZ,X,O,O,X,X,O,O
TJOILZS,X,O,O,X,X,O,X
TJOISLZ,X,O,O,X,X,O,O
TJOISZL,O,O,O,X,X,X,X
TJOIZLS,O,O,O,X,X,O,X
TJOIZSL,O,O,O,X,X,X,X
TJOLISZ,X,O,O,X,X,O,O
TJOLIZS,X,O,O,X,X,O,X
TJOLSIZ,X,O,O,X,X,O,O
TJOLSZI,X,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,O,X
TJOLZSI,X,O,O,X,X,X,X
TJOSILZ,X,O,O,X,X,O,O
TJOSIZL,O,O,O,X,X,X,X
TJOSLIZ,X,O,O,X,X,O,O
TJOSLZI,X,O,O,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X
TJOZILS,O,O,O,X,X,O,X
TJOZISL,O,O,O,X,X,X,X
TJOZLIS,O,O,O,X,X,O,X
TJOZLSI,O,O,O,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X
TSILJZO,X,X,X,X,O,X,O
TSILJOZ,X,X,X,X,X,X,O
TSILZJO,X,X,X,X,O,X,O
TSILZOJ,X,X,X,X,O,X,X
TSILOJZ,X,O,X,X,X,X,O
TSILOZJ,X,O,X,X,O,X,X
TSIJLZO,O,X,X,X,O,X,O
TSIJLOZ,X,X,X,X,X,X,O
TSIJZLO,O,X,X,O,O,X,O
TSIJZOL,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,O,O
TSIJOZL,O,X,X,X,X,X,X
TSIZLJO,O,X,X,X,O,X,O
TSIZLOJ,X,X,X,O,O,X,X
TSIZJLO,X,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X,X
TSIZOLJ,X,X,X,O,O,X,X
TSIZOJL,X,X,X,O,X,X,X
TSIOLJZ,X,O,X,X,X,O,O
TSIOLZJ,X,O,X,X,O,X,X
TSIOJLZ,X,O,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X
TSIOZLJ,X,O,X,X,O,X,X
TSIOZJL,X,X,X,X,X,X,X
TSLIJZO,X,X,X,X,O,X,O
TSLIJOZ,X,X,X,X,X,X,O
TSLIZJO,X,X,X,X,O,X,O
TSLIZOJ,X,X,X,X,O,X,X
TSLIOJZ,X,O,X,X,X,X,O
TSLIOZJ,X,O,X,X,O,X,X
TSLJIZO,X,X,O,X,X,X,O
TSLJIOZ,X,X,X,X,X,X,O
TSLJZIO,O,X,O,X,X,X,O
TSLJZOI,O,X,X,X,X,X,X
TSLJOIZ,X,O,X,X,X,X,O
TSLJOZI,X,O,X,X,X,X,X
TSLZIJO,O,X,X,X,X,X,O
TSLZIOJ,X,X,X,O,X,X,X
TSLZJIO,O,X,O,X,X,X,O
TSLZJOI,O,X,X,X,X,X,X
TSLZOIJ,X,O,X,O,X,X,X
TSLZOJI,X,O,O,X,X,X,X
TSLOIJZ,X,O,X,X,O,O,O
TSLOIZJ,X,O,X,X,O,X,X
TSLOJIZ,X,O,O,X,X,O,O
TSLOJZI,X,O,O,X,X,X,X
TSLOZIJ,X,O,X,O,X,X,X
TSLOZJI,X,O,O,X,X,X,X
TSJILZO,O,X,O,X,X,X,O
TSJILOZ,X,X,X,X,X,X,O
TSJIZLO,O,X,O,X,X,X,O
TSJIZOL,O,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,O,O
TSJIOZL,O,X,X,X,X,X,X
TSJLIZO,O,X,O,X,X,X,O
TSJLIOZ,X,X,X,X,X,X,O
TSJLZIO,O,X,O,X,X,X,O
TSJLZOI,O,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,X,O
TSJLOZI,X,O,X,X,X,X,X
TSJZILO,O,X,O,X,X,X,O
TSJZIOL,O,X,X,X,X,X,X
TSJZLIO,O,X,O,X,X,X,O
TSJZLOI,O,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X
TSJOILZ,X,O,X,X,X,O,O
TSJOIZL,O,O,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,O,O
TSJOLZI,X,O,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X
TSZILJO,O,X,X,X,X,X,O
TSZILOJ,X,X,X,O,X,X,X
TSZIJLO,X,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,O,X,X,X
TSZIOJL,X,X,X,O,X,X,X
TSZLIJO,O,X,X,X,X,X,O
TSZLIOJ,X,X,X,O,X,X,X
TSZLJIO,O,X,O,X,X,X,O
TSZLJOI,O,X,X,X,X,X,X
TSZLOIJ,X,O,X,O,X,X,X
TSZLOJI,X,O,O,X,X,X,X
TSZJILO,O,X,O,X,X,X,O
TSZJIOL,O,X,X,X,X,X,X
TSZJLIO,O,X,O,X,X,X,O
TSZJLOI,O,X,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X
TSZOILJ,X,O,X,O,X,X,X
TSZOIJL,X,X,X,O,X,X,X
TSZOLIJ,X,O,X,O,X,X,X
TSZOLJI,X,O,O,X,X,X,X
TSZOJIL,X,O,O,X,X,X,X
TSZOJLI,X,O,O,X,X,X,X
TSOILJZ,X,O,X,X,O,O,O
TSOILZJ,X,O,X,X,O,X,X
TSOIJLZ,X,O,X,X,O,X,X
TSOIJZL,X,O,X,O,O,X,X
TSOIZLJ,X,O,X,O,O,X,X
TSOIZJL,X,X,X,O,O,X,X
TSOLIJZ,X,O,X,X,O,O,O
TSOLIZJ,X,O,X,X,O,X,X
TSOLJIZ,X,O,O,X,X,O,O
TSOLJZI,X,O,O,X,X,X,X
TSOLZIJ,X,O,X,O,X,X,X
TSOLZJI,X,O,O,X,X,X,X
TSOJILZ,X,O,O,X,X,O,O
TSOJIZL,X,O,O,X,X,X,X
TSOJLIZ,X,O,O,X,X,O,O
TSOJLZI,X,O,O,X,X,X,X
TSOJZIL,X,O,O,X,X,X,X
TSOJZLI,X,O,O,X,X,X,X
TSOZILJ,X,O,X,O,X,X,X
TSOZIJL,X,X,X,O,X,X,X
TSOZLIJ,X,O,X,O,X,X,X
TSOZLJI,X,O,O,X,X,X,X
TSOZJIL,X,O,O,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X
TZILJSO,O,X,O,X,X,X,X
TZILJOS,O,X,O,X,X,X,X
TZILSJO,X,X,X,X,X,X,X
TZILSOJ,X,X,X,O,X,X,X
TZILOJS,X,X,O,O,X,X,X
TZILOSJ,X,X,X,O,X,X,X
TZIJLSO,O,X,O,X,X,X,X
TZIJLOS,O,X,O,X,X,X,X
TZIJSLO,O,X,O,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X
TZIJOLS,O,X,O,X,X,O,X
TZIJOSL,O,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X
TZISLOJ,X,X,X,O,X,X,X
TZISJLO,X,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X,X
TZISOLJ,X,X,X,O,X,X,X
TZISOJL,X,X,X,O,X,X,X
TZIOLJS,X,X,O,O,X,O,X
TZIOLSJ,X,X,X,O,X,X,X
TZIOJLS,X,X,O,O,X,X,X
TZIOJSL,X,X,O,O,X,X,X
TZIOSLJ,X,X,X,O,X,X,X
TZIOSJL,X,X,X,O,X,X,X
TZLIJSO,O,X,O,X,X,X,X
TZLIJOS,O,X,O,X,X,X,X
TZLISJO,X,X,X,X,X,X,X
TZLISOJ,X,X,X,O,X,X,X
TZLIOJS,X,X,O,O,X,X,X
TZLIOSJ,X,X,X,O,X,X,X
TZLJISO,O,X,O,X,X,X,O
TZLJIOS,O,X,O,X,X,X,X
TZLJSIO,O,X,O,X,X,X,O
TZLJSOI,O,X,X,X,X,X,X
TZLJOIS,O,X,O,X,X,X,X
TZLJOSI,O,X,O,X,X,X,X
TZLSIJO,O,X,X,X,X,X,O
TZLSIOJ,X,X,X,O,X,X,X
TZLSJIO,O,X,O,X,X,X,O
TZLSJOI,O,X,X,X,X,X,X
TZLSOIJ,X,X,X,O,X,X,X
TZLSOJI,X,X,O,X,X,X,X
TZLOIJS,X,X,O,O,X,O,X
TZLOISJ,X,X,X,O,X,X,X
TZLOJIS,O,X,O,X,X,O,X
TZLOJSI,O,X,O,X,X,X,X
TZLOSIJ,X,X,X,O,X,X,X
TZLOSJI,X,X,O,X,X,X,X
TZJILSO,O,X,O,X,X,X,O
TZJILOS,O,X,O,X,X,X,X
TZJISLO,O,X,O,X,X,X,O
TZJISOL,O,X,X,X,X,X,X
TZJIOLS,O,X,O,X,X,O,X
TZJIOSL,O,X,X,X,X,X,X
TZJLISO,O,X,O,X,X,X,O
TZJLIOS,O,X,O,X,X,X,X
TZJLSIO,O,X,O,X,X,X,O
TZJLSOI,O,X,X,X,X,X,X
TZJLOIS,O,X,O,X,X,X,X
TZJLOSI,O,X,O,X,X,X,X
TZJSILO,O,X,O,X,X,X,O
TZJSIOL,O,X,X,X,X,X,X
TZJSLIO,O,X,O,X,X,X,O
TZJSLOI,O,X,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X,X
TZJOILS,O,X,O,X,X,O,X
TZJOISL,O,X,O,X,X,X,X
TZJOLIS,O,X,O,X,X,O,X
TZJOLSI,O,X,O,X,X,X,X
TZJOSIL,O,X,O,X,X,X,X
TZJOSLI,O,X,O,X,X,X,X
TZSILJO,O,X,X,X,X,X,O
TZSILOJ,X,X,X,O,X,X,X
TZSIJLO,X,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X,X
TZSIOLJ,X,X,X,O,X,X,X
TZSIOJL,X,X,X,O,X,X,X
TZSLIJO,O,X,X,X,X,X,O
TZSLIOJ,X,X,X,O,X,X,X
TZSLJIO,O,X,O,X,X,X,O
TZSLJOI,O,X,X,X,X,X,X
TZSLOIJ,X,X,X,O,X,X,X
TZSLOJI,X,X,O,X,X,X,X
TZSJILO,O,X,O,X,X,X,O
TZSJIOL,O,X,X,X,X,X,X
TZSJLIO,O,X,O,X,X,X,O
TZSJLOI,O,X,X,X,X,X,X
TZSJOIL,O,X,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X,X
TZSOILJ,X,X,X,O,X,X,X
TZSOIJL,X,X,X,O,X,X,X
TZSOLIJ,X,X,X,O,X,X,X
TZSOLJI,X,X,O,X,X,X,X
TZSOJIL,X,X,O,X,X,X,X
TZSOJLI,X,X,O,X,X,X,X
TZOILJS,X,X,O,O,X,O,X
TZOILSJ,X,X,X,O,X,X,X
TZOIJLS,X,X,O,O,X,X,X
TZOIJSL,X,X,O,O,X,X,X
TZOISLJ,X,X,X,O,X,X,X
TZOISJL,X,X,X,O,X,X,X
TZOLIJS,X,X,O,O,X,O,X
TZOLISJ,X,X,X,O,X,X,X
TZOLJIS,O,X,O,X,X,O,X
TZOLJSI,O,X,O,X,X,X,X
TZOLSIJ,X,X,X,O,X,X,X
TZOLSJI,X,X,O,X,X,X,X
TZOJILS,O,X,O,X,X,O,X
TZOJISL,O,X,O,X,X,X,X
TZOJLIS,O,X,O,X,X,O,X
TZOJLSI,O,X,O,X,X,X,X
TZOJSIL,O,X,O,X,X,X,X
TZOJSLI,O,X,O,X,X,X,X
TZOSILJ,X,X,X,O,X,X,X
TZOSIJL,X,X,X,O,X,X,X
TZOSLIJ,X,X,X,O,X,X,X
TZOSLJI,X,X,O,X,X,X,X
TZOSJIL,X,X,O,X,X,X,X
TZOSJLI,X,X,O,X,X,X,X
TOILJSZ,X,O,O,X,O,O,X
TOILJZS,X,O,O,X,O,O,X
