sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
LTSIZJO,O,O,X,X,X
LTSIZOJ,O,O,X,X,X
LTSIOJZ,O,X,X,X,X
LTSIOZJ,O,O,X,X,X
LTSJIZO,O,X,X,X,X
LTSJIOZ,O,X,X,X,X
LTSJZIO,O,X,X,X,X
LTSJZOI,O,X,X,X,X
LTSJOIZ,O,X,X,X,X
LTSJOZI,O,X,X,X,X
LTSZIJO,O,O,X,X,X
LTSZIOJ,O,O,X,X,X
LTSZJIO,O,O,X,X,X
LTSZJOI,O,O,X,X,X
LTSZOIJ,O,O,X,X,X
LTSZOJI,O,O,X,X,X
LTSOIJZ,O,X,X,X,X
LTSOIZJ,O,O,X,X,X
LTSOJIZ,O,X,X,X,X
LTSOJZI,O,X,X,X,X
LTSOZIJ,O,O,X,X,X
LTSOZJI,O,O,X,X,X
LTZIJSO,X,O,O,X,O
LTZIJOS,X,O,O,O,O
LTZISJO,X,O,X,X,O
LTZISOJ,X,O,X,O,O
LTZIOJS,X,O,O,O,O
LTZIOSJ,X,O,X,O,O
LTZJISO,X,O,O,X,O
LTZJIOS,X,O,O,O,O
LTZJSIO,X,O,X,X,O
LTZJSOI,X,O,X,X,O
LTZJOIS,X,O,O,O,O
LTZJOSI,X,O,X,O,O
LTZSIJO,X,O,X,X,O
LTZSIOJ,X,O,X,O,O
LTZSJIO,X,O,X,X,O
LTZSJOI,X,O,X,X,O
LTZSOIJ,X,O,X,O,O
LTZSOJI,X,O,X,O,O
LTZOIJS,X,O,O,O,O
LTZOISJ,X,O,X,O,O
LTZOJIS,X,O,O,O,O
LTZOJSI,X,O,X,O,O
LTZOSIJ,X,O,X,O,O
LTZOSJI,X,O,X,O,O
LTOIJSZ,O,X,X,X,X
LTOIJZS,X,O,X,O,O
LTOISJZ,O,X,X,X,X
LTOISZJ,O,O,X,X,X
LTOIZJS,X,O,O,O,O
LTOIZSJ,X,O,X,O,O
LTOJISZ,O,X,X,X,X
LTOJIZS,X,O,X,O,O
LTOJSIZ,O,X,X,X,X
LTOJSZI,O,X,X,X,X
LTOJZIS,X,O,X,O,O
LTOJZSI,X,O,X,O,O
LTOSIJZ,O,X,X,X,X
LTOSIZJ,O,O,X,X,X
LTOSJIZ,O,X,X,X,X
LTOSJZI,O,X,X,X,X
LTOSZIJ,O,O,X,X,X
LTOSZJI,O,O,X,X,X
LTOZIJS,X,O,O,O,O
LTOZISJ,X,O,X,O,O
LTOZJIS,X,O,O,O,O
LTOZJSI,X,O,X,O,O
LTOZSIJ,X,O,X,O,O
LTOZSJI,X,O,X,O,O
LITJSZO,O,X,X,X,X
LITJSOZ,O,X,X,X,X
LITJZSO,X,O,X,X,O
LITJZOS,X,O,X,X,O
LITJOSZ,O,X,X,X,X
LITJOZS,X,O,X,O,O
LITSJZO,O,X,X,X,X
LITSJOZ,O,X,X,X,X
LITSZJO,O,O,X,X,X
LITSZOJ,O,O,X,X,X
LITSOJZ,O,X,X,X,X
LITSOZJ,O,O,X,X,X
LITZJSO,X,O,O,X,O
LITZJOS,X,O,O,O,O
LITZSJO,X,O,X,X,O
LITZSOJ,X,O,X,O,O
LITZOJS,X,O,O,O,O
LITZOSJ,X,O,X,O,O
LITOJSZ,O,X,X,X,X
LITOJZS,X,O,X,O,O
LITOSJZ,O,X,X,X,X
LITOSZJ,O,O,X,X,X
LITOZJS,X,O,O,O,O
LITOZSJ,X,O,X,O,O
LIJTSZO,O,X,X,X,X
LIJTSOZ,O,X,X,X,X
LIJTZSO,X,O,X,X,O
LIJTZOS,X,O,X,X,O
LIJTOSZ,O,X,X,X,X
LIJTOZS,X,O,X,O,O
LIJSTZO,X,X,X,X,X
LIJSTOZ,O,X,X,X,X
LIJSZTO,X,O,X,X,O
LIJSZOT,O,X,X,X,O
LIJSOTZ,O,X,X,X,X
LIJSOZT,O,X,X,O,O
LIJZTSO,X,O,O,X,O
LIJZTOS,X,O,O,O,O
LIJZSTO,X,O,X,X,O
LIJZSOT,X,X,X,X,O
LIJZOTS,X,O,O,O,O
LIJZOST,X,X,X,O,O
LIJOTSZ,O,X,X,X,X
LIJOTZS,X,X,X,O,O
LIJOSTZ,O,X,X,X,X
LIJOSZT,O,X,X,O,O
LIJOZTS,X,O,O,O,O
LIJOZST,X,X,X,O,O
LISTJZO,O,X,X,X,X
LISTJOZ,O,X,X,X,X
LISTZJO,O,O,X,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,O,X,X,X,X
LISTOZJ,O,O,X,X,X
LISJTZO,O,X,X,X,X
LISJTOZ,O,X,X,X,X
LISJZTO,X,O,X,X,O
LISJZOT,O,X,X,X,O
LISJOTZ,O,X,X,X,X
LISJOZT,O,X,X,O,O
LISZTJO,O,O,X,X,O
LISZTOJ,O,O,X,O,O
LISZJTO,X,O,X,X,O
LISZJOT,O,X,X,X,O
LISZOTJ,O,X,X,O,O
LISZOJT,O,X,X,O,O
LISOTJZ,O,X,X,X,X
LISOTZJ,O,X,X,X,X
LISOJTZ,O,X,X,X,X
LISOJZT,O,X,X,O,O
LISOZTJ,O,X,X,O,O
LISOZJT,O,X,X,O,O
LIZTJSO,X,O,O,X,O
LIZTJOS,X,O,O,O,O
LIZTSJO,X,O,X,X,O
LIZTSOJ,X,O,X,O,O
LIZTOJS,X,O,O,O,O
LIZTOSJ,X,O,X,O,O
LIZJTSO,X,O,O,X,O
LIZJTOS,X,O,O,O,O
LIZJSTO,X,O,X,X,O
LIZJSOT,X,X,X,X,O
LIZJOTS,X,O,O,O,O
LIZJOST,X,X,X,O,O
LIZSTJO,X,O,X,X,O
LIZSTOJ,X,O,X,O,O
LIZSJTO,X,O,X,X,O
LIZSJOT,X,X,X,X,O
LIZSOTJ,X,X,X,O,O
LIZSOJT,X,X,X,O,O
LIZOTJS,X,O,O,O,O
LIZOTSJ,X,O,X,O,O
LIZOJTS,X,O,O,O,O
LIZOJST,X,X,X,O,O
LIZOSTJ,X,X,X,O,O
LIZOSJT,X,X,X,O,O
LIOTJSZ,O,X,X,X,X
LIOTJZS,X,O,X,O,O
LIOTSJZ,O,X,X,X,X
LIOTSZJ,O,O,X,X,X
LIOTZJS,X,O,O,O,O
LIOTZSJ,X,O,X,O,O
LIOJTSZ,O,X,X,X,X
LIOJTZS,X,X,X,O,O
LIOJSTZ,O,X,X,X,X
LIOJSZT,O,X,X,O,O
LIOJZTS,X,O,O,O,O
LIOJZST,X,X,X,O,O
LIOSTJZ,O,X,X,X,X
LIOSTZJ,O,X,X,X,X
LIOSJTZ,O,X,X,X,X
LIOSJZT,O,X,X,O,O
LIOSZTJ,O,X,X,O,O
LIOSZJT,O,X,X,O,O
LIOZTJS,X,O,O,O,O
LIOZTSJ,X,O,X,O,O
LIOZJTS,X,O,O,O,O
LIOZJST,X,X,X,O,O
LIOZSTJ,X,X,X,O,O
LIOZSJT,X,X,X,O,O
LJTISZO,O,X,X,X,X
LJTISOZ,O,X,X,X,X
LJTIZSO,X,O,X,X,O
LJTIZOS,X,O,X,X,O
LJTIOSZ,O,X,X,X,X
LJTIOZS,X,O,X,O,O
LJTSIZO,O,X,X,X,X
LJTSIOZ,O,X,X,X,X
LJTSZIO,O,X,X,X,X
LJTSZOI,O,X,X,X,X
LJTSOIZ,O,X,X,X,X
LJTSOZI,O,X,X,X,X
LJTZISO,X,O,X,X,O
LJTZIOS,X,O,X,X,O
LJTZSIO,X,O,X,X,O
LJTZSOI,X,O,X,X,O
LJTZOIS,X,O,X,X,O
LJTZOSI,X,O,X,X,O
LJTOISZ,O,X,X,X,X
LJTOIZS,X,O,X,O,O
LJTOSIZ,O,X,X,X,X
LJTOSZI,O,X,X,X,X
LJTOZIS,X,O,X,O,O
LJTOZSI,X,O,X,O,O
LJITSZO,O,X,X,X,X
LJITSOZ,O,X,X,X,X
LJITZSO,X,O,X,X,O
LJITZOS,X,O,X,X,O
LJITOSZ,O,X,X,X,X
LJITOZS,X,O,X,O,O
LJISTZO,X,X,X,X,X
LJISTOZ,O,X,X,X,X
LJISZTO,X,O,X,X,O
LJISZOT,O,X,X,X,O
LJISOTZ,O,X,X,X,X
LJISOZT,O,X,X,O,O
LJIZTSO,X,O,O,X,O
LJIZTOS,X,O,O,O,O
LJIZSTO,X,O,X,X,O
LJIZSOT,X,X,X,X,O
LJIZOTS,X,O,O,O,O
LJIZOST,X,X,X,O,O
LJIOTSZ,O,X,X,X,X
LJIOTZS,X,X,X,O,O
LJIOSTZ,O,X,X,X,X
LJIOSZT,O,X,X,O,O
LJIOZTS,X,O,O,O,O
LJIOZST,X,X,X,O,O
LJSTIZO,X,X,X,X,X
LJSTIOZ,O,X,X,X,X
LJSTZIO,X,X,X,X,X
LJSTZOI,X,X,X,X,X
LJSTOIZ,O,X,X,X,X
LJSTOZI,X,X,X,X,X
LJSITZO,X,X,X,X,X
LJSITOZ,O,X,X,X,X
LJSIZTO,X,O,X,X,O
LJSIZOT,O,X,X,X,O
LJSIOTZ,O,X,X,X,X
LJSIOZT,O,X,X,O,O
LJSZTIO,X,O,X,X,O
LJSZTOI,X,O,X,X,O
LJSZITO,X,O,X,X,O
LJSZIOT,O,X,X,X,O
LJSZOTI,X,X,X,X,O
LJSZOIT,O,X,X,X,O
LJSOTIZ,O,X,X,X,X
LJSOTZI,X,X,X,X,X
LJSOITZ,O,X,X,X,X
LJSOIZT,O,X,X,O,O
LJSOZTI,X,X,X,O,O
LJSOZIT,O,X,X,O,O
LJZTISO,X,O,O,X,O
LJZTIOS,X,O,O,O,O
LJZTSIO,X,O,X,X,O
LJZTSOI,X,O,X,X,O
LJZTOIS,X,O,O,O,O
LJZTOSI,X,O,X,O,O
LJZITSO,X,O,O,X,O
LJZITOS,X,O,O,O,O
LJZISTO,X,O,X,X,O
LJZISOT,X,X,X,X,O
LJZIOTS,X,O,O,O,O
LJZIOST,X,X,X,O,O
LJZSTIO,X,O,X,X,O
LJZSTOI,X,O,X,X,O
LJZSITO,X,O,X,X,O
LJZSIOT,X,X,X,X,O
LJZSOTI,X,X,X,X,O
LJZSOIT,X,X,X,X,O
LJZOTIS,X,O,O,O,O
LJZOTSI,X,O,X,O,O
LJZOITS,X,O,O,O,O
LJZOIST,X,X,X,O,O
LJZOSTI,X,X,X,O,O
LJZOSIT,X,X,X,O,O
LJOTISZ,O,X,X,X,X
LJOTIZS,X,X,X,O,O
LJOTSIZ,O,X,X,X,X
LJOTSZI,O,X,X,X,X
LJOTZIS,X,X,X,O,O
LJOTZSI,X,X,X,O,O
LJOITSZ,O,X,X,X,X
LJOITZS,X,X,X,O,O
LJOISTZ,O,X,X,X,X
LJOISZT,O,X,X,O,O
LJOIZTS,X,O,O,O,O
LJOIZST,X,X,X,O,O
LJOSTIZ,O,X,X,X,X
LJOSTZI,X,X,X,X,X
LJOSITZ,O,X,X,X,X
LJOSIZT,O,X,X,O,O
LJOSZTI,X,X,X,O,O
LJOSZIT,O,X,X,O,O
LJOZTIS,X,O,O,O,O
LJOZTSI,X,O,X,O,O
LJOZITS,X,O,O,O,O
LJOZIST,X,X,X,O,O
LJOZSTI,X,X,X,O,O
LJOZSIT,X,X,X,O,O
LSTIJZO,O,X,X,X,X
LSTIJOZ,O,X,X,X,X
LSTIZJO,O,O,X,X,X
LSTIZOJ,O,O,X,X,X
LSTIOJZ,O,X,X,X,X
LSTIOZJ,O,O,X,X,X
LSTJIZO,O,X,X,X,X
LSTJIOZ,O,X,X,X,X
LSTJZIO,O,X,X,X,X
LSTJZOI,O,X,X,X,X
LSTJOIZ,O,X,X,X,X
LSTJOZI,O,X,X,X,X
LSTZIJO,O,O,X,X,X
LSTZIOJ,O,O,X,X,X
LSTZJIO,O,O,X,X,X
LSTZJOI,O,O,X,X,X
LSTZOIJ,O,O,X,X,X
LSTZOJI,O,O,X,X,X
LSTOIJZ,O,X,X,X,X
LSTOIZJ,O,O,X,X,X
LSTOJIZ,O,X,X,X,X
LSTOJZI,O,X,X,X,X
LSTOZIJ,O,O,X,X,X
LSTOZJI,O,O,X,X,X
LSITJZO,O,X,X,X,X
LSITJOZ,O,X,X,X,X
LSITZJO,O,O,X,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,O,X,X,X,X
LSITOZJ,O,O,X,X,X
LSIJTZO,O,X,X,X,X
LSIJTOZ,O,X,X,X,X
LSIJZTO,X,O,X,X,O
LSIJZOT,O,X,X,X,O
LSIJOTZ,O,X,X,X,X
LSIJOZT,O,X,X,O,O
LSIZTJO,O,O,X,X,O
LSIZTOJ,O,O,X,O,O
LSIZJTO,X,O,X,X,O
LSIZJOT,O,X,X,X,O
LSIZOTJ,O,X,X,O,O
LSIZOJT,O,X,X,O,O
LSIOTJZ,O,X,X,X,X
LSIOTZJ,O,X,X,X,X
LSIOJTZ,O,X,X,X,X
LSIOJZT,O,X,X,O,O
LSIOZTJ,O,X,X,O,O
LSIOZJT,O,X,X,O,O
LSJTIZO,O,X,X,X,X
LSJTIOZ,O,X,X,X,X
LSJTZIO,O,X,X,X,X
LSJTZOI,O,X,X,X,X
LSJTOIZ,O,X,X,X,X
LSJTOZI,O,X,X,X,X
LSJITZO,O,X,X,X,X
LSJITOZ,O,X,X,X,X
LSJIZTO,X,O,X,X,O
LSJIZOT,O,X,X,X,O
LSJIOTZ,O,X,X,X,X
LSJIOZT,O,X,X,O,O
LSJZTIO,X,O,X,X,O
LSJZTOI,X,O,X,X,O
LSJZITO,X,O,X,X,O
LSJZIOT,O,X,X,X,O
LSJZOTI,X,X,X,X,O
LSJZOIT,O,X,X,X,O
LSJOTIZ,O,X,X,X,X
LSJOTZI,O,X,X,X,X
LSJOITZ,O,X,X,X,X
LSJOIZT,O,X,X,O,O
LSJOZTI,X,X,X,O,O
LSJOZIT,O,X,X,O,O
LSZTIJO,O,O,X,X,O
LSZTIOJ,O,O,X,O,O
LSZTJIO,O,O,X,X,O
LSZTJOI,O,O,X,X,O
LSZTOIJ,O,O,X,O,O
LSZTOJI,O,O,X,O,O
LSZITJO,O,O,X,X,O
LSZITOJ,O,O,X,O,O
LSZIJTO,X,O,X,X,O
LSZIJOT,O,X,X,X,O
LSZIOTJ,O,X,X,O,O
LSZIOJT,O,X,X,O,O
LSZJTIO,X,O,X,X,O
LSZJTOI,X,O,X,X,O
LSZJITO,X,O,X,X,O
LSZJIOT,O,X,X,X,O
LSZJOTI,X,X,X,X,O
LSZJOIT,O,X,X,X,O
LSZOTIJ,O,X,X,O,O
LSZOTJI,O,X,X,O,O
LSZOITJ,O,X,X,O,O
LSZOIJT,O,X,X,O,O
LSZOJTI,X,X,X,O,O
LSZOJIT,O,X,X,O,O
LSOTIJZ,O,X,X,X,X
LSOTIZJ,O,X,X,X,X
LSOTJIZ,O,X,X,X,X
LSOTJZI,O,X,X,X,X
LSOTZIJ,O,X,X,X,X
LSOTZJI,O,X,X,X,X
LSOITJZ,O,X,X,X,X
LSOITZJ,O,X,X,X,X
LSOIJTZ,O,X,X,X,X
LSOIJZT,O,X,X,O,O
LSOIZTJ,O,X,X,O,O
LSOIZJT,O,X,X,O,O
LSOJTIZ,O,X,X,X,X
LSOJTZI,O,X,X,X,X
LSOJITZ,O,X,X,X,X
LSOJIZT,O,X,X,O,O
LSOJZTI,X,X,X,O,O
LSOJZIT,O,X,X,O,O
LSOZTIJ,O,X,X,O,O
LSOZTJI,O,X,X,O,O
LSOZITJ,O,X,X,O,O
LSOZIJT,O,X,X,O,O
LSOZJTI,X,X,X,O,O
LSOZJIT,O,X,X,O,O
LZTIJSO,X,O,O,X,O
LZTIJOS,X,O,O,O,O
LZTISJO,X,O,X,X,O
LZTISOJ,X,O,X,O,O
LZTIOJS,X,O,O,O,O
LZTIOSJ,X,O,X,O,O
LZTJISO,X,O,O,X,O
LZTJIOS,X,O,O,O,O
LZTJSIO,X,O,X,X,O
LZTJSOI,X,O,X,X,O
LZTJOIS,X,O,O,O,O
LZTJOSI,X,O,X,O,O
LZTSIJO,X,O,X,X,O
LZTSIOJ,X,O,X,O,O
LZTSJIO,X,O,X,X,O
LZTSJOI,X,O,X,X,O
LZTSOIJ,X,O,X,O,O
LZTSOJI,X,O,X,O,O
LZTOIJS,X,O,O,O,O
LZTOISJ,X,O,X,O,O
LZTOJIS,X,O,O,O,O
LZTOJSI,X,O,X,O,O
LZTOSIJ,X,O,X,O,O
LZTOSJI,X,O,X,O,O
LZITJSO,X,O,O,X,O
LZITJOS,X,O,O,O,O
LZITSJO,X,O,X,X,O
LZITSOJ,X,O,X,O,O
LZITOJS,X,O,O,O,O
LZITOSJ,X,O,X,O,O
LZIJTSO,X,O,O,X,O
LZIJTOS,X,O,O,O,O
LZIJSTO,X,O,X,X,O
LZIJSOT,X,X,X,X,O
LZIJOTS,X,O,O,O,O
LZIJOST,X,X,X,O,O
LZISTJO,X,O,X,X,O
LZISTOJ,X,O,X,O,O
LZISJTO,X,O,X,X,O
LZISJOT,X,X,X,X,O
LZISOTJ,X,X,X,O,O
LZISOJT,X,X,X,O,O
LZIOTJS,X,O,O,O,O
LZIOTSJ,X,O,X,O,O
LZIOJTS,X,O,O,O,O
LZIOJST,X,X,X,O,O
LZIOSTJ,X,X,X,O,O
LZIOSJT,X,X,X,O,O
LZJTISO,X,O,O,X,O
LZJTIOS,X,O,O,O,O
LZJTSIO,X,O,X,X,O
LZJTSOI,X,O,X,X,O
LZJTOIS,X,O,O,O,O
LZJTOSI,X,O,X,O,O
LZJITSO,X,O,O,X,O
LZJITOS,X,O,O,O,O
LZJISTO,X,O,X,X,O
LZJISOT,X,X,X,X,O
LZJIOTS,X,O,O,O,O
LZJIOST,X,X,X,O,O
LZJSTIO,X,O,X,X,O
LZJSTOI,X,O,X,X,O
LZJSITO,X,O,X,X,O
LZJSIOT,X,X,X,X,O
LZJSOTI,X,X,X,X,O
LZJSOIT,X,X,X,X,O
LZJOTIS,X,O,O,O,O
LZJOTSI,X,O,X,O,O
LZJOITS,X,O,O,O,O
LZJOIST,X,X,X,O,O
LZJOSTI,X,X,X,O,O
LZJOSIT,X,X,X,O,O
LZSTIJO,X,O,X,X,O
LZSTIOJ,X,O,X,O,O
LZSTJIO,X,O,X,X,O
LZSTJOI,X,O,X,X,O
LZSTOIJ,X,O,X,O,O
LZSTOJI,X,O,X,O,O
LZSITJO,X,O,X,X,O
LZSITOJ,X,O,X,O,O
LZSIJTO,X,O,X,X,O
LZSIJOT,X,X,X,X,O
LZSIOTJ,X,X,X,O,O
LZSIOJT,X,X,X,O,O
LZSJTIO,X,O,X,X,O
LZSJTOI,X,O,X,X,O
LZSJITO,X,O,X,X,O
LZSJIOT,X,X,X,X,O
LZSJOTI,X,X,X,X,O
LZSJOIT,X,X,X,X,O
LZSOTIJ,X,X,X,O,O
LZSOTJI,X,X,X,O,O
LZSOITJ,X,X,X,O,O
LZSOIJT,X,X,X,O,O
LZSOJTI,X,X,X,O,O
LZSOJIT,X,X,X,O,O
LZOTIJS,X,O,O,O,O
LZOTISJ,X,O,X,O,O
LZOTJIS,X,O,O,O,O
LZOTJSI,X,O,X,O,O
LZOTSIJ,X,O,X,O,O
LZOTSJI,X,O,X,O,O
LZOITJS,X,O,O,O,O
LZOITSJ,X,O,X,O,O
LZOIJTS,X,O,O,O,O
LZOIJST,X,X,X,O,O
LZOISTJ,X,X,X,O,O
LZOISJT,X,X,X,O,O
LZOJTIS,X,O,O,O,O
LZOJTSI,X,O,X,O,O
LZOJITS,X,O,O,O,O
LZOJIST,X,X,X,O,O
LZOJSTI,X,X,X,O,O
LZOJSIT,X,X,X,O,O
LZOSTIJ,X,X,X,O,O
LZOSTJI,X,X,X,O,O
LZOSITJ,X,X,X,O,O
LZOSIJT,X,X,X,O,O
LZOSJTI,X,X,X,O,O
LZOSJIT,X,X,X,O,O
LOTIJSZ,O,X,X,X,X
LOTIJZS,X,O,X,O,O
LOTISJZ,O,X,X,X,X
LOTISZJ,O,O,X,X,X
LOTIZJS,X,O,O,O,O
LOTIZSJ,X,O,X,O,O
LOTJISZ,O,X,X,X,X
LOTJIZS,X,O,X,O,O
LOTJSIZ,O,X,X,X,X
LOTJSZI,O,X,X,X,X
LOTJZIS,X,O,X,O,O
LOTJZSI,X,O,X,O,O
LOTSIJZ,O,X,X,X,X
LOTSIZJ,O,O,X,X,X
LOTSJIZ,O,X,X,X,X
LOTSJZI,O,X,X,X,X
LOTSZIJ,O,O,X,X,X
LOTSZJI,O,O,X,X,X
LOTZIJS,X,O,O,O,O
LOTZISJ,X,O,X,O,O
LOTZJIS,X,O,O,O,O
LOTZJSI,X,O,X,O,O
LOTZSIJ,X,O,X,O,O
LOTZSJI,X,O,X,O,O
LOITJSZ,O,X,X,X,X
LOITJZS,X,O,X,O,O
LOITSJZ,O,X,X,X,X
LOITSZJ,O,O,X,X,X
LOITZJS,X,O,O,O,O
LOITZSJ,X,O,X,O,O
LOIJTSZ,O,X,X,X,X
LOIJTZS,X,X,X,O,O
LOIJSTZ,O,X,X,X,X
LOIJSZT,O,X,X,O,O
LOIJZTS,X,O,O,O,O
LOIJZST,X,X,X,O,O
LOISTJZ,O,X,X,X,X
LOISTZJ,O,X,X,X,X
LOISJTZ,O,X,X,X,X
LOISJZT,O,X,X,O,O
LOISZTJ,O,X,X,O,O
LOISZJT,O,X,X,O,O
LOIZTJS,X,O,O,O,O
LOIZTSJ,X,O,X,O,O
LOIZJTS,X,O,O,O,O
LOIZJST,X,X,X,O,O
LOIZSTJ,X,X,X,O,O
LOIZSJT,X,X,X,O,O
LOJTISZ,O,X,X,X,X
LOJTIZS,X,X,X,O,O
LOJTSIZ,O,X,X,X,X
LOJTSZI,O,X,X,X,X
LOJTZIS,X,X,X,O,O
LOJTZSI,X,X,X,O,O
LOJITSZ,O,X,X,X,X
LOJITZS,X,X,X,O,O
LOJISTZ,O,X,X,X,X
LOJISZT,O,X,X,O,O
LOJIZTS,X,O,O,O,O
LOJIZST,X,X,X,O,O
LOJSTIZ,O,X,X,X,X
LOJSTZI,X,X,X,X,X
LOJSITZ,O,X,X,X,X
LOJSIZT,O,X,X,O,O
LOJSZTI,X,X,X,O,O
LOJSZIT,O,X,X,O,O
LOJZTIS,X,O,O,O,O
LOJZTSI,X,O,X,O,O
LOJZITS,X,O,O,O,O
LOJZIST,X,X,X,O,O
LOJZSTI,X,X,X,O,O
LOJZSIT,X,X,X,O,O
LOSTIJZ,O,X,X,X,X
LOSTIZJ,O,X,X,X,X
LOSTJIZ,O,X,X,X,X
LOSTJZI,O,X,X,X,X
LOSTZIJ,O,X,X,X,X
LOSTZJI,O,X,X,X,X
LOSITJZ,O,X,X,X,X
LOSITZJ,O,X,X,X,X
LOSIJTZ,O,X,X,X,X
LOSIJZT,O,X,X,O,O
LOSIZTJ,O,X,X,O,O
LOSIZJT,O,X,X,O,O
LOSJTIZ,O,X,X,X,X
LOSJTZI,O,X,X,X,X
LOSJITZ,O,X,X,X,X
LOSJIZT,O,X,X,O,O
LOSJZTI,X,X,X,O,O
LOSJZIT,O,X,X,O,O
LOSZTIJ,O,X,X,O,O
LOSZTJI,O,X,X,O,O
LOSZITJ,O,X,X,O,O
LOSZIJT,O,X,X,O,O
LOSZJTI,X,X,X,O,O
LOSZJIT,O,X,X,O,O
LOZTIJS,X,O,O,O,O
LOZTISJ,X,O,X,O,O
LOZTJIS,X,O,O,O,O
LOZTJSI,X,O,X,O,O
LOZTSIJ,X,O,X,O,O
LOZTSJI,X,O,X,O,O
LOZITJS,X,O,O,O,O
LOZITSJ,X,O,X,O,O
LOZIJTS,X,O,O,O,O
LOZIJST,X,X,X,O,O
LOZISTJ,X,X,X,O,O
LOZISJT,X,X,X,O,O
LOZJTIS,X,O,O,O,O
LOZJTSI,X,O,X,O,O
LOZJITS,X,O,O,O,O
LOZJIST,X,X,X,O,O
LOZJSTI,X,X,X,O,O
LOZJSIT,X,X,X,O,O
LOZSTIJ,X,X,X,O,O
LOZSTJI,X,X,X,O,O
LOZSITJ,X,X,X,O,O
LOZSIJT,X,X,X,O,O
LOZSJTI,X,X,X,O,O
LOZSJIT,X,X,X,O,O
JTILSZO,O,X,X,X,X
JTILSOZ,O,X,X,X,X
JTILZSO,X,O,X,X,O
JTILZOS,X,O,X,X,O
JTILOSZ,O,X,X,X,X
JTILOZS,X,O,X,O,O
JTISLZO,O,X,X,X,X
JTISLOZ,O,X,X,X,X
JTISZLO,O,X,X,X,X
JTISZOL,O,X,X,X,X
JTISOLZ,O,X,X,X,X
JTISOZL,O,X,X,X,X
JTIZLSO,X,O,O,X,O
JTIZLOS,X,O,O,X,O
JTIZSLO,O,O,O,X,O
JTIZSOL,O,O,O,X,X
JTIZOLS,X,O,O,X,O
JTIZOSL,O,O,O,X,X
JTIOLSZ,O,X,X,X,X
JTIOLZS,X,O,X,O,X
JTIOSLZ,O,X,X,X,X
JTIOSZL,O,X,X,X,X
JTIOZLS,X,O,O,O,X
JTIOZSL,O,O,O,O,X
JTLISZO,O,X,X,X,X
JTLISOZ,O,X,X,X,X
JTLIZSO,X,O,X,X,O
JTLIZOS,X,O,X,X,O
JTLIOSZ,O,X,X,X,X
JTLIOZS,X,O,X,O,O
JTLSIZO,O,X,X,X,X
JTLSIOZ,O,X,X,X,X
JTLSZIO,O,X,X,X,X
JTLSZOI,O,X,X,X,X
JTLSOIZ,O,X,X,X,X
JTLSOZI,O,X,X,X,X
JTLZISO,X,O,X,X,O
JTLZIOS,X,O,X,X,O
JTLZSIO,X,O,X,X,O
JTLZSOI,X,O,X,X,O
JTLZOIS,X,O,X,X,O
JTLZOSI,X,O,X,X,O
JTLOISZ,O,X,X,X,X
JTLOIZS,X,O,X,O,O
JTLOSIZ,O,X,X,X,X
JTLOSZI,O,X,X,X,X
JTLOZIS,X,O,X,O,O
JTLOZSI,X,O,X,O,O
JTSILZO,O,X,X,X,X
JTSILOZ,O,X,X,X,X
JTSIZLO,O,X,X,X,X
JTSIZOL,O,X,X,X,X
JTSIOLZ,O,X,X,X,X
JTSIOZL,O,X,X,X,X
JTSLIZO,O,X,X,X,X
JTSLIOZ,O,X,X,X,X
JTSLZIO,O,X,X,X,X
JTSLZOI,O,X,X,X,X
JTSLOIZ,O,X,X,X,X
JTSLOZI,O,X,X,X,X
JTSZILO,O,X,X,X,X
JTSZIOL,O,X,X,X,X
JTSZLIO,O,X,X,X,X
JTSZLOI,O,X,X,X,X
JTSZOIL,O,X,X,X,X
JTSZOLI,O,X,X,X,X
JTSOILZ,O,X,X,X,X
JTSOIZL,O,X,X,X,X
JTSOLIZ,O,X,X,X,X
JTSOLZI,O,X,X,X,X
JTSOZIL,O,X,X,X,X
JTSOZLI,O,X,X,X,X
JTZILSO,X,O,O,X,O
JTZILOS,X,O,O,X,O
JTZISLO,O,O,O,X,O
JTZISOL,O,O,O,X,X
JTZIOLS,X,O,O,X,O
JTZIOSL,O,O,O,X,X
JTZLISO,X,O,O,X,O
JTZLIOS,X,O,O,X,O
JTZLSIO,X,O,X,X,O
JTZLSOI,X,O,X,X,O
JTZLOIS,X,O,O,X,O
JTZLOSI,X,O,X,X,O
JTZSILO,O,O,O,X,O
JTZSIOL,O,O,O,X,X
JTZSLIO,O,O,X,X,O
JTZSLOI,O,O,X,X,O
JTZSOIL,O,O,O,X,X
JTZSOLI,O,O,X,X,X
