sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,O,O,O,X,X,O,X
ISZOTJL,O,O,O,O,X,O,X
ISZOLTJ,O,O,X,O,X,O,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,O,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,O,O,O,O,X,X,O
ISOTLZJ,O,O,O,O,O,X,X
ISOTJLZ,O,O,O,O,X,X,O
ISOTJZL,O,O,O,O,X,X,O
ISOTZLJ,O,O,O,O,O,X,X
ISOTZJL,O,O,O,O,O,X,O
ISOLTJZ,X,O,O,O,X,X,X
ISOLTZJ,O,O,O,X,O,X,X
ISOLJTZ,X,O,O,O,X,X,X
ISOLJZT,O,O,O,O,X,X,X
ISOLZTJ,O,O,X,O,X,X,X
ISOLZJT,O,O,O,O,O,X,X
ISOJTLZ,X,O,O,O,X,X,O
ISOJTZL,X,O,O,O,X,X,O
ISOJLTZ,X,O,O,O,X,X,X
ISOJLZT,O,O,O,O,X,X,X
ISOJZTL,O,O,O,O,X,X,X
ISOJZLT,O,O,O,O,X,X,X
ISOZTLJ,O,O,O,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X
ISOZLTJ,O,O,X,O,X,X,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,O,O,O,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,O,O,O,X,O,O,X
IZTLJOS,O,O,X,X,O,O,X
IZTLSJO,O,O,O,X,O,O,X
IZTLSOJ,O,O,O,X,O,O,X
IZTLOJS,O,O,X,X,O,O,X
IZTLOSJ,O,O,X,X,O,O,X
IZTJLSO,O,O,O,X,O,O,X
IZTJLOS,O,O,X,X,O,O,X
IZTJSLO,O,O,O,X,O,O,X
IZTJSOL,O,O,O,O,O,O,O
IZTJOLS,O,O,X,O,O,O,X
IZTJOSL,O,O,X,O,O,O,O
IZTSLJO,O,O,O,X,O,O,X
IZTSLOJ,O,O,O,X,O,O,X
IZTSJLO,O,O,O,X,O,O,X
IZTSJOL,O,O,O,O,O,O,O
IZTSOLJ,O,O,O,X,O,O,X
IZTSOJL,O,O,O,O,O,O,O
IZTOLJS,O,O,X,X,O,O,X
IZTOLSJ,O,O,X,X,O,O,X
IZTOJLS,O,O,X,O,O,O,X
IZTOJSL,O,O,X,O,O,O,O
IZTOSLJ,O,O,X,X,O,O,X
IZTOSJL,O,O,X,X,O,O,O
IZLTJSO,O,X,X,O,O,O,X
IZLTJOS,O,X,X,O,O,O,X
IZLTSJO,O,X,X,O,O,O,X
IZLTSOJ,O,X,X,O,O,O,X
IZLTOJS,O,X,X,O,O,O,X
IZLTOSJ,O,X,X,X,O,O,X
IZLJTSO,O,X,X,O,X,O,X
IZLJTOS,O,X,X,O,O,O,X
IZLJSTO,O,O,X,O,X,O,X
IZLJSOT,O,O,O,O,O,X,X
IZLJOTS,O,X,X,O,O,X,X
IZLJOST,O,O,X,O,O,X,X
IZLSTJO,O,O,X,O,X,O,X
IZLSTOJ,O,O,X,O,X,O,X
IZLSJTO,O,O,X,O,X,O,X
IZLSJOT,O,O,O,O,O,X,X
IZLSOTJ,O,O,X,O,X,O,X
IZLSOJT,O,O,O,O,O,X,X
IZLOTJS,O,X,X,O,O,O,X
IZLOTSJ,O,X,X,X,O,O,X
IZLOJTS,O,X,X,O,O,X,X
IZLOJST,O,O,X,O,O,X,X
IZLOSTJ,O,O,X,O,X,O,X
IZLOSJT,O,O,X,O,O,X,X
IZJTLSO,O,X,O,X,X,O,X
IZJTLOS,O,X,X,X,O,O,X
IZJTSLO,O,O,O,X,X,O,X
IZJTSOL,O,O,O,O,X,O,O
IZJTOLS,O,X,X,O,O,O,X
IZJTOSL,O,O,X,O,X,O,O
IZJLTSO,O,X,X,O,X,O,X
IZJLTOS,O,X,X,O,O,O,X
IZJLSTO,O,O,X,O,X,O,X
IZJLSOT,O,O,O,O,O,X,X
IZJLOTS,O,X,X,O,O,X,X
IZJLOST,O,O,X,O,O,X,X
IZJSTLO,O,O,O,X,X,O,X
IZJSTOL,O,O,O,O,X,O,X
IZJSLTO,O,O,X,O,X,O,X
IZJSLOT,O,O,O,O,O,X,X
IZJSOTL,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,O,X,X,O,O,X,X
IZJOTSL,O,O,X,O,X,X,O
IZJOLTS,O,X,X,O,O,X,X
IZJOLST,O,O,X,O,O,X,X
IZJOSTL,O,O,X,O,X,X,X
IZJOSLT,O,O,X,O,O,X,X
IZSTLJO,O,O,O,X,X,O,X
IZSTLOJ,O,O,O,X,X,O,X
IZSTJLO,O,O,O,X,X,O,X
IZSTJOL,O,O,O,O,X,O,X
IZSTOLJ,O,O,O,X,X,O,X
IZSTOJL,O,O,O,O,X,O,X
IZSLTJO,O,O,X,O,X,O,X
IZSLTOJ,O,O,X,O,X,O,X
IZSLJTO,O,O,X,O,X,O,X
IZSLJOT,O,O,O,O,O,X,X
IZSLOTJ,O,O,X,O,X,O,X
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,O,O,X,X,O,X
IZSJTOL,O,O,O,O,X,O,X
IZSJLTO,O,O,X,O,X,O,X
IZSJLOT,O,O,O,O,O,X,X
IZSJOTL,O,O,O,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,O,O,O,X,X,O,X
IZSOTJL,O,O,O,O,X,O,X
IZSOLTJ,O,O,X,O,X,O,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,O,O,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,O,O,X,X,O,O,X
IZOTLSJ,O,O,X,X,O,O,X
IZOTJLS,O,O,X,O,O,O,X
IZOTJSL,O,O,X,O,O,O,O
IZOTSLJ,O,O,X,X,O,O,X
IZOTSJL,O,O,X,X,O,O,O
IZOLTJS,O,X,X,O,O,O,X
IZOLTSJ,O,X,X,X,O,O,X
IZOLJTS,O,X,X,O,O,X,X
IZOLJST,O,O,X,O,O,X,X
IZOLSTJ,O,O,X,X,X,O,X
IZOLSJT,O,O,X,O,O,X,X
IZOJTLS,O,X,X,O,O,X,X
IZOJTSL,O,O,X,O,X,X,O
IZOJLTS,O,X,X,O,O,X,X
IZOJLST,O,O,X,O,O,X,X
IZOJSTL,O,O,X,O,X,X,X
IZOJSLT,O,O,X,O,O,X,X
IZOSTLJ,O,O,X,X,X,O,X
IZOSTJL,O,O,X,O,X,O,X
IZOSLTJ,O,O,X,X,X,O,X
IZOSLJT,O,O,X,O,O,X,X
IZOSJTL,O,O,X,O,X,X,X
IZOSJLT,O,O,X,O,O,X,X
IOTLJSZ,X,X,O,O,X,X,O
IOTLJZS,X,X,X,O,O,X,X
IOTLSJZ,O,O,O,O,X,X,O
IOTLSZJ,O,O,O,X,O,X,X
IOTLZJS,O,O,X,O,O,X,X
IOTLZSJ,O,O,X,O,O,X,X
IOTJLSZ,X,X,O,O,X,X,O
IOTJLZS,X,X,X,O,O,X,X
IOTJSLZ,O,O,O,X,X,X,O
IOTJSZL,O,O,O,X,X,X,O
IOTJZLS,O,O,X,O,O,X,X
IOTJZSL,O,O,X,O,O,X,O
IOTSLJZ,O,O,O,X,X,X,O
IOTSLZJ,O,O,O,X,O,X,X
IOTSJLZ,O,O,O,X,X,X,O
IOTSJZL,O,O,O,X,X,X,O
IOTSZLJ,O,O,O,X,O,X,X
IOTSZJL,O,O,O,X,O,X,O
IOTZLJS,O,O,X,O,O,X,X
IOTZLSJ,O,O,X,O,O,X,X
IOTZJLS,O,O,X,O,O,X,X
IOTZJSL,O,O,X,O,O,X,O
IOTZSLJ,O,O,X,X,O,X,X
IOTZSJL,O,O,X,O,O,X,O
IOLTJSZ,X,X,X,O,X,X,O
IOLTJZS,X,X,X,O,O,X,X
IOLTSJZ,O,O,X,X,X,X,O
IOLTSZJ,O,O,X,X,O,X,X
IOLTZJS,O,O,X,X,O,X,X
IOLTZSJ,O,O,X,X,O,X,X
IOLJTSZ,X,X,X,O,X,X,O
IOLJTZS,X,X,X,O,O,X,X
IOLJSTZ,X,X,O,O,X,X,X
IOLJSZT,X,X,O,O,X,X,X
IOLJZTS,X,X,X,O,O,X,X
IOLJZST,X,X,X,O,O,X,X
IOLSTJZ,X,O,O,X,X,X,X
IOLSTZJ,O,O,X,X,O,X,X
IOLSJTZ,X,O,O,O,X,X,X
IOLSJZT,O,O,O,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,X
IOLZTJS,O,X,X,O,O,X,X
IOLZTSJ,O,X,X,X,O,X,X
IOLZJTS,O,X,X,O,O,X,X
IOLZJST,O,O,X,O,O,X,X
IOLZSTJ,O,O,X,X,X,X,X
IOLZSJT,O,O,X,O,O,X,X
IOJTLSZ,X,X,O,O,X,X,O
IOJTLZS,X,X,X,O,O,X,X
IOJTSLZ,O,O,O,X,X,X,O
IOJTSZL,O,O,O,X,X,X,O
IOJTZLS,O,O,X,O,O,X,X
IOJTZSL,O,O,X,O,O,X,O
IOJLTSZ,X,X,X,O,X,X,O
IOJLTZS,X,X,X,O,O,X,X
IOJLSTZ,X,X,O,O,X,X,X
IOJLSZT,X,X,O,O,X,X,X
IOJLZTS,X,X,X,O,O,X,X
IOJLZST,X,X,X,O,O,X,X
IOJSTLZ,X,O,O,X,X,X,O
IOJSTZL,X,O,O,X,X,X,O
IOJSLTZ,X,O,O,X,X,X,X
IOJSLZT,O,O,O,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X
IOJSZLT,O,O,O,X,X,X,X
IOJZTLS,O,X,X,O,O,X,X
IOJZTSL,O,O,X,O,X,X,O
IOJZLTS,O,X,X,O,O,X,X
IOJZLST,O,O,X,O,O,X,X
IOJZSTL,O,O,X,O,X,X,X
IOJZSLT,O,O,X,O,O,X,X
IOSTLJZ,O,O,O,X,X,X,O
IOSTLZJ,O,O,O,X,O,X,X
IOSTJLZ,O,O,O,X,X,X,O
IOSTJZL,O,O,O,X,X,X,O
IOSTZLJ,O,O,O,X,O,X,X
IOSTZJL,O,O,O,X,O,X,O
IOSLTJZ,X,O,O,X,X,X,X
IOSLTZJ,O,O,O,X,O,X,X
IOSLJTZ,X,O,O,X,X,X,X
IOSLJZT,O,O,O,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X
IOSLZJT,O,O,O,X,O,X,X
IOSJTLZ,X,O,O,X,X,X,O
IOSJTZL,X,O,O,X,X,X,O
IOSJLTZ,X,O,O,X,X,X,X
IOSJLZT,O,O,O,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,X
IOSZJTL,O,O,O,X,X,X,X
IOSZJLT,O,O,O,X,O,X,X
IOZTLJS,O,O,X,X,O,X,X
IOZTLSJ,O,O,X,X,O,X,X
IOZTJLS,O,O,X,O,O,X,X
IOZTJSL,O,O,X,O,O,X,O
IOZTSLJ,O,O,X,X,O,X,X
IOZTSJL,O,O,X,X,O,X,O
IOZLTJS,O,X,X,O,O,X,X
IOZLTSJ,O,X,X,X,O,X,X
IOZLJTS,O,X,X,O,O,X,X
IOZLJST,O,O,X,O,O,X,X
IOZLSTJ,O,O,X,X,X,X,X
IOZLSJT,O,O,X,O,O,X,X
IOZJTLS,O,X,X,O,O,X,X
IOZJTSL,O,O,X,O,X,X,O
IOZJLTS,O,X,X,O,O,X,X
IOZJLST,O,O,X,O,O,X,X
IOZJSTL,O,O,X,O,X,X,X
IOZJSLT,O,O,X,O,O,X,X
IOZSTLJ,O,O,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X
IOZSLJT,O,O,X,X,O,X,X
IOZSJTL,O,O,X,O,X,X,X
IOZSJLT,O,O,X,O,O,X,X
LTIJSZO,X,X,O,O,X,X,X
LTIJSOZ,X,X,O,O,X,X,O
LTIJZSO,X,X,O,O,O,X,X
LTIJZOS,X,X,X,O,O,X,X
LTIJOSZ,X,X,O,O,X,X,O
LTIJOZS,X,X,X,O,O,X,X
LTISJZO,O,O,O,O,X,X,X
LTISJOZ,O,O,O,O,X,X,O
LTISZJO,O,O,O,O,O,O,X
LTISZOJ,O,O,O,O,O,O,X
LTISOJZ,O,O,O,O,X,X,O
LTISOZJ,O,O,O,O,O,O,X
LTIZJSO,O,O,O,O,O,O,X
LTIZJOS,O,O,X,O,O,O,X
LTIZSJO,O,O,O,O,O,O,X
LTIZSOJ,O,O,O,O,O,O,X
LTIZOJS,O,O,X,O,O,O,X
LTIZOSJ,O,O,X,O,O,O,X
LTIOJSZ,X,X,O,O,X,X,O
LTIOJZS,X,X,X,O,O,X,X
LTIOSJZ,O,O,O,O,X,X,O
LTIOSZJ,O,O,O,O,O,O,X
LTIOZJS,O,O,X,O,O,O,X
LTIOZSJ,O,O,X,O,O,O,X
LTJISZO,X,X,O,O,X,X,X
LTJISOZ,X,X,O,O,X,X,O
LTJIZSO,X,X,O,O,O,X,X
LTJIZOS,X,X,X,O,O,X,X
LTJIOSZ,X,X,O,O,X,X,O
LTJIOZS,X,X,X,O,O,X,X
LTJSIZO,X,X,O,O,X,X,X
LTJSIOZ,X,X,O,O,X,X,O
LTJSZIO,X,X,O,O,X,O,X
LTJSZOI,X,X,O,O,X,O,X
LTJSOIZ,X,X,O,O,X,X,O
LTJSOZI,X,X,O,O,X,O,X
LTJZISO,X,X,O,O,O,O,X
LTJZIOS,X,X,X,O,O,O,X
LTJZSIO,X,X,O,O,O,O,X
LTJZSOI,X,X,O,O,O,O,X
LTJZOIS,X,X,X,O,O,O,X
LTJZOSI,X,X,X,O,O,O,X
LTJOISZ,X,X,O,O,X,X,O
LTJOIZS,X,X,X,O,O,X,X
LTJOSIZ,X,X,O,O,X,X,O
LTJOSZI,X,X,O,O,X,O,X
LTJOZIS,X,X,X,O,O,O,X
LTJOZSI,X,X,X,O,O,O,X
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,X,X,O
LTSIZJO,O,O,O,O,O,O,X
LTSIZOJ,O,O,O,O,O,O,X
LTSIOJZ,O,O,O,O,X,X,O
LTSIOZJ,O,O,O,O,O,O,X
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,X,X,O
LTSJZIO,O,O,O,O,X,O,X
LTSJZOI,O,O,O,O,X,O,X
LTSJOIZ,O,O,O,O,X,X,O
LTSJOZI,O,O,O,O,X,O,X
LTSZIJO,O,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,O,O,X
LTSZJIO,O,O,O,O,O,O,X
LTSZJOI,O,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,O,O,X
LTSZOJI,O,O,O,O,O,O,X
LTSOIJZ,O,O,O,O,X,X,O
LTSOIZJ,O,O,O,O,O,O,X
LTSOJIZ,O,O,O,O,X,X,O
LTSOJZI,O,O,O,O,X,O,X
LTSOZIJ,O,O,O,O,O,O,X
LTSOZJI,O,O,O,O,O,O,X
LTZIJSO,O,O,O,O,O,O,X
LTZIJOS,O,O,X,O,O,O,X
LTZISJO,O,O,O,O,O,O,X
LTZISOJ,O,O,O,O,O,O,X
LTZIOJS,O,O,X,O,O,O,X
LTZIOSJ,O,O,X,O,O,O,X
LTZJISO,O,O,O,O,O,O,X
LTZJIOS,O,O,X,O,O,O,X
LTZJSIO,O,O,O,O,O,O,X
LTZJSOI,O,O,O,O,O,O,X
LTZJOIS,O,O,X,O,O,O,X
LTZJOSI,O,O,X,O,O,O,X
LTZSIJO,O,O,O,O,O,O,X
LTZSIOJ,O,O,O,O,O,O,X
LTZSJIO,O,O,O,O,O,O,X
LTZSJOI,O,O,O,O,O,O,X
LTZSOIJ,O,O,O,O,O,O,X
LTZSOJI,O,O,O,O,O,O,X
LTZOIJS,O,O,X,O,O,O,X
LTZOISJ,O,O,X,O,O,O,X
LTZOJIS,O,O,X,O,O,O,X
LTZOJSI,O,O,X,O,O,O,X
LTZOSIJ,O,O,X,O,O,O,X
LTZOSJI,O,O,X,O,O,O,X
LTOIJSZ,X,X,O,O,X,X,O
LTOIJZS,X,X,X,O,O,X,X
LTOISJZ,O,O,O,O,X,X,O
LTOISZJ,O,O,O,O,O,O,X
LTOIZJS,O,O,X,O,O,O,X
LTOIZSJ,O,O,X,O,O,O,X
LTOJISZ,X,X,O,O,X,X,O
LTOJIZS,X,X,X,O,O,X,X
LTOJSIZ,X,X,O,O,X,X,O
LTOJSZI,X,X,O,O,X,O,X
LTOJZIS,X,X,X,O,O,O,X
LTOJZSI,X,X,X,O,O,O,X
LTOSIJZ,O,O,O,O,X,X,O
LTOSIZJ,O,O,O,O,O,O,X
LTOSJIZ,O,O,O,O,X,X,O
LTOSJZI,O,O,O,O,X,O,X
LTOSZIJ,O,O,O,O,O,O,X
LTOSZJI,O,O,O,O,O,O,X
LTOZIJS,O,O,X,O,O,O,X
LTOZISJ,O,O,X,O,O,O,X
LTOZJIS,O,O,X,O,O,O,X
LTOZJSI,O,O,X,O,O,O,X
LTOZSIJ,O,O,X,O,O,O,X
LTOZSJI,O,O,X,O,O,O,X
LITJSZO,X,X,O,X,X,X,X
LITJSOZ,X,X,O,O,X,X,O
LITJZSO,X,X,O,X,O,X,X
LITJZOS,X,X,X,X,O,X,X
LITJOSZ,X,X,O,O,X,X,O
LITJOZS,X,X,X,O,O,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,O,O,O,O,X,X,O
LITSZJO,O,O,O,X,O,O,X
LITSZOJ,O,O,O,X,O,O,X
LITSOJZ,O,O,O,O,X,X,O
LITSOZJ,O,O,O,X,O,O,X
LITZJSO,O,O,O,X,O,O,X
LITZJOS,O,O,X,X,O,O,X
LITZSJO,O,O,O,X,O,O,X
LITZSOJ,O,O,O,X,O,O,X
LITZOJS,O,O,X,X,O,O,X
LITZOSJ,O,O,X,X,O,O,X
LITOJSZ,X,X,O,O,X,X,O
LITOJZS,X,X,X,O,O,X,X
LITOSJZ,O,O,O,X,X,X,O
LITOSZJ,O,O,O,X,O,O,X
LITOZJS,O,O,X,X,O,O,X
LITOZSJ,O,O,X,X,O,O,X
LIJTSZO,X,X,O,X,X,X,X
LIJTSOZ,X,X,O,O,X,X,O
LIJTZSO,X,X,O,X,O,X,X
LIJTZOS,X,X,X,X,O,X,X
LIJTOSZ,X,X,O,O,X,X,O
LIJTOZS,X,X,X,O,O,X,X
LIJSTZO,X,X,O,X,X,X,X
LIJSTOZ,X,X,O,O,X,X,X
LIJSZTO,X,X,X,O,X,X,X
LIJSZOT,X,X,O,O,X,X,X
LIJSOTZ,X,X,O,O,X,X,X
LIJSOZT,X,X,O,O,X,X,X
LIJZTSO,X,X,X,O,X,X,X
LIJZTOS,X,X,X,O,O,X,X
LIJZSTO,X,X,X,O,X,X,X
LIJZSOT,X,X,O,O,O,X,X
LIJZOTS,X,X,X,O,O,X,X
LIJZOST,X,X,X,O,O,X,X
LIJOTSZ,X,X,X,O,X,X,O
LIJOTZS,X,X,X,O,O,X,X
LIJOSTZ,X,X,O,O,X,X,X
LIJOSZT,X,X,O,O,X,X,X
LIJOZTS,X,X,X,O,O,X,X
LIJOZST,X,X,X,O,O,X,X
LISTJZO,X,O,O,X,X,X,X
LISTJOZ,X,O,O,O,X,X,X
LISTZJO,O,O,O,X,O,O,X
LISTZOJ,O,O,O,X,O,O,X
LISTOJZ,X,O,O,O,X,X,X
LISTOZJ,O,O,O,X,O,O,X
LISJTZO,X,O,O,X,X,X,X
LISJTOZ,X,O,O,O,X,X,X
LISJZTO,O,O,X,O,X,X,X
LISJZOT,O,O,O,O,X,X,X
LISJOTZ,X,O,O,O,X,X,X
LISJOZT,O,O,O,O,X,X,X
LISZTJO,O,O,X,O,X,O,X
LISZTOJ,O,O,X,O,X,O,X
LISZJTO,O,O,X,O,X,O,X
LISZJOT,O,O,O,O,O,X,X
LISZOTJ,O,O,X,O,X,O,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,X,O,O,O,X,X,X
LISOTZJ,O,O,O,X,O,X,X
LISOJTZ,X,O,O,O,X,X,X
LISOJZT,O,O,O,O,X,X,X
LISOZTJ,O,O,X,O,X,X,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,O,X,X,O,O,O,X
LIZTJOS,O,X,X,O,O,O,X
LIZTSJO,O,X,X,O,O,O,X
LIZTSOJ,O,X,X,O,O,O,X
LIZTOJS,O,X,X,O,O,O,X
LIZTOSJ,O,X,X,X,O,O,X
LIZJTSO,O,X,X,O,X,O,X
LIZJTOS,O,X,X,O,O,O,X
LIZJSTO,O,O,X,O,X,O,X
LIZJSOT,O,O,O,O,O,X,X
LIZJOTS,O,X,X,O,O,X,X
LIZJOST,O,O,X,O,O,X,X
LIZSTJO,O,O,X,O,X,O,X
LIZSTOJ,O,O,X,O,X,O,X
LIZSJTO,O,O,X,O,X,O,X
LIZSJOT,O,O,O,O,O,X,X
LIZSOTJ,O,O,X,O,X,O,X
LIZSOJT,O,O,O,O,O,X,X
LIZOTJS,O,X,X,O,O,O,X
LIZOTSJ,O,X,X,X,O,O,X
LIZOJTS,O,X,X,O,O,X,X
LIZOJST,O,O,X,O,O,X,X
LIZOSTJ,O,O,X,O,X,O,X
LIZOSJT,O,O,X,O,O,X,X
LIOTJSZ,X,X,X,O,X,X,O
LIOTJZS,X,X,X,O,O,X,X
LIOTSJZ,O,O,X,X,X,X,O
LIOTSZJ,O,O,X,X,O,X,X
LIOTZJS,O,O,X,X,O,X,X
LIOTZSJ,O,O,X,X,O,X,X
LIOJTSZ,X,X,X,O,X,X,O
LIOJTZS,X,X,X,O,O,X,X
LIOJSTZ,X,X,O,O,X,X,X
LIOJSZT,X,X,O,O,X,X,X
LIOJZTS,X,X,X,O,O,X,X
LIOJZST,X,X,X,O,O,X,X
LIOSTJZ,X,O,O,O,X,X,X
LIOSTZJ,O,O,X,X,O,X,X
LIOSJTZ,X,O,O,O,X,X,X
LIOSJZT,O,O,O,O,X,X,X
LIOSZTJ,O,O,X,X,X,X,X
LIOSZJT,O,O,O,O,O,X,X
LIOZTJS,O,X,X,O,O,X,X
LIOZTSJ,O,X,X,X,O,X,X
LIOZJTS,O,X,X,O,O,X,X
LIOZJST,O,O,X,O,O,X,X
LIOZSTJ,O,O,X,X,X,X,X
LIOZSJT,O,O,X,O,O,X,X
LJTISZO,X,X,O,O,X,X,X
LJTISOZ,X,X,O,O,X,X,O
LJTIZSO,X,X,O,O,O,X,X
LJTIZOS,X,X,X,O,O,X,X
LJTIOSZ,X,X,O,O,X,X,O
LJTIOZS,X,X,X,O,O,X,X
LJTSIZO,X,X,O,O,X,X,X
LJTSIOZ,X,X,O,O,X,X,O
LJTSZIO,X,X,O,O,X,O,X
LJTSZOI,X,X,O,O,X,O,X
LJTSOIZ,X,X,O,O,X,X,O
LJTSOZI,X,X,O,O,X,O,X
LJTZISO,X,X,O,O,O,O,X
LJTZIOS,X,X,X,O,O,O,X
LJTZSIO,X,X,O,O,O,O,X
LJTZSOI,X,X,O,O,O,O,X
LJTZOIS,X,X,X,O,O,O,X
LJTZOSI,X,X,X,O,O,O,X
LJTOISZ,X,X,O,O,X,X,O
LJTOIZS,X,X,X,O,O,X,X
LJTOSIZ,X,X,O,O,X,X,O
LJTOSZI,X,X,O,O,X,O,X
LJTOZIS,X,X,X,O,O,O,X
LJTOZSI,X,X,X,O,O,O,X
LJITSZO,X,X,O,X,X,X,X
LJITSOZ,X,X,O,O,X,X,O
LJITZSO,X,X,O,X,O,X,X
LJITZOS,X,X,X,X,O,X,X
LJITOSZ,X,X,O,O,X,X,O
LJITOZS,X,X,X,O,O,X,X
LJISTZO,X,X,O,X,X,X,X
LJISTOZ,X,X,O,O,X,X,X
LJISZTO,X,X,X,O,X,X,X
LJISZOT,X,X,O,O,X,X,X
LJISOTZ,X,X,O,O,X,X,X
LJISOZT,X,X,O,O,X,X,X
LJIZTSO,X,X,X,O,X,X,X
LJIZTOS,X,X,X,O,O,X,X
LJIZSTO,X,X,X,O,X,X,X
LJIZSOT,X,X,O,O,O,X,X
LJIZOTS,X,X,X,O,O,X,X
LJIZOST,X,X,X,O,O,X,X
LJIOTSZ,X,X,X,O,X,X,O
LJIOTZS,X,X,X,O,O,X,X
LJIOSTZ,X,X,O,O,X,X,X
LJIOSZT,X,X,O,O,X,X,X
LJIOZTS,X,X,X,O,O,X,X
LJIOZST,X,X,X,O,O,X,X
LJSTIZO,X,X,O,O,X,X,X
LJSTIOZ,X,X,O,O,X,X,X
LJSTZIO,X,X,O,O,X,O,X
LJSTZOI,X,X,O,O,X,O,X
LJSTOIZ,X,X,O,O,X,X,X
LJSTOZI,X,X,O,O,X,O,X
LJSITZO,X,X,O,X,X,X,X
LJSITOZ,X,X,O,O,X,X,X
LJSIZTO,X,X,X,O,X,X,X
LJSIZOT,X,X,O,O,X,X,X
LJSIOTZ,X,X,O,O,X,X,X
LJSIOZT,X,X,O,O,X,X,X
LJSZTIO,X,X,X,O,X,O,X
LJSZTOI,X,X,X,O,X,O,X
LJSZITO,X,X,X,O,X,O,X
LJSZIOT,X,X,O,O,X,X,X
LJSZOTI,X,X,X,O,X,X,X
LJSZOIT,X,X,O,O,X,X,X
LJSOTIZ,X,X,O,O,X,X,X
LJSOTZI,X,X,O,O,X,X,X
LJSOITZ,X,X,O,O,X,X,X
LJSOIZT,X,X,O,O,X,X,X
LJSOZTI,X,X,X,O,X,X,X
LJSOZIT,X,X,O,O,X,X,X
LJZTISO,X,X,X,O,X,O,X
LJZTIOS,X,X,X,O,O,O,X
LJZTSIO,X,X,X,O,X,O,X
LJZTSOI,X,X,X,O,X,O,X
LJZTOIS,X,X,X,O,O,O,X
LJZTOSI,X,X,X,X,X,O,X
LJZITSO,X,X,X,O,X,O,X
LJZITOS,X,X,X,O,O,O,X
LJZISTO,X,X,X,O,X,O,X
LJZISOT,X,X,O,O,O,X,X
LJZIOTS,X,X,X,O,O,X,X
LJZIOST,X,X,X,O,O,X,X
LJZSTIO,X,X,X,O,X,O,X
LJZSTOI,X,X,X,O,X,O,X
LJZSITO,X,X,X,O,X,O,X
LJZSIOT,X,X,O,O,O,X,X
LJZSOTI,X,X,X,O,X,X,X
LJZSOIT,X,X,O,O,O,X,X
LJZOTIS,X,X,X,O,O,X,X
LJZOTSI,X,X,X,X,X,X,X
LJZOITS,X,X,X,O,O,X,X
LJZOIST,X,X,X,O,O,X,X
LJZOSTI,X,X,X,O,X,X,X
LJZOSIT,X,X,X,O,O,X,X
LJOTISZ,X,X,X,O,X,X,O
LJOTIZS,X,X,X,O,O,X,X
LJOTSIZ,X,X,X,O,X,X,O
LJOTSZI,X,X,X,O,X,X,X
LJOTZIS,X,X,X,O,O,X,X
LJOTZSI,X,X,X,O,O,X,X
