sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB
TSJOLZI,O,O,O,O,X,O,X
TSJOZIL,O,O,O,O,X,O,O
TSJOZLI,O,O,O,O,X,O,X
TSZILJO,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,X
TSZIJLO,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,O
TSZIOLJ,O,O,O,O,O,O,X
TSZIOJL,O,O,O,O,O,O,O
TSZLIJO,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,X
TSZLJIO,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,O
TSZJLIO,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,O,X
TSZOIJL,O,O,O,O,O,O,O
TSZOLIJ,O,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,O,X
TSOILJZ,O,O,O,O,X,X,O
TSOILZJ,O,O,O,O,O,O,X
TSOIJLZ,O,O,O,O,X,X,O
TSOIJZL,O,O,O,O,X,X,O
TSOIZLJ,O,O,O,O,O,O,X
TSOIZJL,O,O,O,O,O,O,O
TSOLIJZ,O,O,O,O,X,X,O
TSOLIZJ,O,O,O,O,O,O,X
TSOLJIZ,O,O,O,O,X,X,O
TSOLJZI,O,O,O,O,X,O,X
TSOLZIJ,O,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,O,X
TSOJILZ,O,O,O,O,X,X,O
TSOJIZL,O,O,O,O,X,X,O
TSOJLIZ,O,O,O,O,X,X,O
TSOJLZI,O,O,O,O,X,O,X
TSOJZIL,O,O,O,O,X,O,O
TSOJZLI,O,O,O,O,X,O,X
TSOZILJ,O,O,O,O,O,O,X
TSOZIJL,O,O,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,O,X
TZILJSO,O,O,O,O,O,O,X
TZILJOS,O,O,X,O,O,O,X
TZILSJO,O,O,O,O,O,O,X
TZILSOJ,O,O,O,O,O,O,X
TZILOJS,O,O,X,O,O,O,X
TZILOSJ,O,O,X,O,O,O,X
TZIJLSO,O,O,O,O,O,O,X
TZIJLOS,O,O,X,O,O,O,X
TZIJSLO,O,O,O,O,O,O,X
TZIJSOL,O,O,O,O,O,O,O
TZIJOLS,O,O,X,O,O,O,X
TZIJOSL,O,O,X,O,O,O,O
TZISLJO,O,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,O,X
TZISJLO,O,O,O,O,O,O,X
TZISJOL,O,O,O,O,O,O,O
TZISOLJ,O,O,O,O,O,O,X
TZISOJL,O,O,O,O,O,O,O
TZIOLJS,O,O,X,O,O,O,X
TZIOLSJ,O,O,X,O,O,O,X
TZIOJLS,O,O,X,O,O,O,X
TZIOJSL,O,O,X,O,O,O,O
TZIOSLJ,O,O,X,O,O,O,X
TZIOSJL,O,O,X,O,O,O,O
TZLIJSO,O,O,O,O,O,O,X
TZLIJOS,O,O,X,O,O,O,X
TZLISJO,O,O,O,O,O,O,X
TZLISOJ,O,O,O,O,O,O,X
TZLIOJS,O,O,X,O,O,O,X
TZLIOSJ,O,O,X,O,O,O,X
TZLJISO,O,O,O,O,O,O,X
TZLJIOS,O,O,X,O,O,O,X
TZLJSIO,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,X
TZLJOIS,O,O,X,O,O,O,X
TZLJOSI,O,O,X,O,O,O,X
TZLSIJO,O,O,O,O,O,O,X
TZLSIOJ,O,O,O,O,O,O,X
TZLSJIO,O,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O,X
