sequence,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFRcB3gBcmBTiBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFmcB/lBFhBSnBUq?BTrB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgBOmB0hBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFlcB/lBamBTiB+r?BUqB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgB0hBOmBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/lBFhBTiB+rBim?BUqB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFicBTgBGiBVrBUq?B3rB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFUdBFhBXlBCnBzl?BxvB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFqhB/iBzgBVqBUm?BxvB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhF/iBlmBRqBcqBTr?BCrB,v115@6gE8FeD8FeC8EeF8DeD8Jez7IvhFUdBZlBWnBqqB/r?BlpB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFTcB/iB0gBVqBur?ByvB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFUdBTgBerBCnBFq?B/rB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgB0hBerB6r?BFqB,v115@6gE8FeD8FeC8EeF8DeD8JeR8IvhF0gBTiBFqBXrB6r?BmpB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFVhB/lBTiBumBKr?BUqB,v115@6gE8FeD8FeC8EeF8DeD8JeU8IvhF/iBTgBlmBRqBmp?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFShB/iBlmBRqBTq?BUrB,v115@6gE8FeD8FeC8EeF8DeD8JeOAJvhFTcB/iBqlBlmB0k?BxvB,v115@6gE8FeD8FeC8EeF8DeD8JeU9IvhFxgBmfBzgBFqBXr?BCsB
TIJZOSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJOSZL,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TISLJOZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TISLZOJ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TISLOJZ,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X
TISLOZJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,O
TISJLZO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TISJLOZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TISJZLO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X
TISJOZL,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TISZLJO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TISZLOJ,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TISZJLO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,O,O,X
TISZOJL,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TISOLJZ,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X
TISOLZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X
TISOJLZ,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,X
TISOJZL,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
TISOZLJ,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X
TISOZJL,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
TIZLJSO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIZOLJS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZOSJL,X,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOLJZS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOJSZL,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
TIOSJLZ,O,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TIOSJZL,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
TIOSZJL,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
TIOZLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOZSJL,X,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJSOZI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJOSZI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
TLSIJOZ,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSIZOJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSJIZO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLSJZOI,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TLSJOZI,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSZJIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSZJOI,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
TLSZOJI,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O
TLSOJIZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSOJZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
TLSOZJI,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZSOJI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZOSJI,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOISZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOJSZI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOSIZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOSZJI,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLOZIJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
