sequence,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeWCJvhFxdBigBTjBF?mBXnBUrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmiBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmhBz?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?mBFnB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBXhBm?iBFnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcBXeBenBS?oBFmBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcByiB+jBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je37IvhFUdBGeBVoBx?lByrBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFehBSiBTeB1?rBxsB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFGeBTgBUjB/?rBFnBirB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFWiBxdBTjBF?mBXnBKrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je1AJvhF0cB+jB3iBx?lBinBTrB
TLIOJZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,O,O,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,O,X,X,X,O,O,X,X,O,O,X,X,X
TLJIZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,O,X,O,X,X,O,O,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,X,O,O,O,X,O,O,X,X,X
TLJZIOS,O,X,X,X,O,O,O,X,O,O,X,X,X
TLJZSIO,O,X,O,X,O,O,O,X,O,O,X,X,X
TLJZSOI,O,X,O,X,O,O,O,X,X,X,X,X,X
TLJZOIS,O,X,X,X,O,O,O,X,O,O,X,X,X
TLJZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJOIZS,O,X,X,X,O,X,X,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,O,O,X,X,O,X,X,X,X
TLJOZSI,O,X,X,X,O,O,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,X,O,O,X,O,X,X,X,X
TLSJZOI,O,O,O,X,X,O,O,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,X,X,O,X,O,O,X,X,X
TLSZIOJ,X,X,X,O,X,X,X,X,O,O,X,X,X
TLSZJIO,O,X,O,O,X,O,O,X,O,O,X,X,X
TLSZJOI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,O,O,O,X,O,O,X,X,X
TLZIJOS,O,X,X,O,O,O,O,X,O,O,X,X,X
TLZISJO,O,X,O,X,O,X,X,X,O,O,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLZIOJS,O,X,X,O,O,X,X,X,O,O,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,O,O,X,X,X
TLZJISO,O,X,O,O,O,O,O,X,O,O,X,X,X
TLZJIOS,O,X,X,O,O,O,O,X,O,O,X,X,X
TLZJSIO,O,X,O,O,O,O,O,X,O,O,X,X,X
TLZJSOI,O,X,O,X,O,O,O,X,X,X,X,X,X
TLZJOIS,O,X,X,O,O,O,O,X,O,O,X,X,X
TLZJOSI,O,X,X,O,O,O,O,X,X,X,X,X,X
TLZSIJO,O,X,O,O,O,O,O,X,O,O,X,X,X
TLZSIOJ,X,X,X,O,X,O,X,X,O,O,X,X,X
TLZSJIO,O,X,O,O,O,O,O,X,O,O,X,X,X
TLZSJOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TLZSOIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZSOJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,O,O,X,X,O,O,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,O,O,X,X,X
TLZOJIS,O,X,X,O,O,O,O,X,O,O,X,X,X
TLZOJSI,O,X,X,O,O,O,O,X,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOIJZS,O,X,X,X,X,O,X,X,O,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLOIZJS,O,X,X,X,X,O,X,X,O,O,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOJIZS,O,X,X,X,X,O,X,X,O,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,O,X,X,O,X,X,X,X
TLOJZSI,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZJI,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,O,X,X,O,O,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,O,O,X,X,X
TLOZJIS,O,X,X,O,X,O,X,X,O,O,X,X,X
TLOZJSI,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZSJI,X,O,X,O,X,O,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
TJILSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILZSO,O,X,X,X,X,O,X,X,O,O,X,X,O
TJILZOS,O,X,X,X,X,O,X,X,O,O,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
TJISLOZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,O,X,X,X,O
TJISZOL,X,X,X,X,X,X,X,X,X,X,X,X,O
TJISOLZ,X,X,X,X,X,X,X,X,O,X,X,X,O
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZLSO,X,X,X,X,O,O,X,X,O,O,X,X,O
TJIZLOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TJIZSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
TJIZSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
TJIZOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
TJIOLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIOZLS,X,X,X,X,O,X,X,X,X,O,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
TJLISZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZSO,O,X,X,X,O,O,X,X,O,O,X,X,X
TJLIZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLSZIO,O,X,O,X,X,O,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,X,O,O,O,O,O,O,X,X,X
TJLZIOS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJLZSIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TJLZSOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TJLZOIS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJLZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLOIZS,O,X,X,X,O,X,X,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,O,O,X,X,O,X,X,X,X
TJLOZSI,O,X,X,X,O,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,O,X,X,X,O
TJSILOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,O,X,X,X,O
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSIOLZ,O,O,X,X,X,X,X,X,O,X,X,X,O
TJSIOZL,X,O,X,X,X,X,X,X,X,X,X,X,O
TJSLIZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TJSLZIO,O,X,O,X,X,O,X,O,O,X,X,X,X
TJSLZOI,O,O,O,X,X,O,X,O,X,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,X,O,X,O,X,X,X,X,X
TJSZIOL,O,X,O,X,X,O,X,O,X,X,X,X,X
TJSZLIO,O,X,O,X,O,O,X,O,O,X,X,X,X
TJSZLOI,O,O,O,X,O,O,X,O,X,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X,O,X,X,X,X,X
TJSZOLI,O,O,O,X,O,O,X,O,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,X,O
TJSOIZL,X,O,X,X,X,X,X,X,X,X,X,X,O
TJSOLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,O,O,O,X,O,O,X,X,X
TJZILOS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJZISLO,X,X,X,X,X,O,O,O,O,O,X,X,X
TJZISOL,O,X,X,X,X,O,X,O,X,O,X,X,X
TJZIOLS,O,X,X,X,O,O,O,X,X,O,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X,X,O,X,X,X
TJZLISO,O,X,O,X,O,O,O,O,O,O,X,X,X
TJZLIOS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJZLSIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TJZLSOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TJZLOIS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJZLOSI,O,X,X,X,O,O,O,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,O,O,O,X,O,X,X,X
TJZSIOL,O,X,O,X,X,O,X,O,X,O,X,X,X
TJZSLIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TJZSLOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TJZSOIL,O,X,O,X,X,O,X,O,X,X,X,X,X
TJZSOLI,O,X,O,X,O,O,X,O,X,X,X,X,X
TJZOILS,O,X,X,X,O,O,O,X,X,O,X,X,X
TJZOISL,O,X,X,X,X,O,X,X,X,O,X,X,X
TJZOLIS,O,X,X,X,O,O,O,X,O,O,X,X,X
TJZOLSI,O,X,X,X,O,O,O,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,O,X,O,X,X,X,X,X
TJZOSLI,O,X,X,X,O,O,X,O,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X,X,X,O,X,X,X,O
TJOILZS,O,X,X,X,X,X,X,X,O,X,X,X,O
TJOISLZ,X,X,X,X,X,X,X,X,O,X,X,X,O
TJOISZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOIZLS,X,X,X,X,O,X,X,X,X,X,X,X,O
TJOIZSL,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOLISZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOLIZS,O,X,X,X,O,X,X,X,O,X,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,O,O,X,X,O,X,X,X,X
TJOLZSI,O,X,X,X,O,O,X,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X,X,X,O
TJOSIZL,X,O,X,X,X,X,X,X,X,X,X,X,O
TJOSLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,O,O,X,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,O,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,O,O,X,X,O,X,X,X,X
TJOZLSI,O,X,X,X,O,O,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,O,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,O,O,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,O,O,X,X,X
TSIJLZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSIJZLO,O,X,X,X,X,X,X,X,O,X,X,X,X
