sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TOSIJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TOSIJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
TOSIZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TOSIZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TOSLIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOSLIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOSLJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TOSLJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TOSLZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TOSLZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TOSJILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TOSJIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TOSJLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TOSJLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TOSJZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TOSJZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TOSZILJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOSZIJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TOSZLIJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOSZLJI,X,O,O,X,X,X,X,X,X,X,X,X,X
TOSZJIL,X,O,O,O,X,X,X,X,X,O,X,X,X
TOSZJLI,X,O,O,X,X,X,X,X,O,O,X,X,X
TOZILJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZIJSL,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZISLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZISJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZLIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZLJSI,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZLSJI,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZJISL,X,O,O,O,X,X,X,X,X,O,X,X,X
TOZJLIS,X,O,O,X,X,X,X,X,O,O,X,X,X
TOZJLSI,X,O,O,X,X,X,X,X,O,O,X,X,X
TOZJSIL,X,O,O,O,X,X,X,X,X,O,X,X,X
TOZJSLI,X,O,O,X,X,X,X,X,O,O,X,X,X
TOZSILJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZSIJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZSLIJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZSLJI,X,O,O,X,X,X,X,X,X,X,X,X,X
TOZSJIL,X,O,O,O,X,X,X,X,X,O,X,X,X
TOZSJLI,X,O,O,X,X,X,X,X,O,O,X,X,X
ITLJSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITLJZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITLJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITLJOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITLJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
ITLSJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITLSJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITLSZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITLSOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITLZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITLOJZS,O,O,X,X,O,O,X,X,X,X,X,X,O
ITLOSJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITLOSZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITLOZJS,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLOZSJ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITJLSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITJLZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITJLZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITJLOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
ITJSLZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITJSZLO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITJSZOL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
ITJSOZL,X,X,X,X,X,O,X,X,X,X,O,X,X
ITJZLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
ITJZLOS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITJZSLO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITJZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,X,X,O,X,O,X,X
ITJOLZS,X,X,X,X,X,O,X,X,O,X,O,X,X
ITJOSLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
ITJOSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
ITJOZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
ITJOZSL,X,X,X,X,X,O,X,X,X,X,O,X,X
ITSLJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITSLJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITSLZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITSLOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
ITSJLZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ITSJZLO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITSJZOL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
ITSJOZL,X,X,X,X,X,O,X,X,X,X,O,X,X
ITSZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSZJLO,O,X,O,X,X,X,X,X,O,X,X,X,X
ITSZJOL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSZOJL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ITSOJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
ITSOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ITSOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITZLJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,X,X,X,X,O,X,X,X,X
ITZJLOS,O,X,O,X,X,X,X,X,O,X,X,X,X
ITZJSLO,O,X,O,X,X,X,X,X,O,X,X,X,X
ITZJSOL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZSJLO,O,X,O,X,X,X,X,X,O,X,X,X,X
ITZSJOL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZSOJL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ITOJLZS,X,O,X,X,X,O,X,X,O,O,X,X,X
ITOJSLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ITOJSZL,X,O,X,X,X,O,X,X,X,O,X,X,X
ITOJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,O,X,X,X,O,X,X,X
ITOSLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ITOSJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
ITOSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,X,X,X,O,X,X,X,X
ILTJSOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
ILTJZSO,O,X,X,X,O,X,X,X,O,X,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,O,X,X,X,O,O,X,X,O,X,X,X,X
ILTJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
ILTSJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
ILTSJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
ILTSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTSOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTOJZS,O,X,X,X,O,O,X,X,X,X,X,X,O
ILTOSJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTOSZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILTOZJS,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTOZSJ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILJTSZO,X,X,O,O,X,X,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJSTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ILJSZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
ILJSZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILJSOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ILJSOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILJZTSO,O,X,O,O,X,X,X,X,O,X,X,O,X
ILJZTOS,O,X,X,O,X,X,X,X,O,X,X,O,X
ILJZSTO,O,X,O,O,X,X,X,X,O,X,X,O,X
ILJZSOT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,O,X,O,O,X,X,X,X,O,X,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILJOZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,O,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
ILSTZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILSTOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
ILSJTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ILSJZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
ILSJZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILSJOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ILSJOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
ILSZTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
ILSZTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
ILSZJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
ILSZJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILSOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ILSOTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
ILSOJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,O,X,X,X,O,X
ILZTJOS,O,X,X,O,X,X,X,X,X,X,X,O,X
ILZTSJO,O,X,O,O,X,X,X,O,X,X,X,O,X
ILZTSOJ,O,X,O,O,X,X,X,O,X,X,X,O,X
ILZTOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,O,X,X,X,O,X,X,X,O,X
ILZJTSO,O,X,O,O,X,X,X,X,X,X,X,O,X
ILZJTOS,O,X,X,O,X,X,X,X,X,X,X,O,X
ILZJSTO,O,X,O,O,X,X,X,O,X,X,X,O,X
ILZJSOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILZSTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
ILZSTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
ILZSJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
ILZSJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
ILZSOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILZOTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,O,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,O,X,X,X,X,X,X,O
ILOTJZS,X,X,X,X,X,O,X,X,X,X,X,X,O
ILOTSJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ILOTSZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
ILOTZJS,X,X,X,X,X,O,X,X,X,X,X,X,O
ILOTZSJ,X,X,X,X,X,O,X,X,X,X,X,X,O
ILOJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ILOSTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
ILOSJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLSOZ,O,X,X,X,X,O,X,X,O,X,X,X,X
IJTLZSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,O,X,X,X,X,O,X,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,O,X,X,O,X,X,X,X
IJTSLZO,O,X,O,O,X,X,X,X,O,X,X,X,X
IJTSLOZ,O,X,X,O,X,O,X,X,O,X,X,X,X
IJTSZLO,X,X,O,O,X,X,X,X,O,X,X,X,X
IJTSZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,O,X,O,X,X,O,O,O,X,X
IJTSOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
IJTZLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTZSLO,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X,O,X,O,X,X
IJTOLZS,X,X,X,X,X,O,X,X,O,X,O,X,X
IJTOSLZ,X,X,X,X,X,O,X,X,O,X,O,X,X
IJTOSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
IJTOZSL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJLTSZO,X,X,O,O,X,X,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
IJLSZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,O,O,X,X,X
IJLSOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJLZTSO,O,X,O,O,X,X,X,X,O,X,X,O,X
IJLZTOS,O,X,X,O,X,X,X,X,O,X,X,O,X
IJLZSTO,O,X,O,O,X,X,X,X,O,X,X,O,X
IJLZSOT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,O,X,O,O,X,X,X,X,O,X,X,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X,O,X,X,X,X
IJLOSZT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJLOZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,O,X,X,X,X
IJSTLZO,O,X,O,O,X,X,X,X,O,X,X,X,X
IJSTLOZ,O,X,X,O,X,O,X,X,O,X,X,X,X
IJSTZLO,X,X,O,O,X,X,X,X,O,X,X,X,X
IJSTZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,O,X,X,O,O,O,X,X
IJSTOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
IJSLTZO,X,X,O,O,X,X,X,X,O,X,X,X,X
IJSLTOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
IJSLZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
IJSLZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJSLOTZ,O,X,X,O,X,X,X,X,O,O,X,X,X
IJSLOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJSZTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IJSZLTO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJSZLOT,O,X,O,O,X,X,O,X,O,X,X,X,X
IJSZOTL,O,X,O,O,X,X,O,X,X,O,X,X,X
IJSZOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,O,X,X,O,O,X,X,X
IJSOTZL,X,X,X,O,X,O,X,X,X,O,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,X,O,O,X,X,X
IJSOLZT,X,X,O,O,X,X,X,X,O,X,X,X,X
IJSOZTL,X,X,O,O,X,X,X,X,X,O,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,X,X,X,X,O,X,O,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZTSOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZLTSO,O,X,O,X,X,X,X,X,O,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZLSOT,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,O,X,X,X,X,X,O,X,X,X,X
IJZSTLO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZSTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZSLTO,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZSLOT,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZSOTL,O,X,O,O,X,X,O,X,X,O,X,X,X
IJZSOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZOSLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,X,X,O,O,X,X,X
IJOTLZS,X,X,X,X,X,O,X,X,O,O,X,X,X
IJOTSLZ,X,X,X,O,X,O,X,X,O,O,X,X,X
IJOTSZL,X,X,X,O,X,O,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
