sequence,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBOiB6jBcmBzi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBcmBmiBTi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBKiBzdB+jBcm?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBFiB8nBTm?BOsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXdBTeBamBWoB0h?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFTeBFhB3mBCoBcn?BmrB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFmcBCeBFhBTjB3m?BcsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFCeB/nBTjB0mBFm?BmrB
TIJOSLZ,O,X,O,X,O,X,O,X
TIJOSZL,O,X,O,X,X,X,O,X
TIJOZLS,O,O,O,X,X,X,O,X
TIJOZSL,O,O,O,X,X,X,O,X
TISLJZO,O,O,O,X,X,O,X,X
TISLJOZ,X,X,O,X,X,O,X,X
TISLZJO,O,O,O,X,X,O,O,X
TISLZOJ,O,O,O,X,X,O,O,X
TISLOJZ,O,X,X,X,X,O,X,X
TISLOZJ,O,X,X,O,X,O,O,X
TISJLZO,O,O,O,X,X,O,X,X
TISJLOZ,X,X,O,X,X,O,X,X
TISJZLO,O,O,O,X,X,X,O,X
TISJZOL,O,O,O,X,X,X,O,X
TISJOLZ,O,X,O,X,X,X,O,X
TISJOZL,O,X,O,X,X,X,O,X
TISZLJO,O,O,O,X,X,O,O,X
TISZLOJ,O,O,O,X,X,O,O,X
TISZJLO,O,O,O,X,X,X,O,X
TISZJOL,O,O,O,X,X,X,O,X
TISZOLJ,O,O,O,X,X,X,O,O
TISZOJL,O,O,O,X,X,X,O,O
TISOLJZ,O,X,X,X,X,O,O,X
TISOLZJ,O,X,X,O,X,O,O,O
TISOJLZ,O,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X,O,X
TISOZLJ,O,X,X,O,X,X,O,O
TISOZJL,O,X,X,O,X,X,O,O
TIZLJSO,O,O,O,X,X,X,O,X
TIZLJOS,O,O,O,X,X,X,O,X
TIZLSJO,O,O,O,X,X,X,O,X
TIZLSOJ,O,O,O,X,X,X,O,X
TIZLOJS,O,O,O,O,X,X,O,X
TIZLOSJ,O,O,O,O,X,X,O,X
TIZJLSO,O,O,O,X,X,X,O,X
TIZJLOS,O,O,O,X,X,X,O,X
TIZJSLO,O,O,O,X,X,X,O,X
TIZJSOL,O,O,O,X,X,X,O,X
TIZJOLS,O,O,O,X,X,X,O,X
TIZJOSL,O,O,O,X,X,X,O,X
TIZSLJO,O,O,O,X,X,O,O,X
TIZSLOJ,O,O,O,X,X,O,O,X
TIZSJLO,O,O,O,X,X,X,O,X
TIZSJOL,O,O,O,X,X,X,O,X
TIZSOLJ,O,O,O,X,X,X,O,O
TIZSOJL,O,O,O,X,X,X,O,O
TIZOLJS,O,O,O,O,X,X,O,X
TIZOLSJ,O,O,O,O,X,X,O,X
TIZOJLS,O,O,O,O,X,X,O,X
TIZOJSL,O,O,O,O,X,X,O,X
TIZOSLJ,O,O,O,O,X,X,O,O
TIZOSJL,O,O,O,O,X,X,O,O
TIOLJSZ,O,X,O,X,X,X,O,X
TIOLJZS,O,O,O,X,X,X,O,X
TIOLSJZ,O,X,X,X,X,X,O,X
TIOLSZJ,O,X,X,O,X,X,O,O
TIOLZJS,O,O,O,O,X,X,O,X
TIOLZSJ,O,O,O,O,X,X,O,X
TIOJLSZ,O,X,O,X,X,X,O,X
TIOJLZS,O,O,O,X,X,X,O,X
TIOJSLZ,O,X,O,X,X,X,O,X
TIOJSZL,O,X,O,X,X,X,O,X
TIOJZLS,O,O,O,X,X,X,O,X
TIOJZSL,O,O,O,X,X,X,O,X
TIOSLJZ,O,X,X,X,X,O,O,X
TIOSLZJ,O,X,X,O,X,O,O,O
TIOSJLZ,O,X,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,X,O,X
TIOSZLJ,O,X,X,O,X,X,O,O
TIOSZJL,O,X,X,O,X,X,O,O
TIOZLJS,O,O,O,O,X,X,O,X
TIOZLSJ,O,O,O,O,X,X,O,X
TIOZJLS,O,O,O,O,X,X,O,X
TIOZJSL,O,O,O,O,X,X,O,X
TIOZSLJ,O,O,O,O,X,X,O,O
TIOZSJL,O,O,O,O,X,X,O,O
TLIJSZO,O,O,O,X,O,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,X
TLIJZSO,O,O,O,X,O,X,O,X
TLIJZOS,O,O,O,X,O,X,O,X
TLIJOSZ,O,X,O,X,O,X,O,X
TLIJOZS,O,O,O,X,O,X,O,X
TLISJZO,O,O,O,X,O,O,X,X
TLISJOZ,X,X,O,X,O,O,X,X
TLISZJO,O,O,O,X,X,O,O,X
TLISZOJ,O,O,O,X,X,O,O,X
TLISOJZ,O,X,X,X,X,O,X,X
TLISOZJ,O,X,X,O,X,O,O,X
TLIZJSO,O,O,O,X,O,X,O,X
TLIZJOS,O,O,O,X,O,X,O,X
TLIZSJO,O,O,O,X,X,X,O,X
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,O,O,O,O,X,X,O,X
TLIZOSJ,O,O,O,O,X,X,O,X
TLIOJSZ,O,X,O,X,O,X,O,X
TLIOJZS,O,O,O,X,O,X,O,X
TLIOSJZ,O,X,X,X,X,O,O,X
TLIOSZJ,O,X,X,O,X,O,O,X
TLIOZJS,O,O,O,O,X,X,O,X
TLIOZSJ,O,O,O,O,X,X,O,X
TLJISZO,O,O,O,X,O,X,X,X
TLJISOZ,X,X,O,X,O,X,X,X
TLJIZSO,O,O,O,X,O,X,O,X
TLJIZOS,O,O,O,X,O,X,O,X
TLJIOSZ,O,X,O,X,O,X,O,X
TLJIOZS,O,O,O,X,O,X,O,X
TLJSIZO,O,O,O,X,O,X,X,X
TLJSIOZ,X,X,O,X,O,X,X,X
TLJSZIO,O,O,O,X,O,X,X,X
TLJSZOI,O,O,O,X,O,X,X,X
TLJSOIZ,X,X,O,X,O,X,X,X
TLJSOZI,X,X,O,X,O,X,X,X
TLJZISO,O,O,O,X,O,X,O,X
TLJZIOS,O,O,O,X,O,X,O,X
TLJZSIO,O,O,O,X,O,X,O,X
TLJZSOI,O,O,O,X,O,X,X,X
TLJZOIS,O,O,O,X,O,X,O,X
TLJZOSI,O,O,O,X,O,X,O,X
TLJOISZ,O,X,O,X,O,X,O,X
TLJOIZS,O,O,O,X,O,X,O,X
TLJOSIZ,O,X,O,X,O,X,O,X
TLJOSZI,O,X,O,X,O,X,X,X
TLJOZIS,O,O,O,X,O,X,O,X
TLJOZSI,O,O,O,X,O,X,X,X
TLSIJZO,O,O,O,X,O,O,X,X
TLSIJOZ,X,X,O,X,O,O,X,X
TLSIZJO,O,O,O,X,X,O,O,X
TLSIZOJ,O,O,O,X,X,O,O,X
TLSIOJZ,O,X,X,X,X,O,X,X
TLSIOZJ,O,X,X,O,X,O,O,X
TLSJIZO,O,O,O,X,O,O,X,X
TLSJIOZ,X,X,O,X,O,O,X,X
TLSJZIO,O,O,O,X,O,O,X,X
TLSJZOI,O,O,O,X,O,O,X,X
TLSJOIZ,X,X,O,X,O,O,X,X
TLSJOZI,X,X,O,X,O,O,X,X
TLSZIJO,O,O,O,X,X,O,O,X
TLSZIOJ,O,O,O,X,X,O,O,X
TLSZJIO,O,O,O,X,X,O,O,X
TLSZJOI,O,O,O,X,X,O,O,X
TLSZOIJ,O,O,O,X,X,O,O,X
TLSZOJI,O,O,O,X,X,O,O,X
TLSOIJZ,O,X,X,X,X,O,X,X
TLSOIZJ,O,X,X,O,X,O,O,X
TLSOJIZ,O,X,X,X,X,O,X,X
TLSOJZI,O,X,X,X,X,O,X,X
TLSOZIJ,O,X,X,O,X,O,O,X
TLSOZJI,O,X,X,O,X,O,O,X
TLZIJSO,O,O,O,X,O,X,O,X
TLZIJOS,O,O,O,X,O,X,O,X
TLZISJO,O,O,O,X,X,X,O,X
TLZISOJ,O,O,O,X,X,X,X,X
TLZIOJS,O,O,O,O,X,X,O,X
TLZIOSJ,O,O,O,O,X,X,O,X
TLZJISO,O,O,O,X,O,X,O,X
TLZJIOS,O,O,O,X,O,X,O,X
TLZJSIO,O,O,O,X,O,X,O,X
TLZJSOI,O,O,O,X,O,X,X,X
TLZJOIS,O,O,O,X,O,X,O,X
TLZJOSI,O,O,O,X,O,X,O,X
TLZSIJO,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,O,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,O,O,O,X,X,O,X
TLZOISJ,O,O,O,O,X,X,O,X
TLZOJIS,O,O,O,O,X,X,O,X
TLZOJSI,O,O,O,O,X,X,O,X
TLZOSIJ,O,O,O,O,X,X,O,X
TLZOSJI,O,O,O,O,X,X,O,X
TLOIJSZ,O,X,O,X,O,X,O,X
TLOIJZS,O,O,O,X,O,X,O,X
TLOISJZ,O,X,X,X,X,O,O,X
TLOISZJ,O,X,X,O,X,O,O,X
TLOIZJS,O,O,O,O,X,X,O,X
TLOIZSJ,O,O,O,O,X,X,O,X
TLOJISZ,O,X,O,X,O,X,O,X
TLOJIZS,O,O,O,X,O,X,O,X
TLOJSIZ,O,X,O,X,O,X,O,X
TLOJSZI,O,X,O,X,O,X,X,X
TLOJZIS,O,O,O,X,O,X,O,X
TLOJZSI,O,O,O,X,O,X,X,X
TLOSIJZ,O,X,X,X,X,O,O,X
TLOSIZJ,O,X,X,O,X,O,O,X
TLOSJIZ,O,X,X,X,X,O,O,X
TLOSJZI,O,X,X,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,O,O,X
TLOSZJI,O,X,X,O,X,O,O,X
TLOZIJS,O,O,O,O,X,X,O,X
TLOZISJ,O,O,O,O,X,X,O,X
TLOZJIS,O,O,O,O,X,X,O,X
TLOZJSI,O,O,O,O,X,X,O,X
TLOZSIJ,O,O,O,O,X,X,O,X
TLOZSJI,O,O,O,O,X,X,O,X
TJILSZO,O,O,O,X,O,X,X,X
TJILSOZ,X,X,O,X,O,X,X,X
TJILZSO,O,O,O,X,O,X,O,X
TJILZOS,O,O,O,X,O,X,O,X
TJILOSZ,O,X,O,X,O,X,O,X
TJILOZS,O,O,O,X,O,X,O,X
TJISLZO,O,O,O,X,O,O,X,X
TJISLOZ,X,X,O,X,O,O,X,X
TJISZLO,O,O,O,X,X,X,O,X
TJISZOL,O,O,O,X,X,X,O,X
TJISOLZ,O,X,O,X,O,X,O,X
TJISOZL,O,X,O,X,X,X,O,X
TJIZLSO,O,O,O,X,X,X,O,X
TJIZLOS,O,O,O,X,X,X,O,X
TJIZSLO,O,O,O,X,X,X,O,X
TJIZSOL,O,O,O,X,X,X,O,X
TJIZOLS,O,O,O,X,X,X,O,X
TJIZOSL,O,O,O,X,X,X,O,X
TJIOLSZ,O,X,O,X,O,X,O,X
TJIOLZS,O,O,O,X,O,X,O,X
TJIOSLZ,O,X,O,X,O,X,O,X
TJIOSZL,O,X,O,X,X,X,O,X
TJIOZLS,O,O,O,X,X,X,O,X
TJIOZSL,O,O,O,X,X,X,O,X
TJLISZO,O,O,O,X,O,X,X,X
TJLISOZ,X,X,O,X,O,X,X,X
TJLIZSO,O,O,O,X,O,X,O,X
TJLIZOS,O,O,O,X,O,X,O,X
TJLIOSZ,O,X,O,X,O,X,O,X
TJLIOZS,O,O,O,X,O,X,O,X
TJLSIZO,O,O,O,X,O,X,X,X
TJLSIOZ,X,X,O,X,O,X,X,X
TJLSZIO,O,O,O,X,O,X,X,X
TJLSZOI,O,O,O,X,O,X,X,X
TJLSOIZ,X,X,O,X,O,X,X,X
TJLSOZI,X,X,O,X,O,X,X,X
TJLZISO,O,O,O,X,O,X,O,X
TJLZIOS,O,O,O,X,O,X,O,X
TJLZSIO,O,O,O,X,O,X,O,X
TJLZSOI,O,O,O,X,O,X,X,X
TJLZOIS,O,O,O,X,O,X,O,X
TJLZOSI,O,O,O,X,O,X,O,X
TJLOISZ,O,X,O,X,O,X,O,X
TJLOIZS,O,O,O,X,O,X,O,X
TJLOSIZ,O,X,O,X,O,X,O,X
TJLOSZI,O,X,O,X,O,X,X,X
TJLOZIS,O,O,O,X,O,X,O,X
TJLOZSI,O,O,O,X,O,X,X,X
TJSILZO,O,O,O,X,O,O,X,X
TJSILOZ,X,X,O,X,O,O,X,X
TJSIZLO,O,O,O,X,X,X,O,X
TJSIZOL,O,O,O,X,X,X,O,X
TJSIOLZ,O,X,O,X,O,X,O,X
TJSIOZL,O,X,O,X,X,X,O,X
TJSLIZO,O,O,O,X,O,O,X,X
TJSLIOZ,X,X,O,X,O,O,X,X
TJSLZIO,O,O,O,X,O,O,X,X
TJSLZOI,O,O,O,X,O,O,X,X
TJSLOIZ,X,X,O,X,O,O,X,X
TJSLOZI,X,X,O,X,O,O,X,X
TJSZILO,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,X,O,X,O,X
TJSZLOI,O,O,O,X,O,X,O,X
TJSZOIL,O,O,O,X,X,X,O,X
TJSZOLI,O,O,O,X,O,X,O,X
TJSOILZ,O,X,O,X,O,X,O,X
TJSOIZL,O,X,O,X,X,X,O,X
TJSOLIZ,O,X,O,X,O,X,O,X
TJSOLZI,O,X,O,X,O,X,X,X
TJSOZIL,O,X,O,X,X,X,O,X
TJSOZLI,O,X,O,X,O,X,O,X
TJZILSO,O,O,O,X,X,X,O,X
TJZILOS,O,O,O,X,X,X,O,X
TJZISLO,O,O,O,X,X,X,O,X
TJZISOL,O,O,O,X,X,X,O,X
TJZIOLS,O,O,O,X,X,X,O,X
TJZIOSL,O,O,O,X,X,X,O,X
TJZLISO,O,O,O,X,O,X,O,X
TJZLIOS,O,O,O,X,O,X,O,X
TJZLSIO,O,O,O,X,O,X,O,X
TJZLSOI,O,O,O,X,O,X,X,X
TJZLOIS,O,O,O,X,O,X,O,X
TJZLOSI,O,O,O,X,O,X,O,X
TJZSILO,O,O,O,X,X,X,O,X
TJZSIOL,O,O,O,X,X,X,O,X
TJZSLIO,O,O,O,X,O,X,O,X
TJZSLOI,O,O,O,X,O,X,X,X
TJZSOIL,O,O,O,X,X,X,O,X
TJZSOLI,O,O,O,X,O,X,O,X
TJZOILS,O,O,O,X,X,X,O,X
TJZOISL,O,O,O,X,X,X,O,X
TJZOLIS,O,O,O,X,O,X,O,X
TJZOLSI,O,O,O,X,O,X,O,X
TJZOSIL,O,O,O,X,X,X,O,X
TJZOSLI,O,O,O,X,O,X,O,X
TJOILSZ,O,X,O,X,O,X,O,X
TJOILZS,O,O,O,X,O,X,O,X
TJOISLZ,O,X,O,X,O,X,O,X
TJOISZL,O,X,O,X,X,X,O,X
TJOIZLS,O,O,O,X,X,X,O,X
TJOIZSL,O,O,O,X,X,X,O,X
TJOLISZ,O,X,O,X,O,X,O,X
TJOLIZS,O,O,O,X,O,X,O,X
TJOLSIZ,O,X,O,X,O,X,O,X
TJOLSZI,O,X,O,X,O,X,X,X
TJOLZIS,O,O,O,X,O,X,O,X
TJOLZSI,O,O,O,X,O,X,X,X
TJOSILZ,O,X,O,X,O,X,O,X
TJOSIZL,O,X,O,X,X,X,O,X
TJOSLIZ,O,X,O,X,O,X,O,X
TJOSLZI,O,X,O,X,O,X,X,X
TJOSZIL,O,X,O,X,X,X,O,X
TJOSZLI,O,X,O,X,O,X,O,X
TJOZILS,O,O,O,X,X,X,O,X
TJOZISL,O,O,O,X,X,X,O,X
TJOZLIS,O,O,O,X,O,X,O,X
TJOZLSI,O,O,O,X,O,X,O,X
TJOZSIL,O,O,O,X,X,X,O,X
TJOZSLI,O,O,O,X,O,X,O,X
TSILJZO,O,O,O,X,X,O,X,X
TSILJOZ,X,X,O,X,X,O,X,X
TSILZJO,O,O,O,X,X,O,O,X
TSILZOJ,O,O,O,X,X,O,O,X
TSILOJZ,O,X,X,X,X,O,X,X
TSILOZJ,O,X,X,O,X,O,O,X
TSIJLZO,O,O,O,X,X,O,X,X
TSIJLOZ,X,X,O,X,X,O,X,X
TSIJZLO,O,O,O,X,X,X,O,X
TSIJZOL,O,O,O,X,X,X,O,X
TSIJOLZ,O,X,O,X,X,X,O,X
TSIJOZL,O,X,O,X,X,X,O,X
TSIZLJO,O,O,O,X,X,O,O,X
TSIZLOJ,O,O,O,X,X,O,O,X
TSIZJLO,O,O,O,X,X,X,O,X
TSIZJOL,O,O,O,X,X,X,O,X
TSIZOLJ,O,O,O,X,X,X,O,O
TSIZOJL,O,O,O,X,X,X,O,O
TSIOLJZ,O,X,X,X,X,O,O,X
TSIOLZJ,O,X,X,O,X,O,O,O
TSIOJLZ,O,X,X,X,X,X,O,X
TSIOJZL,O,X,X,X,X,X,O,X
TSIOZLJ,O,X,X,O,X,X,O,O
TSIOZJL,O,X,X,O,X,X,O,O
TSLIJZO,O,O,O,X,O,O,X,X
TSLIJOZ,X,X,O,X,O,O,X,X
TSLIZJO,O,O,O,X,X,O,O,X
TSLIZOJ,O,O,O,X,X,O,O,X
TSLIOJZ,O,X,X,X,X,O,X,X
TSLIOZJ,O,X,X,O,X,O,O,X
TSLJIZO,O,O,O,X,O,O,X,X
TSLJIOZ,X,X,O,X,O,O,X,X
TSLJZIO,O,O,O,X,O,O,X,X
TSLJZOI,O,O,O,X,O,O,X,X
TSLJOIZ,X,X,O,X,O,O,X,X
TSLJOZI,X,X,O,X,O,O,X,X
TSLZIJO,O,O,O,X,X,O,O,X
TSLZIOJ,O,O,O,X,X,O,O,X
TSLZJIO,O,O,O,X,X,O,O,X
TSLZJOI,O,O,O,X,X,O,O,X
TSLZOIJ,O,O,O,X,X,O,O,X
TSLZOJI,O,O,O,X,X,O,O,X
TSLOIJZ,O,X,X,X,X,O,X,X
TSLOIZJ,O,X,X,O,X,O,O,X
TSLOJIZ,O,X,X,X,X,O,X,X
TSLOJZI,O,X,X,X,X,O,X,X
TSLOZIJ,O,X,X,O,X,O,O,X
TSLOZJI,O,X,X,O,X,O,O,X
TSJILZO,O,O,O,X,O,O,X,X
TSJILOZ,X,X,O,X,O,O,X,X
TSJIZLO,O,O,O,X,X,X,O,X
TSJIZOL,O,O,O,X,X,X,O,X
TSJIOLZ,O,X,O,X,O,X,O,X
TSJIOZL,O,X,O,X,X,X,O,X
TSJLIZO,O,O,O,X,O,O,X,X
TSJLIOZ,X,X,O,X,O,O,X,X
TSJLZIO,O,O,O,X,O,O,X,X
TSJLZOI,O,O,O,X,O,O,X,X
TSJLOIZ,X,X,O,X,O,O,X,X
TSJLOZI,X,X,O,X,O,O,X,X
TSJZILO,O,O,O,X,X,X,O,X
TSJZIOL,O,O,O,X,X,X,O,X
TSJZLIO,O,O,O,X,O,X,O,X
TSJZLOI,O,O,O,X,O,X,O,X
TSJZOIL,O,O,O,X,X,X,O,X
TSJZOLI,O,O,O,X,O,X,O,X
TSJOILZ,O,X,O,X,O,X,O,X
TSJOIZL,O,X,O,X,X,X,O,X
TSJOLIZ,O,X,O,X,O,X,O,X
TSJOLZI,O,X,O,X,O,X,X,X
TSJOZIL,O,X,O,X,X,X,O,X
TSJOZLI,O,X,O,X,O,X,O,X
TSZILJO,O,O,O,X,X,O,O,X
TSZILOJ,O,O,O,X,X,O,O,X
TSZIJLO,O,O,O,X,X,X,O,X
TSZIJOL,O,O,O,X,X,X,O,X
TSZIOLJ,O,O,O,X,X,X,O,O
TSZIOJL,O,O,O,X,X,X,O,O
TSZLIJO,O,O,O,X,X,O,O,X
TSZLIOJ,O,O,O,X,X,O,O,X
TSZLJIO,O,O,O,X,X,O,O,X
TSZLJOI,O,O,O,X,X,O,O,X
TSZLOIJ,O,O,O,X,X,O,O,X
TSZLOJI,O,O,O,X,X,O,O,X
TSZJILO,O,O,O,X,X,X,O,X
TSZJIOL,O,O,O,X,X,X,O,X
TSZJLIO,O,O,O,X,X,X,O,X
TSZJLOI,O,O,O,X,X,X,O,X
TSZJOIL,O,O,O,X,X,X,O,X
TSZJOLI,O,O,O,X,X,X,O,X
TSZOILJ,O,O,O,X,X,X,O,O
TSZOIJL,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,O,X,X,X,O,O
TSZOLJI,O,O,O,X,X,X,O,O
TSZOJIL,O,O,O,X,X,X,O,O
TSZOJLI,O,O,O,X,X,X,O,O
TSOILJZ,O,X,X,X,X,O,O,X
TSOILZJ,O,X,X,O,X,O,O,O
TSOIJLZ,O,X,X,X,X,X,O,X
TSOIJZL,O,X,X,X,X,X,O,X
TSOIZLJ,O,X,X,O,X,X,O,O
TSOIZJL,O,X,X,O,X,X,O,O
TSOLIJZ,O,X,X,X,X,O,O,X
TSOLIZJ,O,X,X,O,X,O,O,O
TSOLJIZ,O,X,X,X,X,O,O,X
TSOLJZI,O,X,X,X,X,O,X,X
TSOLZIJ,O,X,X,O,X,O,O,O
TSOLZJI,O,X,X,O,X,O,O,O
TSOJILZ,O,X,X,X,X,X,O,X
TSOJIZL,O,X,X,X,X,X,O,X
TSOJLIZ,O,X,X,X,X,X,O,X
TSOJLZI,O,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,O,X
TSOJZLI,O,X,X,X,X,X,O,X
TSOZILJ,O,X,X,O,X,X,O,O
TSOZIJL,O,X,X,O,X,X,O,O
TSOZLIJ,O,X,X,O,X,X,O,O
TSOZLJI,O,X,X,O,X,X,O,O
TSOZJIL,O,X,X,O,X,X,O,O
TSOZJLI,O,X,X,O,X,X,O,O
TZILJSO,O,O,O,X,X,X,O,X
TZILJOS,O,O,O,X,X,X,O,X
TZILSJO,O,O,O,X,X,X,O,X
TZILSOJ,O,O,O,X,X,X,O,X
TZILOJS,O,O,O,O,X,X,O,X
TZILOSJ,O,O,O,O,X,X,O,X
TZIJLSO,O,O,O,X,X,X,O,X
TZIJLOS,O,O,O,X,X,X,O,X
TZIJSLO,O,O,O,X,X,X,O,X
TZIJSOL,O,O,O,X,X,X,O,X
TZIJOLS,O,O,O,X,X,X,O,X
TZIJOSL,O,O,O,X,X,X,O,X
TZISLJO,O,O,O,X,X,O,O,X
TZISLOJ,O,O,O,X,X,O,O,X
TZISJLO,O,O,O,X,X,X,O,X
TZISJOL,O,O,O,X,X,X,O,X
TZISOLJ,O,O,O,X,X,X,O,O
TZISOJL,O,O,O,X,X,X,O,O
TZIOLJS,O,O,O,O,X,X,O,X
TZIOLSJ,O,O,O,O,X,X,O,X
TZIOJLS,O,O,O,O,X,X,O,X
TZIOJSL,O,O,O,O,X,X,O,X
TZIOSLJ,O,O,O,O,X,X,O,O
TZIOSJL,O,O,O,O,X,X,O,O
TZLIJSO,O,O,O,X,O,X,O,X
TZLIJOS,O,O,O,X,O,X,O,X
TZLISJO,O,O,O,X,X,X,O,X
TZLISOJ,O,O,O,X,X,X,O,X
TZLIOJS,O,O,O,O,X,X,O,X
TZLIOSJ,O,O,O,O,X,X,O,X
TZLJISO,O,O,O,X,O,X,O,X
TZLJIOS,O,O,O,X,O,X,O,X
TZLJSIO,O,O,O,X,O,X,O,X
TZLJSOI,O,O,O,X,O,X,X,X
TZLJOIS,O,O,O,X,O,X,O,X
TZLJOSI,O,O,O,X,O,X,O,X
TZLSIJO,O,O,O,X,X,X,O,X
TZLSIOJ,O,O,O,X,X,X,O,X
TZLSJIO,O,O,O,X,X,X,O,X
TZLSJOI,O,O,O,X,X,X,O,X
TZLSOIJ,O,O,O,X,X,X,O,X
TZLSOJI,O,O,O,X,X,X,O,X
TZLOIJS,O,O,O,O,X,X,O,X
TZLOISJ,O,O,O,O,X,X,O,X
TZLOJIS,O,O,O,O,X,X,O,X
TZLOJSI,O,O,O,O,X,X,O,X
TZLOSIJ,O,O,O,O,X,X,O,X
TZLOSJI,O,O,O,O,X,X,O,X
TZJILSO,O,O,O,X,X,X,O,X
TZJILOS,O,O,O,X,X,X,O,X
TZJISLO,O,O,O,X,X,X,O,X
TZJISOL,O,O,O,X,X,X,O,X
TZJIOLS,O,O,O,X,X,X,O,X
TZJIOSL,O,O,O,X,X,X,O,X
TZJLISO,O,O,O,X,O,X,O,X
TZJLIOS,O,O,O,X,O,X,O,X
TZJLSIO,O,O,O,X,O,X,O,X
TZJLSOI,O,O,O,X,O,X,X,X
TZJLOIS,O,O,O,X,O,X,O,X
TZJLOSI,O,O,O,X,O,X,O,X
TZJSILO,O,O,O,X,X,X,O,X
TZJSIOL,O,O,O,X,X,X,O,X
TZJSLIO,O,O,O,X,O,X,O,X
TZJSLOI,O,O,O,X,O,X,X,X
TZJSOIL,O,O,O,X,X,X,O,X
TZJSOLI,O,O,O,X,O,X,O,X
TZJOILS,O,O,O,X,X,X,O,X
