sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
IOZSLJT,X,O,X,O,X
IOZSJTL,O,O,X,O,X
IOZSJLT,O,O,X,O,X
LTIJSZO,X,X,O,O,X
LTIJSOZ,O,X,O,X,X
LTIJZSO,O,O,X,O,X
LTIJZOS,O,O,X,X,X
LTIJOSZ,O,X,O,X,X
LTIJOZS,O,O,X,X,X
LTISJZO,X,X,O,O,X
LTISJOZ,O,X,O,X,X
LTISZJO,X,O,O,X,X
LTISZOJ,X,O,O,X,X
LTISOJZ,O,X,O,X,X
LTISOZJ,X,O,O,X,X
LTIZJSO,O,O,X,X,X
LTIZJOS,O,O,X,X,X
LTIZSJO,O,O,X,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,O,X,X,X
LTIZOSJ,O,O,X,X,X
LTIOJSZ,O,X,O,X,X
LTIOJZS,O,O,X,X,X
LTIOSJZ,O,X,O,X,X
LTIOSZJ,X,O,O,X,X
LTIOZJS,O,O,X,X,X
LTIOZSJ,O,O,X,X,X
LTJISZO,X,X,O,O,X
LTJISOZ,O,X,O,X,X
LTJIZSO,O,O,X,O,O
LTJIZOS,O,O,X,X,O
LTJIOSZ,O,X,O,X,X
LTJIOZS,O,O,X,X,O
LTJSIZO,X,X,O,O,X
LTJSIOZ,O,X,O,X,X
LTJSZIO,O,X,O,O,O
LTJSZOI,O,X,O,O,O
LTJSOIZ,O,X,O,X,X
LTJSOZI,O,X,O,X,O
LTJZISO,O,O,X,O,O
LTJZIOS,O,O,X,X,O
LTJZSIO,O,O,X,O,O
LTJZSOI,O,O,X,O,O
LTJZOIS,O,O,X,X,O
LTJZOSI,O,O,X,X,O
LTJOISZ,O,X,O,X,X
LTJOIZS,O,O,X,X,O
LTJOSIZ,O,X,O,X,X
LTJOSZI,O,X,O,X,O
LTJOZIS,O,O,X,X,O
LTJOZSI,O,O,X,X,O
LTSIJZO,X,X,O,O,X
LTSIJOZ,O,X,O,X,X
LTSIZJO,X,O,O,X,X
LTSIZOJ,X,O,O,X,X
LTSIOJZ,O,X,O,X,X
LTSIOZJ,X,O,O,X,X
LTSJIZO,X,X,O,O,X
LTSJIOZ,O,X,O,X,X
LTSJZIO,O,X,O,O,X
LTSJZOI,O,X,O,O,X
LTSJOIZ,O,X,O,X,X
LTSJOZI,O,X,O,X,X
LTSZIJO,O,O,O,X,X
LTSZIOJ,O,O,O,X,X
LTSZJIO,O,O,O,X,X
LTSZJOI,O,O,O,X,X
LTSZOIJ,O,O,O,X,X
LTSZOJI,O,O,O,X,X
LTSOIJZ,O,X,O,X,X
LTSOIZJ,X,O,O,X,X
LTSOJIZ,O,X,O,X,X
LTSOJZI,O,X,O,X,X
LTSOZIJ,O,O,O,X,X
LTSOZJI,O,O,O,X,X
LTZIJSO,O,O,X,X,X
LTZIJOS,O,O,X,X,X
LTZISJO,O,O,X,X,X
LTZISOJ,O,O,X,X,X
LTZIOJS,O,O,X,X,X
LTZIOSJ,O,O,X,X,X
LTZJISO,O,O,X,X,X
LTZJIOS,O,O,X,X,X
LTZJSIO,O,O,X,X,X
LTZJSOI,O,O,X,X,X
LTZJOIS,O,O,X,X,X
LTZJOSI,O,O,X,X,X
LTZSIJO,O,O,X,X,X
LTZSIOJ,O,O,X,X,X
LTZSJIO,O,O,X,X,X
LTZSJOI,O,O,X,X,X
LTZSOIJ,O,O,X,X,X
LTZSOJI,O,O,X,X,X
LTZOIJS,O,O,X,X,X
LTZOISJ,O,O,X,X,X
LTZOJIS,O,O,X,X,X
LTZOJSI,O,O,X,X,X
LTZOSIJ,O,O,X,X,X
LTZOSJI,O,O,X,X,X
LTOIJSZ,O,X,O,X,X
LTOIJZS,O,O,X,X,X
LTOISJZ,O,X,O,X,X
LTOISZJ,X,O,O,X,X
LTOIZJS,O,O,X,X,X
LTOIZSJ,O,O,X,X,X
LTOJISZ,O,X,O,X,X
LTOJIZS,O,O,X,X,O
LTOJSIZ,O,X,O,X,X
LTOJSZI,O,X,O,X,O
LTOJZIS,O,O,X,X,O
LTOJZSI,O,O,X,X,O
LTOSIJZ,O,X,O,X,X
LTOSIZJ,X,O,O,X,X
LTOSJIZ,O,X,O,X,X
LTOSJZI,O,X,O,X,X
LTOSZIJ,O,O,O,X,X
LTOSZJI,O,O,O,X,X
LTOZIJS,O,O,X,X,X
LTOZISJ,O,O,X,X,X
LTOZJIS,O,O,X,X,X
LTOZJSI,O,O,X,X,X
LTOZSIJ,O,O,X,X,X
LTOZSJI,O,O,X,X,X
LITJSZO,X,X,O,O,X
LITJSOZ,O,X,O,X,X
LITJZSO,O,O,X,O,X
LITJZOS,O,O,X,X,X
LITJOSZ,O,X,O,X,X
LITJOZS,O,O,X,X,X
LITSJZO,X,X,O,O,X
LITSJOZ,O,X,O,X,X
LITSZJO,X,O,O,X,X
LITSZOJ,X,O,O,X,X
LITSOJZ,O,X,O,X,X
LITSOZJ,X,O,O,X,X
LITZJSO,O,O,X,X,X
LITZJOS,O,O,X,X,X
LITZSJO,O,O,X,X,X
LITZSOJ,O,O,X,X,X
LITZOJS,O,O,X,X,X
LITZOSJ,O,O,X,X,X
LITOJSZ,O,X,O,X,X
LITOJZS,O,O,X,X,X
LITOSJZ,O,X,O,X,X
LITOSZJ,X,O,O,X,X
LITOZJS,O,O,X,X,X
LITOZSJ,O,O,X,X,X
LIJTSZO,X,X,X,O,X
LIJTSOZ,O,X,X,X,X
LIJTZSO,O,X,X,O,O
LIJTZOS,O,X,X,X,O
LIJTOSZ,O,X,X,X,X
LIJTOZS,O,X,X,X,O
LIJSTZO,X,X,X,O,X
LIJSTOZ,O,X,X,X,X
LIJSZTO,X,X,X,O,X
LIJSZOT,X,X,X,O,X
LIJSOTZ,O,X,X,O,X
LIJSOZT,O,X,X,O,X
LIJZTSO,O,X,X,O,O
LIJZTOS,O,O,X,X,O
LIJZSTO,O,X,X,O,X
LIJZSOT,O,O,X,O,X
LIJZOTS,O,O,X,O,O
LIJZOST,O,O,X,O,X
LIJOTSZ,O,X,X,O,X
LIJOTZS,O,X,X,O,O
LIJOSTZ,O,X,X,O,X
LIJOSZT,O,X,X,O,X
LIJOZTS,O,O,X,O,O
LIJOZST,O,O,X,O,X
LISTJZO,X,X,O,O,X
LISTJOZ,O,X,O,X,X
LISTZJO,X,X,O,X,X
LISTZOJ,X,X,O,X,X
LISTOJZ,O,X,O,X,X
LISTOZJ,X,X,O,X,X
LISJTZO,X,X,O,O,X
LISJTOZ,O,X,O,X,X
LISJZTO,X,X,X,O,X
LISJZOT,X,X,X,O,X
LISJOTZ,O,X,O,O,X
LISJOZT,O,X,X,O,X
LISZTJO,X,X,O,X,X
LISZTOJ,X,X,O,X,X
LISZJTO,X,X,X,O,X
LISZJOT,X,O,X,O,X
LISZOTJ,X,X,O,X,X
LISZOJT,X,O,X,X,X
LISOTJZ,O,X,O,O,X
LISOTZJ,X,X,O,X,X
LISOJTZ,O,X,O,O,X
LISOJZT,O,X,X,O,X
LISOZTJ,X,X,O,X,X
LISOZJT,X,O,X,O,X
LIZTJSO,O,O,X,X,X
LIZTJOS,O,O,X,X,X
LIZTSJO,O,O,X,X,X
LIZTSOJ,O,O,X,X,X
LIZTOJS,O,O,X,X,X
LIZTOSJ,O,O,X,X,X
LIZJTSO,O,O,X,O,X
LIZJTOS,O,O,X,X,X
LIZJSTO,O,X,X,O,X
LIZJSOT,O,O,X,O,X
LIZJOTS,O,O,X,X,X
LIZJOST,O,O,X,O,X
LIZSTJO,O,X,X,X,X
LIZSTOJ,O,X,X,X,X
LIZSJTO,O,X,X,O,X
LIZSJOT,O,O,X,O,X
LIZSOTJ,O,X,X,X,X
LIZSOJT,O,O,X,X,X
LIZOTJS,O,O,X,X,X
LIZOTSJ,O,O,X,X,X
LIZOJTS,O,O,X,X,X
LIZOJST,O,O,X,X,X
LIZOSTJ,O,X,X,X,X
LIZOSJT,O,O,X,X,X
LIOTJSZ,O,X,O,O,X
LIOTJZS,O,O,X,O,X
LIOTSJZ,O,X,O,O,X
LIOTSZJ,X,O,O,X,X
LIOTZJS,O,O,X,X,X
LIOTZSJ,O,O,X,X,X
LIOJTSZ,O,X,X,O,X
LIOJTZS,O,X,X,O,O
LIOJSTZ,O,X,X,O,X
LIOJSZT,O,X,X,O,X
LIOJZTS,O,O,X,O,O
LIOJZST,O,O,X,O,X
LIOSTJZ,O,X,O,O,X
LIOSTZJ,X,X,O,X,X
LIOSJTZ,O,X,O,O,X
LIOSJZT,O,X,X,O,X
LIOSZTJ,X,X,O,X,X
LIOSZJT,X,O,X,O,X
LIOZTJS,O,O,X,X,X
LIOZTSJ,O,O,X,X,X
LIOZJTS,O,O,X,O,X
LIOZJST,O,O,X,O,X
LIOZSTJ,O,X,X,X,X
LIOZSJT,O,O,X,O,X
LJTISZO,X,X,X,O,X
LJTISOZ,O,X,X,X,X
LJTIZSO,O,X,X,O,O
LJTIZOS,O,X,X,X,O
LJTIOSZ,O,X,X,X,X
LJTIOZS,O,X,X,X,O
LJTSIZO,X,X,X,O,X
LJTSIOZ,O,X,X,X,X
LJTSZIO,O,X,X,O,O
LJTSZOI,O,X,X,O,O
LJTSOIZ,O,X,X,X,X
LJTSOZI,O,X,X,X,O
LJTZISO,O,X,X,O,O
LJTZIOS,O,X,X,X,O
LJTZSIO,O,X,X,O,O
LJTZSOI,O,X,X,O,O
LJTZOIS,O,X,X,X,O
LJTZOSI,O,X,X,X,O
LJTOISZ,O,X,X,X,X
LJTOIZS,O,X,X,X,O
LJTOSIZ,O,X,X,X,X
LJTOSZI,O,X,X,X,O
LJTOZIS,O,X,X,X,O
LJTOZSI,O,X,X,X,O
LJITSZO,X,X,X,O,X
LJITSOZ,O,X,X,X,X
LJITZSO,O,X,X,O,O
LJITZOS,O,X,X,X,O
LJITOSZ,O,X,X,X,X
LJITOZS,O,X,X,X,O
LJISTZO,X,X,X,O,X
LJISTOZ,O,X,X,X,X
LJISZTO,X,X,X,O,X
LJISZOT,X,X,X,O,X
LJISOTZ,O,X,X,O,X
LJISOZT,O,X,X,O,X
LJIZTSO,O,X,X,O,O
LJIZTOS,O,O,X,X,O
LJIZSTO,O,X,X,O,X
LJIZSOT,O,O,X,O,X
LJIZOTS,O,O,X,O,O
LJIZOST,O,O,X,O,X
LJIOTSZ,O,X,X,O,X
LJIOTZS,O,X,X,O,O
LJIOSTZ,O,X,X,O,X
LJIOSZT,O,X,X,O,X
LJIOZTS,O,O,X,O,O
LJIOZST,O,O,X,O,X
LJSTIZO,X,X,X,O,X
LJSTIOZ,O,X,X,X,X
LJSTZIO,O,X,X,O,O
LJSTZOI,O,X,X,O,O
LJSTOIZ,O,X,X,X,X
LJSTOZI,O,X,X,X,O
LJSITZO,X,X,X,O,X
LJSITOZ,O,X,X,X,X
LJSIZTO,X,X,X,O,X
LJSIZOT,X,X,X,O,X
LJSIOTZ,O,X,X,O,X
LJSIOZT,O,X,X,O,X
LJSZTIO,O,X,X,O,O
LJSZTOI,O,X,X,O,O
LJSZITO,O,X,X,O,X
LJSZIOT,O,X,X,O,X
LJSZOTI,X,X,X,O,O
LJSZOIT,O,X,X,O,X
LJSOTIZ,X,X,X,O,X
LJSOTZI,X,X,X,O,O
LJSOITZ,O,X,X,O,X
LJSOIZT,O,X,X,O,X
LJSOZTI,X,X,X,O,O
LJSOZIT,O,X,X,O,X
LJZTISO,O,X,X,O,O
LJZTIOS,O,O,X,X,O
LJZTSIO,O,X,X,O,O
LJZTSOI,O,X,X,O,O
LJZTOIS,O,O,X,X,O
LJZTOSI,O,X,X,X,O
LJZITSO,O,X,X,O,O
LJZITOS,O,O,X,X,O
LJZISTO,O,X,X,O,X
LJZISOT,O,O,X,O,X
LJZIOTS,O,O,X,O,O
LJZIOST,O,O,X,O,X
LJZSTIO,O,X,X,O,O
LJZSTOI,O,X,X,O,O
LJZSITO,O,X,X,O,X
LJZSIOT,O,O,X,O,X
LJZSOTI,X,X,X,O,O
LJZSOIT,O,O,X,O,X
LJZOTIS,O,O,X,O,O
LJZOTSI,O,X,X,O,O
LJZOITS,O,O,X,O,O
LJZOIST,O,O,X,O,X
LJZOSTI,X,X,X,O,O
LJZOSIT,O,O,X,O,X
LJOTISZ,O,X,X,O,X
LJOTIZS,O,X,X,O,O
LJOTSIZ,O,X,X,O,X
LJOTSZI,O,X,X,O,O
LJOTZIS,O,X,X,O,O
LJOTZSI,O,X,X,O,O
LJOITSZ,O,X,X,O,X
LJOITZS,O,X,X,O,O
LJOISTZ,O,X,X,O,X
LJOISZT,O,X,X,O,X
LJOIZTS,O,O,X,O,O
LJOIZST,O,O,X,O,X
LJOSTIZ,X,X,X,O,X
LJOSTZI,X,X,X,O,O
LJOSITZ,O,X,X,O,X
LJOSIZT,O,X,X,O,X
LJOSZTI,X,X,X,O,O
LJOSZIT,O,X,X,O,X
LJOZTIS,O,O,X,O,O
LJOZTSI,O,X,X,O,O
LJOZITS,O,O,X,O,O
LJOZIST,O,O,X,O,X
LJOZSTI,X,X,X,O,O
LJOZSIT,O,O,X,O,X
LSTIJZO,X,X,O,O,X
LSTIJOZ,O,X,O,X,X
LSTIZJO,X,X,O,X,X
LSTIZOJ,X,X,O,X,X
LSTIOJZ,O,X,O,X,X
LSTIOZJ,X,X,O,X,X
LSTJIZO,X,X,O,O,X
LSTJIOZ,O,X,O,X,X
LSTJZIO,O,X,O,O,X
LSTJZOI,O,X,O,O,X
LSTJOIZ,O,X,O,X,X
LSTJOZI,O,X,O,X,X
LSTZIJO,O,X,O,X,X
LSTZIOJ,O,X,O,X,X
LSTZJIO,O,X,O,X,X
LSTZJOI,O,X,O,X,X
LSTZOIJ,O,X,O,X,X
LSTZOJI,O,X,O,X,X
LSTOIJZ,O,X,O,X,X
LSTOIZJ,X,X,O,X,X
LSTOJIZ,O,X,O,X,X
LSTOJZI,O,X,O,X,X
LSTOZIJ,O,X,O,X,X
LSTOZJI,O,X,O,X,X
LSITJZO,X,X,O,O,X
LSITJOZ,O,X,O,X,X
LSITZJO,X,X,O,X,X
LSITZOJ,X,X,O,X,X
LSITOJZ,O,X,O,X,X
LSITOZJ,X,X,O,X,X
LSIJTZO,X,X,O,O,X
LSIJTOZ,O,X,O,X,X
LSIJZTO,X,X,X,O,X
LSIJZOT,X,X,X,O,X
LSIJOTZ,O,X,O,O,X
LSIJOZT,O,X,X,O,X
LSIZTJO,X,X,O,X,X
LSIZTOJ,X,X,O,X,X
LSIZJTO,X,X,X,O,X
LSIZJOT,X,O,X,O,X
LSIZOTJ,X,X,O,X,X
LSIZOJT,X,O,X,X,X
LSIOTJZ,O,X,O,O,X
LSIOTZJ,X,X,O,X,X
LSIOJTZ,O,X,O,O,X
LSIOJZT,O,X,X,O,X
LSIOZTJ,X,X,O,X,X
LSIOZJT,X,O,X,O,X
LSJTIZO,X,X,O,O,X
LSJTIOZ,O,X,O,X,X
LSJTZIO,O,X,O,O,O
LSJTZOI,O,X,O,O,O
LSJTOIZ,O,X,O,X,X
LSJTOZI,O,X,O,X,O
LSJITZO,X,X,O,O,X
LSJITOZ,O,X,O,X,X
LSJIZTO,X,X,X,O,X
LSJIZOT,X,X,X,O,X
LSJIOTZ,O,X,O,O,X
LSJIOZT,O,X,X,O,X
LSJZTIO,O,X,X,O,O
LSJZTOI,O,X,X,O,O
LSJZITO,O,X,X,O,X
LSJZIOT,O,X,X,O,X
LSJZOTI,X,X,X,O,O
LSJZOIT,O,X,X,O,X
LSJOTIZ,X,X,O,O,X
LSJOTZI,X,X,O,O,O
LSJOITZ,O,X,O,O,X
LSJOIZT,O,X,X,O,X
LSJOZTI,X,X,X,O,O
LSJOZIT,O,X,X,O,X
LSZTIJO,O,X,O,X,X
LSZTIOJ,O,X,O,X,X
LSZTJIO,O,X,O,X,X
LSZTJOI,O,X,O,X,X
LSZTOIJ,O,X,O,X,X
LSZTOJI,O,X,O,X,X
LSZITJO,O,X,O,X,X
LSZITOJ,O,X,O,X,X
LSZIJTO,O,X,X,O,X
LSZIJOT,O,O,X,O,X
LSZIOTJ,O,X,O,X,X
LSZIOJT,O,O,X,X,X
LSZJTIO,O,X,X,O,X
LSZJTOI,O,X,X,O,X
LSZJITO,O,X,X,O,X
LSZJIOT,O,O,X,O,X
LSZJOTI,X,X,X,O,X
LSZJOIT,O,O,X,O,X
LSZOTIJ,O,X,O,X,X
LSZOTJI,O,X,O,X,X
LSZOITJ,O,X,O,X,X
LSZOIJT,O,O,X,X,X
LSZOJTI,X,X,X,X,X
LSZOJIT,O,O,X,X,X
LSOTIJZ,O,X,O,O,X
LSOTIZJ,X,X,O,X,X
LSOTJIZ,O,X,O,O,X
LSOTJZI,O,X,O,O,X
LSOTZIJ,O,X,O,X,X
LSOTZJI,O,X,O,X,X
LSOITJZ,O,X,O,O,X
LSOITZJ,X,X,O,X,X
LSOIJTZ,O,X,O,O,X
LSOIJZT,O,X,X,O,X
LSOIZTJ,X,X,O,X,X
LSOIZJT,X,O,X,O,X
LSOJTIZ,X,X,O,O,X
LSOJTZI,X,X,O,O,O
LSOJITZ,O,X,O,O,X
LSOJIZT,O,X,X,O,X
LSOJZTI,X,X,X,O,O
LSOJZIT,O,X,X,O,X
LSOZTIJ,O,X,O,X,X
LSOZTJI,O,X,O,X,X
LSOZITJ,O,X,O,X,X
LSOZIJT,O,O,X,O,X
LSOZJTI,X,X,X,O,X
LSOZJIT,O,O,X,O,X
LZTIJSO,O,O,X,X,X
LZTIJOS,O,O,X,X,X
LZTISJO,O,O,X,X,X
LZTISOJ,O,O,X,X,X
LZTIOJS,O,O,X,X,X
LZTIOSJ,O,O,X,X,X
LZTJISO,O,O,X,X,X
LZTJIOS,O,O,X,X,X
LZTJSIO,O,O,X,X,X
LZTJSOI,O,O,X,X,X
LZTJOIS,O,O,X,X,X
LZTJOSI,O,O,X,X,X
LZTSIJO,O,O,X,X,X
LZTSIOJ,O,O,X,X,X
LZTSJIO,O,O,X,X,X
LZTSJOI,O,O,X,X,X
LZTSOIJ,O,O,X,X,X
LZTSOJI,O,O,X,X,X
LZTOIJS,O,O,X,X,X
LZTOISJ,O,O,X,X,X
LZTOJIS,O,O,X,X,X
LZTOJSI,O,O,X,X,X
LZTOSIJ,O,O,X,X,X
LZTOSJI,O,O,X,X,X
LZITJSO,O,O,X,X,X
LZITJOS,O,O,X,X,X
LZITSJO,O,O,X,X,X
LZITSOJ,O,O,X,X,X
LZITOJS,O,O,X,X,X
LZITOSJ,O,O,X,X,X
LZIJTSO,O,O,X,O,X
LZIJTOS,O,O,X,X,X
LZIJSTO,O,X,X,O,X
LZIJSOT,O,O,X,O,X
LZIJOTS,O,O,X,X,X
LZIJOST,O,O,X,O,X
LZISTJO,O,X,X,X,X
LZISTOJ,O,X,X,X,X
LZISJTO,O,X,X,O,X
LZISJOT,O,O,X,O,X
LZISOTJ,O,X,X,X,X
LZISOJT,O,O,X,X,X
LZIOTJS,O,O,X,X,X
LZIOTSJ,O,O,X,X,X
LZIOJTS,O,O,X,X,X
LZIOJST,O,O,X,X,X
LZIOSTJ,O,X,X,X,X
LZIOSJT,O,O,X,X,X
LZJTISO,O,O,X,O,O
LZJTIOS,O,O,X,X,O
LZJTSIO,O,O,X,O,O
LZJTSOI,O,O,X,O,O
LZJTOIS,O,O,X,X,O
LZJTOSI,O,O,X,X,O
LZJITSO,O,O,X,O,O
LZJITOS,O,O,X,X,O
LZJISTO,O,X,X,O,X
LZJISOT,O,O,X,O,X
LZJIOTS,O,O,X,X,O
LZJIOST,O,O,X,O,X
LZJSTIO,O,X,X,O,O
LZJSTOI,O,X,X,O,O
LZJSITO,O,X,X,O,X
LZJSIOT,O,O,X,O,X
LZJSOTI,X,X,X,O,O
LZJSOIT,O,O,X,O,X
LZJOTIS,O,O,X,X,O
LZJOTSI,O,O,X,X,O
LZJOITS,O,O,X,X,O
LZJOIST,O,O,X,O,X
LZJOSTI,X,X,X,O,O
LZJOSIT,O,O,X,O,X
LZSTIJO,O,X,X,X,X
LZSTIOJ,O,X,X,X,X
LZSTJIO,O,X,X,X,X
LZSTJOI,O,X,X,X,X
LZSTOIJ,O,X,X,X,X
LZSTOJI,O,X,X,X,X
LZSITJO,O,X,X,X,X
LZSITOJ,O,X,X,X,X
LZSIJTO,O,X,X,O,X
LZSIJOT,O,O,X,O,X
LZSIOTJ,O,X,X,X,X
LZSIOJT,O,O,X,X,X
LZSJTIO,O,X,X,O,X
LZSJTOI,O,X,X,O,X
LZSJITO,O,X,X,O,X
LZSJIOT,O,O,X,O,X
LZSJOTI,X,X,X,O,X
LZSJOIT,O,O,X,O,X
LZSOTIJ,O,X,X,X,X
LZSOTJI,O,X,X,X,X
LZSOITJ,O,X,X,X,X
LZSOIJT,O,O,X,X,X
LZSOJTI,X,X,X,X,X
LZSOJIT,O,O,X,X,X
LZOTIJS,O,O,X,X,X
LZOTISJ,O,O,X,X,X
LZOTJIS,O,O,X,X,X
LZOTJSI,O,O,X,X,X
LZOTSIJ,O,O,X,X,X
LZOTSJI,O,O,X,X,X
LZOITJS,O,O,X,X,X
LZOITSJ,O,O,X,X,X
LZOIJTS,O,O,X,X,X
LZOIJST,O,O,X,X,X
LZOISTJ,O,X,X,X,X
LZOISJT,O,O,X,X,X
LZOJTIS,O,O,X,X,O
LZOJTSI,O,O,X,X,O
LZOJITS,O,O,X,X,O
LZOJIST,O,O,X,X,X
LZOJSTI,X,X,X,X,O
LZOJSIT,O,O,X,X,X
LZOSTIJ,O,X,X,X,X
LZOSTJI,O,X,X,X,X
LZOSITJ,O,X,X,X,X
LZOSIJT,O,O,X,X,X
LZOSJTI,X,X,X,X,X
LZOSJIT,O,O,X,X,X
LOTIJSZ,O,X,O,O,X
LOTIJZS,O,O,X,O,X
LOTISJZ,O,X,O,O,X
LOTISZJ,X,O,O,X,X
LOTIZJS,O,O,X,X,X
LOTIZSJ,O,O,X,X,X
LOTJISZ,O,X,O,O,X
LOTJIZS,O,O,X,O,O
LOTJSIZ,O,X,O,O,X
LOTJSZI,O,X,O,O,O
LOTJZIS,O,O,X,O,O
LOTJZSI,O,O,X,O,O
LOTSIJZ,O,X,O,O,X
LOTSIZJ,X,O,O,X,X
LOTSJIZ,O,X,O,O,X
LOTSJZI,O,X,O,O,X
LOTSZIJ,O,O,O,X,X
LOTSZJI,O,O,O,X,X
LOTZIJS,O,O,X,X,X
LOTZISJ,O,O,X,X,X
LOTZJIS,O,O,X,X,X
LOTZJSI,O,O,X,X,X
LOTZSIJ,O,O,X,X,X
LOTZSJI,O,O,X,X,X
LOITJSZ,O,X,O,O,X
LOITJZS,O,O,X,O,X
LOITSJZ,O,X,O,O,X
LOITSZJ,X,O,O,X,X
LOITZJS,O,O,X,X,X
LOITZSJ,O,O,X,X,X
LOIJTSZ,O,X,X,O,X
LOIJTZS,O,X,X,O,O
LOIJSTZ,O,X,X,O,X
LOIJSZT,O,X,X,O,X
LOIJZTS,O,O,X,O,O
LOIJZST,O,O,X,O,X
LOISTJZ,O,X,O,O,X
LOISTZJ,X,X,O,X,X
LOISJTZ,O,X,O,O,X
LOISJZT,O,X,X,O,X
LOISZTJ,X,X,O,X,X
LOISZJT,X,O,X,O,X
LOIZTJS,O,O,X,X,X
LOIZTSJ,O,O,X,X,X
LOIZJTS,O,O,X,O,X
LOIZJST,O,O,X,O,X
LOIZSTJ,O,X,X,X,X
LOIZSJT,O,O,X,O,X
LOJTISZ,O,X,X,O,X
LOJTIZS,O,X,X,O,O
LOJTSIZ,O,X,X,O,X
LOJTSZI,O,X,X,O,O
LOJTZIS,O,X,X,O,O
LOJTZSI,O,X,X,O,O
LOJITSZ,O,X,X,O,X
LOJITZS,O,X,X,O,O
LOJISTZ,O,X,X,O,X
LOJISZT,O,X,X,O,X
LOJIZTS,O,O,X,O,O
LOJIZST,O,O,X,O,X
LOJSTIZ,X,X,X,O,X
LOJSTZI,X,X,X,O,O
LOJSITZ,O,X,X,O,X
LOJSIZT,O,X,X,O,X
LOJSZTI,X,X,X,O,O
LOJSZIT,O,X,X,O,X
LOJZTIS,O,O,X,O,O
LOJZTSI,O,X,X,O,O
LOJZITS,O,O,X,O,O
LOJZIST,O,O,X,O,X
LOJZSTI,X,X,X,O,O
LOJZSIT,O,O,X,O,X
LOSTIJZ,O,X,O,O,X
LOSTIZJ,X,X,O,X,X
LOSTJIZ,O,X,O,O,X
LOSTJZI,O,X,O,O,X
LOSTZIJ,O,X,O,X,X
LOSTZJI,O,X,O,X,X
LOSITJZ,O,X,O,O,X
LOSITZJ,X,X,O,X,X
LOSIJTZ,O,X,O,O,X
LOSIJZT,O,X,X,O,X
LOSIZTJ,X,X,O,X,X
LOSIZJT,X,O,X,O,X
LOSJTIZ,X,X,O,O,X
LOSJTZI,X,X,O,O,O
LOSJITZ,O,X,O,O,X
LOSJIZT,O,X,X,O,X
LOSJZTI,X,X,X,O,O
LOSJZIT,O,X,X,O,X
LOSZTIJ,O,X,O,X,X
LOSZTJI,O,X,O,X,X
LOSZITJ,O,X,O,X,X
LOSZIJT,O,O,X,O,X
LOSZJTI,X,X,X,O,X
LOSZJIT,O,O,X,O,X
LOZTIJS,O,O,X,X,X
LOZTISJ,O,O,X,X,X
LOZTJIS,O,O,X,X,X
LOZTJSI,O,O,X,X,X
LOZTSIJ,O,O,X,X,X
LOZTSJI,O,O,X,X,X
LOZITJS,O,O,X,X,X
LOZITSJ,O,O,X,X,X
LOZIJTS,O,O,X,O,X
LOZIJST,O,O,X,O,X
LOZISTJ,O,X,X,X,X
LOZISJT,O,O,X,O,X
LOZJTIS,O,O,X,O,O
LOZJTSI,O,O,X,O,O
LOZJITS,O,O,X,O,O
LOZJIST,O,O,X,O,X
LOZJSTI,X,X,X,O,O
LOZJSIT,O,O,X,O,X
LOZSTIJ,O,X,X,X,X
LOZSTJI,O,X,X,X,X
LOZSITJ,O,X,X,X,X
LOZSIJT,O,O,X,O,X
LOZSJTI,X,X,X,O,X
LOZSJIT,O,O,X,O,X
JTILSZO,X,X,O,O,X
JTILSOZ,O,X,O,X,X
JTILZSO,O,O,X,O,O
JTILZOS,O,O,X,X,O
JTILOSZ,O,X,O,X,X
JTILOZS,O,O,X,X,O
JTISLZO,X,X,O,O,X
JTISLOZ,X,X,O,X,X
JTISZLO,X,X,O,O,X
JTISZOL,X,X,O,O,X
JTISOLZ,X,X,O,O,X
JTISOZL,X,X,O,O,X
JTIZLSO,O,O,X,O,O
JTIZLOS,O,O,X,X,O
JTIZSLO,X,O,O,O,O
JTIZSOL,O,O,O,O,O
JTIZOLS,O,O,X,O,O
JTIZOSL,O,O,O,O,O
JTIOLSZ,O,X,O,O,X
JTIOLZS,O,O,X,O,O
JTIOSLZ,X,X,O,O,X
JTIOSZL,X,X,O,O,X
JTIOZLS,O,O,X,O,O
JTIOZSL,O,O,O,O,O
JTLISZO,X,X,O,O,X
JTLISOZ,O,X,O,X,X
JTLIZSO,O,O,X,O,O
JTLIZOS,O,O,X,X,O
JTLIOSZ,O,X,O,X,X
JTLIOZS,O,O,X,X,O
JTLSIZO,X,X,O,O,X
JTLSIOZ,O,X,O,X,X
JTLSZIO,O,X,O,O,O
JTLSZOI,O,X,O,O,O
JTLSOIZ,O,X,O,X,X
JTLSOZI,O,X,O,X,O
