sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
TJLOZSI,O,O,X,X,O
TJSILZO,X,X,O,O,X
TJSILOZ,X,X,O,X,X
TJSIZLO,X,X,O,O,X
TJSIZOL,X,X,O,O,X
TJSIOLZ,X,X,O,O,X
TJSIOZL,X,X,O,O,X
TJSLIZO,X,X,O,O,X
TJSLIOZ,O,X,O,X,X
TJSLZIO,O,X,O,O,O
TJSLZOI,O,X,O,O,O
TJSLOIZ,O,X,O,X,X
TJSLOZI,O,X,O,X,O
TJSZILO,X,X,O,O,O
TJSZIOL,O,X,O,O,O
TJSZLIO,O,X,O,O,O
TJSZLOI,O,X,O,O,O
TJSZOIL,O,X,O,O,O
TJSZOLI,O,X,O,O,O
TJSOILZ,X,X,O,O,X
TJSOIZL,X,X,O,O,X
TJSOLIZ,O,X,O,O,X
TJSOLZI,O,X,O,O,O
TJSOZIL,O,X,O,O,O
TJSOZLI,O,X,O,O,O
TJZILSO,O,O,X,O,O
TJZILOS,O,O,X,X,O
TJZISLO,X,O,O,O,O
TJZISOL,O,O,O,O,O
TJZIOLS,O,O,X,O,O
TJZIOSL,O,O,O,O,O
TJZLISO,O,O,X,O,O
TJZLIOS,O,O,X,X,O
TJZLSIO,O,O,X,O,O
TJZLSOI,O,O,X,O,O
TJZLOIS,O,O,X,X,O
TJZLOSI,O,O,X,X,O
TJZSILO,X,O,O,O,O
TJZSIOL,O,O,O,O,O
TJZSLIO,O,O,O,O,O
TJZSLOI,O,O,O,O,O
TJZSOIL,O,O,O,O,O
TJZSOLI,O,O,O,O,O
TJZOILS,O,O,X,O,O
TJZOISL,O,O,O,O,O
TJZOLIS,O,O,X,O,O
TJZOLSI,O,O,X,O,O
TJZOSIL,O,O,O,O,O
TJZOSLI,O,O,O,O,O
TJOILSZ,O,X,O,O,X
TJOILZS,O,O,X,O,O
TJOISLZ,X,X,O,O,X
TJOISZL,X,X,O,O,X
TJOIZLS,O,O,X,O,O
TJOIZSL,O,O,O,O,O
TJOLISZ,O,X,O,O,X
TJOLIZS,O,O,X,O,O
TJOLSIZ,O,X,O,O,X
TJOLSZI,O,X,O,O,O
TJOLZIS,O,O,X,O,O
TJOLZSI,O,O,X,O,O
TJOSILZ,X,X,O,O,X
TJOSIZL,X,X,O,O,X
TJOSLIZ,O,X,O,O,X
TJOSLZI,O,X,O,O,O
TJOSZIL,O,X,O,O,O
TJOSZLI,O,X,O,O,O
TJOZILS,O,O,X,O,O
TJOZISL,O,O,O,O,O
TJOZLIS,O,O,X,O,O
TJOZLSI,O,O,X,O,O
TJOZSIL,O,O,O,O,O
TJOZSLI,O,O,O,O,O
TSILJZO,X,X,O,O,X
TSILJOZ,X,X,O,X,X
TSILZJO,X,O,O,X,X
TSILZOJ,X,O,O,X,X
TSILOJZ,X,X,O,X,X
TSILOZJ,X,O,O,X,X
TSIJLZO,X,X,O,O,X
TSIJLOZ,X,X,O,X,X
TSIJZLO,X,X,O,O,X
TSIJZOL,X,X,O,O,X
TSIJOLZ,X,X,O,O,X
TSIJOZL,X,X,O,O,X
TSIZLJO,X,O,O,X,X
TSIZLOJ,X,O,O,X,X
TSIZJLO,X,O,O,X,X
TSIZJOL,X,O,O,X,X
TSIZOLJ,X,O,O,X,X
TSIZOJL,X,O,O,X,X
TSIOLJZ,X,X,O,O,X
TSIOLZJ,X,O,O,X,X
TSIOJLZ,X,X,O,O,X
TSIOJZL,X,X,O,O,X
TSIOZLJ,X,O,O,X,X
TSIOZJL,X,O,O,X,X
TSLIJZO,X,X,O,O,X
TSLIJOZ,O,X,O,X,X
TSLIZJO,X,O,O,X,X
TSLIZOJ,X,O,O,X,X
TSLIOJZ,O,X,O,X,X
TSLIOZJ,X,O,O,X,X
TSLJIZO,X,X,O,O,X
TSLJIOZ,O,X,O,X,X
TSLJZIO,O,X,O,O,X
TSLJZOI,O,X,O,O,X
TSLJOIZ,O,X,O,X,X
TSLJOZI,O,X,O,X,X
TSLZIJO,O,O,O,X,X
TSLZIOJ,O,O,O,X,X
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,O,X,X
TSLZOJI,O,O,O,X,X
TSLOIJZ,O,X,O,X,X
TSLOIZJ,X,O,O,X,X
TSLOJIZ,O,X,O,X,X
TSLOJZI,O,X,O,X,X
TSLOZIJ,O,O,O,X,X
TSLOZJI,O,O,O,X,X
TSJILZO,X,X,O,O,X
TSJILOZ,X,X,O,X,X
TSJIZLO,X,X,O,O,X
TSJIZOL,X,X,O,O,X
TSJIOLZ,X,X,O,O,X
TSJIOZL,X,X,O,O,X
TSJLIZO,X,X,O,O,X
TSJLIOZ,O,X,O,X,X
TSJLZIO,O,X,O,O,X
TSJLZOI,O,X,O,O,X
TSJLOIZ,O,X,O,X,X
TSJLOZI,O,X,O,X,X
TSJZILO,X,X,O,O,X
TSJZIOL,O,X,O,O,X
TSJZLIO,O,X,O,O,X
TSJZLOI,O,X,O,O,X
TSJZOIL,O,X,O,O,X
TSJZOLI,O,X,O,O,X
TSJOILZ,X,X,O,O,X
TSJOIZL,X,X,O,O,X
TSJOLIZ,O,X,O,O,X
TSJOLZI,O,X,O,O,X
TSJOZIL,O,X,O,O,X
TSJOZLI,O,X,O,O,X
TSZILJO,X,O,O,X,X
TSZILOJ,X,O,O,X,X
TSZIJLO,X,O,O,X,X
TSZIJOL,O,O,O,X,X
TSZIOLJ,X,O,O,X,X
TSZIOJL,O,O,O,X,X
TSZLIJO,O,O,O,X,X
TSZLIOJ,O,O,O,X,X
TSZLJIO,O,O,O,X,X
TSZLJOI,O,O,O,X,X
TSZLOIJ,O,O,O,X,X
TSZLOJI,O,O,O,X,X
TSZJILO,X,O,O,X,X
TSZJIOL,O,O,O,X,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,X,X
TSZJOLI,O,O,O,X,X
TSZOILJ,X,O,O,X,X
TSZOIJL,O,O,O,X,X
TSZOLIJ,O,O,O,X,X
TSZOLJI,O,O,O,X,X
TSZOJIL,O,O,O,X,X
TSZOJLI,O,O,O,X,X
TSOILJZ,X,X,O,O,X
TSOILZJ,X,O,O,X,X
TSOIJLZ,X,X,O,O,X
TSOIJZL,X,X,O,O,X
TSOIZLJ,X,O,O,X,X
TSOIZJL,X,O,O,X,X
TSOLIJZ,O,X,O,O,X
TSOLIZJ,X,O,O,X,X
TSOLJIZ,O,X,O,O,X
TSOLJZI,O,X,O,O,X
TSOLZIJ,O,O,O,X,X
TSOLZJI,O,O,O,X,X
TSOJILZ,X,X,O,O,X
TSOJIZL,X,X,O,O,X
TSOJLIZ,O,X,O,O,X
TSOJLZI,O,X,O,O,X
TSOJZIL,O,X,O,O,X
TSOJZLI,O,X,O,O,X
TSOZILJ,X,O,O,X,X
TSOZIJL,O,O,O,X,X
TSOZLIJ,O,O,O,X,X
TSOZLJI,O,O,O,X,X
TSOZJIL,O,O,O,X,X
TSOZJLI,O,O,O,X,X
TZILJSO,O,O,X,X,X
TZILJOS,O,O,X,X,X
TZILSJO,O,O,X,X,X
TZILSOJ,O,O,X,X,X
TZILOJS,O,O,X,X,X
TZILOSJ,O,O,X,X,X
TZIJLSO,O,O,X,X,X
TZIJLOS,O,O,X,X,X
TZIJSLO,X,O,O,X,X
TZIJSOL,O,O,O,X,X
TZIJOLS,O,O,X,X,X
TZIJOSL,O,O,O,X,X
TZISLJO,X,O,O,X,X
TZISLOJ,X,O,O,X,X
TZISJLO,X,O,O,X,X
TZISJOL,O,O,O,X,X
TZISOLJ,X,O,O,X,X
TZISOJL,O,O,O,X,X
TZIOLJS,O,O,X,X,X
TZIOLSJ,O,O,X,X,X
TZIOJLS,O,O,X,X,X
TZIOJSL,O,O,O,X,X
TZIOSLJ,X,O,O,X,X
TZIOSJL,O,O,O,X,X
TZLIJSO,O,O,X,X,X
TZLIJOS,O,O,X,X,X
TZLISJO,O,O,X,X,X
TZLISOJ,O,O,X,X,X
TZLIOJS,O,O,X,X,X
TZLIOSJ,O,O,X,X,X
TZLJISO,O,O,X,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,O,X,X,X
TZLJSOI,O,O,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,X,X,X
TZLSIJO,O,O,X,X,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,O,X,X,X
TZLSJOI,O,O,X,X,X
TZLSOIJ,O,O,X,X,X
TZLSOJI,O,O,X,X,X
TZLOIJS,O,O,X,X,X
TZLOISJ,O,O,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,O,X,X,X
TZLOSIJ,O,O,X,X,X
TZLOSJI,O,O,X,X,X
TZJILSO,O,O,X,X,X
TZJILOS,O,O,X,X,X
TZJISLO,X,O,O,X,X
TZJISOL,O,O,O,X,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,O,O,X,X
