sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TIJZOLS,O,O,O,O,O,X,O,O,X
TIJZOSL,O,O,O,O,X,X,O,O,X
TIJOLSZ,O,X,X,O,O,O,O,O,X
TIJOLZS,O,X,X,O,O,O,O,O,X
TIJOSLZ,O,O,O,O,X,O,O,O,X
TIJOSZL,O,O,O,O,X,X,O,O,X
TIJOZLS,O,O,O,O,O,X,O,O,X
TIJOZSL,O,O,O,O,X,X,O,O,X
TISLJZO,O,O,O,O,X,O,O,X,O
TISLJOZ,O,O,O,O,X,O,O,X,O
TISLZJO,O,O,O,O,X,O,O,X,O
TISLZOJ,O,O,O,O,X,O,O,X,O
TISLOJZ,O,O,O,O,X,O,X,X,O
TISLOZJ,O,O,O,O,X,O,X,X,O
TISJLZO,O,O,O,O,X,O,O,X,O
TISJLOZ,O,O,O,O,X,O,O,X,O
TISJZLO,O,O,O,O,X,X,O,X,O
TISJZOL,O,O,O,O,X,X,O,X,O
TISJOLZ,O,O,O,O,X,O,O,X,O
TISJOZL,O,O,O,O,X,X,O,X,O
TISZLJO,O,O,O,O,X,X,O,X,O
TISZLOJ,O,O,O,O,X,X,O,X,O
TISZJLO,O,O,O,O,X,X,O,X,O
TISZJOL,O,O,O,O,X,X,O,X,O
TISZOLJ,O,O,O,O,X,X,O,X,O
TISZOJL,O,O,O,O,X,X,O,X,O
TISOLJZ,O,O,O,O,X,O,X,X,O
TISOLZJ,O,O,O,O,X,O,X,X,O
TISOJLZ,O,O,O,O,X,O,O,X,O
TISOJZL,O,O,O,O,X,X,O,X,O
TISOZLJ,O,O,O,O,X,X,O,X,O
TISOZJL,O,O,O,O,X,X,O,X,O
TIZLJSO,O,O,O,O,O,X,O,O,O
TIZLJOS,O,O,O,O,O,X,O,O,O
TIZLSJO,O,O,O,O,O,X,O,O,O
TIZLSOJ,O,O,O,O,O,X,O,O,O
TIZLOJS,O,O,O,O,O,X,O,O,O
TIZLOSJ,O,O,O,O,O,X,O,O,O
TIZJLSO,O,O,O,O,O,X,O,O,O
TIZJLOS,O,O,O,O,O,X,O,O,O
TIZJSLO,O,O,O,O,X,X,O,O,O
TIZJSOL,O,O,O,O,X,X,O,O,O
TIZJOLS,O,O,O,O,O,X,O,O,O
TIZJOSL,O,O,O,O,X,X,O,O,O
TIZSLJO,O,O,O,O,X,X,O,O,O
TIZSLOJ,O,O,O,O,X,X,O,O,O
TIZSJLO,O,O,O,O,X,X,O,O,O
TIZSJOL,O,O,O,O,X,X,O,O,O
TIZSOLJ,O,O,O,O,X,X,O,O,O
TIZSOJL,O,O,O,O,X,X,O,O,O
TIZOLJS,O,O,O,O,O,X,O,O,O
TIZOLSJ,O,O,O,O,O,X,O,O,O
TIZOJLS,O,O,O,O,O,X,O,O,O
TIZOJSL,O,O,O,O,X,X,O,O,O
TIZOSLJ,O,O,O,O,X,X,O,O,O
TIZOSJL,O,O,O,O,X,X,O,O,O
TIOLJSZ,O,X,X,O,O,O,O,O,X
TIOLJZS,O,X,X,O,O,O,O,O,O
TIOLSJZ,O,O,O,O,O,O,X,X,X
TIOLSZJ,O,O,O,O,O,O,X,X,X
TIOLZJS,O,O,O,O,O,O,O,O,O
TIOLZSJ,O,O,O,O,O,O,O,O,O
TIOJLSZ,O,X,X,O,O,O,O,O,X
TIOJLZS,O,X,X,O,O,O,O,O,X
TIOJSLZ,O,O,O,O,X,O,O,O,X
TIOJSZL,O,O,O,O,X,X,O,O,X
TIOJZLS,O,O,O,O,O,X,O,O,X
TIOJZSL,O,O,O,O,X,X,O,O,X
TIOSLJZ,O,O,O,O,X,O,X,X,O
TIOSLZJ,O,O,O,O,X,O,X,X,O
TIOSJLZ,O,O,O,O,X,O,O,X,O
TIOSJZL,O,O,O,O,X,X,O,X,O
TIOSZLJ,O,O,O,O,X,X,O,X,O
TIOSZJL,O,O,O,O,X,X,O,X,O
TIOZLJS,O,O,O,O,O,X,O,O,O
TIOZLSJ,O,O,O,O,O,X,O,O,O
TIOZJLS,O,O,O,O,O,X,O,O,O
TIOZJSL,O,O,O,O,X,X,O,O,O
TIOZSLJ,O,O,O,O,X,X,O,O,O
TIOZSJL,O,O,O,O,X,X,O,O,O
TLIJSZO,O,X,X,O,O,O,O,O,O
TLIJSOZ,O,X,X,O,O,O,O,X,O
TLIJZSO,O,X,X,O,O,O,O,O,O
TLIJZOS,O,X,X,O,O,O,O,O,O
TLIJOSZ,O,X,X,O,O,O,O,X,X
TLIJOZS,O,X,X,O,O,O,O,O,O
TLISJZO,O,O,O,O,O,O,O,X,O
TLISJOZ,O,O,O,O,O,O,O,X,O
TLISZJO,O,O,O,O,O,O,O,X,O
TLISZOJ,O,O,O,O,O,O,O,X,O
TLISOJZ,O,O,O,O,O,O,X,X,O
TLISOZJ,O,O,O,O,O,O,X,X,O
TLIZJSO,O,O,O,O,O,O,O,O,O
TLIZJOS,O,O,O,O,O,O,O,O,O
TLIZSJO,O,O,O,O,O,O,O,O,O
TLIZSOJ,O,O,O,O,O,O,O,O,O
TLIZOJS,O,O,O,O,O,O,O,O,O
TLIZOSJ,O,O,O,O,O,O,O,O,O
TLIOJSZ,O,X,X,O,O,O,O,O,X
TLIOJZS,O,X,X,O,O,O,O,O,O
TLIOSJZ,O,O,O,O,O,O,X,X,X
TLIOSZJ,O,O,O,O,O,O,X,X,X
TLIOZJS,O,O,O,O,O,O,O,O,O
TLIOZSJ,O,O,O,O,O,O,O,O,O
TLJISZO,O,X,X,O,O,O,O,O,O
TLJISOZ,O,X,X,O,O,O,O,X,O
TLJIZSO,O,X,X,O,O,O,O,O,O
TLJIZOS,O,X,X,O,O,O,O,O,O
TLJIOSZ,O,X,X,O,O,O,O,X,X
TLJIOZS,O,X,X,O,O,O,O,O,O
TLJSIZO,O,X,X,O,O,O,O,O,O
TLJSIOZ,O,X,X,O,O,O,O,X,O
TLJSZIO,O,X,X,O,O,O,O,O,O
TLJSZOI,O,X,X,O,O,O,O,O,O
TLJSOIZ,O,X,X,O,O,O,O,X,O
TLJSOZI,O,X,X,O,O,O,O,X,O
TLJZISO,O,X,X,O,O,O,O,O,O
TLJZIOS,O,X,X,O,O,O,O,O,O
TLJZSIO,O,X,X,O,O,O,O,O,O
TLJZSOI,O,X,X,O,O,O,O,O,O
TLJZOIS,O,X,X,O,O,O,O,O,O
TLJZOSI,O,X,X,O,O,O,O,O,O
TLJOISZ,O,X,X,O,O,O,O,X,X
TLJOIZS,O,X,X,O,O,O,O,O,O
TLJOSIZ,O,X,X,O,O,O,O,X,X
TLJOSZI,O,X,X,O,O,O,O,X,X
TLJOZIS,O,X,X,O,O,O,O,O,O
TLJOZSI,O,X,X,O,O,O,O,O,O
TLSIJZO,O,O,O,O,O,O,O,X,O
TLSIJOZ,O,O,O,O,O,O,O,X,O
TLSIZJO,O,O,O,O,O,O,O,X,O
TLSIZOJ,O,O,O,O,O,O,O,X,O
TLSIOJZ,O,O,O,O,O,O,X,X,O
TLSIOZJ,O,O,O,O,O,O,X,X,O
TLSJIZO,O,O,O,O,O,O,O,X,O
TLSJIOZ,O,O,O,O,O,O,O,X,O
TLSJZIO,O,O,O,O,O,O,O,X,O
TLSJZOI,O,O,O,O,O,O,O,X,O
TLSJOIZ,O,O,O,O,O,O,O,X,O
TLSJOZI,O,O,O,O,O,O,O,X,O
TLSZIJO,O,O,O,O,O,O,O,X,O
TLSZIOJ,O,O,O,O,O,O,O,X,O
TLSZJIO,O,O,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,O,O,X,O
TLSZOIJ,O,O,O,O,O,O,O,X,O
TLSZOJI,O,O,O,O,O,O,O,X,O
TLSOIJZ,O,O,O,O,O,O,X,X,O
TLSOIZJ,O,O,O,O,O,O,X,X,O
TLSOJIZ,O,O,O,O,O,O,X,X,O
TLSOJZI,O,O,O,O,O,O,X,X,O
TLSOZIJ,O,O,O,O,O,O,X,X,O
TLSOZJI,O,O,O,O,O,O,X,X,O
TLZIJSO,O,O,O,O,O,O,O,O,O
TLZIJOS,O,O,O,O,O,O,O,O,O
TLZISJO,O,O,O,O,O,O,O,O,O
TLZISOJ,O,O,O,O,O,O,O,O,O
TLZIOJS,O,O,O,O,O,O,O,O,O
TLZIOSJ,O,O,O,O,O,O,O,O,O
TLZJISO,O,O,O,O,O,O,O,O,O
TLZJIOS,O,O,O,O,O,O,O,O,O
TLZJSIO,O,O,O,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O,O,O,O
TLZJOIS,O,O,O,O,O,O,O,O,O
TLZJOSI,O,O,O,O,O,O,O,O,O
TLZSIJO,O,O,O,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O,O,O,O
TLZSOIJ,O,O,O,O,O,O,O,O,O
TLZSOJI,O,O,O,O,O,O,O,O,O
TLZOIJS,O,O,O,O,O,O,O,O,O
TLZOISJ,O,O,O,O,O,O,O,O,O
TLZOJIS,O,O,O,O,O,O,O,O,O
TLZOJSI,O,O,O,O,O,O,O,O,O
TLZOSIJ,O,O,O,O,O,O,O,O,O
TLZOSJI,O,O,O,O,O,O,O,O,O
TLOIJSZ,O,X,X,O,O,O,O,O,X
TLOIJZS,O,X,X,O,O,O,O,O,O
TLOISJZ,O,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,O,O,O,X,X,X
TLOIZJS,O,O,O,O,O,O,O,O,O
TLOIZSJ,O,O,O,O,O,O,O,O,O
TLOJISZ,O,X,X,O,O,O,O,O,X
TLOJIZS,O,X,X,O,O,O,O,O,O
TLOJSIZ,O,X,X,O,O,O,O,O,X
TLOJSZI,O,X,X,O,O,O,O,O,X
TLOJZIS,O,X,X,O,O,O,O,O,O
TLOJZSI,O,X,X,O,O,O,O,O,O
TLOSIJZ,O,O,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,O,O,X,X,X
TLOSJIZ,O,O,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,O,O,X,X,X
TLOSZJI,O,O,O,O,O,O,X,X,X
TLOZIJS,O,O,O,O,O,O,O,O,O
TLOZISJ,O,O,O,O,O,O,O,O,O
TLOZJIS,O,O,O,O,O,O,O,O,O
TLOZJSI,O,O,O,O,O,O,O,O,O
TLOZSIJ,O,O,O,O,O,O,O,O,O
TLOZSJI,O,O,O,O,O,O,O,O,O
TJILSZO,O,X,X,O,O,O,O,O,X
TJILSOZ,O,X,X,O,O,O,O,X,X
TJILZSO,O,X,X,O,O,O,O,O,X
TJILZOS,O,X,X,O,O,O,O,O,X
TJILOSZ,O,X,X,O,O,O,O,O,X
TJILOZS,O,X,X,O,O,O,O,O,X
TJISLZO,O,O,O,O,X,O,O,O,X
TJISLOZ,O,O,O,O,X,O,O,X,X
TJISZLO,O,O,O,O,X,X,O,O,X
TJISZOL,O,O,O,O,X,X,O,O,X
TJISOLZ,O,O,O,O,X,O,O,O,X
TJISOZL,O,O,O,O,X,X,O,O,X
TJIZLSO,O,O,O,O,O,X,O,O,X
TJIZLOS,O,O,O,O,O,X,O,O,X
TJIZSLO,O,O,O,O,X,X,O,O,X
TJIZSOL,O,O,O,O,X,X,O,O,X
TJIZOLS,O,O,O,O,O,X,O,O,X
TJIZOSL,O,O,O,O,X,X,O,O,X
TJIOLSZ,O,X,X,O,O,O,O,O,X
TJIOLZS,O,X,X,O,O,O,O,O,X
TJIOSLZ,O,O,O,O,X,O,O,O,X
TJIOSZL,O,O,O,O,X,X,O,O,X
TJIOZLS,O,O,O,O,O,X,O,O,X
TJIOZSL,O,O,O,O,X,X,O,O,X
TJLISZO,O,X,X,O,O,O,O,O,X
TJLISOZ,O,X,X,O,O,O,O,X,X
TJLIZSO,O,X,X,O,O,O,O,O,X
TJLIZOS,O,X,X,O,O,O,O,O,X
TJLIOSZ,O,X,X,O,O,O,O,O,X
TJLIOZS,O,X,X,O,O,O,O,O,X
TJLSIZO,O,X,X,O,O,O,O,O,X
TJLSIOZ,O,X,X,O,O,O,O,X,X
TJLSZIO,O,X,X,O,O,O,O,O,X
TJLSZOI,O,X,X,O,O,O,O,O,X
TJLSOIZ,O,X,X,O,O,O,O,X,X
TJLSOZI,O,X,X,O,O,O,O,X,X
TJLZISO,O,X,X,O,O,O,O,O,X
TJLZIOS,O,X,X,O,O,O,O,O,X
TJLZSIO,O,X,X,O,O,O,O,O,X
TJLZSOI,O,X,X,O,O,O,O,O,X
TJLZOIS,O,X,X,O,O,O,O,O,X
TJLZOSI,O,X,X,O,O,O,O,O,X
TJLOISZ,O,X,X,O,O,O,O,O,X
TJLOIZS,O,X,X,O,O,O,O,O,X
TJLOSIZ,O,X,X,O,O,O,O,O,X
TJLOSZI,O,X,X,O,O,O,O,O,X
TJLOZIS,O,X,X,O,O,O,O,O,X
TJLOZSI,O,X,X,O,O,O,O,O,X
TJSILZO,O,O,O,O,X,O,O,O,X
TJSILOZ,O,O,O,O,X,O,O,X,X
TJSIZLO,O,O,O,O,X,X,O,O,X
TJSIZOL,O,O,O,O,X,X,O,O,X
TJSIOLZ,O,O,O,O,X,O,O,O,X
TJSIOZL,O,O,O,O,X,X,O,O,X
TJSLIZO,O,O,O,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,O,O,O,X,X
TJSLOZI,O,O,O,O,O,O,O,X,X
TJSZILO,O,O,O,O,X,X,O,O,X
TJSZIOL,O,O,O,O,X,X,O,O,X
TJSZLIO,O,O,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,O,O,X
TJSZOIL,O,O,O,O,X,X,O,O,X
TJSZOLI,O,O,O,O,O,O,O,O,X
TJSOILZ,O,O,O,O,X,O,O,O,X
TJSOIZL,O,O,O,O,X,X,O,O,X
TJSOLIZ,O,O,O,O,O,O,O,O,X
TJSOLZI,O,O,O,O,O,O,O,O,X
TJSOZIL,O,O,O,O,X,X,O,O,X
TJSOZLI,O,O,O,O,O,O,O,O,X
TJZILSO,O,O,O,O,O,X,O,O,X
TJZILOS,O,O,O,O,O,X,O,O,X
TJZISLO,O,O,O,O,X,X,O,O,X
TJZISOL,O,O,O,O,X,X,O,O,X
TJZIOLS,O,O,O,O,O,X,O,O,X
TJZIOSL,O,O,O,O,X,X,O,O,X
TJZLISO,O,O,O,O,O,O,O,O,X
TJZLIOS,O,O,O,O,O,O,O,O,X
TJZLSIO,O,O,O,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O,O,O,X
TJZLOIS,O,O,O,O,O,O,O,O,X
TJZLOSI,O,O,O,O,O,O,O,O,X
TJZSILO,O,O,O,O,X,X,O,O,X
TJZSIOL,O,O,O,O,X,X,O,O,X
TJZSLIO,O,O,O,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,X,X,O,O,X
TJZSOLI,O,O,O,O,O,O,O,O,X
TJZOILS,O,O,O,O,O,X,O,O,X
TJZOISL,O,O,O,O,X,X,O,O,X
TJZOLIS,O,O,O,O,O,O,O,O,X
TJZOLSI,O,O,O,O,O,O,O,O,X
TJZOSIL,O,O,O,O,X,X,O,O,X
TJZOSLI,O,O,O,O,O,O,O,O,X
TJOILSZ,O,X,X,O,O,O,O,O,X
TJOILZS,O,X,X,O,O,O,O,O,X
TJOISLZ,O,O,O,O,X,O,O,O,X
TJOISZL,O,O,O,O,X,X,O,O,X
TJOIZLS,O,O,O,O,O,X,O,O,X
TJOIZSL,O,O,O,O,X,X,O,O,X
TJOLISZ,O,X,X,O,O,O,O,O,X
TJOLIZS,O,X,X,O,O,O,O,O,X
TJOLSIZ,O,X,X,O,O,O,O,O,X
TJOLSZI,O,X,X,O,O,O,O,O,X
TJOLZIS,O,X,X,O,O,O,O,O,X
TJOLZSI,O,X,X,O,O,O,O,O,X
TJOSILZ,O,O,O,O,X,O,O,O,X
TJOSIZL,O,O,O,O,X,X,O,O,X
TJOSLIZ,O,O,O,O,O,O,O,O,X
TJOSLZI,O,O,O,O,O,O,O,O,X
TJOSZIL,O,O,O,O,X,X,O,O,X
TJOSZLI,O,O,O,O,O,O,O,O,X
TJOZILS,O,O,O,O,O,X,O,O,X
TJOZISL,O,O,O,O,X,X,O,O,X
TJOZLIS,O,O,O,O,O,O,O,O,X
TJOZLSI,O,O,O,O,O,O,O,O,X
TJOZSIL,O,O,O,O,X,X,O,O,X
TJOZSLI,O,O,O,O,O,O,O,O,X
TSILJZO,O,O,O,O,X,O,O,X,O
TSILJOZ,O,O,O,O,X,O,O,X,O
TSILZJO,O,O,O,O,X,O,O,X,O
TSILZOJ,O,O,O,O,X,O,O,X,O
TSILOJZ,O,O,O,O,X,O,X,X,O
TSILOZJ,O,O,O,O,X,O,X,X,O
TSIJLZO,O,O,O,O,X,O,O,X,O
TSIJLOZ,O,O,O,O,X,O,O,X,O
TSIJZLO,O,O,O,O,X,X,O,X,O
TSIJZOL,O,O,O,O,X,X,O,X,O
TSIJOLZ,O,O,O,O,X,O,O,X,O
TSIJOZL,O,O,O,O,X,X,O,X,O
TSIZLJO,O,O,O,O,X,X,O,X,O
TSIZLOJ,O,O,O,O,X,X,O,X,O
TSIZJLO,O,O,O,O,X,X,O,X,O
TSIZJOL,O,O,O,O,X,X,O,X,O
TSIZOLJ,O,O,O,O,X,X,O,X,O
TSIZOJL,O,O,O,O,X,X,O,X,O
TSIOLJZ,O,O,O,O,X,O,X,X,O
TSIOLZJ,O,O,O,O,X,O,X,X,O
TSIOJLZ,O,O,O,O,X,O,O,X,O
TSIOJZL,O,O,O,O,X,X,O,X,O
TSIOZLJ,O,O,O,O,X,X,O,X,O
TSIOZJL,O,O,O,O,X,X,O,X,O
TSLIJZO,O,O,O,O,O,O,O,X,O
TSLIJOZ,O,O,O,O,O,O,O,X,O
TSLIZJO,O,O,O,O,O,O,O,X,O
TSLIZOJ,O,O,O,O,O,O,O,X,O
TSLIOJZ,O,O,O,O,O,O,X,X,O
TSLIOZJ,O,O,O,O,O,O,X,X,O
TSLJIZO,O,O,O,O,O,O,O,X,O
TSLJIOZ,O,O,O,O,O,O,O,X,O
TSLJZIO,O,O,O,O,O,O,O,X,O
TSLJZOI,O,O,O,O,O,O,O,X,O
TSLJOIZ,O,O,O,O,O,O,O,X,O
TSLJOZI,O,O,O,O,O,O,O,X,O
TSLZIJO,O,O,O,O,O,O,O,X,O
TSLZIOJ,O,O,O,O,O,O,O,X,O
TSLZJIO,O,O,O,O,O,O,O,X,O
TSLZJOI,O,O,O,O,O,O,O,X,O
TSLZOIJ,O,O,O,O,O,O,O,X,O
TSLZOJI,O,O,O,O,O,O,O,X,O
TSLOIJZ,O,O,O,O,O,O,X,X,O
TSLOIZJ,O,O,O,O,O,O,X,X,O
TSLOJIZ,O,O,O,O,O,O,X,X,O
TSLOJZI,O,O,O,O,O,O,X,X,O
TSLOZIJ,O,O,O,O,O,O,X,X,O
TSLOZJI,O,O,O,O,O,O,X,X,O
TSJILZO,O,O,O,O,X,O,O,X,O
TSJILOZ,O,O,O,O,X,O,O,X,O
TSJIZLO,O,O,O,O,X,X,O,X,O
TSJIZOL,O,O,O,O,X,X,O,X,O
TSJIOLZ,O,O,O,O,X,O,O,X,O
TSJIOZL,O,O,O,O,X,X,O,X,O
TSJLIZO,O,O,O,O,O,O,O,X,O
TSJLIOZ,O,O,O,O,O,O,O,X,O
TSJLZIO,O,O,O,O,O,O,O,X,O
TSJLZOI,O,O,O,O,O,O,O,X,O
TSJLOIZ,O,O,O,O,O,O,O,X,O
TSJLOZI,O,O,O,O,O,O,O,X,O
TSJZILO,O,O,O,O,X,X,O,X,O
TSJZIOL,O,O,O,O,X,X,O,X,O
TSJZLIO,O,O,O,O,O,O,O,X,O
TSJZLOI,O,O,O,O,O,O,O,X,O
TSJZOIL,O,O,O,O,X,X,O,X,O
TSJZOLI,O,O,O,O,O,O,O,X,O
TSJOILZ,O,O,O,O,X,O,O,X,O
TSJOIZL,O,O,O,O,X,X,O,X,O
TSJOLIZ,O,O,O,O,O,O,O,X,O
TSJOLZI,O,O,O,O,O,O,O,X,O
TSJOZIL,O,O,O,O,X,X,O,X,O
TSJOZLI,O,O,O,O,O,O,O,X,O
TSZILJO,O,O,O,O,X,X,O,X,O
TSZILOJ,O,O,O,O,X,X,O,X,O
TSZIJLO,O,O,O,O,X,X,O,X,O
TSZIJOL,O,O,O,O,X,X,O,X,O
TSZIOLJ,O,O,O,O,X,X,O,X,O
TSZIOJL,O,O,O,O,X,X,O,X,O
TSZLIJO,O,O,O,O,O,O,O,X,O
TSZLIOJ,O,O,O,O,O,O,O,X,O
TSZLJIO,O,O,O,O,O,O,O,X,O
TSZLJOI,O,O,O,O,O,O,O,X,O
TSZLOIJ,O,O,O,O,O,O,O,X,O
TSZLOJI,O,O,O,O,O,O,O,X,O
TSZJILO,O,O,O,O,X,X,O,X,O
TSZJIOL,O,O,O,O,X,X,O,X,O
TSZJLIO,O,O,O,O,O,O,O,X,O
TSZJLOI,O,O,O,O,O,O,O,X,O
TSZJOIL,O,O,O,O,X,X,O,X,O
TSZJOLI,O,O,O,O,O,O,O,X,O
TSZOILJ,O,O,O,O,X,X,O,X,O
TSZOIJL,O,O,O,O,X,X,O,X,O
TSZOLIJ,O,O,O,O,O,O,O,X,O
TSZOLJI,O,O,O,O,O,O,O,X,O
TSZOJIL,O,O,O,O,X,X,O,X,O
TSZOJLI,O,O,O,O,O,O,O,X,O
TSOILJZ,O,O,O,O,X,O,X,X,O
TSOILZJ,O,O,O,O,X,O,X,X,O
TSOIJLZ,O,O,O,O,X,O,O,X,O
TSOIJZL,O,O,O,O,X,X,O,X,O
TSOIZLJ,O,O,O,O,X,X,O,X,O
TSOIZJL,O,O,O,O,X,X,O,X,O
TSOLIJZ,O,O,O,O,O,O,X,X,O
TSOLIZJ,O,O,O,O,O,O,X,X,O
TSOLJIZ,O,O,O,O,O,O,X,X,O
TSOLJZI,O,O,O,O,O,O,X,X,O
TSOLZIJ,O,O,O,O,O,O,X,X,O
TSOLZJI,O,O,O,O,O,O,X,X,O
TSOJILZ,O,O,O,O,X,O,O,X,O
TSOJIZL,O,O,O,O,X,X,O,X,O
TSOJLIZ,O,O,O,O,O,O,O,X,O
TSOJLZI,O,O,O,O,O,O,O,X,O
TSOJZIL,O,O,O,O,X,X,O,X,O
TSOJZLI,O,O,O,O,O,O,O,X,O
TSOZILJ,O,O,O,O,X,X,O,X,O
TSOZIJL,O,O,O,O,X,X,O,X,O
TSOZLIJ,O,O,O,O,O,O,O,X,O
TSOZLJI,O,O,O,O,O,O,O,X,O
TSOZJIL,O,O,O,O,X,X,O,X,O
TSOZJLI,O,O,O,O,O,O,O,X,O
TZILJSO,O,O,O,O,O,X,O,O,O
TZILJOS,O,O,O,O,O,X,O,O,O
TZILSJO,O,O,O,O,O,X,O,O,O
TZILSOJ,O,O,O,O,O,X,O,O,O
TZILOJS,O,O,O,O,O,X,O,O,O
TZILOSJ,O,O,O,O,O,X,O,O,O
TZIJLSO,O,O,O,O,O,X,O,O,O
TZIJLOS,O,O,O,O,O,X,O,O,O
TZIJSLO,O,O,O,O,X,X,O,O,O
TZIJSOL,O,O,O,O,X,X,O,O,O
TZIJOLS,O,O,O,O,O,X,O,O,O
TZIJOSL,O,O,O,O,X,X,O,O,O
TZISLJO,O,O,O,O,X,X,O,O,O
TZISLOJ,O,O,O,O,X,X,O,O,O
TZISJLO,O,O,O,O,X,X,O,O,O
TZISJOL,O,O,O,O,X,X,O,O,O
TZISOLJ,O,O,O,O,X,X,O,O,O
TZISOJL,O,O,O,O,X,X,O,O,O
TZIOLJS,O,O,O,O,O,X,O,O,O
TZIOLSJ,O,O,O,O,O,X,O,O,O
TZIOJLS,O,O,O,O,O,X,O,O,O
TZIOJSL,O,O,O,O,X,X,O,O,O
