sequence,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBUdBGeBC?gBllBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhFTcB/iBGeBC?gBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jel6IvhFRcBGeBXgB8?lBCnBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBGeBCgBT?iBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Je6/IvhF0bBlcBGeB/?lBxrBTsB
TLOJIZS,O,O,O,O,X
TLOJSIZ,O,X,X,O,X
TLOJSZI,O,X,O,O,X
TLOJZIS,O,O,O,O,X
TLOJZSI,O,O,X,O,X
TLOSIJZ,O,X,X,O,X
TLOSIZJ,O,O,X,O,X
TLOSJIZ,O,X,X,O,X
TLOSJZI,O,X,O,O,X
TLOSZIJ,O,O,O,O,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,O,O,O,X
TLOZISJ,O,O,X,O,X
TLOZJIS,O,O,O,O,X
TLOZJSI,O,O,X,O,X
TLOZSIJ,O,O,X,O,X
TLOZSJI,O,O,X,O,X
TJILSZO,O,O,O,X,O
TJILSOZ,O,O,X,X,O
TJILZSO,O,O,O,X,O
TJILZOS,O,O,O,X,X
TJILOSZ,O,X,X,O,O
TJILOZS,O,O,O,O,X
TJISLZO,O,O,O,X,O
TJISLOZ,O,O,X,X,O
TJISZLO,O,O,O,X,O
TJISZOL,O,O,O,X,O
TJISOLZ,O,O,X,X,O
TJISOZL,O,O,X,X,O
TJIZLSO,O,O,O,X,O
TJIZLOS,O,O,O,X,X
TJIZSLO,O,O,O,X,O
TJIZSOL,O,O,O,X,O
TJIZOLS,O,X,O,X,X
TJIZOSL,O,O,O,X,X
TJIOLSZ,O,X,X,O,O
TJIOLZS,O,X,X,O,X
TJIOSLZ,O,X,X,O,O
TJIOSZL,O,X,X,X,O
TJIOZLS,O,X,X,O,X
TJIOZSL,O,O,X,X,X
TJLISZO,O,O,O,X,O
TJLISOZ,O,O,X,X,O
TJLIZSO,O,O,O,X,O
TJLIZOS,O,O,O,X,X
TJLIOSZ,O,X,X,O,O
TJLIOZS,O,O,O,O,X
TJLSIZO,O,O,O,X,O
TJLSIOZ,O,O,X,X,O
TJLSZIO,O,O,O,X,O
TJLSZOI,O,O,O,X,O
TJLSOIZ,O,O,X,X,X
TJLSOZI,O,O,O,X,X
TJLZISO,O,O,O,X,X
TJLZIOS,O,O,O,X,X
TJLZSIO,O,O,O,X,X
TJLZSOI,O,O,O,X,X
TJLZOIS,O,O,O,X,X
TJLZOSI,O,O,O,X,X
TJLOISZ,O,X,X,O,X
TJLOIZS,O,O,O,O,X
TJLOSIZ,O,X,X,O,X
TJLOSZI,O,X,O,O,X
TJLOZIS,O,O,O,O,X
TJLOZSI,O,O,X,O,X
TJSILZO,O,O,O,X,O
TJSILOZ,O,O,X,X,O
TJSIZLO,O,O,O,X,O
TJSIZOL,O,O,O,X,O
TJSIOLZ,O,O,X,X,O
TJSIOZL,O,O,X,X,O
TJSLIZO,O,O,O,X,O
TJSLIOZ,O,O,X,X,O
TJSLZIO,O,O,O,X,O
TJSLZOI,O,O,O,X,O
TJSLOIZ,O,O,X,X,X
TJSLOZI,O,O,O,X,X
TJSZILO,O,O,O,X,O
TJSZIOL,O,O,O,X,O
TJSZLIO,O,O,O,X,O
TJSZLOI,O,O,O,X,O
TJSZOIL,O,O,O,X,X
TJSZOLI,O,O,O,X,O
TJSOILZ,O,O,X,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,O,X,X,X
TJSOLZI,O,O,O,X,X
TJSOZIL,O,O,O,X,X
TJSOZLI,O,O,O,X,X
TJZILSO,O,O,O,X,X
TJZILOS,O,O,O,X,X
TJZISLO,O,O,O,X,X
TJZISOL,O,O,O,X,X
TJZIOLS,O,X,O,X,X
TJZIOSL,O,O,O,X,X
TJZLISO,O,O,O,X,X
TJZLIOS,O,O,O,X,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,O,X,X
TJZLOIS,O,O,O,X,X
TJZLOSI,O,O,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,X,O,X,X
TJZOISL,O,O,O,X,X
TJZOLIS,O,O,O,X,X
TJZOLSI,O,O,O,X,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,O,X,X,O,X
TJOILZS,O,X,X,O,X
TJOISLZ,O,X,X,O,X
TJOISZL,O,X,X,X,X
TJOIZLS,O,X,X,O,X
TJOIZSL,O,O,X,X,X
TJOLISZ,O,X,X,O,X
TJOLIZS,O,O,O,O,X
TJOLSIZ,O,X,X,O,X
TJOLSZI,O,X,O,O,X
TJOLZIS,O,O,O,O,X
TJOLZSI,O,O,X,O,X
TJOSILZ,O,X,X,O,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,O,X,X,O,X
TJOSLZI,O,X,O,O,X
TJOSZIL,O,X,O,X,X
TJOSZLI,O,X,O,O,X
TJOZILS,O,X,O,O,X
TJOZISL,O,O,O,X,X
TJOZLIS,O,O,O,O,X
TJOZLSI,O,O,O,O,X
TJOZSIL,O,O,O,X,X
TJOZSLI,O,O,O,O,X
TSILJZO,O,O,O,X,O
TSILJOZ,O,O,X,X,O
TSILZJO,O,O,O,X,O
TSILZOJ,O,O,O,X,O
TSILOJZ,O,O,X,X,O
TSILOZJ,O,O,X,X,O
TSIJLZO,O,O,O,X,O
