sequence,v115@6gC8IeB8GeC8AeA8CeH8AeE8Je2/IvhFRbBzcBUhB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex6IvhFOhB8hB6kBT?gB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB8hBmgB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB2iB8kBF?hBfrBCsB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeaBJvhFzcBxfB3iBG?lBcrBlpB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jem7IvhFzcBxfB3iB6?kBllBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbByhB8kBW?mB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFFcB2iBClBx?mB/lBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex7IvhF8hBmfBzgB3?iB6kBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhF8kBliBRmBC?mB3mBmqB
TISLZOJ,O,O,O,X,X,O,O,X,X,X
TISLOJZ,O,O,O,X,X,X,O,X,X,X
TISLOZJ,X,O,O,X,X,X,O,X,X,X
TISJLZO,O,X,O,X,X,X,O,X,X,X
TISJLOZ,O,X,O,X,X,X,O,X,X,X
TISJZLO,O,X,O,X,O,O,O,X,X,X
TISJZOL,O,X,O,X,O,O,O,X,O,X
TISJOLZ,O,X,X,X,X,O,O,X,X,X
TISJOZL,O,X,O,X,X,X,O,X,O,X
TISZLJO,O,O,O,X,X,O,O,X,X,X
TISZLOJ,O,O,O,X,O,O,O,X,X,O
TISZJLO,O,O,O,X,X,O,O,X,X,X
TISZJOL,O,O,O,X,X,O,O,X,O,X
TISZOLJ,O,O,O,X,O,O,O,X,O,O
TISZOJL,O,O,O,X,X,O,O,X,O,X
TISOLJZ,O,O,O,X,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,O,X
TISOZLJ,O,O,O,X,X,O,X,X,O,X
TISOZJL,O,O,O,X,X,O,X,X,O,X
TIZLJSO,O,O,O,X,X,O,O,X,X,X
TIZLJOS,O,O,O,X,X,X,O,X,X,O
TIZLSJO,O,O,O,X,X,O,X,X,X,X
TIZLSOJ,O,X,O,X,O,O,X,X,X,O
TIZLOJS,O,O,O,X,X,X,O,X,X,O
TIZLOSJ,O,O,O,X,X,X,X,X,X,O
TIZJLSO,O,O,O,X,X,O,O,X,X,X
TIZJLOS,O,O,O,X,X,X,O,X,X,O
TIZJSLO,O,X,O,X,X,O,O,X,X,X
TIZJSOL,O,X,O,X,X,O,O,X,X,X
TIZJOLS,O,O,O,X,X,X,O,X,X,O
TIZJOSL,O,O,O,X,X,O,O,X,X,X
TIZSLJO,O,X,O,X,X,O,O,X,X,X
TIZSLOJ,O,X,O,X,O,O,O,X,X,O
TIZSJLO,O,X,O,X,X,O,O,X,X,X
TIZSJOL,O,X,O,X,X,O,O,X,X,X
TIZSOLJ,O,X,O,X,O,O,O,X,X,O
TIZSOJL,O,X,O,X,X,O,O,X,X,X
TIZOLJS,O,O,O,X,X,X,O,X,X,O
TIZOLSJ,O,O,O,X,X,X,X,X,X,O
TIZOJLS,O,O,O,X,X,X,O,X,X,O
TIZOJSL,O,O,O,X,X,O,O,X,X,X
TIZOSLJ,O,X,O,X,X,O,O,X,X,O
TIZOSJL,O,O,O,X,X,O,O,X,X,X
TIOLJSZ,X,O,O,X,X,X,X,O,X,X
TIOLJZS,X,O,O,X,X,X,X,O,X,X
TIOLSJZ,X,O,O,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,X,X,X,X,O,X,X
TIOLZJS,X,O,O,X,X,X,X,O,X,X
TIOLZSJ,X,O,O,X,X,X,X,O,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,O,X,X,X,X,X,O,X
TIOJZLS,X,O,O,X,X,X,X,X,X,X
TIOJZSL,X,O,O,X,X,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,O,X,X,X,X,X,O,X
TIOSZLJ,X,O,O,X,X,O,X,X,O,X
TIOSZJL,X,O,O,X,X,O,X,X,O,X
TIOZLJS,X,O,O,X,X,X,X,X,X,O
TIOZLSJ,X,O,O,X,X,X,X,X,X,O
TIOZJLS,X,O,O,X,X,X,X,X,X,O
TIOZJSL,X,O,O,X,X,O,X,X,X,X
TIOZSLJ,X,O,O,X,X,O,X,X,X,O
TIOZSJL,X,O,O,X,X,O,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,O,X,X
TLIJSOZ,O,O,O,X,X,X,X,O,X,X
TLIJZSO,O,O,O,X,X,X,X,O,X,X
TLIJZOS,O,O,O,X,X,X,X,O,X,X
TLIJOSZ,O,O,O,X,X,X,X,O,X,X
TLIJOZS,O,O,O,X,X,X,X,O,X,X
TLISJZO,O,O,O,X,X,X,X,O,X,X
TLISJOZ,O,O,O,X,X,X,X,O,X,X
TLISZJO,O,O,O,X,X,O,X,O,X,X
TLISZOJ,O,O,O,X,X,O,X,O,X,X
TLISOJZ,O,O,O,X,X,X,X,O,X,X
TLISOZJ,X,O,O,X,X,X,X,O,X,X
TLIZJSO,O,O,O,X,X,O,X,O,X,X
TLIZJOS,O,O,O,X,X,X,X,O,X,O
TLIZSJO,O,O,O,X,X,O,X,O,X,X
TLIZSOJ,O,O,O,X,X,O,X,O,X,O
TLIZOJS,O,O,O,X,X,X,X,O,X,O
TLIZOSJ,O,O,O,X,X,X,X,O,X,O
TLIOJSZ,X,O,O,X,X,X,X,O,X,X
TLIOJZS,X,O,O,X,X,X,X,O,X,X
TLIOSJZ,X,O,O,X,X,X,X,O,X,X
TLIOSZJ,X,O,O,X,X,X,X,O,X,X
TLIOZJS,X,O,O,X,X,X,X,O,X,X
TLIOZSJ,X,O,O,X,X,X,X,O,X,X
TLJISZO,O,O,O,X,X,X,O,O,X,X
TLJISOZ,O,O,O,X,X,X,X,O,X,X
TLJIZSO,O,O,O,X,X,X,O,O,X,X
TLJIZOS,O,O,O,X,X,X,O,O,X,X
TLJIOSZ,O,O,O,X,X,X,X,O,X,X
TLJIOZS,O,O,O,X,X,X,O,O,X,X
TLJSIZO,O,O,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,O,X,X,X
TLJSZIO,O,O,O,O,X,X,O,X,X,X
TLJSZOI,O,O,O,O,X,X,O,X,O,X
TLJSOIZ,O,O,O,O,X,X,O,X,X,X
TLJSOZI,O,O,O,O,X,X,O,X,O,X
TLJZISO,O,O,O,X,X,X,O,X,X,X
TLJZIOS,O,O,O,O,X,X,O,X,X,X
TLJZSIO,O,O,O,O,X,X,O,X,X,X
TLJZSOI,O,O,O,O,X,X,O,X,X,X
TLJZOIS,O,O,O,O,X,X,O,X,X,X
TLJZOSI,O,O,O,O,X,X,O,X,X,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X
TLJOIZS,O,O,O,X,X,X,O,O,X,X
TLJOSIZ,O,O,O,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X,O,X
TLJOZIS,O,O,O,X,X,X,O,X,X,X
TLJOZSI,O,O,O,X,X,X,O,X,X,X
TLSIJZO,O,O,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,O,O,X,X,O,X,X,X
TLSIZJO,O,O,O,O,X,O,O,X,X,X
TLSIZOJ,O,O,O,O,X,O,O,X,X,X
TLSIOJZ,O,O,O,O,X,X,O,X,X,X
TLSIOZJ,X,O,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,O,X,X,X
TLSJZIO,O,O,O,O,X,X,O,X,X,X
TLSJZOI,O,O,O,O,X,X,O,X,O,X
TLSJOIZ,O,O,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,O,X
TLSZIJO,O,O,O,O,X,X,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,O,X,X,X
TLSZJIO,O,O,O,O,X,X,O,X,X,X
TLSZJOI,O,O,O,O,X,X,O,X,O,X
TLSZOIJ,O,O,O,O,X,X,O,X,O,X
TLSZOJI,O,O,O,O,X,X,O,X,O,X
TLSOIJZ,O,O,O,O,X,X,O,X,X,X
TLSOIZJ,X,O,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,X,X,O,X,X,X
TLSOJZI,O,O,O,O,X,X,O,X,O,X
TLSOZIJ,O,O,O,O,X,X,O,X,O,X
TLSOZJI,O,O,O,O,X,X,O,X,O,X
TLZIJSO,O,O,O,X,X,X,O,X,X,X
TLZIJOS,O,O,O,O,X,X,O,X,X,O
TLZISJO,O,O,O,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,O
TLZIOJS,O,O,O,O,X,X,O,X,X,O
TLZIOSJ,O,O,O,X,X,X,X,X,X,O
TLZJISO,O,O,O,X,X,X,O,X,X,X
TLZJIOS,O,O,O,O,X,X,O,X,X,X
TLZJSIO,O,O,O,O,X,X,O,X,X,X
TLZJSOI,O,O,O,O,X,X,O,X,X,X
TLZJOIS,O,O,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,X
TLZSIJO,O,O,O,O,X,X,O,X,X,X
TLZSIOJ,O,O,O,O,X,X,O,X,X,X
TLZSJIO,O,O,O,O,X,X,O,X,X,X
TLZSJOI,O,O,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,O,X,X,X
TLZSOJI,O,O,O,O,X,X,O,X,X,X
TLZOIJS,O,O,O,O,X,X,O,X,X,O
TLZOISJ,O,O,O,X,X,X,X,X,X,O
TLZOJIS,O,O,O,O,X,X,O,X,X,X
TLZOJSI,O,O,O,O,X,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,X,O,X,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,O,X,X
TLOIJZS,X,O,O,X,X,X,X,O,X,X
TLOISJZ,X,O,O,X,X,X,X,O,X,X
TLOISZJ,X,O,O,X,X,X,X,O,X,X
TLOIZJS,X,O,O,X,X,X,X,O,X,X
TLOIZSJ,X,O,O,X,X,X,X,O,X,X
TLOJISZ,O,O,O,X,X,X,X,O,X,X
TLOJIZS,O,O,O,X,X,X,X,O,X,X
TLOJSIZ,O,O,O,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,O,X
TLOJZIS,O,O,O,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X,O,X
TLOSZIJ,O,O,O,X,X,X,X,X,O,X
TLOSZJI,O,O,O,X,X,X,X,X,O,X
TLOZIJS,O,O,O,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,X,O,O,X,X
TJILSOZ,O,X,O,X,X,X,X,O,X,X
TJILZSO,O,X,O,X,X,X,O,O,X,X
TJILZOS,O,X,O,X,X,X,O,O,X,X
TJILOSZ,O,X,O,X,X,X,X,O,X,X
TJILOZS,O,X,O,X,X,X,O,O,X,X
TJISLZO,O,X,O,X,X,X,O,X,X,X
TJISLOZ,O,X,O,X,X,X,O,X,X,X
TJISZLO,O,X,O,X,O,O,O,X,X,X
TJISZOL,O,X,O,X,O,O,O,X,O,X
TJISOLZ,O,X,X,X,X,X,O,X,X,X
TJISOZL,O,X,O,X,X,X,O,X,O,X
TJIZLSO,O,X,O,X,O,O,O,X,X,X
TJIZLOS,O,X,O,X,X,X,O,X,X,O
TJIZSLO,O,X,O,X,O,O,O,X,X,X
TJIZSOL,O,X,O,X,O,O,O,X,X,X
TJIZOLS,O,X,O,X,X,X,O,X,X,O
TJIZOSL,O,X,O,X,X,O,O,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,O,X,X
TJIOLZS,O,X,X,X,X,X,O,O,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,O,X
TJIOZLS,O,X,O,X,X,X,O,X,X,X
TJIOZSL,O,X,O,X,X,X,O,X,X,X
TJLISZO,O,O,O,X,X,X,O,O,X,X
TJLISOZ,O,O,O,X,X,X,X,O,X,X
TJLIZSO,O,O,O,X,X,X,O,O,X,X
TJLIZOS,O,O,O,X,X,X,O,O,X,X
TJLIOSZ,O,O,O,X,X,X,X,O,X,X
TJLIOZS,O,O,O,X,X,X,O,O,X,X
TJLSIZO,O,O,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,O,X,X,X
TJLSZIO,O,O,O,O,X,X,O,X,X,X
TJLSZOI,O,O,O,O,X,X,O,X,O,X
TJLSOIZ,O,O,O,O,X,X,O,X,X,X
TJLSOZI,O,O,O,O,X,X,O,X,O,X
TJLZISO,O,O,O,X,X,X,O,X,X,X
TJLZIOS,O,O,O,O,X,X,O,X,X,X
TJLZSIO,O,O,O,O,X,X,O,X,X,X
TJLZSOI,O,O,O,O,X,X,O,X,X,X
TJLZOIS,O,O,O,O,X,X,O,X,X,X
TJLZOSI,O,O,O,O,X,X,O,X,X,X
TJLOISZ,O,O,O,X,X,X,X,O,X,X
TJLOIZS,O,O,O,X,X,X,O,O,X,X
TJLOSIZ,O,O,O,X,X,X,X,X,X,X
TJLOSZI,O,O,O,X,X,X,X,X,O,X
TJLOZIS,O,O,O,X,X,X,O,X,X,X
TJLOZSI,O,O,O,X,X,X,O,X,X,X
TJSILZO,O,X,O,O,X,X,O,X,X,X
TJSILOZ,O,X,O,X,X,X,O,X,X,X
TJSIZLO,O,X,O,O,O,O,O,X,X,X
TJSIZOL,O,X,O,O,O,O,O,X,O,X
TJSIOLZ,O,X,X,X,X,X,O,X,X,X
TJSIOZL,O,X,O,O,X,X,O,X,O,X
TJSLIZO,O,O,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,O,X,X,O,X,X,X
TJSLZIO,O,O,O,O,X,X,O,X,X,X
TJSLZOI,O,O,O,O,X,X,O,X,O,X
TJSLOIZ,O,O,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,O,X,X,O,X,O,X
TJSZILO,O,O,O,O,O,X,O,X,X,X
TJSZIOL,O,O,O,O,O,X,O,X,O,X
TJSZLIO,O,O,O,O,O,X,O,X,X,X
TJSZLOI,O,O,O,O,O,X,O,X,O,X
TJSZOIL,O,O,O,O,O,X,O,X,O,X
TJSZOLI,O,O,O,O,O,X,O,X,O,X
TJSOILZ,O,X,X,X,X,X,O,X,X,X
TJSOIZL,O,O,O,O,X,X,O,X,O,X
TJSOLIZ,O,O,O,X,X,X,O,X,X,X
TJSOLZI,O,O,O,X,X,X,O,X,O,X
TJSOZIL,O,O,O,O,X,X,O,X,O,X
TJSOZLI,O,O,O,O,X,X,O,X,O,X
TJZILSO,O,O,O,X,O,X,O,X,X,X
TJZILOS,O,O,O,X,X,X,O,X,X,O
TJZISLO,O,X,O,X,O,X,O,X,X,X
TJZISOL,O,X,O,X,O,X,O,X,X,X
TJZIOLS,O,O,O,O,X,X,O,X,X,O
TJZIOSL,O,O,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,X,O,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,O,O,X,O,X,X,X
TJZLSOI,O,O,O,O,O,X,O,X,X,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,X
TJZSILO,O,X,O,O,O,X,O,X,X,X
TJZSIOL,O,X,O,O,O,X,O,X,O,X
TJZSLIO,O,O,O,O,O,X,O,X,X,X
TJZSLOI,O,O,O,O,O,X,O,X,O,X
TJZSOIL,O,O,O,O,O,X,O,X,O,X
TJZSOLI,O,O,O,O,O,X,O,X,O,X
TJZOILS,O,O,O,O,X,X,O,X,X,O
TJZOISL,O,O,O,O,X,X,O,X,X,X
TJZOLIS,O,O,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,O,X,X,O,X,X,X
TJZOSIL,O,O,O,O,X,X,O,X,O,X
TJZOSLI,O,O,O,O,X,X,O,X,O,X
TJOILSZ,O,X,X,X,X,X,X,O,X,X
TJOILZS,O,X,X,X,X,X,O,O,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X,O,X
TJOIZLS,O,O,O,X,X,X,O,X,X,X
TJOIZSL,O,O,O,X,X,X,O,X,X,X
TJOLISZ,O,O,O,X,X,X,X,O,X,X
TJOLIZS,O,O,O,X,X,X,O,O,X,X
TJOLSIZ,O,O,O,X,X,X,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X,X,O,X
TJOLZIS,O,O,O,X,X,X,O,X,X,X
TJOLZSI,O,O,O,X,X,X,O,X,X,X
TJOSILZ,O,X,X,X,X,X,O,X,X,X
TJOSIZL,O,O,O,X,X,X,O,X,O,X
TJOSLIZ,O,O,O,X,X,X,O,X,X,X
TJOSLZI,O,O,O,X,X,X,O,X,O,X
TJOSZIL,O,O,O,X,X,X,O,X,O,X
TJOSZLI,O,O,O,X,X,X,O,X,O,X
TJOZILS,O,O,O,X,X,X,O,X,X,X
TJOZISL,O,O,O,X,X,X,O,X,X,X
TJOZLIS,O,O,O,X,X,X,O,X,X,X
TJOZLSI,X,O,O,X,X,X,O,X,X,X
TJOZSIL,O,O,O,X,X,X,O,X,O,X
TJOZSLI,O,O,O,X,X,X,O,X,O,X
TSILJZO,O,O,O,O,X,X,O,X,X,X
TSILJOZ,O,O,O,O,X,X,O,X,X,X
TSILZJO,O,O,O,O,X,O,O,X,X,X
TSILZOJ,O,O,O,O,X,O,O,X,X,X
TSILOJZ,O,O,O,O,X,X,O,X,X,X
TSILOZJ,X,O,O,O,X,X,O,X,X,X
TSIJLZO,O,X,O,O,X,X,O,X,X,X
TSIJLOZ,O,X,O,O,X,X,O,X,X,X
TSIJZLO,O,X,O,O,O,O,O,X,X,X
TSIJZOL,O,X,O,O,O,O,O,X,O,X
TSIJOLZ,O,X,X,X,X,O,O,X,X,X
TSIJOZL,O,X,O,O,X,X,O,X,O,X
TSIZLJO,O,O,O,O,X,O,O,X,X,X
TSIZLOJ,O,O,O,O,O,O,O,X,X,O
TSIZJLO,O,O,O,O,X,O,O,X,X,X
TSIZJOL,O,O,O,O,X,O,O,X,O,X
TSIZOLJ,O,O,O,O,O,O,O,X,O,O
TSIZOJL,O,O,O,O,X,O,O,X,O,X
TSIOLJZ,O,O,O,O,X,X,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,X
TSIOJZL,O,O,O,O,X,X,X,X,O,X
TSIOZLJ,O,O,O,O,X,O,X,X,O,X
TSIOZJL,O,O,O,O,X,O,X,X,O,X
TSLIJZO,O,O,O,O,X,X,O,X,X,X
TSLIJOZ,O,O,O,O,X,X,O,X,X,X
TSLIZJO,O,O,O,O,X,O,O,X,X,X
TSLIZOJ,O,O,O,O,X,O,O,X,X,X
TSLIOJZ,O,O,O,O,X,X,O,X,X,X
TSLIOZJ,X,O,O,O,X,X,O,X,X,X
TSLJIZO,O,O,O,O,X,X,O,X,X,X
TSLJIOZ,O,O,O,O,X,X,O,X,X,X
TSLJZIO,O,O,O,O,X,X,O,X,X,X
TSLJZOI,O,O,O,O,X,X,O,X,O,X
TSLJOIZ,O,O,O,O,X,X,O,X,X,X
TSLJOZI,O,O,O,O,X,X,O,X,O,X
TSLZIJO,O,O,O,O,X,X,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,O,X,X,X
TSLZJIO,O,O,O,O,X,X,O,X,X,X
TSLZJOI,O,O,O,O,X,X,O,X,O,X
TSLZOIJ,O,O,O,O,X,X,O,X,O,X
TSLZOJI,O,O,O,O,X,X,O,X,O,X
TSLOIJZ,O,O,O,O,X,X,O,X,X,X
TSLOIZJ,X,O,O,O,X,X,O,X,X,X
TSLOJIZ,O,O,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,O,X,X,O,X,O,X
TSLOZIJ,O,O,O,O,X,X,O,X,O,X
TSLOZJI,O,O,O,O,X,X,O,X,O,X
TSJILZO,O,X,O,O,X,X,O,X,X,X
TSJILOZ,O,X,O,O,X,X,O,X,X,X
TSJIZLO,O,X,O,O,O,O,O,X,X,X
TSJIZOL,O,X,O,O,O,O,O,X,O,X
TSJIOLZ,O,X,X,X,X,X,O,X,X,X
TSJIOZL,O,X,O,O,X,X,O,X,O,X
TSJLIZO,O,O,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,O,O,X,X,O,X,X,X
TSJLZIO,O,O,O,O,X,X,O,X,X,X
TSJLZOI,O,O,O,O,X,X,O,X,O,X
TSJLOIZ,O,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,O,X,X,O,X,O,X
TSJZILO,O,O,O,O,O,X,O,X,X,X
TSJZIOL,O,O,O,O,O,X,O,X,O,X
TSJZLIO,O,O,O,O,O,X,O,X,X,X
TSJZLOI,O,O,O,O,O,X,O,X,O,X
TSJZOIL,O,O,O,O,O,X,O,X,O,X
TSJZOLI,O,O,O,O,O,X,O,X,O,X
TSJOILZ,O,X,X,X,X,X,O,X,X,X
TSJOIZL,O,O,O,O,X,X,O,X,O,X
TSJOLIZ,O,O,O,X,X,X,O,X,X,X
TSJOLZI,O,O,O,X,X,X,O,X,O,X
TSJOZIL,O,O,O,O,X,X,O,X,O,X
TSJOZLI,O,O,O,O,X,X,O,X,O,X
TSZILJO,O,O,O,O,X,O,O,X,X,X
TSZILOJ,O,O,O,O,O,O,O,X,X,O
TSZIJLO,O,O,O,O,X,O,O,X,X,X
TSZIJOL,O,O,O,O,X,O,O,X,O,X
TSZIOLJ,O,O,O,O,O,O,O,X,O,O
TSZIOJL,O,O,O,O,X,O,O,X,O,X
TSZLIJO,O,O,O,O,X,O,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,O,X,X,X
TSZLJIO,O,O,O,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,O,O,X,O,X
TSZLOIJ,O,O,O,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,O,O,O,X,O,X
TSZJILO,O,O,O,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,O,O,O,X,O,X
TSZJLIO,O,O,O,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,O,O,X,O,X
TSZJOIL,O,O,O,O,O,O,O,X,O,X
TSZJOLI,O,O,O,O,O,O,O,X,O,X
TSZOILJ,O,O,O,O,O,O,O,X,O,O
TSZOIJL,O,O,O,O,X,O,O,X,O,X
TSZOLIJ,O,O,O,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,O,O,O,X,O,X
TSZOJIL,O,O,O,O,O,O,O,X,O,X
TSZOJLI,O,O,O,O,O,O,O,X,O,X
TSOILJZ,O,O,O,O,X,X,X,X,X,X
TSOILZJ,X,O,O,O,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,O,X,X,X,X
