sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
TIOJLSZ,X,X,X,O,X,O,X,O,X
TIOJLZS,X,X,X,O,X,X,X,O,X
TIOJSLZ,X,X,O,X,X,O,X,O,X
TIOJSZL,X,X,O,X,X,O,O,X,X
TIOJZLS,X,X,O,X,X,X,X,O,X
TIOJZSL,X,X,O,X,X,O,O,X,X
TIOSLJZ,X,X,O,O,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,O,X,O,X
TIOSJZL,X,X,O,X,X,O,O,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,O,O,X,X
TIOZLJS,X,O,O,O,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,O,X
TIOZJSL,X,X,O,X,X,X,O,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X
TLIJSZO,O,X,X,O,X,X,X,O,O
TLIJSOZ,X,X,X,O,X,X,X,O,X
TLIJZSO,O,X,X,O,X,X,X,O,O
TLIJZOS,X,X,X,O,X,X,X,O,O
TLIJOSZ,X,X,X,O,X,X,X,O,X
TLIJOZS,X,X,X,O,X,X,X,O,X
TLISJZO,O,X,O,O,X,X,X,X,O
TLISJOZ,O,X,X,O,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,X,O
TLISZOJ,O,O,O,O,X,X,X,X,O
TLISOJZ,O,X,X,O,X,X,X,X,X
TLISOZJ,O,O,O,O,X,X,X,X,O
TLIZJSO,O,O,O,O,X,X,X,X,O
TLIZJOS,X,O,O,O,X,X,X,X,O
TLIZSJO,O,O,O,O,X,X,X,X,O
TLIZSOJ,O,O,O,O,X,X,X,X,O
TLIZOJS,X,O,O,O,X,X,X,X,O
TLIZOSJ,X,O,O,O,X,X,X,X,O
TLIOJSZ,X,X,X,O,X,X,X,O,X
TLIOJZS,X,X,X,O,X,X,X,O,X
TLIOSJZ,O,X,O,O,X,X,X,X,X
TLIOSZJ,O,O,O,O,X,X,X,X,O
TLIOZJS,X,O,O,O,X,X,X,X,O
TLIOZSJ,X,O,O,O,X,X,X,X,O
TLJISZO,O,X,X,O,X,X,X,O,O
TLJISOZ,X,X,X,O,X,X,X,O,X
TLJIZSO,O,X,X,O,X,X,X,O,O
TLJIZOS,X,X,X,O,X,X,X,O,O
TLJIOSZ,X,X,X,O,X,X,X,O,X
TLJIOZS,X,X,X,O,X,X,X,O,X
TLJSIZO,O,X,X,O,X,X,X,X,O
TLJSIOZ,X,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,O
TLJSZOI,O,X,X,O,X,X,X,X,O
TLJSOIZ,X,X,X,O,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,O,X,X,X,X,O
TLJZIOS,X,X,X,O,X,X,X,X,O
TLJZSIO,O,X,X,O,X,X,X,X,O
TLJZSOI,O,X,X,O,X,X,X,X,O
TLJZOIS,X,X,X,O,X,X,X,X,O
TLJZOSI,X,X,X,O,X,X,X,X,O
TLJOISZ,X,X,X,O,X,X,X,O,X
TLJOIZS,X,X,X,O,X,X,X,O,X
TLJOSIZ,X,X,X,O,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,O
TLSIJOZ,O,X,X,O,X,X,X,X,X
TLSIZJO,O,O,O,O,X,X,X,X,O
TLSIZOJ,O,O,O,O,X,X,X,X,O
TLSIOJZ,O,X,X,O,X,X,X,X,X
TLSIOZJ,O,O,O,O,X,X,X,X,O
TLSJIZO,O,X,O,O,X,X,X,X,O
TLSJIOZ,O,X,X,O,X,X,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,O
TLSJZOI,O,X,O,O,X,X,X,X,O
TLSJOIZ,O,X,X,O,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,X,O
TLSZIOJ,O,O,O,O,X,X,X,X,O
TLSZJIO,O,O,O,O,X,X,X,X,O
TLSZJOI,O,O,O,O,X,X,X,X,O
TLSZOIJ,O,O,O,O,X,X,X,X,O
TLSZOJI,O,O,O,O,X,X,X,X,O
TLSOIJZ,O,X,X,O,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,O
TLSOJIZ,O,X,X,O,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,X,X,X,O
TLSOZJI,O,O,O,O,X,X,X,X,O
TLZIJSO,O,O,O,O,X,X,X,X,O
TLZIJOS,X,O,O,O,X,X,X,X,O
TLZISJO,O,O,O,O,X,X,X,X,O
TLZISOJ,O,O,O,O,X,X,X,X,O
TLZIOJS,X,O,O,O,X,X,X,X,O
TLZIOSJ,X,O,O,O,X,X,X,X,O
TLZJISO,O,O,O,O,X,X,X,X,O
TLZJIOS,X,O,O,O,X,X,X,X,O
TLZJSIO,O,O,O,O,X,X,X,X,O
TLZJSOI,O,O,O,O,X,X,X,X,O
TLZJOIS,X,O,O,O,X,X,X,X,O
TLZJOSI,X,O,O,O,X,X,X,X,O
TLZSIJO,O,O,O,O,X,X,X,X,O
TLZSIOJ,O,O,O,O,X,X,X,X,O
TLZSJIO,O,O,O,O,X,X,X,X,O
TLZSJOI,O,O,O,O,X,X,X,X,O
TLZSOIJ,O,O,O,O,X,X,X,X,O
TLZSOJI,O,O,O,O,X,X,X,X,O
TLZOIJS,X,O,O,O,X,X,X,X,O
TLZOISJ,X,O,O,O,X,X,X,X,O
TLZOJIS,X,O,O,O,X,X,X,X,O
TLZOJSI,X,O,O,O,X,X,X,X,O
TLZOSIJ,X,O,O,O,X,X,X,X,O
TLZOSJI,X,O,O,O,X,X,X,X,O
TLOIJSZ,X,X,X,O,X,X,X,O,X
TLOIJZS,X,X,X,O,X,X,X,O,X
TLOISJZ,O,X,O,O,X,X,X,X,X
TLOISZJ,O,O,O,O,X,X,X,X,O
TLOIZJS,X,O,O,O,X,X,X,X,O
TLOIZSJ,X,O,O,O,X,X,X,X,O
TLOJISZ,X,X,X,O,X,X,X,O,X
TLOJIZS,X,X,X,O,X,X,X,O,X
TLOJSIZ,X,X,X,O,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,X,O
TLOSJIZ,O,X,O,O,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,X,O
TLOSZJI,O,O,O,O,X,X,X,X,O
TLOZIJS,X,O,O,O,X,X,X,X,O
TLOZISJ,X,O,O,O,X,X,X,X,O
TLOZJIS,X,O,O,O,X,X,X,X,O
TLOZJSI,X,O,O,O,X,X,X,X,O
TLOZSIJ,X,O,O,O,X,X,X,X,O
TLOZSJI,X,O,O,O,X,X,X,X,O
TJILSZO,O,X,X,O,X,O,X,O,X
TJILSOZ,X,X,X,O,X,O,X,O,X
TJILZSO,O,X,X,O,X,X,X,O,X
TJILZOS,X,X,X,O,X,X,X,O,X
TJILOSZ,X,X,X,O,X,O,X,O,X
TJILOZS,X,X,X,O,X,X,X,O,X
TJISLZO,X,X,O,X,X,O,X,O,X
TJISLOZ,X,X,X,X,X,O,X,O,X
TJISZLO,X,X,O,X,O,O,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X
TJISOLZ,X,X,X,X,X,O,X,O,X
TJISOZL,X,X,X,X,X,O,X,X,X
TJIZLSO,O,X,O,X,X,X,X,O,X
TJIZLOS,X,X,O,X,X,X,X,O,X
TJIZSLO,X,X,O,X,O,O,X,X,X
TJIZSOL,X,X,O,X,X,O,X,X,X
TJIZOLS,X,X,O,X,X,X,X,O,X
TJIZOSL,X,X,O,X,X,O,X,X,X
TJIOLSZ,X,X,X,O,X,O,X,O,X
TJIOLZS,X,X,X,O,X,X,X,O,X
TJIOSLZ,X,X,O,X,X,O,X,O,X
TJIOSZL,X,X,O,X,X,O,X,X,X
TJIOZLS,X,X,O,X,X,X,X,O,X
TJIOZSL,X,X,O,X,X,O,X,X,X
TJLISZO,O,X,X,O,X,O,X,O,X
TJLISOZ,X,X,X,O,X,O,X,O,X
TJLIZSO,O,X,X,O,X,X,X,O,X
TJLIZOS,X,X,X,O,X,X,X,O,X
TJLIOSZ,X,X,X,O,X,O,X,O,X
TJLIOZS,X,X,X,O,X,X,X,O,X
TJLSIZO,O,X,X,O,X,O,X,X,X
TJLSIOZ,X,X,X,O,X,O,X,X,X
TJLSZIO,O,X,X,O,X,O,X,X,X
TJLSZOI,O,X,X,O,X,O,X,X,X
TJLSOIZ,X,X,X,O,X,O,X,X,X
TJLSOZI,X,X,X,O,X,O,X,X,X
TJLZISO,O,X,X,O,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X,X
TJLOISZ,X,X,X,O,X,O,X,O,X
TJLOIZS,X,X,X,O,X,X,X,O,X
TJLOSIZ,X,X,X,O,X,O,X,X,X
TJLOSZI,X,X,X,O,X,O,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X,X
TJSILZO,X,X,O,X,X,O,X,O,X
TJSILOZ,X,X,X,X,X,O,X,O,X
TJSIZLO,X,X,O,X,O,O,X,X,X
TJSIZOL,X,X,O,X,X,O,X,X,X
TJSIOLZ,X,X,X,X,X,O,X,O,X
TJSIOZL,X,X,X,X,X,O,X,X,X
TJSLIZO,X,X,O,X,X,O,X,X,X
TJSLIOZ,X,X,X,X,X,O,X,X,X
TJSLZIO,X,X,O,X,X,O,X,X,X
TJSLZOI,X,X,O,X,X,O,X,X,X
TJSLOIZ,X,X,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,O,X,X,X
TJSZILO,X,X,O,X,O,O,X,X,X
TJSZIOL,X,X,O,X,X,O,X,X,X
TJSZLIO,X,X,O,X,O,O,X,X,X
TJSZLOI,X,X,O,X,X,O,X,X,X
TJSZOIL,X,X,O,X,X,O,X,X,X
TJSZOLI,X,X,O,X,X,O,X,X,X
TJSOILZ,X,X,X,X,X,O,X,O,X
TJSOIZL,X,X,X,X,X,O,X,X,X
TJSOLIZ,X,X,X,X,X,O,X,X,X
TJSOLZI,X,X,X,X,X,O,X,X,X
TJSOZIL,X,X,X,X,X,O,X,X,X
TJSOZLI,X,X,X,X,X,O,X,X,X
TJZILSO,O,X,O,X,X,X,X,O,X
TJZILOS,X,X,O,X,X,X,X,O,X
TJZISLO,X,X,O,X,O,O,X,X,X
TJZISOL,X,X,O,X,X,O,X,X,X
TJZIOLS,X,X,O,X,X,X,X,O,X
TJZIOSL,X,X,O,X,X,O,X,X,X
TJZLISO,O,X,O,X,X,X,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,X
TJZLSIO,O,X,O,X,X,X,X,X,X
TJZLSOI,O,X,O,X,X,X,X,X,X
TJZLOIS,X,X,O,X,X,X,X,X,X
TJZLOSI,X,X,O,X,X,X,X,X,X
TJZSILO,X,X,O,X,O,O,X,X,X
TJZSIOL,X,X,O,X,X,O,X,X,X
TJZSLIO,X,X,O,X,O,O,X,X,X
TJZSLOI,X,X,O,X,X,O,X,X,X
TJZSOIL,X,X,O,X,X,O,X,X,X
TJZSOLI,X,X,O,X,X,O,X,X,X
TJZOILS,X,X,O,X,X,X,X,O,X
TJZOISL,X,X,O,X,X,O,X,X,X
TJZOLIS,X,X,O,X,X,X,X,X,X
TJZOLSI,X,X,O,X,X,X,X,X,X
TJZOSIL,X,X,O,X,X,O,X,X,X
TJZOSLI,X,X,O,X,X,O,X,X,X
TJOILSZ,X,X,X,O,X,O,X,O,X
TJOILZS,X,X,X,O,X,X,X,O,X
TJOISLZ,X,X,O,X,X,O,X,O,X
TJOISZL,X,X,O,X,X,O,X,X,X
TJOIZLS,X,X,O,X,X,X,X,O,X
TJOIZSL,X,X,O,X,X,O,X,X,X
TJOLISZ,X,X,X,O,X,O,X,O,X
TJOLIZS,X,X,X,O,X,X,X,O,X
TJOLSIZ,X,X,X,O,X,O,X,X,X
TJOLSZI,X,X,X,O,X,O,X,X,X
TJOLZIS,X,X,X,O,X,X,X,X,X
TJOLZSI,X,X,X,O,X,X,X,X,X
TJOSILZ,X,X,O,X,X,O,X,O,X
TJOSIZL,X,X,O,X,X,O,X,X,X
TJOSLIZ,X,X,O,X,X,O,X,X,X
TJOSLZI,X,X,O,X,X,O,X,X,X
TJOSZIL,X,X,O,X,X,O,X,X,X
TJOSZLI,X,X,O,X,X,O,X,X,X
TJOZILS,X,X,O,X,X,X,X,O,X
TJOZISL,X,X,O,X,X,O,X,X,X
TJOZLIS,X,X,O,X,X,X,X,X,X
TJOZLSI,X,X,O,X,X,X,X,X,X
TJOZSIL,X,X,O,X,X,O,X,X,X
TJOZSLI,X,X,O,X,X,O,X,X,X
TSILJZO,X,X,O,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X,X
TSILZJO,X,O,O,O,O,X,X,X,X
TSILZOJ,X,O,O,O,O,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,X,X
TSILOZJ,X,O,O,O,O,X,X,X,X
TSIJLZO,X,X,O,X,X,O,X,O,X
TSIJLOZ,X,X,X,X,X,O,X,O,X
TSIJZLO,X,X,O,X,O,O,X,X,X
TSIJZOL,X,X,O,X,X,O,X,X,X
TSIJOLZ,X,X,X,X,X,O,X,O,X
TSIJOZL,X,X,X,X,X,O,X,X,X
TSIZLJO,X,O,O,X,O,X,X,X,X
TSIZLOJ,X,O,O,X,O,X,X,X,X
TSIZJLO,X,O,O,X,O,O,X,X,X
TSIZJOL,X,O,O,X,X,O,X,X,X
TSIZOLJ,X,O,O,X,X,X,X,X,X
TSIZOJL,X,O,O,X,X,O,X,X,X
TSIOLJZ,X,X,O,O,X,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,O,X,O,X
TSIOJZL,X,X,O,X,X,O,O,X,X
TSIOZLJ,X,O,O,X,X,X,X,X,X
TSIOZJL,X,X,O,X,X,O,O,X,X
TSLIJZO,X,X,O,O,X,X,X,X,X
TSLIJOZ,X,X,X,O,X,X,X,X,X
TSLIZJO,X,O,O,O,O,X,X,X,X
TSLIZOJ,X,O,O,O,O,X,X,X,X
TSLIOJZ,X,X,X,O,X,X,X,X,X
TSLIOZJ,X,O,O,O,O,X,X,X,X
TSLJIZO,X,X,O,O,X,X,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,X,X
TSLJZIO,X,X,O,O,X,X,X,X,X
TSLJZOI,X,X,O,O,X,X,X,X,X
TSLJOIZ,X,X,X,O,X,X,X,X,X
TSLJOZI,X,X,X,O,X,X,X,X,X
TSLZIJO,X,O,O,O,O,X,X,X,X
TSLZIOJ,X,O,O,O,O,X,X,X,X
TSLZJIO,X,O,O,O,O,X,X,X,X
TSLZJOI,X,O,O,O,X,X,X,X,X
TSLZOIJ,X,O,O,O,O,X,X,X,X
TSLZOJI,X,O,O,O,X,X,X,X,X
TSLOIJZ,X,X,X,O,X,X,X,X,X
TSLOIZJ,X,O,O,O,O,X,X,X,X
TSLOJIZ,X,X,X,O,X,X,X,X,X
TSLOJZI,X,X,X,O,X,X,X,X,X
TSLOZIJ,X,O,O,O,O,X,X,X,X
TSLOZJI,X,O,O,O,X,X,X,X,X
TSJILZO,X,X,O,X,X,O,X,O,X
TSJILOZ,X,X,X,X,X,O,X,O,X
TSJIZLO,X,X,O,X,O,O,X,X,X
TSJIZOL,X,X,O,X,X,O,X,X,X
TSJIOLZ,X,X,X,X,X,O,X,O,X
TSJIOZL,X,X,X,X,X,O,X,X,X
TSJLIZO,X,X,O,X,X,O,X,X,X
TSJLIOZ,X,X,X,X,X,O,X,X,X
TSJLZIO,X,X,O,X,X,O,X,X,X
TSJLZOI,X,X,O,X,X,O,X,X,X
TSJLOIZ,X,X,X,X,X,O,X,X,X
TSJLOZI,X,X,X,X,X,O,X,X,X
TSJZILO,X,X,O,X,O,O,X,X,X
TSJZIOL,X,X,O,X,X,O,X,X,X
TSJZLIO,X,X,O,X,O,O,X,X,X
TSJZLOI,X,X,O,X,X,O,X,X,X
TSJZOIL,X,X,O,X,X,O,X,X,X
TSJZOLI,X,X,O,X,X,O,X,X,X
TSJOILZ,X,X,X,X,X,O,X,O,X
TSJOIZL,X,X,X,X,X,O,X,X,X
TSJOLIZ,X,X,X,X,X,O,X,X,X
TSJOLZI,X,X,X,X,X,O,X,X,X
TSJOZIL,X,X,X,X,X,O,X,X,X
TSJOZLI,X,X,X,X,X,O,X,X,X
TSZILJO,X,O,O,X,O,X,X,X,X
TSZILOJ,X,O,O,X,O,X,X,X,X
TSZIJLO,X,O,O,X,O,O,X,X,X
TSZIJOL,X,O,O,X,X,O,X,X,X
TSZIOLJ,X,O,O,X,X,X,X,X,X
TSZIOJL,X,O,O,X,X,O,X,X,X
TSZLIJO,X,O,O,X,O,X,X,X,X
TSZLIOJ,X,O,O,X,O,X,X,X,X
TSZLJIO,X,O,O,X,O,X,X,X,X
TSZLJOI,X,O,O,X,X,X,X,X,X
TSZLOIJ,X,O,O,X,O,X,X,X,X
TSZLOJI,X,O,O,X,X,X,X,X,X
TSZJILO,X,O,O,X,O,O,X,X,X
TSZJIOL,X,O,O,X,X,O,X,X,X
TSZJLIO,X,O,O,X,O,O,X,X,X
TSZJLOI,X,O,O,X,X,O,X,X,X
TSZJOIL,X,O,O,X,X,O,X,X,X
TSZJOLI,X,O,O,X,X,O,X,X,X
TSZOILJ,X,O,O,X,X,X,X,X,X
TSZOIJL,X,O,O,X,X,O,X,X,X
TSZOLIJ,X,O,O,X,X,X,X,X,X
TSZOLJI,X,O,O,X,X,X,X,X,X
TSZOJIL,X,O,O,X,X,O,X,X,X
TSZOJLI,X,O,O,X,X,O,X,X,X
TSOILJZ,X,X,O,O,X,X,X,X,X
TSOILZJ,X,O,O,O,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,O,X,O,X
TSOIJZL,X,X,O,X,X,O,O,X,X
TSOIZLJ,X,O,O,X,X,X,X,X,X
TSOIZJL,X,X,O,X,X,O,O,X,X
TSOLIJZ,X,X,O,O,X,X,X,X,X
TSOLIZJ,X,O,O,O,X,X,X,X,X
TSOLJIZ,X,X,O,O,X,X,X,X,X
TSOLJZI,X,X,O,O,X,X,X,X,X
TSOLZIJ,X,O,O,O,X,X,X,X,X
TSOLZJI,X,O,O,O,X,X,X,X,X
TSOJILZ,X,X,O,X,X,O,X,O,X
TSOJIZL,X,X,O,X,X,O,O,X,X
TSOJLIZ,X,X,O,X,X,O,X,X,X
TSOJLZI,X,X,O,X,X,O,X,X,X
TSOJZIL,X,X,O,X,X,O,O,X,X
TSOJZLI,X,X,O,X,X,O,X,X,X
TSOZILJ,X,O,O,X,X,X,X,X,X
TSOZIJL,X,X,O,X,X,O,O,X,X
TSOZLIJ,X,O,O,X,X,X,X,X,X
TSOZLJI,X,O,O,X,X,X,X,X,X
TSOZJIL,X,X,O,X,X,O,O,X,X
TSOZJLI,X,X,O,X,X,O,X,X,X
TZILJSO,O,O,O,O,X,X,X,X,X
TZILJOS,X,O,O,O,X,X,X,X,X
TZILSJO,O,O,O,O,X,X,X,X,X
TZILSOJ,O,O,O,O,X,X,X,X,X
TZILOJS,X,O,O,O,X,X,X,X,X
TZILOSJ,X,O,O,O,X,X,X,X,X
TZIJLSO,O,O,O,X,X,X,X,O,X
TZIJLOS,X,O,O,X,X,X,X,O,X
TZIJSLO,X,O,O,X,O,X,X,X,X
TZIJSOL,X,X,O,X,X,X,X,X,X
TZIJOLS,X,O,O,X,X,X,X,O,X
TZIJOSL,X,X,O,X,X,X,X,X,X
TZISLJO,X,O,O,X,O,X,X,X,X
TZISLOJ,X,O,O,X,O,X,X,X,X
TZISJLO,X,O,O,X,O,X,X,X,X
TZISJOL,X,X,O,X,X,X,X,X,X
TZISOLJ,X,X,O,X,X,X,X,X,X
TZISOJL,X,X,O,X,X,X,X,X,X
TZIOLJS,X,O,O,O,X,X,X,X,X
TZIOLSJ,X,O,O,O,X,X,X,X,X
TZIOJLS,X,O,O,X,X,X,X,O,X
