sequence,v115@zgC8GeB8HeB8HeF8AeI8Ne37IvhFzcBGeBylBUjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeaBJvhFUdBGeBTgBfnBVt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFehBzcBfjB6jBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeU8IvhFFdBXeBTgBSoBmm?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFUdBFeB2lBfnBSt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBCeBXhBTjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Ne/CJvhFajBTgB0hB2xB5o?BFrB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFyhBzdB+jBXhBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFxdB2lBUjBFnBfs?BSyB,v115@zgC8GeB8HeB8HeF8AeI8NeF8IvhFxdBTgBmmBftB6t?BUsB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBzdBXhBFnB5o?ByxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFxcB+jBXhBFnBKt?BTsB
TISZJOL,O,O,O,X,X,O,X,O,X,X,O,X
TISZOLJ,O,O,O,X,X,O,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,O,X,X,X,X,O,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,O,X,X,X,X,O,X
TIZLJSO,O,X,O,X,X,O,X,O,X,X,O,X
TIZLJOS,O,X,O,X,X,O,X,O,X,X,O,X
TIZLSJO,O,X,O,X,X,O,X,O,X,X,O,X
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,O,X
TIZLOJS,O,X,X,X,X,O,X,O,X,X,O,X
TIZLOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TIZJLSO,O,X,O,X,X,O,X,O,O,X,O,X
TIZJLOS,O,X,O,X,X,O,X,O,O,X,O,X
TIZJSLO,O,X,O,X,X,O,X,O,O,X,O,X
TIZJSOL,O,X,O,X,X,O,X,O,O,X,O,X
TIZJOLS,O,X,O,X,X,O,X,O,O,X,O,X
TIZJOSL,O,X,O,X,X,O,X,O,O,X,O,X
TIZSLJO,O,X,O,X,X,O,X,O,X,X,O,X
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,O,X
TIZSJLO,O,X,O,X,X,O,X,O,X,X,O,X
TIZSJOL,O,X,O,X,X,O,X,O,X,X,O,X
TIZSOLJ,O,X,O,X,X,O,X,X,X,X,X,X
TIZSOJL,O,X,O,X,X,O,X,X,X,X,O,X
TIZOLJS,O,X,X,X,X,O,X,O,X,X,O,X
TIZOLSJ,O,X,X,X,X,O,X,X,X,X,O,X
TIZOJLS,O,X,O,X,X,O,X,O,X,X,O,X
TIZOJSL,O,X,O,X,X,O,X,O,X,X,O,X
TIZOSLJ,O,X,O,X,X,O,X,X,X,X,X,X
TIZOSJL,O,X,O,X,X,O,X,X,X,X,O,X
TIOLJSZ,O,O,X,X,X,X,X,O,X,X,X,X
TIOLJZS,O,O,X,X,X,O,X,O,X,X,O,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,O,X,X,X,X,O,X
TIOLZJS,O,O,X,X,X,O,X,O,X,X,O,X
TIOLZSJ,O,O,X,X,X,O,X,X,X,X,O,X
TIOJLSZ,O,O,X,X,X,X,X,O,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,O,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,O,X,X,X,O,X,O,X,X,O,X
TIOJZSL,O,O,X,X,X,O,X,O,X,X,O,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TIOSZJL,O,O,O,X,X,O,X,X,X,X,O,X
TIOZLJS,O,O,X,X,X,O,X,O,X,X,O,X
TIOZLSJ,O,O,X,X,X,O,X,X,X,X,O,X
TIOZJLS,O,O,O,X,X,O,X,O,X,X,O,X
TIOZJSL,O,O,O,X,X,O,X,O,X,X,O,X
TIOZSLJ,O,O,O,X,X,O,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,O,X,X,X,X,O,X
TLIJSZO,O,O,X,X,O,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJZSO,O,O,X,X,O,O,X,O,X,X,O,X
TLIJZOS,O,X,X,X,O,O,X,O,X,X,O,X
TLIJOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOZS,O,X,X,X,O,X,X,O,X,X,O,X
TLISJZO,O,O,O,X,O,X,X,O,X,X,X,X
TLISJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLISZJO,O,O,O,X,O,O,X,O,X,X,O,X
TLISZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,X,X,X,X,X,O,X
TLIZJSO,O,O,O,X,X,O,X,O,X,X,O,X
TLIZJOS,O,X,O,X,X,O,X,O,X,X,O,X
TLIZSJO,O,O,O,X,X,O,X,O,X,X,O,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLIZOJS,O,X,X,X,X,O,X,O,X,X,O,X
TLIZOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TLIOJSZ,O,O,X,X,X,X,X,O,X,X,X,X
TLIOJZS,O,X,X,X,X,O,X,O,X,X,O,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,O,X,X,X,X,O,X
TLIOZJS,O,X,X,X,X,O,X,O,X,X,O,X
TLIOZSJ,O,X,X,X,X,O,X,X,X,X,O,X
TLJISZO,O,O,X,O,O,X,X,O,X,X,X,X
TLJISOZ,O,O,X,X,O,X,O,O,X,X,X,X
TLJIZSO,O,O,X,O,O,X,X,O,X,X,O,X
TLJIZOS,O,X,X,X,O,X,X,O,X,X,O,X
TLJIOSZ,O,O,X,X,O,X,O,O,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,O,X,X,O,X
TLJSIZO,O,O,X,O,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,O,X,X,X,X,X
TLJSZIO,O,O,X,O,O,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,O,O,X,O,X,X,X,X,X
TLJZISO,O,O,X,O,O,O,X,O,O,X,O,X
TLJZIOS,O,X,X,X,O,O,X,O,O,X,O,X
TLJZSIO,O,O,X,O,O,O,X,X,O,X,O,X
TLJZSOI,O,O,X,O,O,O,X,X,O,X,O,X
TLJZOIS,O,X,X,X,O,O,X,X,O,X,O,X
TLJZOSI,O,X,X,O,O,O,X,X,O,X,O,X
TLJOISZ,O,O,X,X,O,X,O,X,X,X,X,X
TLJOIZS,O,O,X,X,O,X,X,X,X,X,O,X
TLJOSIZ,O,O,X,X,O,X,O,X,X,X,X,X
TLJOSZI,O,O,X,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,X,O,X,X,X,O,X,O,X
TLJOZSI,O,O,X,O,O,X,X,X,O,X,O,X
TLSIJZO,O,O,O,O,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,O,X,X,O,X
TLSIZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,O,X,X,X,X,X,X,O,X
TLSJIZO,O,O,X,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,O,X,X,O,X,X,O,X
TLSZIOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLSZJIO,O,O,O,O,O,O,X,X,X,X,O,X
TLSZJOI,O,O,O,O,O,O,X,X,X,X,O,X
TLSZOIJ,O,O,X,O,X,X,X,X,X,X,O,X
TLSZOJI,O,O,O,O,O,X,X,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X,X,X,O,X
TLSOJIZ,O,O,X,O,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,X,X,X,X,X,X,O,X
TLSOZJI,O,O,O,O,O,X,X,X,X,X,O,X
TLZIJSO,O,O,O,X,X,O,X,O,X,X,O,X
TLZIJOS,O,X,O,X,X,O,X,O,X,X,O,X
TLZISJO,O,O,O,X,X,O,X,O,X,X,O,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLZIOJS,O,X,X,X,X,O,X,O,X,X,O,X
TLZIOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TLZJISO,O,O,O,X,O,O,X,O,O,X,O,X
TLZJIOS,O,X,O,X,O,O,X,O,O,X,O,X
TLZJSIO,O,O,O,X,O,O,X,X,O,X,O,X
TLZJSOI,O,O,O,X,O,O,X,X,O,X,O,X
TLZJOIS,O,X,O,X,O,O,X,X,O,X,O,X
TLZJOSI,O,X,O,X,O,O,X,X,O,X,O,X
TLZSIJO,O,O,O,X,O,X,X,O,X,X,O,X
TLZSIOJ,O,X,O,X,X,X,X,X,X,X,O,X
TLZSJIO,O,O,O,X,O,O,X,X,X,X,O,X
TLZSJOI,O,O,O,X,O,O,X,X,X,X,O,X
TLZSOIJ,O,X,X,X,X,X,X,X,X,X,O,X
TLZSOJI,O,O,O,X,O,X,X,X,X,X,O,X
TLZOIJS,O,X,X,X,X,X,X,O,X,X,O,X
TLZOISJ,O,X,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,X,X,X,O,X,X,X,X,O,X
TLZOJSI,O,X,X,X,X,O,X,X,X,X,O,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,O,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,O,O,X,O,X,X,X,O,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,O,X,X,O,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOIZJS,O,O,X,O,X,X,X,O,X,X,O,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOJISZ,O,O,X,X,O,X,O,X,X,X,X,X
TLOJIZS,O,O,X,X,O,X,X,X,X,X,O,X
TLOJSIZ,O,O,X,O,O,X,O,X,X,X,X,X
TLOJSZI,O,O,X,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,O,X,X,X,X,X,O,X
TLOJZSI,O,O,X,O,O,X,X,X,X,X,O,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOSJIZ,O,O,X,O,O,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOSZJI,O,O,X,O,O,X,X,X,X,X,O,X
TLOZIJS,O,O,X,O,X,X,X,O,X,X,O,X
TLOZISJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOZJIS,O,O,X,O,X,O,X,X,X,X,O,X
TLOZJSI,O,O,X,O,X,O,X,X,X,X,O,X
TLOZSIJ,O,O,X,O,X,X,X,X,X,X,O,X
TLOZSJI,O,O,X,O,X,X,X,X,X,X,O,X
TJILSZO,O,O,X,O,X,X,X,O,X,O,X,X
TJILSOZ,O,O,X,O,X,X,O,O,X,O,X,X
TJILZSO,O,O,X,O,X,O,X,O,X,O,O,X
TJILZOS,O,X,X,O,X,O,X,O,X,O,O,X
TJILOSZ,O,O,X,O,X,X,O,O,X,O,X,X
TJILOZS,O,X,X,O,X,X,X,O,X,O,O,X
TJISLZO,X,O,O,O,X,X,X,O,X,O,X,X
TJISLOZ,X,X,X,O,X,X,O,O,X,O,X,X
TJISZLO,X,O,O,O,X,X,X,O,X,O,X,X
TJISZOL,X,O,O,X,X,X,X,O,X,O,X,X
TJISOLZ,X,O,X,X,X,X,O,O,X,O,X,X
TJISOZL,X,O,X,X,X,X,O,O,X,O,X,X
TJIZLSO,O,X,O,O,X,O,X,O,O,X,O,X
TJIZLOS,O,X,O,O,X,O,X,O,O,X,O,X
TJIZSLO,O,X,O,O,X,O,X,O,O,X,O,X
TJIZSOL,O,X,O,X,X,O,X,O,O,X,O,X
TJIZOLS,O,X,O,O,X,O,X,O,O,X,O,X
TJIZOSL,O,X,O,X,X,O,X,O,O,X,O,X
TJIOLSZ,O,O,X,O,X,X,O,O,X,X,X,X
TJIOLZS,O,O,X,O,X,O,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,O,O,X,X,X,X
TJIOSZL,X,O,X,X,X,X,O,O,X,X,X,X
TJIOZLS,O,O,X,O,X,O,X,O,O,X,O,X
TJIOZSL,O,O,X,X,X,O,O,O,O,X,O,X
TJLISZO,O,O,X,O,O,X,X,O,X,O,X,X
TJLISOZ,O,O,X,O,O,X,O,O,X,O,X,X
TJLIZSO,O,O,X,O,O,X,X,O,X,O,O,X
TJLIZOS,O,X,X,O,O,X,X,O,X,O,O,X
TJLIOSZ,O,O,X,O,O,X,O,O,X,O,X,X
TJLIOZS,O,X,X,O,O,X,X,O,X,O,O,X
TJLSIZO,O,O,X,X,O,X,X,X,X,O,X,X
TJLSIOZ,O,O,X,X,O,X,O,X,X,O,X,X
TJLSZIO,O,O,X,X,O,X,X,X,X,O,X,X
TJLSZOI,O,O,X,X,O,X,X,O,X,X,X,X
TJLSOIZ,O,O,X,X,O,X,O,X,X,O,X,X
TJLSOZI,O,O,X,X,O,X,O,O,X,X,X,X
TJLZISO,O,O,X,O,O,O,X,O,O,O,O,X
TJLZIOS,O,X,X,O,O,O,X,O,O,O,O,X
TJLZSIO,O,O,X,X,O,O,X,X,O,O,O,X
TJLZSOI,O,O,X,X,O,O,X,O,O,X,O,X
TJLZOIS,O,X,X,X,O,O,X,O,O,X,O,X
TJLZOSI,O,X,X,X,O,O,X,O,O,X,O,X
TJLOISZ,O,O,X,X,O,X,O,X,X,O,X,X
TJLOIZS,O,O,X,X,O,X,X,O,X,O,O,X
TJLOSIZ,O,O,X,X,O,X,O,X,X,O,X,X
TJLOSZI,O,O,X,X,O,X,O,O,X,X,X,X
TJLOZIS,O,O,X,X,O,X,X,O,O,X,O,X
TJLOZSI,O,O,X,X,O,X,X,O,O,X,O,X
TJSILZO,X,O,O,O,O,X,X,X,X,O,X,X
TJSILOZ,X,X,X,O,O,X,O,X,X,O,X,X
TJSIZLO,X,O,O,O,O,X,X,X,X,O,X,X
TJSIZOL,X,O,O,X,O,X,X,X,X,O,X,X
TJSIOLZ,X,O,X,X,O,X,O,X,X,O,X,X
TJSIOZL,X,O,X,X,O,X,O,X,X,O,X,X
TJSLIZO,X,O,X,X,X,X,X,X,X,O,X,X
TJSLIOZ,X,O,X,X,X,X,O,X,X,O,X,X
TJSLZIO,X,O,O,X,X,X,X,X,X,O,X,X
TJSLZOI,X,O,O,X,X,X,X,O,X,X,X,X
TJSLOIZ,X,O,X,X,X,X,O,X,X,O,X,X
TJSLOZI,X,O,X,X,X,X,O,O,X,X,X,X
TJSZILO,X,O,O,O,O,X,X,X,O,O,X,X
TJSZIOL,X,O,O,X,O,X,X,X,O,O,X,X
TJSZLIO,X,O,O,X,X,X,X,X,O,O,X,X
TJSZLOI,X,O,O,X,O,X,X,O,O,X,X,X
TJSZOIL,X,O,O,X,O,X,X,X,O,X,X,X
TJSZOLI,X,O,O,X,O,X,X,O,O,X,X,X
TJSOILZ,X,O,X,X,O,X,O,X,X,O,X,X
TJSOIZL,X,O,X,X,O,X,O,X,X,O,X,X
TJSOLIZ,X,O,X,X,X,X,O,X,X,O,X,X
TJSOLZI,X,O,X,X,X,X,O,O,X,X,X,X
TJSOZIL,X,O,X,X,O,X,O,X,O,X,X,X
TJSOZLI,X,O,X,X,O,X,O,O,O,X,X,X
TJZILSO,O,X,O,O,X,O,X,O,O,X,O,X
TJZILOS,O,X,O,O,X,O,X,O,O,X,O,X
TJZISLO,X,X,O,O,X,O,X,O,O,X,O,X
TJZISOL,X,X,O,X,X,O,X,O,O,X,O,X
TJZIOLS,O,X,O,O,X,O,X,O,O,X,O,X
TJZIOSL,X,X,O,X,X,O,X,O,O,X,O,X
TJZLISO,O,O,O,O,X,O,X,O,O,O,O,X
TJZLIOS,O,X,O,O,X,O,X,O,O,O,O,X
TJZLSIO,O,O,O,X,X,O,X,X,O,O,O,X
TJZLSOI,O,O,O,X,X,O,X,O,O,X,O,X
TJZLOIS,O,X,O,X,X,O,X,O,O,X,O,X
TJZLOSI,O,X,O,X,X,O,X,O,O,X,O,X
TJZSILO,X,O,O,O,X,O,X,X,O,O,O,O
TJZSIOL,X,O,O,X,X,O,X,X,O,O,O,O
TJZSLIO,O,O,O,X,X,O,X,X,O,O,O,O
TJZSLOI,O,O,O,X,X,O,X,O,O,X,O,O
TJZSOIL,X,O,O,X,X,X,X,X,O,X,O,O
TJZSOLI,O,O,O,X,X,X,X,O,O,X,X,O
TJZOILS,O,O,O,O,X,O,X,O,O,X,O,X
TJZOISL,X,O,O,X,X,O,X,O,O,X,O,X
TJZOLIS,O,O,O,X,X,O,X,O,O,X,O,X
TJZOLSI,O,O,O,X,X,O,X,O,O,X,O,X
TJZOSIL,X,O,O,X,X,X,X,X,O,X,O,X
TJZOSLI,O,O,O,X,X,X,X,O,O,X,X,X
TJOILSZ,O,O,X,O,O,X,O,X,X,X,X,X
TJOILZS,O,O,X,O,O,X,X,O,X,X,X,X
TJOISLZ,X,O,X,X,O,X,O,X,X,X,X,X
TJOISZL,X,O,X,X,O,X,O,X,X,X,X,X
TJOIZLS,O,O,X,O,X,X,X,O,O,X,O,X
TJOIZSL,O,O,X,X,X,X,O,X,O,X,O,X
TJOLISZ,O,O,X,X,O,X,O,X,X,O,X,X
TJOLIZS,O,O,X,X,O,X,X,O,X,O,X,X
TJOLSIZ,O,O,X,X,O,X,O,X,X,O,X,X
TJOLSZI,O,O,X,X,O,X,O,O,X,X,X,X
TJOLZIS,O,O,X,X,O,X,X,O,O,X,X,X
TJOLZSI,O,O,X,X,O,X,X,O,O,X,X,X
TJOSILZ,X,O,X,X,O,X,O,X,X,O,X,X
TJOSIZL,X,O,X,X,O,X,O,X,X,O,X,X
TJOSLIZ,X,O,X,X,X,X,O,X,X,O,X,X
TJOSLZI,X,O,X,X,X,X,O,O,X,X,X,X
TJOSZIL,X,O,X,X,O,X,O,X,O,X,X,X
TJOSZLI,X,O,X,X,O,X,O,O,O,X,X,X
TJOZILS,O,O,X,O,X,X,X,O,O,X,O,X
TJOZISL,X,O,X,X,X,X,O,O,O,X,O,X
TJOZLIS,O,O,X,X,X,X,X,O,O,X,O,X
TJOZLSI,O,O,X,X,X,X,X,O,O,X,X,X
TJOZSIL,X,O,X,X,X,X,O,X,O,X,O,X
TJOZSLI,O,O,X,X,X,X,O,O,O,X,X,X
TSILJZO,O,O,O,X,O,X,X,O,X,X,X,X
TSILJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,O,O,X,O,X,X,O,X
TSILZOJ,O,O,O,X,O,X,X,X,X,X,O,X
TSILOJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSILOZJ,O,O,O,X,O,X,X,X,X,X,O,X
TSIJLZO,X,O,O,X,O,X,X,O,X,X,X,X
TSIJLOZ,X,O,X,X,O,X,X,O,X,X,X,X
TSIJZLO,X,O,O,X,O,X,X,O,X,X,X,X
TSIJZOL,X,O,O,X,O,X,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,O,X,X,O,X,X,X,X
TSIJOZL,X,O,X,X,O,X,X,O,X,X,X,X
TSIZLJO,O,O,O,X,O,O,X,O,X,X,O,X
TSIZLOJ,O,O,O,X,O,X,X,X,X,X,O,X
TSIZJLO,O,O,O,X,O,O,X,O,X,X,O,X
TSIZJOL,O,O,O,X,O,O,X,O,X,X,O,X
TSIZOLJ,O,O,O,X,X,O,X,X,X,X,X,X
TSIZOJL,O,O,O,X,O,O,X,X,X,X,O,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOZJL,O,O,O,X,X,O,X,X,X,X,O,X
TSLIJZO,O,O,O,X,X,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,O,X,X,O,X
TSLIZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,X,X,X,X,X,X,X,O,X
TSLJIZO,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,X,X,X,O,X,X,O,X
TSLZIOJ,O,O,O,X,X,X,X,X,X,X,O,X
