sequence,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBKmBWn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBOmBCn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBuhBigBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBRcBGhBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcB6mBTiBml?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcBylB+mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFmcBxgBSnBXgBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFRcB0fBfmB6mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBigBGiBzhBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcBFgB8lB+mBTi?BfqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBxhBUiBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFzbBGiB0fBRmB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFRcBzgBGiB0fB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBzcB2lBSnBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcB8lBGiBzkB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBUdBxmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFTcB/iBWlBlmBRq?BcqB,v115@6gC8HeC8GeC8EeF8AeG8Jex6IvhFTcB/iB6kB0lBlm?BOqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFUdBClBxmB/mB1q?BOqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhF0fBRhBSnBzgB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFCcB/iB0fBRmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je2/IvhFzbBViBUgBfqBxr?BSwB
TILOSZJ,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILOZSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TIJLZSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,O,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O
TIJSZLO,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIJSZOL,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O
TIJSOLZ,X,O,X,X,O,O,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,O
TIJSOZL,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O
TIJZLSO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJOLSZ,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TIJOSZL,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TIJOZLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TISLJZO,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TISLJOZ,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O
TISLZJO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLZOJ,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TISLOJZ,O,O,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O
TISLOZJ,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X
TISJLZO,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TISJLOZ,O,X,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O
TISJZLO,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TISJZOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,O,O
TISJOLZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,O
TISJOZL,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O
TISZLJO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZLOJ,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TISZJLO,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TISZJOL,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TISZOLJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZOJL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TISOLJZ,O,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O
TISOLZJ,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X
TISOJLZ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X,O
TISOJZL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O
TISOZLJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
TISOZJL,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O
TIZLJSO,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZLSJO,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TIZLSOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZLOJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZLOSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJLSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIZJSLO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZJSOL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZJOLS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZSLJO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSLOJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSJLO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSJOL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TIZSOLJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSOJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TIZOLJS,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZOSLJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIOLJSZ,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O
TIOLJZS,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O
TIOLSZJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLZJS,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O
TIOJLZS,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TIOJSZL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOJZLS,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOSLJZ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TIOSLZJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TIOSJZL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOSZLJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOZLJS,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOZSLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLIJSZO,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TLIJSOZ,O,O,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
TLIJZSO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIJZOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,X,X,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TLIJOZS,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TLISJOZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X
TLISZJO,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,O,X,X
TLISZOJ,X,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,X,O,O,X,X,X
TLISOJZ,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X
TLISOZJ,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,X,O,O,X,X,X
TLIZJSO,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIZSJO,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X
TLIZSOJ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TLIZOJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TLIOJZS,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TLIOSZJ,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLIOZJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJISOZ,O,O,X,X,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
TLJIZSO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLJIZOS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJSZOI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZIOS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJZSIO,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJZSOI,O,O,O,X,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLJZOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
TLSIJOZ,O,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O,X,O,X,X,X,X
TLSIZJO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X
TLSIZOJ,X,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X
TLSIOJZ,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X
TLSIOZJ,O,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,O,X,X,O,X
TLSJIZO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X
TLSJZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLSJZOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSJOIZ,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLSJOZI,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSZIJO,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,X
TLSZIOJ,X,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
TLSZJIO,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X
TLSZJOI,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSZOJI,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X
TLSOIZJ,O,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLSOJZI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TLSOZJI,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLZIJSO,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLZISJO,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
TLZISOJ,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZJIOS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
TLZJSOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLZJOSI,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X
TLZSIOJ,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X
TLZSJIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O,X
TLZSJOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X
TLZSOIJ,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZSOJI,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZOIJS,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOISJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLZOJSI,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X
TLOIJZS,O,O,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,O,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLOISZJ,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLOIZJS,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOIZSJ,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJISZ,O,O,O,X,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
