sequence,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBulBziBim?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBqlB2mBzi?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhF6gBxcBmhBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBOiBChBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBChBmiBTiBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jex6IvhFTcBGgBiiB0iBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFmbBzcBfjBqlBxm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBKiBfjBGhBzl?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jel6IvhFTdBxgB8nBXhBas?BWwB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFlbBXhBZnBznBSw?BGsB
TLSOIZJ,O,O,O,O,O,X,X,O,X,O
TLSOJIZ,O,O,O,O,O,O,X,O,X,O
TLSOJZI,O,O,O,O,O,O,X,O,X,O
TLSOZIJ,O,O,O,O,O,X,X,O,X,O
TLSOZJI,O,O,O,O,O,O,X,O,X,O
TLZIJSO,O,O,O,O,X,O,X,X,X,X
TLZIJOS,O,O,O,O,X,X,X,X,O,X
TLZISJO,O,O,X,O,O,X,X,X,X,X
TLZISOJ,O,O,X,O,O,X,X,X,O,X
TLZIOJS,O,O,O,O,X,X,X,X,O,X
TLZIOSJ,O,O,O,X,X,X,X,X,O,X
TLZJISO,O,O,O,O,X,O,X,X,X,X
TLZJIOS,O,O,O,O,X,X,X,X,O,X
TLZJSIO,O,O,O,O,O,O,O,O,X,X
TLZJSOI,O,O,X,O,O,O,X,O,X,X
TLZJOIS,O,O,O,X,X,X,X,X,O,X
TLZJOSI,O,O,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,X,O,O,X,X
TLZSIOJ,O,O,O,O,O,X,O,O,O,O
TLZSJIO,O,O,O,O,O,O,O,O,X,X
TLZSJOI,O,O,O,O,O,O,X,O,X,O
TLZSOIJ,O,O,O,O,O,X,X,O,O,O
TLZSOJI,O,O,O,O,O,O,X,O,X,O
TLZOIJS,O,O,O,O,X,X,X,X,O,X
TLZOISJ,O,O,O,X,X,X,X,X,O,O
TLZOJIS,O,O,O,O,X,X,X,X,O,X
TLZOJSI,O,O,O,O,X,X,X,O,X,X
TLZOSIJ,O,O,O,O,X,X,X,O,O,O
TLZOSJI,O,O,O,O,X,X,X,O,X,O
TLOIJSZ,O,O,X,X,X,O,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,X
TLOISJZ,O,O,O,X,X,X,X,X,X,O
TLOISZJ,O,O,O,X,X,X,X,X,X,O
TLOIZJS,O,O,O,X,X,X,X,X,O,X
TLOIZSJ,O,O,O,X,X,X,X,X,O,O
TLOJISZ,O,O,X,X,X,O,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,O,X,O,X,X
TLOJSZI,O,O,X,O,X,O,X,O,X,X
TLOJZIS,O,O,O,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,X,O,X,X
TLOSIJZ,O,O,O,O,X,O,X,O,X,O
TLOSIZJ,O,O,O,O,X,X,X,O,X,O
TLOSJIZ,O,O,O,O,X,O,X,O,X,O
TLOSJZI,O,O,O,O,X,O,X,O,X,O
TLOSZIJ,O,O,O,O,X,X,X,O,X,O
TLOSZJI,O,O,O,O,X,O,X,O,X,O
TLOZIJS,O,O,O,O,X,X,X,X,O,X
TLOZISJ,O,O,O,X,X,X,X,X,O,O
TLOZJIS,O,O,O,O,X,X,X,X,O,X
TLOZJSI,O,O,O,O,X,X,X,O,X,X
TLOZSIJ,O,O,O,O,X,X,X,O,O,O
TLOZSJI,O,O,O,O,X,X,X,O,X,O
TJILSZO,O,O,X,X,X,O,X,X,X,X
TJILSOZ,O,O,X,X,X,O,X,X,X,X
TJILZSO,O,O,O,X,X,O,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,O,X
TJILOSZ,O,O,X,X,X,O,X,X,X,X
TJILOZS,O,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,O,O,O,X,O,X,X
TJISLOZ,O,O,X,O,O,O,X,O,X,X
TJISZLO,O,X,O,O,O,O,X,O,X,X
TJISZOL,O,X,X,O,X,O,X,X,X,X
TJISOLZ,O,X,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,O,X,X,X,X
TJIZLSO,O,X,O,O,X,O,X,X,X,X
TJIZLOS,O,X,O,O,X,X,X,X,O,X
TJIZSLO,O,X,O,O,O,X,X,O,X,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,X,O,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,O,X,X,X,X
TJLISOZ,O,O,X,X,X,O,X,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,O,X
TJLIOSZ,O,O,X,X,X,O,X,X,X,X
TJLIOZS,O,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,O,O,O,X,O,X,X
TJLSIOZ,O,O,X,O,O,O,X,O,X,X
TJLSZIO,O,O,X,O,O,O,X,O,X,X
TJLSZOI,O,O,X,O,O,O,X,O,X,X
TJLSOIZ,O,O,X,O,O,O,X,O,X,X
TJLSOZI,O,O,X,O,O,O,X,O,X,X
TJLZISO,O,O,O,O,X,O,X,X,X,X
TJLZIOS,O,O,O,O,X,X,X,X,O,X
TJLZSIO,O,O,O,O,O,O,X,O,X,X
TJLZSOI,O,O,X,O,O,O,X,O,X,X
TJLZOIS,O,O,O,X,X,X,X,X,O,X
TJLZOSI,O,O,X,X,X,X,X,X,X,X
TJLOISZ,O,O,X,X,X,O,X,X,X,X
TJLOIZS,O,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,O,X,X,X,X
TJLOSZI,O,O,X,X,X,O,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,O,O,O,O,O,O,X,X
TJSILOZ,O,O,O,O,O,O,O,O,X,X
TJSIZLO,O,X,O,O,O,O,X,O,X,X
TJSIZOL,O,X,O,O,X,O,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,O,X,X,X
TJSIOZL,O,X,O,X,X,O,X,X,X,X
TJSLIZO,O,O,O,O,O,O,X,O,X,X
TJSLIOZ,O,O,O,O,O,O,X,O,X,X
TJSLZIO,O,O,O,O,O,O,X,O,X,X
TJSLZOI,O,O,O,O,O,O,X,O,X,X
TJSLOIZ,O,O,O,O,O,O,X,O,X,X
TJSLOZI,O,O,O,O,O,O,X,O,X,X
TJSZILO,O,X,O,O,O,O,X,O,X,X
TJSZIOL,O,X,O,O,X,O,X,X,X,X
TJSZLIO,O,O,O,O,O,O,X,O,X,X
TJSZLOI,O,O,O,O,O,O,X,O,X,X
TJSZOIL,O,X,O,O,X,O,X,O,X,X
TJSZOLI,O,X,O,O,O,O,X,O,X,X
TJSOILZ,O,X,O,O,X,O,X,O,X,X
TJSOIZL,O,X,O,O,X,O,X,O,X,X
TJSOLIZ,O,O,O,O,O,O,X,O,X,X
TJSOLZI,O,O,O,O,O,O,X,O,X,X
TJSOZIL,O,X,O,O,X,O,X,O,X,X
TJSOZLI,O,X,O,O,O,O,X,O,X,X
TJZILSO,O,O,O,O,X,O,X,X,X,X
TJZILOS,O,O,O,O,X,X,X,X,O,X
TJZISLO,O,X,O,O,O,X,X,O,X,X
TJZISOL,O,X,X,O,X,X,X,X,X,X
TJZIOLS,O,O,O,O,X,X,X,X,O,X
TJZIOSL,O,O,X,O,X,X,X,X,X,X
TJZLISO,O,O,O,O,X,O,X,X,X,X
TJZLIOS,O,O,O,O,X,X,X,X,O,X
TJZLSIO,O,O,O,O,O,O,X,O,X,X
TJZLSOI,O,O,X,O,O,O,X,O,X,X
TJZLOIS,O,O,O,X,X,X,X,X,O,X
TJZLOSI,O,O,O,X,X,X,X,X,X,X
TJZSILO,O,X,O,O,O,X,X,O,X,X
TJZSIOL,O,X,O,O,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,X,O,X,X
TJZSLOI,O,O,O,O,O,X,X,O,X,X
TJZSOIL,O,X,O,O,X,X,X,O,X,X
TJZSOLI,O,X,O,O,O,X,X,O,X,X
TJZOILS,O,O,O,O,X,X,X,X,O,X
TJZOISL,O,O,O,O,X,X,X,O,X,X
TJZOLIS,O,O,O,O,X,X,X,X,O,X
TJZOLSI,O,O,O,O,X,X,X,O,X,X
TJZOSIL,O,O,O,O,X,X,X,O,X,X
TJZOSLI,O,O,O,O,O,X,X,O,X,X
TJOILSZ,O,O,X,X,X,O,X,X,X,X
TJOILZS,O,O,O,X,X,X,X,X,X,X
TJOISLZ,O,O,O,O,X,X,X,O,X,X
TJOISZL,O,X,O,O,X,X,X,O,X,X
TJOIZLS,O,X,O,O,X,X,X,X,X,X
TJOIZSL,O,X,O,O,X,X,X,O,X,X
TJOLISZ,O,O,X,X,X,O,X,X,X,X
TJOLIZS,O,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,X,O,X,O,X,X
TJOLSZI,O,O,X,O,X,O,X,O,X,X
TJOLZIS,O,O,O,O,X,X,X,X,X,X
TJOLZSI,O,O,O,O,X,X,X,O,X,X
TJOSILZ,O,O,O,O,X,X,X,O,X,X
TJOSIZL,O,O,O,O,X,X,X,O,X,X
TJOSLIZ,O,O,O,O,O,X,X,O,X,X
TJOSLZI,O,O,O,O,O,X,X,O,X,X
TJOSZIL,O,O,O,O,X,X,X,O,X,X
TJOSZLI,O,O,O,O,O,X,X,O,X,X
TJOZILS,O,O,O,O,X,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,O,X,X
TJOZLIS,O,O,O,O,X,X,X,X,X,X
TJOZLSI,O,O,O,O,X,X,X,O,X,X
TJOZSIL,O,O,O,O,X,X,X,O,X,X
TJOZSLI,O,O,O,O,O,X,X,O,X,X
TSILJZO,X,X,O,O,O,O,O,O,X,X
TSILJOZ,X,X,O,O,O,O,O,O,X,X
TSILZJO,X,X,O,O,O,X,O,O,X,X
TSILZOJ,X,X,O,O,O,X,O,O,O,X
TSILOJZ,X,X,O,O,O,O,O,O,X,X
TSILOZJ,X,X,O,O,O,X,O,O,X,X
TSIJLZO,X,X,O,O,O,O,O,O,X,X
TSIJLOZ,X,X,O,O,O,O,O,O,X,X
TSIJZLO,X,X,O,O,O,O,X,O,X,X
TSIJZOL,X,X,O,O,X,O,X,X,X,X
TSIJOLZ,X,X,O,X,X,O,O,X,X,X
TSIJOZL,X,X,O,X,X,O,X,X,X,X
TSIZLJO,X,X,O,O,O,X,O,O,X,X
TSIZLOJ,X,X,O,O,O,X,O,O,O,X
TSIZJLO,X,X,O,O,O,X,X,O,X,X
TSIZJOL,X,X,O,O,X,X,X,X,X,X
TSIZOLJ,X,X,O,O,O,X,O,O,O,X
TSIZOJL,X,X,O,O,X,X,X,O,X,X
TSIOLJZ,X,X,O,O,X,O,O,O,X,X
TSIOLZJ,X,X,O,O,X,X,O,O,X,X
TSIOJLZ,X,X,O,O,X,O,O,O,X,X
TSIOJZL,X,X,O,O,X,O,X,O,X,X
TSIOZLJ,X,X,O,O,X,X,O,O,X,X
TSIOZJL,X,X,O,O,X,X,X,O,X,X
TSLIJZO,O,O,O,O,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,O,O,O,O,X,X
TSLIZJO,O,O,O,O,O,X,O,O,X,X
TSLIZOJ,O,O,O,O,O,X,O,O,O,X
TSLIOJZ,X,O,O,O,O,O,O,O,X,X
TSLIOZJ,O,O,O,O,O,X,O,O,X,X
TSLJIZO,O,O,O,O,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,O,O,O,O,X,X
TSLJZIO,O,O,O,O,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,O,X,O,X,X
TSLJOIZ,O,O,O,O,O,O,X,O,X,X
TSLJOZI,O,O,O,O,O,O,X,O,X,X
TSLZIJO,O,O,O,O,O,X,O,O,X,X
TSLZIOJ,O,O,O,O,O,X,O,O,O,X
TSLZJIO,O,O,O,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,O,O,X,O,X,X
TSLZOIJ,O,O,O,O,O,X,X,O,O,X
TSLZOJI,O,O,O,O,O,O,X,O,X,X
TSLOIJZ,X,O,O,O,O,O,X,O,X,X
TSLOIZJ,O,O,O,O,O,X,X,O,X,X
TSLOJIZ,O,O,O,O,O,O,X,O,X,X
TSLOJZI,O,O,O,O,O,O,X,O,X,X
TSLOZIJ,O,O,O,O,O,X,X,O,X,X
TSLOZJI,O,O,O,O,O,O,X,O,X,X
TSJILZO,O,O,O,O,O,O,O,O,X,X
TSJILOZ,O,O,O,O,O,O,O,O,X,X
TSJIZLO,O,X,O,O,O,O,X,O,X,X
TSJIZOL,O,X,O,O,X,O,X,X,X,X
TSJIOLZ,O,X,O,X,X,O,O,X,X,X
TSJIOZL,O,X,O,X,X,O,X,X,X,X
TSJLIZO,O,O,O,O,O,O,X,O,X,X
TSJLIOZ,O,O,O,O,O,O,X,O,X,X
TSJLZIO,O,O,O,O,O,O,X,O,X,X
TSJLZOI,O,O,O,O,O,O,X,O,X,X
TSJLOIZ,O,O,O,O,O,O,X,O,X,X
TSJLOZI,O,O,O,O,O,O,X,O,X,X
TSJZILO,O,X,O,O,O,O,X,O,X,X
TSJZIOL,O,X,O,O,X,O,X,X,X,X
TSJZLIO,O,O,O,O,O,O,X,O,X,X
TSJZLOI,O,O,O,O,O,O,X,O,X,X
TSJZOIL,O,X,O,O,X,O,X,O,X,X
TSJZOLI,O,X,O,O,O,O,X,O,X,X
TSJOILZ,O,X,O,O,X,O,X,O,X,X
TSJOIZL,O,X,O,O,X,O,X,O,X,X
TSJOLIZ,O,O,O,O,O,O,X,O,X,X
TSJOLZI,O,O,O,O,O,O,X,O,X,X
TSJOZIL,O,X,O,O,X,O,X,O,X,X
TSJOZLI,O,X,O,O,O,O,X,O,X,X
TSZILJO,O,O,O,O,O,X,O,O,X,X
TSZILOJ,O,O,O,O,O,X,O,O,O,X
TSZIJLO,O,X,O,O,O,X,X,O,X,X
TSZIJOL,O,X,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,O,X,O,O,O,X
TSZIOJL,O,O,O,O,X,X,X,O,X,X
TSZLIJO,O,O,O,O,O,X,O,O,X,X
TSZLIOJ,O,O,O,O,O,X,O,O,O,X
TSZLJIO,O,O,O,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,O,X,O,X,X
TSZLOIJ,O,O,O,O,O,X,X,O,O,X
TSZLOJI,O,O,O,O,O,O,X,O,X,X
TSZJILO,O,X,O,O,O,O,X,O,X,X
TSZJIOL,O,X,O,O,X,O,X,X,X,X
TSZJLIO,O,X,O,O,O,O,O,O,X,X
TSZJLOI,O,X,O,O,O,O,X,O,X,X
TSZJOIL,O,X,O,O,X,O,X,O,X,X
TSZJOLI,O,X,O,O,O,O,X,O,X,X
TSZOILJ,O,O,O,O,O,X,X,O,O,X
TSZOIJL,O,O,O,O,X,X,X,O,X,X
TSZOLIJ,O,O,O,O,O,X,X,O,O,X
TSZOLJI,O,O,O,O,O,O,X,O,X,X
TSZOJIL,O,O,O,O,X,O,X,O,X,X
TSZOJLI,O,O,O,O,O,O,X,O,X,X
TSOILJZ,O,O,O,O,X,O,O,O,X,X
TSOILZJ,O,O,O,O,X,X,O,O,X,X
TSOIJLZ,O,O,O,O,X,O,O,O,X,X
TSOIJZL,O,O,O,O,X,O,X,O,X,X
TSOIZLJ,O,O,O,O,X,X,O,O,X,X
TSOIZJL,O,O,O,O,X,X,X,O,X,X
