sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
ILTSZOJ,X,X,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,X,X,X
ILTZJSO,X,O,O,X,X,X,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,X,X,X
ILTZSJO,X,X,O,X,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,X,X,X,X,X,X
ILTZOJS,O,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,O,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X
ILTOJZS,O,X,O,X,X,X,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,O,X,X,X
ILTOZJS,O,X,O,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,O,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,X,O,X,X,X,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,X,X,X,X,X,X
ILJTOZS,O,O,O,X,X,X,X,X,X,X
ILJSTZO,O,O,O,X,X,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,X,X,X,X,X
ILJSZTO,O,O,O,X,X,X,X,X,X,X
ILJSZOT,O,O,O,X,X,X,X,O,X,X
ILJSOTZ,X,O,X,X,X,X,X,O,X,X
ILJSOZT,O,O,O,X,X,X,X,O,X,X
ILJZTSO,X,X,O,X,X,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,X,X,X,X
ILJZSOT,O,O,O,X,X,X,X,O,X,X
ILJZOTS,X,O,O,X,X,X,X,X,X,X
ILJZOST,X,O,O,X,X,X,O,X,O,X
ILJOTSZ,X,X,O,X,X,X,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,X,O,X
ILJOSZT,X,O,O,X,X,X,O,X,O,X
ILJOZTS,X,O,O,X,X,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,O,X,O,X
ILSTJZO,O,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,X,X,X,X
ILSJZTO,O,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,O,X,X,X,X,O,X,X
ILSJOTZ,X,O,X,X,X,X,X,O,X,X
ILSJOZT,O,O,O,X,X,X,X,O,X,X
ILSZTJO,O,O,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X,X,X
ILSZJTO,O,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,O,X,X
ILSZOTJ,X,O,X,X,X,X,O,O,X,X
ILSZOJT,O,O,X,X,X,X,O,O,X,X
ILSOTJZ,X,O,X,X,X,X,X,O,X,X
ILSOTZJ,X,O,X,X,X,X,O,O,X,X
ILSOJTZ,X,O,X,X,X,X,X,O,X,X
ILSOJZT,O,O,X,X,X,X,O,O,X,X
ILSOZTJ,X,O,X,X,X,X,O,O,X,X
ILSOZJT,O,O,X,X,X,X,O,O,X,X
ILZTJSO,X,O,O,X,X,X,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X,X,X,X
ILZTSJO,X,X,O,X,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,X,X,X,X,X
ILZTOJS,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,O,X,X,X
ILZJTSO,X,X,O,X,X,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X,O,X,X
ILZJOTS,X,O,O,X,X,X,X,X,X,X
ILZJOST,X,O,O,X,X,X,O,X,O,X
ILZSTJO,O,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,O,X,X
ILZSOTJ,X,O,X,X,X,X,O,O,X,X
ILZSOJT,O,O,X,X,X,X,O,O,X,X
ILZOTJS,X,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,O,X,X,X
ILZOJTS,X,X,O,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,O,X,O,X
ILZOSTJ,X,X,X,X,X,X,O,O,X,X
ILZOSJT,X,X,X,X,X,X,O,O,X,X
ILOTJSZ,X,X,O,X,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X,O,X,X,X
ILOTZJS,X,X,O,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,O,X,X,X,X,X,X,X
ILOJTZS,X,X,O,X,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,X,O,X
ILOJSZT,X,X,O,X,X,X,O,X,O,X
ILOJZTS,X,X,O,X,X,X,X,X,X,X
ILOJZST,X,X,O,X,X,X,O,X,O,X
ILOSTJZ,X,X,X,X,X,X,X,O,X,X
ILOSTZJ,X,X,X,X,X,X,O,O,X,X
ILOSJTZ,X,X,X,X,X,X,X,O,X,X
ILOSJZT,X,X,X,X,X,X,O,O,X,X
ILOSZTJ,X,X,X,X,X,X,O,O,X,X
ILOSZJT,X,X,X,X,X,X,O,O,X,X
ILOZTJS,X,X,O,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,X,O,X,X,X
ILOZJTS,X,X,O,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,O,X,O,X
ILOZSTJ,X,X,X,X,X,X,O,O,X,X
ILOZSJT,X,X,X,X,X,X,O,O,X,X
IJTLSZO,X,O,O,X,X,O,X,X,X,X
IJTLSOZ,X,O,O,X,X,O,X,X,X,X
IJTLZSO,X,O,O,X,X,O,X,X,X,X
IJTLZOS,O,O,O,X,X,O,X,X,X,X
IJTLOSZ,O,O,O,X,X,O,X,X,X,X
IJTLOZS,O,O,O,X,X,O,X,X,X,X
IJTSLZO,O,O,X,O,X,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X,X,X,X
IJTSZLO,O,O,X,O,X,O,X,X,X,X
IJTSZOL,O,O,X,O,X,O,X,O,X,X
IJTSOLZ,O,O,X,O,X,O,X,O,X,X
IJTSOZL,O,O,X,O,X,O,X,O,X,X
IJTZLSO,X,O,O,X,X,O,X,X,X,X
IJTZLOS,O,O,O,X,X,O,X,X,X,X
IJTZSLO,O,O,X,O,X,O,X,X,X,X
IJTZSOL,O,O,X,O,X,O,X,O,X,X
IJTZOLS,O,O,X,X,X,O,X,X,X,X
IJTZOSL,O,O,X,O,X,O,X,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X,X,X
IJTOLZS,O,O,X,X,X,O,X,X,X,X
IJTOSLZ,O,O,X,O,X,O,X,X,X,X
IJTOSZL,O,O,X,O,X,O,X,X,X,X
IJTOZLS,O,O,X,X,X,O,X,X,X,X
IJTOZSL,O,O,X,O,X,O,X,X,X,X
IJLTSZO,X,X,O,X,X,X,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,X,X,X,X,X,X
IJLTOZS,O,O,O,X,X,X,X,X,X,X
IJLSTZO,O,O,O,X,X,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,X
IJLSZTO,O,O,O,X,X,X,X,X,X,X
IJLSZOT,O,O,O,X,X,X,X,O,X,X
IJLSOTZ,X,O,X,X,X,X,X,O,X,X
IJLSOZT,O,O,O,X,X,X,X,O,X,X
IJLZTSO,X,X,O,X,X,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,X,X,X,X
IJLZSOT,O,O,O,X,X,X,X,O,X,X
IJLZOTS,X,O,O,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,X,X,O,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X,X,X
IJLOSZT,X,O,O,X,X,X,O,X,X,X
IJLOZTS,X,O,O,X,X,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,O,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,O,X,X
IJSTOLZ,O,O,X,X,X,X,X,O,X,X
IJSTOZL,O,O,X,X,X,X,X,O,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,O,X,O
IJSLOTZ,X,O,X,X,X,X,X,O,X,X
IJSLOZT,O,O,X,X,X,X,X,O,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,O,X,O
IJSZOTL,O,O,X,X,X,X,X,O,X,X
IJSZOLT,O,O,X,X,X,X,X,O,X,O
IJSOTLZ,O,O,X,X,X,X,X,O,X,X
IJSOTZL,O,O,X,X,X,X,X,O,X,X
IJSOLTZ,X,O,X,X,X,X,X,O,X,O
IJSOLZT,O,O,X,X,X,X,X,O,X,O
IJSOZTL,O,O,X,X,X,X,X,O,X,X
IJSOZLT,O,O,X,X,X,X,X,O,X,O
IJZTLSO,X,O,O,X,X,O,X,X,X,X
IJZTLOS,O,O,O,X,X,O,X,X,X,X
IJZTSLO,O,O,X,O,X,O,X,X,X,X
IJZTSOL,O,O,X,O,X,O,X,O,X,X
IJZTOLS,O,O,X,X,X,O,X,X,X,X
IJZTOSL,O,O,X,O,X,O,X,X,X,X
IJZLTSO,X,X,O,X,X,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X,X,X
IJZLSOT,O,O,O,X,X,X,X,O,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,O,O,X,X,X,O,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,O,X,X
IJZSLTO,O,O,X,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,O,X,O
IJZSOTL,O,O,X,X,X,X,X,O,X,X
IJZSOLT,O,O,X,X,X,X,X,O,X,O
IJZOTLS,O,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X,X
IJZOLST,X,O,X,X,X,X,O,X,X,X
IJZOSTL,O,O,X,X,X,X,X,O,X,X
IJZOSLT,O,O,X,X,X,X,O,O,X,X
IJOTLSZ,O,O,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,O,X,X,X
IJOLZTS,X,O,X,X,X,X,X,X,X,X
IJOLZST,X,O,X,X,X,X,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,O,X,X
IJOSTZL,O,O,X,X,X,X,X,O,X,X
IJOSLTZ,X,O,X,X,X,X,X,O,X,X
IJOSLZT,O,O,X,X,X,X,O,O,X,X
IJOSZTL,O,O,X,X,X,X,X,O,X,X
IJOSZLT,O,O,X,X,X,X,O,O,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X,O,X,X
IJOZSLT,O,O,X,X,X,X,O,O,X,X
ISTLJZO,O,O,O,X,X,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,O,X,X
ISTJOLZ,O,O,X,X,X,X,X,O,X,X
ISTJOZL,O,O,X,X,X,X,X,O,X,X
ISTZLJO,O,O,O,X,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,O,X,X
ISTZOLJ,O,O,X,X,X,X,X,O,X,X
ISTZOJL,O,O,X,X,X,X,X,O,X,X
ISTOLJZ,O,O,X,X,X,X,X,O,X,X
ISTOLZJ,O,O,X,X,X,X,X,O,X,X
ISTOJLZ,O,O,X,X,X,X,X,O,X,X
ISTOJZL,O,O,X,X,X,X,X,O,X,X
ISTOZLJ,O,O,X,X,X,X,X,O,X,X
ISTOZJL,O,O,X,X,X,X,X,O,X,X
ISLTJZO,O,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X,X,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X,X
ISLJZOT,O,O,O,X,X,X,X,O,X,O
ISLJOTZ,X,O,X,X,X,X,X,O,X,X
ISLJOZT,O,O,O,X,X,X,X,O,X,X
ISLZTJO,O,O,O,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X,O,X,O
ISLZOTJ,X,O,X,X,X,X,O,O,X,X
ISLZOJT,O,O,X,X,X,X,O,O,X,X
ISLOTJZ,X,O,X,X,X,X,X,O,X,X
ISLOTZJ,X,O,X,X,X,X,O,O,X,X
ISLOJTZ,X,O,X,X,X,X,X,O,X,X
ISLOJZT,O,O,X,X,X,X,O,O,X,X
ISLOZTJ,X,O,X,X,X,X,O,O,X,X
ISLOZJT,O,O,X,X,X,X,O,O,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X,O,X,X
ISJTOLZ,O,O,X,X,X,X,X,O,X,X
ISJTOZL,O,O,X,X,X,X,X,O,X,X
ISJLTZO,O,O,X,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,O,X,O
ISJLOTZ,X,O,X,X,X,X,X,O,X,X
ISJLOZT,O,O,X,X,X,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,O,X,O
ISJZOTL,O,O,X,X,X,X,X,O,X,X
ISJZOLT,O,O,X,X,X,X,X,O,X,O
ISJOTLZ,O,O,X,X,X,X,X,O,X,X
ISJOTZL,O,O,X,X,X,X,X,O,X,X
ISJOLTZ,X,O,X,X,X,X,X,O,X,O
ISJOLZT,O,O,X,X,X,X,X,O,X,O
ISJOZTL,O,O,X,X,X,X,X,O,X,X
ISJOZLT,O,O,X,X,X,X,X,O,X,O
ISZTLJO,O,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,O,X,X
ISZTOLJ,O,O,X,X,X,X,X,O,X,X
ISZTOJL,O,O,X,X,X,X,X,O,X,X
ISZLTJO,O,O,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X,O,X,O
ISZLOTJ,X,O,X,X,X,X,O,O,X,X
ISZLOJT,O,O,X,X,X,X,O,O,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,O,X,X
ISZJLTO,O,O,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,O,X,O
ISZJOTL,O,O,X,X,X,X,X,O,X,X
ISZJOLT,O,O,X,X,X,X,X,O,X,O
ISZOTLJ,O,O,X,X,X,X,O,O,X,X
ISZOTJL,O,O,X,X,X,X,X,O,X,X
ISZOLTJ,X,O,X,X,X,X,O,O,X,X
ISZOLJT,O,O,X,X,X,X,O,O,X,O
ISZOJTL,O,O,X,X,X,X,X,O,X,X
ISZOJLT,O,O,X,X,X,X,O,O,X,O
ISOTLJZ,O,O,X,X,X,X,X,O,X,X
ISOTLZJ,O,O,X,X,X,X,O,O,X,X
ISOTJLZ,O,O,X,X,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,X,X,O,X,X
ISOTZLJ,O,O,X,X,X,X,O,O,X,X
ISOTZJL,O,O,X,X,X,X,X,O,X,X
ISOLTJZ,X,O,X,X,X,X,X,O,X,X
ISOLTZJ,X,O,X,X,X,X,O,O,X,X
ISOLJTZ,X,O,X,X,X,X,X,O,X,O
ISOLJZT,O,O,X,X,X,X,O,O,X,O
ISOLZTJ,X,O,X,X,X,X,O,O,X,X
ISOLZJT,O,O,X,X,X,X,O,O,X,O
ISOJTLZ,O,O,X,X,X,X,X,O,X,X
ISOJTZL,O,O,X,X,X,X,X,O,X,X
ISOJLTZ,X,O,X,X,X,X,X,O,X,O
ISOJLZT,O,O,X,X,X,X,O,O,X,O
ISOJZTL,O,O,X,X,X,X,X,O,X,X
ISOJZLT,O,O,X,X,X,X,O,O,X,O
ISOZTLJ,O,O,X,X,X,X,O,O,X,X
ISOZTJL,O,O,X,X,X,X,X,O,X,X
ISOZLTJ,X,O,X,X,X,X,O,O,X,X
ISOZLJT,O,O,X,X,X,X,O,O,X,O
ISOZJTL,O,O,X,X,X,X,X,O,X,X
ISOZJLT,O,O,X,X,X,X,O,O,X,O
IZTLJSO,X,O,O,X,X,O,X,X,X,X
IZTLJOS,O,O,O,X,X,O,X,X,X,X
IZTLSJO,X,X,O,X,X,O,X,X,X,X
IZTLSOJ,X,X,X,X,X,O,X,X,X,X
IZTLOJS,O,X,O,X,X,O,X,X,X,X
IZTLOSJ,O,X,X,X,X,O,O,X,X,X
IZTJLSO,X,O,O,X,X,O,X,X,X,X
IZTJLOS,O,O,O,X,X,O,X,X,X,X
IZTJSLO,O,O,X,O,X,O,X,X,X,X
IZTJSOL,O,O,X,O,X,O,X,O,X,X
IZTJOLS,O,O,X,X,X,O,X,X,X,X
IZTJOSL,O,O,X,O,X,O,X,X,X,X
IZTSLJO,O,O,O,O,X,O,X,X,X,X
IZTSLOJ,O,O,X,X,X,O,X,X,X,X
IZTSJLO,O,O,X,O,X,O,X,X,X,X
IZTSJOL,O,O,X,O,X,O,X,O,X,X
IZTSOLJ,O,O,X,O,X,O,X,O,X,X
IZTSOJL,O,O,X,O,X,O,X,O,X,X
IZTOLJS,O,X,O,X,X,O,X,X,X,X
IZTOLSJ,O,X,X,X,O,O,O,X,X,X
IZTOJLS,O,O,X,X,X,O,X,X,X,X
IZTOJSL,O,O,X,O,X,O,X,X,X,X
IZTOSLJ,O,X,X,O,O,O,O,O,X,X
IZTOSJL,O,X,X,O,O,O,X,O,X,X
IZLTJSO,X,O,O,X,X,X,X,X,X,X
IZLTJOS,O,O,O,X,X,X,X,X,X,X
IZLTSJO,X,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,O,X,X,X
IZLJTSO,X,X,O,X,X,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,X,O,X,X
IZLJOTS,X,O,O,X,X,X,X,X,X,X
IZLJOST,X,O,O,X,X,X,O,X,O,X
IZLSTJO,O,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,O,X,X
IZLSOTJ,X,O,X,X,X,X,O,O,X,X
IZLSOJT,O,O,X,X,X,X,O,O,X,X
IZLOTJS,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,O,X,X,X
IZLOJTS,X,X,O,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,O,X,O,X
IZLOSTJ,X,X,X,X,X,X,O,O,X,X
IZLOSJT,X,X,X,X,X,X,O,O,X,X
IZJTLSO,X,O,O,X,X,O,X,X,X,X
IZJTLOS,O,O,O,X,X,O,X,X,X,X
IZJTSLO,O,O,X,O,X,O,X,X,X,X
IZJTSOL,O,O,X,O,X,O,X,O,X,X
IZJTOLS,O,O,X,X,X,O,X,X,X,X
IZJTOSL,O,O,X,O,X,O,X,X,X,X
IZJLTSO,X,X,O,X,X,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,O,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,X,X,O,X,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X,O,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,O,X,O
IZJSOTL,O,O,X,X,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,X,X,O,X,O
IZJOTLS,O,O,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X,X
IZJOLST,X,O,X,X,X,X,O,X,X,X
IZJOSTL,O,O,X,X,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,X,O,O,X,X
IZSTLJO,O,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,O,X,X
IZSTOLJ,O,O,X,X,X,X,X,O,X,X
IZSTOJL,O,O,X,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X,X,X,X
IZSLJOT,O,O,O,X,X,X,X,O,X,O
IZSLOTJ,X,O,X,X,X,X,O,O,X,X
IZSLOJT,O,O,X,X,X,X,O,O,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,O,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,O,X,O
IZSJOTL,O,O,X,X,X,X,X,O,X,X
IZSJOLT,O,O,X,X,X,X,X,O,X,O
IZSOTLJ,O,O,X,X,X,X,O,O,X,X
IZSOTJL,O,O,X,X,X,X,X,O,X,X
IZSOLTJ,X,O,X,X,X,X,O,O,X,X
IZSOLJT,O,O,X,X,X,X,O,O,X,O
IZSOJTL,O,O,X,X,X,X,X,O,X,X
IZSOJLT,O,O,X,X,X,X,O,O,X,O
IZOTLJS,O,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,O,X,O,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,O,X,O,O,X,X
IZOTSJL,O,X,X,O,O,X,X,O,X,X
IZOLTJS,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,O,X,X,X
IZOLJTS,X,X,O,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,O,X,X,X
IZOLSTJ,X,X,X,X,X,X,O,O,X,X
IZOLSJT,X,X,X,X,X,X,O,O,X,X
IZOJTLS,O,O,X,X,X,X,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,O,X,X,X
IZOJSTL,O,O,X,X,X,X,X,O,X,X
IZOJSLT,O,O,X,X,X,X,O,O,X,X
IZOSTLJ,O,O,X,X,X,X,O,O,X,X
IZOSTJL,O,O,X,X,X,X,X,O,X,X
IZOSLTJ,X,O,X,X,X,X,O,O,X,X
IZOSLJT,O,O,X,X,X,X,O,O,X,O
IZOSJTL,O,O,X,X,X,X,X,O,X,X
IZOSJLT,O,O,X,X,X,X,O,O,X,O
IOTLJSZ,O,X,O,X,X,X,X,X,X,X
IOTLJZS,O,X,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X,X,X
