sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TIZJOLS,O,O,X,X,X,O,X,X,X,X
TIZJOSL,O,O,X,O,X,O,X,X,X,X
TIZSLJO,O,O,O,O,X,O,X,X,X,X
TIZSLOJ,O,O,X,X,X,O,X,X,X,X
TIZSJLO,O,O,X,O,X,O,X,X,X,X
TIZSJOL,O,O,X,O,X,O,X,O,X,X
TIZSOLJ,O,O,X,O,X,O,X,O,X,X
TIZSOJL,O,O,X,O,X,O,X,O,X,X
TIZOLJS,O,X,O,X,X,O,X,X,X,X
TIZOLSJ,O,X,X,X,O,O,O,X,X,X
TIZOJLS,O,O,X,X,X,O,X,X,X,X
TIZOJSL,O,O,X,O,X,O,X,X,X,X
TIZOSLJ,O,X,X,O,O,O,O,O,X,X
TIZOSJL,O,X,X,O,O,O,X,O,X,X
TIOLJSZ,O,X,O,X,X,O,X,X,X,X
TIOLJZS,O,X,O,X,X,O,X,X,X,X
TIOLSJZ,O,X,X,X,O,O,X,X,X,X
TIOLSZJ,O,X,X,X,O,O,O,X,X,X
TIOLZJS,O,X,O,X,X,O,X,X,X,X
TIOLZSJ,O,X,X,X,O,O,O,X,X,X
TIOJLSZ,O,O,X,X,X,O,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X,X,X
TIOJSLZ,O,O,X,O,X,O,X,X,X,X
TIOJSZL,O,O,X,O,X,O,X,X,X,X
TIOJZLS,O,O,X,X,X,O,X,X,X,X
TIOJZSL,O,O,X,O,X,O,X,X,X,X
TIOSLJZ,O,X,X,O,O,O,X,O,X,X
TIOSLZJ,O,X,X,O,O,O,O,O,X,X
TIOSJLZ,O,X,X,O,O,O,X,O,X,X
TIOSJZL,O,X,X,O,O,O,X,O,X,X
TIOSZLJ,O,X,X,O,O,O,O,O,X,X
TIOSZJL,O,X,X,O,O,O,X,O,X,X
