sequence,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBRdBSjBzhB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SAJvhFWiBxdBXjBzfBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFRdBcjBXgBzhB+nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFRdBcjBCiBXgBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFRdBcjBzfBfnB6nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFGdBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFCdBzfBxiBXjBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBzcBSjBRnB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFSiBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBqhBxdBXjBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?z8IvhFGeBUlBRnBClB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SCJvhFTeBFgBfqBRsBGqBUsB
TIJLZOS,X,X,X,O,X,X,X,O,O,X,X,X
TIJLOSZ,X,X,X,X,X,O,O,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,O,O,O,X,X,X
TIJSLZO,X,X,O,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,O,X,X,O,X,X,X
TIJSZLO,X,X,O,X,O,O,X,X,X,X,X,X
TIJSZOL,X,X,O,X,O,O,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,X,X,O,X,X,X
TIJSOZL,X,X,O,X,X,O,X,X,X,X,X,X
TIJZLSO,X,X,O,O,O,X,X,O,X,X,O,X
TIJZLOS,X,X,X,O,O,X,X,O,O,X,X,X
TIJZSLO,X,X,O,X,O,O,X,O,X,X,O,X
TIJZSOL,X,X,O,X,O,O,X,O,X,X,O,X
TIJZOLS,X,X,O,O,O,X,X,O,O,X,X,X
TIJZOSL,X,X,O,X,O,O,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,O,X,O,X,X,X
TIJOLZS,X,X,X,O,X,X,O,O,O,X,X,X
TIJOSLZ,X,X,O,X,X,O,O,X,O,X,X,X
TIJOSZL,X,X,O,X,X,O,X,X,X,X,X,X
TIJOZLS,X,X,O,O,X,X,O,O,O,X,X,X
TIJOZSL,X,X,O,X,X,O,X,O,X,X,X,X
TISLJZO,O,O,O,X,O,O,X,X,X,O,X,X
TISLJOZ,X,O,O,X,X,O,X,X,O,X,X,O
TISLZJO,O,O,O,X,O,O,X,O,X,O,X,X
TISLZOJ,O,O,O,X,O,O,X,O,X,O,X,O
TISLOJZ,O,O,O,X,O,O,O,X,O,X,X,O
TISLOZJ,O,X,X,X,O,O,X,O,X,O,X,O
TISJLZO,X,O,O,X,O,O,X,X,X,O,X,X
TISJLOZ,X,O,O,X,X,O,X,X,O,X,X,O
TISJZLO,X,O,O,X,O,O,X,X,X,O,X,X
TISJZOL,X,X,O,X,O,O,X,X,X,O,X,X
TISJOLZ,X,O,O,X,X,O,X,X,O,X,X,O
TISJOZL,X,X,O,X,X,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,O,O,X,O,X,O,X,X
TISZLOJ,O,O,O,X,O,O,X,O,X,O,X,O
TISZJLO,O,O,O,X,O,O,X,O,X,O,X,X
TISZJOL,O,O,O,X,O,O,X,O,X,O,X,X
TISZOLJ,O,O,O,X,O,O,X,O,X,O,X,O
TISZOJL,O,O,X,X,O,O,X,O,X,O,X,X
TISOLJZ,O,O,O,X,O,O,O,X,O,X,X,O
TISOLZJ,O,X,X,X,O,O,X,O,X,O,X,O
TISOJLZ,O,O,O,X,O,O,O,X,O,X,X,O
TISOJZL,O,X,O,X,O,O,X,X,X,X,X,X
TISOZLJ,O,X,X,X,O,O,X,O,X,O,X,O
TISOZJL,O,X,X,X,O,O,X,O,X,O,X,X
TIZLJSO,O,O,X,O,O,X,X,O,X,O,O,X
TIZLJOS,O,X,X,O,O,X,O,O,O,X,X,X
TIZLSJO,O,O,O,O,X,X,X,O,X,O,O,X
TIZLSOJ,O,O,O,X,X,X,O,O,X,O,O,X
TIZLOJS,O,X,X,O,O,X,O,O,O,X,X,X
TIZLOSJ,O,X,X,X,X,X,O,O,X,X,X,X
TIZJLSO,O,O,O,O,O,X,X,O,X,O,O,X
TIZJLOS,O,X,X,O,O,X,O,O,O,X,X,X
TIZJSLO,O,O,O,X,O,O,X,O,X,O,O,X
TIZJSOL,O,O,O,X,O,O,X,O,X,O,O,X
TIZJOLS,O,X,O,O,O,X,O,O,O,X,X,X
TIZJOSL,O,X,O,X,O,O,O,O,X,X,X,X
TIZSLJO,O,O,O,X,O,O,X,O,X,O,O,X
TIZSLOJ,O,O,O,X,O,O,O,O,X,O,O,X
TIZSJLO,O,O,O,X,O,O,X,O,X,O,O,X
TIZSJOL,O,O,O,X,O,O,X,O,X,O,O,X
TIZSOLJ,O,O,O,X,O,O,O,O,X,O,O,X
TIZSOJL,O,O,X,X,O,O,O,O,X,O,O,X
TIZOLJS,O,X,X,O,O,X,O,O,O,X,X,X
TIZOLSJ,O,X,X,O,X,X,O,O,X,X,X,X
TIZOJLS,O,X,X,O,O,X,O,O,O,X,X,X
TIZOJSL,O,X,X,X,O,O,O,O,X,X,X,X
TIZOSLJ,O,X,O,X,O,O,O,O,X,X,X,X
TIZOSJL,O,X,X,X,O,O,O,O,X,X,X,X
TIOLJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TIOLJZS,O,X,X,O,X,X,O,O,O,X,X,X
TIOLSJZ,X,X,X,X,X,O,O,X,O,X,X,O
TIOLSZJ,O,X,X,X,X,O,X,O,X,X,X,O
TIOLZJS,O,X,X,O,X,X,O,O,O,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,O,X,O,X,X,X
TIOJLZS,O,X,X,O,X,X,O,O,O,X,X,X
TIOJSLZ,X,X,O,X,O,O,O,X,O,X,X,X
TIOJSZL,X,X,O,X,O,O,X,X,X,X,X,X
TIOJZLS,O,X,O,O,O,X,O,O,O,X,X,X
TIOJZSL,O,X,O,X,O,O,O,O,X,X,X,X
TIOSLJZ,X,X,O,X,O,O,O,X,O,X,X,O
TIOSLZJ,O,X,X,X,O,O,X,O,X,X,X,O
TIOSJLZ,X,X,O,X,O,O,O,X,O,X,X,O
TIOSJZL,X,X,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,O,X,O,X,X,X,O
TIOSZJL,O,X,X,X,O,O,X,O,X,X,X,X
TIOZLJS,O,X,X,O,O,X,O,O,O,X,X,X
TIOZLSJ,O,X,X,O,X,X,O,O,X,X,X,X
TIOZJLS,O,X,X,O,O,X,O,O,O,X,X,X
TIOZJSL,O,X,X,X,O,O,O,O,X,X,X,X
TIOZSLJ,O,X,X,X,O,O,O,O,X,X,X,X
TIOZSJL,O,X,X,X,O,O,O,O,X,X,X,X
TLIJSZO,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,X,X,O,X,X,X
TLIJZSO,O,X,X,O,X,X,X,O,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,O,O,X,X,X
TLIJOSZ,X,X,X,X,X,O,O,X,O,X,X,X
TLIJOZS,X,X,X,X,X,X,O,O,O,X,X,X
TLISJZO,O,O,X,X,X,O,X,X,X,O,X,X
TLISJOZ,X,O,X,X,X,O,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,O,X,O,X,O,X,X
TLISZOJ,O,O,X,X,X,O,X,O,X,O,X,X
TLISOJZ,O,O,X,X,X,O,O,X,O,X,X,X
TLISOZJ,O,X,X,X,X,O,X,O,X,O,X,X
TLIZJSO,O,O,X,O,X,X,X,O,X,O,X,X
TLIZJOS,O,X,X,O,X,X,X,O,O,X,X,X
TLIZSJO,O,O,X,O,X,X,X,O,X,O,X,X
TLIZSOJ,O,O,X,X,X,X,X,O,X,O,X,X
TLIZOJS,O,X,X,O,X,X,O,O,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TLIOJZS,O,X,X,X,X,X,O,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,O,X,O,X,X,X
TLIOSZJ,O,X,X,X,X,O,X,O,X,X,X,X
TLIOZJS,O,X,X,X,X,X,O,O,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJIZSO,O,X,X,O,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,O,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,O,X,X,X
TLJSIZO,O,O,O,X,O,X,X,X,X,O,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,X,O,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X,O,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,X,X,X,X,X,X,X
TLJZISO,O,O,O,O,O,X,X,O,X,O,X,X
TLJZIOS,O,X,X,O,O,X,X,O,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,O,X,O,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X,O,X,X
TLJZOIS,O,X,O,O,X,X,X,O,X,X,X,X
TLJZOSI,O,O,O,O,X,X,X,X,X,O,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,O,X,X,O,X,X,X,X,O,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,O,O,X,X,X,O,X,X
TLSIJOZ,X,O,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,O,O,X,O,O,X,O,X,O,X,X
TLSIZOJ,O,O,O,X,O,O,X,O,X,O,X,X
TLSIOJZ,O,O,O,X,O,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,O,X,O,X,X
TLSJIZO,O,O,O,X,O,O,X,X,X,O,X,X
TLSJIOZ,X,O,O,X,X,O,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,O,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,O,X,X
TLSJOIZ,O,O,O,X,O,O,X,X,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,X,O,X,X
TLSZIOJ,O,O,O,X,O,O,X,O,X,O,X,X
TLSZJIO,O,O,O,O,O,X,X,O,X,O,X,X
TLSZJOI,O,O,O,O,O,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,X,O,O,X,X,X,O,X,X
TLSZOJI,O,O,O,X,O,X,X,X,X,O,X,X
TLSOIJZ,O,O,O,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,O,X,X,X,O,X,X
TLSOJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,O,X,X,X,O,X,X
TLSOZJI,O,O,O,X,O,X,X,X,X,O,X,X
TLZIJSO,O,O,X,O,O,X,X,O,X,O,X,X
TLZIJOS,O,X,X,O,O,X,O,O,X,X,X,X
TLZISJO,O,O,O,O,X,X,X,O,X,O,X,X
TLZISOJ,O,O,O,X,X,X,O,O,X,O,X,X
TLZIOJS,O,X,X,O,O,X,O,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,O,O,X,X,X,X
TLZJISO,O,O,O,O,O,X,X,O,X,O,X,X
TLZJIOS,O,X,X,O,O,X,O,O,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,O,X,O,X,X
TLZJSOI,O,O,O,O,O,X,X,X,X,O,X,X
TLZJOIS,O,X,O,O,X,X,O,O,X,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,O,X,X
TLZSIJO,O,O,O,O,O,X,X,O,X,O,X,X
TLZSIOJ,O,O,O,X,O,X,O,O,X,O,X,X
TLZSJIO,O,O,O,O,O,X,X,O,X,O,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,O,X,X
TLZSOIJ,O,O,O,X,O,X,O,X,X,O,X,X
TLZSOJI,O,O,O,X,O,X,O,X,X,O,X,X
TLZOIJS,O,X,X,O,O,X,O,O,X,X,X,X
TLZOISJ,O,X,X,O,X,X,O,O,X,X,X,X
TLZOJIS,O,X,X,O,O,X,O,O,X,X,X,X
TLZOJSI,O,O,X,O,O,X,O,X,X,O,X,X
TLZOSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TLZOSJI,O,O,X,O,O,X,O,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TLOIJZS,O,X,X,O,X,X,O,O,O,X,X,X
TLOISJZ,X,X,X,X,X,O,O,X,O,X,X,X
TLOISZJ,O,X,X,X,X,O,X,O,X,X,X,X
TLOIZJS,O,X,X,O,X,X,O,O,O,X,X,X
TLOIZSJ,O,X,X,O,X,X,X,O,X,X,X,X
TLOJISZ,X,X,X,X,X,X,O,X,O,X,X,X
TLOJIZS,O,X,X,O,X,X,O,X,O,X,X,X
TLOJSIZ,X,X,O,X,O,X,X,X,X,X,X,X
TLOJSZI,X,X,O,O,O,X,X,X,X,X,X,X
TLOJZIS,O,X,O,O,O,X,O,X,X,X,X,X
TLOJZSI,O,X,O,O,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,O,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,O,X,X,X,O,X,X
TLOSJIZ,O,O,O,X,O,O,X,X,X,X,X,X
TLOSJZI,O,O,O,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,O,X,X,X,O,X,X
TLOSZJI,O,O,O,O,O,X,X,X,X,O,X,X
TLOZIJS,O,X,X,O,O,X,O,O,X,X,X,X
TLOZISJ,O,X,X,O,X,X,O,O,X,X,X,X
TLOZJIS,O,X,X,O,O,X,O,O,X,X,X,X
TLOZJSI,O,O,X,O,O,X,O,X,X,O,X,X
TLOZSIJ,O,O,X,O,O,X,O,X,X,O,X,X
TLOZSJI,O,O,X,O,O,X,O,X,X,O,X,X
TJILSZO,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,O,X,X,O,X,X,X
TJILZSO,X,X,X,O,X,X,X,O,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,O,O,X,X,X
TJILOSZ,X,X,X,X,X,O,O,X,O,X,X,X
TJILOZS,X,X,X,X,X,X,O,O,O,X,X,X
TJISLZO,X,X,O,X,O,O,X,X,X,X,X,X
TJISLOZ,X,X,O,X,X,O,X,X,O,X,X,X
TJISZLO,X,X,O,X,O,O,X,X,X,X,X,X
TJISZOL,X,X,O,X,O,O,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,O,X,X,O,X,X,X
TJISOZL,X,X,O,X,X,O,X,X,X,X,X,X
TJIZLSO,X,X,O,O,O,X,X,O,X,X,O,X
TJIZLOS,X,X,X,O,O,X,X,O,O,X,X,X
TJIZSLO,X,X,O,X,O,O,X,O,X,X,O,X
TJIZSOL,X,X,O,X,O,O,X,O,X,X,O,X
TJIZOLS,X,X,O,O,O,X,X,O,O,X,X,X
TJIZOSL,X,X,O,X,O,O,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,O,X,O,X,X,X
TJIOLZS,X,X,X,O,X,X,O,O,O,X,X,X
TJIOSLZ,X,X,O,X,X,O,O,X,O,X,X,X
TJIOSZL,X,X,O,X,X,O,X,X,X,X,X,X
TJIOZLS,X,X,O,O,X,X,O,O,O,X,X,X
TJIOZSL,X,X,O,X,X,O,X,O,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLIZSO,O,X,X,O,X,X,X,O,X,X,X,X
TJLIZOS,O,X,X,O,X,X,X,O,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,X,O,O,X,X,X
TJLSIZO,O,O,O,X,O,X,X,X,X,O,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,X,X,O,X,X
TJLSZOI,O,O,O,O,O,X,X,X,X,O,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,X,O,X,X,X,X,X,X,X
TJLZISO,O,O,O,O,O,X,X,O,X,O,X,X
TJLZIOS,O,X,X,O,O,X,X,O,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,O,X,O,X,X
TJLZSOI,O,O,O,O,O,X,X,X,X,O,X,X
TJLZOIS,O,X,O,O,X,X,X,O,X,X,X,X
TJLZOSI,O,O,O,O,X,X,X,X,X,O,X,X
TJLOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,O,X,X,O,X,X,X,X,O,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,O,X,X,X,O,X,X
TJSILOZ,X,O,O,X,X,O,X,X,O,X,X,X
TJSIZLO,X,O,O,X,O,O,X,X,X,O,X,X
TJSIZOL,X,X,O,X,O,O,X,X,X,O,X,X
TJSIOLZ,X,O,O,X,X,O,X,X,O,X,X,X
TJSIOZL,X,X,O,X,X,O,X,X,X,X,X,X
TJSLIZO,O,O,O,X,O,O,X,X,X,O,X,X
TJSLIOZ,X,O,O,X,X,O,X,X,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,X,X,O,X,X
TJSLZOI,O,O,O,O,O,X,X,X,X,O,X,X
TJSLOIZ,O,O,O,X,O,O,X,X,X,X,X,X
TJSLOZI,O,O,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,O,X,X,X,X,O,X,X
TJSZIOL,O,O,O,X,O,X,X,X,X,O,X,X
TJSZLIO,O,O,O,O,O,X,X,X,X,O,X,X
TJSZLOI,O,O,O,O,O,X,X,X,X,O,X,X
TJSZOIL,O,O,O,X,O,X,X,X,X,O,X,X
TJSZOLI,O,O,O,O,O,X,X,X,X,O,X,X
TJSOILZ,O,O,O,X,O,O,X,X,O,X,X,X
TJSOIZL,O,X,O,X,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,O,O,X,X,X,X,X,X
TJSOLZI,O,O,O,O,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,O,O,O,X,X,X,X,X,X,X
TJZILSO,O,O,O,O,O,X,X,O,X,O,O,X
TJZILOS,O,X,X,O,O,X,O,O,O,X,X,X
TJZISLO,O,O,O,X,O,X,X,O,X,O,O,X
TJZISOL,O,O,O,X,O,X,X,O,X,O,O,X
TJZIOLS,O,X,O,O,O,X,O,O,O,X,X,X
TJZIOSL,O,X,O,X,O,X,O,O,X,X,X,X
TJZLISO,O,O,O,O,O,X,X,O,X,O,X,X
TJZLIOS,O,X,X,O,O,X,O,O,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,O,X,O,X,X
TJZLSOI,O,O,O,O,O,X,X,X,X,O,X,X
TJZLOIS,O,X,O,O,X,X,O,O,X,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,O,X,X
TJZSILO,O,O,O,X,O,X,X,O,X,O,X,X
TJZSIOL,O,O,O,X,O,X,X,O,X,O,X,X
TJZSLIO,O,O,O,O,O,X,X,O,X,O,X,X
TJZSLOI,O,O,O,O,O,X,X,X,X,O,X,X
TJZSOIL,O,O,O,X,O,X,X,X,X,O,X,X
TJZSOLI,O,O,O,O,O,X,X,X,X,O,X,X
TJZOILS,O,X,O,O,O,X,O,O,O,X,X,X
TJZOISL,O,X,O,X,O,X,O,O,X,X,X,X
TJZOLIS,O,X,O,O,O,X,O,O,X,X,X,X
TJZOLSI,O,O,O,O,O,X,O,X,X,O,X,X
TJZOSIL,O,O,O,X,O,X,O,X,X,O,X,X
TJZOSLI,O,O,O,O,O,X,O,X,X,O,X,X
TJOILSZ,X,X,X,X,X,O,O,X,O,X,X,X
TJOILZS,O,X,X,O,X,X,O,X,O,X,X,X
TJOISLZ,X,X,O,X,O,O,O,X,O,X,X,X
TJOISZL,X,X,O,X,O,O,X,X,X,X,X,X
TJOIZLS,O,X,O,O,O,X,O,X,O,X,X,X
TJOIZSL,O,X,O,X,O,O,O,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,O,X,O,X,X,X
TJOLIZS,O,X,X,O,X,X,O,X,O,X,X,X
TJOLSIZ,X,X,O,X,O,X,X,X,X,X,X,X
TJOLSZI,X,X,O,O,O,X,X,X,X,X,X,X
TJOLZIS,O,X,O,O,O,X,O,X,X,X,X,X
TJOLZSI,O,X,O,O,O,X,O,X,X,X,X,X
TJOSILZ,X,X,O,X,O,O,O,X,O,X,X,X
TJOSIZL,X,X,O,X,O,O,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,O,X,X,X,X,X,X
TJOSLZI,X,X,O,O,O,X,X,X,X,X,X,X
TJOSZIL,X,X,O,X,O,X,O,X,X,X,X,X
TJOSZLI,X,X,O,O,O,X,O,X,X,X,X,X
TJOZILS,O,X,O,O,O,X,O,X,O,X,X,X
TJOZISL,O,X,O,X,O,X,O,X,X,X,X,X
TJOZLIS,O,X,O,O,O,X,O,X,X,X,X,X
TJOZLSI,O,X,O,O,O,X,O,X,X,X,X,X
TJOZSIL,O,X,O,X,O,X,O,X,X,X,X,X
TJOZSLI,O,X,O,O,O,X,O,X,X,X,X,X
TSILJZO,O,O,O,X,O,O,X,X,X,O,X,X
TSILJOZ,X,O,O,X,X,O,X,X,O,X,X,O
TSILZJO,O,O,O,X,O,O,X,O,X,O,X,X
TSILZOJ,O,O,O,X,O,O,X,O,X,O,X,O
TSILOJZ,O,O,O,X,O,O,O,X,O,X,X,O
TSILOZJ,O,X,X,X,O,O,X,O,X,O,X,O
TSIJLZO,X,O,O,X,O,O,X,X,X,O,X,X
TSIJLOZ,X,O,O,X,X,O,X,X,O,X,X,O
TSIJZLO,X,O,O,X,O,O,X,X,X,O,X,X
TSIJZOL,X,X,O,X,O,O,X,X,X,O,X,X
TSIJOLZ,X,O,O,X,X,O,X,X,O,X,X,O
TSIJOZL,X,X,O,X,X,O,X,X,X,X,X,X
TSIZLJO,O,O,O,X,O,O,X,O,X,O,X,X
TSIZLOJ,O,O,O,X,O,O,X,O,X,O,X,O
TSIZJLO,O,O,O,X,O,O,X,O,X,O,X,X
TSIZJOL,O,O,O,X,O,O,X,O,X,O,X,X
TSIZOLJ,O,O,O,X,O,O,X,O,X,O,X,O
TSIZOJL,O,O,X,X,O,O,X,O,X,O,X,X
TSIOLJZ,O,O,O,X,O,O,O,X,O,X,X,O
TSIOLZJ,O,X,X,X,O,O,X,O,X,O,X,O
TSIOJLZ,O,O,O,X,O,O,O,X,O,X,X,O
TSIOJZL,O,X,O,X,O,O,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,O,O,X,O,X,O,X,O
