sequence,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBmiB5oBKsBft?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBZnBGjBqsB/t?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NeRBJvhF3iBcoBTlBOrBFs?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB/nBaoB5oBFr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBOnBXjBStBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBOsBXoBFr?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFZnBGjBTlBcrBqs?B/tB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFmiB5oBTlBftBir?BUsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBinB+tBFr?B3sB,v115@9gC8GeB8HeB8HeD8AeA8Ne3AJvhFziB5oBlmBUnBmq?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF/nBaoB5oBTlBcr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB+oB3nBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB5oBFrBms?B3sB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB2nB5oB3nBFr?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF5oBTlBcrBinB3s?BmsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB5oBinBFrB3s?BmsB
TISJOLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TISOJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZLJSO,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
TIZLJOS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZLSJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TIZLSOJ,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TIZLOJS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZLOSJ,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TIZJLSO,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
TIZJLOS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZJSLO,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZJSOL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZJOLS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZJOSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZSLJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TIZSLOJ,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TIZSJLO,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZSJOL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZSOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIZSOJL,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
TIZOLJS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZOLSJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TIZOJLS,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TIZOJSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TIZOSLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIZOSJL,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
TIOLJSZ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOZLJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TLIJSZO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIJZOS,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIZJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZSJO,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TLIZSOJ,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
TLIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJIZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJSZIO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJZIOS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJZSIO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJZSOI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJZOIS,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJZOSI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOZJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZIJOS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZISJO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TLZISOJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZIOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZJISO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZJIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZJSOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZJOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZJOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZSIJO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TLZSIOJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZSJIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TLZSJOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZSOIJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZSOJI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLZOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZOISJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZOJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZOJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLZOSIJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TLZOSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOISZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOSIZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOSZJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOZSJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILZOS,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJISZLO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLSO,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TJIZLOS,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJIZSLO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
TJIZSOL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TJIZOLS,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJIZOSL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJLISZO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZSO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLIZOS,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZIO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLZIOS,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLZSIO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLZSOI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLZOIS,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLZOSI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSILZO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSIZLO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSLIZO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSLZIO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSLZOI,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSZILO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSZIOL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJSZLIO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSZLOI,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJSZOLI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
