sequence,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFVhBUdBGeBynBTm?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjBFhBGnBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBXiB8nBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFlcBGeBamBXiB8n?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFciBTeB6rB3nBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhB8mBziBim?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjB6rBTnBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFTeBFhB0iBasB/r?BGsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBziB3mBKn?B0rB
TIZSJLO,O,O,O,O,X,X,X,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,O,O,O
TIZSOJL,O,O,O,O,X,X,X,X,O
TIZOLJS,O,O,O,X,X,X,O,O,X
TIZOLSJ,O,X,O,X,X,X,O,O,X
TIZOJLS,O,O,O,X,X,X,X,O,X
TIZOJSL,O,O,O,O,X,X,X,X,X
TIZOSLJ,O,X,O,O,X,X,O,O,X
TIZOSJL,O,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X
TIOLZJS,O,O,O,X,X,X,O,O,X
TIOLZSJ,O,X,O,X,X,X,O,O,X
TIOJLSZ,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,O
TIOJSZL,O,O,X,X,X,O,X,X,O
TIOJZLS,O,O,O,X,X,X,X,O,X
TIOJZSL,O,O,O,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,O
TIOSLZJ,O,X,X,O,O,X,X,X,O
TIOSJLZ,O,X,X,X,X,X,X,X,O
TIOSJZL,O,X,X,O,X,O,X,X,O
TIOSZLJ,O,X,O,O,O,O,X,O,O
TIOSZJL,O,O,O,O,X,O,X,X,O
TIOZLJS,O,O,O,X,X,X,O,O,X
TIOZLSJ,O,X,O,X,X,X,O,O,X
TIOZJLS,O,O,O,X,X,X,X,O,X
TIOZJSL,O,O,O,O,X,X,X,X,X
TIOZSLJ,O,X,O,O,X,X,O,O,X
TIOZSJL,O,O,O,O,X,X,X,X,X
TLIJSZO,O,X,X,O,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,O,X
TLIJOSZ,O,X,X,O,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X
TLISJZO,O,X,X,O,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,O,X
TLISOJZ,O,X,X,O,X,X,X,X,O
TLISOZJ,O,X,X,O,O,X,X,X,O
TLIZJSO,O,O,O,O,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,O,X
TLIZSJO,O,O,O,O,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,O,X
TLIZOJS,O,O,X,O,X,X,O,O,X
TLIZOSJ,X,X,X,O,X,X,O,O,X
TLIOJSZ,O,X,X,O,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,O,O,X,X,X,X
TLIOZJS,O,O,O,O,X,X,O,O,X
TLIOZSJ,O,X,O,O,X,X,O,O,X
TLJISZO,O,X,X,O,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,X,X
TLJIZSO,O,O,O,O,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,O,X
TLJIOSZ,O,X,X,O,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,O,X
TLJZSIO,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,O,X
TLJZOSI,X,X,X,O,X,X,X,O,X
TLJOISZ,O,X,X,O,X,X,X,X,X
TLJOIZS,O,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X,X
TLJOZSI,O,X,X,O,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,X,X
TLSIZOJ,O,X,X,X,O,X,X,O,X
TLSIOJZ,O,X,X,O,X,X,X,X,O
TLSIOZJ,O,X,X,O,O,X,X,X,O
TLSJIZO,O,X,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,O,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,X,O,X
TLSZJIO,O,X,X,O,O,X,X,X,X
TLSZJOI,O,X,X,X,O,X,X,X,X
TLSZOIJ,O,X,X,X,O,X,X,O,X
TLSZOJI,O,X,X,X,O,X,X,O,X
TLSOIJZ,O,X,X,O,X,X,X,X,O
TLSOIZJ,O,X,X,O,O,X,X,X,O
TLSOJIZ,O,X,X,O,X,X,X,X,O
TLSOJZI,O,X,X,O,X,X,X,X,O
TLSOZIJ,O,X,X,O,O,X,X,X,O
TLSOZJI,O,X,X,O,O,X,X,X,O
TLZIJSO,O,O,O,O,X,X,X,X,X
TLZIJOS,O,X,X,O,X,X,X,O,X
TLZISJO,O,O,O,O,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,O,X
TLZIOJS,O,O,X,O,X,X,O,O,X
TLZIOSJ,X,X,X,O,X,X,O,O,X
TLZJISO,O,O,O,O,X,X,X,X,X
TLZJIOS,O,X,X,O,X,X,X,O,X
TLZJSIO,O,O,O,O,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,O,X
TLZJOSI,X,X,X,O,X,X,X,O,X
TLZSIJO,O,O,O,O,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,O,X
TLZSJIO,O,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,O,X
TLZSOJI,O,X,X,O,X,X,X,O,X
TLZOIJS,O,O,X,O,X,X,O,O,X
TLZOISJ,X,X,X,O,X,X,O,O,X
TLZOJIS,O,O,X,O,X,X,O,O,X
TLZOJSI,X,O,X,O,X,X,O,O,X
TLZOSIJ,X,X,X,O,X,X,O,O,X
TLZOSJI,X,X,X,O,X,X,O,O,X
TLOIJSZ,O,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,O,X,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,O,O,X,X,X,X
TLOIZJS,O,O,O,O,X,X,O,O,X
TLOIZSJ,O,X,O,O,X,X,O,O,X
TLOJISZ,O,X,X,O,X,X,X,X,X
TLOJIZS,O,X,X,O,X,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,X,X,X
TLOJZSI,O,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,X,X,X
TLOSJIZ,O,X,X,O,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,O,X,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X,X
TLOZIJS,O,O,O,O,X,X,O,O,X
TLOZISJ,O,X,O,O,X,X,O,O,X
TLOZJIS,O,O,O,O,X,X,O,O,X
TLOZJSI,O,O,O,O,X,X,O,O,X
TLOZSIJ,O,X,O,O,X,X,O,O,X
TLOZSJI,O,X,O,O,X,X,O,O,X
TJILSZO,O,X,X,O,X,X,X,X,X
TJILSOZ,O,X,X,O,X,X,X,X,X
TJILZSO,O,O,O,O,X,X,X,X,X
TJILZOS,O,X,X,O,X,X,X,O,X
TJILOSZ,O,X,X,O,X,X,X,X,X
TJILOZS,O,X,X,O,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,O
TJISOZL,O,X,X,X,X,O,X,X,O
TJIZLSO,O,O,O,O,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,X,X,X
TJIZSLO,O,O,O,O,X,X,X,X,X
TJIZSOL,O,O,O,O,X,X,X,X,X
TJIZOLS,O,O,O,X,X,X,X,O,X
TJIZOSL,X,O,O,O,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,O
TJIOSZL,O,X,X,X,X,O,X,X,O
TJIOZLS,O,O,O,X,X,X,X,O,X
TJIOZSL,O,O,O,O,X,X,X,X,X
TJLISZO,O,X,X,O,X,X,X,X,X
TJLISOZ,O,X,X,O,X,X,X,X,X
TJLIZSO,O,O,O,O,X,X,X,X,X
TJLIZOS,O,X,X,O,X,X,X,O,X
TJLIOSZ,O,X,X,O,X,X,X,X,X
TJLIOZS,O,X,X,O,X,X,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X,X
TJLSIOZ,O,X,X,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X
TJLZISO,O,O,O,O,X,X,X,X,X
TJLZIOS,O,X,X,O,X,X,X,O,X
TJLZSIO,O,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,O,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,O,X
TJLZOSI,X,X,X,O,X,X,X,O,X
TJLOISZ,O,X,X,O,X,X,X,X,X
TJLOIZS,O,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,X,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,O
TJSIOZL,O,X,X,X,X,O,X,X,O
TJSLIZO,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X,X
TJSZOLI,X,O,O,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X,X,O
TJSOIZL,O,X,X,X,X,O,X,X,O
TJSOLIZ,O,X,X,X,X,X,X,X,O
TJSOLZI,O,X,X,X,X,X,X,X,O
TJSOZIL,O,X,X,X,X,O,X,X,O
TJSOZLI,O,X,X,X,X,O,X,X,O
TJZILSO,O,O,O,O,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,X
TJZISLO,O,O,O,O,X,X,X,X,X
TJZISOL,O,O,O,O,X,X,X,X,X
TJZIOLS,O,O,O,X,X,X,X,O,X
TJZIOSL,X,O,O,O,X,X,X,X,X
TJZLISO,O,O,O,O,X,X,X,X,X
TJZLIOS,O,X,X,O,X,X,X,X,X
TJZLSIO,O,O,O,O,X,X,X,X,X
TJZLSOI,X,O,O,O,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X,X,X,X
TJZLOSI,X,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,X,X
TJZSIOL,O,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,X
TJZSOIL,O,O,O,O,X,X,X,X,X
TJZSOLI,X,O,O,X,X,X,X,X,X
TJZOILS,O,O,O,X,X,X,X,O,X
TJZOISL,X,O,O,O,X,X,X,X,X
TJZOLIS,X,O,O,O,X,X,X,O,X
TJZOLSI,X,O,O,O,X,X,X,O,X
TJZOSIL,X,O,O,O,X,X,X,X,X
TJZOSLI,X,O,O,O,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,O
TJOISZL,O,X,X,X,X,O,X,X,O
TJOIZLS,O,O,O,X,X,X,X,O,X
TJOIZSL,O,O,O,O,X,X,X,X,X
TJOLISZ,O,X,X,O,X,X,X,X,X
TJOLIZS,O,X,X,O,X,X,X,X,X
TJOLSIZ,O,X,X,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X,O
TJOSIZL,O,X,X,X,X,O,X,X,O
TJOSLIZ,O,X,X,X,X,X,X,X,O
TJOSLZI,O,X,X,X,X,X,X,X,O
TJOSZIL,O,X,X,X,X,O,X,X,O
TJOSZLI,X,X,X,X,X,O,X,X,O
TJOZILS,O,O,O,X,X,X,X,O,X
TJOZISL,O,O,O,O,X,X,X,X,X
TJOZLIS,O,O,O,O,X,X,X,O,X
TJOZLSI,O,O,O,O,X,X,X,O,X
TJOZSIL,O,O,O,O,X,X,X,X,X
TJOZSLI,X,O,O,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X,X
TSILZJO,O,X,X,X,O,X,X,X,X
TSILZOJ,O,X,X,X,O,X,X,O,X
TSILOJZ,O,X,X,X,X,X,X,X,O
TSILOZJ,O,X,X,X,O,X,X,X,O
TSIJLZO,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X,X,X,O
TSIJOZL,O,X,X,X,X,O,X,X,O
TSIZLJO,O,O,O,X,O,X,X,X,X
TSIZLOJ,O,X,X,X,O,O,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,O,X,X,X
TSIZOLJ,O,X,X,X,O,O,X,O,O
TSIZOJL,O,O,O,X,X,O,X,X,O
TSIOLJZ,O,X,X,X,X,X,X,X,O
TSIOLZJ,O,X,X,X,O,X,X,X,O
TSIOJLZ,O,X,X,X,X,X,X,X,O
TSIOJZL,O,X,X,X,X,O,X,X,O
TSIOZLJ,O,X,O,X,O,O,X,O,O
TSIOZJL,O,O,O,X,X,O,X,X,O
TSLIJZO,O,X,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X,X,X
TSLIZJO,O,X,X,X,O,X,X,X,X
TSLIZOJ,O,X,X,X,O,X,X,O,X
TSLIOJZ,O,X,X,X,X,X,X,X,O
TSLIOZJ,O,X,X,X,O,X,X,X,O
TSLJIZO,O,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X,X,X,X
TSLZIJO,O,X,X,X,O,X,X,X,X
TSLZIOJ,O,X,X,X,O,X,X,O,X
TSLZJIO,O,X,X,X,O,X,X,X,X
TSLZJOI,O,X,X,X,O,X,X,X,X
TSLZOIJ,O,X,X,X,O,X,X,O,X
TSLZOJI,O,X,X,X,O,X,X,O,X
TSLOIJZ,O,X,X,X,X,X,X,X,O
TSLOIZJ,O,X,X,X,O,X,X,X,O
TSLOJIZ,O,X,X,X,X,X,X,X,O
TSLOJZI,O,X,X,X,X,X,X,X,O
TSLOZIJ,O,X,X,X,O,X,X,X,O
TSLOZJI,O,X,X,X,O,X,X,X,O
TSJILZO,O,X,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X,X,X,O
TSJIOZL,O,X,X,X,X,O,X,X,O
TSJLIZO,O,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,X,X
TSJZOIL,O,O,O,X,X,X,X,X,X
TSJZOLI,X,O,O,X,X,X,X,X,X
TSJOILZ,O,X,X,X,X,X,X,X,O
TSJOIZL,O,X,X,X,X,O,X,X,O
TSJOLIZ,O,X,X,X,X,X,X,X,O
TSJOLZI,O,X,X,X,X,X,X,X,O
TSJOZIL,O,X,X,X,X,O,X,X,O
TSJOZLI,O,X,X,X,X,O,X,X,O
TSZILJO,O,O,O,X,O,X,X,X,X
TSZILOJ,O,X,X,X,O,O,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,O,X,X,X
TSZIOLJ,O,X,X,X,O,O,X,O,O
TSZIOJL,O,O,O,X,X,O,X,X,O
TSZLIJO,O,O,O,X,O,X,X,X,X
TSZLIOJ,O,X,X,X,O,O,X,X,X
TSZLJIO,O,O,O,X,O,X,X,X,X
TSZLJOI,O,O,O,X,O,X,X,X,X
TSZLOIJ,O,X,X,X,O,O,X,X,X
TSZLOJI,O,X,X,X,O,O,X,X,X
TSZJILO,O,O,O,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,O,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X,X
TSZJOIL,O,O,O,X,X,O,X,X,X
TSZJOLI,X,O,O,X,X,O,X,X,X
TSZOILJ,O,X,X,X,O,O,X,O,O
TSZOIJL,O,O,O,X,X,O,X,X,O
TSZOLIJ,O,X,X,X,O,O,X,O,O
TSZOLJI,O,X,X,X,O,O,X,O,O
TSZOJIL,O,O,O,X,X,O,X,X,O
TSZOJLI,X,O,O,X,X,O,X,X,O
TSOILJZ,O,X,X,X,X,X,X,X,O
TSOILZJ,O,X,X,X,O,X,X,X,O
TSOIJLZ,O,X,X,X,X,X,X,X,O
TSOIJZL,O,X,X,X,X,O,X,X,O
TSOIZLJ,O,X,O,X,O,O,X,O,O
TSOIZJL,O,O,O,X,X,O,X,X,O
TSOLIJZ,O,X,X,X,X,X,X,X,O
TSOLIZJ,O,X,X,X,O,X,X,X,O
TSOLJIZ,O,X,X,X,X,X,X,X,O
TSOLJZI,O,X,X,X,X,X,X,X,O
TSOLZIJ,O,X,X,X,O,X,X,X,O
TSOLZJI,O,X,X,X,O,X,X,X,O
TSOJILZ,O,X,X,X,X,X,X,X,O
TSOJIZL,O,X,X,X,X,O,X,X,O
TSOJLIZ,O,X,X,X,X,X,X,X,O
TSOJLZI,O,X,X,X,X,X,X,X,O
TSOJZIL,O,X,X,X,X,O,X,X,O
TSOJZLI,O,X,X,X,X,O,X,X,O
TSOZILJ,O,X,O,X,O,O,X,O,O
TSOZIJL,O,O,O,X,X,O,X,X,O
TSOZLIJ,O,X,O,X,O,O,X,O,O
TSOZLJI,O,X,O,X,O,O,X,O,O
TSOZJIL,O,O,O,X,X,O,X,X,O
TSOZJLI,O,O,O,X,X,O,X,X,O
TZILJSO,O,O,O,O,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,X,O,X
TZILSJO,O,O,O,O,X,X,X,X,X
TZILSOJ,X,X,X,O,X,X,X,O,X
TZILOJS,O,O,X,O,X,X,O,O,X
TZILOSJ,X,X,X,O,X,X,O,O,X
TZIJLSO,O,O,O,O,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,X,X,X
TZIJSLO,O,O,O,O,X,X,X,X,X
TZIJSOL,O,O,O,O,X,X,X,X,X
TZIJOLS,O,O,O,X,X,X,X,O,X
TZIJOSL,X,O,O,O,X,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X,X
TZISJOL,O,O,O,O,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X,O,O,O
TZISOJL,O,O,O,O,X,X,X,X,O
TZIOLJS,O,O,O,X,X,X,O,O,X
TZIOLSJ,O,X,O,X,X,X,O,O,X
TZIOJLS,O,O,O,X,X,X,X,O,X
