sequence,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB0?iBqrB/sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigB0mBl?nBGsBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFXcBmfB0mBl?nBCsBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxgB0iBigBl?mBXsBGsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jei6IvhFRcBciBFgBT?hB3nBWxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBFiB0?mBusBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBXdBigB1?nBGsB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBlmB3?nB8rB+sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBFhBRnB6?sBXnB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFmfBFhBXiB0?iB6rBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhBlmB3?nB6sB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBUhBF?iBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhB1nB/?mBUnBSxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT9IvhFxfB0hBmfBF?hBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB8?mB3nBSxB
TILOSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TIJLOZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIJSZLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TIJSZOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TIJSOZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TIJZLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TIJOLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TIJOLZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TIJOSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TIJOZLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TISLJZO,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TISLJOZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TISLZJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISJLOZ,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TISJZLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISJZOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,X,X,O,X,O,X,O,X,O,X,O,X,X
TISJOZL,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
TISZLJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TISOLJZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISOLZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TISOZLJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIOLJZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TIOJLZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TIOJSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TIOJZLS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TIOSLJZ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TIOSZLJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIJOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
TLISOJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
TLIOJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIOJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TLJIOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJSIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJSZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJSZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJSOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLJSOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
TLJZISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJZIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJZSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJZSOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJZOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJZOSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TLJOIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLJOSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TLJOZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLJOZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TLSIJZO,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
TLSIJOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSIZJO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSIZOJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSIOJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
TLSIOZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSJIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSJIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSJZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSJZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSJOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSJOZI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSZIJO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSZIOJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSZJIO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLSZJOI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLSZOIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSZOJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLSOIJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
TLSOIZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSOJIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSOJZI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TLSOZIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
TLSOZJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZISOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
TLZIOSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLZJISO,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZJSOI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZJOIS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJOSI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZSIJO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZSIOJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
TLZSJIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TLZSJOI,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TLZSOIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
TLZSOJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
TLZOISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TLZOJIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLZOJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLZOSIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLZOSJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLOIJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLOIJZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TLOJIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLOJSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TLOJZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLOJZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TLOSIJZ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
TLOSIZJ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLOSJZI,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TLOSZIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLOSZJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOZJIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOZJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLOZSIJ,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLOZSJI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TJILSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TJILOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJISLZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TJISZLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJISZOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TJISOLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TJISOZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJIZSLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TJIOLSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TJIOLZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TJIOSZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TJIOZLS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TJLISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJLIZSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TJLIOZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJLSIZO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLSIOZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLSZIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLSZOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLSOIZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
TJLSOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLZIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLZSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLZSOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLZOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLZOSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJLOISZ,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X
TJLOIZS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
TJLOSZI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
TJLOZIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TJLOZSI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSILZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TJSIZLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TJSIOLZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TJSIOZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TJSLIZO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJSLIOZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJSLZIO,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJSLZOI,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJSLOIZ,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJSLOZI,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
TJSZILO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSZIOL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSZLIO,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSZLOI,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSZOIL,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSZOLI,O,X,O,X,O,X,O,X,X,X,O,X,X,X,O
TJSOILZ,O,X,X,X,O,X,O,X,O,O,O,X,O,X,X
TJSOIZL,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X
TJSOLIZ,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TJSOLZI,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X
TJSOZIL,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TJSOZLI,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TJZILSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZILOS,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X
TJZISLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZISOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TJZIOLS,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X
TJZIOSL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X
TJZLISO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZLIOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZLSIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJZLSOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJZLOIS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZLOSI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X
