sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TIOJZLS,O,O,O,X,X,O,O
TIOJZSL,O,O,O,X,X,O,O
TIOSLJZ,X,X,O,O,X,O,X
TIOSLZJ,X,X,X,O,X,O,O
TIOSJLZ,X,X,O,O,X,O,X
TIOSJZL,X,X,O,O,X,X,O
TIOSZLJ,X,X,X,O,O,O,O
TIOSZJL,X,X,X,O,O,O,O
TIOZLJS,X,O,O,X,O,O,O
TIOZLSJ,X,X,X,X,O,O,O
TIOZJLS,X,O,O,X,O,O,O
TIOZJSL,X,O,O,X,X,O,O
TIOZSLJ,X,X,X,X,O,O,O
TIOZSJL,X,X,X,X,O,O,O
TLIJSZO,O,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,O,X
TLIJZSO,O,O,X,X,X,O,X
TLIJZOS,O,O,O,X,X,O,X
TLIJOSZ,O,X,O,X,X,O,X
TLIJOZS,O,O,O,X,X,O,X
TLISJZO,O,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,O,X
TLISZJO,O,X,X,X,X,O,X
TLISZOJ,O,X,X,X,X,O,X
TLISOJZ,O,X,O,X,X,O,X
TLISOZJ,O,X,X,X,X,O,O
TLIZJSO,O,O,X,X,X,O,X
TLIZJOS,O,O,O,X,X,O,X
TLIZSJO,X,O,X,X,X,O,X
TLIZSOJ,X,X,X,X,X,O,X
TLIZOJS,X,O,O,X,X,O,X
TLIZOSJ,X,X,X,X,X,O,X
TLIOJSZ,O,X,O,X,X,O,X
TLIOJZS,O,X,O,X,X,O,X
TLIOSJZ,X,X,O,X,X,O,X
TLIOSZJ,X,X,X,X,X,O,O
TLIOZJS,X,X,O,X,X,O,O
TLIOZSJ,X,X,X,X,X,O,O
TLJISZO,O,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,O,X
TLJIZSO,O,O,X,X,X,O,X
TLJIZOS,O,O,O,X,X,O,X
TLJIOSZ,O,X,O,X,X,O,X
TLJIOZS,O,O,O,X,X,O,X
TLJSIZO,O,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,O,X
TLJSZIO,O,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,O,X
TLJSOZI,O,X,O,X,X,O,X
TLJZISO,O,O,X,X,X,O,X
TLJZIOS,O,O,O,X,X,O,X
TLJZSIO,O,O,X,X,X,O,X
TLJZSOI,O,O,X,X,X,O,X
TLJZOIS,O,O,O,X,X,O,X
TLJZOSI,O,O,O,X,X,O,X
TLJOISZ,O,X,O,X,X,O,X
TLJOIZS,O,O,O,X,X,O,X
TLJOSIZ,O,X,O,X,X,O,X
TLJOSZI,O,X,O,X,X,O,X
TLJOZIS,O,O,O,X,X,O,X
TLJOZSI,O,O,O,X,X,O,X
TLSIJZO,O,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,O,X
TLSIZJO,O,X,X,X,X,O,X
TLSIZOJ,O,X,X,X,X,O,X
TLSIOJZ,O,X,O,X,X,O,X
TLSIOZJ,O,X,X,X,X,O,O
TLSJIZO,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,O,X
TLSJZIO,O,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,O,X
TLSJOZI,O,X,O,X,X,O,X
TLSZIJO,O,X,X,X,X,O,X
TLSZIOJ,O,X,X,X,X,O,X
TLSZJIO,O,X,X,X,X,O,X
TLSZJOI,O,X,X,X,X,O,X
TLSZOIJ,O,X,X,X,X,O,X
TLSZOJI,O,X,X,X,X,O,X
TLSOIJZ,O,X,O,X,X,O,X
TLSOIZJ,O,X,X,X,X,O,O
TLSOJIZ,O,X,O,X,X,O,X
TLSOJZI,O,X,O,X,X,O,X
TLSOZIJ,O,X,X,X,X,O,O
TLSOZJI,O,X,X,X,X,O,O
TLZIJSO,O,O,X,X,X,O,X
TLZIJOS,O,O,O,X,X,O,X
TLZISJO,X,O,X,X,X,O,X
TLZISOJ,X,X,X,X,X,O,X
TLZIOJS,X,O,O,X,X,O,X
TLZIOSJ,X,X,X,X,X,O,X
TLZJISO,O,O,X,X,X,O,X
TLZJIOS,O,O,O,X,X,O,X
TLZJSIO,O,O,X,X,X,O,X
TLZJSOI,O,O,X,X,X,O,X
TLZJOIS,O,O,O,X,X,O,X
TLZJOSI,O,O,O,X,X,O,X
TLZSIJO,X,O,X,X,X,O,X
TLZSIOJ,X,X,X,X,X,O,X
TLZSJIO,X,O,X,X,X,O,X
TLZSJOI,X,O,X,X,X,O,X
TLZSOIJ,X,X,X,X,X,O,X
TLZSOJI,X,X,X,X,X,O,X
TLZOIJS,X,O,O,X,X,O,X
TLZOISJ,X,X,X,X,X,O,X
TLZOJIS,X,O,O,X,X,O,X
TLZOJSI,X,O,O,X,X,O,X
TLZOSIJ,X,X,X,X,X,O,X
TLZOSJI,X,X,X,X,X,O,X
TLOIJSZ,O,X,O,X,X,O,X
TLOIJZS,O,X,O,X,X,O,X
TLOISJZ,X,X,O,X,X,O,X
TLOISZJ,X,X,X,X,X,O,O
TLOIZJS,X,X,O,X,X,O,O
TLOIZSJ,X,X,X,X,X,O,O
TLOJISZ,O,X,O,X,X,O,X
TLOJIZS,O,X,O,X,X,O,X
TLOJSIZ,O,X,O,X,X,O,X
TLOJSZI,O,X,O,X,X,O,X
TLOJZIS,O,X,O,X,X,O,X
TLOJZSI,O,X,O,X,X,O,X
TLOSIJZ,X,X,O,X,X,O,X
TLOSIZJ,X,X,X,X,X,O,O
TLOSJIZ,X,X,O,X,X,O,X
TLOSJZI,X,X,O,X,X,O,X
TLOSZIJ,X,X,X,X,X,O,O
TLOSZJI,X,X,X,X,X,O,O
TLOZIJS,X,X,O,X,X,O,O
TLOZISJ,X,X,X,X,X,O,O
TLOZJIS,X,X,O,X,X,O,O
TLOZJSI,X,X,O,X,X,O,O
TLOZSIJ,X,X,X,X,X,O,O
TLOZSJI,X,X,X,X,X,O,O
TJILSZO,O,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,O,X
TJILZSO,O,O,X,X,X,O,X
TJILZOS,O,O,O,X,X,O,X
TJILOSZ,O,X,O,X,X,O,X
TJILOZS,O,O,O,X,X,O,X
TJISLZO,O,O,X,X,X,X,X
TJISLOZ,O,O,O,X,X,O,X
TJISZLO,O,O,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X
TJISOLZ,O,O,O,X,X,O,X
TJISOZL,O,O,O,X,X,X,O
TJIZLSO,O,O,X,X,X,O,X
TJIZLOS,O,O,O,X,X,O,X
TJIZSLO,O,O,X,X,X,O,X
TJIZSOL,O,O,O,X,X,O,X
TJIZOLS,O,O,O,X,X,O,X
TJIZOSL,O,O,O,X,X,O,X
TJIOLSZ,O,X,O,X,X,O,X
TJIOLZS,O,O,O,X,X,O,X
TJIOSLZ,O,O,O,X,X,O,X
TJIOSZL,O,O,O,X,X,X,O
TJIOZLS,O,O,O,X,X,O,O
TJIOZSL,O,O,O,X,X,O,O
TJLISZO,O,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,O,X
TJLIZSO,O,O,X,X,X,O,X
TJLIZOS,O,O,O,X,X,O,X
TJLIOSZ,O,X,O,X,X,O,X
TJLIOZS,O,O,O,X,X,O,X
TJLSIZO,O,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,O,X
TJLSZIO,O,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,O,X
TJLSOZI,O,X,O,X,X,O,X
TJLZISO,O,O,X,X,X,O,X
TJLZIOS,O,O,O,X,X,O,X
TJLZSIO,O,O,X,X,X,O,X
TJLZSOI,O,O,X,X,X,O,X
TJLZOIS,O,O,O,X,X,O,X
TJLZOSI,O,O,O,X,X,O,X
TJLOISZ,O,X,O,X,X,O,X
TJLOIZS,O,O,O,X,X,O,X
TJLOSIZ,O,X,O,X,X,O,X
TJLOSZI,O,X,O,X,X,O,X
TJLOZIS,O,O,O,X,X,O,X
TJLOZSI,O,O,O,X,X,O,X
TJSILZO,O,O,X,X,X,X,X
TJSILOZ,O,O,O,X,X,O,X
TJSIZLO,O,O,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X
TJSIOLZ,O,O,O,X,X,O,X
TJSIOZL,O,O,O,X,X,X,O
TJSLIZO,O,O,X,X,X,X,X
TJSLIOZ,O,O,O,X,X,O,X
TJSLZIO,O,O,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,O,X
TJSLOZI,O,O,O,X,X,O,X
TJSZILO,O,O,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X
TJSOILZ,O,O,O,X,X,O,X
TJSOIZL,O,O,O,X,X,X,O
TJSOLIZ,O,O,O,X,X,O,X
TJSOLZI,O,O,O,X,X,O,X
TJSOZIL,O,O,O,X,X,X,O
TJSOZLI,O,O,O,X,X,X,O
TJZILSO,O,O,X,X,X,O,X
TJZILOS,O,O,O,X,X,O,X
TJZISLO,O,O,X,X,X,O,X
TJZISOL,O,O,O,X,X,O,X
TJZIOLS,O,O,O,X,X,O,X
TJZIOSL,O,O,O,X,X,O,X
TJZLISO,O,O,X,X,X,O,X
TJZLIOS,O,O,O,X,X,O,X
TJZLSIO,O,O,X,X,X,O,X
TJZLSOI,O,O,X,X,X,O,X
TJZLOIS,O,O,O,X,X,O,X
TJZLOSI,O,O,O,X,X,O,X
TJZSILO,O,O,X,X,X,O,X
TJZSIOL,O,O,O,X,X,O,X
TJZSLIO,O,O,X,X,X,O,X
TJZSLOI,O,O,X,X,X,O,X
TJZSOIL,O,O,O,X,X,O,X
TJZSOLI,O,O,O,X,X,O,X
TJZOILS,O,O,O,X,X,O,X
TJZOISL,O,O,O,X,X,O,X
TJZOLIS,O,O,O,X,X,O,X
TJZOLSI,O,O,O,X,X,O,X
TJZOSIL,O,O,O,X,X,O,X
TJZOSLI,O,O,O,X,X,O,X
TJOILSZ,O,X,O,X,X,O,X
TJOILZS,O,O,O,X,X,O,X
TJOISLZ,O,O,O,X,X,O,X
TJOISZL,O,O,O,X,X,X,O
TJOIZLS,O,O,O,X,X,O,O
TJOIZSL,O,O,O,X,X,O,O
TJOLISZ,O,X,O,X,X,O,X
TJOLIZS,O,O,O,X,X,O,X
TJOLSIZ,O,X,O,X,X,O,X
TJOLSZI,O,X,O,X,X,O,X
TJOLZIS,O,O,O,X,X,O,X
TJOLZSI,O,O,O,X,X,O,X
TJOSILZ,O,O,O,X,X,O,X
TJOSIZL,O,O,O,X,X,X,O
TJOSLIZ,O,O,O,X,X,O,X
TJOSLZI,O,X,O,X,X,O,X
TJOSZIL,O,O,O,X,X,X,O
TJOSZLI,O,O,O,X,X,X,O
TJOZILS,O,O,O,X,X,O,O
TJOZISL,O,O,O,X,X,O,O
TJOZLIS,O,O,O,X,X,O,O
TJOZLSI,O,O,O,X,X,O,O
TJOZSIL,O,O,O,X,X,O,O
TJOZSLI,O,O,O,X,X,O,O
TSILJZO,O,O,X,X,X,X,X
TSILJOZ,O,O,O,O,X,O,X
TSILZJO,O,O,X,X,X,O,X
TSILZOJ,O,O,X,X,X,O,X
TSILOJZ,O,O,O,O,X,O,X
TSILOZJ,O,O,X,O,X,O,O
TSIJLZO,O,O,X,X,X,X,X
TSIJLOZ,O,O,O,O,X,O,X
TSIJZLO,O,O,X,X,X,X,X
TSIJZOL,O,O,O,O,X,X,X
TSIJOLZ,O,O,O,O,X,O,X
TSIJOZL,O,O,O,O,X,X,O
TSIZLJO,O,O,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,X
TSIZJLO,O,O,X,X,X,O,X
TSIZJOL,O,O,X,O,O,O,X
TSIZOLJ,O,O,X,O,O,O,O
TSIZOJL,O,O,X,O,O,O,O
TSIOLJZ,O,O,O,O,X,O,X
TSIOLZJ,O,O,X,O,X,O,O
TSIOJLZ,O,O,O,O,X,O,X
TSIOJZL,O,O,O,O,X,X,O
TSIOZLJ,O,O,X,O,O,O,O
TSIOZJL,O,O,X,O,O,O,O
TSLIJZO,O,O,X,X,X,X,X
TSLIJOZ,O,O,O,O,X,O,X
TSLIZJO,O,O,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,O,X
TSLIOJZ,O,O,O,O,X,O,X
TSLIOZJ,O,O,X,O,X,O,O
TSLJIZO,O,O,X,X,X,X,X
TSLJIOZ,O,O,O,O,X,O,X
TSLJZIO,O,O,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X
TSLJOIZ,O,O,O,O,X,O,X
TSLJOZI,O,O,O,O,X,O,X
TSLZIJO,O,O,X,X,X,O,X
TSLZIOJ,O,O,X,X,X,O,X
TSLZJIO,O,O,X,X,X,O,X
TSLZJOI,O,O,X,X,X,O,X
TSLZOIJ,O,O,X,X,X,O,X
TSLZOJI,O,O,X,X,X,O,X
TSLOIJZ,O,O,O,O,X,O,X
TSLOIZJ,O,O,X,O,X,O,O
TSLOJIZ,O,O,O,O,X,O,X
TSLOJZI,O,O,O,O,X,O,X
TSLOZIJ,O,O,X,O,X,O,O
TSLOZJI,O,O,X,O,X,O,O
TSJILZO,O,O,X,X,X,X,X
TSJILOZ,O,O,O,O,X,O,X
TSJIZLO,O,O,X,X,X,X,X
TSJIZOL,O,O,O,O,X,X,X
TSJIOLZ,O,O,O,O,X,O,X
TSJIOZL,O,O,O,O,X,X,O
TSJLIZO,O,O,X,X,X,X,X
TSJLIOZ,O,O,O,O,X,O,X
TSJLZIO,O,O,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X
TSJLOIZ,O,O,O,O,X,O,X
TSJLOZI,O,O,O,O,X,O,X
TSJZILO,O,O,X,X,X,X,X
TSJZIOL,O,O,O,O,X,X,X
TSJZLIO,O,O,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X
TSJZOIL,O,O,O,O,X,X,X
TSJZOLI,O,O,O,O,X,X,X
TSJOILZ,O,O,O,O,X,O,X
TSJOIZL,O,O,O,O,X,X,O
TSJOLIZ,O,O,O,O,X,O,X
TSJOLZI,O,O,O,O,X,O,X
TSJOZIL,O,O,O,O,X,X,O
TSJOZLI,O,O,O,O,X,X,O
TSZILJO,O,O,X,X,X,O,X
TSZILOJ,O,O,X,X,X,O,X
TSZIJLO,O,O,X,X,X,O,X
TSZIJOL,O,O,X,O,O,O,X
TSZIOLJ,O,O,X,O,O,O,O
TSZIOJL,O,O,X,O,O,O,O
TSZLIJO,O,O,X,X,X,O,X
TSZLIOJ,O,O,X,X,X,O,X
TSZLJIO,O,O,X,X,X,O,X
TSZLJOI,O,O,X,X,X,O,X
TSZLOIJ,O,O,X,X,X,O,X
TSZLOJI,O,O,X,X,X,O,X
TSZJILO,O,O,X,X,X,O,X
TSZJIOL,O,O,X,O,O,O,X
TSZJLIO,O,O,X,X,X,O,X
TSZJLOI,O,O,X,X,X,O,X
TSZJOIL,O,O,X,O,O,O,X
TSZJOLI,O,O,X,O,O,O,X
TSZOILJ,O,O,X,O,O,O,O
TSZOIJL,O,O,X,O,O,O,O
TSZOLIJ,O,O,X,O,O,O,O
TSZOLJI,O,O,X,O,O,O,O
TSZOJIL,O,O,X,O,O,O,O
TSZOJLI,O,O,X,O,O,O,O
TSOILJZ,O,O,O,O,X,O,X
TSOILZJ,O,O,X,O,X,O,O
TSOIJLZ,O,O,O,O,X,O,X
TSOIJZL,O,O,O,O,X,X,O
TSOIZLJ,O,O,X,O,O,O,O
TSOIZJL,O,O,X,O,O,O,O
TSOLIJZ,O,O,O,O,X,O,X
TSOLIZJ,O,O,X,O,X,O,O
TSOLJIZ,O,O,O,O,X,O,X
TSOLJZI,O,O,O,O,X,O,X
TSOLZIJ,O,O,X,O,X,O,O
TSOLZJI,O,O,X,O,X,O,O
TSOJILZ,O,O,O,O,X,O,X
TSOJIZL,O,O,O,O,X,X,O
TSOJLIZ,O,O,O,O,X,O,X
TSOJLZI,O,O,O,O,X,O,X
TSOJZIL,O,O,O,O,X,X,O
TSOJZLI,O,O,O,O,X,X,O
TSOZILJ,O,O,X,O,O,O,O
TSOZIJL,O,O,X,O,O,O,O
TSOZLIJ,O,O,X,O,O,O,O
TSOZLJI,O,O,X,O,O,O,O
TSOZJIL,O,O,X,O,O,O,O
TSOZJLI,O,O,X,O,O,O,O
TZILJSO,O,O,X,X,X,O,X
TZILJOS,O,O,O,X,X,O,X
TZILSJO,X,O,X,X,X,O,X
TZILSOJ,X,X,X,X,X,O,X
TZILOJS,X,O,O,X,X,O,X
TZILOSJ,X,X,X,X,X,O,X
TZIJLSO,O,O,X,X,X,O,X
TZIJLOS,O,O,O,X,X,O,X
TZIJSLO,O,O,X,X,X,O,X
TZIJSOL,O,O,O,X,X,O,X
TZIJOLS,O,O,O,X,O,O,O
TZIJOSL,O,O,O,X,X,O,O
TZISLJO,X,O,X,X,X,O,X
TZISLOJ,X,X,X,X,X,O,X
TZISJLO,X,O,X,X,X,O,X
TZISJOL,X,O,X,X,O,O,X
TZISOLJ,X,X,X,X,O,O,O
TZISOJL,X,X,X,X,O,O,O
TZIOLJS,X,O,O,X,O,O,O
TZIOLSJ,X,X,X,X,O,O,O
TZIOJLS,X,O,O,X,O,O,O
TZIOJSL,X,O,O,X,X,O,O
TZIOSLJ,X,X,X,X,O,O,O
TZIOSJL,X,X,X,X,O,O,O
TZLIJSO,O,O,X,X,X,O,X
TZLIJOS,O,O,O,X,X,O,X
TZLISJO,X,O,X,X,X,O,X
TZLISOJ,X,X,X,X,X,O,X
TZLIOJS,X,O,O,X,X,O,X
TZLIOSJ,X,X,X,X,X,O,X
TZLJISO,O,O,X,X,X,O,X
TZLJIOS,O,O,O,X,X,O,X
TZLJSIO,O,O,X,X,X,O,X
TZLJSOI,O,O,X,X,X,O,X
TZLJOIS,O,O,O,X,X,O,X
TZLJOSI,O,O,O,X,X,O,X
TZLSIJO,X,O,X,X,X,O,X
TZLSIOJ,X,X,X,X,X,O,X
TZLSJIO,X,O,X,X,X,O,X
TZLSJOI,X,O,X,X,X,O,X
TZLSOIJ,X,X,X,X,X,O,X
TZLSOJI,X,X,X,X,X,O,X
TZLOIJS,X,O,O,X,X,O,X
TZLOISJ,X,X,X,X,X,O,X
TZLOJIS,X,O,O,X,X,O,X
TZLOJSI,X,O,O,X,X,O,X
TZLOSIJ,X,X,X,X,X,O,X
TZLOSJI,X,X,X,X,X,O,X
TZJILSO,O,O,X,X,X,O,X
TZJILOS,O,O,O,X,X,O,X
TZJISLO,O,O,X,X,X,O,X
TZJISOL,O,O,O,X,X,O,X
TZJIOLS,O,O,O,X,O,O,O
TZJIOSL,O,O,O,X,X,O,O
TZJLISO,O,O,X,X,X,O,X
TZJLIOS,O,O,O,X,X,O,X
TZJLSIO,O,O,X,X,X,O,X
TZJLSOI,O,O,X,X,X,O,X
TZJLOIS,O,O,O,X,X,O,X
TZJLOSI,O,O,O,X,X,O,X
TZJSILO,O,O,X,X,X,O,X
TZJSIOL,O,O,O,X,X,O,X
TZJSLIO,O,O,X,X,X,O,X
TZJSLOI,O,O,X,X,X,O,X
TZJSOIL,O,O,O,X,X,O,X
TZJSOLI,O,O,O,X,X,O,X
TZJOILS,O,O,O,X,O,O,O
TZJOISL,O,O,O,X,X,O,O
TZJOLIS,O,O,O,X,O,O,O
TZJOLSI,O,O,O,X,O,O,O
TZJOSIL,O,O,O,X,X,O,O
TZJOSLI,O,O,O,X,X,O,O
TZSILJO,X,O,X,X,X,O,X
TZSILOJ,X,X,X,X,X,O,X
TZSIJLO,X,O,X,X,X,O,X
TZSIJOL,X,O,X,X,O,O,X
TZSIOLJ,X,X,X,X,O,O,O
TZSIOJL,X,X,X,X,O,O,O
TZSLIJO,X,O,X,X,X,O,X
TZSLIOJ,X,X,X,X,X,O,X
TZSLJIO,X,O,X,X,X,O,X
TZSLJOI,X,O,X,X,X,O,X
TZSLOIJ,X,X,X,X,X,O,X
TZSLOJI,X,X,X,X,X,O,X
TZSJILO,X,O,X,X,X,O,X
TZSJIOL,X,O,X,X,O,O,X
TZSJLIO,X,O,X,X,X,O,X
TZSJLOI,X,O,X,X,X,O,X
TZSJOIL,X,O,X,X,O,O,X
TZSJOLI,X,O,X,X,O,O,X
TZSOILJ,X,X,X,X,O,O,O
TZSOIJL,X,X,X,X,O,O,O
TZSOLIJ,X,X,X,X,O,O,O
TZSOLJI,X,X,X,X,O,O,O
TZSOJIL,X,X,X,X,O,O,O
TZSOJLI,X,X,X,X,O,O,O
TZOILJS,X,O,O,X,O,O,O
TZOILSJ,X,X,X,X,O,O,O
TZOIJLS,X,O,O,X,O,O,O
TZOIJSL,X,O,O,X,X,O,O
TZOISLJ,X,X,X,X,O,O,O
TZOISJL,X,X,X,X,O,O,O
TZOLIJS,X,O,O,X,O,O,O
TZOLISJ,X,X,X,X,O,O,O
TZOLJIS,X,O,O,X,O,O,O
TZOLJSI,X,O,O,X,O,O,O
TZOLSIJ,X,X,X,X,O,O,O
TZOLSJI,X,X,X,X,O,O,O
TZOJILS,X,O,O,X,O,O,O
TZOJISL,X,O,O,X,X,O,O
TZOJLIS,X,O,O,X,O,O,O
TZOJLSI,X,O,O,X,O,O,O
TZOJSIL,X,O,O,X,X,O,O
TZOJSLI,X,O,O,X,X,O,O
TZOSILJ,X,X,X,X,O,O,O
TZOSIJL,X,X,X,X,O,O,O
TZOSLIJ,X,X,X,X,O,O,O
TZOSLJI,X,X,X,X,O,O,O
TZOSJIL,X,X,X,X,O,O,O
TZOSJLI,X,X,X,X,O,O,O
TOILJSZ,O,X,O,X,X,O,X
TOILJZS,O,X,O,X,X,O,X
