sequence,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcBTdBifBW?nBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUbBFcBXdBW?lBSnBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Je06IvhFxcBKkBGhBT?iBFlBXqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhF6iBlfB3gBz?hB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUcBGdBCgBV?nBXlBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeX7IvhFxcBKkBGhBT?iBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFUcBGdBSlBV?nB/pBZlB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhFlfB3gBCiBT?iB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFxbB8hB+iB/?pBFlBiqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeU8IvhFxfBTiBCiB/?pBFlBmpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcB8hB+iBK?kBFlBzpB
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,O,X,X,O,X,X,O,X,X,O
TLIJSOZ,O,O,X,X,O,O,X,O,X,X,X
TLIJZSO,O,O,X,X,O,X,X,X,X,X,O
TLIJZOS,O,O,O,X,X,X,X,X,X,X,O
TLIJOSZ,O,O,O,X,X,O,X,X,X,X,X
TLIJOZS,O,O,O,X,X,O,X,X,X,X,O
TLISJZO,O,O,X,X,O,X,X,O,X,X,O
TLISJOZ,O,O,X,X,O,O,X,O,X,X,X
TLISZJO,O,O,X,X,O,X,X,O,X,X,X
TLISZOJ,X,O,X,X,O,X,X,O,X,X,X
TLISOJZ,O,O,X,X,O,O,X,O,X,X,X
TLISOZJ,X,O,X,X,O,X,X,O,X,X,X
TLIZJSO,O,O,X,X,O,X,X,X,X,X,O
TLIZJOS,O,O,O,X,X,X,X,X,X,X,O
TLIZSJO,O,O,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,O,X,X,O,X,X,X,X,X
TLIOJZS,O,O,O,X,X,O,X,X,X,X,O
TLIOSJZ,O,O,O,X,X,O,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,O,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,O,X,X,O,X,X,O
TLJISOZ,O,O,X,X,O,O,X,O,X,X,X
TLJIZSO,O,O,X,X,O,X,X,X,X,X,O
TLJIZOS,O,O,O,X,X,X,X,X,X,X,O
TLJIOSZ,O,O,O,X,X,O,X,X,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,X,X,O
TLJSIZO,O,O,X,X,O,X,O,O,X,X,O
TLJSIOZ,O,O,X,X,O,O,O,O,X,X,X
TLJSZIO,O,O,X,X,O,X,O,O,X,X,O
TLJSZOI,O,O,O,X,O,O,O,O,X,X,O
TLJSOIZ,O,O,O,X,O,O,O,O,X,X,X
TLJSOZI,O,O,O,X,O,O,O,O,X,X,X
TLJZISO,O,O,X,X,O,X,X,X,X,X,O
TLJZIOS,O,O,O,X,X,X,X,X,X,X,O
TLJZSIO,O,O,X,X,O,X,O,O,X,X,O
TLJZSOI,O,O,O,X,O,O,O,O,X,X,O
TLJZOIS,O,O,O,X,X,O,X,X,X,X,O
TLJZOSI,O,O,O,X,X,O,X,X,X,X,O
TLJOISZ,O,O,O,X,X,O,X,X,X,X,X
TLJOIZS,O,O,O,X,X,O,X,X,X,X,O
TLJOSIZ,O,O,O,X,X,O,X,O,X,X,X
TLJOSZI,O,O,O,X,X,O,X,O,X,X,X
TLJOZIS,O,O,O,X,X,O,X,X,X,X,O
TLJOZSI,O,O,O,X,X,O,X,X,X,X,O
TLSIJZO,O,O,X,X,O,X,O,O,X,X,O
TLSIJOZ,O,O,X,X,O,O,O,O,X,X,X
TLSIZJO,O,O,X,X,O,X,O,O,X,X,X
TLSIZOJ,X,O,X,X,O,X,O,O,X,X,X
TLSIOJZ,O,O,X,X,O,O,O,O,X,X,X
TLSIOZJ,X,O,X,X,O,X,O,O,X,X,X
TLSJIZO,O,O,X,X,O,X,O,O,X,X,O
TLSJIOZ,O,O,X,X,O,O,O,O,X,X,X
TLSJZIO,O,O,X,X,O,X,O,O,X,X,O
TLSJZOI,O,O,O,X,O,O,O,O,X,X,O
TLSJOIZ,O,O,O,X,O,O,O,O,X,X,X
TLSJOZI,O,O,O,X,O,O,O,O,X,X,X
TLSZIJO,O,O,X,X,O,X,O,O,X,X,X
TLSZIOJ,X,O,X,X,O,X,O,O,X,X,X
TLSZJIO,O,O,X,X,O,X,O,O,X,X,X
TLSZJOI,O,O,O,X,O,O,O,O,X,X,X
TLSZOIJ,X,O,O,X,O,X,O,O,X,X,X
TLSZOJI,X,O,O,X,O,O,O,O,X,X,X
TLSOIJZ,O,O,O,X,O,O,O,O,X,X,X
TLSOIZJ,X,O,O,X,O,X,O,O,X,X,X
TLSOJIZ,O,O,O,X,O,O,O,O,X,X,X
TLSOJZI,O,O,O,X,O,O,O,O,X,X,X
TLSOZIJ,X,O,O,X,O,X,O,O,X,X,X
TLSOZJI,X,O,O,X,O,O,O,O,X,X,X
TLZIJSO,O,O,X,X,O,X,X,X,X,X,O
TLZIJOS,O,O,O,X,X,X,X,X,X,X,O
TLZISJO,O,O,X,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,O,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,O,X,X,X,X,X,O
TLZJIOS,O,O,O,X,X,X,X,X,X,X,O
TLZJSIO,O,O,X,X,O,X,O,X,X,X,O
TLZJSOI,O,O,O,X,O,O,O,X,X,X,O
TLZJOIS,O,O,O,X,X,O,X,X,X,X,O
TLZJOSI,O,O,O,X,X,O,X,X,X,X,O
TLZSIJO,O,O,X,X,O,X,O,X,X,X,X
TLZSIOJ,X,O,X,X,O,X,O,X,X,X,X
TLZSJIO,O,O,X,X,O,X,O,X,X,X,X
TLZSJOI,O,O,O,X,O,O,O,X,X,X,X
TLZSOIJ,X,O,O,X,O,X,O,X,X,X,X
TLZSOJI,X,O,O,X,O,O,O,X,X,X,X
TLZOIJS,X,O,O,X,X,O,X,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,O,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,X,O,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,O,X,X,X,X,X
TLOIJZS,O,O,O,X,X,O,X,X,X,X,O
TLOISJZ,O,O,O,X,X,O,X,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,O,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,O,X,X,X,X,X
TLOJIZS,O,O,O,X,X,O,X,X,X,X,O
TLOJSIZ,O,O,O,X,X,O,X,X,X,X,X
TLOJSZI,O,O,O,X,X,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,O,X,X,X,X,O
TLOJZSI,O,O,O,X,X,O,X,X,X,X,O
TLOSIJZ,O,O,O,X,X,O,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,X,X,X,X
TLOSJZI,O,O,O,X,X,O,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,X,X,O,X,X,X,X,X
TLOZIJS,X,O,O,X,X,O,X,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,O,X,X,O,X,X,X,X,X
TLOZJSI,X,O,O,X,X,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,X,X,X,X,X
TLOZSJI,X,O,O,X,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,O,X,X,X
TJILSOZ,O,O,X,X,O,X,X,O,X,X,X
TJILZSO,O,O,X,X,O,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,X,X,X,X,X,X,X,X
TJILOZS,O,O,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,X,O,X,O,O,X,X,X
TJISLOZ,O,O,X,O,O,X,O,O,X,X,X
TJISZLO,X,O,X,X,O,X,O,O,X,X,X
TJISZOL,O,X,X,O,O,X,X,X,X,X,X
TJISOLZ,O,X,X,O,O,X,X,O,X,X,X
TJISOZL,O,X,X,O,O,X,X,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X,X,X,X
TJIZSLO,X,O,X,X,O,X,O,X,X,X,X
TJIZSOL,X,X,X,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,X,X,X,X,X,X,X
TJIOLZS,O,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,O,X,X,X,X,X,X
TJIOSZL,O,O,X,O,O,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,O,X,X,X,X,X,X
TJLISZO,O,O,X,X,O,X,X,O,X,X,O
TJLISOZ,O,O,X,X,O,O,X,O,X,X,X
TJLIZSO,O,O,X,X,O,X,X,X,X,X,O
TJLIZOS,O,O,O,X,X,X,X,X,X,X,O
TJLIOSZ,O,O,O,X,X,O,X,X,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,X,X,O
TJLSIZO,O,O,X,X,O,X,O,O,X,X,O
TJLSIOZ,O,O,X,O,O,O,O,O,X,X,X
TJLSZIO,O,O,X,X,O,X,O,O,X,X,O
TJLSZOI,O,O,O,X,O,O,O,O,X,X,O
TJLSOIZ,O,O,O,O,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,O,O,O,O,X,X,X
TJLZISO,O,O,X,X,O,X,X,X,X,X,O
TJLZIOS,O,O,O,X,X,X,X,X,X,X,O
TJLZSIO,O,O,X,X,O,X,O,O,X,X,O
TJLZSOI,O,O,O,X,O,O,O,O,X,X,O
TJLZOIS,O,O,O,X,X,O,X,X,X,X,O
TJLZOSI,O,O,O,X,X,O,X,X,X,X,O
TJLOISZ,O,O,O,O,X,O,X,X,X,X,X
TJLOIZS,O,O,O,X,X,O,X,X,X,X,O
TJLOSIZ,O,O,O,O,X,O,X,O,X,X,X
TJLOSZI,O,O,O,O,X,O,X,O,X,X,X
TJLOZIS,O,O,O,X,X,O,X,X,X,X,O
TJLOZSI,O,O,O,O,X,O,X,X,X,X,O
TJSILZO,O,O,X,X,O,X,O,O,X,X,X
TJSILOZ,O,O,X,O,O,X,O,O,X,X,X
TJSIZLO,X,O,X,X,O,X,O,O,O,X,X
TJSIZOL,O,X,X,O,O,X,X,X,O,X,X
TJSIOLZ,O,X,X,O,O,X,X,O,X,X,X
TJSIOZL,O,X,X,O,O,X,X,X,O,X,X
TJSLIZO,O,O,X,X,O,X,O,O,X,X,X
TJSLIOZ,O,O,X,O,O,X,O,O,X,X,X
TJSLZIO,O,O,X,X,O,X,O,O,O,X,X
TJSLZOI,O,O,X,X,O,X,O,O,O,X,X
TJSLOIZ,O,O,X,O,O,X,O,O,X,X,X
TJSLOZI,O,O,X,O,O,X,O,O,O,X,X
TJSZILO,O,O,X,X,O,X,O,O,O,X,X
TJSZIOL,O,X,X,O,O,X,X,X,O,X,X
TJSZLIO,O,O,X,X,O,X,O,O,O,X,X
TJSZLOI,O,O,X,X,O,X,O,O,O,X,X
TJSZOIL,O,X,X,O,O,X,X,X,O,X,X
TJSZOLI,O,X,X,O,O,X,O,X,O,X,X
TJSOILZ,O,X,X,O,O,X,X,O,X,X,X
TJSOIZL,O,X,X,O,O,X,X,X,O,X,X
TJSOLIZ,O,X,X,O,O,X,O,O,X,X,X
TJSOLZI,O,X,X,O,O,X,O,O,O,X,X
TJSOZIL,O,X,X,O,O,X,X,X,O,X,X
TJSOZLI,O,X,X,O,O,X,O,X,O,X,X
TJZILSO,O,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,O,X,O,X,O,X,X
TJZISOL,O,X,X,X,O,X,X,X,O,X,X
TJZIOLS,O,O,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X,X
TJZLISO,O,O,X,X,O,X,X,X,X,X,O
TJZLIOS,O,O,X,X,X,X,X,X,X,X,O
TJZLSIO,O,O,X,X,O,X,O,O,X,X,O
TJZLSOI,O,O,X,X,O,X,O,O,X,X,O
TJZLOIS,O,O,X,X,X,X,X,X,X,X,O
TJZLOSI,O,O,X,X,X,X,X,X,X,X,O
TJZSILO,O,O,X,X,O,X,O,O,O,X,O
TJZSIOL,O,X,X,O,O,X,X,X,O,X,X
TJZSLIO,O,O,X,X,O,X,O,O,O,X,O
TJZSLOI,O,O,X,X,O,X,O,O,O,X,O
TJZSOIL,O,X,X,O,O,X,X,X,O,X,X
TJZSOLI,O,X,X,O,O,X,O,X,O,X,X
TJZOILS,O,O,X,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,O,X,X,X,X,X,X
TJZOSLI,O,X,X,O,O,X,O,X,X,X,X
TJOILSZ,O,O,O,O,X,O,X,X,X,X,X
TJOILZS,O,O,O,X,X,O,X,X,X,X,X
TJOISLZ,O,O,X,O,O,X,X,X,X,X,X
TJOISZL,O,O,X,O,O,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X,X,X
TJOIZSL,X,O,X,X,O,X,X,X,X,X,X
TJOLISZ,O,O,O,O,X,O,X,X,X,X,X
TJOLIZS,O,O,O,X,X,O,X,X,X,X,X
TJOLSIZ,O,O,O,O,X,O,X,O,X,X,X
TJOLSZI,O,O,O,O,X,O,X,O,X,X,X
TJOLZIS,O,O,O,X,X,O,X,X,X,X,X
TJOLZSI,O,O,O,O,X,O,X,X,X,X,X
TJOSILZ,O,O,X,O,O,X,X,O,X,X,X
TJOSIZL,O,O,X,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,O,X,O,O,X,X,X
TJOSLZI,O,O,X,O,O,X,O,O,X,X,X
TJOSZIL,O,O,X,O,O,X,X,X,X,X,X
TJOSZLI,O,O,X,O,O,X,O,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,X,O,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,O,X,X,X,X,X,X
TJOZSLI,O,O,X,O,O,X,O,X,X,X,X
TSILJZO,O,O,X,X,O,X,O,O,X,X,X
TSILJOZ,O,O,X,X,O,X,O,O,X,X,X
TSILZJO,O,O,X,X,O,X,O,O,X,X,X
TSILZOJ,X,O,X,X,O,X,O,O,X,O,X
TSILOJZ,O,O,X,O,O,X,O,O,X,X,X
TSILOZJ,X,O,X,O,O,X,O,O,X,O,X
TSIJLZO,O,O,X,X,O,X,O,O,X,X,X
TSIJLOZ,O,O,X,O,O,X,O,O,X,X,X
TSIJZLO,X,O,X,X,O,X,O,O,O,X,X
TSIJZOL,O,X,X,O,O,X,X,X,O,O,X
TSIJOLZ,O,X,X,O,O,X,X,O,X,X,X
TSIJOZL,O,X,X,O,O,X,X,X,O,O,X
TSIZLJO,X,X,X,X,O,X,O,O,X,X,X
TSIZLOJ,X,X,X,X,O,X,O,O,X,O,X
TSIZJLO,X,X,X,X,O,X,O,X,X,X,X
TSIZJOL,O,X,X,X,O,X,X,X,X,O,X
TSIZOLJ,X,X,X,O,O,X,X,X,X,O,X
TSIZOJL,X,X,X,X,O,X,X,X,X,O,X
TSIOLJZ,X,O,X,O,O,X,X,O,X,X,X
TSIOLZJ,X,O,X,O,O,X,X,O,X,O,X
TSIOJLZ,O,O,X,O,O,X,X,X,X,X,X
TSIOJZL,O,O,X,O,O,X,X,X,O,O,X
TSIOZLJ,X,X,X,O,O,X,X,X,X,O,X
TSIOZJL,X,X,X,X,O,X,X,X,X,O,X
TSLIJZO,O,O,X,X,O,X,O,O,X,X,X
TSLIJOZ,O,O,X,X,O,X,O,O,X,X,X
TSLIZJO,O,O,X,X,O,X,O,O,X,X,X
TSLIZOJ,X,O,X,X,O,X,O,O,X,O,X
TSLIOJZ,O,O,X,O,O,X,O,O,X,X,X
TSLIOZJ,X,O,X,O,O,X,O,O,X,O,X
TSLJIZO,O,O,X,X,O,X,O,O,X,X,X
TSLJIOZ,O,O,X,X,O,X,O,O,X,X,X
TSLJZIO,O,O,X,X,O,X,O,O,O,X,X
TSLJZOI,O,O,X,X,O,X,O,O,O,X,X
TSLJOIZ,O,O,X,X,O,X,O,O,X,X,X
TSLJOZI,O,O,X,X,O,X,O,O,O,X,X
TSLZIJO,O,O,X,X,O,X,O,O,X,X,X
TSLZIOJ,X,O,X,X,O,X,O,O,X,O,X
TSLZJIO,O,O,X,X,O,X,O,O,X,X,X
TSLZJOI,O,O,X,X,O,X,O,O,X,X,X
TSLZOIJ,X,O,X,X,O,X,O,O,X,O,X
TSLZOJI,X,O,X,X,O,X,O,O,X,X,X
TSLOIJZ,O,O,X,O,O,X,O,O,X,X,X
TSLOIZJ,X,O,X,O,O,X,O,O,X,O,X
TSLOJIZ,O,O,X,O,O,X,O,O,X,X,X
TSLOJZI,O,O,X,O,O,X,O,O,O,X,X
TSLOZIJ,X,O,X,O,O,X,O,O,X,O,X
TSLOZJI,X,O,X,O,O,X,O,O,X,X,X
TSJILZO,O,O,X,X,O,X,O,O,X,X,X
TSJILOZ,O,O,X,O,O,X,O,O,X,X,X
TSJIZLO,X,O,X,X,O,X,O,O,O,X,X
TSJIZOL,O,X,X,O,O,X,X,X,O,O,X
TSJIOLZ,O,X,X,O,O,X,X,O,X,X,X
TSJIOZL,O,X,X,O,O,X,X,X,O,O,X
TSJLIZO,O,O,X,X,O,X,O,O,X,X,X
TSJLIOZ,O,O,X,O,O,X,O,O,X,X,X
TSJLZIO,O,O,X,X,O,X,O,O,O,X,X
TSJLZOI,O,O,X,X,O,X,O,O,O,X,X
TSJLOIZ,O,O,X,O,O,X,O,O,X,X,X
TSJLOZI,O,O,X,O,O,X,O,O,O,X,X
TSJZILO,O,O,X,X,O,X,O,O,O,X,X
TSJZIOL,O,X,X,O,O,X,X,X,O,O,X
TSJZLIO,O,O,X,X,O,X,O,O,O,X,X
TSJZLOI,O,O,X,X,O,X,O,O,O,X,X
