sequence,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFagBRcBulBF?iB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUdBFhBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFUbBRcB6mBO?nBllBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeT6IvhF2gBRcBFiBC?lB0mBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhF0fB6lB/mBF?iBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jei6IvhFRcB3gBFiBW?qB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFRbBUdBFhBS?qBzmBeqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jey/IvhF5gB/mBFiB0?fBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUhBFiBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFVhBUdB6kB2?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex/IvhF/mBFiB0fB6?lBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeKBJvhFxfBFiBGlBX?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeR8IvhFFiBGlB0mB/?kBilBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFygBFiBxlBu?pBcqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2AJvhF6kBFiBxlB3?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jem6IvhF5gBicB0fB1?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFlcB0fB6lB2?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFFiBfqBxlB8?lBzmBCqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhF5gBOhBViB8?pBzmBaqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFFiBxlB8lBe?qBCqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeU9IvhF6kBZlBXhBz?mBulBlpB
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJLSZO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJSLZO,O,X,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,O,X
TIJSLOZ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TIJSZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJSOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJZLSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TISLZJO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
TISLZOJ,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TISLOZJ,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TISJLZO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X
TISJLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TISJZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISJOLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TISZLJO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
TISZLOJ,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TISZOLJ,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TISZOJL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TISOLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TISOZLJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZLJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TIZSLOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIZSJOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZSOJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X
TIOLSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIOLSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O
TIOLZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOJLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSLJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIOSLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O
TIOSJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOSZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLIJSZO,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLISJZO,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X
TLISJOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TLISZOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIZSJO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TLIOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O
TLIOZJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TLJISZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJIOSZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJSIZO,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJSZOI,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJZIOS,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJZSIO,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJZSOI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJZOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,X,O,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,O,X
TLSIZOJ,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSOZJI,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TLZIJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TLZISJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZJISO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZJIOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZJSIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLZJSOI,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLZJOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZSJOI,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOISZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOIZJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOJISZ,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOSJIZ,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
