sequence,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFzfBfmB6mB0iB2s?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFzfBGhBKnBfoBUm?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFukB3gBFiB0mBzn?BiqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFUgBGhBTiBfqBVw?ByxB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFUgBFhBOnBfqBSw?BzsB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFCgB0hBmlBznBXn?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFFgB6mB0iBfqBzq?B2xB
TLJIZOS,O,X,O,O,X,O,O
TLJIOSZ,O,X,O,O,O,O,O
TLJIOZS,O,X,O,O,O,O,O
TLJSIZO,O,X,O,O,O,X,O
TLJSIOZ,O,X,O,O,O,O,O
TLJSZIO,O,X,O,O,O,X,O
TLJSZOI,O,X,O,O,O,X,O
TLJSOIZ,O,X,O,O,O,O,O
TLJSOZI,O,X,O,O,O,O,O
TLJZISO,O,X,O,O,O,X,O
TLJZIOS,O,X,O,O,X,O,O
TLJZSIO,O,X,O,O,O,X,O
TLJZSOI,O,X,O,O,O,X,O
TLJZOIS,O,X,O,O,X,O,O
TLJZOSI,O,X,O,O,X,O,O
TLJOISZ,O,X,O,O,O,O,O
TLJOIZS,O,X,O,O,O,O,O
TLJOSIZ,O,X,O,O,O,O,O
TLJOSZI,O,X,O,O,O,O,O
TLJOZIS,O,X,O,O,O,O,O
TLJOZSI,O,X,O,O,O,O,O
TLSIJZO,O,O,O,O,O,X,O
TLSIJOZ,O,O,O,O,O,O,O
TLSIZJO,O,O,O,O,O,X,O
TLSIZOJ,O,O,O,O,O,X,X
TLSIOJZ,O,O,O,O,O,O,O
TLSIOZJ,O,O,O,O,O,X,X
TLSJIZO,O,O,O,O,O,X,O
TLSJIOZ,O,O,O,O,O,O,O
TLSJZIO,O,O,O,O,O,X,O
TLSJZOI,O,O,O,O,O,X,O
TLSJOIZ,O,O,O,O,O,O,O
TLSJOZI,O,O,O,O,O,O,O
TLSZIJO,O,O,O,O,O,X,O
TLSZIOJ,O,O,O,O,O,X,X
TLSZJIO,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,X,O
TLSZOIJ,O,O,O,O,O,X,X
TLSZOJI,O,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,O,O,O
TLSOIZJ,O,O,O,O,O,X,X
TLSOJIZ,O,O,O,O,O,O,O
TLSOJZI,O,O,O,O,O,O,O
TLSOZIJ,O,O,O,O,O,X,X
TLSOZJI,O,O,O,O,O,X,X
TLZIJSO,X,X,O,O,O,X,X
TLZIJOS,X,X,O,O,X,O,X
TLZISJO,X,O,O,O,O,X,X
TLZISOJ,X,O,O,O,O,X,X
TLZIOJS,X,X,O,O,O,O,X
TLZIOSJ,X,O,O,O,O,X,X
TLZJISO,X,X,O,O,O,X,X
TLZJIOS,X,X,O,O,X,O,X
TLZJSIO,X,X,O,O,O,X,X
TLZJSOI,X,X,O,O,O,X,X
TLZJOIS,X,X,O,O,X,O,X
TLZJOSI,X,X,O,O,X,O,X
TLZSIJO,X,O,O,O,O,X,X
TLZSIOJ,X,O,O,O,O,X,X
TLZSJIO,X,O,O,O,O,X,X
TLZSJOI,X,O,O,O,O,X,X
TLZSOIJ,X,O,O,O,O,X,X
TLZSOJI,X,O,O,O,O,X,X
TLZOIJS,X,X,O,O,O,O,X
TLZOISJ,X,O,O,O,O,X,X
TLZOJIS,X,X,O,O,O,O,X
TLZOJSI,X,X,O,O,O,O,X
TLZOSIJ,X,O,O,O,O,X,X
TLZOSJI,X,O,O,O,O,X,X
TLOIJSZ,O,X,O,O,O,O,O
TLOIJZS,O,X,O,O,O,O,O
TLOISJZ,O,O,O,O,O,O,O
TLOISZJ,O,O,O,O,O,X,O
TLOIZJS,X,X,O,O,O,O,X
TLOIZSJ,X,O,O,O,O,X,X
TLOJISZ,O,X,O,O,O,O,O
TLOJIZS,O,X,O,O,O,O,O
TLOJSIZ,O,X,O,O,O,O,O
TLOJSZI,O,X,O,O,O,O,O
TLOJZIS,O,X,O,O,O,O,O
TLOJZSI,O,X,O,O,O,O,O
TLOSIJZ,O,O,O,O,O,O,O
TLOSIZJ,O,O,O,O,O,X,O
TLOSJIZ,O,O,O,O,O,O,O
TLOSJZI,O,O,O,O,O,O,O
TLOSZIJ,O,O,O,O,O,X,O
TLOSZJI,O,O,O,O,O,X,O
TLOZIJS,X,X,O,O,O,O,X
TLOZISJ,X,O,O,O,O,X,X
TLOZJIS,X,X,O,O,O,O,X
TLOZJSI,X,X,O,O,O,O,X
TLOZSIJ,X,O,O,O,O,X,X
TLOZSJI,X,O,O,O,O,X,X
TJILSZO,O,X,O,O,O,X,O
TJILSOZ,O,X,O,O,O,O,O
TJILZSO,O,X,O,O,O,X,O
TJILZOS,O,X,O,O,X,O,O
TJILOSZ,O,X,O,O,O,O,O
TJILOZS,O,X,O,O,X,O,O
TJISLZO,O,O,X,O,O,X,O
TJISLOZ,O,O,X,O,O,O,O
TJISZLO,O,O,X,O,O,X,O
TJISZOL,O,O,X,O,O,X,O
TJISOLZ,O,O,X,O,X,O,O
TJISOZL,O,O,X,O,X,O,O
TJIZLSO,O,X,O,O,X,X,O
TJIZLOS,O,X,X,O,X,O,O
TJIZSLO,O,O,O,O,X,X,O
TJIZSOL,O,O,O,O,X,X,O
TJIZOLS,O,X,X,X,X,O,O
TJIZOSL,O,O,O,X,X,O,O
TJIOLSZ,O,X,O,O,X,O,O
TJIOLZS,O,X,O,O,X,O,O
TJIOSLZ,O,O,O,O,X,O,O
TJIOSZL,O,O,O,O,X,O,O
TJIOZLS,O,X,O,X,X,O,O
TJIOZSL,O,O,O,X,X,O,O
TJLISZO,O,X,O,O,O,X,O
TJLISOZ,O,X,O,O,O,O,O
TJLIZSO,O,X,O,O,O,X,O
TJLIZOS,O,X,O,O,X,O,O
TJLIOSZ,O,X,O,O,O,O,O
TJLIOZS,O,X,O,O,X,O,O
TJLSIZO,O,X,O,O,O,X,O
TJLSIOZ,O,X,O,O,O,O,O
TJLSZIO,O,X,O,O,O,X,O
TJLSZOI,O,X,O,O,O,X,O
TJLSOIZ,O,X,O,O,O,O,O
TJLSOZI,O,X,O,O,O,O,O
TJLZISO,O,X,O,O,O,X,O
TJLZIOS,O,X,O,O,X,O,O
TJLZSIO,O,X,O,O,O,X,O
TJLZSOI,O,X,O,O,O,X,O
TJLZOIS,O,X,O,O,X,O,O
TJLZOSI,O,X,O,O,X,O,O
TJLOISZ,O,X,O,O,O,O,O
TJLOIZS,O,X,O,O,X,O,O
TJLOSIZ,O,X,O,O,O,O,O
TJLOSZI,O,X,O,O,O,O,O
TJLOZIS,O,X,O,O,X,O,O
TJLOZSI,O,X,O,O,X,O,O
TJSILZO,O,O,X,O,O,X,O
TJSILOZ,O,O,X,O,O,O,O
TJSIZLO,O,O,X,O,O,X,O
TJSIZOL,O,O,X,O,O,X,O
TJSIOLZ,O,O,X,O,X,O,O
TJSIOZL,O,O,X,O,X,O,O
TJSLIZO,O,O,X,O,O,X,O
TJSLIOZ,O,O,X,O,O,O,O
TJSLZIO,O,O,X,O,O,X,O
TJSLZOI,O,O,X,O,O,X,O
TJSLOIZ,O,O,X,O,O,O,O
TJSLOZI,O,O,X,O,O,O,O
TJSZILO,O,O,X,O,O,X,O
TJSZIOL,O,O,X,O,O,X,O
TJSZLIO,O,O,X,O,O,X,O
TJSZLOI,O,O,X,O,O,X,O
TJSZOIL,O,O,X,O,O,X,O
TJSZOLI,O,O,X,O,X,X,O
TJSOILZ,O,O,X,O,X,O,O
TJSOIZL,O,O,X,O,X,O,O
TJSOLIZ,O,O,X,O,X,O,O
TJSOLZI,O,O,X,O,X,O,O
TJSOZIL,O,O,X,O,X,O,O
TJSOZLI,O,O,X,O,X,O,O
TJZILSO,O,X,O,O,X,X,O
TJZILOS,O,X,X,O,X,O,O
TJZISLO,O,O,O,O,X,X,O
TJZISOL,O,O,O,O,X,X,O
TJZIOLS,O,X,X,X,X,O,O
TJZIOSL,O,O,O,X,X,O,O
TJZLISO,O,X,O,O,X,X,O
TJZLIOS,O,X,X,O,X,O,O
TJZLSIO,O,X,O,O,X,X,O
TJZLSOI,O,X,X,O,X,X,O
TJZLOIS,O,X,X,O,X,O,O
TJZLOSI,O,X,X,O,X,O,O
TJZSILO,O,O,O,O,X,X,O
TJZSIOL,O,O,O,O,X,X,O
TJZSLIO,O,O,O,O,X,X,O
TJZSLOI,O,O,X,O,X,X,O
TJZSOIL,O,O,O,O,X,X,O
TJZSOLI,O,O,X,O,X,X,O
TJZOILS,O,X,X,X,X,O,O
TJZOISL,O,O,O,X,X,O,O
TJZOLIS,O,X,X,X,X,O,O
TJZOLSI,O,X,X,X,X,O,O
TJZOSIL,O,O,O,X,X,O,O
TJZOSLI,O,O,X,X,X,O,O
TJOILSZ,O,X,O,O,X,O,O
TJOILZS,O,X,O,O,X,O,O
TJOISLZ,O,O,O,O,X,O,O
TJOISZL,O,O,O,O,X,O,O
TJOIZLS,O,X,O,X,X,O,O
TJOIZSL,O,O,O,X,X,O,O
TJOLISZ,O,X,O,O,X,O,O
TJOLIZS,O,X,O,O,X,O,O
TJOLSIZ,O,X,O,O,X,O,O
TJOLSZI,O,X,O,O,X,O,O
TJOLZIS,O,X,O,O,X,O,O
TJOLZSI,O,X,O,O,X,O,O
TJOSILZ,O,O,O,O,X,O,O
TJOSIZL,O,O,O,O,X,O,O
TJOSLIZ,O,O,O,O,X,O,O
TJOSLZI,O,O,O,O,X,O,O
TJOSZIL,O,O,O,O,X,O,O
TJOSZLI,O,O,O,O,X,O,O
TJOZILS,O,X,O,X,X,O,O
TJOZISL,O,O,O,X,X,O,O
TJOZLIS,O,X,O,X,X,O,O
TJOZLSI,O,X,O,X,X,O,O
TJOZSIL,O,O,O,X,X,O,O
TJOZSLI,O,O,O,X,X,O,O
TSILJZO,O,O,X,O,O,X,O
TSILJOZ,O,O,X,O,O,O,O
TSILZJO,O,O,X,O,O,X,O
TSILZOJ,O,O,X,O,O,X,X
TSILOJZ,O,O,X,O,O,O,O
TSILOZJ,O,O,X,O,O,X,O
TSIJLZO,O,O,X,O,O,X,O
TSIJLOZ,O,O,X,O,O,O,O
TSIJZLO,O,O,X,O,O,X,O
TSIJZOL,O,O,X,O,O,X,O
TSIJOLZ,O,O,X,O,X,O,O
TSIJOZL,O,O,X,O,X,O,O
TSIZLJO,O,O,X,O,O,X,O
TSIZLOJ,O,O,X,O,O,X,X
TSIZJLO,O,O,X,O,O,X,O
TSIZJOL,O,O,X,O,O,X,O
TSIZOLJ,O,O,X,O,O,X,O
TSIZOJL,O,O,X,O,O,X,O
TSIOLJZ,O,O,X,O,O,O,O
TSIOLZJ,O,O,X,O,O,X,O
TSIOJLZ,O,O,X,O,O,O,O
TSIOJZL,O,O,X,O,O,O,O
TSIOZLJ,O,O,X,O,O,X,O
TSIOZJL,O,O,X,O,O,X,O
TSLIJZO,O,O,X,O,O,X,O
TSLIJOZ,O,O,X,O,O,O,O
TSLIZJO,O,O,X,O,O,X,O
TSLIZOJ,O,O,X,O,O,X,X
TSLIOJZ,O,O,X,O,O,O,O
TSLIOZJ,O,O,X,O,O,X,O
TSLJIZO,O,O,X,O,O,X,O
TSLJIOZ,O,O,X,O,O,O,O
TSLJZIO,O,O,X,O,O,X,O
TSLJZOI,O,O,X,O,O,X,O
TSLJOIZ,O,O,X,O,O,O,O
TSLJOZI,O,O,X,O,O,O,O
TSLZIJO,O,O,X,O,O,X,O
TSLZIOJ,O,O,X,O,O,X,X
TSLZJIO,O,O,X,O,O,X,O
TSLZJOI,O,O,X,O,O,X,O
TSLZOIJ,O,O,X,O,O,X,X
TSLZOJI,O,O,X,O,O,X,X
TSLOIJZ,O,O,X,O,O,O,O
TSLOIZJ,O,O,X,O,O,X,O
TSLOJIZ,O,O,X,O,O,O,O
TSLOJZI,O,O,X,O,O,O,O
TSLOZIJ,O,O,X,O,O,X,O
TSLOZJI,O,O,X,O,O,X,O
TSJILZO,O,O,X,O,O,X,O
TSJILOZ,O,O,X,O,O,O,O
TSJIZLO,O,O,X,O,O,X,O
TSJIZOL,O,O,X,O,O,X,O
TSJIOLZ,O,O,X,O,X,O,O
TSJIOZL,O,O,X,O,X,O,O
TSJLIZO,O,O,X,O,O,X,O
TSJLIOZ,O,O,X,O,O,O,O
TSJLZIO,O,O,X,O,O,X,O
TSJLZOI,O,O,X,O,O,X,O
TSJLOIZ,O,O,X,O,O,O,O
TSJLOZI,O,O,X,O,O,O,O
TSJZILO,O,O,X,O,O,X,O
TSJZIOL,O,O,X,O,O,X,O
TSJZLIO,O,O,X,O,O,X,O
TSJZLOI,O,O,X,O,O,X,O
TSJZOIL,O,O,X,O,O,X,O
TSJZOLI,O,O,X,O,X,X,O
TSJOILZ,O,O,X,O,X,O,O
TSJOIZL,O,O,X,O,X,O,O
TSJOLIZ,O,O,X,O,X,O,O
TSJOLZI,O,O,X,O,X,O,O
TSJOZIL,O,O,X,O,X,O,O
TSJOZLI,O,O,X,O,X,O,O
TSZILJO,O,O,X,O,O,X,O
TSZILOJ,O,O,X,O,O,X,X
TSZIJLO,O,O,X,O,O,X,O
TSZIJOL,O,O,X,O,O,X,O
TSZIOLJ,O,O,X,O,O,X,O
TSZIOJL,O,O,X,O,O,X,O
TSZLIJO,O,O,X,O,O,X,O
TSZLIOJ,O,O,X,O,O,X,X
TSZLJIO,O,O,X,O,O,X,O
TSZLJOI,O,O,X,O,O,X,O
TSZLOIJ,O,O,X,O,O,X,X
TSZLOJI,O,O,X,O,O,X,X
TSZJILO,O,O,X,O,O,X,O
TSZJIOL,O,O,X,O,O,X,O
TSZJLIO,O,O,X,O,O,X,O
TSZJLOI,O,O,X,O,O,X,O
TSZJOIL,O,O,X,O,O,X,O
TSZJOLI,O,O,X,O,O,X,O
TSZOILJ,O,O,X,O,O,X,O
TSZOIJL,O,O,X,O,O,X,O
TSZOLIJ,O,O,X,O,O,X,O
TSZOLJI,O,O,X,O,O,X,O
TSZOJIL,O,O,X,O,O,X,O
TSZOJLI,O,O,X,O,O,X,O
TSOILJZ,O,O,X,O,O,O,O
TSOILZJ,O,O,X,O,O,X,O
TSOIJLZ,O,O,X,O,O,O,O
TSOIJZL,O,O,X,O,O,O,O
TSOIZLJ,O,O,X,O,O,X,O
TSOIZJL,O,O,X,O,O,X,O
TSOLIJZ,O,O,X,O,O,O,O
TSOLIZJ,O,O,X,O,O,X,O
TSOLJIZ,O,O,X,O,O,O,O
TSOLJZI,O,O,X,O,O,O,O
TSOLZIJ,O,O,X,O,O,X,O
TSOLZJI,O,O,X,O,O,X,O
TSOJILZ,O,O,X,O,O,O,O
TSOJIZL,O,O,X,O,O,O,O
TSOJLIZ,O,O,X,O,O,O,O
TSOJLZI,O,O,X,O,O,O,O
TSOJZIL,O,O,X,O,O,O,O
TSOJZLI,O,O,X,O,O,O,O
TSOZILJ,O,O,X,O,O,X,O
TSOZIJL,O,O,X,O,O,X,O
TSOZLIJ,O,O,X,O,O,X,O
TSOZLJI,O,O,X,O,O,X,O
TSOZJIL,O,O,X,O,O,X,O
TSOZJLI,O,O,X,O,O,X,O
TZILJSO,X,X,O,O,X,X,X
TZILJOS,X,X,X,O,X,O,X
TZILSJO,X,O,O,O,X,X,X
TZILSOJ,X,O,X,O,X,X,X
TZILOJS,X,X,X,O,X,O,X
TZILOSJ,X,O,X,O,X,X,X
TZIJLSO,O,X,O,O,X,X,X
TZIJLOS,O,X,X,O,X,O,X
TZIJSLO,O,O,O,O,X,X,X
TZIJSOL,O,O,O,O,X,X,X
TZIJOLS,O,X,X,X,X,O,X
TZIJOSL,O,O,O,X,X,O,X
TZISLJO,O,O,O,O,X,X,X
TZISLOJ,O,O,X,O,X,X,X
TZISJLO,O,O,O,O,X,X,X
TZISJOL,O,O,O,O,X,X,X
TZISOLJ,O,O,X,O,X,X,X
TZISOJL,O,O,O,O,X,X,X
TZIOLJS,X,X,X,X,X,O,X
TZIOLSJ,X,O,X,X,X,X,X
TZIOJLS,O,X,X,X,X,O,X
TZIOJSL,O,O,O,X,X,O,X
TZIOSLJ,O,O,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X
TZLIJSO,X,X,O,O,X,X,X
TZLIJOS,X,X,X,O,X,O,X
TZLISJO,X,O,O,O,X,X,X
TZLISOJ,X,O,X,O,X,X,X
TZLIOJS,X,X,X,O,X,O,X
TZLIOSJ,X,O,X,O,X,X,X
TZLJISO,X,X,O,O,X,X,X
TZLJIOS,X,X,X,O,X,O,X
TZLJSIO,X,X,O,O,X,X,X
TZLJSOI,X,X,X,O,X,X,X
TZLJOIS,X,X,X,O,X,O,X
TZLJOSI,X,X,X,O,X,O,X
TZLSIJO,X,O,O,O,X,X,X
TZLSIOJ,X,O,X,O,X,X,X
TZLSJIO,X,O,O,O,X,X,X
TZLSJOI,X,O,X,O,X,X,X
TZLSOIJ,X,O,X,O,X,X,X
TZLSOJI,X,O,X,O,X,X,X
TZLOIJS,X,X,X,O,X,O,X
TZLOISJ,X,O,X,O,X,X,X
TZLOJIS,X,X,X,O,X,O,X
TZLOJSI,X,X,X,O,X,O,X
TZLOSIJ,X,O,X,O,X,X,X
TZLOSJI,X,O,X,O,X,X,X
TZJILSO,O,X,O,O,X,X,X
TZJILOS,O,X,X,O,X,O,X
TZJISLO,O,O,O,O,X,X,X
TZJISOL,O,O,O,O,X,X,X
TZJIOLS,O,X,X,X,X,O,X
TZJIOSL,O,O,O,X,X,O,X
TZJLISO,O,X,O,O,X,X,X
TZJLIOS,O,X,X,O,X,O,X
TZJLSIO,O,X,O,O,X,X,X
TZJLSOI,O,X,X,O,X,X,X
TZJLOIS,O,X,X,O,X,O,X
TZJLOSI,O,X,X,O,X,O,X
TZJSILO,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,X,X,X
TZJSLIO,O,O,O,O,X,X,X
TZJSLOI,O,O,X,O,X,X,X
TZJSOIL,O,O,O,O,X,X,X
TZJSOLI,O,O,X,O,X,X,X
TZJOILS,O,X,X,X,X,O,X
TZJOISL,O,O,O,X,X,O,X
TZJOLIS,O,X,X,X,X,O,X
TZJOLSI,O,X,X,X,X,O,X
TZJOSIL,O,O,O,X,X,O,X
TZJOSLI,O,O,X,X,X,O,X
TZSILJO,O,O,O,O,X,X,X
TZSILOJ,O,O,X,O,X,X,X
TZSIJLO,O,O,O,O,X,X,X
TZSIJOL,O,O,O,O,X,X,X
TZSIOLJ,O,O,X,O,X,X,X
TZSIOJL,O,O,O,O,X,X,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,X,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,X,O,X,X,X
TZSLOIJ,O,O,X,O,X,X,X
TZSLOJI,O,O,X,O,X,X,X
TZSJILO,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,X,X,X
TZSJLIO,O,O,O,O,X,X,X
TZSJLOI,O,O,X,O,X,X,X
TZSJOIL,O,O,O,O,X,X,X
TZSJOLI,O,O,X,O,X,X,X
TZSOILJ,O,O,X,O,X,X,X
TZSOIJL,O,O,O,O,X,X,X
TZSOLIJ,O,O,X,O,X,X,X
TZSOLJI,O,O,X,O,X,X,X
TZSOJIL,O,O,O,O,X,X,X
TZSOJLI,O,O,X,O,X,X,X
TZOILJS,X,X,X,X,X,O,X
TZOILSJ,X,O,X,X,X,X,X
TZOIJLS,O,X,X,X,X,O,X
TZOIJSL,O,O,O,X,X,O,X
TZOISLJ,O,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X
TZOLIJS,X,X,X,X,X,O,X
TZOLISJ,X,O,X,X,X,X,X
TZOLJIS,X,X,X,X,X,O,X
TZOLJSI,X,X,X,X,X,O,X
TZOLSIJ,X,O,X,X,X,X,X
TZOLSJI,X,O,X,X,X,X,X
TZOJILS,O,X,X,X,X,O,X
TZOJISL,O,O,O,X,X,O,X
TZOJLIS,O,X,X,X,X,O,X
TZOJLSI,O,X,X,X,X,O,X
TZOJSIL,O,O,O,X,X,O,X
TZOJSLI,O,O,X,X,X,O,X
TZOSILJ,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X
TOILJSZ,O,X,O,O,O,O,O
TOILJZS,O,X,O,O,O,O,O
