sequence,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBGlBKrBzm?BUqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViB3gBThBWqB8r?ByvB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViBamB0hBzkB+q?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFlcBUhBOnBfqB6q?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBClB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBfqB6qBmm?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFVhBUdBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBGlByrBUq?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex7IvhF3gBFiB6kBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8JeeBJvhFUdBfnBaqB5lBlk?BTrB,v115@6gF8EeC8FeD8FeE8DeD8JeUBJvhFFiB5lBzkBimB3r?BmpB,v115@6gF8EeC8FeD8FeE8DeD8Je07IvhFFiB6kBxlB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jei8IvhFWmBFiB0fBRqB3r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Je8AJvhFFiB6kBOlBXmBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFSlBFiBXmB0kBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiB0fBSrBXlBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiBXgBSrB0kBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFclBFiB6kBXmBzm?BxvB
TIJOLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TISLJOZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TISLZJO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TISLZOJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TISLOZJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X
TISJLZO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TISJLOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TISJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TISJZOL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISJOZL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISOZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZJSOL,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TIZSLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSJOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLSJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOLZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOLZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TIOJLSZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TIOSZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOZLJS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLISJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISJOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLISZOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISOJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLISOZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIOJSZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOJZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIOZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJISZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIZJO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJIOZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJZIO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJOZI,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZJI,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZJI,X,O,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
