sequence,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?GiBllBasBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?CiBllBOsBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhF6iBTeB?+mBZnBllB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhF6iBTeB?+mBZnBllBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGdBTeB?ZmBUiB6qBfsB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jem7IvhFRdBSjB?1lBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxdBzhB?CjBllBmrBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhFxdBzhB?CjBllBmrB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeT8IvhFGeB3iB?llBcrBZnB6qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeBylB?RiBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je5BJvhFTeBylB?cnBfrBOsBlqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeB3iB?xlB0mBzqBasB
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TIJLSZO,X,O,O,O,X,O,X,X,X,O,X,X
TIJLSOZ,X,O,O,O,X,O,X,X,X,O,X,X
TIJLZSO,X,O,O,O,X,O,X,X,X,O,X,X
TIJLZOS,O,O,O,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,O,O,O,X,O,X,X
TIJLOZS,O,O,O,O,X,X,O,O,X,X,X,X
TIJSLZO,X,X,O,O,X,O,X,X,X,O,X,X
TIJSLOZ,X,X,O,O,X,O,X,X,X,O,X,X
TIJSZLO,X,X,O,O,O,O,X,X,X,X,X,X
TIJSZOL,O,X,O,O,O,O,X,X,X,X,X,X
TIJSOLZ,X,X,O,O,X,X,X,O,X,O,X,O
TIJSOZL,O,X,O,O,O,X,X,X,X,X,X,O
TIJZLSO,X,O,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,X,O,X,X,X,X,X
TIJZSLO,X,O,O,O,X,X,X,X,X,X,X,X
TIJZSOL,O,O,O,O,X,X,X,X,X,X,X,X
TIJZOLS,O,O,O,O,X,X,O,X,X,X,X,X
TIJZOSL,O,O,O,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,O,X,X,O,O,X,O,X,O
TIJOLZS,O,O,O,O,X,X,O,O,X,O,X,X
TIJOSLZ,X,X,O,O,X,X,X,O,X,X,X,O
TIJOSZL,O,X,O,O,O,X,X,X,X,X,X,O
TIJOZLS,O,O,O,O,X,X,O,X,X,X,X,X
TIJOZSL,O,O,O,O,X,X,X,X,X,X,X,O
TISLJZO,X,X,X,X,X,O,X,X,X,O,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,O,X,X
TISLZJO,X,X,X,X,O,O,X,X,X,O,X,X
TISLZOJ,X,X,X,X,O,O,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,X,X,X,O,X,X
TISLOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,O,X,X,X,O,X,X
TISJLOZ,X,X,O,X,X,O,X,X,X,O,X,X
TISJZLO,X,X,O,X,O,O,X,X,X,X,X,X
TISJZOL,X,X,O,X,O,O,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O,X,O,X,O
TISJOZL,X,X,O,X,O,X,X,X,X,X,X,O
TISZLJO,X,X,X,X,O,O,X,X,X,X,X,X
TISZLOJ,X,X,X,X,O,O,X,X,X,X,X,X
TISZJLO,X,X,X,X,O,O,X,X,X,X,X,X
TISZJOL,X,X,X,X,O,O,X,X,X,X,X,X
TISZOLJ,X,X,X,X,O,O,X,X,X,X,X,X
TISZOJL,X,X,X,X,O,O,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,O,X,O
TISOLZJ,X,X,X,X,O,X,X,X,X,O,X,O
TISOJLZ,X,X,O,X,X,X,X,X,X,O,X,O
TISOJZL,X,X,O,X,O,X,X,X,X,X,X,O
TISOZLJ,X,X,X,X,O,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,O,X,X,X,X,X,X,O
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,O,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,O,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,O,X,X,X,X,X
TIZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,O,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,O,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,O,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,O,X,X,X,X,O,X,O
TIOLJZS,O,X,O,O,X,X,X,X,X,O,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,X,O,X,O
TIOLSZJ,X,X,X,X,O,X,X,X,X,O,X,O
TIOLZJS,O,X,X,X,X,X,X,X,X,O,X,X
TIOLZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TIOJLSZ,X,O,O,O,X,X,X,X,X,O,X,O
TIOJLZS,O,O,O,O,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,O,O,X,X,X,X,X,X,X,O
TIOJSZL,O,X,O,O,O,X,X,X,X,X,X,O
TIOJZLS,O,O,O,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,O,X,X,X,X,X,X,X,O
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,O,X,X,X,X,X,X,O
TIOSJLZ,X,X,O,X,X,X,X,X,X,X,X,O
TIOSJZL,X,X,O,X,O,X,X,X,X,X,X,O
TIOSZLJ,X,X,X,X,O,X,X,X,X,X,X,O
TIOSZJL,X,X,X,X,O,X,X,X,X,X,X,O
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,O
TIOZSLJ,O,X,X,X,O,X,X,X,X,X,X,O
TIOZSJL,O,O,X,X,O,X,X,X,X,X,X,O
TLIJSZO,O,X,O,O,O,O,X,X,X,O,X,X
TLIJSOZ,O,X,O,O,O,O,X,X,X,O,X,X
TLIJZSO,O,X,O,O,X,O,X,X,X,O,X,X
TLIJZOS,O,X,O,O,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,O,O,O,O,O,O,X,O,X,X
TLIJOZS,O,X,O,O,X,X,O,O,X,X,X,X
TLISJZO,X,X,X,X,O,O,X,X,X,O,X,X
TLISJOZ,X,X,X,X,O,O,X,X,X,O,X,X
TLISZJO,X,X,X,X,O,O,X,X,X,O,X,X
TLISZOJ,X,X,X,X,O,O,X,X,X,X,X,X
TLISOJZ,X,X,X,X,O,O,X,X,X,O,X,X
TLISOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,O,X,X,X,O,X,X
TLIZJOS,O,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,O,X,X,X,X,X,O,X
TLIZSOJ,O,X,X,X,O,X,X,X,X,X,O,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,O,X,X,X,X,X,O,X
TLIOJSZ,O,X,O,O,O,O,X,X,X,O,X,X
TLIOJZS,O,X,O,O,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TLJISZO,O,O,O,O,O,O,X,X,X,O,X,X
TLJISOZ,O,O,O,O,O,O,X,X,X,O,X,X
TLJIZSO,O,O,O,O,X,O,X,X,X,O,X,X
TLJIZOS,O,O,O,O,X,X,O,X,X,X,X,X
TLJIOSZ,O,O,O,O,O,O,O,O,X,O,X,X
TLJIOZS,O,O,O,O,X,X,O,O,X,X,X,X
TLJSIZO,O,O,O,X,O,O,X,X,X,O,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,X,O,X,X
TLJSZIO,O,O,X,X,O,O,X,X,X,O,X,X
TLJSZOI,O,O,X,X,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,O,O,X,O,X,X
TLJSOZI,O,O,X,X,O,O,O,O,X,X,X,X
TLJZISO,O,O,X,O,X,O,X,X,X,O,X,X
TLJZIOS,O,O,X,O,X,X,O,X,X,X,X,X
TLJZSIO,O,O,X,X,X,O,X,X,X,O,X,X
TLJZSOI,O,O,X,X,X,O,O,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,O,O,X,X,X,X
TLJZOSI,O,O,X,X,X,X,O,O,X,X,X,X
TLJOISZ,O,O,O,O,O,O,O,O,X,O,X,O
TLJOIZS,O,O,O,O,X,X,O,O,X,O,X,X
TLJOSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TLJOSZI,O,O,X,X,O,O,O,O,X,O,X,X
TLJOZIS,O,O,X,O,X,X,O,O,X,O,X,X
TLJOZSI,O,O,X,X,X,X,O,O,X,O,X,X
TLSIJZO,O,X,X,X,O,O,X,X,X,O,X,X
TLSIJOZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSIZJO,O,X,X,X,O,O,X,X,X,O,X,X
TLSIZOJ,O,X,X,X,O,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSIOZJ,O,X,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,O,O,X,X,X,O,X,X
TLSJIOZ,O,X,O,X,O,O,X,X,X,O,X,X
TLSJZIO,O,X,X,X,O,O,X,X,X,O,X,X
TLSJZOI,O,X,X,X,O,O,O,X,X,X,X,X
TLSJOIZ,O,X,O,X,O,O,O,O,X,O,X,X
TLSJOZI,O,X,X,X,O,O,O,O,X,X,X,X
TLSZIJO,O,X,X,X,O,O,X,X,X,O,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,O,O,X,X,X,O,X,X
TLSZJOI,O,X,X,X,O,O,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,O,O,X,X,X,O,X,X
TLSOIZJ,O,X,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,O,O,X,X,X,O,X,X
TLSOJZI,O,X,X,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,O,O,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,O,X,X,X,O,X,X
TLZIJOS,O,X,X,X,X,X,O,X,X,X,X,X
TLZISJO,X,X,X,X,O,X,X,X,X,X,O,X
TLZISOJ,O,X,X,X,O,X,X,X,X,X,O,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,X,X,X,X,X,O,X
TLZJISO,O,O,X,O,X,O,X,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X,O,X,X,X,X,X
TLZJSIO,O,O,X,X,X,O,X,X,X,O,X,X
TLZJSOI,O,O,X,X,X,O,O,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,O,O,X,X,X,X
TLZJOSI,O,O,X,X,X,X,O,O,X,X,X,X
TLZSIJO,X,X,X,X,O,O,X,X,X,O,X,X
TLZSIOJ,O,X,X,X,O,O,X,X,X,X,X,X
TLZSJIO,O,X,X,X,O,O,X,X,X,O,X,X
TLZSJOI,O,X,X,X,O,O,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,O,O,X,X,X,X,X,X
TLZSOJI,O,X,X,X,O,O,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,X,X,X,X,X,O,X
TLZOJIS,O,O,X,O,X,X,O,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,O,O,X,X,X,O,X,O
TLOIJZS,O,X,O,O,X,O,X,X,X,O,X,X
TLOISJZ,X,X,X,X,O,O,X,X,X,O,X,O
TLOISZJ,X,X,X,X,O,O,X,X,X,O,X,O
TLOIZJS,O,X,X,X,X,O,X,X,X,O,X,X
TLOIZSJ,O,X,X,X,O,X,X,X,X,X,O,X
TLOJISZ,O,O,O,O,O,O,O,O,X,O,X,O
TLOJIZS,O,O,O,O,X,O,O,O,X,O,X,X
TLOJSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TLOJSZI,O,O,X,X,O,O,O,O,X,O,X,X
TLOJZIS,O,O,X,O,X,O,O,O,X,O,X,X
TLOJZSI,O,O,X,X,X,O,O,O,X,O,X,X
TLOSIJZ,O,X,X,X,O,O,X,X,X,O,X,O
TLOSIZJ,O,X,X,X,O,O,X,X,X,O,X,O
TLOSJIZ,O,X,O,X,O,O,X,X,X,O,X,O
TLOSJZI,O,X,X,X,O,O,X,X,X,O,X,X
TLOSZIJ,O,X,X,X,O,O,X,X,X,O,X,X
TLOSZJI,O,X,X,X,O,O,X,X,X,O,X,X
TLOZIJS,O,O,X,X,X,O,X,X,X,O,X,X
TLOZISJ,O,X,X,X,O,X,X,X,X,X,O,X
TLOZJIS,O,O,X,O,X,O,O,X,X,O,X,X
TLOZJSI,O,O,X,X,X,O,O,X,X,O,X,X
TLOZSIJ,O,X,X,X,O,O,X,X,X,O,X,X
TLOZSJI,O,X,X,X,O,O,X,X,X,O,X,X
TJILSZO,O,O,O,O,X,O,X,X,X,O,X,X
TJILSOZ,O,O,O,O,X,O,X,X,X,O,X,X
TJILZSO,X,O,O,O,X,O,X,X,X,O,X,X
TJILZOS,O,O,O,O,X,X,O,X,X,X,X,X
TJILOSZ,O,O,O,O,X,O,O,O,X,O,X,X
TJILOZS,O,O,O,O,X,X,O,O,X,X,X,X
TJISLZO,X,X,O,O,X,O,X,X,X,O,X,X
TJISLOZ,X,X,O,O,X,O,X,X,X,O,X,X
TJISZLO,X,X,O,O,O,O,X,X,X,X,X,X
TJISZOL,O,X,O,O,O,O,X,X,X,X,X,X
TJISOLZ,X,X,O,O,X,X,X,O,X,O,X,O
TJISOZL,O,X,O,O,O,X,X,X,X,X,X,O
TJIZLSO,X,O,O,O,X,X,X,X,X,X,X,X
TJIZLOS,O,O,O,O,X,X,O,X,X,X,X,X
TJIZSLO,X,O,O,O,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,O,X,X,O,X,X,X,X,X
TJIZOSL,O,O,O,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,O,O,X,X,O,O,X,O,X,O
TJIOLZS,O,O,O,O,X,X,O,O,X,O,X,X
TJIOSLZ,X,X,O,O,X,X,X,O,X,X,X,O
TJIOSZL,O,X,O,O,O,X,X,X,X,X,X,O
TJIOZLS,O,O,O,O,X,X,O,X,X,X,X,X
TJIOZSL,O,O,O,O,X,X,X,X,X,X,X,O
TJLISZO,O,O,O,O,O,O,X,X,X,O,X,X
TJLISOZ,O,O,O,O,O,O,X,X,X,O,X,X
TJLIZSO,O,O,O,O,X,O,X,X,X,O,X,X
TJLIZOS,O,O,O,O,X,X,O,X,X,X,X,X
TJLIOSZ,O,O,O,O,O,O,O,O,X,O,X,X
TJLIOZS,O,O,O,O,X,X,O,O,X,X,X,X
TJLSIZO,O,O,O,X,O,O,X,X,X,O,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,X,O,X,X
TJLSZIO,O,O,X,X,O,O,X,X,X,O,X,X
TJLSZOI,O,O,X,X,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,O,O,O,X,O,X,X
TJLSOZI,O,O,X,X,O,O,O,O,X,X,X,X
TJLZISO,O,O,X,O,X,O,X,X,X,O,X,X
TJLZIOS,O,O,X,O,X,X,O,X,X,X,X,X
TJLZSIO,O,O,X,X,X,O,X,X,X,O,X,X
TJLZSOI,O,O,X,X,X,O,O,X,X,X,X,X
TJLZOIS,O,O,X,O,X,X,O,O,X,X,X,X
TJLZOSI,O,O,X,X,X,X,O,O,X,X,X,X
TJLOISZ,O,O,O,O,O,O,O,O,X,O,X,O
TJLOIZS,O,O,O,O,X,X,O,O,X,O,X,X
TJLOSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TJLOSZI,O,O,X,X,O,O,O,O,X,O,X,X
TJLOZIS,O,O,X,O,X,X,O,O,X,O,X,X
TJLOZSI,O,O,X,X,X,X,O,O,X,O,X,X
TJSILZO,O,O,O,O,X,O,X,X,X,O,X,X
TJSILOZ,O,O,O,O,X,O,X,X,X,O,X,X
TJSIZLO,O,O,O,O,O,O,X,X,X,X,X,X
TJSIZOL,O,O,O,O,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,X,X,O,X,O,X,O
TJSIOZL,O,O,O,O,O,X,X,X,X,X,X,O
TJSLIZO,O,O,O,X,X,O,X,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,O,X,X,X,O,X,X
TJSLZIO,O,O,X,X,X,O,X,X,X,O,X,X
TJSLZOI,O,O,X,X,X,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,O,O,O,X,O,X,X
TJSLOZI,O,O,X,X,X,O,O,O,X,X,X,X
TJSZILO,O,O,O,O,X,O,X,X,O,X,X,X
TJSZIOL,O,O,O,O,O,O,X,X,O,X,X,X
TJSZLIO,O,O,X,X,X,O,X,X,O,X,X,X
TJSZLOI,O,O,X,X,O,O,O,X,O,X,X,X
TJSZOIL,O,O,O,O,O,O,X,X,O,X,X,X
TJSZOLI,O,O,X,X,O,O,O,O,O,X,X,X
TJSOILZ,O,O,O,O,X,X,X,O,X,O,X,O
TJSOIZL,O,O,O,O,O,X,X,X,X,X,X,O
TJSOLIZ,O,O,O,X,X,O,O,O,X,O,X,O
TJSOLZI,O,O,X,X,X,O,O,O,X,O,X,X
TJSOZIL,O,O,O,O,O,O,X,X,X,X,X,O
TJSOZLI,O,O,X,X,O,O,O,O,X,X,X,X
TJZILSO,X,O,O,O,X,X,X,X,X,X,X,X
TJZILOS,O,O,O,O,X,X,O,X,X,X,X,X
TJZISLO,X,O,O,O,X,X,X,X,O,X,X,X
TJZISOL,O,O,O,O,X,X,X,X,O,X,X,X
TJZIOLS,O,O,O,O,X,X,O,X,X,X,X,X
TJZIOSL,O,O,O,O,X,X,X,X,X,X,X,X
TJZLISO,O,O,X,O,X,O,X,X,X,O,X,X
TJZLIOS,O,O,X,O,X,X,O,X,X,X,X,X
TJZLSIO,O,O,X,X,X,O,X,X,O,O,X,X
TJZLSOI,O,O,X,X,X,O,O,X,O,X,X,X
TJZLOIS,O,O,X,O,X,X,O,O,X,X,X,X
TJZLOSI,O,O,X,X,X,X,O,O,X,X,X,X
TJZSILO,X,O,O,O,X,O,X,X,O,X,X,X
TJZSIOL,O,O,O,O,X,O,X,X,O,X,X,X
TJZSLIO,X,O,X,X,X,O,X,X,O,X,X,X
TJZSLOI,X,O,X,X,X,O,O,X,O,X,X,X
TJZSOIL,O,O,O,O,X,O,X,X,O,X,X,X
TJZSOLI,O,O,X,X,X,O,O,O,O,X,X,X
TJZOILS,O,O,O,O,X,X,O,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X,X,X,X,O
TJZOLIS,O,O,X,O,X,X,O,O,X,O,X,X
TJZOLSI,O,O,X,X,X,X,O,O,X,O,X,X
TJZOSIL,O,O,O,O,X,X,X,X,O,X,X,O
TJZOSLI,O,O,X,X,X,X,O,O,O,X,X,X
TJOILSZ,O,O,O,O,X,X,O,O,X,O,X,O
TJOILZS,O,O,O,O,X,X,O,O,X,O,X,X
TJOISLZ,X,X,O,O,X,X,X,O,X,X,X,O
TJOISZL,O,X,O,O,O,X,X,X,X,X,X,O
TJOIZLS,O,O,O,O,X,X,O,X,X,X,X,X
TJOIZSL,O,O,O,O,X,X,X,X,X,X,X,O
TJOLISZ,O,O,O,O,O,O,O,O,X,O,X,O
TJOLIZS,O,O,O,O,X,X,O,O,X,O,X,X
TJOLSIZ,O,O,O,X,O,O,O,O,X,O,X,O
TJOLSZI,O,O,X,X,O,O,O,O,X,O,X,X
TJOLZIS,O,O,X,O,X,X,O,O,X,O,X,X
TJOLZSI,O,O,X,X,X,X,O,O,X,O,X,X
TJOSILZ,O,O,O,O,X,X,X,O,X,O,X,O
TJOSIZL,O,O,O,O,O,X,X,X,X,X,X,O
TJOSLIZ,O,O,O,X,X,O,O,O,X,O,X,O
TJOSLZI,O,O,X,X,X,O,O,O,X,O,X,X
TJOSZIL,O,O,O,O,O,O,X,X,X,X,X,O
TJOSZLI,O,O,X,X,O,O,O,O,X,X,X,X
TJOZILS,O,O,O,O,X,X,O,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,X,X,X,X,O
TJOZLIS,O,O,X,O,X,X,O,O,X,O,X,X
TJOZLSI,O,O,X,X,X,X,O,O,X,O,X,X
TJOZSIL,O,O,O,O,X,X,X,X,X,X,X,O
TJOZSLI,O,O,X,X,X,X,O,O,X,X,X,X
TSILJZO,O,O,X,X,X,O,X,X,X,O,X,X
TSILJOZ,O,O,X,X,X,O,X,X,X,O,X,X
TSILZJO,O,O,X,X,O,O,X,X,X,O,X,X
TSILZOJ,O,O,X,X,O,O,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,O,X,X
TSILOZJ,O,O,X,X,O,X,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,X,X,O,X,X
TSIJLOZ,O,O,O,X,X,O,X,X,X,O,X,X
TSIJZLO,O,O,O,X,O,O,X,X,X,X,X,X
TSIJZOL,O,O,O,X,O,O,X,X,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,X,O,X,O,X,O
TSIJOZL,O,O,O,X,O,X,X,X,X,X,X,O
TSIZLJO,O,O,X,X,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,O,O,X,X,X,X,X,X
TSIZJLO,O,O,X,X,O,O,X,X,X,X,X,X
TSIZJOL,O,O,X,X,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,X,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,O,X,O
TSIOLZJ,O,O,X,X,O,X,X,X,X,O,X,O
TSIOJLZ,O,O,O,X,X,X,X,X,X,O,X,O
TSIOJZL,O,O,O,X,O,X,X,X,X,X,X,O
TSIOZLJ,O,O,X,X,O,X,X,X,X,X,X,O
TSIOZJL,O,O,X,X,O,X,X,X,X,X,X,O
TSLIJZO,O,O,X,X,O,O,X,X,X,O,X,X
TSLIJOZ,O,O,X,X,O,O,X,X,X,O,X,X
TSLIZJO,O,O,X,X,O,O,X,X,X,O,X,X
TSLIZOJ,O,O,X,X,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,O,O,X,X,X,O,X,X
TSLIOZJ,O,O,X,X,O,X,X,X,X,X,X,X
TSLJIZO,O,O,O,X,O,O,X,X,X,O,X,X
TSLJIOZ,O,O,O,X,O,O,X,X,X,O,X,X
