sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
TISJOLZ,O,O,X,X,X,X,O,X,X,O,X,X,O
TISJOZL,O,O,X,O,X,X,O,X,X,O,O,X,X
TISZLJO,O,O,X,O,X,X,O,X,X,O,X,X,X
TISZLOJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TISZJLO,O,O,X,O,X,X,O,X,X,O,X,X,X
TISZJOL,O,O,X,O,X,X,O,X,X,O,O,X,X
TISZOLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TISZOJL,O,X,X,O,X,X,O,X,X,O,O,X,X
TISOLJZ,O,O,X,X,X,X,O,X,X,O,X,X,X
TISOLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TISOJLZ,O,O,X,X,X,X,O,X,X,O,X,X,X
TISOJZL,O,O,X,O,X,X,O,X,X,O,O,X,X
TISOZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
TISOZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
TIZLJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZLJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,O,O,X,O,X,X,X,X,X,O
TIZJSOL,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZSLJO,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSJLO,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSJOL,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TIOLJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TIOLSJZ,O,X,X,X,X,O,O,O,X,O,X,O,X
TIOLSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
TIOLZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TIOJLZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TIOJSLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
TIOJSZL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOJZLS,O,O,X,O,X,O,X,O,O,X,X,X,X
TIOJZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,O,O,X,O,X,X,X
TIOSLZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
TIOSJLZ,O,X,X,X,X,O,O,O,X,O,X,X,X
TIOSJZL,O,X,X,O,X,X,O,O,X,O,X,X,X
TIOSZLJ,O,X,X,O,X,X,O,O,X,O,X,X,X
TIOSZJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TIOZLJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
TLIJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
TLIJZSO,X,X,X,X,O,X,X,O,O,X,X,O,X
TLIJZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
TLIJOZS,X,O,X,X,X,O,X,X,O,X,X,X,X
TLISJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
TLISJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TLISZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
TLISZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
TLISOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
TLIZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
TLIZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
TLIOJZS,X,O,X,X,X,O,X,O,O,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
TLIOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
TLIOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X,O,O
TLJISOZ,X,O,X,X,X,O,X,O,X,X,X,O,O
TLJIZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
TLJIZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TLJIOZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TLJSIZO,X,O,X,X,X,X,O,O,X,X,X,O,O
TLJSIOZ,X,O,O,X,X,O,O,O,X,X,X,O,O
TLJSZIO,X,O,O,O,X,X,O,O,O,X,X,O,O
TLJSZOI,X,O,O,O,X,O,X,X,O,X,X,X,X
TLJSOIZ,X,O,O,X,X,O,O,O,X,X,X,O,O
TLJSOZI,X,O,O,O,X,O,X,O,O,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TLJZIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TLJZSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TLJZSOI,X,X,O,O,X,O,X,X,O,X,X,X,X
TLJZOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TLJZOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TLJOIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TLJOSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TLJOZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TLJOZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLSIJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
TLSIJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TLSIZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
TLSIZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TLSIOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TLSIOZJ,X,X,X,O,X,O,O,X,X,O,O,X,X
TLSJIZO,O,O,X,X,X,X,O,O,X,X,X,O,X
TLSJIOZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TLSJZIO,O,O,O,O,X,X,O,O,O,X,X,O,X
TLSJZOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TLSJOIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TLSJOZI,O,O,O,O,X,O,X,X,O,X,X,X,X
TLSZIJO,O,O,X,O,X,X,O,X,X,X,X,O,X
TLSZIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TLSZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSZOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TLSOIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
TLSOJIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TLSOJZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TLSOZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSOZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TLZIJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
TLZIJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,O,O,X,X,X,X,X,X,O,X
TLZISOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TLZJIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TLZJSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TLZJSOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLZJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TLZJOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLZSIJO,O,X,X,O,X,X,O,X,X,X,X,O,X
TLZSIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,X,O,O,X,X,O,X,X,X,X,O,X
TLZSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZSOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TLZOJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLZOSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TLZOSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TLOIJSZ,O,O,X,X,X,O,X,O,X,X,X,O,X
TLOIJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TLOISJZ,O,X,X,X,X,O,X,O,X,X,X,O,X
TLOISZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOIZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TLOJIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TLOJSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TLOJSZI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLOJZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TLOJZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLOSIJZ,O,X,X,X,X,O,O,O,X,X,X,O,X
TLOSIZJ,X,X,X,O,X,O,O,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,O,O,O,X,X,X,O,X
TLOSJZI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLOSZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOSZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TLOZIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
TLOZJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TLOZSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOZSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
TJILSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
TJILZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
TJILZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TJILOZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJISLZO,O,O,X,X,X,X,O,O,X,X,X,O,O
TJISLOZ,O,O,O,X,X,X,O,O,X,X,X,O,O
TJISZLO,O,O,O,O,X,X,O,O,X,X,X,X,O
TJISZOL,O,O,O,O,X,X,O,O,X,X,X,X,X
TJISOLZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TJISOZL,O,O,O,O,X,X,O,O,X,X,X,X,X
TJIZLSO,O,X,X,O,O,X,X,O,O,X,X,O,X
TJIZLOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TJIZSLO,O,X,X,O,O,X,O,O,X,X,X,X,O
TJIZSOL,O,X,X,O,O,X,O,O,O,X,X,X,X
TJIZOLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJIZOSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TJIOLSZ,O,O,O,X,X,O,O,O,X,X,X,O,X
TJIOLZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJIOSLZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TJIOSZL,X,O,O,O,X,X,O,O,X,X,X,X,X
TJIOZLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJIOZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X,O,O
TJLISOZ,X,O,X,X,X,O,X,O,X,X,X,O,O
TJLIZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
TJLIZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJLIOZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJLSIZO,X,O,X,X,X,X,O,O,X,X,X,O,O
TJLSIOZ,X,O,O,X,X,O,O,O,X,X,X,O,O
TJLSZIO,X,O,O,O,X,X,O,O,O,X,X,O,O
TJLSZOI,X,O,O,O,X,O,X,X,O,X,X,X,X
TJLSOIZ,X,O,O,X,X,O,O,O,X,X,X,O,O
TJLSOZI,X,O,O,O,X,O,X,O,O,X,X,X,X
TJLZISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TJLZIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TJLZSOI,X,X,O,O,X,O,X,X,O,X,X,X,X
TJLZOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TJLZOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJLOISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJLOIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJLOSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TJLOZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJLOZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TJSILZO,O,O,X,X,X,X,O,O,X,X,X,O,O
TJSILOZ,O,O,O,X,X,X,O,O,X,X,X,O,O
TJSIZLO,O,O,O,O,X,X,O,O,X,X,X,X,O
TJSIZOL,O,O,O,O,X,X,O,O,X,X,O,X,X
TJSIOLZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TJSIOZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TJSLIZO,O,O,X,X,X,X,O,O,X,X,X,O,O
TJSLIOZ,O,O,O,X,X,O,O,O,X,X,X,O,O
TJSLZIO,O,O,O,O,X,X,O,O,O,X,X,O,O
TJSLZOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TJSLOIZ,O,O,O,X,X,O,O,O,X,X,X,O,O
TJSLOZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TJSZILO,O,O,O,O,X,X,O,O,X,X,X,X,O
TJSZIOL,O,O,O,O,X,X,O,O,O,X,X,X,X
TJSZLIO,O,O,O,O,X,X,O,O,O,X,X,X,O
TJSZLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TJSZOIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TJSOILZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TJSOIZL,O,O,O,O,X,X,O,O,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,O,O,O,X,X,X,X,O
TJSOLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TJSOZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJSOZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TJZILSO,O,X,X,O,O,X,X,O,O,X,X,O,X
TJZILOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,O,O,X,X,O,X,X,X,X,O
TJZISOL,O,X,X,O,O,X,X,O,O,X,X,X,X
TJZIOLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,O,O,X,X,X,X
TJZLISO,O,X,X,O,O,X,X,O,O,X,X,O,X
TJZLIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
TJZLSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
TJZLSOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJZLOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
TJZLOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,O,X,X,X,X,O
TJZSIOL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,O,O,X,X,X,O
TJZSLOI,O,O,O,O,X,X,X,X,O,X,X,X,X
TJZSOIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TJZOILS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TJZOLIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJZOLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TJZOSIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOILSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJOILZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJOISLZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJOISZL,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOIZLS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOIZSL,O,X,X,O,X,X,X,O,O,X,X,X,X
TJOLISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJOLIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
TJOLSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
TJOLSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOLZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOLZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TJOSILZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJOSIZL,O,O,O,O,X,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TJOSLZI,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOSZIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOZILS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOZISL,O,X,X,O,X,X,X,O,O,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,O,O,X,X,X,X
TJOZLSI,O,X,O,O,X,O,X,O,O,X,X,X,X
TJOZSIL,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,O,O,X,X,X,X
TSILJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
TSILJOZ,X,O,X,X,X,X,O,X,X,O,X,O,X
TSILZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
TSILZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TSILOJZ,X,O,X,X,X,X,O,X,X,O,X,O,X
TSILOZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TSIJLZO,O,O,X,X,X,X,O,X,X,O,X,O,O
TSIJLOZ,O,O,X,X,X,X,O,X,X,O,X,O,O
