sequence,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?CeBTjB0nBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?0dB6jBZnBzsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bBxcB?TeBCiBOsBXtB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xdBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBXeB?CgBcoBTnBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bB6hB?+iBTeBXoBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBTeB?CgBcnBXoBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xnBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9jB?xhBzhBaoBcsB
TLIOJZS,X,O,O,X,O,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,O,X,X
TLIOSZJ,X,O,O,X,O,X,O,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X
TLIOZSJ,X,O,O,X,O,X,X,X,X
TLJISZO,X,O,O,X,X,X,O,O,O
TLJISOZ,X,O,O,X,X,X,O,O,O
TLJIZSO,X,O,O,X,X,X,X,O,X
TLJIZOS,X,O,O,X,O,X,X,O,X
TLJIOSZ,X,O,O,X,X,X,X,O,X
TLJIOZS,X,O,O,X,O,X,X,O,X
TLJSIZO,X,O,O,X,X,O,O,O,O
TLJSIOZ,X,O,O,X,X,O,O,O,O
TLJSZIO,X,O,O,O,X,O,O,X,O
TLJSZOI,O,O,O,O,X,O,O,X,X
TLJSOIZ,X,O,O,X,X,O,O,X,X
TLJSOZI,O,O,O,O,X,O,O,X,X
TLJZISO,X,O,O,O,X,X,X,X,O
TLJZIOS,X,O,O,X,O,X,X,X,X
TLJZSIO,X,O,O,O,X,O,X,X,O
TLJZSOI,O,O,O,O,X,O,X,X,X
TLJZOIS,O,O,O,O,O,X,X,X,X
TLJZOSI,O,O,O,O,O,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X
TLJOIZS,X,O,O,X,O,X,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X
TLJOSZI,O,O,O,O,X,X,X,X,X
TLJOZIS,O,O,O,O,O,X,X,X,X
TLJOZSI,O,O,O,O,O,X,X,X,X
TLSIJZO,X,O,O,X,X,O,O,O,O
TLSIJOZ,X,O,O,X,X,O,O,O,O
TLSIZJO,X,O,O,X,X,O,O,X,X
TLSIZOJ,X,O,O,X,O,O,O,X,X
TLSIOJZ,X,O,O,X,X,O,O,X,X
TLSIOZJ,X,O,O,X,O,O,O,X,X
TLSJIZO,X,O,O,X,X,O,O,O,O
TLSJIOZ,X,O,O,X,X,O,O,O,O
TLSJZIO,X,O,O,O,X,O,O,X,O
TLSJZOI,O,O,O,O,X,O,O,X,X
TLSJOIZ,X,O,O,X,X,O,O,X,X
TLSJOZI,O,O,O,O,X,O,O,X,X
TLSZIJO,X,O,O,O,X,O,O,X,O
TLSZIOJ,X,O,O,X,O,O,O,X,X
TLSZJIO,X,O,O,O,X,O,O,X,O
TLSZJOI,O,O,O,O,X,O,O,X,X
TLSZOIJ,O,O,O,O,O,O,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X
TLSOIJZ,X,O,O,X,X,O,O,X,X
TLSOIZJ,X,O,O,X,O,O,O,X,X
TLSOJIZ,X,O,O,X,X,O,O,X,X
TLSOJZI,O,O,O,O,X,O,O,X,X
TLSOZIJ,O,O,O,O,O,O,O,X,X
TLSOZJI,O,O,O,O,O,O,O,X,X
TLZIJSO,X,O,O,O,X,X,X,X,O
TLZIJOS,X,O,O,X,O,X,X,X,X
TLZISJO,X,O,O,O,X,O,O,X,O
TLZISOJ,X,O,O,X,O,O,O,X,X
TLZIOJS,X,O,O,X,O,X,X,X,X
TLZIOSJ,X,O,O,X,O,X,X,X,X
TLZJISO,X,O,O,O,X,X,X,X,O
TLZJIOS,X,O,O,X,O,X,X,X,X
TLZJSIO,X,O,O,O,X,O,X,X,O
TLZJSOI,O,O,O,O,X,O,X,X,X
TLZJOIS,O,O,O,O,O,X,X,X,X
TLZJOSI,O,O,O,O,O,X,X,X,X
TLZSIJO,X,O,O,O,X,O,O,X,O
TLZSIOJ,X,O,O,X,O,O,O,X,X
TLZSJIO,X,O,O,O,X,O,O,X,O
TLZSJOI,O,O,O,O,X,O,O,X,X
TLZSOIJ,O,O,O,O,O,O,O,X,X
TLZSOJI,O,O,O,O,O,O,O,X,X
TLZOIJS,O,O,O,O,O,X,X,X,X
TLZOISJ,O,O,O,O,O,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,X,X
TLZOJSI,O,O,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,X,X
TLOIJZS,X,O,O,X,O,X,X,X,X
TLOISJZ,X,O,O,X,X,X,O,X,X
TLOISZJ,X,O,O,X,O,X,O,X,X
TLOIZJS,X,O,O,X,O,X,X,X,X
TLOIZSJ,X,O,O,X,O,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X
TLOJIZS,X,O,O,X,O,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X
TLOJSZI,O,O,O,O,X,X,X,X,X
TLOJZIS,O,O,O,O,O,X,X,X,X
TLOJZSI,O,O,O,O,O,X,X,X,X
TLOSIJZ,X,O,O,X,X,O,O,X,X
TLOSIZJ,X,O,O,X,O,O,O,X,X
TLOSJIZ,X,O,O,X,X,O,O,X,X
TLOSJZI,O,O,O,O,X,O,O,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X
TLOSZJI,O,O,O,O,O,O,O,X,X
TLOZIJS,O,O,O,O,O,X,X,X,X
TLOZISJ,O,O,O,O,O,X,X,X,X
TLOZJIS,O,O,O,O,O,X,X,X,X
TLOZJSI,O,O,O,O,O,X,X,X,X
TLOZSIJ,O,O,O,O,O,O,X,X,X
TLOZSJI,O,O,O,O,O,O,X,X,X
TJILSZO,X,O,O,X,X,X,X,O,O
TJILSOZ,X,O,O,X,X,X,X,O,O
TJILZSO,X,O,O,X,X,X,X,O,X
TJILZOS,X,O,O,X,X,X,X,O,X
TJILOSZ,X,O,O,X,X,X,X,O,X
TJILOZS,X,O,O,X,X,X,X,O,X
TJISLZO,X,O,O,X,X,X,X,O,O
TJISLOZ,X,O,O,X,X,X,X,O,O
TJISZLO,X,O,O,O,X,X,X,O,O
TJISZOL,O,O,O,O,X,X,X,O,O
TJISOLZ,X,O,O,X,X,X,X,O,O
TJISOZL,O,O,O,O,X,X,X,O,O
TJIZLSO,X,O,O,O,X,X,X,O,O
TJIZLOS,X,O,O,X,X,X,X,O,X
TJIZSLO,X,O,O,O,X,X,X,O,O
TJIZSOL,O,O,O,O,X,X,X,O,O
TJIZOLS,O,O,O,O,X,X,X,O,X
TJIZOSL,O,O,O,O,X,X,X,O,O
TJIOLSZ,X,O,X,X,X,X,X,O,X
TJIOLZS,X,O,X,X,X,X,X,O,X
TJIOSLZ,X,O,X,X,X,X,X,O,O
TJIOSZL,O,O,X,O,X,X,X,O,O
TJIOZLS,O,O,X,O,X,X,X,O,X
TJIOZSL,O,O,X,O,X,X,X,O,X
TJLISZO,X,O,O,X,X,X,O,O,O
TJLISOZ,X,O,O,X,X,X,O,O,O
TJLIZSO,X,O,O,X,X,X,X,O,X
TJLIZOS,X,O,O,X,O,X,X,O,X
TJLIOSZ,X,O,O,X,X,X,X,O,X
TJLIOZS,X,O,O,X,O,X,X,O,X
TJLSIZO,X,O,O,X,X,O,O,O,O
TJLSIOZ,X,O,O,X,X,O,O,O,O
TJLSZIO,X,O,O,O,X,O,O,X,O
TJLSZOI,O,O,O,O,X,O,O,X,X
TJLSOIZ,X,O,O,X,X,O,O,X,X
TJLSOZI,O,O,O,O,X,O,O,X,X
TJLZISO,X,O,O,O,X,X,X,X,O
TJLZIOS,X,O,O,X,O,X,X,X,X
TJLZSIO,X,O,O,O,X,O,X,X,O
TJLZSOI,O,O,O,O,X,O,X,X,X
TJLZOIS,O,O,O,O,O,X,X,X,X
TJLZOSI,O,O,O,O,O,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X,X
TJLOIZS,X,O,O,X,O,X,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,X
TJLOZIS,O,O,O,O,O,X,X,X,X
TJLOZSI,O,O,O,O,O,X,X,X,X
TJSILZO,X,O,O,X,X,O,X,O,O
TJSILOZ,X,O,O,X,X,O,X,O,O
TJSIZLO,X,O,O,O,X,O,X,O,O
TJSIZOL,O,O,O,O,X,O,X,O,O
TJSIOLZ,X,O,O,X,X,O,X,O,O
TJSIOZL,O,O,O,O,X,O,X,O,O
TJSLIZO,X,O,O,X,X,O,O,O,O
TJSLIOZ,X,O,O,X,X,O,O,O,O
TJSLZIO,X,O,O,O,X,O,O,X,O
TJSLZOI,O,O,O,O,X,O,O,X,X
TJSLOIZ,X,O,O,X,X,O,O,X,X
TJSLOZI,O,O,O,O,X,O,O,X,X
TJSZILO,X,O,O,O,X,O,X,O,O
TJSZIOL,O,O,O,O,X,O,X,O,O
TJSZLIO,X,O,O,O,X,O,O,X,O
TJSZLOI,O,O,O,O,X,O,O,X,X
TJSZOIL,O,O,O,O,X,O,X,X,O
TJSZOLI,O,O,O,O,X,O,O,X,X
TJSOILZ,X,O,O,X,X,O,X,O,O
TJSOIZL,O,O,O,O,X,O,X,O,O
TJSOLIZ,X,O,O,X,X,O,O,X,X
TJSOLZI,O,O,O,O,X,O,O,X,X
TJSOZIL,O,O,O,O,X,O,X,X,O
TJSOZLI,O,O,O,O,X,O,O,X,X
TJZILSO,X,O,O,O,X,X,X,O,O
TJZILOS,X,O,O,X,X,X,X,O,X
TJZISLO,X,O,O,O,X,X,X,O,O
TJZISOL,O,O,O,O,X,X,X,O,O
TJZIOLS,O,O,O,O,X,X,X,O,X
TJZIOSL,O,O,O,O,X,X,X,O,O
TJZLISO,X,O,O,O,X,X,X,X,O
TJZLIOS,X,O,O,X,O,X,X,X,X
TJZLSIO,X,O,O,O,X,O,X,X,O
TJZLSOI,O,O,O,O,X,O,X,X,X
TJZLOIS,O,O,O,O,O,X,X,X,X
TJZLOSI,O,O,O,O,O,X,X,X,X
TJZSILO,X,O,O,O,X,O,X,O,O
TJZSIOL,O,O,O,O,X,O,X,O,O
TJZSLIO,X,O,O,O,X,O,X,X,O
TJZSLOI,O,O,O,O,X,O,X,X,X
TJZSOIL,O,O,O,O,X,O,X,X,O
TJZSOLI,O,O,O,O,X,O,X,X,X
TJZOILS,O,O,O,O,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X,O
TJZOLIS,O,O,O,O,O,X,X,X,X
TJZOLSI,O,O,O,O,O,X,X,X,X
TJZOSIL,O,O,O,O,X,X,X,X,O
TJZOSLI,O,O,O,O,O,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,O,X
TJOILZS,X,O,X,X,X,X,X,O,X
TJOISLZ,X,O,X,X,X,X,X,O,O
TJOISZL,O,O,X,O,X,X,X,O,O
TJOIZLS,O,O,X,O,X,X,X,O,X
TJOIZSL,O,O,X,O,X,X,X,O,X
TJOLISZ,X,O,O,X,X,X,X,X,X
TJOLIZS,X,O,O,X,O,X,X,X,X
TJOLSIZ,X,O,O,X,X,X,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X,X
TJOLZIS,O,O,O,O,O,X,X,X,X
TJOLZSI,O,O,O,O,O,X,X,X,X
TJOSILZ,X,O,O,X,X,X,X,O,O
TJOSIZL,O,O,O,O,X,X,X,O,O
TJOSLIZ,X,O,O,X,X,X,X,X,X
TJOSLZI,O,O,O,O,X,X,X,X,X
TJOSZIL,O,O,O,O,X,X,X,X,O
TJOSZLI,O,O,O,O,X,X,X,X,X
TJOZILS,O,O,O,O,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,X,O
TJOZLIS,O,O,O,O,O,X,X,X,X
TJOZLSI,O,O,O,O,O,X,X,X,X
TJOZSIL,O,O,O,O,X,X,X,X,O
TJOZSLI,O,O,O,O,O,X,X,X,X
TSILJZO,X,O,O,X,X,O,O,O,O
TSILJOZ,X,O,O,X,X,O,O,O,O
TSILZJO,X,O,O,X,X,O,O,X,X
TSILZOJ,X,O,O,X,X,O,O,X,X
TSILOJZ,X,O,O,X,X,O,O,X,X
TSILOZJ,X,O,O,X,X,O,O,X,X
TSIJLZO,X,O,O,X,X,O,X,O,O
TSIJLOZ,X,O,O,X,X,O,X,O,O
TSIJZLO,X,O,O,O,X,O,X,O,O
TSIJZOL,O,O,O,O,X,O,X,O,O
TSIJOLZ,X,O,O,X,X,O,X,O,O
TSIJOZL,O,O,O,O,X,O,X,O,O
TSIZLJO,X,O,O,O,X,O,O,X,O
TSIZLOJ,X,O,O,X,X,O,O,X,X
TSIZJLO,X,O,O,O,X,O,X,O,O
TSIZJOL,O,O,O,O,X,O,X,O,O
TSIZOLJ,O,O,O,O,X,O,O,X,X
TSIZOJL,O,O,O,O,X,O,X,X,O
TSIOLJZ,X,O,O,X,X,O,O,X,X
TSIOLZJ,X,O,O,X,X,O,O,X,X
TSIOJLZ,X,O,O,X,X,O,X,O,O
TSIOJZL,O,O,O,O,X,O,X,O,O
TSIOZLJ,O,O,O,O,X,O,O,X,X
TSIOZJL,O,O,O,O,X,O,X,X,X
TSLIJZO,X,O,O,X,X,O,O,O,O
TSLIJOZ,X,O,O,X,X,O,O,O,O
TSLIZJO,X,O,O,X,X,O,O,X,X
TSLIZOJ,X,O,O,X,O,O,O,X,X
TSLIOJZ,X,O,O,X,X,O,O,X,X
TSLIOZJ,X,O,O,X,O,O,O,X,X
TSLJIZO,X,O,O,X,X,O,O,O,O
TSLJIOZ,X,O,O,X,X,O,O,O,O
TSLJZIO,X,O,O,O,X,O,O,X,O
TSLJZOI,O,O,O,O,X,O,O,X,X
TSLJOIZ,X,O,O,X,X,O,O,X,X
TSLJOZI,O,O,O,O,X,O,O,X,X
TSLZIJO,X,O,O,O,X,O,O,X,O
TSLZIOJ,X,O,O,X,O,O,O,X,X
TSLZJIO,X,O,O,O,X,O,O,X,O
TSLZJOI,O,O,O,O,X,O,O,X,X
TSLZOIJ,O,O,O,O,O,O,O,X,X
TSLZOJI,O,O,O,O,O,O,O,X,X
TSLOIJZ,X,O,O,X,X,O,O,X,X
TSLOIZJ,X,O,O,X,O,O,O,X,X
TSLOJIZ,X,O,O,X,X,O,O,X,X
TSLOJZI,O,O,O,O,X,O,O,X,X
TSLOZIJ,O,O,O,O,O,O,O,X,X
TSLOZJI,O,O,O,O,O,O,O,X,X
TSJILZO,X,O,O,X,X,O,X,O,O
TSJILOZ,X,O,O,X,X,O,X,O,O
TSJIZLO,X,O,O,O,X,O,X,O,O
TSJIZOL,O,O,O,O,X,O,X,O,O
TSJIOLZ,X,O,O,X,X,O,X,O,O
TSJIOZL,O,O,O,O,X,O,X,O,O
TSJLIZO,X,O,O,X,X,O,O,O,O
TSJLIOZ,X,O,O,X,X,O,O,O,O
TSJLZIO,X,O,O,O,X,O,O,X,O
TSJLZOI,O,O,O,O,X,O,O,X,X
TSJLOIZ,X,O,O,X,X,O,O,X,X
TSJLOZI,O,O,O,O,X,O,O,X,X
TSJZILO,X,O,O,O,X,O,X,O,O
TSJZIOL,O,O,O,O,X,O,X,O,O
TSJZLIO,X,O,O,O,X,O,O,X,O
TSJZLOI,O,O,O,O,X,O,O,X,X
TSJZOIL,O,O,O,O,X,O,X,X,O
TSJZOLI,O,O,O,O,X,O,O,X,X
TSJOILZ,X,O,O,X,X,O,X,O,O
TSJOIZL,O,O,O,O,X,O,X,O,O
TSJOLIZ,X,O,O,X,X,O,O,X,X
TSJOLZI,O,O,O,O,X,O,O,X,X
TSJOZIL,O,O,O,O,X,O,X,X,O
TSJOZLI,O,O,O,O,X,O,O,X,X
TSZILJO,X,O,O,O,X,O,O,X,O
TSZILOJ,X,O,O,X,X,O,O,X,X
TSZIJLO,X,O,O,O,X,O,X,O,O
TSZIJOL,O,O,O,O,X,O,X,O,O
TSZIOLJ,O,O,O,O,X,O,O,X,X
TSZIOJL,O,O,O,O,X,O,X,X,O
TSZLIJO,X,O,O,O,X,O,O,X,O
TSZLIOJ,X,O,O,X,O,O,O,X,X
TSZLJIO,X,O,O,O,X,O,O,X,O
TSZLJOI,O,O,O,O,X,O,O,X,X
TSZLOIJ,O,O,O,O,O,O,O,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X
TSZJILO,X,O,O,O,X,O,X,O,O
TSZJIOL,O,O,O,O,X,O,X,O,O
TSZJLIO,X,O,O,O,X,O,O,X,O
TSZJLOI,O,O,O,O,X,O,O,X,X
TSZJOIL,O,O,O,O,X,O,X,X,O
TSZJOLI,O,O,O,O,X,O,O,X,X
TSZOILJ,O,O,O,O,O,O,O,X,X
TSZOIJL,O,O,O,O,X,O,X,X,O
TSZOLIJ,O,O,O,O,O,O,O,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,X,O,X,X,O
TSZOJLI,O,O,O,O,O,O,O,X,X
TSOILJZ,X,O,O,X,X,O,O,X,X
TSOILZJ,X,O,O,X,X,O,O,X,X
TSOIJLZ,X,O,O,X,X,O,X,O,O
TSOIJZL,O,O,O,O,X,O,X,O,O
TSOIZLJ,O,O,O,O,X,O,O,X,X
TSOIZJL,O,O,O,O,X,O,X,X,X
TSOLIJZ,X,O,O,X,X,O,O,X,X
TSOLIZJ,X,O,O,X,O,O,O,X,X
TSOLJIZ,X,O,O,X,X,O,O,X,X
TSOLJZI,O,O,O,O,X,O,O,X,X
TSOLZIJ,O,O,O,O,O,O,O,X,X
TSOLZJI,O,O,O,O,O,O,O,X,X
TSOJILZ,X,O,O,X,X,O,X,O,O
TSOJIZL,O,O,O,O,X,O,X,O,O
TSOJLIZ,X,O,O,X,X,O,O,X,X
TSOJLZI,O,O,O,O,X,O,O,X,X
TSOJZIL,O,O,O,O,X,O,X,X,O
TSOJZLI,O,O,O,O,X,O,O,X,X
TSOZILJ,O,O,O,O,O,O,O,X,X
TSOZIJL,O,O,O,O,X,O,X,X,O
TSOZLIJ,O,O,O,O,O,O,O,X,X
TSOZLJI,O,O,O,O,O,O,O,X,X
TSOZJIL,O,O,O,O,X,O,X,X,O
TSOZJLI,O,O,O,O,O,O,O,X,X
TZILJSO,X,O,O,O,X,X,X,X,O
TZILJOS,X,O,O,X,O,X,X,X,X
TZILSJO,X,O,O,O,X,O,X,X,O
TZILSOJ,X,O,O,X,O,O,X,X,X
TZILOJS,X,O,O,X,O,X,X,X,X
TZILOSJ,X,O,O,X,O,X,X,X,X
TZIJLSO,X,O,O,O,X,X,X,O,O
TZIJLOS,X,O,O,X,X,X,X,O,X
TZIJSLO,X,O,O,O,X,X,X,O,O
TZIJSOL,O,O,O,O,X,X,X,O,O
TZIJOLS,O,O,O,O,X,X,X,O,X
TZIJOSL,O,O,O,O,X,X,X,O,O
TZISLJO,X,O,O,O,X,O,X,X,O
TZISLOJ,X,O,O,X,X,O,X,X,X
TZISJLO,X,O,O,O,X,O,X,O,O
