sequence,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFOgBxcBChB/nB0m?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jei6IvhFfhBxcBUgBumBTn?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jex6IvhFXdBmfBzgB0hBSs?BlqB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFZgBUcBWmB/nBFn?BCrB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFxcB/nB6qB0rBOq?BFrB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFZgBugB1hBXiB8q?BSxB,v115@7gB8GeE8FeD8FeE8AeF8Jex6IvhF8gBmfB3hBTnBCn?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jex/IvhF/mBUiBmfBChBTn?BlqB
TZJOISL,O,O,O,X,X,O,O,X
TZJOLIS,O,O,O,X,X,O,X,X
TZJOLSI,O,O,O,X,X,O,X,X
TZJOSIL,O,O,O,X,X,O,O,X
TZJOSLI,O,O,O,X,X,X,O,X
TZSILJO,O,O,X,X,O,X,X,O
TZSILOJ,O,O,X,X,O,X,X,O
TZSIJLO,O,O,X,X,X,X,O,O
TZSIJOL,O,O,X,X,X,O,O,O
TZSIOLJ,O,O,X,X,O,X,X,O
TZSIOJL,O,O,X,X,X,O,X,O
TZSLIJO,O,O,X,X,O,X,X,O
TZSLIOJ,O,O,X,X,O,X,X,O
TZSLJIO,O,O,X,X,O,X,O,X
TZSLJOI,O,O,X,X,O,X,O,X
TZSLOIJ,O,O,X,X,O,X,X,X
TZSLOJI,O,O,X,X,O,X,X,X
TZSJILO,O,O,X,X,X,X,O,O
TZSJIOL,O,O,X,X,X,O,O,O
TZSJLIO,O,O,X,X,X,X,O,X
TZSJLOI,O,O,X,X,X,X,O,X
TZSJOIL,O,O,O,X,X,O,O,X
TZSJOLI,O,O,O,X,X,X,O,X
TZSOILJ,O,O,X,X,O,X,X,O
TZSOIJL,O,O,X,X,X,O,X,O
TZSOLIJ,O,O,X,X,O,X,X,X
TZSOLJI,O,O,X,X,O,X,X,X
TZSOJIL,O,O,O,X,X,O,O,X
TZSOJLI,O,O,O,X,X,X,O,X
TZOILJS,O,O,X,X,X,O,X,X
TZOILSJ,O,O,X,X,X,O,X,X
TZOIJLS,O,O,X,X,X,O,X,X
TZOIJSL,O,O,X,X,X,O,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,O,X,X
TZOLIJS,O,O,X,X,X,O,X,X
TZOLISJ,O,O,X,X,X,O,X,X
TZOLJIS,O,O,O,X,X,O,X,X
TZOLJSI,O,O,O,X,X,O,X,X
TZOLSIJ,O,O,X,X,O,O,X,X
TZOLSJI,O,O,O,X,O,O,X,X
TZOJILS,O,O,O,X,X,O,X,X
TZOJISL,O,O,O,X,X,O,O,X
TZOJLIS,O,O,O,X,X,O,X,X
TZOJLSI,O,O,O,X,X,O,X,X
TZOJSIL,O,O,O,X,X,O,O,X
TZOJSLI,O,O,O,X,X,X,O,X
TZOSILJ,O,O,X,X,O,X,X,X
TZOSIJL,O,O,X,X,X,O,O,X
TZOSLIJ,O,O,X,X,O,X,X,X
TZOSLJI,O,O,X,X,O,X,O,X
TZOSJIL,O,O,O,X,X,O,O,X
TZOSJLI,O,O,O,X,X,X,O,X
TOILJSZ,O,O,O,O,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,X
TOILSJZ,O,O,O,O,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,O,X,X
TOILZSJ,X,O,X,X,X,O,X,X
TOIJLSZ,O,O,O,X,X,X,X,X
TOIJLZS,X,O,O,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,X,X,X
TOIJSZL,O,O,O,X,X,X,O,X
TOIJZLS,O,O,O,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X
TOISJZL,O,O,O,X,X,X,O,X
TOISZLJ,O,O,X,X,O,X,X,O
TOISZJL,O,X,X,X,X,X,O,O
TOIZLJS,O,O,X,X,X,O,X,X
TOIZLSJ,O,O,X,X,X,O,X,X
TOIZJLS,O,O,X,X,X,O,X,X
TOIZJSL,O,O,X,X,X,O,X,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,O,X,X
TOLIJSZ,O,O,O,O,X,X,X,X
TOLIJZS,X,O,O,O,X,X,X,X
TOLISJZ,O,O,O,O,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,X,O,X,X,X,O,X,X
TOLIZSJ,X,O,X,X,X,O,X,X
TOLJISZ,O,O,O,O,X,X,X,X
TOLJIZS,X,O,O,O,X,X,X,X
TOLJSIZ,O,O,O,O,X,X,X,X
TOLJSZI,O,O,O,O,X,X,O,X
TOLJZIS,O,O,O,O,X,X,X,X
TOLJZSI,O,O,O,O,X,X,X,X
TOLSIJZ,O,O,O,O,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,X
TOLSJZI,O,O,O,O,X,X,O,X
TOLSZIJ,O,O,X,X,O,X,X,X
TOLSZJI,O,O,O,X,O,X,O,X
TOLZIJS,O,O,X,X,X,O,X,X
TOLZISJ,O,O,X,X,X,O,X,X
TOLZJIS,O,O,O,X,X,O,X,X
TOLZJSI,O,O,O,X,X,O,X,X
TOLZSIJ,O,O,X,X,O,O,X,X
TOLZSJI,O,O,O,X,O,O,X,X
TOJILSZ,O,O,O,X,X,X,X,X
TOJILZS,X,O,O,X,X,X,X,X
TOJISLZ,O,O,O,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,O,X
TOJIZLS,O,O,O,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,O,X
TOJLISZ,O,O,O,X,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,O,X
TOJLZIS,O,O,O,X,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X,X
TOJSILZ,O,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,O,X
TOJSLIZ,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,O,X
TOJSZIL,O,O,O,X,X,X,O,X
TOJSZLI,O,O,O,X,X,X,O,X
TOJZILS,O,O,O,X,X,X,X,X
TOJZISL,O,O,O,X,X,X,O,X
TOJZLIS,O,O,O,X,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,O,X
TOJZSLI,O,O,O,X,X,X,O,X
TOSILJZ,O,O,X,O,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,O,X
TOSIZLJ,O,O,X,X,O,X,X,O
TOSIZJL,O,X,X,X,X,X,O,O
TOSLIJZ,O,O,O,O,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,X
TOSLJZI,O,O,O,O,X,X,O,X
TOSLZIJ,O,O,X,X,O,X,X,X
TOSLZJI,O,O,O,X,O,X,O,X
TOSJILZ,O,O,O,X,X,X,X,X
TOSJIZL,O,O,O,X,X,X,O,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,O,X
TOSJZIL,O,O,O,X,X,X,O,X
TOSJZLI,O,O,O,X,X,X,O,X
TOSZILJ,O,O,X,X,O,X,X,O
TOSZIJL,O,O,X,X,X,X,O,O
TOSZLIJ,O,O,X,X,O,X,X,X
TOSZLJI,O,O,X,X,O,X,O,X
TOSZJIL,O,O,O,X,X,X,O,X
TOSZJLI,O,O,O,X,X,X,O,X
TOZILJS,O,O,X,X,X,O,X,X
TOZILSJ,O,O,X,X,X,O,X,X
TOZIJLS,O,O,X,X,X,O,X,X
TOZIJSL,O,O,X,X,X,O,X,X
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,O,X,X
TOZLIJS,O,O,X,X,X,O,X,X
TOZLISJ,O,O,X,X,X,O,X,X
TOZLJIS,O,O,O,X,X,O,X,X
TOZLJSI,O,O,O,X,X,O,X,X
TOZLSIJ,O,O,X,X,O,O,X,X
TOZLSJI,O,O,O,X,O,O,X,X
TOZJILS,O,O,O,X,X,O,X,X
TOZJISL,O,O,O,X,X,O,O,X
TOZJLIS,O,O,O,X,X,O,X,X
TOZJLSI,O,O,O,X,X,O,X,X
TOZJSIL,O,O,O,X,X,O,O,X
TOZJSLI,O,O,O,X,X,X,O,X
TOZSILJ,O,O,X,X,O,X,X,X
TOZSIJL,O,O,X,X,X,O,O,X
TOZSLIJ,O,O,X,X,O,X,X,X
TOZSLJI,O,O,X,X,O,X,O,X
TOZSJIL,O,O,O,X,X,O,O,X
TOZSJLI,O,O,O,X,X,X,O,X
ITLJSZO,O,O,X,O,X,X,X,X
ITLJSOZ,O,O,O,O,X,X,X,X
ITLJZSO,X,O,X,O,X,X,X,X
ITLJZOS,X,X,O,O,X,X,X,X
ITLJOSZ,O,X,O,O,X,X,X,X
ITLJOZS,X,X,O,O,X,X,X,X
ITLSJZO,O,O,X,O,X,X,X,X
ITLSJOZ,O,O,O,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,O
ITLSZOJ,O,O,X,X,X,X,X,O
ITLSOJZ,O,O,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X
ITLZJSO,X,O,X,X,X,O,X,X
ITLZJOS,X,X,X,X,X,O,X,X
ITLZSJO,X,O,X,X,X,O,X,X
ITLZSOJ,X,O,X,X,X,O,X,X
ITLZOJS,X,O,X,X,X,O,X,X
ITLZOSJ,X,O,X,X,X,O,X,X
ITLOJSZ,O,O,O,O,X,X,X,X
ITLOJZS,X,O,O,O,X,X,X,X
ITLOSJZ,O,O,O,O,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,O,X,X
ITLOZSJ,X,O,X,X,X,O,X,X
ITJLSZO,O,O,X,X,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X,X
ITJLZSO,X,O,X,X,X,X,O,X
ITJLZOS,X,X,O,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,X,X,X
ITJLOZS,X,X,O,X,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X
ITJSLOZ,O,O,O,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,O,O
ITJSZOL,O,X,X,X,X,X,O,O
ITJSOLZ,O,O,O,X,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,O,X
ITJZLOS,O,X,O,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,O,X
ITJZSOL,O,O,X,X,X,X,O,X
ITJZOLS,O,X,O,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,O,X
ITJOLSZ,O,X,O,X,X,X,X,X
ITJOLZS,X,X,O,X,X,X,X,X
ITJOSLZ,O,O,O,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,O,X
ITJOZLS,O,X,O,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,O,X
ITSLJZO,O,O,X,O,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,O
ITSLZOJ,O,O,X,X,X,X,X,O
ITSLOJZ,O,O,X,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,O,O
ITSJZOL,O,X,X,X,X,X,O,O
ITSJOLZ,O,O,O,X,X,X,X,X
ITSJOZL,O,X,O,X,X,X,X,X
ITSZLJO,O,O,X,X,O,X,X,O
ITSZLOJ,O,O,X,X,O,X,X,O
ITSZJLO,O,X,X,X,X,X,O,O
ITSZJOL,O,X,X,X,X,X,O,O
ITSZOLJ,O,X,X,X,O,X,X,O
ITSZOJL,O,X,X,X,X,X,X,O
ITSOLJZ,O,O,X,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X
ITSOZLJ,O,O,X,X,O,X,X,O
ITSOZJL,O,X,X,X,X,X,X,O
ITZLJSO,O,O,X,X,X,O,X,X
ITZLJOS,O,X,X,X,X,O,X,X
ITZLSJO,O,O,X,X,X,O,X,X
ITZLSOJ,O,O,X,X,X,O,X,X
ITZLOJS,O,O,X,X,X,O,X,X
ITZLOSJ,O,O,X,X,X,O,X,X
ITZJLSO,O,O,X,X,X,O,O,X
ITZJLOS,O,X,X,X,X,O,X,X
ITZJSLO,O,O,X,X,X,X,O,X
ITZJSOL,O,O,X,X,X,O,O,X
ITZJOLS,O,X,X,X,X,O,X,X
ITZJOSL,O,X,X,X,X,O,O,X
ITZSLJO,O,O,X,X,X,X,X,O
ITZSLOJ,O,O,X,X,X,X,X,O
ITZSJLO,O,O,X,X,X,X,O,O
ITZSJOL,O,O,X,X,X,O,O,O
ITZSOLJ,O,O,X,X,X,X,X,O
ITZSOJL,O,O,X,X,X,O,X,O
ITZOLJS,O,O,X,X,X,O,X,X
ITZOLSJ,O,O,X,X,X,O,X,X
ITZOJLS,O,O,X,X,X,O,X,X
ITZOJSL,O,O,X,X,X,O,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,O,X,X
ITOLJSZ,O,O,O,O,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X,X
ITOLSJZ,O,O,O,O,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,X,O,X,X,X,O,X,X
ITOLZSJ,X,O,X,X,X,O,X,X
ITOJLSZ,O,O,O,X,X,X,X,X
ITOJLZS,X,O,O,X,X,X,X,X
ITOJSLZ,O,O,O,X,X,X,X,X
ITOJSZL,O,O,O,X,X,X,O,X
ITOJZLS,O,O,O,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X
ITOSJZL,O,O,O,X,X,X,O,X
ITOSZLJ,O,O,X,X,O,X,X,O
ITOSZJL,O,X,X,X,X,X,O,O
ITOZLJS,O,O,X,X,X,O,X,X
ITOZLSJ,O,O,X,X,X,O,X,X
ITOZJLS,O,O,X,X,X,O,X,X
ITOZJSL,O,O,X,X,X,O,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,O,X,X
ILTJSZO,X,O,X,O,X,X,X,X
ILTJSOZ,X,O,O,O,X,X,X,X
ILTJZSO,X,O,X,O,X,X,X,X
ILTJZOS,X,X,O,O,X,X,X,X
ILTJOSZ,O,X,O,O,X,X,X,X
ILTJOZS,X,X,O,O,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,X
ILTSJOZ,O,O,O,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,O
ILTSZOJ,O,O,X,X,X,X,X,O
ILTSOJZ,O,O,O,O,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,O,X,X
ILTZJOS,X,X,X,X,X,O,X,X
ILTZSJO,X,O,X,X,X,O,X,X
ILTZSOJ,X,O,X,X,X,O,X,X
ILTZOJS,X,O,X,X,X,O,X,X
ILTZOSJ,X,O,X,X,X,O,X,X
ILTOJSZ,O,O,O,O,X,X,X,X
ILTOJZS,X,O,O,O,X,X,X,X
ILTOSJZ,O,O,O,O,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,O,X,X
ILTOZSJ,X,O,X,X,X,O,X,X
ILJTSZO,X,O,X,O,X,X,X,X
ILJTSOZ,X,O,O,O,X,X,X,X
ILJTZSO,X,O,X,O,X,X,X,X
ILJTZOS,X,X,O,O,X,X,X,X
ILJTOSZ,X,X,O,O,X,X,X,X
ILJTOZS,X,X,O,O,X,X,X,X
ILJSTZO,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,X,X
ILJSZOT,X,X,X,O,X,X,X,X
ILJSOTZ,X,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,X,X,X
ILJZTSO,X,X,X,O,X,O,X,X
ILJZTOS,X,X,O,O,X,O,X,X
ILJZSTO,X,O,X,O,X,O,X,X
ILJZSOT,X,O,X,O,X,O,X,X
ILJZOTS,X,X,X,O,X,O,X,X
ILJZOST,X,X,X,O,X,O,X,X
ILJOTSZ,X,X,O,O,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,X,X,X,X
ILJOZTS,X,X,X,O,X,O,X,X
ILJOZST,X,X,X,O,X,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X
ILSTJOZ,O,X,O,O,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,O,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X
ILSJTZO,X,X,X,O,X,X,X,X
ILSJTOZ,X,X,O,O,X,X,X,X
ILSJZTO,X,X,X,O,X,X,X,X
ILSJZOT,X,X,X,O,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,X
ILSZTJO,O,X,X,X,O,O,X,O
ILSZTOJ,O,X,X,X,O,O,X,O
ILSZJTO,O,X,X,O,O,O,X,O
ILSZJOT,O,X,X,O,O,O,X,O
ILSZOTJ,O,X,X,X,O,O,X,X
ILSZOJT,O,X,X,O,O,O,X,O
ILSOTJZ,O,X,X,O,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X
ILSOZTJ,O,X,X,X,O,O,X,X
ILSOZJT,O,X,X,O,O,O,X,X
ILZTJSO,X,X,X,X,X,O,X,X
ILZTJOS,X,X,X,X,X,O,X,X
ILZTSJO,X,X,X,X,X,O,X,X
ILZTSOJ,X,X,X,X,X,O,X,X
ILZTOJS,X,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,O,X,X
ILZJTSO,X,X,X,O,X,O,X,X
ILZJTOS,X,X,X,O,X,O,X,X
ILZJSTO,X,O,X,O,X,O,X,X
ILZJSOT,X,O,X,O,X,O,X,X
ILZJOTS,X,X,X,O,X,O,X,X
ILZJOST,X,X,X,O,X,O,X,X
ILZSTJO,X,O,X,X,O,O,X,X
ILZSTOJ,X,O,X,X,O,O,X,X
ILZSJTO,X,O,X,O,O,O,X,X
ILZSJOT,X,O,X,O,O,O,X,X
ILZSOTJ,X,O,X,X,O,O,X,X
ILZSOJT,X,O,X,O,O,O,X,X
ILZOTJS,X,O,X,X,X,O,X,X
ILZOTSJ,X,O,X,X,X,O,X,X
ILZOJTS,X,X,X,O,X,O,X,X
ILZOJST,X,O,X,O,X,O,X,X
ILZOSTJ,X,O,X,X,O,O,X,X
ILZOSJT,X,O,X,O,O,O,X,X
ILOTJSZ,O,O,X,O,X,X,X,X
ILOTJZS,X,O,X,O,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X
ILOTZJS,X,O,X,X,X,O,X,X
ILOTZSJ,X,O,X,X,X,O,X,X
ILOJTSZ,X,O,X,O,X,X,X,X
ILOJTZS,X,O,X,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,X
ILOJZTS,X,X,X,O,X,O,X,X
ILOJZST,X,O,X,O,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X
ILOSZTJ,O,X,X,X,O,O,X,X
ILOSZJT,O,X,X,O,O,O,X,X
ILOZTJS,X,O,X,X,X,O,X,X
ILOZTSJ,X,O,X,X,X,O,X,X
ILOZJTS,X,X,X,O,X,O,X,X
ILOZJST,X,O,X,O,X,O,X,X
ILOZSTJ,X,O,X,X,O,O,X,X
ILOZSJT,X,O,X,O,O,O,X,X
IJTLSZO,X,O,X,X,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,X
IJTLZSO,X,O,X,X,X,X,O,X
IJTLZOS,X,X,O,X,X,X,X,X
IJTLOSZ,O,X,O,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,O,O
IJTSZOL,O,X,X,X,X,X,O,O
IJTSOLZ,O,O,O,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X,O,X
IJTZLOS,X,X,O,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X,O,X
IJTZSOL,X,O,X,X,X,X,O,X
IJTZOLS,X,X,O,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,O,X
IJTOLSZ,O,X,O,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,X,O,X,X,X,O,X
IJTOZLS,X,X,O,X,X,X,X,X
IJTOZSL,O,X,O,X,X,X,O,X
IJLTSZO,X,O,X,O,X,X,X,X
IJLTSOZ,X,O,O,O,X,X,X,X
IJLTZSO,X,O,X,O,X,X,O,X
IJLTZOS,X,X,O,O,X,X,X,X
IJLTOSZ,X,X,O,O,X,X,X,X
IJLTOZS,X,X,O,O,X,X,X,X
IJLSTZO,X,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X,X,X
IJLSZOT,X,X,X,O,X,X,X,X
IJLSOTZ,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,O,X,X,X,X
IJLZTSO,X,X,X,O,X,O,X,X
IJLZTOS,X,X,O,O,X,O,X,X
IJLZSTO,X,O,X,O,X,O,X,X
IJLZSOT,X,O,X,O,X,O,X,X
IJLZOTS,X,X,X,O,X,O,X,X
IJLZOST,X,X,X,O,X,O,X,X
IJLOTSZ,X,X,O,O,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,X,X,X,X
IJLOZTS,X,X,X,O,X,O,X,X
IJLOZST,X,X,X,O,X,O,X,X
IJSTLZO,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,O,X
IJSTZOL,O,X,X,X,X,X,O,X
IJSTOLZ,O,O,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X
IJSLTZO,X,X,X,O,X,X,X,X
IJSLTOZ,X,X,O,O,X,X,X,X
IJSLZTO,X,X,X,O,X,X,X,X
IJSLZOT,X,X,X,O,X,X,X,X
IJSLOTZ,X,X,X,O,X,X,X,X
IJSLOZT,X,X,X,O,X,X,X,X
IJSZTLO,O,X,X,X,X,X,X,O
IJSZTOL,O,X,X,X,X,X,X,O
IJSZLTO,O,X,X,X,O,X,X,O
IJSZLOT,O,X,X,X,O,X,X,O
IJSZOTL,O,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,O,X,X,O
IJSOTLZ,O,X,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,X
IJSOLZT,X,X,X,O,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X
IJZTLSO,X,X,X,X,X,O,O,X
IJZTLOS,X,X,O,X,X,O,X,X
IJZTSLO,X,O,X,X,X,X,O,X
IJZTSOL,X,X,X,X,X,O,O,X
IJZTOLS,X,X,O,X,X,O,X,X
IJZTOSL,X,X,O,X,X,O,O,X
IJZLTSO,X,X,X,X,X,O,X,X
IJZLTOS,X,X,O,X,X,O,X,X
IJZLSTO,X,O,X,X,X,O,X,X
IJZLSOT,X,O,X,X,X,O,X,X
IJZLOTS,X,X,X,X,X,O,X,X
IJZLOST,X,X,X,X,X,O,X,X
IJZSTLO,X,O,X,X,X,X,X,X
IJZSTOL,X,X,X,X,X,O,X,X
IJZSLTO,X,O,X,X,X,O,X,X
IJZSLOT,X,O,X,X,X,O,X,X
IJZSOTL,X,X,X,X,X,O,X,X
IJZSOLT,X,O,X,X,X,O,X,X
IJZOTLS,X,X,X,X,X,O,X,X
IJZOTSL,X,X,X,X,X,O,X,X
IJZOLTS,X,X,X,X,X,O,X,X
IJZOLST,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,X,X,O,X,X
IJZOSLT,X,X,X,X,X,O,X,X
IJOTLSZ,O,O,O,X,X,X,X,X
IJOTLZS,X,X,O,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,O,X
IJOTZLS,X,X,O,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,O,X
IJOLTSZ,X,O,O,O,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,X,X,X
IJOLZTS,X,X,X,O,X,O,X,X
IJOLZST,X,X,X,O,X,O,X,X
IJOSTLZ,O,O,X,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,X
IJOSLZT,X,X,X,O,X,X,X,X
IJOSZTL,O,X,X,X,X,X,O,X
IJOSZLT,O,X,X,X,O,X,O,X
IJOZTLS,X,X,X,X,X,O,X,X
IJOZTSL,X,O,X,X,X,O,X,X
IJOZLTS,X,X,X,X,X,O,X,X
IJOZLST,X,X,X,X,X,O,X,X
IJOZSTL,X,X,X,X,X,O,X,X
IJOZSLT,X,X,X,X,X,O,X,X
ISTLJZO,O,O,X,O,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,O
ISTLZOJ,O,O,X,X,X,X,X,O
ISTLOJZ,O,O,X,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,O
ISTJZOL,O,X,X,X,X,X,X,O
ISTJOLZ,O,O,O,X,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X
ISTZLJO,O,O,X,X,O,X,X,O
ISTZLOJ,O,O,X,X,O,X,X,O
ISTZJLO,O,X,X,X,X,X,X,O
ISTZJOL,O,X,X,X,X,X,X,O
ISTZOLJ,O,X,X,X,O,X,X,O
ISTZOJL,O,X,X,X,X,X,X,O
ISTOLJZ,O,O,X,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X
ISTOZLJ,O,O,X,X,O,X,X,O
ISTOZJL,O,X,X,X,X,X,X,O
ISLTJZO,O,X,X,O,X,X,X,X
ISLTJOZ,O,X,O,O,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X
