sequence,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jem6IvhFRcBSiBTfB3?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFxbBmgBCiBl?kBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFTdBifBGhBf?qBllB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je06IvhFxbB2kBzgBC?iBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFWhBTdB/kBZ?lBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFKhBGdB/kBF?gBcqBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhF0bBxcBzfBS?mBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbBTdBFgBf?qBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFOhBTdB/kBF?gBcqBqrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFfgBxbBTdBW?mBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFibBWiBUhBx?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFTdBRgBSmBX?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBxcBUgBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jei6IvhFWhBTdB3fBx?lBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFSiB/kBZlBu?lBUmBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhF6lBxhB0kBO?qB/rBFsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je5AJvhFThBmkB/kBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFxcB2kBThBS?qBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbB8lBCiBz?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeTBJvhFxkB/kB+lBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBUgBxhBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFWiB0kBxlBl?lBiqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeWCJvhFTfBxlBllB0?kBiqBXsB
TIJLSZO,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJLZOS,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJZOSL,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIJOLSZ,X,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TIJOZLS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TISLJZO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
TISLZOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISZLOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZJSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOLSJZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
TIOJZLS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZSL,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOSLJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TIOSZLJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIJZOS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
TLISZOJ,O,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIZJOS,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIZSJO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJIZOS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,O,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZIOS,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJZSIO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZSOI,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJZOSI,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJOSZI,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLJOZSI,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
TLSIJZO,O,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLSIZOJ,O,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLSZIOJ,O,X,O,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSZJOI,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,O,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZIJOS,O,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLZISJO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZISOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZJSOI,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLZJOSI,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZSIOJ,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZSJOI,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X
TLZOISJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
