sequence,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?SlBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhF+gBxdB?3fBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je06IvhF6gBxdB?2kBziBlpB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF6iBOjB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgBXeB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgB0dB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhFXeBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?qlBziBlpBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je//IvhFFbBxdB?ziB2pB0lBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF0dBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6AJvhFxdBlfB?ziBOkB8pB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6CJvhFOjBxfB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhFxdBWlB?ziB/pBlqBcqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFOkBXgB?ziBqlBUqBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBmfB?0iBTkB1qBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je09IvhFxfBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFVlBziB?2pBqlB/pBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhF0dBzfB?qlBXjBFlBWvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?ziB1pB0lBSvB
TIJLSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJSLZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TISLOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TISLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJOLZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLJSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZLJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TIZLSJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJLSO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZJLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJSLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIZJSOL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIZJOLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZOLJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLJSZ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOJSZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOSJZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIJSZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIJZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLIJOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLISJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLISJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TLISOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLIZJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIZJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLIZSJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLIZOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJIZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJZIOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJZSIO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TLSIOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLSJIZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSZJIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLSOJIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLZISJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJISO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJIOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZJSIO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLZSJIO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLZOISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLOIZJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOJISZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOZISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
