sequence,v115@FhB8BeB8DeB8CeH8AeH8Jem6IvhFfhB0cBxdBTfBSn?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeO/IvhF8fBfhB6hBxdBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jei6IvhFGcBxdB3fBUhBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeK/IvhFzaBfhBxdBGiB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jey/IvhFfhBxdBGiBTfB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Je2/IvhFShBxdBTiB3fBUh?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfB3hBTfBUi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfBUiBTfB3h?BlpB
TLJOZSI,O,X,X,O,X,O,X,X
TLSIJZO,O,O,O,O,O,X,O,O
TLSIJOZ,O,X,O,O,O,X,O,X
TLSIZJO,O,O,O,O,O,X,O,O
TLSIZOJ,O,O,O,O,X,X,X,X
TLSIOJZ,O,O,O,O,O,X,O,X
TLSIOZJ,O,O,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,X,O,X
TLSJIOZ,O,X,O,O,O,X,O,X
TLSJZIO,O,O,O,O,O,X,O,X
TLSJZOI,O,O,O,O,O,X,X,X
TLSJOIZ,O,O,O,O,O,O,O,X
TLSJOZI,O,O,O,O,O,O,X,X
TLSZIJO,O,O,O,O,O,X,O,O
TLSZIOJ,O,O,O,O,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,X
TLSOIZJ,O,O,O,O,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,X
TLSOJZI,O,O,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,X,X,X,X
TLSOZJI,O,O,O,O,X,X,X,X
TLZIJSO,O,O,O,O,O,X,O,O
TLZIJOS,X,O,X,O,X,X,X,O
TLZISJO,O,O,O,O,O,X,O,O
TLZISOJ,O,O,O,O,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,O
TLZIOSJ,O,O,X,O,X,X,X,X
TLZJISO,O,O,O,O,O,X,X,O
TLZJIOS,X,O,X,O,X,X,X,O
TLZJSIO,O,O,O,O,O,X,X,X
TLZJSOI,O,O,O,O,O,X,X,X
TLZJOIS,X,O,O,O,X,O,X,X
TLZJOSI,X,O,O,O,X,O,X,X
TLZSIJO,O,O,O,O,O,X,O,O
TLZSIOJ,O,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,O,X,O,X
TLZSJOI,O,O,O,O,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X
TLZOIJS,O,O,O,O,X,O,X,O
TLZOISJ,O,O,O,O,X,X,X,X
TLZOJIS,O,O,O,O,X,O,X,X
TLZOJSI,O,O,O,O,X,O,X,X
TLZOSIJ,O,O,O,O,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,X
TLOIJSZ,O,X,X,O,O,O,O,X
TLOIJZS,O,X,X,O,X,O,X,O
TLOISJZ,O,O,O,O,O,O,O,X
TLOISZJ,O,O,O,O,X,X,X,X
TLOIZJS,O,O,O,O,X,O,X,O
TLOIZSJ,O,O,O,O,X,X,X,X
TLOJISZ,O,X,X,O,O,O,X,X
TLOJIZS,O,X,X,O,X,O,X,X
TLOJSIZ,O,X,X,O,O,O,X,X
TLOJSZI,O,X,X,O,O,O,X,X
TLOJZIS,O,X,X,O,X,O,X,X
TLOJZSI,O,X,X,O,X,O,X,X
TLOSIJZ,O,O,O,O,O,O,O,X
TLOSIZJ,O,O,O,O,X,X,X,X
TLOSJIZ,O,O,O,O,O,O,O,X
TLOSJZI,O,O,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,X
TLOZIJS,O,O,O,O,X,O,X,O
TLOZISJ,O,O,O,O,X,X,X,X
TLOZJIS,O,O,O,O,X,O,X,X
TLOZJSI,O,O,O,O,X,O,X,X
TLOZSIJ,O,O,O,O,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X
TJILSZO,O,X,X,O,O,X,O,O
TJILSOZ,O,X,X,O,O,X,O,X
TJILZSO,O,X,X,O,O,X,O,O
TJILZOS,X,X,X,O,X,X,X,O
TJILOSZ,O,X,X,O,O,O,O,X
TJILOZS,O,X,X,O,X,O,X,O
TJISLZO,O,O,O,O,O,X,O,O
TJISLOZ,O,X,O,O,O,X,O,X
TJISZLO,O,O,O,O,O,X,O,O
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,O,X,O,O,O,O,O,X
TJISOZL,O,X,O,X,X,X,X,X
TJIZLSO,O,O,O,O,O,X,O,O
TJIZLOS,X,O,X,O,X,X,X,O
TJIZSLO,O,O,O,O,O,X,O,O
TJIZSOL,O,O,O,X,X,X,X,X
TJIZOLS,X,O,X,X,X,O,X,O
TJIZOSL,X,O,O,X,X,X,X,X
TJIOLSZ,O,X,X,O,O,O,O,X
TJIOLZS,O,X,X,O,X,O,X,O
TJIOSLZ,O,O,O,O,O,O,O,X
TJIOSZL,O,O,O,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,X,O
TJIOZSL,O,O,O,X,X,X,X,X
TJLISZO,O,X,X,O,O,X,O,O
TJLISOZ,O,X,X,O,O,X,O,X
TJLIZSO,O,X,X,O,O,X,O,O
TJLIZOS,X,X,X,O,X,X,X,O
TJLIOSZ,O,X,X,O,O,O,O,X
TJLIOZS,O,X,X,O,X,O,X,O
TJLSIZO,O,X,X,O,O,X,O,X
TJLSIOZ,O,X,X,O,O,X,O,X
TJLSZIO,O,X,X,O,O,X,O,X
TJLSZOI,O,X,X,O,O,X,X,X
TJLSOIZ,O,X,X,O,O,O,O,X
TJLSOZI,O,X,X,O,O,O,X,X
TJLZISO,O,X,X,O,O,X,X,O
TJLZIOS,X,X,X,O,X,X,X,O
TJLZSIO,O,X,X,O,O,X,X,X
TJLZSOI,O,X,X,O,O,X,X,X
TJLZOIS,X,X,X,O,X,O,X,X
TJLZOSI,X,X,X,O,X,O,X,X
TJLOISZ,O,X,X,O,O,O,X,X
TJLOIZS,O,X,X,O,X,O,X,X
TJLOSIZ,O,X,X,O,O,O,X,X
TJLOSZI,O,X,X,O,O,O,X,X
TJLOZIS,O,X,X,O,X,O,X,X
TJLOZSI,O,X,X,O,X,O,X,X
TJSILZO,O,O,O,O,O,X,O,X
TJSILOZ,O,X,O,O,O,X,O,X
TJSIZLO,O,O,O,O,O,X,O,X
TJSIZOL,O,O,O,X,X,X,X,X
TJSIOLZ,O,X,O,O,O,O,O,X
TJSIOZL,O,X,O,X,X,X,X,X
TJSLIZO,O,O,O,O,O,X,O,X
TJSLIOZ,O,X,O,O,O,X,O,X
TJSLZIO,O,O,O,O,O,X,O,X
TJSLZOI,O,O,O,O,O,X,X,X
TJSLOIZ,O,O,O,O,O,O,O,X
TJSLOZI,O,O,O,O,O,O,X,X
TJSZILO,O,O,O,O,O,X,O,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,O,O,X,O,X
TJSZLOI,O,O,O,O,O,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X
TJSOILZ,O,O,O,O,O,O,O,X
TJSOIZL,O,O,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,O,O,X
TJSOLZI,O,O,O,O,O,O,X,X
TJSOZIL,O,O,O,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X
TJZILSO,O,O,O,O,O,X,X,O
TJZILOS,X,O,X,O,X,X,X,O
TJZISLO,O,O,O,O,O,X,X,O
TJZISOL,O,O,O,X,X,X,X,X
TJZIOLS,X,O,O,X,X,O,X,O
TJZIOSL,X,O,O,X,X,X,X,X
TJZLISO,O,O,O,O,O,X,X,O
TJZLIOS,X,O,X,O,X,X,X,O
TJZLSIO,O,O,O,O,O,X,X,X
TJZLSOI,O,O,O,O,O,X,X,X
TJZLOIS,X,O,O,O,X,O,X,X
TJZLOSI,X,O,O,O,X,O,X,X
TJZSILO,O,O,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,X,X
TJZSLOI,O,O,O,O,O,X,X,X
TJZSOIL,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X,X
TJZOILS,X,O,O,X,X,O,X,X
TJZOISL,X,O,O,X,X,X,X,X
TJZOLIS,X,O,O,X,X,O,X,X
TJZOLSI,X,O,O,X,X,O,X,X
TJZOSIL,X,O,O,X,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X,X
TJOILSZ,O,X,X,O,O,O,X,X
TJOILZS,O,X,X,O,X,O,X,X
TJOISLZ,O,O,O,O,O,O,X,X
TJOISZL,O,O,O,X,X,X,X,X
TJOIZLS,O,O,O,X,X,O,X,X
TJOIZSL,O,O,O,X,X,X,X,X
TJOLISZ,O,X,X,O,O,O,X,X
TJOLIZS,O,X,X,O,X,O,X,X
TJOLSIZ,O,X,X,O,O,O,X,X
TJOLSZI,O,X,X,O,O,O,X,X
TJOLZIS,O,X,X,O,X,O,X,X
TJOLZSI,O,X,X,O,X,O,X,X
TJOSILZ,O,O,O,O,O,O,X,X
TJOSIZL,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,O,X,X
TJOSLZI,O,O,O,O,O,O,X,X
TJOSZIL,O,O,O,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X
TJOZILS,O,O,O,X,X,O,X,X
TJOZISL,O,O,O,X,X,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X
TJOZLSI,O,O,O,X,X,O,X,X
TJOZSIL,O,O,O,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X
TSILJZO,O,O,O,O,O,X,O,O
TSILJOZ,O,X,O,O,O,X,O,X
TSILZJO,O,O,O,O,O,X,O,O
TSILZOJ,O,O,O,O,X,X,X,X
TSILOJZ,O,O,O,O,O,X,O,X
TSILOZJ,O,O,O,O,X,X,X,X
TSIJLZO,O,O,O,O,O,X,O,O
TSIJLOZ,O,X,O,O,O,X,O,X
TSIJZLO,O,O,O,O,O,X,O,O
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,O,X,O,O,O,O,O,X
TSIJOZL,O,X,O,X,X,X,X,X
TSIZLJO,O,O,O,O,O,X,O,O
TSIZLOJ,O,O,O,O,X,X,X,X
TSIZJLO,O,O,O,O,O,X,O,O
TSIZJOL,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,O,O,O,O,X
TSIOLZJ,O,O,O,O,X,X,X,X
TSIOJLZ,O,O,O,O,O,O,O,X
TSIOJZL,O,O,O,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,O,X,O,O
TSLIJOZ,O,X,O,O,O,X,O,X
TSLIZJO,O,O,O,O,O,X,O,O
TSLIZOJ,O,O,O,O,X,X,X,X
TSLIOJZ,O,O,O,O,O,X,O,X
TSLIOZJ,O,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,O,X,O,X
TSLJIOZ,O,X,O,O,O,X,O,X
TSLJZIO,O,O,O,O,O,X,O,X
TSLJZOI,O,O,O,O,O,X,X,X
TSLJOIZ,O,O,O,O,O,O,O,X
TSLJOZI,O,O,O,O,O,O,X,X
