sequence,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBzhBtnByq?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFqkBTgBmhBtnBXm?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBzhBtnBXl?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBtmB0iByq?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeT/IvhF/lBRhBtnB2rBip?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtmB0iBXl?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtnBXlBzm?BUsB
TLSJOZI,O,O,O,O,O,X,O
TLSZIJO,O,O,O,O,X,X,O
TLSZIOJ,O,O,X,O,O,X,O
TLSZJIO,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,X,O
TLSZOIJ,O,O,X,O,O,X,O
TLSZOJI,O,O,X,O,O,X,O
TLSOIJZ,O,O,O,O,O,X,O
TLSOIZJ,O,O,X,O,O,X,O
TLSOJIZ,O,O,O,O,O,X,O
TLSOJZI,O,O,O,O,O,X,O
TLSOZIJ,O,O,X,O,O,X,O
TLSOZJI,O,O,X,O,O,X,O
TLZIJSO,O,O,X,O,X,O,X
TLZIJOS,O,O,X,O,X,X,X
TLZISJO,O,O,X,O,X,X,X
TLZISOJ,O,O,X,O,X,X,X
TLZIOJS,O,O,X,O,X,X,X
TLZIOSJ,O,O,X,O,X,X,X
TLZJISO,O,O,X,O,X,O,X
TLZJIOS,O,O,X,O,X,X,X
TLZJSIO,O,O,X,O,O,O,X
TLZJSOI,O,O,X,O,O,O,X
TLZJOIS,O,O,X,O,X,X,X
TLZJOSI,O,O,X,O,O,X,X
TLZSIJO,O,O,X,O,X,X,X
TLZSIOJ,O,O,X,O,O,X,X
TLZSJIO,O,O,X,O,O,X,X
TLZSJOI,O,O,X,O,O,X,X
TLZSOIJ,O,O,X,O,O,X,X
TLZSOJI,O,O,X,O,O,X,X
TLZOIJS,O,O,X,O,X,X,X
TLZOISJ,O,O,X,O,X,X,X
TLZOJIS,O,O,X,O,X,X,X
TLZOJSI,O,O,X,O,O,X,X
TLZOSIJ,O,O,X,O,O,X,X
TLZOSJI,O,O,X,O,O,X,X
TLOIJSZ,O,O,X,O,O,X,O
TLOIJZS,O,X,X,O,X,X,X
TLOISJZ,O,O,X,O,O,X,O
TLOISZJ,O,O,X,O,O,X,O
TLOIZJS,O,O,X,O,X,X,X
TLOIZSJ,O,O,X,O,X,X,X
TLOJISZ,O,O,X,O,O,X,O
TLOJIZS,O,X,X,O,X,X,X
TLOJSIZ,O,O,X,O,O,X,O
TLOJSZI,O,O,X,O,O,X,O
TLOJZIS,O,X,X,O,X,X,X
TLOJZSI,O,X,X,O,O,X,X
TLOSIJZ,O,O,X,O,O,X,O
TLOSIZJ,O,O,X,O,O,X,O
TLOSJIZ,O,O,X,O,O,X,O
TLOSJZI,O,O,X,O,O,X,O
TLOSZIJ,O,O,X,O,O,X,O
TLOSZJI,O,O,X,O,O,X,O
TLOZIJS,O,O,X,O,X,X,X
TLOZISJ,O,O,X,O,X,X,X
TLOZJIS,O,O,X,O,X,X,X
TLOZJSI,O,O,X,O,O,X,X
TLOZSIJ,O,O,X,O,O,X,X
TLOZSJI,O,O,X,O,O,X,X
TJILSZO,O,O,O,O,O,O,O
TJILSOZ,O,O,O,O,O,O,O
TJILZSO,O,X,O,O,X,O,X
TJILZOS,O,X,O,O,X,X,X
TJILOSZ,O,O,X,O,O,X,O
TJILOZS,O,X,X,O,X,X,X
TJISLZO,O,O,O,O,O,O,O
TJISLOZ,O,O,O,O,O,O,O
TJISZLO,X,O,O,O,O,O,O
TJISZOL,X,X,O,X,X,O,O
TJISOLZ,X,O,O,X,O,O,O
TJISOZL,X,X,O,X,X,O,O
TJIZLSO,O,X,O,O,X,O,X
TJIZLOS,O,X,O,O,X,X,X
TJIZSLO,O,X,O,O,O,O,O
TJIZSOL,O,X,O,X,X,O,O
TJIZOLS,O,X,O,O,X,X,X
TJIZOSL,O,X,O,X,X,O,O
TJIOLSZ,O,X,X,O,X,O,O
TJIOLZS,O,X,X,O,X,O,X
TJIOSLZ,X,X,O,O,O,O,O
TJIOSZL,X,X,O,O,X,O,O
TJIOZLS,X,X,O,O,X,O,X
TJIOZSL,X,X,O,O,X,O,O
TJLISZO,O,O,O,O,O,O,O
TJLISOZ,O,O,O,O,O,O,O
TJLIZSO,O,X,O,O,X,O,X
TJLIZOS,O,X,O,O,X,X,X
TJLIOSZ,O,O,X,O,O,X,O
TJLIOZS,O,X,X,O,X,X,X
TJLSIZO,O,O,O,O,O,O,O
TJLSIOZ,O,O,O,O,O,O,O
TJLSZIO,O,O,O,O,O,O,O
TJLSZOI,O,O,O,O,O,O,O
TJLSOIZ,O,O,O,O,O,O,O
TJLSOZI,O,O,O,O,O,O,O
TJLZISO,O,X,O,O,X,O,X
TJLZIOS,O,X,O,O,X,X,X
TJLZSIO,O,X,O,O,O,O,X
TJLZSOI,O,X,O,O,O,O,X
TJLZOIS,O,X,O,O,X,X,X
TJLZOSI,O,X,O,O,O,X,X
TJLOISZ,O,O,X,O,O,X,O
TJLOIZS,O,X,X,O,X,X,X
TJLOSIZ,O,O,X,O,O,X,O
TJLOSZI,O,O,X,O,O,X,O
TJLOZIS,O,X,X,O,X,X,X
TJLOZSI,O,X,X,O,O,X,X
TJSILZO,O,O,O,O,O,O,O
TJSILOZ,O,O,O,O,O,O,O
TJSIZLO,X,O,O,O,O,O,O
TJSIZOL,X,X,O,X,X,O,O
TJSIOLZ,X,O,O,X,O,O,O
TJSIOZL,X,X,O,X,X,O,O
TJSLIZO,O,O,O,O,O,O,O
TJSLIOZ,O,O,O,O,O,O,O
TJSLZIO,O,O,O,O,O,O,O
TJSLZOI,O,O,O,O,O,O,O
TJSLOIZ,O,O,O,O,O,O,O
TJSLOZI,O,O,O,O,O,O,O
TJSZILO,X,O,O,O,O,O,O
TJSZIOL,X,X,O,X,X,O,O
TJSZLIO,X,O,O,O,O,O,O
TJSZLOI,X,O,O,O,O,O,O
TJSZOIL,X,X,O,X,X,O,O
TJSZOLI,X,O,O,X,X,O,O
TJSOILZ,X,O,O,X,O,O,O
TJSOIZL,X,X,O,X,X,O,O
TJSOLIZ,X,O,O,X,O,O,O
TJSOLZI,X,O,O,X,O,O,O
TJSOZIL,X,X,O,X,X,O,O
TJSOZLI,X,O,O,X,X,O,O
TJZILSO,O,X,O,O,X,O,X
TJZILOS,O,X,O,O,X,X,X
TJZISLO,O,X,O,O,O,O,O
TJZISOL,O,X,O,X,X,O,O
TJZIOLS,O,X,O,O,X,X,X
TJZIOSL,O,X,O,X,X,O,O
TJZLISO,O,X,O,O,X,O,X
TJZLIOS,O,X,O,O,X,X,X
TJZLSIO,O,X,O,O,O,O,X
TJZLSOI,O,X,O,O,O,O,X
TJZLOIS,O,X,O,O,X,X,X
TJZLOSI,O,X,O,O,O,X,X
TJZSILO,O,X,O,O,O,O,O
TJZSIOL,O,X,O,X,X,O,O
TJZSLIO,O,X,O,O,O,O,O
TJZSLOI,O,X,O,O,O,O,O
TJZSOIL,O,X,O,X,X,O,O
TJZSOLI,O,X,O,X,X,O,O
TJZOILS,O,X,O,O,X,X,X
TJZOISL,O,X,O,X,X,O,O
TJZOLIS,O,X,O,O,X,X,X
TJZOLSI,O,X,O,O,X,X,X
TJZOSIL,O,X,O,X,X,O,O
TJZOSLI,O,X,O,X,X,O,O
TJOILSZ,O,X,X,O,X,O,O
TJOILZS,O,X,X,O,X,O,X
TJOISLZ,X,X,O,O,O,O,O
TJOISZL,X,X,O,O,X,O,O
TJOIZLS,X,X,O,O,X,O,X
TJOIZSL,X,X,O,O,X,O,O
TJOLISZ,O,X,X,O,O,O,O
TJOLIZS,O,X,X,O,X,O,X
TJOLSIZ,O,X,X,O,O,O,O
TJOLSZI,O,X,X,O,O,O,O
TJOLZIS,O,X,X,O,X,O,X
TJOLZSI,O,X,X,O,O,O,X
TJOSILZ,X,X,O,O,O,O,O
TJOSIZL,X,X,O,O,X,O,O
TJOSLIZ,X,X,O,O,O,O,O
TJOSLZI,X,X,O,O,O,O,O
TJOSZIL,X,X,O,O,X,O,O
TJOSZLI,X,X,O,O,X,O,O
TJOZILS,X,X,O,O,X,O,X
TJOZISL,X,X,O,O,X,O,O
TJOZLIS,X,X,O,O,X,O,X
TJOZLSI,X,X,O,O,X,O,X
TJOZSIL,X,X,O,O,X,O,O
TJOZSLI,X,X,O,O,X,O,O
TSILJZO,O,O,O,O,O,O,O
TSILJOZ,O,O,O,O,O,O,O
TSILZJO,O,O,O,O,X,X,O
TSILZOJ,O,O,O,O,O,X,O
TSILOJZ,O,O,O,O,O,O,O
TSILOZJ,O,O,X,O,O,X,O
TSIJLZO,O,O,O,O,O,O,O
TSIJLOZ,O,O,O,O,O,O,O
TSIJZLO,X,O,O,O,O,O,O
TSIJZOL,X,X,O,X,X,O,O
TSIJOLZ,X,O,O,X,O,O,O
TSIJOZL,X,X,O,X,X,O,O
TSIZLJO,X,O,O,O,X,X,O
TSIZLOJ,X,O,O,O,O,X,O
TSIZJLO,X,O,O,O,X,O,O
TSIZJOL,X,O,O,X,X,O,O
TSIZOLJ,X,O,O,X,X,X,O
TSIZOJL,X,O,O,X,X,X,O
TSIOLJZ,X,O,O,X,O,O,O
TSIOLZJ,X,O,X,X,O,X,O
TSIOJLZ,X,O,O,X,X,O,O
TSIOJZL,X,X,O,X,X,O,O
TSIOZLJ,X,X,X,X,X,X,O
TSIOZJL,X,X,X,X,X,X,O
TSLIJZO,O,O,O,O,O,O,O
TSLIJOZ,O,O,O,O,O,O,O
TSLIZJO,O,O,O,O,X,X,O
TSLIZOJ,O,O,O,O,O,X,O
TSLIOJZ,O,O,O,O,O,O,O
TSLIOZJ,O,O,X,O,O,X,O
TSLJIZO,O,O,O,O,O,O,O
TSLJIOZ,O,O,O,O,O,O,O
TSLJZIO,O,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O,O
TSLJOIZ,O,O,O,O,O,O,O
TSLJOZI,O,O,O,O,O,O,O
TSLZIJO,O,O,O,O,X,X,O
TSLZIOJ,O,O,O,O,O,X,O
TSLZJIO,O,O,O,O,O,X,O
TSLZJOI,O,O,O,O,O,X,O
TSLZOIJ,O,O,O,O,O,X,O
TSLZOJI,O,O,O,O,O,X,O
TSLOIJZ,O,O,O,O,O,O,O
TSLOIZJ,O,O,X,O,O,X,O
TSLOJIZ,O,O,O,O,O,O,O
TSLOJZI,O,O,O,O,O,O,O
TSLOZIJ,O,O,X,O,O,X,O
TSLOZJI,O,O,X,O,O,X,O
TSJILZO,O,O,O,O,O,O,O
TSJILOZ,O,O,O,O,O,O,O
TSJIZLO,X,O,O,O,O,O,O
TSJIZOL,X,X,O,X,X,O,O
TSJIOLZ,X,O,O,X,O,O,O
TSJIOZL,X,X,O,X,X,O,O
TSJLIZO,O,O,O,O,O,O,O
TSJLIOZ,O,O,O,O,O,O,O
TSJLZIO,O,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O,O
TSJLOIZ,O,O,O,O,O,O,O
TSJLOZI,O,O,O,O,O,O,O
TSJZILO,X,O,O,O,O,O,O
TSJZIOL,X,X,O,X,X,O,O
TSJZLIO,X,O,O,O,O,O,O
TSJZLOI,X,O,O,O,O,O,O
TSJZOIL,X,X,O,X,X,O,O
TSJZOLI,X,O,O,X,X,O,O
TSJOILZ,X,O,O,X,O,O,O
TSJOIZL,X,X,O,X,X,O,O
TSJOLIZ,X,O,O,X,O,O,O
TSJOLZI,X,O,O,X,O,O,O
TSJOZIL,X,X,O,X,X,O,O
TSJOZLI,X,O,O,X,X,O,O
TSZILJO,X,O,O,O,X,X,O
TSZILOJ,X,O,O,O,O,X,O
TSZIJLO,X,O,O,O,X,O,O
TSZIJOL,X,O,O,X,X,O,O
TSZIOLJ,X,O,O,X,X,X,O
TSZIOJL,X,O,O,X,X,X,O
TSZLIJO,X,O,O,O,X,X,O
TSZLIOJ,X,O,O,O,O,X,O
TSZLJIO,X,O,O,O,O,X,O
TSZLJOI,X,O,O,O,O,X,O
TSZLOIJ,X,O,O,O,O,X,O
TSZLOJI,X,O,O,O,O,X,O
TSZJILO,X,O,O,O,O,O,O
TSZJIOL,X,O,O,X,X,O,O
TSZJLIO,X,O,O,O,O,O,O
TSZJLOI,X,O,O,O,O,O,O
TSZJOIL,X,O,O,X,X,O,O
TSZJOLI,X,O,O,X,X,O,O
TSZOILJ,X,O,O,X,X,X,O
TSZOIJL,X,O,O,X,X,X,O
TSZOLIJ,X,O,O,X,X,X,O
TSZOLJI,X,O,O,X,X,X,O
TSZOJIL,X,O,O,X,X,X,O
TSZOJLI,X,O,O,X,X,X,O
TSOILJZ,X,O,O,X,O,O,O
TSOILZJ,X,O,X,X,O,X,O
TSOIJLZ,X,O,O,X,X,O,O
TSOIJZL,X,X,O,X,X,O,O
TSOIZLJ,X,X,X,X,X,X,O
TSOIZJL,X,X,X,X,X,X,O
TSOLIJZ,X,O,O,X,O,O,O
TSOLIZJ,X,O,X,X,O,X,O
TSOLJIZ,X,O,O,X,O,O,O
TSOLJZI,X,O,O,X,O,O,O
TSOLZIJ,X,O,X,X,O,X,O
TSOLZJI,X,O,X,X,O,X,O
TSOJILZ,X,O,O,X,O,O,O
TSOJIZL,X,X,O,X,X,O,O
TSOJLIZ,X,O,O,X,O,O,O
TSOJLZI,X,O,O,X,O,O,O
TSOJZIL,X,X,O,X,X,O,O
TSOJZLI,X,O,O,X,X,O,O
TSOZILJ,X,O,X,X,X,X,O
TSOZIJL,X,O,X,X,X,X,O
TSOZLIJ,X,O,X,X,X,X,O
TSOZLJI,X,O,X,X,X,X,O
TSOZJIL,X,O,X,X,X,X,O
TSOZJLI,X,O,X,X,X,X,O
TZILJSO,O,O,O,O,X,O,X
TZILJOS,O,O,O,O,X,X,X
TZILSJO,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,X,X,X
TZILOJS,O,O,O,O,X,X,X
TZILOSJ,O,O,X,O,X,X,X
TZIJLSO,O,O,O,O,X,O,X
TZIJLOS,O,O,O,O,X,X,X
TZIJSLO,O,O,O,O,X,O,O
TZIJSOL,O,O,O,X,X,O,O
TZIJOLS,O,O,O,O,X,X,X
TZIJOSL,O,O,O,X,X,O,O
TZISLJO,O,O,O,O,X,X,O
TZISLOJ,O,O,O,O,X,X,O
TZISJLO,O,O,O,O,X,O,O
TZISJOL,O,O,O,X,X,O,O
TZISOLJ,O,O,O,X,X,X,O
TZISOJL,O,O,O,X,X,X,O
TZIOLJS,O,O,O,O,X,X,X
TZIOLSJ,O,O,X,O,X,X,X
TZIOJLS,O,O,O,O,X,X,X
TZIOJSL,O,O,O,X,X,O,O
TZIOSLJ,O,O,O,X,X,X,O
TZIOSJL,O,O,O,X,X,X,O
TZLIJSO,O,O,O,O,X,O,X
TZLIJOS,O,O,O,O,X,X,X
TZLISJO,O,O,O,O,X,X,X
TZLISOJ,O,O,O,O,X,X,X
TZLIOJS,O,O,O,O,X,X,X
TZLIOSJ,O,O,X,O,X,X,X
TZLJISO,O,O,O,O,X,O,X
TZLJIOS,O,O,O,O,X,X,X
TZLJSIO,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,X
TZLJOIS,O,O,O,O,X,X,X
TZLJOSI,O,O,O,O,O,X,X
TZLSIJO,O,O,O,O,X,X,X
TZLSIOJ,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,O,X,X
TZLSJOI,O,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,O,X,X
TZLSOJI,O,O,O,O,O,X,X
TZLOIJS,O,O,O,O,X,X,X
TZLOISJ,O,O,X,O,X,X,X
TZLOJIS,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,O,X,X
TZLOSIJ,O,O,X,O,O,X,X
TZLOSJI,O,O,X,O,O,X,X
TZJILSO,O,O,O,O,X,O,X
TZJILOS,O,O,O,O,X,X,X
TZJISLO,O,O,O,O,O,O,O
TZJISOL,O,O,O,X,X,O,O
TZJIOLS,O,O,O,O,X,X,X
TZJIOSL,O,O,O,X,X,O,O
TZJLISO,O,O,O,O,X,O,X
TZJLIOS,O,O,O,O,X,X,X
TZJLSIO,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,X,X,X
TZJLOSI,O,O,O,O,O,X,X
TZJSILO,O,O,O,O,O,O,O
TZJSIOL,O,O,O,X,X,O,O
TZJSLIO,O,O,O,O,O,O,O
TZJSLOI,O,O,O,O,O,O,O
TZJSOIL,O,O,O,X,X,O,O
TZJSOLI,O,O,O,X,X,O,O
TZJOILS,O,O,O,O,X,X,X
TZJOISL,O,O,O,X,X,O,O
TZJOLIS,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,X,X,X
TZJOSIL,O,O,O,X,X,O,O
TZJOSLI,O,O,O,X,X,O,O
TZSILJO,O,O,O,O,X,X,O
TZSILOJ,O,O,O,O,O,X,O
TZSIJLO,O,O,O,O,X,O,O
TZSIJOL,O,O,O,X,X,O,O
TZSIOLJ,O,O,O,X,X,X,O
TZSIOJL,O,O,O,X,X,X,O
TZSLIJO,O,O,O,O,X,X,O
TZSLIOJ,O,O,O,O,O,X,O
TZSLJIO,O,O,O,O,O,X,O
TZSLJOI,O,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,O,X,O
TZSLOJI,O,O,O,O,O,X,O
TZSJILO,O,O,O,O,O,O,O
TZSJIOL,O,O,O,X,X,O,O
TZSJLIO,O,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O,O
TZSJOIL,O,O,O,X,X,O,O
TZSJOLI,O,O,O,X,X,O,O
TZSOILJ,O,O,O,X,X,X,O
TZSOIJL,O,O,O,X,X,X,O
TZSOLIJ,O,O,O,X,X,X,O
TZSOLJI,O,O,O,X,X,X,O
TZSOJIL,O,O,O,X,X,X,O
TZSOJLI,O,O,O,X,X,X,O
TZOILJS,O,O,O,O,X,X,X
TZOILSJ,O,O,X,O,X,X,X
TZOIJLS,O,O,O,O,X,X,X
TZOIJSL,O,O,O,X,X,O,O
TZOISLJ,O,O,O,X,X,X,O
TZOISJL,O,O,O,X,X,X,O
TZOLIJS,O,O,O,O,X,X,X
TZOLISJ,O,O,X,O,X,X,X
TZOLJIS,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,X,X,X
TZOLSIJ,O,O,X,O,X,X,X
TZOLSJI,O,O,X,O,X,X,X
TZOJILS,O,O,O,O,X,X,X
TZOJISL,O,O,O,X,X,O,O
TZOJLIS,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,X,X,X
TZOJSIL,O,O,O,X,X,O,O
TZOJSLI,O,O,O,X,X,O,O
TZOSILJ,O,O,O,X,X,X,O
TZOSIJL,O,O,O,X,X,X,O
TZOSLIJ,O,O,O,X,X,X,O
TZOSLJI,O,O,O,X,X,X,O
TZOSJIL,O,O,O,X,X,X,O
TZOSJLI,O,O,O,X,X,X,O
TOILJSZ,O,O,X,O,X,O,O
TOILJZS,O,X,X,O,X,O,X
