sequence,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFzbBUdBajB2lBfnBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFUcBajBTgBOnB3hBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhF3bBUdBajBllBzmBOrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFcgBajBThBOnBfrBlrB
TLOZISJ,X,X,O,X
TLOZJIS,X,X,X,X
TLOZJSI,X,X,X,X
TLOZSIJ,X,X,O,X
TLOZSJI,X,X,X,X
TJILSZO,O,X,X,X
TJILSOZ,O,X,X,X
TJILZSO,X,X,X,X
TJILZOS,X,X,X,X
TJILOSZ,O,X,X,X
TJILOZS,X,O,X,X
TJISLZO,O,X,X,X
TJISLOZ,O,X,X,X
TJISZLO,O,X,X,X
TJISZOL,O,X,X,X
TJISOLZ,O,X,X,X
TJISOZL,O,X,X,X
TJIZLSO,X,X,X,X
TJIZLOS,X,X,X,X
TJIZSLO,X,X,X,X
TJIZSOL,X,X,X,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,X
TJIOLSZ,O,X,X,X
TJIOLZS,X,O,X,X
TJIOSLZ,O,X,X,X
TJIOSZL,O,X,X,X
TJIOZLS,X,O,X,X
TJIOZSL,X,X,X,X
TJLISZO,O,X,X,X
TJLISOZ,O,X,X,X
TJLIZSO,X,X,X,X
TJLIZOS,X,X,X,X
TJLIOSZ,O,X,X,X
TJLIOZS,X,O,X,X
TJLSIZO,O,X,X,X
TJLSIOZ,O,X,X,X
TJLSZIO,O,X,X,X
TJLSZOI,O,X,X,X
TJLSOIZ,O,X,X,X
TJLSOZI,O,X,X,X
TJLZISO,X,X,X,X
TJLZIOS,X,X,X,X
TJLZSIO,X,X,X,X
TJLZSOI,X,X,X,X
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,X
TJLOISZ,O,X,X,X
TJLOIZS,X,O,X,X
TJLOSIZ,O,X,X,X
TJLOSZI,O,X,X,X
TJLOZIS,X,O,X,X
TJLOZSI,X,X,X,X
TJSILZO,O,X,X,X
TJSILOZ,O,X,X,X
TJSIZLO,O,X,X,X
TJSIZOL,O,X,X,X
TJSIOLZ,O,X,X,X
TJSIOZL,O,X,X,X
TJSLIZO,O,X,X,X
TJSLIOZ,O,X,X,X
TJSLZIO,O,X,X,X
