sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
TLSZOIJ,O,X,O,X,O,X,X,O,O,X
TLSZOJI,X,X,O,X,X,X,X,O,O,X
TLSOIJZ,X,X,X,X,O,X,X,X,X,X
TLSOIZJ,X,X,X,X,O,X,X,O,O,X
TLSOJIZ,X,X,X,X,O,X,X,X,X,X
TLSOJZI,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,O,X,O,X,X,O,O,X
TLSOZJI,X,X,O,X,X,X,X,O,O,X
TLZIJSO,X,O,X,X,X,O,O,O,O,X
TLZIJOS,O,O,X,X,X,O,O,X,O,X
TLZISJO,O,O,O,X,X,O,X,O,O,X
TLZISOJ,O,X,O,X,X,X,O,O,O,X
TLZIOJS,O,O,X,O,X,O,O,X,O,X
TLZIOSJ,O,X,X,O,X,X,O,X,O,X
TLZJISO,X,O,X,X,X,O,O,O,O,X
TLZJIOS,O,O,X,X,X,O,O,X,O,X
TLZJSIO,X,O,X,X,X,O,O,O,O,X
TLZJSOI,X,O,X,X,X,O,X,O,O,X
TLZJOIS,X,O,X,X,X,O,O,X,O,X
TLZJOSI,X,O,X,X,X,O,X,X,O,X
TLZSIJO,O,O,O,X,X,O,X,O,O,X
TLZSIOJ,O,X,O,X,X,X,O,O,O,X
TLZSJIO,O,O,O,X,X,O,X,O,O,X
TLZSJOI,X,O,O,X,X,O,X,O,O,X
TLZSOIJ,O,X,O,X,X,X,X,O,O,X
TLZSOJI,X,X,O,X,X,X,X,O,O,X
TLZOIJS,O,O,X,O,X,O,O,X,O,X
TLZOISJ,O,X,X,O,X,X,O,X,O,X
TLZOJIS,O,O,X,O,X,O,O,X,O,X
TLZOJSI,O,O,X,O,X,O,O,X,O,X
TLZOSIJ,O,X,X,O,X,X,O,X,O,X
TLZOSJI,O,X,X,O,X,X,O,X,O,X
TLOIJSZ,X,X,X,X,X,O,O,O,X,X
TLOIJZS,X,X,X,X,X,O,O,X,X,X
TLOISJZ,O,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,O,O,O,X
TLOIZJS,O,X,X,O,X,O,O,X,O,X
TLOIZSJ,O,X,X,O,X,X,O,X,O,X
TLOJISZ,X,X,X,X,X,O,O,O,X,X
TLOJIZS,X,O,X,X,X,O,O,X,X,X
TLOJSIZ,O,X,X,X,X,O,O,O,X,X
TLOJSZI,O,O,X,X,X,O,O,O,X,X
TLOJZIS,O,O,X,O,X,O,O,X,X,X
TLOJZSI,O,O,X,O,X,O,O,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,O,O,O,X
TLOSJIZ,O,X,X,X,O,X,O,X,X,X
TLOSJZI,O,X,X,X,X,X,O,X,X,X
TLOSZIJ,O,X,X,O,O,X,O,O,O,X
TLOSZJI,O,X,X,O,X,X,O,O,O,X
TLOZIJS,O,O,X,O,X,O,O,X,O,X
TLOZISJ,O,X,X,O,X,X,O,X,O,X
TLOZJIS,O,O,X,O,X,O,O,X,O,X
TLOZJSI,O,O,X,O,X,O,O,X,O,X
TLOZSIJ,O,X,X,O,X,X,O,X,O,X
TLOZSJI,O,X,X,O,X,X,O,X,O,X
TJILSZO,X,X,X,X,O,O,O,O,X,X
TJILSOZ,X,X,X,X,O,O,X,O,X,X
TJILZSO,X,O,X,X,O,O,O,O,X,X
TJILZOS,X,O,X,X,O,O,O,X,X,X
TJILOSZ,X,X,X,X,O,O,O,O,X,X
TJILOZS,X,O,X,X,X,O,O,X,X,X
TJISLZO,X,X,O,X,O,X,O,O,X,X
TJISLOZ,X,X,X,X,O,X,X,O,X,X
TJISZLO,X,X,O,X,O,X,O,O,O,X
TJISZOL,X,X,O,X,O,O,O,X,O,X
