sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
ILJTZSO,X,O,X,X,O,O,O,O,O,X
ILJTZOS,X,O,X,X,O,O,O,X,O,X
ILJTOSZ,X,X,X,X,O,O,X,O,X,X
ILJTOZS,X,O,X,X,X,O,O,X,X,X
ILJSTZO,X,X,O,X,O,X,X,O,X,X
ILJSTOZ,X,X,X,X,O,X,X,O,X,X
ILJSZTO,X,O,O,X,O,X,X,X,X,X
ILJSZOT,X,O,O,X,O,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,X,X,X,X
ILJSOZT,X,O,O,X,O,X,X,X,X,X
ILJZTSO,X,O,O,X,X,O,O,O,O,X
ILJZTOS,X,O,X,O,X,O,O,X,O,X
ILJZSTO,X,O,O,X,O,X,O,X,O,X
ILJZSOT,X,O,O,X,O,O,O,X,X,X
ILJZOTS,X,O,X,O,X,O,O,X,O,X
ILJZOST,X,O,X,O,O,O,O,X,X,X
ILJOTSZ,X,X,X,X,X,O,X,O,X,X
ILJOTZS,X,O,X,O,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,O,X,O,O,X,X,X,X,X
ILJOZTS,X,O,X,O,X,O,X,X,X,X
ILJOZST,X,O,X,O,X,O,X,X,X,X
ILSTJZO,X,X,O,X,O,X,X,O,O,X
ILSTJOZ,X,X,X,X,O,X,X,O,X,X
ILSTZJO,O,X,O,X,O,X,X,O,O,X
ILSTZOJ,O,X,O,X,O,X,X,O,O,X
ILSTOJZ,X,X,X,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,X,O,X,X,O,O,X
ILSJTZO,X,X,O,X,O,X,X,O,X,X
ILSJTOZ,X,X,X,X,O,X,X,O,X,X
ILSJZTO,X,O,O,X,O,X,X,X,X,X
ILSJZOT,X,O,O,X,O,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X
ILSJOZT,X,O,O,X,O,X,X,X,X,X
ILSZTJO,O,O,O,X,O,X,X,X,O,X
ILSZTOJ,O,X,O,X,O,X,X,X,O,X
ILSZJTO,O,O,O,X,O,X,X,X,O,X
ILSZJOT,O,O,O,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,O,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,O,X,X,X,X,X
ILSOJZT,X,X,O,X,O,X,X,X,X,X
ILSOZTJ,X,X,O,X,O,X,X,X,X,X
ILSOZJT,X,X,O,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,O,O,O,O,X
ILZTJOS,O,O,X,X,X,O,O,X,O,X
ILZTSJO,O,O,O,X,X,O,X,O,O,X
ILZTSOJ,O,X,O,X,X,X,O,O,O,X
ILZTOJS,O,O,X,O,X,O,O,X,O,X
ILZTOSJ,O,X,X,O,X,X,O,X,O,X
ILZJTSO,X,O,O,X,X,O,O,O,O,X
ILZJTOS,O,O,X,O,X,O,O,X,O,X
ILZJSTO,O,O,O,X,X,X,O,X,O,X
ILZJSOT,O,O,O,X,X,O,O,X,X,X
ILZJOTS,O,O,X,O,X,O,O,X,O,X
ILZJOST,O,O,X,O,X,O,O,X,X,X
ILZSTJO,O,O,O,X,X,X,X,X,O,X
ILZSTOJ,O,X,O,X,X,X,O,X,O,X
ILZSJTO,O,O,O,X,X,X,O,X,O,X
ILZSJOT,O,O,O,X,X,O,O,X,X,X
ILZSOTJ,O,X,O,X,X,X,O,X,X,X
ILZSOJT,O,X,O,X,X,X,O,X,X,X
ILZOTJS,O,O,X,O,X,X,O,X,O,X
ILZOTSJ,O,X,X,O,X,X,O,X,O,X
ILZOJTS,O,O,X,O,X,O,O,X,O,X
ILZOJST,O,O,X,O,X,O,O,X,X,X
ILZOSTJ,O,X,X,O,X,X,O,X,X,X
ILZOSJT,O,X,X,O,X,X,O,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X,X,O,O,X
ILOTZJS,X,X,X,O,X,X,X,X,O,X
ILOTZSJ,X,X,X,O,X,X,X,X,O,X
ILOJTSZ,X,X,X,X,X,X,X,O,X,X
ILOJTZS,X,O,X,O,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,X,X,X
ILOJSZT,X,O,X,O,X,X,X,X,X,X
ILOJZTS,X,O,X,O,X,X,X,X,X,X
ILOJZST,X,O,X,O,X,X,X,X,X,X
ILOSTJZ,X,X,X,X,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,X,O,X,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X,X,X
ILOSZTJ,X,X,X,O,O,X,X,X,X,X
ILOSZJT,X,X,X,O,X,X,X,X,X,X
ILOZTJS,X,O,X,O,X,X,X,X,O,X
ILOZTSJ,X,X,X,O,X,X,X,X,O,X
ILOZJTS,X,O,X,O,X,X,X,X,O,X
ILOZJST,X,O,X,O,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X,X,X
IJTLSZO,X,X,X,X,O,O,O,O,X,X
IJTLSOZ,X,X,X,X,O,O,X,O,X,X
IJTLZSO,X,O,X,X,O,O,O,O,X,X
IJTLZOS,X,O,X,X,O,O,O,X,X,X
IJTLOSZ,X,X,X,X,O,O,O,O,X,X
IJTLOZS,X,O,X,X,X,O,O,X,X,X
IJTSLZO,X,X,O,X,O,X,O,O,X,X
IJTSLOZ,X,X,X,X,O,X,X,O,X,X
IJTSZLO,X,X,O,X,O,X,O,O,O,X
IJTSZOL,X,X,O,X,O,O,O,X,O,X
IJTSOLZ,X,X,X,X,O,X,O,O,X,X
IJTSOZL,X,X,X,X,O,O,O,X,X,X
IJTZLSO,X,O,O,X,O,O,O,O,O,X
IJTZLOS,X,O,X,O,O,O,O,X,X,X
IJTZSLO,X,X,O,X,O,X,O,O,O,X
IJTZSOL,X,O,O,O,O,O,O,X,O,X
IJTZOLS,X,O,X,O,O,O,O,X,X,X
IJTZOSL,X,O,O,O,O,O,O,X,O,X
IJTOLSZ,X,X,X,X,O,O,O,O,X,X
IJTOLZS,X,O,X,O,X,O,O,X,X,X
IJTOSLZ,X,X,X,X,O,X,O,O,X,X
IJTOSZL,X,X,X,X,O,O,O,X,X,X
IJTOZLS,X,O,X,O,O,O,O,X,X,X
IJTOZSL,X,O,X,O,O,O,O,X,X,X
IJLTSZO,X,X,X,X,O,O,O,O,O,X
IJLTSOZ,X,X,X,X,O,O,X,O,X,X
IJLTZSO,X,O,X,X,O,O,O,O,O,X
IJLTZOS,X,O,X,X,O,O,O,X,O,X
IJLTOSZ,X,X,X,X,O,O,X,O,X,X
IJLTOZS,X,O,X,X,X,O,O,X,X,X
IJLSTZO,X,X,O,X,O,X,X,O,X,X
IJLSTOZ,X,X,X,X,O,X,X,O,X,X
IJLSZTO,X,O,O,X,O,X,X,X,X,X
IJLSZOT,X,O,O,X,O,X,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,X,X
IJLSOZT,X,O,O,X,O,X,X,X,X,X
IJLZTSO,X,O,O,X,X,O,O,O,O,X
IJLZTOS,X,O,X,O,X,O,O,X,O,X
IJLZSTO,X,O,O,X,O,X,O,X,O,X
IJLZSOT,X,O,O,X,O,O,O,X,X,X
IJLZOTS,X,O,X,O,X,O,O,X,O,X
IJLZOST,X,O,X,O,O,O,O,X,X,X
IJLOTSZ,X,X,X,X,X,O,X,O,X,X
IJLOTZS,X,O,X,O,X,O,X,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,X
IJLOSZT,X,O,X,O,O,X,X,X,X,X
IJLOZTS,X,O,X,O,X,O,X,X,X,X
IJLOZST,X,O,X,O,X,O,X,X,X,X
IJSTLZO,X,X,O,X,O,X,X,O,X,X
IJSTLOZ,X,X,X,X,O,X,X,O,X,X
IJSTZLO,X,X,O,X,O,X,X,O,X,X
IJSTZOL,X,X,O,X,O,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,X,X,O,X,X
IJSTOZL,X,X,X,X,O,X,X,X,X,X
IJSLTZO,X,X,O,X,O,X,X,O,X,X
IJSLTOZ,X,X,X,X,O,X,X,O,X,X
IJSLZTO,X,O,O,X,O,X,X,X,X,X
IJSLZOT,X,O,O,X,O,X,X,X,X,X
IJSLOTZ,X,X,X,X,O,X,X,X,X,X
IJSLOZT,X,O,O,X,O,X,X,X,X,X
IJSZTLO,X,X,O,X,O,X,X,X,X,X
IJSZTOL,X,O,O,O,O,X,X,X,X,X
IJSZLTO,X,O,O,X,O,X,X,X,X,X
IJSZLOT,X,O,O,X,O,X,X,X,X,X
IJSZOTL,X,O,O,O,O,X,X,X,X,O
IJSZOLT,X,O,O,O,O,X,X,X,X,O
IJSOTLZ,X,X,X,X,O,X,X,X,X,O
IJSOTZL,X,X,X,X,O,X,X,X,X,O
IJSOLTZ,X,X,X,X,O,X,X,X,X,O
IJSOLZT,X,O,O,O,O,X,X,X,X,O
IJSOZTL,X,O,O,O,O,X,X,X,X,O
IJSOZLT,X,O,O,O,O,X,X,X,X,O
IJZTLSO,X,O,O,X,O,O,O,O,O,X
IJZTLOS,X,O,X,O,O,O,O,X,O,X
IJZTSLO,X,X,O,X,O,X,O,O,O,X
IJZTSOL,X,O,O,O,O,O,O,X,O,X
IJZTOLS,X,O,X,O,O,O,O,X,X,X
IJZTOSL,X,O,O,O,O,O,O,X,O,X
IJZLTSO,X,O,O,X,X,O,O,O,O,X
IJZLTOS,X,O,X,O,X,O,O,X,O,X
IJZLSTO,X,O,O,X,O,X,O,X,O,X
IJZLSOT,X,O,O,X,O,O,O,X,X,X
IJZLOTS,X,O,X,O,X,O,O,X,O,X
IJZLOST,X,O,X,O,O,O,O,X,X,X
IJZSTLO,X,X,O,X,O,X,X,X,O,X
IJZSTOL,X,O,O,O,O,X,X,X,O,X
IJZSLTO,X,O,O,X,O,X,O,X,O,X
IJZSLOT,X,O,O,X,O,X,O,X,X,X
IJZSOTL,X,O,O,O,O,O,X,X,X,O
IJZSOLT,X,O,O,O,O,O,O,X,X,O
IJZOTLS,X,O,X,O,O,O,O,X,X,X
IJZOTSL,X,O,O,O,O,O,O,X,O,X
IJZOLTS,X,O,X,O,X,O,O,X,O,X
IJZOLST,X,O,X,O,O,O,O,X,X,O
IJZOSTL,X,O,O,O,O,O,X,X,X,O
IJZOSLT,X,O,O,O,O,O,O,X,X,O
IJOTLSZ,X,X,X,X,O,O,O,O,X,X
IJOTLZS,X,O,X,O,X,O,O,X,X,X
IJOTSLZ,X,X,X,X,O,X,O,O,X,X
IJOTSZL,X,X,X,X,O,O,O,X,X,X
IJOTZLS,X,O,X,O,O,O,O,X,X,X
IJOTZSL,X,O,X,O,O,O,O,X,X,X
IJOLTSZ,X,X,X,X,X,O,O,O,X,X
IJOLTZS,X,O,X,O,X,O,O,X,X,X
IJOLSTZ,X,X,X,X,O,X,X,X,X,O
IJOLSZT,X,O,X,O,O,X,X,X,X,O
IJOLZTS,X,O,X,O,X,O,O,X,X,X
IJOLZST,X,O,X,O,X,O,O,X,X,O
IJOSTLZ,X,X,X,X,O,X,X,X,X,O
IJOSTZL,X,X,X,X,O,X,X,X,X,O
IJOSLTZ,X,X,X,X,O,X,X,X,X,O
IJOSLZT,X,O,O,O,O,X,X,X,X,O
IJOSZTL,X,O,O,O,O,X,X,X,X,O
IJOSZLT,X,O,O,O,O,X,X,X,X,O
IJOZTLS,X,O,X,O,X,O,O,X,X,X
IJOZTSL,X,O,O,O,O,O,O,X,X,X
IJOZLTS,X,O,X,O,X,O,O,X,X,X
IJOZLST,X,O,X,O,O,O,O,X,X,O
IJOZSTL,X,O,O,O,O,O,X,X,X,O
IJOZSLT,X,O,O,O,O,O,O,X,X,O
ISTLJZO,X,X,O,X,O,X,X,O,X,X
ISTLJOZ,X,X,X,X,O,X,X,O,X,X
ISTLZJO,O,X,O,X,O,X,X,O,O,X
ISTLZOJ,O,X,O,X,O,X,X,O,X,X
ISTLOJZ,X,X,X,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,O,X,X,O,X,X
ISTJLZO,X,X,O,X,O,X,X,O,X,X
ISTJLOZ,X,X,X,X,O,X,X,O,X,X
ISTJZLO,X,X,O,X,O,X,X,O,O,X
ISTJZOL,X,X,O,X,O,X,X,X,O,X
ISTJOLZ,X,X,X,X,O,X,X,O,X,X
ISTJOZL,X,X,X,X,O,X,X,X,X,X
ISTZLJO,O,X,O,X,O,X,X,O,O,X
ISTZLOJ,O,X,O,X,O,X,X,O,X,X
ISTZJLO,O,X,O,X,O,X,X,X,O,X
ISTZJOL,O,X,O,X,O,X,X,X,O,X
ISTZOLJ,O,X,O,X,O,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X,O,X
ISTOLJZ,O,X,X,X,O,X,X,X,X,X
ISTOLZJ,O,X,X,X,O,X,X,O,X,X
ISTOJLZ,O,X,X,X,O,X,X,X,X,X
ISTOJZL,O,X,X,X,O,X,X,X,X,X
ISTOZLJ,O,X,X,X,O,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,O,X
ISLTJZO,X,X,O,X,O,X,X,O,O,X
ISLTJOZ,X,X,X,X,O,X,X,O,X,X
ISLTZJO,O,X,O,X,O,X,X,O,O,X
ISLTZOJ,O,X,O,X,O,X,X,O,O,X
ISLTOJZ,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,X,X,O,O,X
ISLJTZO,X,X,O,X,O,X,X,O,X,X
ISLJTOZ,X,X,X,X,O,X,X,O,X,X
ISLJZTO,X,O,O,X,O,X,X,X,X,X
ISLJZOT,X,O,O,X,O,X,X,X,X,X
ISLJOTZ,X,X,X,X,O,X,X,X,X,X
ISLJOZT,X,O,O,X,O,X,X,X,X,X
ISLZTJO,O,O,O,X,O,X,X,X,O,X
ISLZTOJ,O,X,O,X,O,X,X,X,O,X
ISLZJTO,O,O,O,X,O,X,X,X,O,X
ISLZJOT,O,O,O,X,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,O,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,X,X,X
ISLOJTZ,X,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,O,X,X,X,X,X
ISLOZTJ,X,X,O,X,O,X,X,X,X,X
ISLOZJT,X,X,O,X,X,X,X,X,X,X
ISJTLZO,X,X,O,X,O,X,X,O,X,X
ISJTLOZ,X,X,X,X,O,X,X,O,X,X
ISJTZLO,X,X,O,X,O,X,X,O,X,X
ISJTZOL,X,X,O,X,O,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,X,X,O,X,X
ISJTOZL,X,X,X,X,O,X,X,X,X,X
ISJLTZO,X,X,O,X,O,X,X,O,X,X
ISJLTOZ,X,X,X,X,O,X,X,O,X,X
ISJLZTO,X,O,O,X,O,X,X,X,X,X
ISJLZOT,X,O,O,X,O,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,X,X,X,X,X
ISJLOZT,X,O,O,X,O,X,X,X,X,X
ISJZTLO,X,X,O,X,O,X,X,X,X,X
ISJZTOL,X,O,O,O,O,X,X,X,X,X
ISJZLTO,X,O,O,X,O,X,X,X,X,X
ISJZLOT,X,O,O,X,O,X,X,X,X,X
ISJZOTL,X,O,O,O,O,X,X,X,X,X
ISJZOLT,X,O,O,O,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,X,X,X,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,X,X,X,X,X
ISJOLZT,X,O,O,O,O,X,X,X,X,X
ISJOZTL,X,O,O,O,O,X,X,X,X,X
ISJOZLT,X,O,O,O,O,X,X,X,X,X
ISZTLJO,O,X,O,X,O,X,X,X,O,X
ISZTLOJ,O,X,O,X,O,X,X,X,X,X
ISZTJLO,O,X,O,X,O,X,X,X,O,X
ISZTJOL,O,O,O,X,O,X,X,X,O,X
ISZTOLJ,O,X,O,O,O,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,X,X,O,X
ISZLTJO,O,O,O,X,O,X,X,X,O,X
ISZLTOJ,O,X,O,X,O,X,X,X,O,X
ISZLJTO,O,O,O,X,O,X,X,X,O,X
ISZLJOT,O,O,O,X,O,X,X,X,X,X
ISZLOTJ,O,X,O,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,O,X,X,X,O,X
ISZJTOL,X,O,O,O,O,X,X,X,O,X
ISZJLTO,O,O,O,X,O,X,X,X,O,X
ISZJLOT,O,O,O,X,O,X,X,X,X,X
ISZJOTL,X,O,O,O,O,X,X,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,O,O,O,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,X,X,X,X
ISZOJTL,X,X,O,O,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,X,X,X,X
ISOTJLZ,O,X,X,X,O,X,X,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,X,X,X,X,X
ISOLJZT,X,X,O,O,O,X,X,X,X,X
ISOLZTJ,O,X,O,O,O,X,X,X,X,X
ISOLZJT,O,X,O,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,O,O,O,X,X,X,X,X
ISOJZTL,X,X,O,O,O,X,X,X,X,X
ISOJZLT,X,X,O,O,O,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,O,O,O,X,X,X,X,X
ISOZLJT,O,X,O,O,X,X,X,X,X,X
ISOZJTL,X,X,O,O,X,X,X,X,X,X
ISOZJLT,O,X,O,O,X,X,X,X,X,X
IZTLJSO,X,O,X,X,X,X,O,O,O,X
IZTLJOS,O,O,X,X,X,O,O,X,O,X
IZTLSJO,O,O,O,X,X,X,X,O,O,X
IZTLSOJ,O,X,O,X,X,X,O,O,O,X
IZTLOJS,O,O,X,O,X,X,O,X,O,X
IZTLOSJ,O,X,X,O,X,X,O,X,O,X
IZTJLSO,X,O,O,X,O,O,X,O,O,X
IZTJLOS,O,O,X,O,O,O,O,X,O,X
IZTJSLO,X,X,O,X,O,X,X,O,O,X
IZTJSOL,X,O,O,O,O,O,X,X,O,X
IZTJOLS,O,O,X,O,O,O,O,X,X,X
IZTJOSL,X,O,O,O,O,O,X,X,O,X
IZTSLJO,X,X,O,X,O,X,X,O,O,X
IZTSLOJ,O,X,O,X,O,X,O,O,X,X
IZTSJLO,X,X,O,X,O,X,X,X,O,X
IZTSJOL,X,O,O,X,O,O,X,X,O,X
IZTSOLJ,O,X,O,O,O,X,O,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,O,X
IZTOLJS,O,X,X,O,X,X,O,X,X,X
IZTOLSJ,O,X,X,O,X,X,O,X,X,X
IZTOJLS,O,O,X,O,X,O,O,X,X,X
IZTOJSL,X,O,X,O,X,O,O,X,O,X
IZTOSLJ,O,X,O,O,O,X,O,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,O,X
IZLTJSO,X,O,X,X,X,O,O,O,O,X
IZLTJOS,O,O,X,X,X,O,O,X,O,X
IZLTSJO,O,O,O,X,X,O,X,O,O,X
IZLTSOJ,O,X,O,X,X,X,O,O,O,X
IZLTOJS,O,O,X,O,X,O,O,X,O,X
IZLTOSJ,O,X,X,O,X,X,O,X,O,X
IZLJTSO,X,O,O,X,X,O,O,O,O,X
IZLJTOS,O,O,X,O,X,O,O,X,O,X
IZLJSTO,O,O,O,X,X,X,O,X,O,X
IZLJSOT,O,O,O,X,X,O,O,X,X,X
IZLJOTS,O,O,X,O,X,O,O,X,O,X
IZLJOST,O,O,X,O,X,O,O,X,X,X
IZLSTJO,O,O,O,X,X,X,X,X,O,X
IZLSTOJ,O,X,O,X,X,X,O,X,O,X
IZLSJTO,O,O,O,X,X,X,O,X,O,X
IZLSJOT,O,O,O,X,X,O,O,X,X,X
IZLSOTJ,O,X,O,X,X,X,O,X,X,X
IZLSOJT,O,X,O,X,X,X,O,X,X,X
IZLOTJS,O,O,X,O,X,X,O,X,O,X
IZLOTSJ,O,X,X,O,X,X,O,X,O,X
IZLOJTS,O,O,X,O,X,O,O,X,O,X
IZLOJST,O,O,X,O,X,O,O,X,X,X
IZLOSTJ,O,X,X,O,X,X,O,X,X,X
IZLOSJT,O,X,X,O,X,X,O,X,X,X
IZJTLSO,X,O,O,X,O,O,O,O,O,X
IZJTLOS,X,O,X,O,O,O,O,X,O,X
IZJTSLO,X,X,O,X,O,X,O,O,O,X
IZJTSOL,X,O,O,O,O,O,O,X,O,X
IZJTOLS,X,O,X,O,O,O,O,X,X,X
IZJTOSL,X,O,O,O,O,O,O,X,O,X
IZJLTSO,X,O,O,X,X,O,O,O,O,X
IZJLTOS,O,O,X,O,X,O,O,X,O,X
IZJLSTO,O,O,O,X,O,X,O,X,O,X
IZJLSOT,O,O,O,X,O,O,O,X,X,X
IZJLOTS,O,O,X,O,X,O,O,X,O,X
IZJLOST,O,O,X,O,O,O,O,X,X,X
IZJSTLO,X,X,O,X,O,X,X,X,O,X
IZJSTOL,X,O,O,O,O,X,X,X,O,X
IZJSLTO,X,O,O,X,O,X,O,X,O,X
IZJSLOT,X,O,O,X,O,X,O,X,X,X
IZJSOTL,X,O,O,O,O,O,X,X,X,O
IZJSOLT,X,O,O,O,O,O,O,X,X,O
IZJOTLS,X,O,X,O,X,O,O,X,X,X
IZJOTSL,X,O,O,O,O,O,O,X,O,X
IZJOLTS,O,O,X,O,X,O,O,X,O,X
IZJOLST,O,O,X,O,O,O,O,X,X,O
IZJOSTL,X,O,O,O,O,O,X,X,X,O
IZJOSLT,X,O,O,O,O,O,O,X,X,O
IZSTLJO,O,X,O,X,O,X,X,X,O,X
IZSTLOJ,O,X,O,X,O,X,X,X,X,X
IZSTJLO,O,X,O,X,O,X,X,X,O,X
IZSTJOL,O,O,O,X,O,X,X,X,O,X
IZSTOLJ,O,X,O,O,O,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,O,X
IZSLTJO,O,O,O,X,O,X,X,X,O,X
IZSLTOJ,O,X,O,X,O,X,O,X,O,X
IZSLJTO,O,O,O,X,O,X,O,X,O,X
IZSLJOT,O,O,O,X,O,X,O,X,X,X
IZSLOTJ,O,X,O,X,O,X,O,X,X,X
IZSLOJT,O,X,O,X,X,X,O,X,X,X
IZSJTLO,X,X,O,X,O,X,X,X,O,X
IZSJTOL,X,O,O,O,O,X,X,X,O,X
IZSJLTO,O,O,O,X,O,X,X,X,O,X
IZSJLOT,O,O,O,X,O,X,X,X,X,X
IZSJOTL,X,O,O,O,O,O,X,X,X,X
IZSJOLT,O,O,O,O,O,O,X,X,X,X
IZSOTLJ,O,X,O,O,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,O,O,X,O,X,X,X
IZSOLJT,O,X,O,O,X,X,O,X,X,X
IZSOJTL,X,X,O,O,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X,X
IZOTLJS,O,X,X,O,X,X,O,X,X,X
IZOTLSJ,O,X,X,O,X,X,O,X,X,X
IZOTJLS,O,O,X,O,X,X,O,X,X,X
IZOTJSL,X,O,X,O,X,X,O,X,O,X
IZOTSLJ,O,X,O,O,X,X,O,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X,O,X
IZOLTJS,O,O,X,O,X,X,O,X,O,X
IZOLTSJ,O,X,X,O,X,X,O,X,O,X
IZOLJTS,O,O,X,O,X,X,O,X,O,X
IZOLJST,O,O,X,O,X,X,O,X,X,O
IZOLSTJ,O,X,X,O,X,X,O,X,X,X
IZOLSJT,O,X,X,O,X,X,O,X,X,X
IZOJTLS,X,O,X,O,X,O,O,X,X,X
IZOJTSL,X,O,O,O,X,O,O,X,O,X
IZOJLTS,O,O,X,O,X,O,O,X,O,X
IZOJLST,O,O,X,O,X,O,O,X,X,O
IZOJSTL,X,O,O,O,X,O,X,X,X,O
IZOJSLT,X,O,O,O,X,O,O,X,X,O
IZOSTLJ,O,X,O,O,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,O,O,O,X,O,X,X,X
IZOSLJT,O,X,O,O,X,X,O,X,X,X
IZOSJTL,X,X,O,O,X,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,O,O,X,X
IOTLJZS,X,X,X,O,X,X,O,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,O,O,X,X
IOTLZJS,O,X,X,O,X,X,O,X,X,X
IOTLZSJ,O,X,X,O,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,O,X,O,O,X,X
IOTJLZS,X,X,X,O,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,O,X,O,O,X,X
IOTJSZL,X,X,X,X,O,X,O,X,X,X
IOTJZLS,X,X,X,O,O,X,O,X,X,X
IOTJZSL,X,X,X,O,O,X,O,X,X,X
IOTSLJZ,O,X,X,X,O,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,X,O,O,X,X
IOTSJLZ,O,X,X,X,O,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,X,O,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X,O,X
IOTZLJS,O,X,X,O,X,X,O,X,X,X
