sequence,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BTeBfmBlhB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?BSjBzgB3iBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFTd?BChBcoB/rBFnBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxdBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFTd?B6jBWnBZoBXhBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFXd?BzgBSnBcoBlrBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBlhBTjB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?B+jBzgB3iBatBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFxc?BTeBFmBXnBOtBCsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFRd?BOnBTmBFoB/rBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFlc?BTeBxmBOtBcnB/rB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxiBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBcoBzmBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFZh?B3dBzmBFoBurBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8JeRBJvhFcn?BTjBlgBCiB/rBOtB
TLSIOJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TLSIOZJ,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X
TLSJIZO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X
TLSJOZI,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
TLSZIJO,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSZJIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSZJOI,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSZOJI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TLSOIZJ,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X
TLSOJIZ,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X
TLSOJZI,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSOZJI,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZISJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLZIOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLZJISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZJOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TLZJOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLZSIJO,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZSJOI,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TLZSOIJ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLZOJIS,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLZOJSI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLZOSJI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOIJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
TLOIJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
TLOISJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLOISZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLOIZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLOIZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
TLOJIZS,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X
TLOJSIZ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOJSZI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOJZIS,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOJZSI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLOSJIZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOSJZI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOSZJI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOZIJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLOZISJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOZJIS,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOZJSI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLOZSJI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TJILSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJILZOS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJILOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TJILOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TJISLZO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISLOZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TJISOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJIZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZSOL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJIZOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TJIZOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X
TJIOLZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
TJIOSLZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIOSZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJIOZLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TJIOZSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLISZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLISOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLIZOS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TJLIOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TJLSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLSOZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TJLZOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TJLZOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLOISZ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X
TJLOIZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
TJLOSIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLOSZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLOZIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TJLOZSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSILOZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSIZLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSIOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSZILO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSZOIL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSOILZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJSOIZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSOZIL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZISLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZISOL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJZIOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TJZIOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
