sequence,v115@IhA8GeD8FeD8DeC8Jei/IvhF3gBcmBxiBdsBznBWwB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhFThBXjBUrBRsB9qBOsB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBTiBOoBxrBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9mBxiB0lBmnBXsBzqB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnB0rBXrB
TIZLSOJ,O,X,X,O,X,X,X,X,X,X
TIZLOJS,O,X,O,O,X,O,O,X,X,O
TIZLOSJ,O,X,O,O,O,X,O,X,X,X
TIZJLSO,O,X,X,O,X,O,X,O,X,O
TIZJLOS,O,X,O,O,X,O,O,X,X,O
TIZJSLO,O,X,X,O,X,O,X,O,X,O
TIZJSOL,O,X,X,O,X,O,X,O,X,X
TIZJOLS,O,X,O,O,X,O,O,X,X,O
TIZJOSL,O,X,O,O,X,O,O,X,X,X
TIZSLJO,O,X,X,O,X,X,X,O,X,O
TIZSLOJ,O,X,X,O,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,O,X,O
TIZSJOL,X,X,X,O,X,X,X,O,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,X,X,X,X
TIZOLJS,O,X,O,O,X,O,O,X,X,O
TIZOLSJ,O,X,O,O,O,X,O,X,X,X
TIZOJLS,O,X,O,O,X,O,O,X,X,O
TIZOJSL,O,X,O,O,X,O,O,X,X,X
TIZOSLJ,O,X,O,O,O,X,O,X,X,X
TIZOSJL,O,X,O,O,O,X,O,X,X,X
TIOLJSZ,O,O,O,X,O,O,X,X,X,X
TIOLJZS,O,O,O,X,X,O,O,X,X,X
TIOLSJZ,O,O,O,X,O,O,X,X,X,X
TIOLSZJ,O,O,X,X,O,X,O,X,X,X
TIOLZJS,O,O,O,X,X,O,O,X,X,X
TIOLZSJ,O,X,O,X,O,X,O,X,X,X
TIOJLSZ,O,O,O,X,O,O,X,X,X,X
TIOJLZS,O,O,O,X,X,O,O,X,X,X
TIOJSLZ,O,O,O,X,O,O,X,X,X,X
TIOJSZL,O,O,X,X,O,O,X,X,X,X
TIOJZLS,O,O,O,X,X,O,O,X,X,X
TIOJZSL,O,X,O,X,X,O,O,X,X,X
TIOSLJZ,O,O,O,X,O,O,X,X,X,X
TIOSLZJ,O,O,X,X,O,X,O,X,X,X
TIOSJLZ,O,O,O,X,O,O,X,X,X,X
TIOSJZL,O,O,X,X,O,O,X,X,X,X
TIOSZLJ,O,O,X,X,O,X,O,X,X,X
TIOSZJL,O,O,X,X,O,X,O,X,X,X
TIOZLJS,O,O,O,X,X,O,O,X,X,X
TIOZLSJ,O,X,O,X,O,X,O,X,X,X
TIOZJLS,O,O,O,X,X,O,O,X,X,X
TIOZJSL,O,X,O,X,X,O,O,X,X,X
TIOZSLJ,O,X,O,X,O,X,O,X,X,X
TIOZSJL,O,X,O,X,O,X,O,X,X,X
TLIJSZO,O,X,X,X,X,O,X,O,O,X
TLIJSOZ,X,O,X,X,X,O,X,O,O,X
TLIJZSO,O,X,X,X,X,O,X,O,X,O
TLIJZOS,O,X,O,X,X,O,X,X,X,O
TLIJOSZ,O,O,O,X,O,O,X,X,X,X
TLIJOZS,O,O,O,X,X,O,O,X,X,X
TLISJZO,O,X,X,X,X,O,X,O,O,X
TLISJOZ,X,O,X,X,O,O,X,O,O,X
TLISZJO,O,X,X,O,X,X,X,O,O,X
TLISZOJ,O,X,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,O,O,X,X,O,X
TLISOZJ,X,O,X,X,O,X,O,X,X,X
TLIZJSO,O,X,X,O,X,O,X,O,X,O
TLIZJOS,O,X,O,O,X,O,O,X,X,O
TLIZSJO,O,X,X,O,X,X,X,O,X,O
TLIZSOJ,O,X,X,O,X,X,X,X,X,X
TLIZOJS,O,X,O,O,X,O,O,X,X,O
TLIZOSJ,O,X,O,O,O,X,O,X,X,X
TLIOJSZ,O,O,O,X,O,O,X,X,X,X
TLIOJZS,O,O,O,X,X,O,O,X,X,X
TLIOSJZ,O,O,O,X,O,O,X,X,X,X
TLIOSZJ,O,O,X,X,O,X,O,X,X,X
TLIOZJS,O,O,O,X,X,O,O,X,X,X
TLIOZSJ,O,X,O,X,O,X,O,X,X,X
TLJISZO,O,X,X,X,X,O,X,O,O,X
TLJISOZ,X,O,X,X,X,O,X,O,O,X
TLJIZSO,O,X,X,X,X,O,X,O,X,O
TLJIZOS,O,X,O,X,X,O,X,X,X,O
TLJIOSZ,O,O,O,X,O,O,X,X,X,X
TLJIOZS,O,O,O,X,X,O,O,X,X,X
TLJSIZO,O,X,X,X,X,O,X,O,O,X
TLJSIOZ,X,O,X,X,O,O,X,O,O,X
TLJSZIO,O,X,X,X,X,X,X,O,O,O
TLJSZOI,O,O,O,X,O,X,X,O,X,X
TLJSOIZ,O,O,O,X,O,X,X,O,O,X
TLJSOZI,O,O,O,X,O,X,X,O,X,X
TLJZISO,O,X,X,X,X,O,X,O,X,O
TLJZIOS,O,X,O,X,X,O,O,X,X,O
TLJZSIO,O,X,X,X,X,X,X,O,O,O
TLJZSOI,O,O,O,X,X,X,O,O,X,X
TLJZOIS,O,O,O,X,X,X,O,X,X,O
TLJZOSI,O,O,O,X,X,X,O,X,X,X
TLJOISZ,O,O,O,X,O,O,X,X,X,X
TLJOIZS,O,O,O,X,X,O,O,X,X,X
TLJOSIZ,O,O,O,X,O,X,X,X,O,X
TLJOSZI,O,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,O,X,X,O
TLJOZSI,O,O,O,X,X,X,O,X,X,X
TLSIJZO,O,X,X,X,X,O,X,O,O,X
TLSIJOZ,X,O,X,X,O,O,X,O,O,X
TLSIZJO,O,X,X,O,X,X,X,O,O,X
TLSIZOJ,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,O,O,X,X,O,X
TLSIOZJ,X,O,X,X,O,X,O,X,X,X
TLSJIZO,O,X,X,X,X,O,X,O,O,X
TLSJIOZ,X,O,X,X,O,O,X,O,O,X
TLSJZIO,O,X,X,X,X,X,X,O,O,O
TLSJZOI,O,O,O,X,O,X,X,O,X,X
TLSJOIZ,O,O,O,X,O,X,X,O,O,X
TLSJOZI,O,O,O,X,O,X,X,O,X,X
TLSZIJO,O,X,X,O,X,X,X,O,O,O
TLSZIOJ,O,X,X,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,O,O,O
TLSZJOI,O,O,O,X,O,X,O,O,X,X
TLSZOIJ,O,O,O,X,O,X,O,X,X,X
TLSZOJI,O,O,O,X,O,X,O,O,X,X
TLSOIJZ,O,O,O,X,O,X,X,X,O,X
TLSOIZJ,O,O,X,X,O,X,O,X,X,X
TLSOJIZ,O,O,O,X,O,X,X,O,O,X
TLSOJZI,O,O,O,X,O,X,X,O,X,X
TLSOZIJ,O,O,O,X,O,X,O,X,X,X
TLSOZJI,O,O,O,X,O,X,O,O,X,X
TLZIJSO,O,X,X,O,X,O,X,O,X,O
TLZIJOS,O,X,O,O,X,O,O,X,X,O
TLZISJO,O,X,X,O,X,X,X,O,X,O
TLZISOJ,O,X,X,O,X,X,X,X,X,X
TLZIOJS,O,X,O,O,X,O,O,X,X,O
TLZIOSJ,O,X,O,O,O,X,O,X,X,X
TLZJISO,O,X,X,X,X,O,X,O,X,O
TLZJIOS,O,X,O,X,X,O,O,X,X,O
TLZJSIO,O,X,X,X,X,X,X,O,O,O
TLZJSOI,O,O,O,X,X,X,O,O,X,X
TLZJOIS,O,O,O,X,X,X,O,X,X,O
TLZJOSI,O,O,O,X,X,X,O,X,X,X
TLZSIJO,O,X,X,O,X,X,X,O,O,O
TLZSIOJ,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,O,O,O
TLZSJOI,O,O,O,X,O,X,O,O,X,X
TLZSOIJ,O,O,O,X,O,X,O,X,X,X
TLZSOJI,O,O,O,X,O,X,O,O,X,X
TLZOIJS,O,O,O,X,X,X,O,X,X,O
TLZOISJ,O,X,O,X,O,X,O,X,X,X
TLZOJIS,O,O,O,X,X,X,O,X,X,O
TLZOJSI,O,O,O,X,X,X,O,X,X,X
TLZOSIJ,O,O,O,X,O,X,O,X,X,X
TLZOSJI,O,O,O,X,O,X,O,X,X,X
TLOIJSZ,O,O,O,X,O,O,X,X,X,X
TLOIJZS,O,O,O,X,X,O,O,X,X,X
TLOISJZ,O,O,O,X,O,O,X,X,X,X
TLOISZJ,O,O,X,X,O,X,O,X,X,X
TLOIZJS,O,O,O,X,X,O,O,X,X,X
TLOIZSJ,O,X,O,X,O,X,O,X,X,X
TLOJISZ,O,O,O,X,O,O,X,X,X,X
TLOJIZS,O,O,O,X,X,O,O,X,X,X
TLOJSIZ,O,O,O,X,O,X,X,X,O,X
TLOJSZI,O,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,O,X,X,O
TLOJZSI,O,O,O,X,X,X,O,X,X,X
TLOSIJZ,O,O,O,X,O,X,X,X,O,X
TLOSIZJ,O,O,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,O,X,O,X,X,X,O,X
TLOSJZI,O,O,O,X,O,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,O,X,X,X
TLOSZJI,O,O,O,X,O,X,O,X,X,X
TLOZIJS,O,O,O,X,X,X,O,X,X,O
TLOZISJ,O,X,O,X,O,X,O,X,X,X
TLOZJIS,O,O,O,X,X,X,O,X,X,O
TLOZJSI,O,O,O,X,X,X,O,X,X,X
TLOZSIJ,O,O,O,X,O,X,O,X,X,X
TLOZSJI,O,O,O,X,O,X,O,X,X,X
TJILSZO,O,X,X,X,X,O,X,O,O,X
TJILSOZ,X,O,X,X,X,O,X,O,O,X
TJILZSO,O,X,X,X,X,O,X,O,X,O
TJILZOS,O,X,O,X,X,O,X,X,X,O
TJILOSZ,O,O,O,X,O,O,X,X,X,X
TJILOZS,O,O,O,X,X,O,O,X,X,X
TJISLZO,O,X,X,X,X,O,X,O,O,X
TJISLOZ,X,O,X,X,X,O,X,O,O,X
TJISZLO,O,X,X,X,X,O,X,O,O,X
TJISZOL,O,X,X,X,X,O,X,O,X,X
TJISOLZ,X,O,X,X,X,O,X,O,O,X
TJISOZL,X,O,X,X,X,O,X,O,X,X
TJIZLSO,O,X,X,X,X,O,X,O,X,O
TJIZLOS,O,X,O,X,X,O,X,X,X,O
TJIZSLO,O,X,X,X,X,O,X,O,X,O
TJIZSOL,O,X,X,X,X,O,X,O,X,X
TJIZOLS,O,X,O,X,X,O,X,X,X,O
TJIZOSL,O,X,O,X,X,O,X,X,X,X
TJIOLSZ,O,O,O,X,O,O,X,X,X,X
TJIOLZS,O,O,O,X,X,O,O,X,X,X
TJIOSLZ,O,O,O,X,O,O,X,X,X,X
TJIOSZL,O,O,X,X,O,O,X,X,X,X
TJIOZLS,O,O,O,X,X,O,O,X,X,X
TJIOZSL,O,X,O,X,X,O,O,X,X,X
TJLISZO,O,X,X,X,X,O,X,O,O,X
TJLISOZ,X,O,X,X,X,O,X,O,O,X
TJLIZSO,O,X,X,X,X,O,X,O,X,O
TJLIZOS,O,X,O,X,X,O,X,X,X,O
TJLIOSZ,O,O,O,X,O,O,X,X,X,X
TJLIOZS,O,O,O,X,X,O,O,X,X,X
TJLSIZO,O,X,X,X,X,O,X,O,O,X
TJLSIOZ,X,O,X,X,O,O,X,O,O,X
TJLSZIO,O,X,X,X,X,X,X,O,O,O
TJLSZOI,O,O,O,X,O,X,X,O,X,X
TJLSOIZ,O,O,O,X,O,X,X,O,O,X
TJLSOZI,O,O,O,X,O,X,X,O,X,X
TJLZISO,O,X,X,X,X,O,X,O,X,O
TJLZIOS,O,X,O,X,X,O,O,X,X,O
TJLZSIO,O,X,X,X,X,X,X,O,O,O
TJLZSOI,O,O,O,X,X,X,O,O,X,X
TJLZOIS,O,O,O,X,X,X,O,X,X,O
TJLZOSI,O,O,O,X,X,X,O,X,X,X
TJLOISZ,O,O,O,X,O,O,X,X,X,X
TJLOIZS,O,O,O,X,X,O,O,X,X,X
TJLOSIZ,O,O,O,X,O,X,X,X,O,X
TJLOSZI,O,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,O,X,X,X,O,X,X,O
TJLOZSI,O,O,O,X,X,X,O,X,X,X
TJSILZO,O,X,X,X,X,O,X,O,O,X
TJSILOZ,X,O,X,X,O,O,X,O,O,X
TJSIZLO,O,X,X,X,X,O,X,O,O,X
TJSIZOL,O,X,X,X,X,O,X,O,X,X
TJSIOLZ,X,O,X,X,O,O,X,O,O,X
TJSIOZL,X,O,X,X,O,O,X,O,X,X
TJSLIZO,O,X,X,X,X,O,X,O,O,X
TJSLIOZ,X,O,X,X,O,O,X,O,O,X
TJSLZIO,O,X,X,X,X,X,X,O,O,O
TJSLZOI,O,O,O,X,O,X,X,O,X,X
TJSLOIZ,O,O,O,X,O,X,X,O,O,X
TJSLOZI,O,O,O,X,O,X,X,O,X,X
TJSZILO,O,X,X,X,X,X,X,O,O,O
TJSZIOL,O,X,X,X,X,X,X,O,X,X
TJSZLIO,O,X,X,X,X,X,X,O,O,O
TJSZLOI,O,O,O,X,O,X,X,O,X,X
TJSZOIL,O,O,O,X,O,X,X,O,X,X
TJSZOLI,O,O,O,X,O,X,X,O,X,X
TJSOILZ,O,O,O,X,O,X,X,O,O,X
TJSOIZL,O,O,X,X,O,X,X,O,X,X
TJSOLIZ,O,O,O,X,O,X,X,O,O,X
TJSOLZI,O,O,O,X,O,X,X,O,X,X
TJSOZIL,O,O,O,X,O,X,X,O,X,X
TJSOZLI,O,O,O,X,O,X,X,O,X,X
TJZILSO,O,X,X,X,X,O,X,O,X,O
TJZILOS,O,X,O,X,X,O,O,X,X,O
TJZISLO,O,X,X,X,X,O,X,O,X,O
TJZISOL,O,X,X,X,X,O,X,O,X,X
TJZIOLS,O,X,O,X,X,O,O,X,X,O
TJZIOSL,O,X,O,X,X,O,O,X,X,X
TJZLISO,O,X,X,X,X,O,X,O,X,O
TJZLIOS,O,X,O,X,X,O,O,X,X,O
TJZLSIO,O,X,X,X,X,X,X,O,O,O
TJZLSOI,O,O,O,X,X,X,O,O,X,X
TJZLOIS,O,O,O,X,X,X,O,X,X,O
TJZLOSI,O,O,O,X,X,X,O,X,X,X
TJZSILO,O,X,X,X,X,X,X,O,O,O
TJZSIOL,O,X,X,X,X,X,X,O,X,X
TJZSLIO,O,X,X,X,X,X,X,O,O,O
TJZSLOI,O,O,O,X,X,X,O,O,X,X
TJZSOIL,O,O,O,X,X,X,O,O,X,X
TJZSOLI,O,O,O,X,X,X,O,O,X,X
TJZOILS,O,O,O,X,X,X,O,X,X,O
TJZOISL,O,X,O,X,X,X,O,X,X,X
TJZOLIS,O,O,O,X,X,X,O,X,X,O
TJZOLSI,O,O,O,X,X,X,O,X,X,X
TJZOSIL,O,O,O,X,X,X,O,X,X,X
TJZOSLI,O,O,O,X,X,X,O,X,X,X
TJOILSZ,O,O,O,X,O,O,X,X,X,X
TJOILZS,O,O,O,X,X,O,O,X,X,X
TJOISLZ,O,O,O,X,O,O,X,X,X,X
TJOISZL,O,O,X,X,O,O,X,X,X,X
TJOIZLS,O,O,O,X,X,O,O,X,X,X
TJOIZSL,O,X,O,X,X,O,O,X,X,X
TJOLISZ,O,O,O,X,O,O,X,X,X,X
TJOLIZS,O,O,O,X,X,O,O,X,X,X
TJOLSIZ,O,O,O,X,O,X,X,X,O,X
TJOLSZI,O,O,O,X,O,X,X,X,X,X
TJOLZIS,O,O,O,X,X,X,O,X,X,O
TJOLZSI,O,O,O,X,X,X,O,X,X,X
TJOSILZ,O,O,O,X,O,X,X,X,O,X
TJOSIZL,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,X,O,X
TJOSLZI,O,O,O,X,O,X,X,X,X,X
TJOSZIL,O,O,O,X,O,X,X,X,X,X
TJOSZLI,O,O,O,X,O,X,X,X,X,X
TJOZILS,O,O,O,X,X,X,O,X,X,O
TJOZISL,O,X,O,X,X,X,O,X,X,X
TJOZLIS,O,O,O,X,X,X,O,X,X,O
TJOZLSI,O,O,O,X,X,X,O,X,X,X
TJOZSIL,O,O,O,X,X,X,O,X,X,X
TJOZSLI,O,O,O,X,X,X,O,X,X,X
TSILJZO,O,X,X,X,X,O,X,O,O,X
TSILJOZ,X,O,X,X,O,O,X,O,O,X
TSILZJO,O,X,X,O,X,X,X,O,O,X
TSILZOJ,O,X,X,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,O,O,X,X,O,X
TSILOZJ,X,O,X,X,O,X,O,X,X,X
TSIJLZO,O,X,X,X,X,O,X,O,O,X
TSIJLOZ,X,O,X,X,O,O,X,O,O,X
TSIJZLO,O,X,X,X,X,O,X,O,O,X
TSIJZOL,O,X,X,X,X,O,X,O,X,X
TSIJOLZ,X,O,X,X,O,O,X,O,O,X
TSIJOZL,X,O,X,X,O,O,X,O,X,X
TSIZLJO,O,X,X,O,X,X,X,O,O,X
TSIZLOJ,O,X,X,O,X,X,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,O,O,X
TSIZJOL,X,X,X,O,X,X,X,O,X,X
TSIZOLJ,O,X,X,O,X,X,X,X,X,X
TSIZOJL,X,X,X,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,O,O,X,X,O,X
TSIOLZJ,X,O,X,X,O,X,O,X,X,X
TSIOJLZ,X,O,X,X,O,O,X,X,O,X
TSIOJZL,X,O,X,X,O,O,X,X,X,X
TSIOZLJ,X,O,X,X,O,X,O,X,X,X
TSIOZJL,X,O,X,X,O,X,O,X,X,X
TSLIJZO,O,X,X,X,X,O,X,O,O,X
TSLIJOZ,X,O,X,X,O,O,X,O,O,X
TSLIZJO,O,X,X,O,X,X,X,O,O,X
TSLIZOJ,O,X,X,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,O,O,X,X,O,X
TSLIOZJ,X,O,X,X,O,X,O,X,X,X
TSLJIZO,O,X,X,X,X,O,X,O,O,X
TSLJIOZ,X,O,X,X,O,O,X,O,O,X
TSLJZIO,O,X,X,X,X,X,X,O,O,O
TSLJZOI,O,O,O,X,O,X,X,O,X,X
TSLJOIZ,O,O,O,X,O,X,X,O,O,X
TSLJOZI,O,O,O,X,O,X,X,O,X,X
TSLZIJO,O,X,X,O,X,X,X,O,O,O
TSLZIOJ,O,X,X,O,X,X,X,X,X,X
TSLZJIO,O,X,X,X,X,X,X,O,O,O
TSLZJOI,O,O,O,X,O,X,O,O,X,X
TSLZOIJ,O,O,O,X,O,X,O,X,X,X
TSLZOJI,O,O,O,X,O,X,O,O,X,X
TSLOIJZ,O,O,O,X,O,X,X,X,O,X
TSLOIZJ,O,O,X,X,O,X,O,X,X,X
TSLOJIZ,O,O,O,X,O,X,X,O,O,X
TSLOJZI,O,O,O,X,O,X,X,O,X,X
TSLOZIJ,O,O,O,X,O,X,O,X,X,X
TSLOZJI,O,O,O,X,O,X,O,O,X,X
TSJILZO,O,X,X,X,X,O,X,O,O,X
TSJILOZ,X,O,X,X,O,O,X,O,O,X
TSJIZLO,O,X,X,X,X,O,X,O,O,X
TSJIZOL,O,X,X,X,X,O,X,O,X,X
TSJIOLZ,X,O,X,X,O,O,X,O,O,X
TSJIOZL,X,O,X,X,O,O,X,O,X,X
TSJLIZO,O,X,X,X,X,O,X,O,O,X
TSJLIOZ,X,O,X,X,O,O,X,O,O,X
TSJLZIO,O,X,X,X,X,X,X,O,O,O
TSJLZOI,O,O,O,X,O,X,X,O,X,X
TSJLOIZ,O,O,O,X,O,X,X,O,O,X
TSJLOZI,O,O,O,X,O,X,X,O,X,X
TSJZILO,O,X,X,X,X,X,X,O,O,O
TSJZIOL,O,X,X,X,X,X,X,O,X,X
TSJZLIO,O,X,X,X,X,X,X,O,O,O
TSJZLOI,O,O,O,X,O,X,X,O,X,X
TSJZOIL,O,O,O,X,O,X,X,O,X,X
TSJZOLI,O,O,O,X,O,X,X,O,X,X
TSJOILZ,O,O,O,X,O,X,X,O,O,X
TSJOIZL,O,O,X,X,O,X,X,O,X,X
TSJOLIZ,O,O,O,X,O,X,X,O,O,X
TSJOLZI,O,O,O,X,O,X,X,O,X,X
TSJOZIL,O,O,O,X,O,X,X,O,X,X
TSJOZLI,O,O,O,X,O,X,X,O,X,X
TSZILJO,O,X,X,O,X,X,X,O,O,O
TSZILOJ,O,X,X,O,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,O,O,O
TSZIJOL,X,X,X,O,X,X,X,O,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,O,X,X,X,O,O,O
TSZLIOJ,O,X,X,O,X,X,X,X,X,X
TSZLJIO,O,X,X,X,X,X,X,O,O,O
TSZLJOI,O,O,O,X,O,X,O,O,X,X
TSZLOIJ,O,O,O,X,O,X,O,X,X,X
TSZLOJI,O,O,O,X,O,X,O,O,X,X
TSZJILO,O,X,X,X,X,X,X,O,O,O
TSZJIOL,X,X,X,X,X,X,X,O,X,X
TSZJLIO,O,X,X,X,X,X,X,O,O,O
TSZJLOI,O,O,O,X,O,X,O,O,X,X
TSZJOIL,O,O,O,X,O,X,O,O,X,X
TSZJOLI,O,O,O,X,O,X,O,O,X,X
TSZOILJ,O,O,O,O,O,X,O,X,X,X
TSZOIJL,O,O,O,O,O,X,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,O,X,X,X
TSZOLJI,O,O,O,X,O,X,O,O,X,X
TSZOJIL,O,O,O,X,O,X,O,O,X,X
TSZOJLI,O,O,O,X,O,X,O,O,X,X
TSOILJZ,O,O,O,X,O,X,X,X,O,X
TSOILZJ,O,O,X,X,O,X,O,X,X,X
TSOIJLZ,O,O,O,X,O,X,X,X,O,X
TSOIJZL,O,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,O,X,X,O,X,O,X,X,X
TSOIZJL,O,O,X,X,O,X,O,X,X,X
TSOLIJZ,O,O,O,X,O,X,X,X,O,X
TSOLIZJ,O,O,X,X,O,X,O,X,X,X
TSOLJIZ,O,O,O,X,O,X,X,O,O,X
