sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
JLZTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JLZITSO,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JLZITOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZISTO,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X
JLZISOT,O,O,X,X,O,X,X,O,X,O,O,O,X,O,O
JLZIOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLZIOST,X,X,X,X,O,X,X,O,O,X,O,O,X,O,X
JLZSTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JLZSTOI,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JLZSITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JLZSIOT,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O
JLZSOTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLZSOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLZOTIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLZOITS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLZOIST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JLZOSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLZOSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOTISZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOTSZI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOTZIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOITSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOITZS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOISTZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JLOISZT,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JLOIZTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOIZST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JLOSTIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOSTZI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOSITZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOSIZT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOSZTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOSZIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOZTIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOZITS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOZIST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JLOZSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLOZSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSTILZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTILOZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTIZLO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSTIZOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSTIOLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTIOZL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSTLIZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLIOZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLZIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLZOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLOIZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLOZI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTZILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSTZIOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSTZLIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTZLOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTZOIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTZOLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOILZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOIZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOLZI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOZIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOZLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSITLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITZLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITZOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSITOLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSITOZL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSILTZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSILTOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSILZOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
JSILOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSILOZT,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O
JSIZTLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSIZTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSIZLTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSIZLOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
JSIZOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSIZOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSIOTLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOTZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JSIOLZT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSIOZTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSIOZLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSLTIZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLTIOZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLTZIO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLTZOI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLTOIZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLTOZI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLITZO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JSLITOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSLIZTO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JSLIZOT,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O
JSLIOTZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSLIOZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O
JSLZTIO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLZTOI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLZITO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JSLZIOT,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O
JSLZOTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLZOIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOTIZ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOTZI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOITZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOIZT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOZTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSLOZIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZTILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSZTLIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTLOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTOIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTOLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSZITLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZITOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSZILTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JSZILOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
JSZIOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZIOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSZLTIO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSZLTOI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSZLITO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JSZLIOT,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O
JSZLOTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZLOIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZOTIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOILT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSZOLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOTLZI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOTZIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOITLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOITZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOILTZ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JSOILZT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSOIZTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOIZLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSOLTIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOZILT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JSOZLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTILOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZTISLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZTIOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JZTIOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTLSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTLOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZTSILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZTSIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
JZTSLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTSLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTSOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTSOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZTOILS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JZTOISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZITLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZITSLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
JZITSOL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
JZITOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JZITOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILSTO,O,X,X,X,O,X,X,X,X,X,O,O,O,O,X
JZILSOT,O,O,X,X,O,X,X,O,X,O,O,O,O,O,X
JZILOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZILOST,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
JZISTLO,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
JZISTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X
JZISLTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZISLOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
JZISOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
JZISOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
JZIOTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZIOLST,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X
JZIOSTL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
JZIOSLT,X,X,X,X,O,O,X,O,O,O,X,X,X,O,X
JZLTISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLTSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLITSO,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JZLITOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLISTO,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X
JZLISOT,O,O,X,X,O,X,X,O,X,O,O,O,X,O,O
JZLIOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZLIOST,X,X,X,X,O,X,X,O,O,X,O,O,X,O,X
JZLSTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLSTOI,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLSITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JZLSIOT,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O
JZLSOTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLSOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOTIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZLOITS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZLOIST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JZLOSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLOSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZSTILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZSTLIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSITLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSITOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZSILTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZSILOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
JZSIOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSIOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JZSLTIO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZSLTOI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JZSLITO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JZSLIOT,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O
JZSLOTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSLOIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZSOTIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSOILT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
JZSOLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZOTISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZOTLSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZOITSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOILST,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
JZOISTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOISLT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
JZOLTIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLITS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOLIST,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X
JZOLSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOLSIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JZOSTIL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOSTLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZOSITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSILT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
JZOSLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOTILSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTILZS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOTISLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOTIZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTLSIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZIS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTSLZI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZILS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOTZISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOITLZS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOITZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOILSTZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOILSZT,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
JOILZTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOILZST,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
JOISTLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISTZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOISLTZ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JOISLZT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
JOISZTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOISZLT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
JOIZTLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JOIZTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOIZLST,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
JOIZSTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOIZSLT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
JOLTISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTSIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTSZI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLITSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITZS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOLISTZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOLISZT,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X
JOLIZTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOLIZST,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X
JOLSTIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLSTZI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLSITZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLSIZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
