sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
TIOJLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIJZOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLISJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIZJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
