sequence,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbBTeBlhBR?qBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhFTeB0fBlhBR?qBfrBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhF0cBTeBigBR?qBFrBGqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhF0cBTeB6kBx?lBlqBfrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex7IvhFTeBmfBfmBl?hB6kB0qB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kB/?qBFmBmqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8JeU7IvhFTeBlhBRlB/?kBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbB1hBTeBx?lBarBGqB
TIZJOLS,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,O,X,O,O,X,X,X,X,O
TIZSLJO,X,X,X,X,X,O,O,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZSJLO,X,X,X,O,X,O,O,X,X,X,X,O
TIZSJOL,X,X,X,O,X,O,O,X,X,X,X,O
TIZSOLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZSOJL,X,X,X,O,X,O,O,X,X,X,X,O
TIZOLJS,X,X,X,X,X,X,O,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,O,O,X,X,X,X
TIZOJLS,X,X,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,X,X,O,X,O,O,X,X,X,X,O
TIZOSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZOSJL,X,X,X,O,X,O,O,X,X,X,X,O
TIOLJSZ,X,X,X,O,X,X,O,O,X,X,X,O
TIOLJZS,X,X,X,X,O,X,O,O,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,O,O,X,X,X,O
TIOLSZJ,X,X,O,O,X,O,O,O,X,X,X,O
TIOLZJS,X,X,X,X,X,X,O,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,O,O,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,O,X,X,O,O
TIOJLZS,X,X,X,X,O,X,O,O,X,X,X,X
TIOJSLZ,X,X,X,O,X,X,O,X,X,X,O,O
TIOJSZL,X,X,X,O,X,O,O,X,X,X,O,O
TIOJZLS,X,X,X,X,O,X,O,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,O,X,X,X,O,O
TIOSLJZ,X,X,X,O,X,X,O,O,X,X,X,O
TIOSLZJ,X,X,O,O,X,O,O,O,X,X,X,O
TIOSJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TIOSJZL,X,X,X,O,X,O,O,X,X,X,X,O
TIOSZLJ,X,X,O,O,X,O,O,X,X,X,X,O
TIOSZJL,X,X,X,O,X,O,O,X,X,X,X,O
TIOZLJS,X,X,X,X,X,X,O,O,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,O,O,X,X,X,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,O,X,O,O,X,X,X,X,O
TIOZSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIOZSJL,X,X,X,O,X,O,O,X,X,X,X,O
TLIJSZO,X,O,X,O,X,X,X,O,X,X,X,O
TLIJSOZ,X,O,X,O,X,X,X,O,X,X,X,O
TLIJZSO,X,O,X,X,O,X,X,O,X,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,O,X,X,X,O
TLIJOZS,O,O,X,X,O,X,X,O,X,X,X,X
TLISJZO,O,X,X,O,X,X,X,O,X,O,X,O
TLISJOZ,O,X,X,O,X,X,X,O,X,O,X,O
TLISZJO,O,X,O,X,X,O,X,O,X,O,X,X
TLISZOJ,O,X,O,O,X,O,X,O,X,O,X,O
TLISOJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLISOZJ,O,X,O,O,X,O,X,O,X,O,X,O
TLIZJSO,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,O,X,X
TLIOJSZ,X,O,X,O,X,X,X,O,X,X,X,O
TLIOJZS,O,O,X,X,O,X,X,O,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLIOSZJ,O,X,O,O,X,O,X,O,X,O,X,O
TLIOZJS,O,O,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,O,X,X
TLJISZO,X,O,X,X,X,X,X,O,X,X,O,O
TLJISOZ,X,O,X,X,X,X,X,O,X,X,O,O
TLJIZSO,X,O,X,X,O,X,X,O,X,X,X,X
TLJIZOS,O,O,X,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,O,X,X,O,O
TLJIOZS,O,O,X,X,O,X,X,O,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,O,X,X,X,O
TLJSIOZ,O,O,X,X,X,X,X,O,X,X,X,O
TLJSZIO,O,O,O,X,O,X,X,X,X,X,X,X
TLJSZOI,O,O,O,X,O,X,X,X,X,X,X,O
TLJSOIZ,O,O,X,X,X,X,X,O,X,X,X,O
TLJSOZI,O,O,O,X,O,X,X,X,X,X,X,O
TLJZISO,X,O,X,X,O,X,X,O,X,X,X,X
TLJZIOS,O,O,X,X,O,X,X,O,X,X,X,X
TLJZSIO,O,O,X,X,O,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,O,X,X,O,X,X,X,X
TLJZOSI,O,O,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,O,X,X,O,O
TLJOIZS,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TLJOSZI,O,O,O,X,O,X,X,X,X,X,X,O
TLJOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,X,O,X,O,X,O
TLSIJOZ,O,X,X,O,X,X,X,O,X,O,X,O
TLSIZJO,O,X,O,X,X,X,X,O,X,O,X,X
TLSIZOJ,O,X,O,O,X,X,X,O,X,O,X,O
TLSIOJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLSIOZJ,O,X,O,O,X,X,X,O,X,O,X,O
TLSJIZO,O,X,X,X,X,X,X,O,X,O,X,O
TLSJIOZ,O,X,X,X,X,X,X,O,X,O,X,O
TLSJZIO,O,X,O,X,O,X,X,X,X,O,X,X
TLSJZOI,O,X,O,X,O,X,X,X,X,O,X,O
TLSJOIZ,O,X,X,X,X,X,X,O,X,O,X,O
TLSJOZI,O,X,O,X,O,X,X,X,X,O,X,O
TLSZIJO,O,X,O,X,X,X,X,X,X,O,X,X
TLSZIOJ,O,X,O,X,X,X,X,X,X,O,X,X
TLSZJIO,O,X,O,X,X,X,X,X,X,O,X,X
TLSZJOI,O,X,O,X,X,X,X,X,X,O,X,X
TLSZOIJ,O,X,O,O,X,X,X,X,X,O,X,O
TLSZOJI,O,X,O,X,X,X,X,X,X,O,X,O
TLSOIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLSOIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TLSOJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TLSOJZI,O,X,O,X,O,X,X,X,X,O,X,O
TLSOZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TLSOZJI,O,X,O,X,X,X,X,X,X,O,X,O
TLZIJSO,X,X,X,X,X,X,X,O,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,O,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O,X,O,X,X
TLZJISO,X,O,X,X,O,X,X,O,X,X,X,X
TLZJIOS,O,O,X,X,O,X,X,O,X,X,X,X
TLZJSIO,O,O,X,X,O,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,O,X,X,O,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,X,X,X,X,O,X,X
TLZSJIO,O,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,X,X,X,O,X,X
TLZSOJI,O,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,O,X,O,X,X
TLZOJIS,O,O,X,X,O,X,X,O,X,X,X,X
TLZOJSI,O,O,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TLZOSJI,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,X,O,X,X,X,O
TLOIJZS,O,O,X,X,O,X,X,O,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLOISZJ,O,X,O,O,X,O,X,O,X,O,X,O
TLOIZJS,O,O,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,O,X,O,X,X
TLOJISZ,X,O,X,X,X,X,X,O,X,X,O,O
TLOJIZS,O,O,X,X,O,X,X,O,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TLOJSZI,O,O,O,X,O,X,X,X,X,X,X,O
TLOJZIS,O,O,X,X,O,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TLOSIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TLOSJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TLOSJZI,O,X,O,X,O,X,X,X,X,O,X,O
TLOSZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TLOSZJI,O,X,O,X,X,X,X,X,X,O,X,O
TLOZIJS,O,O,X,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,O,X,O,X,X
TLOZJIS,O,O,X,X,O,X,X,O,X,X,X,X
TLOZJSI,O,O,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TLOZSJI,O,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,O,X,X,X,O,X,X,O,O
TJILSOZ,X,O,X,O,X,X,X,O,X,X,O,O
TJILZSO,X,O,X,X,O,X,X,O,X,X,X,X
TJILZOS,O,O,X,X,O,X,X,O,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,O,X,X,O,O
TJILOZS,O,O,X,X,O,X,X,O,X,X,X,X
TJISLZO,X,X,X,O,X,X,X,X,X,X,O,O
TJISLOZ,X,X,X,O,X,X,X,X,X,X,O,O
TJISZLO,X,X,X,O,X,O,X,X,X,X,O,O
TJISZOL,X,O,X,O,X,O,X,X,X,X,O,O
TJISOLZ,X,X,X,O,X,X,X,X,X,X,O,O
TJISOZL,X,O,X,O,X,O,X,X,X,X,O,O
TJIZLSO,X,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSLO,X,X,X,O,X,X,X,X,X,X,O,O
TJIZSOL,X,O,X,O,X,X,X,X,X,X,O,O
TJIZOLS,O,O,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,O,X,O,X,X,X,X,X,X,O,O
TJIOLSZ,X,O,X,O,X,X,X,O,X,X,O,O
TJIOLZS,O,O,X,X,O,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,O,X,X,X,X,X,X,O,O
TJIOSZL,X,O,X,O,X,O,X,X,X,X,O,O
TJIOZLS,O,O,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,O,X,O,X,X,X,X,X,X,O,O
TJLISZO,X,O,X,X,X,X,X,O,X,X,O,O
TJLISOZ,X,O,X,X,X,X,X,O,X,X,O,O
TJLIZSO,X,O,X,X,O,X,X,O,X,X,X,X
TJLIZOS,O,O,X,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,O,X,X,O,O
TJLIOZS,O,O,X,X,O,X,X,O,X,X,X,X
TJLSIZO,O,O,X,X,X,X,X,O,X,X,X,O
TJLSIOZ,O,O,X,X,X,X,X,O,X,X,X,O
TJLSZIO,O,O,O,X,O,X,X,X,X,X,X,X
TJLSZOI,O,O,O,X,O,X,X,X,X,X,X,O
TJLSOIZ,O,O,X,X,X,X,X,O,X,X,X,O
TJLSOZI,O,O,O,X,O,X,X,X,X,X,X,O
TJLZISO,X,O,X,X,O,X,X,O,X,X,X,X
TJLZIOS,O,O,X,X,O,X,X,O,X,X,X,X
TJLZSIO,O,O,X,X,O,X,X,X,X,X,X,X
TJLZSOI,O,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,O,X,X,O,X,X,X,X
TJLZOSI,O,O,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,O,X,X,O,O
TJLOIZS,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TJLOSZI,O,O,O,X,O,X,X,X,X,X,X,O
TJLOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TJLOZSI,O,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,X,X,X,X,X,X,O,O
TJSILOZ,O,X,X,O,X,X,X,X,X,X,O,O
TJSIZLO,O,X,X,O,X,X,X,X,X,X,O,O
TJSIZOL,O,O,X,O,X,X,X,X,X,X,O,O
TJSIOLZ,O,X,X,O,X,X,X,X,X,X,O,O
TJSIOZL,O,O,X,O,X,X,X,X,X,X,O,O
TJSLIZO,O,O,X,X,X,X,X,X,X,X,X,O
TJSLIOZ,O,O,X,X,X,X,X,X,X,X,X,O
TJSLZIO,O,O,O,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,X,X,X,X,X,O
TJSLOIZ,O,O,X,X,X,X,X,X,X,X,X,O
TJSLOZI,O,O,O,X,O,X,X,X,X,X,X,O
TJSZILO,O,X,X,X,X,X,X,X,X,X,X,O
TJSZIOL,O,O,X,X,X,X,X,X,X,X,X,O
TJSZLIO,O,O,O,X,O,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,O,X,X,X,X,X,X,O
TJSZOIL,O,O,X,O,X,X,X,X,X,X,X,O
TJSZOLI,O,O,O,X,O,X,X,X,X,X,X,O
TJSOILZ,O,X,X,O,X,X,X,X,X,X,O,O
TJSOIZL,O,O,X,O,X,X,X,X,X,X,O,O
TJSOLIZ,O,O,X,X,X,X,X,X,X,X,X,O
TJSOLZI,O,O,O,X,O,X,X,X,X,X,X,O
TJSOZIL,O,O,X,O,X,X,X,X,X,X,X,O
TJSOZLI,O,O,O,X,O,X,X,X,X,X,X,O
TJZILSO,X,O,X,X,O,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,X,O,O
TJZISOL,X,O,X,X,X,X,X,X,X,X,O,O
TJZIOLS,O,O,X,X,O,X,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X,X,X,X,O,O
TJZLISO,X,O,X,X,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLSIO,O,O,X,X,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,O,X,X,O
TJZSIOL,O,O,X,X,X,X,X,X,O,X,X,O
TJZSLIO,O,O,X,X,O,X,X,X,O,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,O,X,X,O
TJZSOIL,O,O,X,X,X,X,X,X,O,X,X,O
TJZSOLI,O,O,X,X,O,X,X,X,O,X,X,O
TJZOILS,O,O,X,X,O,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,X,X,X,X,X,O,O
TJZOLIS,O,O,X,X,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X,O,X,X,O
TJZOSLI,O,O,X,X,O,X,X,X,O,X,X,O
TJOILSZ,X,O,X,O,X,X,X,O,X,X,O,O
TJOILZS,O,O,X,X,O,X,X,O,X,X,X,X
TJOISLZ,X,X,X,O,X,X,X,X,X,X,O,O
TJOISZL,X,O,X,O,X,O,X,X,X,X,O,O
TJOIZLS,O,O,X,X,O,X,X,X,X,X,X,X
TJOIZSL,X,O,X,O,X,X,X,X,X,X,O,O
TJOLISZ,X,O,X,X,X,X,X,O,X,X,O,O
TJOLIZS,O,O,X,X,O,X,X,O,X,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TJOLSZI,O,O,O,X,O,X,X,X,X,X,X,O
TJOLZIS,O,O,X,X,O,X,X,O,X,X,X,X
TJOLZSI,O,O,X,X,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,X,X,X,X,X,O,O
TJOSIZL,O,O,X,O,X,X,X,X,X,X,O,O
TJOSLIZ,O,O,X,X,X,X,X,X,X,X,X,O
TJOSLZI,O,O,O,X,O,X,X,X,X,X,X,O
TJOSZIL,O,O,X,O,X,X,X,X,X,X,X,O
TJOSZLI,O,O,O,X,O,X,X,X,X,X,X,O
TJOZILS,O,O,X,X,O,X,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,X,X,X,X,O,O
TJOZLIS,O,O,X,X,O,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X,O,X,X,O
TJOZSLI,O,O,X,X,O,X,X,X,O,X,X,O
TSILJZO,O,X,X,O,X,X,O,O,X,O,X,O
TSILJOZ,O,X,X,O,X,X,O,O,X,O,X,O
TSILZJO,O,X,O,X,X,O,O,O,X,O,X,X
TSILZOJ,O,X,O,O,X,O,O,O,X,O,X,O
TSILOJZ,O,X,X,O,X,X,O,O,X,O,X,O
TSILOZJ,O,X,O,O,X,O,O,O,X,O,X,O
TSIJLZO,X,X,X,O,X,X,O,X,X,X,X,O
TSIJLOZ,X,X,X,O,X,X,O,X,X,X,X,O
TSIJZLO,X,X,X,O,X,O,O,X,X,X,X,O
TSIJZOL,O,X,X,O,X,O,O,X,X,X,X,O
TSIJOLZ,X,X,X,O,X,X,O,X,X,X,X,O
TSIJOZL,O,X,X,O,X,O,O,X,X,X,X,O
TSIZLJO,O,X,O,X,X,O,O,X,X,O,X,X
TSIZLOJ,O,X,O,O,X,O,O,X,X,O,X,O
TSIZJLO,X,X,X,O,X,O,O,X,X,X,X,O
TSIZJOL,O,X,X,O,X,O,O,X,X,X,X,O
TSIZOLJ,O,X,O,O,X,O,O,X,X,O,X,O
TSIZOJL,O,X,X,O,X,O,O,X,X,X,X,O
TSIOLJZ,O,X,X,O,X,X,O,O,X,O,X,O
TSIOLZJ,O,X,O,O,X,O,O,O,X,O,X,O
TSIOJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TSIOJZL,O,X,X,O,X,O,O,X,X,X,X,O
TSIOZLJ,O,X,O,O,X,O,O,X,X,O,X,O
TSIOZJL,O,X,X,O,X,O,O,X,X,X,X,O
TSLIJZO,O,X,X,O,X,X,X,O,X,O,X,O
TSLIJOZ,O,X,X,O,X,X,X,O,X,O,X,O
TSLIZJO,O,X,O,X,X,X,X,O,X,O,X,X
TSLIZOJ,O,X,O,O,X,X,X,O,X,O,X,O
TSLIOJZ,O,X,X,O,X,X,X,O,X,O,X,O
TSLIOZJ,O,X,O,O,X,X,X,O,X,O,X,O
TSLJIZO,O,X,X,X,X,X,X,O,X,O,X,O
TSLJIOZ,O,X,X,X,X,X,X,O,X,O,X,O
TSLJZIO,O,X,O,X,O,X,X,X,X,O,X,X
TSLJZOI,O,X,O,X,O,X,X,X,X,O,X,O
TSLJOIZ,O,X,X,X,X,X,X,O,X,O,X,O
