sequence,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcB6jBm?iBXnBFtB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBmcB5jBf?oBVsBatB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcBXnBO?tB6tBlsB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcBenBF?jB6oBftB
TIOZJSL,O,O,X,O
TIOZSLJ,O,O,X,X
TIOZSJL,O,O,O,X
TLIJSZO,O,O,X,X
TLIJSOZ,O,O,X,X
TLIJZSO,O,O,X,X
TLIJZOS,O,O,X,X
TLIJOSZ,O,O,X,X
TLIJOZS,O,O,X,X
TLISJZO,X,O,X,X
TLISJOZ,X,O,X,X
TLISZJO,X,O,X,X
TLISZOJ,O,O,X,X
TLISOJZ,X,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,O,X,X
TLIZJOS,O,O,X,X
TLIZSJO,X,O,X,X
TLIZSOJ,O,O,X,X
TLIZOJS,O,O,X,X
TLIZOSJ,O,O,X,X
TLIOJSZ,O,O,X,X
TLIOJZS,O,O,X,X
TLIOSJZ,X,O,X,X
TLIOSZJ,O,O,X,X
TLIOZJS,O,O,X,X
TLIOZSJ,O,O,X,X
TLJISZO,O,O,X,X
TLJISOZ,O,O,X,X
TLJIZSO,O,O,X,X
TLJIZOS,O,O,X,X
TLJIOSZ,O,O,X,X
TLJIOZS,O,O,X,X
TLJSIZO,O,O,X,X
TLJSIOZ,O,O,X,X
TLJSZIO,O,O,X,X
TLJSZOI,O,O,X,X
TLJSOIZ,O,O,X,X
TLJSOZI,O,O,X,X
TLJZISO,O,O,X,X
TLJZIOS,O,O,X,X
TLJZSIO,O,O,X,X
TLJZSOI,O,O,X,X
TLJZOIS,O,O,X,X
TLJZOSI,O,O,X,X
TLJOISZ,O,O,X,X
TLJOIZS,O,O,X,X
TLJOSIZ,O,O,X,X
TLJOSZI,O,O,X,X
TLJOZIS,O,O,X,X
TLJOZSI,O,O,X,X
TLSIJZO,X,O,X,X
TLSIJOZ,X,O,X,X
TLSIZJO,X,O,X,X
TLSIZOJ,O,O,X,X
TLSIOJZ,X,O,X,X
TLSIOZJ,O,O,X,X
TLSJIZO,O,O,X,X
TLSJIOZ,O,O,X,X
TLSJZIO,O,O,X,X
TLSJZOI,O,O,X,X
TLSJOIZ,O,O,X,X
TLSJOZI,O,O,X,X
TLSZIJO,X,O,X,X
TLSZIOJ,O,O,X,X
TLSZJIO,O,O,X,X
TLSZJOI,O,O,X,X
TLSZOIJ,O,O,X,X
TLSZOJI,O,O,X,X
TLSOIJZ,X,O,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,O,O,X,X
TLSOJZI,O,O,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,O,X,X
TLZIJOS,O,O,X,X
TLZISJO,X,O,X,X
TLZISOJ,O,O,X,X
TLZIOJS,O,O,X,X
