sequence,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBlnBctBCtB,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBFjB6sBctB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBTjBOpBllBXtB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBOpBllBToBXtB
TJSLIOZ,X,O,O,X
TJSLZIO,X,O,O,X
TJSLZOI,X,O,O,X
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,O,X
TJSZILO,O,O,O,O
TJSZIOL,O,O,O,O
TJSZLIO,O,O,O,O
TJSZLOI,O,O,O,O
TJSZOIL,O,O,O,O
TJSZOLI,O,O,O,O
TJSOILZ,X,O,O,X
TJSOIZL,O,O,O,O
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,O,X
TJSOZIL,O,O,O,O
TJSOZLI,O,O,O,O
TJZILSO,O,O,O,O
TJZILOS,O,O,O,O
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,O,O,O
TJZIOSL,O,O,O,O
TJZLISO,O,O,O,O
TJZLIOS,O,O,O,O
TJZLSIO,O,O,O,O
TJZLSOI,O,O,O,O
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,O
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,O,O,O
TJZOISL,O,O,O,O
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,O
TJOILSZ,X,O,X,X
TJOILZS,X,O,X,O
TJOISLZ,X,O,O,X
TJOISZL,O,O,O,O
TJOIZLS,O,O,O,O
TJOIZSL,O,O,O,O
TJOLISZ,X,O,X,X
TJOLIZS,X,O,X,O
TJOLSIZ,X,O,X,X
TJOLSZI,X,O,X,X
TJOLZIS,X,O,X,O
TJOLZSI,X,O,X,O
TJOSILZ,X,O,O,X
TJOSIZL,O,O,O,O
TJOSLIZ,X,O,O,X
TJOSLZI,X,O,O,X
TJOSZIL,O,O,O,O
TJOSZLI,O,O,O,O
TJOZILS,O,O,O,O
TJOZISL,O,O,O,O
TJOZLIS,O,O,O,O
TJOZLSI,O,O,O,O
TJOZSIL,O,O,O,O
TJOZSLI,O,O,O,O
TSILJZO,X,O,O,X
TSILJOZ,X,O,O,X
TSILZJO,X,O,O,X
TSILZOJ,X,O,O,X
TSILOJZ,X,O,O,X
TSILOZJ,X,O,O,X
TSIJLZO,X,O,O,X
TSIJLOZ,X,O,O,X
TSIJZLO,O,O,O,X
TSIJZOL,O,O,O,X
TSIJOLZ,X,O,O,X
TSIJOZL,O,O,O,X
TSIZLJO,O,O,O,X
TSIZLOJ,O,O,O,X
TSIZJLO,O,O,O,X
TSIZJOL,O,O,O,X
TSIZOLJ,O,O,O,X
TSIZOJL,O,O,O,X
TSIOLJZ,X,O,O,X
TSIOLZJ,X,O,O,X
TSIOJLZ,X,O,O,X
TSIOJZL,O,O,O,X
TSIOZLJ,O,O,O,X
TSIOZJL,O,O,O,X
TSLIJZO,X,O,O,X
TSLIJOZ,X,O,O,X
TSLIZJO,X,O,O,X
TSLIZOJ,X,O,O,X
TSLIOJZ,X,O,O,X
TSLIOZJ,X,O,O,X
TSLJIZO,X,O,O,X
TSLJIOZ,X,O,O,X
TSLJZIO,X,O,O,X
TSLJZOI,X,O,O,X
TSLJOIZ,X,O,O,X
TSLJOZI,X,O,O,X
TSLZIJO,X,O,O,X
TSLZIOJ,X,O,O,X
TSLZJIO,X,O,O,X
TSLZJOI,X,O,O,X
TSLZOIJ,X,O,O,X
TSLZOJI,X,O,O,X
TSLOIJZ,X,O,O,X
TSLOIZJ,X,O,O,X
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,X,O,O,X
TSLOZJI,X,O,O,X
TSJILZO,X,O,O,X
TSJILOZ,X,O,O,X
TSJIZLO,O,O,O,O
TSJIZOL,O,O,O,O
TSJIOLZ,X,O,O,X
TSJIOZL,O,O,O,O
TSJLIZO,X,O,O,X
TSJLIOZ,X,O,O,X
TSJLZIO,X,O,O,X
TSJLZOI,X,O,O,X
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,X
TSJZILO,O,O,O,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,O,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,X,O,O,X
TSJOIZL,O,O,O,O
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,X
TSJOZIL,O,O,O,O
TSJOZLI,O,O,O,O
TSZILJO,O,O,O,X
TSZILOJ,O,O,O,X
TSZIJLO,O,O,O,X
TSZIJOL,O,O,O,X
TSZIOLJ,O,O,O,X
TSZIOJL,O,O,O,X
TSZLIJO,O,O,O,X
TSZLIOJ,O,O,O,X
TSZLJIO,O,O,O,O
TSZLJOI,O,O,O,O
TSZLOIJ,O,O,O,X
TSZLOJI,O,O,O,O
TSZJILO,O,O,O,O
TSZJIOL,O,O,O,O
TSZJLIO,O,O,O,O
TSZJLOI,O,O,O,O
TSZJOIL,O,O,O,O
TSZJOLI,O,O,O,O
TSZOILJ,O,O,O,X
TSZOIJL,O,O,O,X
TSZOLIJ,O,O,O,X
TSZOLJI,O,O,O,O
TSZOJIL,O,O,O,O
TSZOJLI,O,O,O,O
TSOILJZ,X,O,O,X
TSOILZJ,X,O,O,X
TSOIJLZ,X,O,O,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,O,O,X
TSOIZJL,O,O,O,X
TSOLIJZ,X,O,O,X
TSOLIZJ,X,O,O,X
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,O,X
TSOLZJI,X,O,O,X
TSOJILZ,X,O,O,X
TSOJIZL,O,O,O,O
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,O,O,O,O
TSOJZLI,O,O,O,O
TSOZILJ,O,O,O,X
TSOZIJL,O,O,O,X
TSOZLIJ,O,O,O,X
TSOZLJI,O,O,O,O
TSOZJIL,O,O,O,O
TSOZJLI,O,O,O,O
TZILJSO,O,O,O,O
TZILJOS,O,O,O,O
TZILSJO,O,O,O,X
TZILSOJ,O,O,O,X
TZILOJS,O,O,X,O
TZILOSJ,O,O,O,X
TZIJLSO,O,O,O,O
TZIJLOS,O,O,O,O
TZIJSLO,O,O,O,O
TZIJSOL,O,O,O,O
TZIJOLS,O,O,O,O
TZIJOSL,O,O,O,O
TZISLJO,O,O,O,X
TZISLOJ,O,O,O,X
TZISJLO,O,O,O,X
TZISJOL,O,O,O,X
TZISOLJ,O,O,O,X
TZISOJL,O,O,O,X
TZIOLJS,O,O,X,O
TZIOLSJ,O,O,O,X
TZIOJLS,O,O,X,O
TZIOJSL,O,O,X,O
TZIOSLJ,O,O,O,X
TZIOSJL,O,O,O,X
TZLIJSO,O,O,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,X
TZLISOJ,O,O,O,X
TZLIOJS,O,O,X,O
TZLIOSJ,O,O,O,X
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,O,O,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,O,X
TZLSOJI,O,O,O,O
TZLOIJS,O,O,X,O
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,O
TZJILSO,O,O,O,O
TZJILOS,O,O,O,O
TZJISLO,O,O,O,O
TZJISOL,O,O,O,O
TZJIOLS,O,O,O,O
TZJIOSL,O,O,O,O
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,O
TZJOILS,O,O,O,O
TZJOISL,O,O,O,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,O,O
TZJOSLI,O,O,O,O
TZSILJO,O,O,O,X
TZSILOJ,O,O,O,X
TZSIJLO,O,O,O,X
TZSIJOL,O,O,O,X
TZSIOLJ,O,O,O,X
TZSIOJL,O,O,O,X
TZSLIJO,O,O,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,O,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,X
TZSLOJI,O,O,O,O
TZSJILO,O,O,O,O
TZSJIOL,O,O,O,O
TZSJLIO,O,O,O,O
TZSJLOI,O,O,O,O
TZSJOIL,O,O,O,O
TZSJOLI,O,O,O,O
TZSOILJ,O,O,O,X
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,O,O
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,O
TZOILJS,O,O,X,O
TZOILSJ,O,O,O,X
TZOIJLS,O,O,X,O
TZOIJSL,O,O,X,O
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,X,O
TZOLISJ,O,O,O,X
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,O
TZOJILS,O,O,O,O
TZOJISL,O,O,O,O
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,O
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,O
TOILJSZ,X,O,X,X
TOILJZS,X,O,X,X
TOILSJZ,X,O,X,X
TOILSZJ,X,O,X,X
TOILZJS,X,O,X,X
TOILZSJ,X,O,X,X
TOIJLSZ,X,O,X,X
TOIJLZS,X,O,X,O
TOIJSLZ,X,O,X,X
TOIJSZL,O,O,X,O
TOIJZLS,O,O,X,O
TOIJZSL,O,O,X,O
TOISLJZ,X,O,O,X
TOISLZJ,X,O,O,X
TOISJLZ,X,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,X,O
TOIZLSJ,O,O,O,X
TOIZJLS,O,O,X,O
TOIZJSL,O,O,X,O
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,X,O,X,X
TOLIJZS,X,O,X,X
TOLISJZ,X,O,X,X
TOLISZJ,X,O,X,X
TOLIZJS,X,O,X,X
TOLIZSJ,X,O,X,X
TOLJISZ,X,O,X,X
TOLJIZS,X,O,X,O
TOLJSIZ,X,O,X,X
TOLJSZI,X,O,X,X
TOLJZIS,X,O,X,O
TOLJZSI,X,O,X,O
TOLSIJZ,X,O,X,X
TOLSIZJ,X,O,X,X
TOLSJIZ,X,O,X,X
TOLSJZI,X,O,X,X
TOLSZIJ,X,O,X,X
TOLSZJI,X,O,X,X
TOLZIJS,X,O,X,O
TOLZISJ,X,O,X,X
TOLZJIS,X,O,X,O
TOLZJSI,X,O,X,O
TOLZSIJ,X,O,X,X
TOLZSJI,X,O,X,O
TOJILSZ,X,O,X,X
TOJILZS,X,O,X,O
TOJISLZ,X,O,O,X
TOJISZL,O,O,O,O
TOJIZLS,O,O,O,O
TOJIZSL,O,O,O,O
TOJLISZ,X,O,X,X
TOJLIZS,X,O,X,O
TOJLSIZ,X,O,X,X
TOJLSZI,X,O,X,X
TOJLZIS,X,O,X,O
TOJLZSI,X,O,X,O
TOJSILZ,X,O,O,X
TOJSIZL,O,O,O,O
TOJSLIZ,X,O,O,X
TOJSLZI,X,O,O,X
TOJSZIL,O,O,O,O
TOJSZLI,O,O,O,O
TOJZILS,O,O,O,O
TOJZISL,O,O,O,O
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
