sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
TIJSOLZ,X,X,X,X,X,X,O,X,X,O,O
TIJSOZL,X,X,O,X,X,X,O,X,X,X,O
TIJZLSO,O,X,X,X,X,O,O,X,X,O,O
TIJZLOS,X,X,O,X,X,X,X,O,X,X,X
TIJZSLO,O,X,X,X,X,O,X,X,X,O,O
TIJZSOL,O,X,O,X,X,O,X,O,X,X,O
TIJZOLS,X,X,O,X,X,X,X,O,X,X,X
TIJZOSL,O,X,O,X,X,O,X,O,X,X,O
TIJOLSZ,X,X,O,X,X,X,O,X,X,O,X
TIJOLZS,X,X,O,X,X,X,X,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,O,O
TIJOSZL,X,X,O,X,X,X,X,X,X,O,O
TIJOZLS,X,X,O,X,X,X,X,O,X,O,X
TIJOZSL,X,X,O,X,X,X,X,O,X,O,O
TISLJZO,X,X,X,X,X,X,O,X,X,O,O
TISLJOZ,X,X,X,X,X,X,O,X,X,X,O
TISLZJO,O,X,X,X,X,O,X,X,O,O,O
TISLZOJ,X,X,X,X,X,X,O,X,X,O,O
TISLOJZ,X,X,X,X,O,X,O,X,X,X,X
TISLOZJ,X,X,X,X,O,X,O,X,X,O,O
TISJLZO,X,X,X,X,X,X,O,X,X,O,O
TISJLOZ,X,X,X,X,X,X,O,X,X,X,O
TISJZLO,O,X,X,X,X,O,X,X,X,X,O
TISJZOL,O,X,O,X,X,O,X,X,X,X,O
TISJOLZ,X,X,X,X,X,X,O,X,X,X,O
TISJOZL,X,X,O,X,X,X,X,X,X,X,O
TISZLJO,O,X,X,X,X,O,X,X,O,O,O
TISZLOJ,X,X,X,X,X,X,O,X,X,O,O
TISZJLO,O,X,X,X,X,O,X,X,O,X,O
TISZJOL,O,X,O,X,X,O,X,O,X,X,X
TISZOLJ,X,X,X,X,X,X,O,X,X,X,O
TISZOJL,O,X,X,X,X,O,X,O,X,X,X
TISOLJZ,X,X,X,X,O,X,O,X,X,X,X
TISOLZJ,X,X,X,X,O,X,O,X,X,O,O
TISOJLZ,X,X,X,X,O,X,O,X,X,X,X
TISOJZL,X,X,X,X,O,X,X,X,X,X,X
TISOZLJ,X,X,X,X,O,X,O,X,X,X,O
TISOZJL,O,X,X,X,O,O,X,O,X,X,X
TIZLJSO,O,O,X,O,X,O,O,O,X,X,X
TIZLJOS,O,O,O,O,X,O,X,O,X,X,X
TIZLSJO,O,X,X,O,X,O,X,O,X,O,O
TIZLSOJ,O,X,X,O,X,O,O,O,X,O,O
TIZLOJS,O,X,X,O,X,O,X,O,X,X,X
TIZLOSJ,O,X,X,O,X,O,X,O,X,X,X
TIZJLSO,O,O,X,O,X,O,O,O,X,X,X
TIZJLOS,O,O,O,O,X,O,X,O,X,X,X
TIZJSLO,O,O,X,X,X,O,X,X,O,X,O
TIZJSOL,O,O,O,X,X,O,X,O,X,X,X
TIZJOLS,O,O,O,X,X,X,X,O,X,X,X
TIZJOSL,O,O,O,X,X,O,X,O,X,X,X
TIZSLJO,O,X,X,X,X,O,X,X,O,O,O
TIZSLOJ,X,X,X,X,X,X,X,X,X,O,O
TIZSJLO,O,X,X,X,X,O,X,X,O,X,O
TIZSJOL,O,X,O,X,X,O,X,O,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,O
TIZSOJL,O,X,X,X,X,O,X,O,X,X,X
TIZOLJS,O,O,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,O,X,X,X
TIZOJSL,O,O,O,X,X,O,X,O,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,O
TIZOSJL,O,X,X,X,X,O,X,O,X,X,X
TIOLJSZ,O,X,X,X,X,X,O,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,X,X,O,X
TIOLZJS,O,O,X,X,X,X,X,O,X,X,X
TIOLZSJ,O,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,O,X,O,X,O,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,O,X,X,X
TIOJZSL,O,X,O,X,O,X,X,O,X,X,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X,O,O
TIOSJLZ,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,X,X,O
TIOSZJL,O,X,X,X,O,O,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,O,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,O,X,X,X
TIOZJSL,O,O,O,X,O,O,X,O,X,X,X
TIOZSLJ,O,X,X,X,O,X,X,X,X,X,O
TIOZSJL,O,X,X,X,O,O,X,O,X,X,X
TLIJSZO,O,X,O,X,X,O,O,X,X,O,X
TLIJSOZ,X,X,O,X,X,X,O,X,X,O,X
TLIJZSO,O,X,O,O,X,O,O,O,X,O,X
TLIJZOS,O,X,O,O,X,O,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,X,O,X,X,O,X
TLIJOZS,X,X,O,X,X,X,X,O,X,O,X
TLISJZO,O,X,O,O,X,O,O,X,X,O,O
TLISJOZ,X,X,O,O,X,X,O,X,X,X,X
TLISZJO,O,X,O,O,X,O,X,O,X,O,O
TLISZOJ,O,X,X,O,X,O,O,O,X,O,O
TLISOJZ,X,X,X,O,X,X,O,X,X,X,X
TLISOZJ,O,X,X,O,X,O,O,O,X,O,O
TLIZJSO,O,O,O,O,X,O,O,O,X,X,X
TLIZJOS,O,O,O,O,X,O,X,O,X,X,X
TLIZSJO,O,X,O,O,X,O,X,O,X,O,O
TLIZSOJ,O,X,X,O,X,O,O,O,X,O,O
TLIZOJS,O,X,O,O,X,O,X,O,X,X,X
TLIZOSJ,O,X,X,O,X,O,X,O,X,X,X
TLIOJSZ,X,X,O,X,X,O,O,X,X,X,X
TLIOJZS,X,X,O,X,X,O,X,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,O,X,X,X,X
TLIOSZJ,O,X,X,X,X,O,O,O,X,O,X
TLIOZJS,O,X,O,O,X,O,X,O,X,X,X
TLIOZSJ,O,X,X,O,X,O,X,O,X,X,X
TLJISZO,O,X,O,X,X,O,O,X,X,O,X
TLJISOZ,X,X,O,X,X,X,O,X,X,O,X
TLJIZSO,O,O,O,O,X,O,O,O,X,O,X
TLJIZOS,O,O,O,O,X,O,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,O,X,X,O,X
TLJIOZS,X,X,O,X,X,X,X,O,X,O,X
TLJSIZO,O,X,O,X,X,O,O,X,X,O,X
TLJSIOZ,X,X,O,X,X,X,O,X,X,O,X
TLJSZIO,O,O,O,X,X,O,O,X,X,O,X
TLJSZOI,O,O,O,X,X,O,O,X,X,O,X
TLJSOIZ,X,X,O,X,X,X,O,X,X,O,X
TLJSOZI,X,X,O,X,X,X,O,X,X,O,X
TLJZISO,O,O,O,O,X,O,O,O,X,O,X
TLJZIOS,O,O,O,O,X,O,X,O,X,X,X
TLJZSIO,O,O,O,O,X,O,O,O,X,O,X
TLJZSOI,O,O,O,O,X,O,O,O,X,O,X
TLJZOIS,O,O,O,O,X,O,X,O,X,X,X
TLJZOSI,O,O,O,O,X,O,X,O,X,X,X
TLJOISZ,X,X,O,X,X,X,O,X,X,O,X
TLJOIZS,X,X,O,X,X,X,X,O,X,O,X
TLJOSIZ,X,X,O,X,X,X,O,X,X,O,X
TLJOSZI,X,X,O,X,X,X,O,X,X,O,X
TLJOZIS,X,O,O,X,X,X,X,O,X,O,X
TLJOZSI,X,O,O,X,X,X,X,O,X,O,X
TLSIJZO,O,X,O,O,X,O,O,X,X,O,O
TLSIJOZ,X,X,O,O,X,X,O,X,X,X,X
TLSIZJO,O,X,O,O,X,O,X,O,X,O,O
TLSIZOJ,O,X,X,O,X,O,O,O,X,O,O
TLSIOJZ,X,X,X,O,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,O,X,O,O,O,X,O,O
TLSJIZO,O,X,O,O,X,O,O,X,X,O,O
TLSJIOZ,X,X,O,O,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,X,O,O,X,X,O,O
TLSJZOI,O,X,O,O,X,O,O,X,X,X,O
TLSJOIZ,X,X,O,O,X,X,O,X,X,X,X
TLSJOZI,X,X,O,O,X,X,O,X,X,X,X
TLSZIJO,O,X,O,O,X,O,X,O,X,O,O
TLSZIOJ,O,X,X,O,X,O,O,O,X,O,O
TLSZJIO,O,X,O,O,X,O,X,O,X,O,O
TLSZJOI,O,X,O,O,X,O,X,O,X,X,O
TLSZOIJ,O,X,X,O,X,O,O,O,X,O,O
TLSZOJI,O,X,X,O,X,O,O,O,X,X,O
TLSOIJZ,X,X,X,O,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,O,X,O,O,O,X,O,O
TLSOJIZ,X,X,X,O,X,X,O,X,X,X,X
TLSOJZI,X,X,X,O,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,O,X,O,O,O,X,O,O
TLSOZJI,O,X,X,O,X,O,O,O,X,X,O
TLZIJSO,O,O,O,O,X,O,O,O,X,X,X
TLZIJOS,O,O,O,O,X,O,X,O,X,X,X
TLZISJO,O,X,O,O,X,O,X,O,X,O,O
TLZISOJ,O,X,X,O,X,O,O,O,X,O,O
TLZIOJS,O,X,O,O,X,O,X,O,X,X,X
TLZIOSJ,O,X,X,O,X,O,X,O,X,X,X
TLZJISO,O,O,O,O,X,O,O,O,X,X,X
TLZJIOS,O,O,O,O,X,O,X,O,X,X,X
TLZJSIO,O,O,O,O,X,O,O,O,X,X,X
TLZJSOI,O,O,O,O,X,O,O,O,X,X,X
TLZJOIS,O,O,O,O,X,O,X,O,X,X,X
TLZJOSI,O,O,O,O,X,O,X,O,X,X,X
TLZSIJO,O,X,O,O,X,O,X,O,X,O,O
TLZSIOJ,O,X,X,O,X,O,O,O,X,O,O
TLZSJIO,O,X,O,O,X,O,X,O,X,O,O
TLZSJOI,O,X,O,O,X,O,X,O,X,X,O
TLZSOIJ,O,X,X,O,X,O,O,O,X,O,O
TLZSOJI,O,X,X,O,X,O,O,O,X,X,O
TLZOIJS,O,X,O,O,X,O,X,O,X,X,X
TLZOISJ,O,X,X,O,X,O,X,O,X,X,X
TLZOJIS,O,X,O,O,X,O,X,O,X,X,X
TLZOJSI,O,X,O,O,X,O,X,O,X,X,X
TLZOSIJ,O,X,X,O,X,O,X,O,X,X,X
TLZOSJI,O,X,X,O,X,O,X,O,X,X,X
TLOIJSZ,X,X,O,X,X,O,O,X,X,X,X
TLOIJZS,X,X,O,X,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,X,O,O,X,X,X,X
TLOISZJ,O,X,X,X,X,O,O,O,X,O,X
TLOIZJS,O,X,O,O,X,O,X,O,X,X,X
TLOIZSJ,O,X,X,O,X,O,X,O,X,X,X
TLOJISZ,X,X,O,X,X,O,O,X,X,X,X
TLOJIZS,X,X,O,X,X,O,X,O,X,X,X
TLOJSIZ,X,X,O,X,X,O,O,X,X,X,X
TLOJSZI,X,X,O,X,X,O,O,X,X,X,X
TLOJZIS,X,X,O,X,X,O,X,O,X,X,X
TLOJZSI,X,X,O,X,X,O,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,O,O,X,X,X,X
TLOSIZJ,O,X,X,X,X,O,O,O,X,O,X
TLOSJIZ,X,X,X,X,X,O,O,X,X,X,X
TLOSJZI,X,X,X,X,X,O,O,X,X,X,X
TLOSZIJ,O,X,X,X,X,O,O,O,X,O,X
TLOSZJI,O,X,X,X,X,O,O,O,X,X,X
TLOZIJS,O,X,O,O,X,O,X,O,X,X,X
TLOZISJ,O,X,X,O,X,O,X,O,X,X,X
TLOZJIS,O,X,O,O,X,O,X,O,X,X,X
TLOZJSI,O,X,O,O,X,O,X,O,X,X,X
TLOZSIJ,O,X,X,O,X,O,X,O,X,X,X
TLOZSJI,O,X,X,O,X,O,X,O,X,X,X
TJILSZO,X,X,O,X,X,X,O,X,X,O,O
TJILSOZ,X,X,O,X,X,X,O,X,X,O,O
TJILZSO,X,O,O,X,X,X,O,X,X,O,O
TJILZOS,X,O,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,O,X,X,O,X
TJILOZS,X,X,O,X,X,X,X,X,X,O,X
TJISLZO,X,X,X,X,X,X,O,X,X,O,O
TJISLOZ,X,X,X,X,X,X,O,X,X,O,O
TJISZLO,O,X,X,X,X,O,O,X,X,O,O
TJISZOL,O,X,O,X,X,O,O,X,X,X,O
TJISOLZ,X,X,X,X,X,X,O,X,X,O,O
TJISOZL,X,X,O,X,X,X,O,X,X,X,O
TJIZLSO,O,O,X,X,X,O,O,X,X,O,O
TJIZLOS,X,O,O,X,X,X,X,O,X,X,X
TJIZSLO,O,O,X,X,X,O,X,X,X,O,O
TJIZSOL,O,O,O,X,X,O,X,O,X,X,O
TJIZOLS,X,O,O,X,X,X,X,O,X,X,X
TJIZOSL,O,O,O,X,X,O,X,O,X,X,O
TJIOLSZ,X,X,O,X,X,X,O,X,X,O,X
TJIOLZS,X,O,O,X,X,X,X,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,O,O
TJIOSZL,X,X,O,X,X,X,X,X,X,O,O
TJIOZLS,X,O,O,X,X,X,X,O,X,O,X
TJIOZSL,X,O,O,X,X,X,X,O,X,O,O
TJLISZO,O,X,O,X,X,O,O,X,X,O,O
TJLISOZ,X,X,O,X,X,X,O,X,X,O,O
TJLIZSO,O,O,O,X,X,O,O,X,X,O,O
TJLIZOS,O,O,O,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,O,X,X,O,X
TJLIOZS,X,X,O,X,X,X,X,X,X,O,X
TJLSIZO,O,X,O,X,X,O,O,X,X,O,O
TJLSIOZ,X,X,O,X,X,X,O,X,X,O,O
TJLSZIO,O,O,O,X,X,O,O,X,X,O,O
TJLSZOI,O,O,O,X,X,O,O,X,X,O,O
TJLSOIZ,X,X,O,X,X,X,O,X,X,O,O
TJLSOZI,X,X,O,X,X,X,O,X,X,O,O
TJLZISO,O,O,O,X,X,O,O,X,X,O,O
TJLZIOS,O,O,O,X,X,O,X,X,X,X,X
TJLZSIO,O,O,O,X,X,O,O,X,X,O,O
TJLZSOI,O,O,O,X,X,O,O,X,X,O,O
TJLZOIS,O,O,O,X,X,O,X,X,X,X,X
TJLZOSI,O,O,O,X,X,O,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,O,X,X,O,X
TJLOIZS,X,O,O,X,X,X,X,X,X,O,X
TJLOSIZ,X,X,O,X,X,X,O,X,X,O,X
TJLOSZI,X,O,O,X,X,X,O,X,X,O,X
TJLOZIS,X,O,O,X,X,X,X,X,X,O,X
TJLOZSI,X,O,O,X,X,X,X,X,X,O,X
TJSILZO,X,X,X,X,X,X,O,X,X,O,O
TJSILOZ,X,X,X,X,X,X,O,X,X,O,O
TJSIZLO,O,X,X,X,X,O,O,X,X,O,O
TJSIZOL,O,X,O,X,X,O,O,X,X,X,O
TJSIOLZ,X,X,X,X,X,X,O,X,X,O,O
TJSIOZL,X,X,O,X,X,X,O,X,X,X,O
TJSLIZO,X,X,O,X,X,X,O,X,X,O,O
TJSLIOZ,X,X,O,X,X,X,O,X,X,O,O
TJSLZIO,X,O,O,X,X,X,O,X,O,O,O
TJSLZOI,X,O,O,X,X,X,O,X,O,O,O
TJSLOIZ,X,X,O,X,X,X,O,X,X,O,O
TJSLOZI,X,X,O,X,X,X,O,X,O,O,O
TJSZILO,O,O,X,X,X,O,O,X,O,O,O
TJSZIOL,O,O,O,X,X,O,O,X,X,X,O
TJSZLIO,O,O,X,X,X,O,O,X,O,O,O
TJSZLOI,X,O,X,X,X,X,O,X,O,O,O
TJSZOIL,O,O,O,X,X,O,O,X,X,X,O
TJSZOLI,X,O,O,X,X,X,O,X,O,X,O
TJSOILZ,X,X,X,X,X,X,O,X,X,O,O
TJSOIZL,X,X,O,X,X,X,O,X,X,X,O
TJSOLIZ,X,X,O,X,X,X,O,X,X,O,O
TJSOLZI,X,O,O,X,X,X,O,X,O,O,O
TJSOZIL,X,O,O,X,X,X,O,X,X,X,O
TJSOZLI,X,O,O,X,X,X,O,X,O,X,O
TJZILSO,O,O,X,X,X,O,O,X,X,O,O
TJZILOS,O,O,O,X,X,O,X,O,X,X,X
TJZISLO,O,O,X,X,X,O,X,X,O,O,O
TJZISOL,O,O,O,X,X,O,X,O,X,X,O
TJZIOLS,X,O,O,X,X,X,X,O,X,X,X
TJZIOSL,O,O,O,X,X,O,X,O,X,X,O
TJZLISO,O,O,O,X,X,O,O,X,X,O,O
TJZLIOS,O,O,O,X,X,O,X,O,X,X,X
TJZLSIO,O,O,O,X,X,O,O,X,X,O,O
TJZLSOI,O,O,O,X,X,O,O,X,X,O,O
TJZLOIS,O,O,O,X,X,O,X,O,X,X,X
TJZLOSI,O,O,O,X,X,O,X,O,X,X,X
TJZSILO,O,O,X,X,X,O,X,X,O,O,O
TJZSIOL,O,O,O,X,X,O,X,O,X,X,O
TJZSLIO,O,O,X,X,X,O,X,X,O,O,O
TJZSLOI,O,O,X,X,X,O,X,X,O,O,O
TJZSOIL,O,O,O,X,X,O,X,O,X,X,O
TJZSOLI,X,O,O,X,X,X,X,O,O,X,O
TJZOILS,X,O,O,X,X,X,X,O,X,X,X
TJZOISL,O,O,O,X,X,O,X,O,X,X,O
TJZOLIS,O,O,O,X,X,O,X,O,X,X,X
TJZOLSI,O,O,O,X,X,O,X,O,X,X,X
TJZOSIL,O,O,O,X,X,O,X,O,X,X,O
TJZOSLI,X,O,O,X,X,X,X,O,O,X,O
TJOILSZ,X,X,O,X,X,X,O,X,X,O,X
TJOILZS,X,O,O,X,X,X,X,X,X,O,X
TJOISLZ,X,X,X,X,X,X,X,X,X,O,O
TJOISZL,X,X,O,X,X,X,X,X,X,O,O
TJOIZLS,X,O,O,X,X,X,X,O,X,O,X
TJOIZSL,X,O,O,X,X,X,X,O,X,O,O
TJOLISZ,X,X,O,X,X,X,O,X,X,O,X
TJOLIZS,X,O,O,X,X,X,X,X,X,O,X
TJOLSIZ,X,X,O,X,X,X,O,X,X,O,X
TJOLSZI,X,O,O,X,X,X,O,X,X,O,X
TJOLZIS,X,O,O,X,X,X,X,X,X,O,X
TJOLZSI,X,O,O,X,X,X,X,X,X,O,X
TJOSILZ,X,X,X,X,X,X,X,X,X,O,O
TJOSIZL,X,X,O,X,X,X,X,X,X,O,O
TJOSLIZ,X,X,O,X,X,X,X,X,X,O,O
TJOSLZI,X,O,O,X,X,X,X,X,O,O,O
TJOSZIL,X,O,O,X,X,X,X,X,X,O,O
TJOSZLI,X,O,O,X,X,X,X,X,O,O,O
TJOZILS,X,O,O,X,X,X,X,O,X,O,X
TJOZISL,X,O,O,X,X,X,X,O,X,O,O
TJOZLIS,X,O,O,X,X,X,X,O,X,O,X
TJOZLSI,X,O,O,X,X,X,X,O,X,O,X
TJOZSIL,X,O,O,X,X,X,X,O,X,O,O
TJOZSLI,X,O,O,X,X,X,X,O,O,O,O
TSILJZO,X,X,X,X,X,X,O,X,X,O,O
TSILJOZ,X,X,X,X,X,X,O,X,X,X,O
TSILZJO,O,X,X,X,X,O,X,X,O,O,O
TSILZOJ,X,X,X,X,X,X,O,X,X,O,O
TSILOJZ,X,X,X,X,O,X,O,X,X,X,X
TSILOZJ,X,X,X,X,O,X,O,X,X,O,O
TSIJLZO,X,X,X,X,X,X,O,X,X,O,O
TSIJLOZ,X,X,X,X,X,X,O,X,X,X,O
TSIJZLO,O,X,X,X,X,O,X,X,X,X,O
TSIJZOL,O,X,O,X,X,O,X,X,X,X,O
TSIJOLZ,X,X,X,X,X,X,O,X,X,X,O
TSIJOZL,X,X,O,X,X,X,X,X,X,X,O
TSIZLJO,O,X,X,X,X,O,X,X,O,O,O
TSIZLOJ,X,X,X,X,X,X,O,X,X,O,O
TSIZJLO,O,X,X,X,X,O,X,X,O,X,O
TSIZJOL,O,X,O,X,X,O,X,O,X,X,X
TSIZOLJ,X,X,X,X,X,X,O,X,X,X,O
TSIZOJL,O,X,X,X,X,O,X,O,X,X,X
TSIOLJZ,X,X,X,X,O,X,O,X,X,X,X
TSIOLZJ,X,X,X,X,O,X,O,X,X,O,O
TSIOJLZ,X,X,X,X,O,X,O,X,X,X,X
TSIOJZL,X,X,X,X,O,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,O,X,O,X,X,X,O
TSIOZJL,O,X,X,X,O,O,X,O,X,X,X
TSLIJZO,O,X,O,X,X,O,O,X,X,O,O
TSLIJOZ,X,X,O,X,X,X,O,X,X,X,O
TSLIZJO,O,X,O,X,X,O,X,X,O,O,O
TSLIZOJ,O,X,X,X,X,O,O,X,X,O,O
TSLIOJZ,X,X,X,X,O,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,O,O,O,X,X,O,O
TSLJIZO,O,X,O,X,X,O,O,X,X,O,O
TSLJIOZ,X,X,O,X,X,X,O,X,X,X,O
TSLJZIO,O,X,O,X,X,O,O,X,O,O,O
TSLJZOI,O,X,O,X,X,O,O,X,O,X,O
TSLJOIZ,X,X,O,X,X,X,O,X,X,X,O
TSLJOZI,X,X,O,X,X,X,O,X,O,X,O
TSLZIJO,O,X,O,X,X,O,X,X,O,O,O
TSLZIOJ,O,X,X,X,X,O,O,X,X,O,O
TSLZJIO,O,X,O,X,X,O,X,X,O,O,O
TSLZJOI,O,X,O,X,X,O,X,X,O,X,O
TSLZOIJ,O,X,X,X,X,O,O,X,X,O,O
TSLZOJI,O,X,X,X,X,O,O,X,X,X,O
TSLOIJZ,X,X,X,X,O,X,O,X,X,X,X
TSLOIZJ,O,X,X,X,O,O,O,X,X,O,O
TSLOJIZ,X,X,X,X,O,X,O,X,X,X,X
TSLOJZI,X,X,X,X,O,X,O,X,X,X,X
TSLOZIJ,O,X,X,X,O,O,O,X,X,O,O
TSLOZJI,O,X,X,X,O,O,O,X,X,X,O
TSJILZO,X,X,X,X,X,X,O,X,X,O,O
TSJILOZ,X,X,X,X,X,X,O,X,X,X,O
TSJIZLO,O,X,X,X,X,O,X,X,X,X,O
TSJIZOL,O,X,O,X,X,O,X,X,X,X,O
TSJIOLZ,X,X,X,X,X,X,O,X,X,X,O
TSJIOZL,X,X,O,X,X,X,X,X,X,X,O
TSJLIZO,X,X,O,X,X,X,O,X,X,O,O
TSJLIOZ,X,X,O,X,X,X,O,X,X,X,O
TSJLZIO,X,X,O,X,X,X,O,X,O,O,O
TSJLZOI,X,X,O,X,X,X,O,X,O,X,O
TSJLOIZ,X,X,O,X,X,X,O,X,X,X,O
TSJLOZI,X,X,O,X,X,X,O,X,O,X,O
TSJZILO,O,X,X,X,X,O,X,X,O,X,O
TSJZIOL,O,X,O,X,X,O,X,X,X,X,O
TSJZLIO,O,X,X,X,X,O,X,X,O,X,O
TSJZLOI,X,X,X,X,X,X,X,X,O,X,O
