sequence,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBFiBu?sBirBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFSiBTeBZmBu?rB3nBUsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBm?rB6sB3rB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxcBTeBKrBf?sBlnBGsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBi?rBGsBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBGeBamBz?iB/sB1wB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFuhB3dBcjBZ?mBCsBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeB3hBlnBm?rB6sBUrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFViBcjBamB3?iB+rBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBTeBamBl?nB3rB+sB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxdB3hBlnBm?rBCtBTrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8JeU9IvhFFhBXjBzmBm?lBCoBxwB
TLZOJSI,X,X,O,X,O,X,O,X,O,X,X,X
TLZOSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLZOSJI,X,X,X,O,O,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TLOIJZS,X,X,X,X,X,X,O,X,O,X,X,X
TLOISJZ,X,O,X,X,X,X,O,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,X,X,X,O,O,O,X,O,X,X,X
TLOIZSJ,X,X,X,X,O,O,O,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TLOJSZI,X,X,X,X,X,O,X,O,O,X,X,X
TLOJZIS,X,X,O,X,O,O,X,X,O,X,X,X
TLOJZSI,X,X,O,X,O,X,O,X,O,X,X,X
TLOSIJZ,X,O,X,O,X,O,X,X,X,X,X,X
TLOSIZJ,X,O,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,O,X,O,X,O,X,X,X,X
TLOSJZI,X,X,X,O,X,O,X,O,X,X,X,X
TLOSZIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLOSZJI,X,X,X,O,O,O,X,X,X,X,X,X
TLOZIJS,X,X,O,X,O,O,O,X,O,X,X,X
TLOZISJ,X,X,X,O,O,O,O,X,X,X,X,X
TLOZJIS,X,X,O,X,O,O,X,X,O,X,X,X
TLOZJSI,X,X,O,X,O,X,O,X,O,X,X,X
TLOZSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLOZSJI,X,X,X,O,O,O,O,X,X,X,X,X
TJILSZO,X,O,X,X,X,O,O,X,O,X,X,X
TJILSOZ,X,O,X,X,X,X,O,X,X,X,X,X
TJILZSO,O,X,X,X,X,O,O,X,O,X,X,X
TJILZOS,O,X,X,X,X,O,O,X,O,X,X,X
TJILOSZ,X,O,X,X,X,X,O,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,O,X,O,X,X,X
TJISLZO,X,O,X,X,X,O,X,O,X,X,O,X
TJISLOZ,X,O,X,X,X,X,X,O,X,X,O,X
TJISZLO,X,O,X,X,X,O,X,O,X,X,O,X
TJISZOL,X,O,X,X,X,O,X,O,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,O,X,X,O,O,X,O,X,X,X
TJIZLOS,O,X,O,X,X,O,O,X,O,X,X,X
TJIZSLO,X,O,O,X,X,O,O,X,X,X,O,X
TJIZSOL,O,O,O,X,X,O,O,X,X,X,X,X
TJIZOLS,O,X,O,X,X,O,X,X,X,X,X,X
TJIZOSL,O,O,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,O,X,X,X,O
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X,X,X,X,X,O
TJLISZO,X,X,X,X,X,O,O,X,O,X,X,X
TJLISOZ,X,X,X,X,X,X,O,X,X,X,X,X
TJLIZSO,O,X,X,X,X,O,O,X,O,X,X,X
TJLIZOS,O,X,X,X,X,O,O,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,O,X,O,X,X,X
TJLIOZS,O,X,X,X,X,X,O,X,O,X,X,X
TJLSIZO,X,O,X,X,X,O,X,O,O,X,O,X
TJLSIOZ,X,O,X,X,X,X,X,O,X,X,O,X
TJLSZIO,O,X,X,X,X,O,O,O,O,X,O,X
TJLSZOI,O,X,X,X,X,O,O,O,O,X,O,X
TJLSOIZ,X,O,X,X,X,O,X,O,X,X,O,X
TJLSOZI,O,X,X,X,X,O,X,O,X,X,O,X
TJLZISO,O,X,O,X,O,O,O,X,O,X,X,X
TJLZIOS,O,X,O,X,O,O,O,X,O,X,X,X
TJLZSIO,O,X,O,X,O,O,O,X,O,X,O,X
TJLZSOI,O,X,O,X,O,O,O,X,O,X,O,X
TJLZOIS,O,X,O,X,O,O,X,X,O,X,X,X
TJLZOSI,O,X,O,X,O,X,O,X,O,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TJLOSZI,O,X,X,X,X,O,X,O,O,X,X,X
TJLOZIS,O,X,O,X,O,O,X,X,O,X,X,X
TJLOZSI,O,X,O,X,O,X,O,X,O,X,X,X
TJSILZO,X,O,X,X,X,O,X,O,X,X,O,X
TJSILOZ,X,O,X,X,X,X,X,O,X,X,O,X
TJSIZLO,X,O,X,X,X,O,X,O,X,X,O,X
TJSIZOL,X,O,X,X,X,O,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X,O,X,X,X,X
TJSLIZO,X,O,X,X,X,O,X,O,O,X,O,X
TJSLIOZ,X,O,X,X,X,X,X,O,X,X,O,X
TJSLZIO,O,X,X,X,X,O,X,O,O,O,O,X
TJSLZOI,O,X,X,X,X,O,X,O,O,O,O,X
TJSLOIZ,X,O,X,X,X,O,X,O,X,X,O,X
TJSLOZI,O,X,X,X,X,O,X,O,X,X,O,X
TJSZILO,X,O,O,X,X,O,X,O,X,X,O,X
TJSZIOL,O,O,O,X,X,O,X,O,X,X,X,X
TJSZLIO,X,X,O,X,X,O,X,O,O,O,O,X
TJSZLOI,X,X,O,X,X,O,X,O,O,O,O,X
TJSZOIL,O,O,O,X,X,O,X,O,X,X,X,X
TJSZOLI,O,X,O,X,X,O,X,O,X,X,O,X
TJSOILZ,X,O,X,X,X,O,X,O,X,X,X,X
TJSOIZL,X,O,X,X,X,O,X,O,X,X,X,X
TJSOLIZ,X,O,X,X,X,O,X,O,X,X,O,X
TJSOLZI,O,X,X,X,X,O,X,O,X,X,O,X
TJSOZIL,O,O,O,X,X,O,X,O,X,X,X,X
TJSOZLI,O,X,O,X,X,O,X,O,X,X,O,X
TJZILSO,X,X,O,X,X,O,O,X,O,X,X,X
TJZILOS,O,X,O,X,X,O,O,X,O,X,X,X
TJZISLO,X,X,O,X,X,O,O,X,X,X,O,X
TJZISOL,O,X,O,X,X,O,O,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,O,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,O,X,O,O,O,X,O,X,X,X
TJZLIOS,O,X,O,X,O,O,O,X,O,X,X,X
TJZLSIO,O,X,O,X,O,O,O,X,O,X,O,X
TJZLSOI,O,X,O,X,O,O,O,X,O,X,O,X
TJZLOIS,O,X,O,X,O,O,X,X,O,X,X,X
TJZLOSI,O,X,O,X,O,X,O,X,O,X,X,X
TJZSILO,X,O,O,X,X,O,O,O,X,X,O,X
TJZSIOL,O,O,O,X,X,O,O,O,X,X,X,X
TJZSLIO,X,X,O,X,X,O,O,O,O,X,O,X
TJZSLOI,X,X,O,X,X,O,X,O,O,X,O,X
TJZSOIL,O,O,O,X,X,O,O,O,X,X,X,X
TJZSOLI,O,X,O,X,X,O,X,O,X,X,O,X
TJZOILS,O,X,O,X,X,O,X,X,O,X,X,X
TJZOISL,O,X,O,X,X,O,X,X,X,X,X,X
TJZOLIS,O,X,O,X,O,O,X,X,O,X,X,X
TJZOLSI,O,X,O,X,O,X,X,X,O,X,X,X
TJZOSIL,O,O,O,X,X,X,X,O,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X,O,O,X,O,X
TJOILSZ,X,O,X,X,X,X,X,X,O,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,O,X,X,X
TJOISLZ,X,O,X,X,X,X,X,O,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,O,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X,O,X,X,X
TJOIZSL,O,O,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X,O,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X,O,X,X,X
TJOLSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TJOLSZI,O,X,X,X,X,O,X,O,O,X,X,X
TJOLZIS,O,X,O,X,O,O,X,X,O,X,X,X
TJOLZSI,O,X,O,X,O,X,X,X,O,X,X,X
TJOSILZ,X,O,X,X,X,O,X,O,X,X,X,X
TJOSIZL,X,O,X,X,X,O,X,O,X,X,X,X
TJOSLIZ,X,O,X,X,X,O,X,O,O,X,O,X
TJOSLZI,O,X,X,X,X,O,X,O,O,X,O,X
TJOSZIL,O,O,O,X,X,O,X,O,X,X,X,X
TJOSZLI,O,X,O,X,X,O,X,O,O,X,O,X
TJOZILS,O,X,O,X,X,O,X,X,O,X,X,X
TJOZISL,O,X,O,X,X,O,X,X,X,X,X,X
TJOZLIS,O,X,O,X,O,O,X,X,O,X,X,X
TJOZLSI,O,X,O,X,O,X,X,X,O,X,X,X
TJOZSIL,O,O,O,X,X,X,X,O,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,O,O,X,O,X
TSILJZO,X,O,X,X,X,O,O,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,O,X,X,X,X,X
TSILZJO,X,X,X,X,X,O,O,X,X,O,X,X
TSILZOJ,X,O,X,X,X,O,O,X,X,O,X,X
TSILOJZ,X,O,X,X,X,O,O,X,X,X,X,X
TSILOZJ,X,O,X,X,X,O,O,X,X,X,X,X
TSIJLZO,X,O,X,X,X,O,X,O,X,X,O,X
TSIJLOZ,X,O,X,X,X,X,X,O,X,X,O,X
TSIJZLO,X,O,X,X,X,O,X,O,X,X,O,X
TSIJZOL,X,O,X,X,X,O,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,O,X,X,X,X
TSIZLJO,X,X,X,X,X,O,O,X,X,O,X,X
TSIZLOJ,X,O,X,X,X,O,O,X,X,O,X,X
TSIZJLO,X,O,X,X,X,O,O,X,X,X,X,X
TSIZJOL,X,O,X,X,X,O,O,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,O,O,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,O,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,O,X,X,X,X,X,O
TSIOJLZ,X,O,X,X,X,O,X,O,X,X,X,X
TSIOJZL,X,O,X,X,X,O,X,O,X,X,X,O
TSIOZLJ,X,O,X,X,X,O,X,X,X,X,X,O
TSIOZJL,X,O,X,X,X,O,X,X,X,X,X,O
TSLIJZO,X,O,X,X,X,O,O,X,X,X,X,X
TSLIJOZ,X,O,X,X,X,X,O,X,X,X,X,X
TSLIZJO,X,X,X,X,X,O,O,X,X,O,X,X
TSLIZOJ,X,O,X,X,X,O,O,X,X,O,X,X
TSLIOJZ,X,O,X,X,X,O,O,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,O,O,X,X,X,X,X
TSLJIZO,X,O,X,X,X,O,X,O,X,X,O,X
TSLJIOZ,X,O,X,X,X,X,X,O,X,X,O,X
TSLJZIO,X,X,X,X,X,O,O,O,X,O,O,X
TSLJZOI,X,X,X,X,X,O,O,O,X,O,O,X
TSLJOIZ,X,O,X,X,X,O,X,O,X,X,O,X
