sequence,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlB/mBUiBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBSmBNnB/qB0r?BmqB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBamBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfB0gB6mBNnB/q?B2wB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF0bBzfB9qBxmB3m?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlB3hBOsBCr?BUrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUhBOsBCr?B3rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBGhB8qBXn?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBdmBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUiBKrBfs?BuqB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF8fBtgB/qBxmBir?BzrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFRgBUiBXgB9qBTm?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhF/mBUiBxkBOlBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFXbBChBNnBUlBTm?BRwB
TILOZJS,X,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOZSJ,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TIJLSZO,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLZOS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLOSZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,O
TIJLOZS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJSLZO,O,O,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJSZOL,O,O,O,X,X,X,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TIJSOLZ,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJSOZL,O,O,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TIJZLSO,O,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJZLOS,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TIJZSLO,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJZSOL,O,O,O,X,X,X,O,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TIJZOLS,O,O,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJZOSL,O,X,O,X,X,X,O,O,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TIJOLSZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,O
TIJOLZS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJOSLZ,O,O,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJOSZL,O,O,X,X,X,X,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TIJOZLS,O,O,O,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TIJOZSL,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TISLJZO,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISLJOZ,X,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISLZJO,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
TISLZOJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISLOZJ,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,O,X,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TISJLOZ,X,O,X,X,X,O,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TISJZLO,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TISJZOL,X,O,O,X,X,X,X,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O
TISJOLZ,X,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TISJOZL,X,O,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TISZLJO,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
TISZLOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZJLO,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZJOL,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZOLJ,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TISOLJZ,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O
TISOLZJ,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TISOJLZ,X,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TISOJZL,X,O,X,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TISOZLJ,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,O,X,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZLJSO,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZLJOS,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZLSJO,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O
TIZLSOJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZLOJS,X,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZLOSJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZJLSO,X,X,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
TIZJLOS,X,X,O,X,O,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O
TIZJSLO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZJSOL,X,O,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TIZJOLS,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TIZJOSL,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TIZSLJO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O
TIZSLOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZSJLO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZSJOL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZOLJS,X,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZOLSJ,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZOJLS,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIZOJSL,X,X,O,O,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIZOSLJ,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZOSJL,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOLJSZ,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
TIOLJZS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOLSJZ,O,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIOLSZJ,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOLZJS,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLZSJ,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOJLSZ,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
TIOJLZS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOJSZL,O,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOJZLS,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOJZSL,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOSLJZ,O,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIOSLZJ,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOSJLZ,O,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOSJZL,O,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOSZLJ,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZLJS,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOZLSJ,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOZJLS,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOZJSL,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOZSLJ,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSJL,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIJSZO,O,O,X,X,X,O,X,X,O,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
TLISJOZ,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISZJO,X,O,X,X,O,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X
TLISZOJ,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
TLISOJZ,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISOZJ,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
TLIZJSO,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZJOS,X,X,O,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,O,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIOZJS,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLJISZO,O,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,O,O,X,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJIZOS,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJIOSZ,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,O
TLJIOZS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X
TLJZIOS,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJOISZ,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TLJOIZS,O,O,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLSIJOZ,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSIZJO,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLSIZOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSIOJZ,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSJIZO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLSJZIO,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZOI,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOIZ,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TLSZIOJ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSZJOI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSZOIJ,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSOIZJ,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
